年	ano	年	ano	N	N
線	fila	線	fila	N	N
線	liñas	線	liña	N	N
線	trincheiras	線	trincheira	N	N
線	frases	線	frase	N	N
線	fío	線	fío	N	N
山	montaña	山	montaña	N	N
山	outeiro	山	outeiro	N	N
山	outeiros	山	outeiro	N	N
山	montañas	山	montaña	N	N
山	das	山	das	N	N
山	andes	山	ande	N	N
山	montes	山	monte	N	N
山	montaña	山	montaña	N	N
山	monte	山	monte	N	N
太空	espazo	太空	espazo	N	N
太空	espacio	太空	espacio	N	N
自己	eu	自己	eu	PRO	PRO
自己	me	自己	me	PRO	PRO
成	ser	成	ser	V	V
建	construír	建	construír	V	V
建	crear	建	crear	V	V
建	construir	建	construir	V	V
建	construida	建	construida	V	V
建	construíu	建	construír	V	V
建	construín	建	construír	V	V
建	construímos	建	construír	V	V
性	sexo	性	sexo	N	N
代表	representantes	代表	representante	N	N
代表	delegado	代表	delegado	N	N
海	mar	海	mar	N	N
海	océano	海	océano	N	N
海	océanos	海	océano	N	N
這	isto	這	isto	PRO	PRO
大學	universidades	大學	universidade	N	N
大學	universidade	大學	universidade	N	N
大學	universidades	大學	universidade	N	N
大學	universidade	大學	universidade	N	N
大學	na	大學	na	N	N
大學	estudantes	大學	estudantes	N	N
大學	facultade	大學	facultade	N	N
大學	colexio	大學	colexio	N	N
版	edición	版	edición	N	N
版	versión	版	versión	N	N
從	de	從	de	ADP	ADP
從	dende	從	dende	ADP	ADP
工作	traballo	工作	traballo	N	N
工作	traballo	工作	traballo	N	N
工作	traballos	工作	traballo	N	N
工作	traballo	工作	traballo	N	N
工作	traballo	工作	traballo	N	N
北	norte	北	norte	N	N
政治	política	政治	política	N	N
政治	políticas	政治	política	N	N
政治	políticas	政治	política	N	N
政治	políticos	政治	político	N	N
政治	política	政治	política	N	N
星	estrela	星	estrela	N	N
星	estrelas	星	estrela	N	N
星	das	星	das	N	N
她	ela	她	el	PRO;3	PRO
她	que	她	que	PRO;3	PRO
河	río	河	río	N	N
文化	cultura	文化	cultura	N	N
文化	cultivo	文化	cultivo	N	N
文化	culturas	文化	cultura	N	N
馬	mamá	馬	mamá	N	N
馬	señora	馬	señor	N	N
氏	clans	氏	clan	N	N
更	máis	更	máis	ADV	ADV
電影	película	電影	película	N	N
電影	filme	電影	filme	N	N
電影	cine	電影	cinir	N	N
電影	cinema	電影	cinema	N	N
電影	película	電影	película	N	N
電影	filme	電影	filme	N	N
電影	filmes	電影	filme	N	N
電影	cinema	電影	cinema	N	N
季	tempada	季	tempada	N	N
季	estacións	季	estación	N	N
龍	pulmón	龍	pulmón	N	N
女	muller	女	muller	N	N
字	palabra	字	palabra	N	N
字	palabras	字	palabra	N	N
字	verbas	字	verba	N	N
因為	por	因為	por	ADP	ADP
不同	diferentes	不同	diferente	ADJ	ADJ
不同	distintas	不同	distinto	ADJ	ADJ
不同	distinto	不同	distinto	ADJ	ADJ
不同	distintos	不同	distinto	ADJ	ADJ
不同	diferente	不同	diferente	ADJ	ADJ
足球	fútbol	足球	fútbol	N	N
目前	momento	目前	momento	N	N
所有	todo	所有	todo	DET	DET
所有	todos	所有	todo	DET	DET
所有	todas	所有	todo	DET	DET
中央	central	中央	central	N	N
中央	centro	中央	centro	N	N
郡	condado	郡	condado	N	N
國家	estados	國家	estado	N	N
國家	país	國家	país	N	N
國家	estado	國家	estado	N	N
國家	países	國家	país	N	N
國家	paises	國家	país	N	N
球	bola	球	bola	N	N
球	bóla	球	bóla	N	N
球	pelota	球	pelota	N	N
球	balón	球	balón	N	N
生	materia	生	materia	N	N
生	materias	生	materia	N	N
街	rúa	街	rúa	N	N
提供	ofrecía	提供	ofrecer	V	V
城市	cidade	城市	cidade	N	N
城市	cidades	城市	cidade	N	N
水	auga	水	auga	N	N
人物	carácter	人物	carácter	N	N
軍	exército	軍	exército	N	N
加入	únete	加入	únete	V	V
魚	peixes	魚	peixe	N	N
魚	peixe	魚	peixe	N	N
無	é	無	ser	V	V
你	que	你	que	PRO;2	PRO
東	leste	東	leste	N	N
東	oriente	東	oriente	N	N
石	pedra	石	pedra	N	N
事件	incidente	事件	incidente	N	N
事件	accidente	事件	accidente	N	N
事件	eventos	事件	evento	N	N
事件	sucesos	事件	suceso	N	N
事件	feitos	事件	feito	N	N
事件	adversos	事件	adverso	N	N
事件	xuntanzas	事件	xuntanza	N	N
事件	acontecementos	事件	acontecemento	N	N
事件	acontecemento	事件	acontecemento	N	N
事件	eventos	事件	evento	N	N
事件	evento	事件	evento	N	N
事件	suceso	事件	suceso	N	N
建立	construír	建立	construír	V	V
建立	crear	建立	crear	V	V
建立	construir	建立	construir	V	V
生活	vivir	生活	vivir	V	V
生活	vivindo	生活	vivir	V	V
教育	educación	教育	educación	N	N
車站	comisaría	車站	comisar	N	N
車站	estación	車站	estación	N	N
獎	nobel	獎	nobel	N	N
獎	premio	獎	premio	N	N
獎	premio	獎	premio	N	N
完成	rematei	完成	rematar	V	V
完成	rematado	完成	rematar	V	V
完成	acabado	完成	acabar	V	V
完成	rematar	完成	rematar	V	V
完成	rematou	完成	rematar	V	V
完成	terminar	完成	terminar	V	V
完成	rematar	完成	rematar	V	V
完成	acabar	完成	acabar	V	V
完成	fixen	完成	facer	V	V
完成	fixemos	完成	facer	V	V
完成	facer	完成	facer	V	V
完成	fixeches	完成	fixeche	V	V
完成	completa	完成	completar	V	V
完成	completar	完成	completar	V	V
白	brancos	白	branco	N	N
音樂	música	音樂	música	N	N
他們	que	他	que	PRO;PL;3	PRO
他們	eles	他	el	PRO;PL;3	PRO
地區	zonas	地區	zona	N	N
地區	áreas	地區	área	N	N
地區	distrito	地區	distrito	N	N
地區	área	地區	área	N	N
地區	zona	地區	zona	N	N
車	coche	車	coche	N	N
車	auto	車	auto	N	N
車	carro	車	carro	N	N
車	coches	車	coche	N	N
車	coche	車	coche	N	N
車	autos	車	auto	N	N
官	policía	官	policía	N	N
官	axente	官	axente	N	N
中文	chineses	中文	chinés	N	N
中文	chinés	中文	chinés	N	N
自由	liberdade	自由	liberdade	N	N
自由	liberdade	自由	liberdade	N	N
自由	libertade	自由	libertade	N	N
自由	balde	自由	balde	N	N
光	luz	光	luz	N	N
重要	importante	重要	importante	ADJ	ADJ
重要	importantes	重要	importante	ADJ	ADJ
工程	enxeñería	工程	enxeñería	N	N
所以	así	所以	así	ADV	ADV
所以	entón	所以	entón	ADV	ADV
所以	tan	所以	tan	ADV	ADV
一般	normalmente	一般	normal	ADV	ADV
需要	precisamos	需要	precisar	V	V
需要	necesitamos	需要	necesitar	V	V
需要	precisaba	需要	precisar	V	V
需要	necesitaba	需要	necesitar	V	V
需要	precisabamos	需要	precisabar	V	V
需要	ten	需要	ter	V	V
需要	necesita	需要	necesitar	V	V
這	esta	這	este	DET	DET
這	este	這	este	DET	DET
地方	lugar	地方	lugar	N	N
地方	casa	地方	casa	N	N
地方	sitio	地方	sitio	N	N
地方	lugares	地方	lugar	N	N
地方	sitios	地方	sitio	N	N
系列	serie	系列	serie	N	N
電視	televisión	電視	televisión	N	N
電視	tele	電視	telar	N	N
電視	programa	電視	programa	N	N
電視	televisión	電視	televisión	N	N
電視	tele	電視	telar	N	N
黑	escuridade	黑	escuridade	N	N
黑	noite	黑	noite	N	N
黑	negra	黑	negro	N	N
黑	negro	黑	negro	N	N
黑	negros	黑	negro	N	N
花	flores	花	flores	N	N
花	flor	花	flor	N	N
神	deus	神	daus	N	N
遊戲	partido	遊戲	partido	N	N
遊戲	xogo	遊戲	xogo	N	N
遊戲	videoxogos	遊戲	videoxogos	N	N
遊戲	xogos	遊戲	xogo	N	N
遊戲	videoxogos	遊戲	videoxogos	N	N
最高	superior	最高	superior	ADJ	ADJ
要求	pido	要求	pedir	V	V
要求	custar	要求	custar	V	V
讓	imos	讓	ir	V;CAUS	V
讓	déixame	讓	déixame	V;CAUS	V
讓	vamos	讓	varo	V;CAUS	V
版本	versión	版本	versión	N	N
發現	atopei	發現	atopar	V	V
發現	atopamos	發現	atopar	V	V
發現	atoparon	發現	atopar	V	V
發現	atopou	發現	atopar	V	V
發現	descubrir	發現	descubrir	V	V
發現	descobren	發現	descobrar	V	V
語	idioma	語	idioma	N	N
語	linguaxe	語	linguaxe	N	N
語	lingua	語	lingua	N	N
內容	contido	內容	contido	N	N
出生	nacín	出生	nacín	V	V
出生	naceu	出生	nacer	V	V
出生	nacer	出生	nacer	V	V
出生	naciches	出生	naciches	V	V
出生	nacen	出生	nacer	V	V
航空	aire	航空	aire	N	N
航空	ar	航空	ar	N	N
數	conta	數	conta	N	N
數	número	數	número	N	N
發展	da	發展	da	V	V
成功	éxito	成功	éxito	N	N
成功	éxito	成功	éxito	N	N
面積	área	面積	área	N	N
面積	zona	面積	zona	N	N
系統	sistema	系統	sistema	N	N
系統	sistemas	系統	sistema	N	N
問題	problema	問題	problema	N	N
問題	pregunta	問題	pregunta	N	N
問題	cuestión	問題	cuestión	N	N
問題	preguntas	問題	pregunta	N	N
問題	pregunta	問題	pregunta	N	N
問題	cuestións	問題	cuestión	N	N
方式	método	方式	método	N	N
率	taxa	率	taxa	N	N
名稱	nome	名稱	nome	N	N
名稱	nomes	名稱	nome	N	N
名稱	nome	名稱	nome	N	N
街道	rúa	街道	rúa	N	N
街道	rúas	街道	rúa	N	N
街道	polas	街道	pola	N	N
街道	rúa	街道	rúa	N	N
刪除	quitar	刪除	quitar	V	V
刪除	quitamos	刪除	quitar	V	V
設計	deseñar	設計	deseñar	V	V
群	grupo	群	grupo	N	N
服務	servir	服務	servir	V	V
服務	serven	服務	servir	V	V
機	máquina	機	máquina	N	N
機	lavadora	機	lavador	N	N
機	maquinaria	機	maquinaria	N	N
機	metralladoras	機	metrallador	N	N
任何	calquera	任何	calquera	DET	DET
任何	ningún	任何	ningún	DET	DET
頁	páxinas	頁	páxina	N	N
著名	famoso	著名	famoso	ADJ	ADJ
著名	famosos	著名	famoso	ADJ	ADJ
著名	famosa	著名	famor	ADJ	ADJ
已經	xa	已經	xa	ADV	ADV
專輯	ubicación	專輯	ubicación	N	N
角色	carácter	角色	carácter	N	N
角色	papel	角色	papel	N	N
角色	idiogramas	角色	idiograma	N	N
角色	personaxes	角色	personaxe	N	N
成員	membro	成員	membro	N	N
成員	membros	成員	membro	N	N
成員	membros	成員	membro	N	N
新聞	noticias	新聞	noticia	N	N
新聞	noticia	新聞	noticia	N	N
劇	drama	劇	dramar	N	N
後來	tarde	後來	tarde	N	N
女性	mulleres	女性	muller	N	N
高度	altura	高度	altura	N	N
說	dicir	說	dicir	V	V
說	di	說	dicir	V	V
合作	cooperar	合作	cooperar	V	V
門	porta	門	porta	N	N
門	portas	門	porta	N	N
門	porta	門	porta	N	N
卷	rolo	卷	rolo	N	N
位置	posición	位置	posición	N	N
活動	actividades	活動	actividade	N	N
活動	eventos	活動	evento	N	N
活動	sucesos	活動	suceso	N	N
活動	feitos	活動	feito	N	N
活動	adversos	活動	adverso	N	N
活動	xuntanzas	活動	xuntanza	N	N
活動	acontecementos	活動	acontecemento	N	N
活動	acontecemento	活動	acontecemento	N	N
活動	eventos	活動	evento	N	N
活動	evento	活動	evento	N	N
活動	suceso	活動	suceso	N	N
活動	actividade	活動	actividade	N	N
只	só	只	só	ADV	ADV
歷史	historia	歷史	historia	N	N
歌曲	cancións	歌曲	canción	N	N
歌曲	canción	歌曲	canción	N	N
歌曲	canción	歌曲	canción	N	N
歌曲	cantiga	歌曲	cantiga	N	N
點	puntos	點	punto	N	N
點	cabos	點	cabo	N	N
點	momento	點	momento	N	N
點	punto	點	punto	N	N
植物	plantas	植物	planta	N	N
植物	planta	植物	planta	N	N
皮	coiro	皮	coiro	N	N
非常	moi	非常	moi	ADV	ADV
通常	habitualmente	通常	habitual	ADV	ADV
通常	normalmente	通常	normal	ADV	ADV
通常	normalmente	通常	normal	ADV	ADV
比賽	partido	比賽	partido	N	N
比賽	xogo	比賽	xogo	N	N
比賽	videoxogos	比賽	videoxogos	N	N
比賽	carreira	比賽	carreira	N	N
比賽	raza	比賽	raza	N	N
學校	escolas	學校	escola	N	N
學校	instituto	學校	instituto	N	N
學校	escola	學校	escola	N	N
學校	colexio	學校	colexio	N	N
完全	totalmente	完全	total	ADV	ADV
完全	completamente	完全	completamente	ADV	ADV
完全	totalmente	完全	total	ADV	ADV
信	cartas	信	carta	N	N
信	letras	信	letra	N	N
信	carta	信	carta	N	N
信	letra	信	letra	N	N
期間	período	期間	período	N	N
期間	periodo	期間	periodo	N	N
期間	tempo	期間	tempo	N	N
期間	adolescencia	期間	adolescencia	N	N
接受	aceptar	接受	aceptar	V	V
書	libro	書	libro	N	N
書	libros	書	libro	N	N
交通	tráfico	交通	tráfico	N	N
木	madeira	木	madeira	N	N
木	madeira	木	madeira	N	N
討論	falar	討論	falar	V	V
討論	discutir	討論	discutir	V	V
故事	historia	故事	historia	N	N
故事	relato	故事	relato	N	N
故事	historias	故事	historia	N	N
直接	directamente	直接	directamente	ADV	ADV
參與	participar	參與	participar	V	V
希望	espero	希望	espero	V	V
希望	agardo	希望	agardo	V	V
手	man	手	man	N	N
手	mans	手	man	N	N
手	mans	手	man	N	N
手	man	手	man	N	N
心	corazón	心	corazón	N	N
心	cardíacas	心	cardíaco	N	N
心	cardíaca	心	cardíaco	N	N
心	corazóns	心	corazón	N	N
心	corazón	心	corazón	N	N
巴士	autobús	巴士	autobús	N	N
巴士	parada	巴士	parado	N	N
巴士	autocarro	巴士	autocarro	N	N
巴士	autobuses	巴士	autobús	N	N
播放	tocar	播放	tocar	V	V
播放	xogar	播放	xogar	V	V
播放	xogan	播放	xogar	V	V
播放	xoga	播放	xogar	V	V
播放	xogando	播放	xogar	V	V
播放	xogar	播放	xogar	V	V
播放	tocando	播放	tocar	V	V
播放	tocar	播放	tocar	V	V
音	ton	音	ton	N	N
增加	incrementar	增加	incrementar	V	V
增加	aumenta	增加	aumentar	V	V
增加	aumentar	增加	aumentar	V	V
增加	aumentar	增加	aumentar	V	V
角	esquina	角	esquina	N	N
角	recuncho	角	recuncho	N	N
角	ángulo	角	ángulo	N	N
角	cabo	角	cabo	N	N
角	momento	角	momento	N	N
角	punto	角	punto	N	N
這些	estas	這些	este	DET	DET
這些	estes	這些	este	DET	DET
太	tamén	太	tamén	ADV	ADV
太	demasiado	太	demasiado	ADV	ADV
太	moi	太	moi	ADV	ADV
歌	cancións	歌	canción	N	N
歌	canción	歌	canción	N	N
歌	canción	歌	canción	N	N
歌	cantiga	歌	cantiga	N	N
投票	votamos	投票	votar	V	V
投票	votan	投票	votar	V	V
投票	votar	投票	votar	V	V
投票	voten	投票	votar	V	V
灣	baía	灣	baía	N	N
民主	democracia	民主	democracia	N	N
寺	templo	寺	templo	N	N
參加	participar	參加	participar	V	V
控制	controlar	控制	controlar	V	V
控制	controla	控制	controlar	V	V
戰	batalla	戰	batalla	N	N
戰	guerra	戰	guerra	N	N
電視	televisión	電視	televisión	N	N
電視	tele	電視	telar	N	N
電視	programa	電視	programa	N	N
電視	televisión	電視	televisión	N	N
電視	tele	電視	telar	N	N
然而	porén	然而	porén	ADV	ADV
然而	aínda	然而	aínda	ADV	ADV
然而	aínda	然而	aínda	ADV	ADV
七	7	七	7	NUM	NUM
口	boca	口	boca	N	N
委員	comisión	委員	comisión	N	N
編輯	edición	編輯	edición	N	N
資料	datos	資料	dato	N	N
資料	puntos	資料	punto	N	N
資料	información	資料	información	N	N
路線	ruta	路線	ruta	N	N
年度	ano	年度	ano	N	N
歌手	cantante	歌手	cantante	N	N
店	tenda	店	tenda	N	N
店	delegados	店	delegado	N	N
店	tenda	店	tenda	N	N
店	almacéns	店	almacén	N	N
店	almacén	店	almacén	N	N
二十	20	二十	20	NUM	NUM
組織	organización	組織	organización	N	N
組織	sindicato	組織	sindicato	N	N
組織	tecido	組織	tecido	N	N
組織	división	組織	división	N	N
教授	mestre	教授	mestre	N	N
教授	profesor	教授	profesor	N	N
盃	cunca	盃	cunca	N	N
盃	café	盃	café	N	N
八	8	八	8	NUM	NUM
文字	texto	文字	texto	N	N
文字	mensaxe	文字	mensaxe	N	N
文字	mensaxes	文字	mensaxe	N	N
主席	presidente	主席	presidente	N	N
主席	vicepresidente	主席	vicepresidente	N	N
主席	presidente	主席	presidente	N	N
女子	muller	女子	muller	N	N
世紀	século	世紀	século	N	N
票	billetes	票	billete	N	N
票	entradas	票	entrada	N	N
票	billete	票	billete	N	N
票	boleto	票	boleto	N	N
打	loitar	打	loitar	V	V
關係	relación	關係	relación	N	N
關係	relacións	關係	relación	N	N
關係	relación	關係	relación	N	N
關係	relacións	關係	relación	N	N
關係	relación	關係	relación	N	N
能力	capacidade	能力	capacidade	N	N
能力	capacidade	能力	capacidade	N	N
能力	habilidade	能力	habilidade	N	N
能力	capacidade	能力	capacidade	N	N
網站	sitio	網站	sitio	N	N
網站	web	網站	web	N	N
網站	páxina	網站	páxina	N	N
網站	zona	網站	zona	N	N
網站	lugar	網站	lugar	N	N
頭	cabeza	頭	cabeza	N	N
個人	persoal	個人	persoal	N	N
個人	persoa	個人	persoa	N	N
個人	individuo	個人	individuo	N	N
個人	tipo	個人	tipo	N	N
學生	estudantes	學生	estudantes	N	N
學生	alumnos	學生	alumno	N	N
學生	estudante	學生	estudante	N	N
學生	estudantes	學生	estudantes	N	N
學生	alumno	學生	alumno	N	N
鎮	cidade	鎮	cidade	N	N
鎮	pobo	鎮	pobo	N	N
鎮	vila	鎮	vila	N	N
鎮	aldea	鎮	aldea	N	N
南部	sur	南部	sur	N	N
南部	sur	南部	sur	N	N
語言	idiomas	語言	idioma	N	N
語言	linguaxes	語言	linguaxe	N	N
語言	linguas	語言	lingua	N	N
語言	idioma	語言	idioma	N	N
語言	linguaxe	語言	linguaxe	N	N
語言	lingua	語言	lingua	N	N
模式	padrón	模式	padrón	N	N
模式	patrón	模式	patrón	N	N
模式	pauta	模式	pauta	N	N
模式	patróns	模式	patrón	N	N
模式	modo	模式	modo	N	N
相關	coa	相關	coar	V	V
決定	deciden	決定	decidir	V	V
決定	decide	決定	decidir	V	V
決定	tomar	決定	tomar	V	V
方向	dirección	方向	dirección	N	N
方法	método	方法	método	N	N
方法	métodos	方法	método	N	N
影響	mellora	影響	mellorar	V	V
影響	influír	影響	influír	V	V
死	mortos	死	morto	N	N
死	morto	死	morto	N	N
死	morta	死	morto	N	N
甚至	incluso	甚至	incluso	ADV	ADV
甚至	aínda	甚至	aínda	ADV	ADV
甚至	sequera	甚至	sequera	ADV	ADV
見	ver	見	ver	V	V
見	vexo	見	vexo	V	V
只	só	只	só	ADV	ADV
保護	protexe	保護	protexer	V	V
保護	protexer	保護	protexer	V	V
保護	protexen	保護	protexer	V	V
保護	protexerse	保護	protexerse	V	V
加上	engadir	加上	engadir	V	V
食	desordes	食	desorde	N	N
食	comelo	食	comelo	N	N
獨立	independencia	獨立	independencia	N	N
社會	sociedade	社會	sociedade	N	N
社會	sociedades	社會	sociedade	N	N
社會	sociedade	社會	sociedade	N	N
公尺	metros	公尺	metro	N	N
還	tamén	還	tamén	ADV	ADV
鐵路	tren	鐵路	tren	N	N
居民	residentes	居民	residente	N	N
功能	función	功能	función	N	N
功能	características	功能	característica	N	N
功能	funcional	功能	funcional	N	N
功能	característica	功能	característica	N	N
聯盟	unión	聯盟	unión	N	N
聯盟	sindicato	聯盟	sindicato	N	N
聯盟	sindicalista	聯盟	sindicalista	N	N
聯盟	sindical	聯盟	sindical	N	N
利用	usamos	利用	usar	V	V
利用	usar	利用	usar	V	V
利用	usan	利用	usar	V	V
最終	tempo	最終	tempo	N	N
最終	final	最終	final	N	N
再次	máis	再次	máis	ADV	ADV
網	web	網	web	N	N
網	rede	網	rede	N	N
網	rede	網	rede	N	N
量	cantidade	量	cantidade	N	N
演員	actores	演員	actor	N	N
演員	actriz	演員	actriz	N	N
演員	actor	演員	actor	N	N
全部	todo	全部	todo	DET	DET
全部	todos	全部	todo	DET	DET
全部	todas	全部	todo	DET	DET
北部	norte	北部	norte	N	N
北部	norte	北部	norte	N	N
運動	deportes	運動	deporte	N	N
運動	deporte	運動	deporte	N	N
運動	movemento	運動	movemento	N	N
運動	deporte	運動	deporte	N	N
運動	movemento	運動	movemento	N	N
運動	movementos	運動	movemento	N	N
運動	movimento	運動	movimento	N	N
運動	xesto	運動	xesto	N	N
草	herba	草	herba	N	N
直到	ata	直到	ata	ADP	ADP
名字	nome	名字	nome	N	N
戰爭	guerra	戰爭	guerra	N	N
戰爭	guerras	戰爭	guerra	N	N
戰爭	guerra	戰爭	guerra	N	N
紅	vermello	紅	vermello	N	N
紅	vermella	紅	vermello	N	N
紅	vermellos	紅	vermello	N	N
紅	roxa	紅	roxa	N	N
紅	comunista	紅	comunista	N	N
唱片	disco	唱片	disco	N	N
安全	seguro	安全	seguro	N	N
安全	seguros	安全	seguro	N	N
學院	universidade	學院	universidade	N	N
學院	na	學院	na	N	N
學院	estudantes	學院	estudantes	N	N
學院	facultade	學院	facultade	N	N
學院	colexio	學院	colexio	N	N
原因	razóns	原因	razón	N	N
原因	polas	原因	pola	N	N
原因	motivos	原因	motivo	N	N
原因	razón	原因	razón	N	N
原因	motivo	原因	motivo	N	N
原因	pola	原因	pola	N	N
原因	causa	原因	causa	N	N
通過	por	通過	por	ADP	ADP
辛	pecado	辛	pecado	N	N
法律	leis	法律	lei	N	N
法律	lei	法律	lei	N	N
法律	leis	法律	lei	N	N
革命	revolución	革命	revolución	N	N
革命	revolucións	革命	revolución	N	N
時代	veces	時代	vez	N	N
時代	tempos	時代	tempo	N	N
男性	homes	男性	home	N	N
形式	forma	形式	forma	N	N
形式	xeito	形式	xeito	N	N
單位	unidades	單位	unidade	N	N
單位	unidade	單位	unidade	N	N
修	amañar	修	amañar	V	V
修	establecer	修	establecer	V	V
修	arranxar	修	arranxar	V	V
科技	tecnoloxía	科技	tecnoloxía	N	N
青年	xuventude	青年	xuventude	N	N
青年	mozos	青年	mozo	N	N
青年	mocidade	青年	mocidade	N	N
青年	francia	青年	francia	N	N
流	fluxo	流	fluxo	N	N
流	transmisión	流	transmisión	N	N
流	río	流	río	N	N
流	regato	流	regato	N	N
結果	resultado	結果	resultado	N	N
結果	resultados	結果	resultado	N	N
結果	consecuencia	結果	consecuencia	N	N
結果	resultado	結果	resultado	N	N
教	ensino	教	ensino	N	N
教	ensinanza	教	ensinanza	N	N
教	ensino	教	ensino	N	N
體	corpo	體	corpo	N	N
球隊	equipo	球隊	equipo	N	N
左	esquerda	左	esquerda	N	N
戴	levas	戴	leva	N	N
自然	forma	自然	forma	N	N
自然	natureza	自然	natureza	N	N
新	novo	新	novo	ADJ	ADJ
新	novas	新	novo	ADJ	ADJ
新	nova	新	novo	ADJ	ADJ
新	novos	新	novo	ADJ	ADJ
經濟	economía	經濟	economía	N	N
快速	velocidade	快速	velocidade	N	N
學	aprendizaxe	學	aprendizaxe	N	N
職業	traballo	職業	traballo	N	N
職業	carreira	職業	carreira	N	N
職業	profesión	職業	profesión	N	N
職業	ocupación	職業	ocupación	N	N
類	clase	類	clase	N	N
分鐘	minutos	分鐘	minuto	N	N
分鐘	minuto	分鐘	minuto	N	N
分鐘	momento	分鐘	momento	N	N
分鐘	intre	分鐘	intre	N	N
發	pelo	發	pelo	N	N
發	cabelo	發	cabelo	N	N
政策	política	政策	política	N	N
政策	póliza	政策	póliza	N	N
政策	políticas	政策	política	N	N
日期	cita	日期	cita	N	N
日期	día	日期	día	N	N
日期	data	日期	data	N	N
日期	datas	日期	data	N	N
普通	común	普通	común	ADJ	ADJ
普通	ordinario	普通	ordinario	ADJ	ADJ
普通	correntes	普通	corrente	ADJ	ADJ
普通	simple	普通	simple	ADJ	ADJ
普通	banal	普通	banal	ADJ	ADJ
男子	homes	男子	home	N	N
共和	república	共和	república	N	N
理由	razóns	理由	razón	N	N
理由	polas	理由	pola	N	N
理由	motivos	理由	motivo	N	N
理由	razón	理由	razón	N	N
理由	motivo	理由	motivo	N	N
理由	pola	理由	pola	N	N
交流	intercambio	交流	intercambio	N	N
總統	presidente	總統	presidente	N	N
總統	vicepresidente	總統	vicepresidente	N	N
行動	acción	行動	acción	N	N
行動	operación	行動	operación	N	N
行動	accións	行動	acción	N	N
博士	médico	博士	médico	N	N
博士	doutor	博士	doutor	N	N
尾	cola	尾	cola	N	N
漫畫	debuxos	漫畫	debuxo	N	N
漫畫	viñetas	漫畫	viñeta	N	N
漫畫	viñeta	漫畫	viñeta	N	N
生物	bioloxía	生物	bioloxía	N	N
生物	criaturas	生物	criatura	N	N
生物	organismos	生物	organismo	N	N
生物	criatura	生物	criatura	N	N
城鎮	cidade	城鎮	cidade	N	N
城鎮	pobo	城鎮	pobo	N	N
城鎮	vila	城鎮	vila	N	N
