το	la	ο	el	DET;NOM;DEF;NEUT;SG	DET;DEF;FEM;SG
νέα	noves	νέος	nou	ADJ;NOM;NEUT;PL	ADJ;FEM;PL
περίπου	aproximadament	περίπου	aproximadament	ADV	ADV
πριν	abans	πριν	abans	ADV	ADV
χωρίς	sense	χωρίς	sense	ADP	ADP
εθνική	national	εθνικός	national	ADJ;NOM;FEM;SG	ADJ;SG
εθνική	nacional	εθνικός	nacional	ADJ;NOM;FEM;SG	ADJ;SG
συζήτηση	conversa	συζήτηση	conversa	N;ACC;FEM;SG	N;FEM;SG
συζήτηση	debat	συζήτηση	debat	N;ACC;FEM;SG	N;MASC;SG
συζήτηση	discussió	συζήτηση	discussió	N;ACC;FEM;SG	N;FEM;SG
συζήτηση	debat	συζήτηση	debat	N;ACC;FEM;SG	N;MASC;SG
αρχείο	arxiu	αρχείο	arxiu	N;NOM;NEUT;SG	N;MASC;SG
αρχείο	arxiu	αρχείο	arxiu	N;NOM;NEUT;SG	N;MASC;SG
αρχείο	fitxer	αρχείο	fitxer	N;NOM;NEUT;SG	N;MASC;SG
φορά	temps	φορά	temps	N;ACC;FEM;SG	N;MASC
έλληνες	grecs	έλληνας	grec	ADJ;NOM;MASC;PL	ADJ;MASC;PL
ομάδες	grups	ομάδα	grup	N;NOM;FEM;PL	N;MASC;PL
ομάδες	equips	ομάδα	equip	N;NOM;FEM;PL	N;MASC;PL
έργο	projecte	έργο	projecte	N;NOM;NEUT;SG	N;MASC;SG
έργο	treball	έργο	treball	N;NOM;NEUT;SG	N;MASC;SG
κυρίως	principalment	κυρίως	principalment	ADV	ADV
κυρίως	majoritàriament	κυρίως	majoritàriament	ADV	ADV
ελληνική	grec	ελληνικός	grec	ADJ;NOM;FEM;SG	ADJ;MASC;SG
ποδοσφαιριστές	futbolistes	ποδοσφαιριστής	futbolista	N;NOM;MASC;PL	N;PL
ταινία	cinta	ταινία	cinta	N;NOM;FEM;SG	N;FEM;SG
ταινία	film	ταινία	film	N;NOM;FEM;SG	N;MASC;SG
άλλα	altres	άλλος	altre	PRO;NOM;NEUT;PL;3	PRO;PL
άλλα	altres	άλλος	altre	PRO;NOM;NEUT;PL;3	PRO;PL
τμήμα	departament	τμήμα	departament	N;NOM;NEUT;SG	N;MASC;SG
τμήμα	secció	τμήμα	secció	N;NOM;NEUT;SG	N;FEM;SG
εκεί	allà	εκεί	allà	ADV	ADV
άλλες	altres	άλλος	altre	PRO;NOM;FEM;PL;3	PRO;PL
τέλος	finalment	τέλος	finalment	ADV	ADV
στοιχεία	elements	στοιχείο	element	N;NOM;NEUT;PL	N;MASC;PL
στοιχεία	dades	στοιχείο	dada	N;NOM;NEUT;PL	N;FEM;PL
συνέχεια	continuïtat	συνέχεια	continuïtat	N;ACC;FEM;SG	N;FEM;SG
σύστημα	sistema	σύστημα	sistema	N;NOM;NEUT;SG	N;MASC;SG
ακόμα	encara	ακόμα	encara	ADV	ADV
φορές	vegades	φορά	vegada	N;NOM;FEM;PL	N;FEM;PL
ίδια	idèntic	ίδιος	idèntic	ADJ;NOM;FEM;SG	ADJ;MASC;SG
ιουλίου	juliol	ιούλιος	juliol	N;GEN;NEUT;SG	N
αποτέλεσμα	resultat	αποτέλεσμα	resultat	N;ACC;NEUT;SG	N;MASC;SG
αποτέλεσμα	efecte	αποτέλεσμα	efecte	N;ACC;NEUT;SG	N;MASC;SG
οκτωβρίου	octubre	οκτώβριος	octubre	N;GEN;MASC;SG	N
σεπτεμβρίου	setembre	σεπτέμβριο	setembre	N;GEN;MASC;SG	N
νοεμβρίου	novembre	νόεμβριος	novembre	N;GEN;MASC;SG	N
αγώνες	mistos	αγώνας	mist	N;NOM;MASC;PL	N;MASC;PL
αγώνες	partits	αγώνας	partit	N;NOM;MASC;PL	N;MASC;PL
αγώνες	coincidències	αγώνας	coincidència	N;NOM;MASC;PL	N;FEM;PL
αγώνες	jocs	αγώνας	joc	N;NOM;MASC;PL	N;MASC;PL
ταινίες	films	ταινία	film	N;NOM;FEM;PL	N;MASC;PL
μέσω	mitjançant	μέσω	mitjançant	ADP	ADP
μαρτίου	març	μάρτιος	març	N;GEN;MASC;SG	N
ιουνίου	juny	ιούνιος	juny	N;GEN;MASC;SG	N
απριλίου	abril	απρίλιος	abril	N;GEN;MASC;SG	N
τρεις	tres	τρεις	tres	NUM;NOM;MASC;PL	NUM;PL
αυγούστου	agost	αυγούστος	agost	N;GEN;MASC;SG	N
έργα	obres	έργο	obra	N;NOM;NEUT;PL	N;FEM;PL
έργα	projectes	έργο	projecte	N;NOM;NEUT;PL	N;MASC;PL
δεκεμβρίου	desembre	δεκέμβριο	desembre	N;GEN;MASC;SG	N
χρήση	utilització	χρήση	utilització	N;ACC;FEM;SG	N;FEM;SG
χρήση	ús	χρήση	ús	N;ACC;FEM;SG	N;MASC;SG
πρόεδρος	president	πρόεδρος	president	N;ACC;MASC;SG	N;MASC;SG
πολιτική	pòlissa	πολιτική	pòlissa	N;NOM;FEM;SG	N;FEM;SG
ακόμη	encara	ακόμα	encara	ADV	ADV
εκλογές	eleccions	εκλογή	elecció	N;NOM;FEM;PL	N;FEM;PL
μέλη	membres	μέλος	membre	N;NOM;NEUT;PL	N;MASC;PL
τελικά	eventualment	τελικά	eventualment	ADV	ADV
τελικά	finalment	τελικά	finalment	ADV	ADV
μέλος	membre	μέλος	membre	N;NOM;NEUT;SG	N;MASC;SG
εποχή	temporada	εποχή	temporada	N;ACC;FEM;SG	N;FEM;SG
χωριό	poble	χωριό	poble	N;NOM;NEUT;SG	N;MASC;SG
χωριό	aldea	χωριό	aldea	N;NOM;NEUT;SG	N;FEM;SG
αρχικά	inicialment	αρχικά	inicialment	ADV	ADV
αρχικά	originàriament	αρχικά	originàriament	ADV	ADV
αρχικά	originalment	αρχικά	originalment	ADV	ADV
περίοδος	període	περίοδος	període	N;NOM;FEM;SG	N;MASC;SG
δήμος	municipi	δήμος	municipi	N;NOM;MASC;SG	N;MASC;SG
κύπελλο	tassa	κύπελλος	tassa	N;NOM;NEUT;SG	N;FEM;SG
κύπελλο	cup	κύπελλος	cup	N;NOM;NEUT;SG	N;FEM;SG
ζωή	vida	ζωή	vida	N;ACC;FEM;SG	N;FEM;SG
περιλαμβάνει	inclou	περιλαμβάνω	incloure	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
κέντρο	centre	κέντρο	centre	N;NOM;NEUT;SG	N;MASC;SG
κέντρο	centre	κέντρο	centre	N;NOM;NEUT;SG	N;MASC;SG
γεννήσεις	naixements	γεννήση	naixement	N;NOM;FEM;PL	N;MASC;PL
φεβρουαρίου	febrer	φεβρουάριο	febrer	N;GEN;MASC;SG	N
μορφή	formulari	μορφή	formulari	N;NOM;FEM;SG	N;MASC;SG
χρόνο	temps	χρόνος	temps	N;ACC;MASC;SG	N;MASC
κόμμα	partit	κόμμα	partit	N;NOM;NEUT;SG	N;MASC;SG
κόμμα	festa	κόμμα	festa	N;NOM;NEUT;SG	N;FEM;SG
γιατί	perquè	γιατί	perquè	CONJ	CONJ
άλμπουμ	àlbum	άλμπουμ	àlbum	N;MASC;SG	N;MASC;SG
επειδή	perquè	επειδή	perquè	CONJ	CONJ
έκδοση	versió	έκδοση	versió	N;ACC;FEM;SG	N;FEM;SG
αρχές	autoritats	αρχή	autoritat	N;NOM;FEM;PL	N;FEM;PL
αρχές	principis	αρχή	principi	N;NOM;FEM;PL	N;MASC;PL
συνήθως	habitualment	συνήθως	habitualment	ADV	ADV
συνήθως	normalment	συνήθως	normalment	ADV	ADV
ονομασία	denominació	ονομασία	denominació	N;NOM;FEM;SG	N;FEM;SG
κοινότητα	comunitat	κοινότητα	comunitat	N;ACC;FEM;SG	N;FEM;SG
τελευταία	darrerament	τελευταία	darrerament	ADV	ADV
τελευταία	últimament	τελευταία	últimament	ADV	ADV
κυβέρνηση	govern	κυβέρνηση	govern	N;NOM;FEM;SG	N;MASC;SG
γλώσσα	idioma	γλώσσα	idioma	N;NOM;FEM;SG	N;MASC;SG
γλώσσα	llenguatge	γλώσσα	llenguatge	N;NOM;FEM;SG	N;MASC;SG
γιος	fill	γιος	fill	N;NOM;MASC;SG	N;MASC;SG
μάχη	batalla	μάχη	batalla	N;ACC;FEM;SG	N;FEM;SG
πανεπιστήμιο	universitat	πανεπιστήμιο	universitat	N;NOM;NEUT;SG	N;FEM;SG
κάποια	alguns	κάποιος	algun	PRO;NOM;NEUT;PL;3	PRO;MASC;PL
κάποια	algunes	κάποιος	algun	PRO;NOM;NEUT;PL;3	PRO;FEM;PL
συχνά	freqüentment	συχνά	freqüentment	ADV	ADV
συχνά	sovint	συχνά	sovint	ADV	ADV
περιοχές	regions	περιοχή	regió	N;NOM;FEM;PL	N;FEM;PL
περιοχές	zones	περιοχή	zona	N;NOM;FEM;PL	N;FEM;PL
περιοχές	àrees	περιοχή	àrea	N;NOM;FEM;PL	N;FEM;PL
περιοχές	àmbits	περιοχή	àmbit	N;NOM;FEM;PL	N;MASC;PL
άρθρο	article	άρθρο	article	N;NOM;NEUT;SG	N;MASC;SG
εικόνα	imatge	εικόνα	imatge	N;NOM;FEM;SG	N;FEM;SG
κατοίκους	habitants	κάτοικος	habitant	N;ACC;MASC;PL	N;PL
κατοίκους	residents	κάτοικος	resident	N;ACC;MASC;PL	N;PL
πηγές	fonts	πηγή	font	N;NOM;FEM;PL	N;FEM;PL
πόλεις	ciutats	πόλη	ciutat	N;NOM;FEM;PL	N;FEM;PL
ιδιαίτερα	particularment	ιδιαίτερα	particularment	ADV	ADV
ιδιαίτερα	sobretot	ιδιαίτερα	sobretot	ADV	ADV
ιδιαίτερα	especialment	ιδιαίτερα	especialment	ADV	ADV
αγώνα	cursa	αγώνας	cursa	N;ACC;MASC;SG	N;FEM;SG
αγώνα	coincidència	αγώνας	coincidència	N;ACC;MASC;SG	N;FEM;SG
γεγονός	esdeveniment	γεγονός	esdeveniment	N;NOM;NEUT;SG	N;MASC;SG
θέμα	temàtica	θέμα	temàtica	N;NOM;NEUT;SG	N;FEM;SG
θέμα	tema	θέμα	tema	N;NOM;NEUT;SG	N;MASC;SG
θέμα	assignatura	θέμα	assignatura	N;NOM;NEUT;SG	N;FEM;SG
ηλικία	edat	ηλικία	edat	N;NOM;FEM;SG	N;FEM;SG
μέγεθος	mida	μέγεθος	mida	N;NOM;NEUT;SG	N;FEM;SG
εδώ	aquí	εδώ	aquí	ADV	ADV
σημείο	punt	σημείο	punt	N;NOM;NEUT;SG	N;MASC;SG
σχέση	relació	σχέση	relació	N;ACC;FEM;SG	N;FEM;SG
νέο	nova	νέος	nou	ADJ;ACC;NEUT;SG	ADJ;FEM;SG
νέο	nou	νέος	nou	ADJ;ACC;NEUT;SG	ADJ;MASC;SG
ήδη	ja	ήδη	ja	ADV	ADV
έτος	any	έτος	any	N;ACC;NEUT;SG	N;MASC;SG
σχεδόν	gairebé	σχεδόν	gairebé	ADV	ADV
ένωση	unió	ένωση	unió	N;NOM;FEM;SG	N;FEM;SG
ένωση	associació	ένωση	associació	N;NOM;FEM;SG	N;FEM;SG
περισσότερο	més	πολύ	més	ADV;CMPR	ADV
βασιλιά	rei	βασιλιάς	rei	N;ACC;MASC;SG	N;MASC;SG
εκκλησία	església	εκκλησία	església	N;NOM;FEM;SG	N;FEM;SG
μουσείο	museum	μουσείο	museum	N;NOM;NEUT;SG	N;MASC;SG
μουσείο	museu	μουσείο	museu	N;NOM;NEUT;SG	N;MASC;SG
πολιτικός	polític	πολιτικός	polític	ADJ;NOM;MASC;SG	ADJ;MASC;SG
συμμετοχή	implicació	συμμετοχή	implicació	N;NOM;FEM;SG	N;FEM;SG
συμμετοχή	participació	συμμετοχή	participació	N;NOM;FEM;SG	N;FEM;SG
δυο	dos	δύο	dos	NUM;NOM;PL	NUM;MASC;PL
δυο	dues	δύο	dos	NUM;NOM;PL	NUM;FEM;PL
πέθανε	morir	πεθαίνω	morir	V;PFV;IND;SG;3;PST;FIN;ACT	V;NFIN
κόσμο	món	κόσμος	món	N;ACC;MASC;SG	N;MASC;SG
άτομα	persones	άτομο	persona	N;NOM;NEUT;PL	N;FEM;PL
είδος	tipus	είδος	tipus	N;NOM;NEUT;SG	N;MASC
είδος	espècie	είδος	espècie	N;NOM;NEUT;SG	N;FEM;SG
αρκετά	prou	αρκετά	prou	ADV	ADV
χώρες	països	χώρα	país	N;NOM;FEM;PL	N;MASC;PL
χώρο	espai	χώρος	espai	N;ACC;MASC;SG	N;MASC;SG
σχολή	escola	σχολή	escola	N;NOM;FEM;SG	N;FEM;SG
εναντίον	contra	εναντίον	contra	ADP	ADP
τρία	tres	τρεις	tres	NUM;NOM;NEUT;PL	NUM;PL
χαρακτηριστικά	funcionalitats	χαρακτηριστικός	funcionalitat	N;NOM;NEUT;PL	N;FEM;PL
χαρακτηριστικά	característiques	χαρακτηριστικός	característica	N;NOM;NEUT;PL	N;FEM;PL
χαρακτηριστικά	atributs	χαρακτηριστικός	atribut	N;NOM;NEUT;PL	N;MASC;PL
όρος	termini	όρος	termini	N;NOM;MASC;SG	N;MASC;SG
όρος	condició	όρος	condició	N;NOM;MASC;SG	N;FEM;SG
βασιλιάς	rei	βασιλιάς	rei	N;NOM;MASC;SG	N;MASC;SG
παιδιά	nois	παιδί	noi	N;NOM;NEUT;PL	N;MASC;PL
παιδιά	boys	παιδί	boy	N;NOM;NEUT;PL	N;MASC;PL
παιδιά	nens	παιδί	nen	N;NOM;NEUT;PL	N;MASC;PL
παιδιά	nois	παιδί	noi	N;NOM;NEUT;PL	N;MASC;PL
παιδιά	fills	παιδί	fill	N;NOM;NEUT;PL	N;MASC;PL
παιδιά	infants	παιδί	infant	N;NOM;NEUT;PL	N;MASC;PL
παιδιά	nens	παιδί	nen	N;NOM;NEUT;PL	N;MASC;PL
βραβείο	premi	βραβείο	premi	N;NOM;NEUT;SG	N;MASC;SG
βραβείο	premi	βραβείο	premi	N;NOM;NEUT;SG	N;MASC;SG
βραβείο	adjudicació	βραβείο	adjudicació	N;NOM;NEUT;SG	N;FEM;SG
βραβείο	guardó	βραβείο	guardó	N;NOM;NEUT;SG	N;MASC;SG
μήκος	longitud	μήκος	longitud	N;ACC;NEUT;SG	N;FEM;SG
τι	quina	τι	quin	PRO;NOM;NEUT;SG;3	PRO;FEM;SG
τι	quin	τι	quin	PRO;NOM;NEUT;SG;3	PRO;MASC;SG
τι	què	τι	què	PRO;NOM;NEUT;SG;3	PRO;SG
χρονιά	any	χρονιά	any	N;ACC;FEM;SG	N;MASC;SG
παραγωγή	producció	παραγωγή	producció	N;NOM;FEM;SG	N;FEM;SG
ηθοποιός	actriu	ηθοποιός	actriu	N;NOM;MASC;SG	N;FEM;SG
ηθοποιός	actor	ηθοποιός	actor	N;NOM;MASC;SG	N;MASC;SG
ούτε	ni	ούτε	ni	CONJ	CONJ
δυνάμεις	atribucions	δύναμη	atribució	N;NOM;FEM;PL	N;FEM;PL
δυνάμεις	competències	δύναμη	competència	N;NOM;FEM;PL	N;FEM;PL
δυνάμεις	poders	δύναμη	poder	N;NOM;FEM;PL	N;MASC;PL
δυνάμεις	forces	δύναμη	força	N;NOM;FEM;PL	N;FEM;PL
ελληνικό	grec	ελληνικός	grec	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
δεκαετία	dècada	δεκαετία	dècada	N;ACC;FEM;SG	N;FEM;SG
γνωστό	conegut	γνωστός	conegut	ADJ;NOM;NEUT;SG	ADJ;MASC;SG;V.PTCP
παγκόσμιο	global	παγκόσμιος	global	ADJ;NOM;NEUT;SG	ADJ;SG
βιβλίο	llibre	βιβλίο	llibre	N;NOM;NEUT;SG	N;MASC;SG
διάστημα	espai	διάστημα	espai	N;NOM;NEUT;SG	N;MASC;SG
οικογένεια	família	οικογένεια	família	N;NOM;FEM;SG	N;FEM;SG
μέτρα	mesures	μέτρο	mesura	N;NOM;NEUT;PL	N;FEM;PL
πέντε	cinc	πέντε	cinc	NUM;NOM;MASC;PL	NUM;PL
υπουργός	ministre	υπουργός	ministre	N;NOM;MASC;SG	N;MASC;SG
σεζόν	temporada	σεζόν	temporada	N;ACC;FEM;SG	N;FEM;SG
πρότυπο	model	πρότυπο	model	N;NOM;NEUT;SG	N;MASC;SG
πρότυπο	plantilla	πρότυπο	plantilla	N;NOM;NEUT;SG	N;FEM;SG
αριθμός	número	αριθμός	número	N;NOM;MASC;SG	N;MASC;SG
αριθμός	nombre	αριθμός	nombre	N;NOM;MASC;SG	N;MASC;SG
θάνατο	defunció	θάνατος	defunció	N;ACC;MASC;SG	N;FEM;SG
εταιρεία	companyia	εταιρεία	companyia	N;NOM;FEM;SG	N;FEM;SG
εταιρεία	empresa	εταιρεία	empresa	N;NOM;FEM;SG	N;FEM;SG
σώμα	cos	σώμα	cos	N;NOM;NEUT;SG	N;MASC;SG
πρωτεύουσα	capital	πρωτεύουσα	capital	N;NOM;FEM;SG	N;MASC;SG
γνωστή	conegut	γνωστός	conegut	ADJ;NOM;FEM;SG	ADJ;MASC;SG;V.PTCP
κατάσταση	situació	κατάσταση	situació	N;ACC;FEM;SG	N;FEM;SG
κατάσταση	condició	κατάσταση	condició	N;ACC;FEM;SG	N;FEM;SG
νησί	illa	νησί	illa	N;NOM;NEUT;SG	N;FEM;SG
επίπεδο	nivell	επίπεδο	nivell	N;NOM;NEUT;SG	N;MASC;SG
επιτυχία	èxit	επιτυχία	èxit	N;NOM;FEM;SG	N;MASC;SG
άλλους	altres	άλλος	altre	PRO;NOM;MASC;PL;3	PRO;PL
δημιουργία	creació	δημιουργία	creació	N;ACC;FEM;SG	N;FEM;SG
αρχή	inici	αρχή	inici	N;NOM;FEM;SG	N;MASC;SG
αρχή	autoritat	αρχή	autoritat	N;NOM;FEM;SG	N;FEM;SG
άδεια	llicència	άδεια	llicència	N;NOM;FEM;SG	N;FEM;SG
άδεια	permís	άδεια	permís	N;NOM;FEM;SG	N;MASC;SG
άδεια	llicència	άδεια	llicència	N;NOM;FEM;SG	N;FEM;SG
άδεια	permís	άδεια	permís	N;NOM;FEM;SG	N;MASC;SG
ανάπτυξη	desenvolupament	ανάπτυξη	desenvolupament	N;ACC;FEM;SG	N;MASC;SG
ανάπτυξη	creixement	ανάπτυξη	creixement	N;ACC;FEM;SG	N;MASC;SG
φάση	fase	φάση	fase	N;ACC;FEM;SG	N;FEM;SG
συγγραφέας	escriptor	συγγραφέα	escriptor	N;NOM;MASC;SG	N;MASC;SG
συγγραφέας	autor	συγγραφέα	autor	N;NOM;MASC;SG	N;MASC;SG
θάνατοι	defuncions	θάνατος	defunció	N;NOM;MASC;PL	N;FEM;PL
τραγούδι	cantant	τραγούδι	cantant	N;NOM;NEUT;SG	N;SG
τραγούδι	cançó	τραγούδι	cançó	N;NOM;NEUT;SG	N;FEM;SG
κόρη	filla	κόρη	filla	N;NOM;FEM;SG	N;FEM;SG
επαρχία	província	επαρχία	província	N;NOM;FEM;SG	N;FEM;SG
άλλοι	altres	άλλος	altre	PRO;NOM;MASC;PL;3	PRO;PL
κέρδισε	guanyar	κερδίζω	guanyar	V;PFV;IND;SG;3;PST;FIN;ACT	V;NFIN
σκοπό	finalitat	σκοπός	finalitat	N;ACC;MASC;SG	N;FEM;SG
σκοπό	propòsit	σκοπός	propòsit	N;ACC;MASC;SG	N;MASC;SG
γνωστός	conegut	γνωστός	conegut	ADJ;NOM;MASC;SG	ADJ;MASC;SG;V.PTCP
γνωστός	conegut	γνωστός	conegut	ADJ;NOM;MASC;SG	ADJ;MASC;SG;V.PTCP
εθνικό	national	εθνικός	national	ADJ;NOM;NEUT;SG	ADJ;SG
εθνικό	nacional	εθνικός	nacional	ADJ;NOM;NEUT;SG	ADJ;SG
καριέρα	carrera	καριέρα	carrera	N;ACC;FEM;SG	N;FEM;SG
ποτέ	mai	ποτέ	mai	ADV	ADV
τέλη	honoraris	τέλος	honorari	N;ACC;NEUT;PL	N;MASC;PL
τέλη	taxes	τέλος	taxa	N;ACC;NEUT;PL	N;FEM;PL
πλευρά	costat	πλευρά	costat	N;ACC;FEM;SG	N;MASC;SG
ανήκει	pertany	ανήκω	pertànyer	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
πρόγραμμα	programa	πρόγραμμα	programa	N;NOM;NEUT;SG	N;MASC;SG
πρόγραμμα	horari	πρόγραμμα	horari	N;NOM;NEUT;SG	N;MASC;SG
πρόγραμμα	programa	πρόγραμμα	programa	N;NOM;NEUT;SG	N;MASC;SG
χιλιόμετρα	milles	χιλιόμετρο	milla	N;NOM;NEUT;PL	N;FEM;PL
χιλιόμετρα	kilòmetres	χιλιόμετρο	kilòmetre	N;NOM;NEUT;PL	N;MASC;PL
χιλιόμετρα	quilòmetres	χιλιόμετρο	quilòmetre	N;NOM;NEUT;PL	N;MASC;PL
χιλιόμετρα	quilòmetres	χιλιόμετρο	quilòmetre	N;NOM;NEUT;PL	N;MASC;PL
χιλιόμετρα	kilòmetres	χιλιόμετρο	kilòmetre	N;NOM;NEUT;PL	N;MASC;PL
κάτοικοι	habitants	κάτοικος	habitant	N;NOM;MASC;PL	N;PL
κάτοικοι	residents	κάτοικος	resident	N;NOM;MASC;PL	N;PL
άρθρα	articles	άρθρο	article	N;NOM;NEUT;PL	N;MASC;PL
τύπου	premsa	τύπος	premsa	N;GEN;MASC;SG	N;FEM;SG
τύπου	tipus	τύπος	tipus	N;GEN;MASC;SG	N;MASC
δημοκρατία	república	δημοκρατία	república	N;NOM;FEM;SG	N;FEM;SG
δημοκρατία	democràcia	δημοκρατία	democràcia	N;NOM;FEM;SG	N;FEM;SG
εφημερίδα	diari	εφημερίδα	diari	N;NOM;FEM;SG	N;MASC;SG
μικρό	petita	μικρός	petit	ADJ;NOM;NEUT;SG	ADJ;FEM;SG
τόπος	lloc	τόπος	lloc	N;NOM;MASC;SG	N;MASC;SG
τόπος	localització	τόπος	localització	N;NOM;MASC;SG	N;FEM;SG
τόπος	ubicació	τόπος	ubicació	N;NOM;MASC;SG	N;FEM;SG
τόπος	emplaçament	τόπος	emplaçament	N;NOM;MASC;SG	N;MASC;SG
συγκεκριμένα	específicament	συγκεκριμένα	específicament	ADV	ADV
συγκεκριμένα	concretament	συγκεκριμένα	concretament	ADV	ADV
είδη	espècies	είδος	espècie	N;NOM;NEUT;PL	N;FEM;PL
πηγή	font	πηγή	font	N;NOM;FEM;SG	N;FEM;SG
κάποιος	algú	κάποιος	algú	PRO;NOM;MASC;SG;3	PRO;SG
πρωταθλήματα	campionats	πρωτάθλημα	campionat	N;NOM;NEUT;PL	N;MASC;PL
πατέρας	pare	πατέρα	pare	N;NOM;MASC;SG	N;MASC;SG
κατηγορίες	càrrecs	κατηγορία	càrrec	N;NOM;FEM;PL	N;MASC;PL
κατηγορίες	categories	κατηγορία	categoria	N;NOM;FEM;PL	N;FEM;PL
αναφέρει	esmenta	αναφέρω	esmentar	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
ποδόσφαιρο	soccer	ποδόσφαιρος	soccer	N;NOM;NEUT;SG	N;SG
ποδόσφαιρο	futbol	ποδόσφαιρος	futbol	N;NOM;NEUT;SG	N;MASC;SG
θέσεις	posicions	θέση	posició	N;NOM;FEM;PL	N;FEM;PL
θέσεις	publicacions	θέση	publicació	N;NOM;FEM;PL	N;FEM;PL
θέσεις	seients	θέση	seient	N;NOM;FEM;PL	N;MASC;PL
θέσεις	assentaments	θέση	assentament	N;NOM;FEM;PL	N;MASC;PL
έκταση	àmbit	έκταση	àmbit	N;ACC;FEM;SG	N;MASC;SG
έκταση	abast	έκταση	abast	N;ACC;FEM;SG	N;MASC;SG
έκταση	àmbit	έκταση	àmbit	N;ACC;FEM;SG	N;MASC;SG
έκταση	àrea	έκταση	àrea	N;ACC;FEM;SG	N;FEM;SG
γενικά	generalment	γενικά	generalment	ADV	ADV
σημαντικό	important	σημαντικός	important	ADJ;NOM;NEUT;SG	ADJ;SG
μικρή	petita	μικρός	petit	ADJ;NOM;FEM;SG	ADJ;FEM;SG
έτη	anys	έτος	any	N;NOM;NEUT;PL	N;MASC;PL
πατέρα	pare	πατέρα	pare	N;ACC;MASC;SG	N;MASC;SG
αμερικανός	americà	Αμερικανός	americà	ADJ;NOM;MASC;SG	ADJ;MASC;SG
πάντα	sempre	πάντα	sempre	ADV	ADV
παραγωγής	producció	παραγωγή	producció	N;GEN;FEM;SG	N;FEM;SG
