partigiani	partyzantów	partigiano	partyzant	N;MASC;PL	N;ACC;MASC;PL
comunisti	komuniści	comunista	komunista	N;MASC;PL	N;NOM;MASC;PL
organismi	organizmów	organismo	organizm	N;MASC;PL	N;GEN;MASC;PL
terribile	okropne	terribile	okropny	ADJ;SG	ADJ;NOM;NEUT;SG
terribile	straszne	terribile	straszny	ADJ;SG	ADJ;NOM;NEUT;SG
terribile	okropny	terribile	okropny	ADJ;SG	ADJ;NOM;MASC;SG
terribile	straszne	terribile	straszny	ADJ;SG	ADJ;NOM;NEUT;SG
terribile	straszna	terribile	straszny	ADJ;SG	ADJ;NOM;FEM;SG
terribile	straszny	terribile	straszny	ADJ;SG	ADJ;NOM;MASC;SG
hell	piekło	hell	piekło	N	N;NOM;NEUT;SG
kiss	pocałunek	kiss	pocałunek	N	N;NOM;MASC;SG
gestita	udało	gestire	udać	V;FEM;SG;PST;V.PTCP	V;PFV;NEUT;IND;SG;PST;FIN;ACT
topolino	myszki	topolino	myszka	N;MASC;SG	N;ACC;FEM;SG
topolino	myszka	topolino	myszko	N;MASC;SG	N;NOM;FEM;SG
crimine	przestępstwo	crimine	przestępstwo	N;MASC;SG	N;NOM;NEUT;SG
crimine	przestępczość	crimine	przestępczość	N;MASC;SG	N;NOM;FEM;SG
crimine	przestępstwa	crimine	przestępstwo	N;MASC;SG	N;NOM;NEUT;SG
crimine	zbrodnie	crimine	zbrodnie	N;MASC;SG	N;NOM;FEM;SG
crimine	zbrodnia	crimine	zbrodnia	N;MASC;SG	N;NOM;FEM;SG
teatri	teatrów	teatro	teatr	N;MASC;PL	N;GEN;MASC;PL
teatri	teatrów	teatro	teatr	N;MASC;PL	N;GEN;MASC;PL
taglia	wielkość	taglia	wielkość	N;FEM;SG	N;ACC;FEM;SG
taglia	rozmiar	taglia	rozmiar	N;FEM;SG	N;NOM;MASC;SG
rettangolare	prostokątne	rettangolare	prostokątny	ADJ;SG	ADJ;NOM;NEUT;SG
riposo	spoczynku	riposo	spoczynek	N;MASC;SG	N;GEN;MASC;SG
riposo	wypoczynek	riposo	wypoczynek	N;MASC;SG	N;ACC;FEM;SG
riposo	odpoczynek	riposo	odpoczynek	N;MASC;SG	N;ACC;MASC;SG
intensa	intensywny	intenso	intensywny	ADJ;FEM;SG	ADJ;NOM;MASC;SG
intensa	intensywna	intenso	intensywny	ADJ;FEM;SG	ADJ;NOM;FEM;SG
intensa	intensywne	intenso	intensywny	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
laser	lasery	laser	laser	N;MASC	N;NOM;MASC;PL
mentale	psychiczna	mentale	psychiczny	ADJ;SG	ADJ;NOM;FEM;SG
mentale	psychiczne	mentale	psychiczny	ADJ;SG	ADJ;NOM;NEUT;SG
mentale	umysłowe	mentale	umysłowy	ADJ;SG	ADJ;NOM;NEUT;SG
mentale	psychiczny	mentale	psychiczny	ADJ;SG	ADJ;NOM;MASC;SG
mentale	psychicznego	mentale	psychiczny	ADJ;SG	ADJ;ACC;MASC;SG
allenamento	trening	allenamento	trening	N;MASC;SG	N;NOM;MASC;SG
allenamento	praktyce	allenamento	praktyka	N;MASC;SG	N;GEN;FEM;SG
allenamento	trening	allenamento	trening	N;MASC;SG	N;NOM;MASC;SG
allenamento	praktyka	allenamento	praktyka	N;MASC;SG	N;NOM;FEM;SG
ritratti	portrety	ritratto	portret	N;MASC;PL	N;NOM;MASC;PL
sergente	sierżant	sergente	sierżant	N;MASC;SG	N;NOM;MASC;SG
sergente	sierżant	sergente	sierżant	N;MASC;SG	N;NOM;MASC;SG
invenzione	wynalazek	invenzione	wynalazek	N;FEM;SG	N;ACC;MASC;SG
ristorante	restauracja	ristorante	restauracja	N;MASC;SG	N;NOM;FEM;SG
ristorante	restauracji	ristorante	restauracja	N;MASC;SG	N;GEN;FEM;SG
marchi	znaki	marchio	znak	N;MASC;PL	N;NOM;MASC;PL
marchi	ślady	marchio	ślad	N;MASC;PL	N;NOM;MASC;PL
borghese	borghese	borghese	borghes	N;MASC;SG	N;ACC;MASC;SG
channel	kanału	channel	kanał	N;MASC	N;GEN;MASC;SG
channel	kanały	channel	kanał	N;MASC	N;NOM;MASC;PL
channel	kanał	channel	kanał	N;MASC	N;ACC;MASC;SG
indipendentemente	niezależnie	indipendentemente	niezależnie	ADV	ADV
antologia	anthology	antologia	antholog	N;FEM;SG	N;ACC;MASC;SG
ritardo	opóźnienia	ritardo	opóźnienie	N;MASC;SG	N;NOM;NEUT;SG
ritardo	opóźnienie	ritardo	opóźnienie	N;MASC;SG	N;NOM;NEUT;SG
ritardo	opóźnienie	ritardo	opóźnienie	N;MASC;SG	N;NOM;NEUT;SG
cancro	rak	cancro	rak	N;MASC;SG	N;NOM;MASC;SG
cancro	nowotwór	cancro	nowotwór	N;MASC;SG	N;NOM;MASC;SG
bande	zespoły	banda	zespół	N;FEM;PL	N;NOM;MASC;PL
bande	opaski	banda	opaski	N;FEM;PL	N;ACC;MASC;PL
bande	gangów	banda	gang	N;FEM;PL	N;GEN;MASC;PL
bande	gangi	banda	ganga	N;FEM;PL	N;NOM;MASC;PL
cappelle	kaplic	cappella	kaplica	N;FEM;PL	N;GEN;FEM;PL
beata	błogosławiony	beato	błogosławić	ADJ;FEM;SG	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
perfetta	idealna	perfetto	idealny	ADJ;FEM;SG	ADJ;NOM;FEM;SG
perfetta	idealne	perfetto	idealny	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
perfetta	idealny	perfetto	idealny	ADJ;FEM;SG	ADJ;NOM;MASC;SG
autrice	autorka	autore	autorka	N;FEM;SG	N;NOM;FEM;SG
prete	ksiądz	prete	ksiądz	N;MASC;SG	N;NOM;MASC;SG
prete	księdza	prete	ksiądz	N;MASC;SG	N;ACC;MASC;SG
prete	kapłan	prete	kapłan	N;MASC;SG	N;NOM;MASC;SG
cranio	czaszka	cranio	czaszki	N;MASC;SG	N;NOM;FEM;SG
cranio	czaszkę	cranio	czaszka	N;MASC;SG	N;ACC;FEM;SG
nono	dziewiąty	nono	dziewić	ADJ;MASC;SG	ADJ;NOM;MASC;SG
sguardo	spojrzenie	sguardo	spojrzenie	N;MASC;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
orizzontale	horyzontalne	orizzontale	horyzontalny	ADJ;SG	ADJ;NOM;NEUT;SG
catturare	schwytać	catturare	schwytać	V;NFIN	V;PFV;NFIN;ACT
catturare	uchwycić	catturare	uchwycić	V;NFIN	V;PFV;NFIN;ACT
strati	warstwy	strato	warstwa	N;MASC;PL	N;ACC;FEM;PL
strati	warstwy	strato	warstwa	N;MASC;PL	N;ACC;FEM;PL
campana	dzwonek	campana	dzwonek	N;FEM;SG	N;ACC;MASC;SG
campana	dzwon	campana	dzwon	N;FEM;SG	N;NOM;MASC;SG
frederick	fryderyk	frederick	fryderyk	N;MASC	N;NOM;MASC;SG
tombe	groby	tomba	grób	N;FEM;PL	N;NOM;MASC;PL
tombe	grobów	tomba	grób	N;FEM;PL	N;GEN;MASC;PL
tombe	groby	tomba	grób	N;FEM;PL	N;NOM;MASC;PL
tombe	grobowce	tomba	grobowiec	N;FEM;PL	N;NOM;MASC;PL
gambe	nogi	gamba	noga	N;FEM;PL	N;NOM;FEM;PL
puro	czysty	puro	czysty	ADJ;MASC;SG	ADJ;NOM;MASC;SG
puro	czyste	puro	czysty	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
miles	kilometrów	miles	kilometr	N	N;GEN;MASC;PL
miles	kilometry	miles	kilometra	N	N;NOM;MASC;PL
connessione	związku	connessione	związek	N;FEM;SG	N;GEN;MASC;SG
connessione	podłączenie	connessione	podłączyć	N;FEM;SG	N;NOM;NEUT;SG
connessione	powiązanie	connessione	powiązanie	N;FEM;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
connessione	połączenie	connessione	połączenie	N;FEM;SG	N;NOM;NEUT;SG
connessione	podłączenie	connessione	podłączyć	N;FEM;SG	N;NOM;NEUT;SG
connessione	łączenie	connessione	łączenie	N;FEM;SG	N;NOM;NEUT;SG
var	var	vario	var		
marcus	marcusa	marcus	marcus	N;MASC;SG	N;ACC;MASC;SG
rappresentanza	reprezentacja	rappresentanza	reprezentacja	N;FEM;SG	N;NOM;FEM;SG
rappresentanza	przedstawicielstwa	rappresentanza	przedstawicielstwo	N;FEM;SG	N;NOM;NEUT;SG
rappresentanza	reprezentacji	rappresentanza	reprezentacja	N;FEM;SG	N;DAT;FEM;SG
rappresentanza	przedstawicielstwo	rappresentanza	przedstawicielstwo	N;FEM;SG	N;NOM;NEUT;SG
anziani	seniorów	anziano	senior	N;MASC;PL	N;ACC;MASC;PL
predecessore	poprzednik	predecessore	poprzednik	N;MASC;SG	N;NOM;MASC;SG
intellettuale	intelektualnej	intellettuale	intelektualny	ADJ;SG	ADJ;GEN;FEM;SG
marittima	morska	marittimo	morski	ADJ;FEM;SG	ADJ;NOM;FEM;SG
marittima	morski	marittimo	morski	ADJ;FEM;SG	ADJ;NOM;MASC;SG
marittima	morskie	marittimo	morski	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
marittima	morskiego	marittimo	morski	ADJ;FEM;SG	ADJ;ACC;MASC;SG
full	pełen	full	pełen	N	N;NOM;MASC;SG
efficacia	skuteczność	efficacia	skuteczność	N;FEM;SG	N;NOM;FEM;SG
efficacia	efektywność	efficacia	efektywność	N;FEM;SG	N;NOM;FEM;SG
efficacia	skuteczności	efficacia	skuteczność	N;FEM;SG	N;GEN;FEM;SG
efficacia	skuteczność	efficacia	skuteczność	N;FEM;SG	N;NOM;FEM;SG
efficacia	efektywność	efficacia	efektywność	N;FEM;SG	N;NOM;FEM;SG
efficacia	skuteczności	efficacia	skuteczność	N;FEM;SG	N;GEN;FEM;SG
spot	miejsce	spot	miejsce	N;MASC	N;NOM;NEUT;SG
batterie	baterie	batteria	batera	N;FEM;PL	N;NOM;FEM;PL
batterie	baterie	batteria	batera	N;FEM;PL	N;NOM;FEM;PL
batterie	akumulatory	batteria	akumulator	N;FEM;PL	N;NOM;MASC;PL
collezioni	zbiory	collezione	zbiór	N;FEM;PL	N;NOM;MASC;PL
collezioni	kolekcje	collezione	kolekcja	N;FEM;PL	N;NOM;FEM;PL
riservato	zastrzeżony	riservato	zastrzeżyć	ADJ;MASC;SG	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
riservato	zarezerwowany	riservato	zarezerwować	ADJ;MASC;SG	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
riservato	zastrzeżone	riservato	zastrzeżyć	ADJ;MASC;SG	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
riservato	zarezerwowane	riservato	zarezerwować	ADJ;MASC;SG	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
manoscritto	rękopis	manoscritto	rękopis	N;MASC;SG	N;ACC;MASC;SG
completamento	zakończenia	completamento	zakończyć	N;MASC;SG	N;PFV;GEN;NEUT;SG;POS;V.MSDR
completamento	wypełnianie	completamento	wypełniać	N;MASC;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
completamento	zakończenie	completamento	zakończyć	N;MASC;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
completamento	wypełnienie	completamento	wypełnić	N;MASC;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
completamento	ukończenie	completamento	ukończyć	N;MASC;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
acronimo	akronim	acronimo	akronić	N;MASC;SG	N;ACC;MASC;SG
armatura	zbroja	armatura	zbrój	N;FEM;SG	N;NOM;FEM;SG
armatura	zbroję	armatura	zbrója	N;FEM;SG	N;ACC;FEM;SG
armatura	zbroi	armatura	zbroić	N;FEM;SG	N;GEN;FEM;SG
armatura	pancerz	armatura	pancerz	N;FEM;SG	N;NOM;MASC;SG
armatura	zbroja	armatura	zbrój	N;FEM;SG	N;NOM;FEM;SG
armatura	zbroję	armatura	zbrója	N;FEM;SG	N;ACC;FEM;SG
armatura	zbroi	armatura	zbroić	N;FEM;SG	N;GEN;FEM;SG
armatura	pancerz	armatura	pancerz	N;FEM;SG	N;NOM;MASC;SG
buio	mroku	buio	mrok	N;MASC;SG	N;GEN;MASC;SG
buio	ciemności	buio	ciemność	N;MASC;SG	N;GEN;FEM;SG
buio	ciemność	buio	ciemność	N;MASC;SG	N;NOM;FEM;SG
buio	mrok	buio	mrok	N;MASC;SG	N;NOM;MASC;SG
dono	prezentu	dono	prezent	N;MASC;SG	N;GEN;MASC;SG
dono	podarunek	dono	podarunek	N;MASC;SG	N;ACC;MASC;SG
dono	prezent	dono	prezent	N;MASC;SG	N;NOM;MASC;SG
dono	dar	dono	dar	N;MASC;SG	N;NOM;MASC;SG
allevamento	hodowla	allevamento	hodowle	N;MASC;SG	N;NOM;FEM;SG
allevamento	hodowli	allevamento	hodowne	N;MASC;SG	N;GEN;FEM;SG
statistica	statystyka	statistica	statystyka	N;FEM;SG	N;NOM;FEM;SG
aaron	aarona	aaron	aarona	N;MASC;SG	N;ACC;MASC;SG
johannes	johannes	johannes	johanny	N;MASC;SG	N;NOM;MASC;SG
prestigio	prestiż	prestigio	prestiż	N;MASC;SG	N;NOM;MASC;SG
votato	zagłosowała	votare	zagłosować	V;MASC;SG;PST;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN;ACT
votato	głosował	votare	głosować	V;MASC;SG;PST;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
votato	zagłosował	votare	zagłosować	V;MASC;SG;PST;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
trionfo	triumf	trionfo	triumf	N;MASC;SG	N;NOM;MASC;SG
identificato	zidentyfikowano	identificare	zidentyfikować	V;MASC;SG;PST;V.PTCP	V;PFV;IND;0;PST;FIN;ACT
english	anglik	english	anglik	N	N;NOM;MASC;SG
lettori	czytelnicy	lettore	czytelnik	N;MASC;PL	N;NOM;MASC;PL
lettori	czytniki	lettore	czytnik	N;MASC;PL	N;ACC;MASC;PL
lettori	czytelników	lettore	czytelnik	N;MASC;PL	N;ACC;MASC;PL
approvato	zatwierdzono	approvare	zatwierdzić	V;MASC;SG;PST;V.PTCP	V;PFV;IND;0;PST;FIN;ACT
organizzatore	organizatorem	organizzatore	organizator	N;MASC;SG	N;INS;MASC;SG
organizzatore	organizator	organizzatore	organizator	N;MASC;SG	N;NOM;MASC;SG
organizzatore	organizatora	organizzatore	organizator	N;MASC;SG	N;ACC;MASC;SG
organizzatore	organizator	organizzatore	organizator	N;MASC;SG	N;NOM;MASC;SG
organizzatore	organizatora	organizzatore	organizator	N;MASC;SG	N;ACC;MASC;SG
vertici	szczytów	vertice	szczyt	N;MASC;PL	N;GEN;MASC;PL
vertici	szczyty	vertice	szczyt	N;MASC;PL	N;NOM;MASC;PL
gemelli	bliźniaki	gemello	bliźniak	N;MASC;PL	N;NOM;MASC;PL
invitato	zaproszono	invitare	zaprosić	V;MASC;SG;PST;V.PTCP	V;PFV;IND;0;PST;FIN;ACT
presumibilmente	przypuszczalnie	presumibilmente	przypuszczalnie	ADV	ADV
presumibilmente	przypuszczalnie	presumibilmente	przypuszczalnie	ADV	ADV
pareri	opinie	parere	opinia	N;MASC;PL	N;NOM;FEM;PL
meccanico	mechaniczny	meccanico	mechaniczny	ADJ;MASC;SG	ADJ;NOM;MASC;SG
meccanico	mechaniczne	meccanico	mechaniczny	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
trilogia	trylogii	trilogia	trylogia	N;FEM;SG	N;GEN;FEM;SG
servire	służyć	servire	służyć	V;NFIN	V;IPFV;NFIN;ACT
servire	służyć	servire	służyć	V;NFIN	V;IPFV;NFIN;ACT
abile	zręczny	abile	zręczny	ADJ;SG	ADJ;NOM;MASC;SG
abile	umiejętne	abile	umiejętny	ADJ;SG	ADJ;NOM;NEUT;SG
temporaneamente	chwilowo	temporaneamente	chwilowo	ADV	ADV
temporaneamente	tymczasowo	temporaneamente	tymczasowo	ADV	ADV
temporaneamente	czasowo	temporaneamente	czasowo	ADV	ADV
temporaneamente	tymczasowo	temporaneamente	tymczasowo	ADV	ADV
grassi	tłuszczów	grasso	tłuszczyć	N;MASC;PL	N;GEN;MASC;PL
grassi	tłuszcze	grasso	tłuszczyć	N;MASC;PL	N;NOM;MASC;PL
contenuta	zawierał	contenuto	zawierać	V;FEM;SG;PST;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
cecilia	cecilia	cecilia	cecilia	N;FEM;SG	N;NOM;FEM;SG
sopravvissuti	przetrwały	sopravvivere	przetrwać	V;MASC;PL;PST;V.PTCP	V;PFV;FEM;IND;PL;PST;FIN;ACT
acquisizione	pozyskanie	acquisizione	pozyskać	N;FEM;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
acquisizione	przejęcie	acquisizione	przejąć	N;FEM;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
acquisizione	nabywanie	acquisizione	nabywać	N;FEM;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
acquisizione	nabycie	acquisizione	nabyta	N;FEM;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
acquisizione	pozyskiwanie	acquisizione	pozyskiwać	N;FEM;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
acquisizione	nabycia	acquisizione	nabyć	N;FEM;SG	N;PFV;GEN;NEUT;SG;POS;V.MSDR
depressione	depresji	depressione	depresja	N;FEM;SG	N;GEN;FEM;SG
depressione	depresja	depressione	depresja	N;FEM;SG	N;NOM;FEM;SG
spessore	grubość	spessore	grubość	N;MASC;SG	N;NOM;FEM;SG
spessore	grubości	spessore	grubość	N;MASC;SG	N;GEN;FEM;SG
identificazione	identyfikacja	identificazione	identyfikacja	N;FEM;SG	N;NOM;FEM;SG
identificazione	identyfikacji	identificazione	identyfikacja	N;FEM;SG	N;GEN;FEM;SG
operativa	operacyjny	operativo	operacyjny	ADJ;FEM;SG	ADJ;NOM;MASC;SG
operativa	operacyjne	operativo	operacyjny	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
operativa	sprawny	operativo	sprawny	ADJ;FEM;SG	ADJ;NOM;MASC;SG
inviata	wysłano	inviare	wysłać	V;FEM;SG;PST;V.PTCP	V;PFV;IND;0;PST;FIN;ACT
petto	skrzynia	petto	skrzyniać	N;MASC;SG	N;NOM;FEM;SG
petto	biust	petto	biust	N;MASC;SG	N;NOM;MASC;SG
circostanze	okoliczności	circostanza	okoliczność	N;FEM;PL	N;ACC;FEM;PL
circostanze	okoliczności	circostanza	okoliczność	N;FEM;PL	N;ACC;FEM;PL
descrivere	opisz	descrivere	opić	V;NFIN	V;PFV;IMP;SG;2;FIN;ACT
descrivere	opisać	descrivere	opisać	V;NFIN	V;PFV;NFIN;ACT
devil	diabła	devil	diabeł	N	N;ACC;MASC;SG
devil	diabeł	devil	diabeł	N	N;NOM;MASC;SG
rilievi	ulgi	rilievo	ulga	N;MASC;PL	N;ACC;FEM;PL
biografie	biografie	biografia	biografia	N;FEM;PL	N;NOM;FEM;PL
pavimento	piętrze	pavimento	piętro	N;MASC;SG	N;ACC;NEUT;SG
pavimento	piętro	pavimento	piętro	N;MASC;SG	N;NOM;NEUT;SG
pavimento	podłoga	pavimento	podłoga	N;MASC;SG	N;NOM;FEM;SG
zucchero	cukrem	zucchero	cukier	N;MASC;SG	N;INS;MASC;SG
zucchero	cukru	zucchero	cukr	N;MASC;SG	N;GEN;MASC;SG
zucchero	cukier	zucchero	cukier	N;MASC;SG	N;NOM;MASC;SG
funzionalità	funkcjonalności	funzionalità	funkcjonalność	N;FEM	N;GEN;FEM;SG
funzionalità	funkcjonalność	funzionalità	funkcjonalność	N;FEM	N;NOM;FEM;SG
funzionalità	funkcje	funzionalità	funkcja	N;FEM	N;NOM;FEM;PL
sacerdoti	kapłani	sacerdota	kapłan	N;MASC;PL	N;NOM;MASC;PL
sacerdoti	księża	sacerdota	ksiądz	N;MASC;PL	N;NOM;MASC;PL
clero	kler	clero	kler	N;MASC;SG	N;NOM;MASC;SG
rappresentazioni	przedstawicielstw	rappresentazione	przedstawicielstwo	N;FEM;PL	N;GEN;MASC;PL
rappresentazioni	występy	rappresentazione	występ	N;FEM;PL	N;NOM;MASC;PL
frontale	czołowego	frontale	czołowy	ADJ;SG	ADJ;ACC;MASC;SG
ordinario	zwykły	ordinario	zwykły	ADJ;MASC;SG	ADJ;NOM;MASC;SG
ordinario	zwyczajne	ordinario	zwyczajny	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
ordinario	zwykła	ordinario	zwykły	ADJ;MASC;SG	ADJ;NOM;FEM;SG
ordinario	zwyczajny	ordinario	zwyczajny	ADJ;MASC;SG	ADJ;NOM;MASC;SG
ordinario	zwykłe	ordinario	zwykły	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
soppressione	zniesienie	soppressione	zniesienie	N;FEM;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
soppressione	zniesienia	soppressione	znieść	N;FEM;SG	N;PFV;GEN;NEUT;SG;POS;V.MSDR
soppressione	usunięcie	soppressione	usunąć	N;FEM;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
soppressione	usuwanie	soppressione	usuwać	N;FEM;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
soci	partnerzy	socio	partner	N;MASC;PL	N;NOM;MASC;PL
soci	partnerami	socio	partner	N;MASC;PL	N;INS;MASC;PL
soci	partnerów	socio	partner	N;MASC;PL	N;ACC;MASC;PL
soci	wspólnicy	socio	wspólnik	N;MASC;PL	N;NOM;MASC;PL
eserciti	armie	esercito	arma	N;MASC;PL	N;NOM;FEM;PL
specializzata	wyspecjalizowane	specializzato	wyspecjalizować	ADJ;FEM;SG	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
specializzata	specjalistyczne	specializzato	specjalistyczny	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
specializzata	wyspecjalizowane	specializzato	wyspecjalizować	ADJ;FEM;SG	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
specializzata	specjalistyczne	specializzato	specjalistyczny	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
manovra	manewr	manovra	manewr	N;FEM;SG	N;NOM;MASC;SG
manovra	manewr	manovra	manewr	N;FEM;SG	N;NOM;MASC;SG
variazione	zmienność	variazione	zmienność	N;FEM;SG	N;NOM;FEM;SG
variazione	zmiana	variazione	zmiana	N;FEM;SG	N;NOM;FEM;SG
sospensione	zawiesina	sospensione	zawiesinać	N;FEM;SG	N;NOM;FEM;SG
sospensione	zawieszenie	sospensione	zawieszenie	N;FEM;SG	N;NOM;NEUT;SG
sospensione	zawieszenia	sospensione	zawiesić	N;FEM;SG	N;NOM;NEUT;SG
pirati	piratów	pirata	pirat	N;MASC;PL	N;ACC;MASC;PL
tavole	stoły	tavola	stoły	N;FEM;PL	N;NOM;MASC;PL
veneziano	weneckie	veneziano	wenecki	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
toro	byk	toro	byk	N;MASC;SG	N;NOM;MASC;SG
toro	byka	toro	byk	N;MASC;SG	N;ACC;MASC;SG
toro	byk	toro	byk	N;MASC;SG	N;NOM;MASC;SG
modern	współczesna	modern	współczesny	N	N;NOM;FEM;SG
mass	masie	mass	masa	N	N;GEN;FEM;SG
mass	masy	mass	masa	N	N;GEN;FEM;SG
mass	masa	mass	masa	N	N;NOM;FEM;SG
mass	msza	mass	msza	N	N;NOM;FEM;SG
percentuali	procentach	percentuale	procenty	N;MASC;PL	N;GEN;MASC;PL
emissione	emisja	emissione	emisja	N;FEM;SG	N;NOM;FEM;SG
emissione	wydawanie	emissione	wydawać	N;FEM;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
emissione	wydawania	emissione	wydawać	N;FEM;SG	N;IPFV;GEN;NEUT;SG;POS;V.MSDR
emissione	emisja	emissione	emisja	N;FEM;SG	N;NOM;FEM;SG
ferite	obrażenia	ferita	obrażenie	N;FEM;PL	N;NOM;NEUT;PL
kiev	kijowie	kiev	kij	N;FEM;SG	N;ACC;MASC;SG
phoenix	phoenix	phoenix	phoenik	N;MASC	N;NOM;MASC;SG
vendere	sprzedać	vendere	sprzedać	V;NFIN	V;PFV;NFIN;ACT
vendere	sprzedaje	vendere	sprzedawać	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
corno	róg	corno	róg	N;MASC;SG	N;NOM;MASC;SG
piatti	naczynia	piatto	naczynie	N;MASC;PL	N;NOM;NEUT;PL
protesta	protest	protesta	protest	N;FEM;SG	N;NOM;MASC;SG
protesta	protestu	protesta	protest	N;FEM;SG	N;GEN;MASC;SG
canti	utwory	canto	utwór	N;MASC;PL	N;NOM;MASC;PL
