dari	от	dari	от	ADP	ADP
wilayah	район	wilayah	район	N;SG	N;INDF;MASC;SG
wilayah	район	wilayah	район	N;SG	N;INDF;MASC;SG
wilayah	регион	wilayah	регион	N;SG	N;INDF;MASC;SG
wilayah	област	wilayah	област	N;SG	N;INDF;FEM;SG
wilayah	територия	wilayah	територия	N;SG	N;INDF;FEM;SG
wilayah	територията	wilayah	територия	N;SG	N;DEF;FEM;SG
tanggal	среща	tanggal	среща	N;SG;ACT	N;INDF;FEM;SG
tanggal	дата	tanggal	дата	N;SG;ACT	N;INDF;FEM;SG
dunia	свят	dunia	свят	N;SG	N;INDF;MASC;SG
dunia	света	dunia	свят	N;SG	N;DEF;MASC;SG
timur	изток	timur	изток	N;SG	N;INDF;MASC;SG
timur	тимур	timur	тимур	N;SG	N;INDF;MASC;SG
timur	изток	timur	изток	N;SG	N;INDF;MASC;SG
tempat	място	tempat	място	N;SG	N;INDF;NEUT;SG
dua	двама	dua	двама	NUM	NUM;INDF;PL
dua	две	dua	два	NUM	NUM;INDF;FEM;PL
selatan	южен	selatan	южен	N;SG	N;INDF;MASC;SG
selatan	южен	selatan	южен	N;SG	N;INDF;MASC;SG
selatan	юг	selatan	юг	N;SG	N;INDF;MASC;SG
september	септември	september	септември	N;SG	N;INDF;MASC;SG
anak	син	anak	син	N;SG	N;INDF;MASC;SG
anak	дете	anak	дете	N;SG	N;INDF;NEUT;SG
species	видове	species	вид	N	N;INDF;MASC;PL
species	вид	species	вид	N	N;INDF;MASC;SG
hidup	живот	hidup	живот	N;SG	N;INDF;MASC;SG
hidup	живота	hidup	живот	N;SG	N;DEF;MASC;SG
hidup	лайф	hidup	лайф	N;SG	N;INDF;MASC;SG
hidup	животът	hidup	живот	N;SG	N;DEF;MASC;SG
lagu	песен	lagu	песен	N;SG	N;INDF;FEM;SG
lagu	песничка	lagu	песничка	N;SG	N;INDF;FEM;SG
daerah	окръг	daerah	окръг	N;SG	N;INDF;MASC;SG
daerah	област	daerah	област	N;SG	N;INDF;FEM;SG
daerah	район	daerah	район	N;SG	N;INDF;MASC;SG
daerah	зона	daerah	зона	N;SG	N;INDF;FEM;SG
daerah	площ	daerah	площ	N;SG	N;INDF;FEM;SG
daerah	област	daerah	област	N;SG	N;INDF;FEM;SG
daerah	район	daerah	район	N;SG	N;INDF;MASC;SG
daerah	район	daerah	район	N;SG	N;INDF;MASC;SG
daerah	регион	daerah	регион	N;SG	N;INDF;MASC;SG
daerah	област	daerah	област	N;SG	N;INDF;FEM;SG
daerah	окръг	daerah	окръг	N;SG	N;INDF;MASC;SG
daerah	графство	daerah	графство	N;SG	N;INDF;NEUT;SG
daerah	сечение	daerah	сечение	N;SG	N;INDF;NEUT;SG
daerah	секция	daerah	секция	N;SG	N;INDF;FEM;SG
daerah	раздел	daerah	раздел	N;SG	N;INDF;MASC;SG
sekolah	училището	sekolah	училище	N;SG	N;DEF;NEUT;SG
sekolah	школа	sekolah	школа	N;SG	N;INDF;FEM;SG
sekolah	училище	sekolah	училище	N;SG	N;INDF;NEUT;SG
hanya	само	hanya	само	ADV	ADV
hanya	единствено	hanya	единствено	ADV	ADV
hanya	просто	hanya	просто	ADV	ADV
hanya	само	hanya	само	ADV	ADV
air	вода	air	вода	N;SG	N;INDF;FEM;SG
air	водата	air	вода	N;SG	N;DEF;FEM;SG
air	air	air	air	N;SG	N;INDF;MASC;SG
air	въздуха	air	въздух	N;SG	N;DEF;MASC;SG
air	въздушен	air	въздуша	N;SG	N;INDF;MASC;SG
air	въздух	air	въздух	N;SG	N;INDF;MASC;SG
terletak	разположена	terletak	разположа-(се)	V;SG;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
terletak	разположен	terletak	разположа-(се)	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
terletak	разположено	terletak	разположа-(се)	V;SG;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
terletak	разположена	terletak	разположа-(се)	V;SG;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
terletak	разположен	terletak	разположа-(се)	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
terletak	разположено	terletak	разположа-(се)	V;SG;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
hari	денят	hari	ден	N;SG	N;DEF;MASC;SG
hari	ден	hari	ден	N;SG	N;INDF;MASC;SG
hari	дена	hari	ден	N;SG	N;DEF;MASC;SG
digunakan	използвано	digunakan	използвам	V;SG;PASS	V;IPFV;INDF;NEUT;SG;V.PTCP;PASS
digunakan	използван	digunakan	използвам	V;SG;PASS	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
digunakan	използвана	digunakan	използвам	V;SG;PASS	V;IPFV;INDF;FEM;SG;V.PTCP;PASS
kali	кали	kali	кала	N;SG	N;INDF;FEM;SG
kali	времето	kali	време	N;SG	N;DEF;NEUT;SG
kali	време	kali	време	N;SG	N;INDF;NEUT;SG
kali	таймс	kali	таймс	N;SG	N;INDF;MASC;SG
sama	равен	sama	равен	ADJ;SG	ADJ;INDF;MASC;SG
sangat	много	sangat	много	ADV	ADV;INDF;PL
sangat	изключително	sangat	изключително	ADV	ADV
sangat	извънредно	sangat	извънредно	ADV	ADV
album	албум	album	албум	N;SG	N;INDF;MASC;SG
hal	хал	hal	хал	N;SG	N;INDF;MASC;SG
panjang	дълъг	panjang	дълъг	ADJ;SG	ADJ;INDF;MASC;SG
anggota	член	anggota	член	N;SG	N;INDF;MASC;SG
menggunakan	използвайки	mengunakan	използвам	V;SG;ACT	V;IPFV;IMP;SG;2;FIN
menggunakan	употреби	mengunakan	употребя	V;SG;ACT	V;PFV;IMP;SG;2;FIN
menggunakan	използва	mengunakan	използвам	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
berasal	произтича	berasal	произтичам	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
utama	основна	utama	основен	ADJ;SG	ADJ;INDF;FEM;SG
utama	главна	utama	главен	ADJ;SG	ADJ;INDF;FEM;SG
utama	главен	utama	главен	ADJ;SG	ADJ;INDF;MASC;SG
utama	първична	utama	първичен	ADJ;SG	ADJ;INDF;FEM;SG
utama	първичен	utama	първичен	ADJ;SG	ADJ;INDF;MASC;SG
disebut	спомената	disebut	спомена	V;SG;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
disebut	споменато	disebut	спомена	V;SG;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
disebut	споменат	disebut	спомена	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
disebut	наречен	disebut	нарека-(се)	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
disebut	наречена	disebut	нарека-(се)	V;SG;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
disebut	отнесено	disebut	отнеса-(се)	V;SG;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
sudah	вече	sudah	вече	ADV;SG;ACT	ADV
menyebabkan	причинява	mensebabkan	причинявам	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
masih	още	masih	още	ADV	ADV
lihat	видя	lihat	видя-(се)	V;SG;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
lihat	виж	lihat	видя-(се)	V;SG;ACT	V;PFV;IMP;SG;2;FIN
lihat	виж	lihat	видя-(се)	V;SG;ACT	V;PFV;IMP;SG;2;FIN
tinggi	висок	tinggi	висок	ADJ;SG	ADJ;INDF;MASC;SG
tinggi	висока	tinggi	висок	ADJ;SG	ADJ;INDF;FEM;SG
waktu	времето	waktu	време	N;SG	N;DEF;NEUT;SG
waktu	време	waktu	време	N;SG	N;INDF;NEUT;SG
jenis	вид	jenis	вид	N;SG	N;INDF;MASC;SG
jenis	тип	jenis	тип	N;SG	N;INDF;MASC;SG
jakarta	джакарта	jakarta	джакарт	N;SG	N;INDF;FEM;SG
bulan	муун	bulan	муун	N;SG	N;INDF;FEM;SG
bulan	луна	bulan	луна	N;SG	N;INDF;FEM;SG
bulan	луната	bulan	луна	N;SG	N;DEF;FEM;SG
bulan	месеца	bulan	месец	N;SG	N;DEF;MASC;SG
bulan	месец	bulan	месец	N;SG	N;INDF;MASC;SG
departemen	отдел	departemen	отдел	N;SG	N;INDF;MASC;SG
departemen	департамент	departemen	департамент	N;SG	N;INDF;MASC;SG
situs	сайт	situs	сайт	N;SG	N;INDF;MASC;SG
dikenal	призната	dikenal	призная-(се)	V;SG;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
dikenal	разпознат	dikenal	разпозна-(се)	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
dikenal	признат	dikenal	призная-(се)	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
dikenal	призната	dikenal	призная-(се)	V;SG;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
dikenal	разпознат	dikenal	разпозна-(се)	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
dikenal	признато	dikenal	призная-(се)	V;SG;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
dikenal	признат	dikenal	призная-(се)	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
laba	печалба	laba	печалба	N;SG	N;INDF;FEM;SG
laba	паяка	laba	паяка	N;SG	N;DEF;MASC;SG
laba	спайдър	laba	спайдър	N;SG	N;INDF;MASC;SG
laba	паяк	laba	паяк	N;SG	N;INDF;MASC;SG
membuat	направи	menbuat	направя-(се)	V;SG;ACT	V;PFV;IMP;SG;2;FIN
sementara	докато	sementara	докато	CONJ	CONJ
resmi	официален	resmi	официален	ADJ;SG	ADJ;INDF;MASC;SG
resmi	официална	resmi	официален	ADJ;SG	ADJ;INDF;FEM;SG
database	бд	database	бд	N	N;INDF;MASC;SG
sekitar	относно	sekitar	относно	ADP	ADP
sekitar	около	sekitar	около	ADP	ADP
udara	антена	udara	антена	N;SG	N;INDF;FEM;SG
udara	air	udara	air	N;SG	N;INDF;MASC;SG
udara	въздуха	udara	въздух	N;SG	N;DEF;MASC;SG
udara	въздушен	udara	въздуша	N;SG	N;INDF;MASC;SG
udara	въздух	udara	въздух	N;SG	N;INDF;MASC;SG
melalui	чрез	melalui	чрез	ADP	ADP
melalui	чрез	melalui	чрез	ADP	ADP
melalui	през	melalui	през	ADP	ADP
nasional	национална	nasional	национален	ADJ;SG	ADJ;INDF;FEM;SG
nasional	национален	nasional	национален	ADJ;SG	ADJ;INDF;MASC;SG
sekarang	сега	sekarang	сега	ADV	ADV
perang	войната	perang	война	N;SG	N;DEF;FEM;SG
perang	война	perang	война	N;SG	N;INDF;FEM;SG
tentang	относно	tentang	относно	ADP;SG;ACT	ADP
pulau	острова	pulau	острова	N;SG	N;DEF;MASC;SG
pulau	island	pulau	islanа	N;SG	N;INDF;MASC;SG
pulau	остров	pulau	остров	N;SG	N;INDF;MASC;SG
pulau	островът	pulau	остров	N;SG	N;DEF;MASC;SG
pulau	айлънд	pulau	айлънд	N;SG	N;INDF;MASC;SG
rumah	дом	rumah	дом	N;SG	N;INDF;MASC;SG
rumah	house	rumah	house	N;SG	N;INDF;MASC;SG
rumah	къща	rumah	къща	N;SG	N;INDF;FEM;SG
rumah	къщата	rumah	къща	N;SG	N;DEF;FEM;SG
rumah	хаус	rumah	хаус	N;SG	N;INDF;MASC;SG
pendidikan	обучение	pendidikan	обучение	N;SG	N;INDF;NEUT;SG
pendidikan	образование	pendidikan	образование	N;SG	N;INDF;NEUT;SG
pendidikan	възпитание	pendidikan	възпитание	N;SG	N;INDF;NEUT;SG
laut	пехотинец	laut	пехотинец	N;SG	N;INDF;MASC;SG
laut	море	laut	море	N;SG	N;INDF;NEUT;SG
laut	морето	laut	море	N;SG	N;DEF;NEUT;SG
laut	океан	laut	океан	N;SG	N;INDF;MASC;SG
tim	тим	tim	тим	N;SG	N;INDF;MASC;SG
tim	отбор	tim	отбор	N;SG	N;INDF;MASC;SG
tim	отбора	tim	отбор	N;SG	N;DEF;MASC;SG
tim	екип	tim	екип	N;SG	N;INDF;MASC;SG
sistem	система	sistem	система	N;SG	N;INDF;FEM;SG
sistem	системата	sistem	система	N;SG	N;DEF;FEM;SG
komune	комуна	komune	комуна	N	N;INDF;FEM;SG
komune	комуни	komune	комуна	N	N;INDF;MASC;PL
termasuk	включени	termasuk	включа-(се)	V	V;PFV;INDF;PL;V.PTCP;PASS
termasuk	включено	termasuk	включа-(се)	V	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
termasuk	включена	termasuk	включа-(се)	V	V;PFV;INDF;FEM;SG;V.PTCP;PASS
termasuk	включен	termasuk	включа-(се)	V	V;PFV;INDF;MASC;SG;V.PTCP;PASS
termasuk	включват	termasuk	включвам-(се)	V	V;IPFV;IND;PL;3;PRS;FIN;ACT
termasuk	включват	termasuk	включвам-(се)	V	V;IPFV;IND;PL;3;PRS;FIN;ACT
termasuk	включва	termasuk	включвам-(се)	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
larva	ларва	larva	ларвам	N	N;INDF;FEM;SG
larva	ларвите	larva	ларва	N	N;DEF;FEM;PL
larva	ларви	larva	ларвя	N	N;INDF;FEM;PL
larva	ларва	larva	ларвам	N	N;INDF;FEM;SG
terhadap	срещу	terhadap	срещу	ADP	ADP
terhadap	против	terhadap	против	ADP	ADP
batang	бар	batang	бар	N;SG	N;INDF;MASC;SG
batang	барът	batang	бар	N;SG	N;DEF;MASC;SG
sendiri	сама	sendiri	сама	ADJ;SG	ADJ;INDF;FEM;SG
sendiri	собствен	sendiri	собствен	ADJ;SG	ADJ;INDF;MASC;SG
sendiri	собствена	sendiri	собствен	ADJ;SG	ADJ;INDF;FEM;SG
matahari	сън	matahari	сън	N;SG	N;INDF;MASC;SG
matahari	слънце	matahari	слънце	N;SG	N;INDF;NEUT;SG
presiden	президентът	presiden	президент	N;SG	N;DEF;MASC;SG
presiden	президент	presiden	президент	N;SG	N;INDF;MASC;SG
presiden	председател	presiden	председател	N;SG	N;INDF;MASC;SG
masyarakat	общност	masyarakat	общност	N;SG	N;INDF;FEM;SG
masyarakat	общността	masyarakat	общност	N;SG	N;DEF;FEM;SG
masyarakat	общество	masyarakat	общество	N;SG	N;INDF;NEUT;SG
masyarakat	обществото	masyarakat	общество	N;SG	N;DEF;NEUT;SG
pernah	никога	pernah	никога	ADV	ADV
pernah	някога	pernah	някога	ADV	ADV
tiga	три	tiga	три	NUM	NUM;INDF;PL
tiga	трима	tiga	трима	NUM	NUM;INDF;PL
jalan	пътят	jalan	път	N;SG;ACT	N;DEF;MASC;SG
jalan	път	jalan	път	N;SG;ACT	N;INDF;MASC;SG
jalan	road	jalan	road	N;SG;ACT	N;INDF;MASC;SG
jalan	пътя	jalan	път	N;SG;ACT	N;DEF;MASC;SG
musik	музиката	musik	музика	N;SG	N;DEF;FEM;SG
musik	музика	musik	музика	N;SG	N;INDF;FEM;SG
musik	мюзикъл	musik	мюзикъл	N;SG	N;INDF;MASC;SG
planet	планета	planet	планета	N;SG	N;INDF;FEM;SG
planet	планетата	planet	планета	N;SG	N;DEF;FEM;SG
umum	обща	umum	общ	ADJ;SG	ADJ;INDF;FEM;SG
kerusakan	неизправност	kerusakan	неизправност	N;SG	N;INDF;FEM;SG
kerusakan	повреда	kerusakan	повреда	N;SG	N;INDF;FEM;SG
kerusakan	опустошение	kerusakan	опустошение	N;SG	N;INDF;NEUT;SG
kerusakan	увреждане	kerusakan	увреждане	N;SG	N;INDF;NEUT;SG
kerusakan	повреда	kerusakan	повреда	N;SG	N;INDF;FEM;SG
kerusakan	обезщетение	kerusakan	обезщетение	N;SG	N;INDF;NEUT;SG
kecil	малка	kecil	малък	ADJ;SG	ADJ;INDF;FEM;SG
kecil	малък	kecil	малък	ADJ;SG	ADJ;INDF;MASC;SG
kecil	дребен	kecil	дребен	ADJ;SG	ADJ;INDF;MASC;SG
kecil	малка	kecil	малък	ADJ;SG	ADJ;INDF;FEM;SG
kecil	малък	kecil	малък	ADJ;SG	ADJ;INDF;MASC;SG
menteri	секретар	menteri	секретар	N;SG	N;INDF;MASC;SG
menteri	секретарка	menteri	секретарка	N;SG	N;INDF;FEM;SG
menteri	министър	menteri	министър	N;SG	N;INDF;MASC;SG
lagi	отново	lagi	отново	ADV	ADV
lagi	пак	lagi	пак	ADV	ADV
lagi	повече	lagi	повече	ADV	ADV;INDF;PL
lagi	още	lagi	още	ADV	ADV
jumlah	сума	jumlah	сума	N;SG	N;INDF;FEM;SG
jumlah	сумата	jumlah	сума	N;SG	N;DEF;FEM;SG
jumlah	сбор	jumlah	сбор	N;SG	N;INDF;MASC;SG
jumlah	сума	jumlah	сума	N;SG	N;INDF;FEM;SG
jumlah	количество	jumlah	количество	N;SG	N;INDF;NEUT;SG
jumlah	количество	jumlah	количество	N;SG	N;INDF;NEUT;SG
kata	саид	kata	саид	N;SG	N;INDF;MASC;SG
kata	дума	kata	дума	N;SG	N;INDF;FEM;SG
kata	ката	kata	ката	N;SG	N;INDF;FEM;SG
penduduk	специализант	penduduk	специализант	N;SG	N;INDF;MASC;SG
penduduk	жител	penduduk	жител	N;SG	N;INDF;MASC;SG
penduduk	обитател	penduduk	обитател	N;SG	N;INDF;MASC;SG
penduduk	популация	penduduk	популация	N;SG	N;INDF;FEM;SG
penduduk	население	penduduk	население	N;SG	N;INDF;NEUT;SG
bawah	дъното	bawah	дъно	N;SG	N;DEF;NEUT;SG
bawah	дъно	bawah	дъно	N;SG	N;INDF;NEUT;SG
sebelum	преди	sebelum	преди	ADP	ADP
data	дейта	data	дейт	N;SG	N;INDF;MASC;SG
terdiri	съставен	terdiri	съставя	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
terdiri	съставена	terdiri	съставя	V;SG;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
terdiri	съставено	terdiri	съставя	V;SG;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
artikel	статия	artikel	статия	N;SG	N;INDF;FEM;SG
artikel	член	artikel	член	N;SG	N;INDF;MASC;SG
tanduk	рогата	tanduk	рог	N	N;DEF;MASC;PL
tanduk	рога	tanduk	рога	N	N;INDF;NEUT;PL
tanduk	рогата	tanduk	рог	N	N;DEF;MASC;PL
tanduk	рога	tanduk	рога	N	N;INDF;NEUT;PL
tanduk	рог	tanduk	рог	N	N;INDF;MASC;SG
tanduk	рога	tanduk	рога	N	N;INDF;NEUT;PL
karya	шедьовър	karya	шедьовър	N;SG	N;INDF;MASC;SG
tanah	земя	tanah	земя	N;SG	N;INDF;FEM;SG
tanah	земя	tanah	земя	N;SG	N;INDF;FEM;SG
abad	век	abad	век	N;SG	N;INDF;MASC;SG
abad	века	abad	век	N;SG	N;DEF;MASC;SG
perusahaan	корпорация	perusahaan	корпорация	N;SG	N;INDF;FEM;SG
perusahaan	корпорейшън	perusahaan	корпорейшън	N;SG	N;INDF;MASC;SG
perusahaan	дружество	perusahaan	дружество	N;SG	N;INDF;NEUT;SG
perusahaan	компания	perusahaan	компания	N;SG	N;INDF;FEM;SG
perusahaan	рота	perusahaan	рота	N;SG	N;INDF;FEM;SG
perusahaan	фирма	perusahaan	фирма	N;SG	N;INDF;FEM;SG
perusahaan	работодател	perusahaan	работодател	N;SG	N;INDF;MASC;SG
style	стил	style	стил	N	N;INDF;MASC;SG
cukup	достатъчно	cukup	достатъчно	ADV	ADV
januari	януари	januari	януари	N;SG	N;INDF;MASC;SG
maret	март	maret	март	N;SG	N;INDF;MASC;SG
paling	повечето	paling	повече	ADV	ADV;DEF;PL
musim	сезон	musim	сезон	N;SG	N;INDF;MASC;SG
musim	сезона	musim	сезон	N;SG	N;DEF;MASC;SG
bola	сферата	bola	сфера	N;SG	N;DEF;FEM;SG
bola	сфера	bola	сфера	N;SG	N;INDF;FEM;SG
bola	топка	bola	топка	N;SG	N;INDF;FEM;SG
bola	бал	bola	бал	N;SG	N;INDF;MASC;SG
bola	бол	bola	бол	N;SG	N;INDF;MASC;SG
pemerintah	правителство	penperintah	правителство	N;SG	N;INDF;NEUT;SG
setiap	всяка	setiap	всеки	DET	DET;FEM;SG
setiap	всяка	setiap	всеки	DET	DET;FEM;SG
juni	джун	juni	джун	N;SG	N;INDF;MASC;SG
juni	юни	juni	юни	N;SG	N;INDF;MASC;SG
muda	млада	muda	млад	ADJ;SG	ADJ;INDF;FEM;SG
muda	млад	muda	млад	ADJ;SG	ADJ;INDF;MASC;SG
desember	декември	desember	декември	N;SG	N;INDF;MASC;SG
desember	декември	desember	декември	N;SG	N;INDF;MASC;SG
desember	дек	desember	дек	N;SG	N;INDF;FEM;SG
bidang	фийлдс	bidang	фийлдс	N;SG	N;INDF;MASC;SG
bidang	полето	bidang	поле	N;SG	N;DEF;NEUT;SG
bidang	поле	bidang	поле	N;SG	N;INDF;NEUT;SG
kepala	главата	kepala	глава	N;SG	N;DEF;FEM;SG
kepala	глава	kepala	глава	N;SG	N;INDF;FEM;SG
kepala	началник	kepala	началник	N;SG	N;INDF;MASC;SG
melakukan	правейки	menlakukan	правейка	V;SG;ACT	V;IPFV;IMP;SG;2;FIN
pusat	централа	pusat	централа	N;SG	N;INDF;FEM;SG
pusat	център	pusat	център	N;SG	N;INDF;MASC;SG
pusat	център	pusat	център	N;SG	N;INDF;MASC;SG
agustus	август	agustus	август	N;SG	N;INDF;MASC;SG
agustus	август	agustus	август	N;SG	N;INDF;MASC;SG
international	интернешънъл	international	интернешънъл	N	N;INDF;MASC;SG
internasional	международен	internasional	международен	ADJ;SG	ADJ;INDF;MASC;SG
internasional	международна	internasional	международен	ADJ;SG	ADJ;INDF;FEM;SG
