hän	sy	hän	sy	PRO;NOM;SG;3	PRO;NOM;SG;3
alue	streek	alue	streek	N;NOM;SG	N;SG
alue	sone	alue	sone	N;NOM;SG	N;SG
alue	omgewing	alue	omgewing	N;NOM;SG	N;SG
alue	area	alue	area	N;NOM;SG	N;SG
maailman	wêreld	maailma	wêreld	N;GEN;SG	N;SG
kirjailija	skrywer	kirjailija	skrywer	N;NOM;SG	N;SG
kirjailija	outeur	kirjailija	outeur	N;NOM;SG	N;SG
kirjailija	skrywer	kirjailija	skrywer	N;NOM;SG	N;SG
kirjailija	outeur	kirjailija	outeur	N;NOM;SG	N;SG
sodan	oorlog	sota	oorlog	N;GEN;SG	N;SG
elokuvan	fliek	elo#kuva	fliek	N;GEN;SG	N;SG
elokuvan	rolprent	elo#kuva	rolprent	N;GEN;SG	N;SG
ruotsin	sweedse	ruotsi	sweeds	N;GEN;SG	N;SG
perustettiin	gestig	perustaa	stig	V;IND;PST;FIN;PASS	V;PST;V.PTCP
palasi	teruggestuur	palata	terugstuur	V;IND;SG;3;PST;FIN;ACT	V;PST;V.PTCP
entinen	voormalige	entinen	voormalig	ADJ;NOM;SG	ADJ;NOM
aiemmin	voorheen	aiemmin	voorheen	ADV	ADV
aiemmin	vroeër	aiemmin	vroeg	ADV	ADV;CMPR
valmistui	gegradueer	valmistua	gradueer	V;IND;SG;3;PST;FIN;ACT	V;PST;V.PTCP
valmistui	klaargemaak	valmistua	klaargemaak	V;IND;SG;3;PST;FIN;ACT	V;PST;V.PTCP
kappale	paragraaf	kappale	paragraaf	N;NOM;SG	N;SG
kappale	liedjie	kappale	liedjie	N;NOM;SG	N;SG
kappale	lied	kappale	lied	N;NOM;SG	N;SG
kitara	kitaar	kitara	kitaar	N;NOM;SG	N;SG
pituus	tydsduur	pituus	tydsduur	N;NOM;SG	N;SG
pituus	lengte	pituus	lengte	N;NOM;SG	N;SG
pituus	hoogte	pituus	hoogte	N;NOM;SG	N;SG
miljoonaa	miljoen	miljoona	miljoen	NUM;PRT;SG	NUM
julkaisi	geplaas	julkaista	plaas	V;IND;SG;3;PST;FIN;ACT	V;PST;V.PTCP
kilometriä	myl	kilo#metri	myl	N;PRT;SG	N;SG
kilometriä	kilometer	kilo#metri	kilometer	N;PRT;SG	N;SG
aika	tyd	aika	tyd	N;NOM;SG	N;SG
aika	tydstip	aika	tydstip	N;NOM;SG	N;SG
enemmän	nog	enemmän	nog	ADV	ADV
kunta	munisipaliteit	kunta	munisipaliteit	N;NOM;SG	N;SG
levy	album	levy	album	N;NOM;SG	N;SG
levy	rekord	levy	rekord	N;NOM;SG	N;SG
julkaistu	vrygestel	julkaista	vrystel	V;NOM;SG;V.PTCP;PASS	V;PST;V.PTCP
julkaistu	gelos	julkaista	gelos	V;NOM;SG;V.PTCP;PASS	V;PST;V.PTCP
julkaistu	geplaas	julkaista	plaas	V;NOM;SG;V.PTCP;PASS	V;PST;V.PTCP
julkaistu	gepubliseer	julkaista	publiseer	V;NOM;SG;V.PTCP;PASS	V;PST;V.PTCP
tehdä	maak	tehdä	maak	V;SG;NFIN;ACT	V;PRS
toiminut	gewerk	toimia	werk	V;NOM;SG;V.PTCP;ACT	V;PST;V.PTCP
olemassa	bestaan	olla	bestaan	V;IN+ESS;SG;NFIN;ACT	V;PRS
olemassa	bestaan	olla	bestaan	V;IN+ESS;SG;NFIN;ACT	V;PRS
albumin	album	albumi	album	N;GEN;SG	N;SG
viisi	vyf	viisi	vyf	NUM;NOM;SG	NUM
kertoo	aansê	kertoa	aansê	V;IND;SG;3;PRS;FIN;ACT	V;PRS
kunnes	totdat	kunnes	totdat	CONJ	CONJ
lähde	verlof	lähde	verlof	N;NOM;SG	N;SG
lähde	bron	lähde	bron	N;NOM;SG	N;SG
voisi	kon	voida	kan	V;COND;SG;3;FIN;ACT	V;PST;FIN
pian	gou	pian	gou	ADV	ADV
poika	seun	poika	seun	N;NOM;SG	N;SG
poika	seuntjie	poika	seuntjie	N;NOM;SG	N;SG
poika	kinder	poika	kin	N;NOM;SG	N;SG
poika	kind	poika	kind	N;NOM;SG	N;SG
poika	seun	poika	seun	N;NOM;SG	N;SG
sisältää	bevat	sisältää	bevat	V;IND;SG;3;PRS;FIN;ACT	V;PRS
aikaa	tyd	aika	tyd	N;PRT;SG	N;SG
aikaa	tydstip	aika	tydstip	N;PRT;SG	N;SG
jalkapalloilija	sokkerspeler	jalka#palloilija	sokkerspeler	N;NOM;SG	N;SG
laulaja	sangeres	laulaja	sangere	N;NOM;SG	N;SG
luokan	klas	luokka	klas	N;GEN;SG	N;SG
kolmas	derde	kolmas	derde	ADJ;NOM;SG	ADJ;NOM
aluksi	aanvanklik	aluksi	aanvanklik	ADV	ADV
kultaa	goud	kulta	goud	N;PRT;SG	N;SG
piti	gehou	pitää	hou	V;IND;SG;3;PST;FIN;ACT	V;PST;V.PTCP
tehty	gemaak	tehdä	maak	V;NOM;SG;V.PTCP;PASS	V;PST;V.PTCP
tehty	gedoen	tehdä	doen	V;NOM;SG;V.PTCP;PASS	V;PST;V.PTCP
muutti	gewysig	muuttaa	wysig	V;IND;SG;3;PST;FIN;ACT	V;PST;V.PTCP
muutti	geskuif	muuttaa	skuif	V;IND;SG;3;PST;FIN;ACT	V;PST;V.PTCP
siirrettiin	geskuif	siirtää	skuif	V;IND;PST;FIN;PASS	V;PST;V.PTCP
siirrettiin	oorgedra	siirtää	oordra	V;IND;PST;FIN;PASS	V;PST;V.PTCP
rummut	dromme	rumpu	dromm	N;NOM;PL	N;PL
rummut	drums	rumpu	drum	N;NOM;PL	N;PL
maa	land	maa	land	N;NOM;SG	N;SG
maa	grond	maa	grond	N;NOM;SG	N;SG
maa	aarde	maa	aarde	N;NOM;SG	N;SG
kausi	seisoen	kausi	seisoen	N;NOM;SG	N;SG
artikkeleita	artikels	artikkeli	artikel	N;PRT;PL	N;PL
perustettu	gestig	perustaa	stig	V;NOM;SG;V.PTCP;PASS	V;PST;V.PTCP
perustettu	daargestel	perustaa	daarstel	V;NOM;SG;V.PTCP;PASS	V;PST;V.PTCP
perustettu	vasgestel	perustaa	vasstel	V;NOM;SG;V.PTCP;PASS	V;PST;V.PTCP
perustettu	gevestig	perustaa	vestig	V;NOM;SG;V.PTCP;PASS	V;PST;V.PTCP
presidentti	president	presidentti	president	N;NOM;SG	N;SG
keski	middelste	keski	middelste	N;NOM;SG	N;SG
keski	midde	keski	midde	N;NOM;SG	N;SG
perusti	gestig	perustaa	stig	V;IND;SG;3;PST;FIN;ACT	V;PST;V.PTCP
työskenteli	gewerk	työskennellä	werk	V;IND;SG;3;PST;FIN;ACT	V;PST;V.PTCP
voitto	oorwinning	voitto	oorwinning	N;NOM;SG	N;SG
voitto	winning	voitto	winning	N;NOM;SG	N;SG
liittyi	aangesluit	liittyä	aansluit	V;IND;SG;3;PST;FIN;ACT	V;PST;V.PTCP
saada	kry	saada	kry	V;SG;NFIN;ACT	V;PRS
määrä	bedrag	määrä	bedrag	N;NOM;SG	N;SG
määrä	aantal	määrä	aantal	N;NOM;SG	N;SG
esiintyi	plaasgevind	esiintyä	plaasvind	V;IND;SG;3;PST;FIN;ACT	V;PST;V.PTCP
alkaa	begin	alkaa	begin	V;IND;SG;3;PRS;FIN;ACT	V;PRS
virallinen	amptelike	virallinen	amptelik	ADJ;NOM;SG	ADJ;NOM
yhtiö	maatskappy	yhtiö	maatskappy	N;NOM;SG	N;SG
tunnettu	bekende	tunnettu	bekend	ADJ;NOM;SG	ADJ;NOM
laivaston	vloot	laivasto	vloot	N;GEN;SG	N;SG
laivaston	fleet	laivasto	fleet	N;GEN;SG	N;SG
laji	sport	laji	sport	N;NOM;SG	N;SG
laji	sportsoort	laji	sportsoort	N;NOM;SG	N;SG
laji	spesie	laji	spesie	N;NOM;SG	N;SG
oma	eie	oma	eie	ADJ;NOM;SG	ADJ;NOM
joku	iemand	joku	iemand	PRO;NOM;SG	PRO
kuusi	ses	kuusi	ses	NUM;NOM;SG	NUM
johti	gelei	johtaa	lei	V;IND;SG;3;PST;FIN;ACT	V;PST;V.PTCP
valtion	staat	valtio	staat	N;GEN;SG	N;SG
valtion	deelstaat	valtio	deelstaat	N;GEN;SG	N;SG
valtion	provinsie	valtio	provinsie	N;GEN;SG	N;SG
valtion	toestand	valtio	toestand	N;GEN;SG	N;SG
valtion	spasie	valtio	spasie	N;GEN;SG	N;SG
sarja	reeks	sarja	reeks	N;NOM;SG	N;SG
sarja	serie	sarja	serie	N;NOM;SG	N;SG
naisten	vroue	nainen	vrou	N;GEN;PL	N;PL
naisten	vrouens	nainen	vrou	N;GEN;PL	N;PL
erittäin	uiters	erittäin	uiters	ADV	ADV
erittäin	vreeslik	erittäin	vreeslik	ADV	ADV
ainoastaan	slegs	ainoastaan	slegs	ADV	ADV
ainoastaan	net	ainoastaan	net	ADV	ADV
professori	professor	professori	professor	N;NOM;SG	N;SG
armeijan	weermag	armeija	weermag	N;GEN;SG	N;SG
käytetty	bestee	käyttää	bestee	V;NOM;SG;V.PTCP;PASS	V;PRS
edustaa	verteenwoordig	edustaa	verteenwoordig	V;IND;SG;3;PRS;FIN;ACT	V;PRS
edustaa	verteenwoordig	edustaa	verteenwoordig	V;IND;SG;3;PRS;FIN;ACT	V;PRS
kylä	dorpie	kylä	dorpie	N;NOM;SG	N;SG
palkinnon	prys	palkinto	prys	N;GEN;SG	N;SG
lehden	tydskrif	lehti	tydskrif	N;GEN;SG	N;SG
sivu	blad	sivu	blad	N;NOM;SG	N;SG
sivu	bladsy	sivu	bladsy	N;NOM;SG	N;SG
kilometrin	myl	kilo#metri	myl	N;GEN;SG	N;SG
jäsen	lid	jäsen	lid	N;NOM;SG	N;SG
miesten	mans	mies	man	N;GEN;PL	N;PL
miesten	manne	mies	man	N;GEN;PL	N;PL
tietoa	informasie	tieto	informasie	N;PRT;SG	N;SG
tietoa	inligting	tieto	inligting	N;PRT;SG	N;SG
tietoa	data	tieto	data	N;PRT;SG	N;SG
tietoa	kennis	tieto	kennis	N;PRT;SG	N;SG
osaa	deel	osata	deel	V;IMP;SG;2;FIN;ACT	V;PRS
kieli	tong	kieli	tong	N;NOM;SG	N;SG
lopussa	einde	loppu	einde	N;IN+ESS;SG	N;SG
isä	vader	isä	vader	N;NOM;SG	N;SG
seitsemän	sewe	seitsemän	sewe	NUM;NOM;SG	NUM
hallituksen	regering	hallitus	regering	N;GEN;SG	N;SG
kasvaa	vermeerder	kasvaa	vermeerder	V;IND;SG;3;PRS;FIN;ACT	V;PRS
poliitikko	politikus	poliitikko	politikus	N;NOM;SG	N;SG
pelin	spel	peli	spel	N;GEN;SG	N;SG
vuosien	jare	vuosi	jaar	N;GEN;PL	N;PL
päättyi	geëindig	päättyä	geëindig	V;IND;SG;3;PST;FIN;ACT	V;PST;V.PTCP
antaa	gee	antaa	gee	V;IND;SG;3;PRS;FIN;ACT	V;PRS
sopimuksen	ooreenkoms	sopimus	ooreenkoms	N;GEN;SG	N;SG
sopimuksen	kontrak	sopimus	kontrak	N;GEN;SG	N;SG
johtaja	direkteur	johtaja	direkteur	N;NOM;SG	N;SG
johtaja	leier	johtaja	leier	N;NOM;SG	N;SG
melko	taamlik	melko	taamlik	ADV	ADV
koskaan	ooit	koskaan	ooit	ADV	ADV
yhä	steeds	yhä	steeds	ADV	ADV
yhä	nogsteeds	yhä	nogsteeds	ADV	ADV
heti	dadelik	heti	dadelik	ADV	ADV
pelannut	gespeel	pelata	speel	V;NOM;SG;V.PTCP;ACT	V;PST;V.PTCP
rakennettu	opgerig	rakentaa	opgerig	V;NOM;SG;V.PTCP;PASS	V;PST;V.PTCP
kirja	boek	kirja	boek	N;NOM;SG	N;SG
aluksen	vaartuig	alus	vaartuig	N;GEN;SG	N;SG
aluksen	skip	alus	skip	N;GEN;SG	N;SG
ilmoitti	aangekondig	ilmoittaa	aankondig	V;IND;SG;3;PST;FIN;ACT	V;PST;V.PTCP
lisää	nog	lisää	nog	ADV	ADV
jäsenet	lede	jäsen	lid	N;NOM;PL	N;PL
pääasiassa	hoofsaaklik	pääasiassa	hoofsaaklik	ADV	ADV
syntynyt	gebore	syntyä	gebore	V;NOM;SG;V.PTCP;ACT	V;PRS
kilpailun	kompetisie	kilpailu	kompetisie	N;GEN;SG	N;SG
kilpailun	wedstryd	kilpailu	wedstryd	N;GEN;SG	N;SG
kilpailun	kompetisie	kilpailu	kompetisie	N;GEN;SG	N;SG
kahdeksan	agt	kahdeksan	agt	NUM;NOM;SG	NUM
aikaisemmin	voorheen	aikaisemmin	voorheen	ADV	ADV
aikaisemmin	vroeër	aikaisemmin	vroeg	ADV	ADV;CMPR
ranskalainen	franse	ranskalainen	frans	ADJ;NOM;SG	ADJ;NOM
eniten	mees	eniten	baie	ADV	ADV;RL
luokka	klas	luokka	klas	N;NOM;SG	N;SG
toiminta	operasie	toiminta	operasie	N;NOM;SG	N;SG
toiminta	bewerking	toiminta	bewerking	N;NOM;SG	N;SG
toiminta	aktiwiteit	toiminta	aktiwiteit	N;NOM;SG	N;SG
historia	geskiedenis	historia	geskiedenis	N;NOM;SG	N;SG
yliopisto	universiteit	yli#opisto	universiteit	N;NOM;SG	N;SG
yliopisto	kollege	yli#opisto	kollege	N;NOM;SG	N;SG
sivusto	webwerf	sivusto	webwerf	N;NOM;SG	N;SG
sivusto	webtuiste	sivusto	webtuiste	N;NOM;SG	N;SG
edes	selfs	edes	selfs	ADV	ADV
voittanut	gewen	voittaa	wen	V;NOM;SG;V.PTCP;ACT	V;PST;V.PTCP
kuvaa	foto	kuva	foto	N;PRT;SG	N;SG
kuvaa	prent	kuva	prent	N;PRT;SG	N;SG
alusta	platform	alku	platform	N;IN+ABL;SG	N;SG
alusta	skip	alku	skip	N;IN+ABL;SG	N;SG
alusta	chassis	alku	chassis	N;IN+ABL;SG	N;SG
luku	hoofstuk	luku	hoofstuk	N;NOM;SG	N;SG
luku	nommer	luku	nommer	N;NOM;SG	N;SG
luku	getal	luku	getal	N;NOM;SG	N;SG
ottaa	vat	ottaa	vat	V;IND;SG;3;PRS;FIN;ACT	V;PRS
ottaa	neem	ottaa	neem	V;IND;SG;3;PRS;FIN;ACT	V;PRS
ottaa	tree	ottaa	tree	V;IND;SG;3;PRS;FIN;ACT	V;PRS
ottaa	vat	ottaa	vat	V;IND;SG;3;PRS;FIN;ACT	V;PRS
säveltäjä	komponis	säveltäjä	komponis	N;NOM;SG	N;SG
mies	mannetjie	mies	mannetjie	N;NOM;SG	N;SG
mies	man	mies	man	N;NOM;SG	N;SG
sota	oorlog	sota	oorlog	N;NOM;SG	N;SG
loppuun	einde	loppu	einde	N;IN+ALL;SG	N;SG
etenkin	veral	etenkin	veral	ADV	ADV
palkinto	trofee	palkinto	trofee	N;NOM;SG	N;SG
palkinto	prys	palkinto	prys	N;NOM;SG	N;SG
palkinto	toekenning	palkinto	toekenning	N;NOM;SG	N;SG
asui	geleef	asua	leef	V;IND;SG;3;PST;FIN;ACT	V;PST;V.PTCP
amerikan	amerika	amerikka	amerika	N;GEN;SG	N;SG
cupin	koppie	cup	koppie	N;GEN;SG	N;SG
cupin	beker	cup	beker	N;GEN;SG	N;SG
varsinkin	veral	varsinkin	veral	ADV	ADV
sivut	bladsye	sivu	bladsy	N;NOM;PL	N;PL
sivut	blaaie	sivu	blaaie	N;NOM;PL	N;PL
cup	koppie	cup	koppie	N;NOM;SG	N;SG
cup	beker	cup	beker	N;NOM;SG	N;SG
ryhmä	groep	ryhmä	groep	N;NOM;SG	N;SG
ryhmä	span	ryhmä	span	N;NOM;SG	N;SG
pitkään	lank	pitkään	lank	ADV	ADV
kansainvälinen	internasionale	kansain#välinen	internasionaal	ADJ;NOM;SG	ADJ;NOM
peli	spel	peli	spel	N;NOM;SG	N;SG
käyttäjä	gebruiker	käyttäjä	gebruiker	N;NOM;SG	N;SG
kappaleet	snitte	kappale	snit	N;NOM;PL	N;PL
kappaleet	paragrawe	kappale	paragraat	N;NOM;PL	N;PL
kappaleet	liedere	kappale	lied	N;NOM;PL	N;PL
kappaleet	liedjies	kappale	liedjies	N;NOM;PL	N;PL
päivän	dag	päivä	dag	N;GEN;SG	N;SG
tuottaja	vervaardiger	tuottaja	vervaardiger	N;NOM;SG	N;SG
asema	stasie	asema	stasie	N;NOM;SG	N;SG
historian	geskiedenis	historia	geskiedenis	N;GEN;SG	N;SG
pelaa	speel	pelata	speel	V;IMP;SG;2;FIN;ACT	V;PRS
pelaa	speel	pelata	speel	V;IMP;SG;2;FIN;ACT	V;PRS
jotain	iets	jokin	iets	PRO;PRT;SG	PRO
puheenjohtaja	president	puheen#johtaja	president	N;NOM;SG	N;SG
rooman	romeinse	rooma	romeins	N;GEN;SG	N;SG
ilmeisesti	duidelik	ilmeisesti	duidelik	ADV	ADV
piiri	distrik	piiri	distrik	N;NOM;SG	N;SG
varaus	bespreking	varaus	bespreking	N;NOM;SG	N;SG
varaus	webbediener	varaus	webbediener	N;NOM;SG	N;SG
koulu	skool	koulu	skool	N;NOM;SG	N;SG
naimisissa	getrou	naimisissa	trou	ADV	ADV
yritys	maatskappy	yritys	maatskappy	N;NOM;SG	N;SG
yritys	besigheid	yritys	besigheid	N;NOM;SG	N;SG
yritys	onderneming	yritys	onderneming	N;NOM;SG	N;SG
svg	svg	svg	svg	N;NOM;SG	N;SG
elää	leef	elää	leef	V;IND;SG;3;PRS;FIN;ACT	V;PRS
tapauksessa	geval	tapaus	geval	N;IN+ESS;SG	N;SG
johtaa	lei	johtaa	lei	V;IND;SG;3;PRS;FIN;ACT	V;PRS
johtaa	aanvoer	johtaa	aanvoer	V;IND;SG;3;PRS;FIN;ACT	V;PRS
huomattavasti	grootliks	huomattavasti	grootliks	ADV	ADV
tie	pad	tie	pad	N;NOM;SG	N;SG
pistettä	uraan	piste	uraan	N;PRT;SG	N;SG
pistettä	punt	piste	punt	N;PRT;SG	N;SG
saapui	gearriveer	saapua	arriveer	V;IND;SG;3;PST;FIN;ACT	V;PST;V.PTCP
saapui	aangekom	saapua	aankom	V;IND;SG;3;PST;FIN;ACT	V;PST;V.PTCP
tuomari	skeidsregter	tuomari	skeidsregter	N;NOM;SG	N;SG
vaikuttaa	affekteer	vaikuttaa	affekteer	V;SG;NFIN;ACT	V;PRS
muusikko	musikant	muusikko	musikant	N;NOM;SG	N;SG
lehti	koerant	lehti	koerant	N;NOM;SG	N;SG
lehti	tydskrif	lehti	tydskrif	N;NOM;SG	N;SG
lehti	blaar	lehti	blaar	N;NOM;SG	N;SG
toimintaa	aktiwiteit	toiminta	aktiwiteit	N;PRT;SG	N;SG
viralliset	amptelike	virallinen	amptelik	ADJ;NOM;PL	ADJ;NOM
piispa	loper	piispa	loper	N;NOM;SG	N;SG
paino	gewig	paino	gewig	N;NOM;SG	N;SG
karjalan	karelië	karjala	karelië	N;GEN;SG	N;SG
vuosi	jaar	vuosi	jaar	N;NOM;SG	N;SG
saari	eiland	saari	eiland	N;NOM;SG	N;SG
hallitus	regering	hallitus	regering	N;NOM;SG	N;SG
neljäs	vierde	neljäs	vierde	ADJ;NOM;SG	ADJ;NOM
kylän	dorpie	kylä	dorpie	N;GEN;SG	N;SG
pääkaupunki	hoofstad	pää#kaupunki	hoofstad	N;NOM;SG	N;SG
kierros	rondte	kierros	rondte	N;NOM;SG	N;SG
kierros	rondte	kierros	rondte	N;NOM;SG	N;SG
vanhemmat	ouers	vanhempi	ouer	N;NOM;PL	N;PL
vastaa	reageer	vastata	reageer	V;IMP;SG;2;FIN;ACT	V;PRS
muu	ander	muu	ander	PRO;NOM;SG	PRO
kilpailu	kompetisie	kilpailu	kompetisie	N;NOM;SG	N;SG
kilpailu	wedstryd	kilpailu	wedstryd	N;NOM;SG	N;SG
kilpailu	kompetisie	kilpailu	kompetisie	N;NOM;SG	N;SG
joukot	magte	joukko	mag	N;NOM;PL	N;PL
alkuperäinen	oorspronklike	alku#peräinen	oorspronklik	ADJ;NOM;SG	ADJ;NOM
maahan	grond	maa	grond	N;IN+ALL;SG	N;SG
valtio	land	valtio	land	N;NOM;SG	N;SG
valtio	staat	valtio	staat	N;NOM;SG	N;SG
valtio	deelstaat	valtio	deelstaat	N;NOM;SG	N;SG
valtio	provinsie	valtio	provinsie	N;NOM;SG	N;SG
valtio	toestand	valtio	toestand	N;NOM;SG	N;SG
valtio	spasie	valtio	spasie	N;NOM;SG	N;SG
valtio	regering	valtio	regering	N;NOM;SG	N;SG
täällä	hier	täällä	hier	ADV	ADV
ura	loopbaan	ura	loopbaan	N;NOM;SG	N;SG
painos	uitgawe	painos	uitgawe	N;NOM;SG	N;SG
erosi	opgegee	erota	opgegee	V;IND;SG;3;PST;FIN;ACT	V;PST;V.PTCP
erosi	geskei	erota	skei	V;IND;SG;3;PST;FIN;ACT	V;PST;V.PTCP
