les	the	le	the	DET;DEF;PL	DET;DEF
homme	man	homme	man	N;MASC;SG	N;SG
communes	communes	commune	commune	N;FEM;PL	N;PL
communes	municipalities	commune	municipality	N;FEM;PL	N;PL
division	division	division	division	N;FEM;SG	N;SG
président	chair	président	chair	N;MASC;SG	N;SG
président	chairperson	président	chairperson	N;MASC;SG	N;SG
président	chairman	président	chairman	N;MASC;SG	N;SG
national	national	national	national	ADJ;MASC;SG	ADJ
société	society	société	society	N;FEM;SG	N;SG
société	company	société	company	N;FEM;SG	N;SG
quatre	four	quatre	four	NUM	NUM
cas	case	cas	case	N;MASC;SG	N;SG
jeu	gaming	jeu	game	N;MASC;SG	N;SG
jeu	game	jeu	game	N;MASC;SG	N;SG
jeu	gambling	jeu	gambling	N;MASC;SG	N;SG
genre	genre	genre	genre	N;MASC;SG	N;SG
genre	gender	genre	gender	N;MASC;SG	N;SG
genre	genus	genre	genus	N;MASC;SG	N;SG
musique	music	musique	music	N;FEM;SG	N;SG
fils	wire	fils	wire	N;MASC;SG	N;SG
fils	son	fils	son	N;MASC;SG	N;SG
fils	yarn	fils	yarn	N;MASC;SG	N;SG
roi	king	roi	king	N;MASC;SG	N;SG
parti	gone	partir	go	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
jour	day	jour	day	N;MASC;SG	N;SG
forme	form	forme	form	N;FEM;SG	N;SG
forme	shape	forme	shape	N;FEM;SG	N;SG
époque	era	époque	era	N;FEM;SG	N;SG
ancien	ancient	ancien	ancient	ADJ;MASC;SG	ADJ
ancien	old	ancien	old	ADJ;MASC;SG	ADJ
ancien	former	ancien	former	ADJ;MASC;SG	ADJ
origine	origin	origine	origin	N;FEM;SG	N;SG
ordre	order	ordre	order	N;MASC;SG	N;SG
château	castle	château	castle	N;MASC;SG	N;SG
école	school	école	school	N;FEM;SG	N;SG
carrière	career	carrière	career	N;FEM;SG	N;SG
carrière	quarry	carrière	quarry	N;FEM;SG	N;SG
bar	bar	bar	bar	N;MASC;SG	N;SG
située	located	situer	locate	V;FEM;SG;PST;V.PTCP	V;PST;V.PTCP
située	situated	situer	situate	V;FEM;SG;PST;V.PTCP	V;PST;V.PTCP
points	dots	point	dot	N;MASC;PL	N;PL
points	points	point	point	N;MASC;PL	N;PL
rue	street	rue	street	N;FEM;SG	N;SG
chef	chef	chef	chef	N;MASC;SG	N;SG
chef	chief	chef	chief	N;MASC;SG	N;SG
père	dad	père	dad	N;MASC;SG	N;SG
père	father	père	father	N;MASC;SG	N;SG
exemple	example	exemple	example	N;MASC;SG	N;SG
trouve	finds	trouver	find	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
rapport	report	rapport	report	N;MASC;SG	N;SG
art	art	art	art	N;MASC;SG	N;SG
dernier	last	dernier	last	ADJ;MASC;SG	ADJ
dernier	latest	dernier	latest	ADJ;MASC;SG	ADJ;RL
type	type	type	type	N;MASC;SG	N;SG
habitants	inhabitants	habitant	inhabitant	N;MASC;PL	N;PL
habitants	residents	habitant	resident	N;MASC;PL	N;PL
point	point	point	point	N;MASC;SG	N;SG
compte	count	compte	count	N;MASC;SG	N;SG
compte	account	compte	account	N;MASC;SG	N;SG
période	period	période	period	N;FEM;SG	N;SG
armée	army	armée	army	N;FEM;SG	N;SG
eau	water	eau	water	N;FEM;SG	N;SG
discuter	discuss	discuter	discuss	V;NFIN	V;IMP;FIN
projet	project	projet	project	N;MASC;SG	N;SG
chaque	every	chaque	every	DET;FEM;SG	DET
chaque	each	chaque	each	DET;FEM;SG	DET
province	province	province	province	N;FEM;SG	N;SG
international	international	international	international	ADJ;MASC;SG	ADJ
conseil	consulting	conseil	consulting	N;MASC;SG	N;SG
conseil	advice	conseil	advice	N;MASC;SG	N;SG
conseil	council	conseil	council	N;MASC;SG	N;SG
maison	house	maison	house	N;FEM;SG	N;SG
maison	home	maison	home	N;FEM;SG	N;SG
cela	this	cela	this	PRO;SG	PRO;SG
cela	that	cela	that	PRO;SG	PRO;SG
demande	request	demande	request	N;FEM;SG	N;SG
fonction	function	fonction	function	N;FEM;SG	N;SG
toujours	always	toujours	always	ADV	ADV
toujours	still	toujours	still	ADV	ADV
production	production	production	production	N;FEM;SG	N;SG
membre	member	membre	member	N;MASC;SG	N;SG
près	near	près	near	ADV	ADV
rôle	role	rôle	role	N;MASC;SG	N;SG
meilleur	better	meilleur	better	ADJ;MASC;SG	ADJ;CMPR
meilleur	best	meilleur	best	ADJ;MASC;SG	ADJ;RL
droit	law	droit	law	N;MASC;SG	N;SG
mois	month	mois	month	N;MASC;SG	N;SG
île	island	île	island	N;FEM;SG	N;SG
service	service	service	service	N;MASC;SG	N;SG
score	score	score	score	N;MASC;SG	N;SG
ensuite	then	ensuite	then	ADV	ADV
langue	language	langue	language	N;FEM;SG	N;SG
dit	said	dire	say	V;MASC;SG;PST;V.PTCP	V;IND;PST;FIN
gouvernement	government	gouvernement	government	N;MASC;SG	N;SG
center	center	center	center	N;MASC;SG	N;SG
elles	they	il	they	PRO;FEM;PL;3	PRO;NOM;PL;3
petit	small	petit	small	ADJ;MASC;SG	ADJ
petit	little	petit	little	ADJ;MASC;SG	ADJ
argent	money	argent	money	N;MASC;SG	N;SG
argent	cash	argent	cash	N;MASC;SG	N;SG
souvent	frequently	souvent	frequently	ADV	ADV
souvent	often	souvent	often	ADV	ADV
style	style	style	style	N;MASC;SG	N;SG
style	styling	style	style	N;MASC;SG	N;SG
face	face	face	face	N;FEM;SG	N;SG
top	top	top	top	N;MASC;SG	N;SG
ministre	minister	ministre	minister	N;MASC;SG	N;SG
mondiale	global	mondial	global	ADJ;FEM;SG	ADJ
ensemble	together	ensemble	together	ADV	ADV
théâtre	theater	théâtre	theater	N;MASC;SG	N;SG
théâtre	theatre	théâtre	theatre	N;MASC;SG	N;SG
épisode	episode	épisode	episode	N;MASC;SG	N;SG
scène	scene	scène	scene	N;FEM;SG	N;SG
scène	stage	scène	stage	N;FEM;SG	N;SG
situé	located	situer	locate	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
situé	situated	situer	situate	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
toute	all	tout	all	DET;FEM;SG	DET
musée	museum	musée	museum	N;MASC;SG	N;SG
nombreux	many	nombreux	many	ADJ;MASC;PL	ADJ
nombreux	numerous	nombreux	numerous	ADJ;MASC;PL	ADJ
auteur	author	auteur	author	N;MASC;SG	N;SG
auteur	writer	auteur	writer	N;MASC;SG	N;SG
système	system	système	system	N;MASC;SG	N;SG
création	creation	création	creation	N;FEM;SG	N;SG
stade	stadium	stade	stadium	N;MASC;SG	N;SG
stade	stage	stade	stage	N;MASC;SG	N;SG
tard	late	tard	late	ADV	ADV
jours	days	jour	day	N;MASC;PL	N;PL
édition	edit	édition	edit	N;FEM;SG	N;SG
édition	edition	édition	edition	N;FEM;SG	N;SG
édition	editing	édition	editing	N;FEM;SG	N;SG
édition	publishing	édition	publish	N;FEM;SG	N;SG
éditions	editions	édition	edition	N;FEM;PL	N;PL
éditions	éditions	édition	pdition	N;FEM;PL	N;PL
historique	historic	historique	historic	ADJ;MASC;SG	ADJ
historique	historical	historique	historical	ADJ;MASC;SG	ADJ
sera	will	être	will	V;IND;SG;3;FUT;FIN	V;FIN
permet	allows	permettre	allow	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
âge	age	âge	age	N;MASC;SG	N;SG
environ	approximately	environ	approximately	ADV	ADV
effet	effect	effet	effect	N;MASC;SG	N;SG
version	version	version	version	N;FEM;SG	N;SG
membres	members	membre	member	N;MASC;PL	N;PL
niveau	level	niveau	level	N;MASC;SG	N;SG
champion	champ	champion	champ	N;MASC;SG	N;SG
champion	champion	champion	champion	N;MASC;SG	N;SG
raison	reason	raison	reason	N;FEM;SG	N;SG
modèle	model	modèle	model	N;MASC;SG	N;SG
modèle	template	modèle	template	N;MASC;SG	N;SG
travail	work	travail	work	N;MASC;SG	N;SG
femme	woman	femme	woman	N;FEM;SG	N;SG
femme	female	femme	female	N;FEM;SG	N;SG
femme	wife	femme	wife	N;FEM;SG	N;SG
cinq	five	cinq	five	NUM	NUM
déjà	already	déjà	already	ADV	ADV
bas	low	bas	low	ADJ;MASC;SG	ADJ
texte	text	texte	text	N;MASC;SG	N;SG
terre	land	terre	land	N;FEM;SG	N;SG
terre	soil	terre	soil	N;FEM;SG	N;SG
compétition	competition	compétition	competition	N;FEM;SG	N;SG
britannique	british	britannique	british	ADJ;MASC;SG	ADJ
porte	gate	porte	gate	N;FEM;SG	N;SG
porte	door	porte	door	N;FEM;SG	N;SG
hommes	men	homme	man	N;MASC;PL	N;PL
hommes	males	homme	male	N;MASC;PL	N;PL
bataille	battle	bataille	battle	N;FEM;SG	N;SG
corps	body	corps	body	N;MASC;SG	N;SG
corps	corps	corps	corps	N;MASC;SG	N;SG
siège	siege	siège	siege	N;MASC;SG	N;SG
siège	headquarter	siège	headquarter	N;MASC;SG	N;SG
siège	seat	siège	seat	N;MASC;SG	N;SG
personnes	persons	personne	person	N;FEM;PL	N;PL
personnes	people	personne	people	N;FEM;PL	N;PL
nommé	named	nommer	name	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
nommé	appointed	nommer	appoint	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
route	route	route	route	N;FEM;SG	N;SG
route	highway	route	highway	N;FEM;SG	N;SG
route	road	route	road	N;FEM;SG	N;SG
finale	finale	finale	finale	N;FEM;SG	N;SG
jeune	young	jeune	young	ADJ;MASC;SG	ADJ
match	game	match	game	N;MASC;SG	N;SG
match	match	match	match	N;MASC;SG	N;SG
ceux	those	celui	those	PRO;MASC;PL	PRO;PL
latitude	latitude	latitude	latitude	N;FEM;SG	N;SG
base	base	base	base	N;FEM;SG	N;SG
études	studies	étude	study	N;FEM;PL	N;PL
communauté	community	communauté	community	N;FEM;SG	N;SG
association	association	association	association	N;FEM;SG	N;SG
militaire	military	militaire	military	ADJ;MASC;SG	ADJ
section	section	section	section	N;FEM;SG	N;SG
longitude	longitude	longitude	longitude	N;FEM;SG	N;SG
bronze	bronze	bronze	bronze	N;MASC;SG	N;SG
livre	book	livre	book	N;MASC;SG	N;SG
livre	pound	livre	pound	N;MASC;SG	N;SG
américaine	american	américain	american	ADJ;FEM;SG	ADJ
haut	high	haut	high	ADJ;MASC;SG	ADJ
suivant	following	suivre	follow	V;PRS;V.PTCP	V;V.MSDR
dire	say	dire	say	V;NFIN	V;IMP;FIN
fille	girl	fille	girl	N;FEM;SG	N;SG
fille	daughter	fille	daughter	N;FEM;SG	N;SG
buts	goals	but	goal	N;MASC;PL	N;PL
enfants	kids	enfant	kid	N;MASC;PL	N;PL
enfants	children	enfant	child	N;MASC;PL	N;PL
enfants	childrens	enfant	children	N;MASC;PL	N;PL
direction	direction	direction	direction	N;FEM;SG	N;SG
direction	directorate	direction	directorate	N;FEM;SG	N;SG
position	position	position	position	N;FEM;SG	N;SG
but	goal	but	goal	N;MASC;SG	N;SG
but	purpose	but	purpose	N;MASC;SG	N;SG
tête	head	tête	head	N;FEM;SG	N;SG
territoire	territory	territoire	territory	N;MASC;SG	N;SG
union	union	union	union	N;FEM;SG	N;SG
construction	construction	construction	construction	N;FEM;SG	N;SG
ancienne	ancient	ancien	ancient	ADJ;FEM;SG	ADJ
ancienne	old	ancien	old	ADJ;FEM;SG	ADJ
ancienne	former	ancien	former	ADJ;FEM;SG	ADJ
prend	takes	prendre	take	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
maire	mayor	maire	mayor	N;MASC;SG	N;SG
présente	present	présent	present	ADJ;FEM;SG	ADJ
personnalité	personality	personnalité	personality	N;FEM;SG	N;SG
public	public	public	public	ADJ;MASC;SG	ADJ
pages	pages	page	page	N;FEM;PL	N;PL
externe	external	externe	external	ADJ;MASC;SG	ADJ
externe	outpatient	externe	outpatient	ADJ;MASC;SG	ADJ
simple	simple	simple	simple	ADJ;MASC;SG	ADJ
dernière	last	dernier	last	ADJ;FEM;SG	ADJ
dernière	latest	dernier	latest	ADJ;FEM;SG	ADJ;RL
chanson	song	chanson	song	N;FEM;SG	N;SG
poste	post	poste	post	N;MASC;SG	N;SG
culture	culture	culture	culture	N;FEM;SG	N;SG
développement	development	développement	development	N;MASC;SG	N;SG
empire	empire	empire	empire	N;MASC;SG	N;SG
loi	law	loi	law	N;FEM;SG	N;SG
loi	act	loi	act	N;FEM;SG	N;SG
équipes	teams	équipe	team	N;FEM;PL	N;PL
côté	side	côté	side	N;MASC;SG	N;SG
mer	sea	mer	sea	N;FEM;SG	N;SG
haute	high	haut	high	ADJ;FEM;SG	ADJ
mère	mom	mère	mom	N;FEM;SG	N;SG
mère	mother	mère	mother	N;FEM;SG	N;SG
fichier	file	fichier	file	N;MASC;SG	N;SG
nombreuses	many	nombreux	many	ADJ;FEM;PL	ADJ
nombreuses	numerous	nombreux	numerous	ADJ;FEM;PL	ADJ
acteur	actor	acteur	actor	N;MASC;SG	N;SG
parcours	route	parcours	route	N;MASC;SG	N;SG
parcours	journey	parcours	journey	N;MASC;SG	N;SG
recherche	search	recherche	search	N;FEM;SG	N;SG
recherche	research	recherche	research	N;FEM;SG	N;SG
classement	ranking	classement	rank	N;MASC;SG	N;SG
classement	classification	classement	classification	N;MASC;SG	N;SG
code	code	code	code	N;MASC;SG	N;SG
double	double	double	double	ADJ;MASC;SG	ADJ
entraîneur	trainer	entraîneur	trainer	N;MASC;SG	N;SG
entraîneur	coach	entraîneur	coach	N;MASC;SG	N;SG
web	web	web	web	N;MASC;SG	N;SG
directeur	director	directeur	director	N;MASC;SG	N;SG
directeur	manager	directeur	manager	N;MASC;SG	N;SG
semble	seems	sembler	seem	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
semble	appears	sembler	appear	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
ici	here	ici	here	ADV	ADV
vainqueur	winner	vainqueur	winner	N;MASC;SG	N;SG
réalisé	directed	réaliser	direct	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
existe	exists	exister	exist	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
six	six	six	six	NUM	NUM
créé	created	créer	create	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
écrit	written	écrire	write	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
écrit	wrote	écrire	write	V;MASC;SG;PST;V.PTCP	V;IND;PST;FIN
petite	small	petit	small	ADJ;FEM;SG	ADJ
petite	little	petit	little	ADJ;FEM;SG	ADJ
petite	petite	petit	petite	ADJ;FEM;SG	ADJ
bois	wood	bois	wood	N;MASC;SG	N;SG
bois	drink	bois	drink	N;MASC;SG	N;SG
bois	timber	bois	timber	N;MASC;SG	N;SG
retour	return	retour	return	N;MASC;SG	N;SG
numéro	number	numéro	number	N;MASC;SG	N;SG
principale	main	principal	main	ADJ;FEM;SG	ADJ
principale	principal	principal	principal	ADJ;FEM;SG	ADJ
sainte	holy	saint	holy	ADJ;FEM;SG	ADJ
comté	county	comté	county	N;MASC;SG	N;SG
gare	station	gare	station	N;FEM;SG	N;SG
terme	term	terme	term	N;MASC;SG	N;SG
formation	training	formation	training	N;FEM;SG	N;SG
arts	arts	art	art	N;MASC;PL	N;PL
technique	technical	technique	technical	ADJ;MASC;SG	ADJ
révolution	revolution	révolution	revolution	N;FEM;SG	N;SG
objet	object	objet	object	N;MASC;SG	N;SG
objet	purpose	objet	purpose	N;MASC;SG	N;SG
objet	subject	objet	subject	N;MASC;SG	N;SG
question	question	question	question	N;FEM;SG	N;SG
cinéma	cinema	cinéma	cinema	N;MASC;SG	N;SG
plan	map	plan	map	N;MASC;SG	N;SG
plan	plan	plan	plan	N;MASC;SG	N;SG
médaille	medal	médaille	medal	N;FEM;SG	N;SG
serait	would	être	would	V;COND;SG;3;PRS;FIN	V;FIN
zone	zone	zone	zone	N;FEM;SG	N;SG
zone	area	zone	area	N;FEM;SG	N;SG
écrivain	writer	écrivain	writer	N;MASC;SG	N;SG
compagnie	company	compagnie	company	N;FEM;SG	N;SG
italien	italian	italien	italian	ADJ;MASC;SG	ADJ
championnats	championships	championnat	championship	N;MASC;PL	N;PL
films	films	film	film	N;MASC;PL	N;PL
films	movies	film	movie	N;MASC;PL	N;PL
surtout	especially	surtout	especially	ADV	ADV
surtout	mostly	surtout	mostly	ADV	ADV
parfois	sometimes	parfois	sometimes	ADV	ADV
parfois	occasionally	parfois	occasionally	ADV	ADV
sources	sources	source	source	N;FEM;PL	N;PL
parc	park	parc	park	N;MASC;SG	N;SG
moyenne	medium	moyenne	medium	N;FEM;SG	N;SG
mouvement	motion	mouvement	motion	N;MASC;SG	N;SG
mouvement	movement	mouvement	movement	N;MASC;SG	N;SG
succès	success	succès	success	N;MASC;SG	N;SG
rivière	river	rivière	river	N;FEM;SG	N;SG
jamais	never	jamais	never	ADV	ADV
jamais	ever	jamais	ever	ADV	ADV
vidéo	video	vidéo	video	N;MASC;SG	N;SG
député	mep	député	mep	N;MASC;SG	N;SG
député	deputy	député	deputy	N;MASC;SG	N;SG
moyen	average	moyen	average	ADJ;MASC;SG	ADJ
bon	good	bon	good	ADJ;MASC;SG	ADJ
peintre	painter	peintre	painter	N;MASC;SG	N;SG
voix	voice	voix	voice	N;FEM;SG	N;SG
rouge	red	rouge	red	ADJ;MASC;SG	ADJ
district	district	district	district	N;MASC;SG	N;SG
seulement	only	seulement	only	ADV	ADV
pont	bridge	pont	bridge	N;MASC;SG	N;SG
pont	deck	pont	deck	N;MASC;SG	N;SG
libre	free	libre	free	ADJ;MASC;SG	ADJ
air	air	air	air	N;MASC;SG	N;SG
sein	breast	sein	breast	N;MASC;SG	N;SG
milieu	medium	milieu	medium	N;MASC;SG	N;SG
milieu	midfielder	milieu	midfielder	N;MASC;SG	N;SG
festival	festival	festival	festival	N;MASC;SG	N;SG
grands	large	grand	large	ADJ;MASC;PL	ADJ
diffusion	diffusion	diffusion	diffusion	N;FEM;SG	N;SG
diffusion	broadcasting	diffusion	broadcasting	N;FEM;SG	N;SG
diffusion	dissemination	diffusion	dissemination	N;FEM;SG	N;SG
aide	aid	aide	aid	N;FEM;SG	N;SG
aide	help	aide	help	N;FEM;SG	N;SG
action	action	action	action	N;FEM;SG	N;SG
réseau	networking	réseau	networking	N;MASC;SG	N;SG
réseau	network	réseau	network	N;MASC;SG	N;SG
utilisé	used	utiliser	use	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
femmes	females	femme	female	N;FEM;PL	N;PL
femmes	women	femme	woman	N;FEM;PL	N;PL
minutes	minutes	minute	minute	N;FEM;PL	N;PL
aurait	would	avoir	would	V;COND;SG;3;PRS;FIN	V;FIN
autour	around	autour	around	ADV	ADV
durée	duration	durée	duration	N;FEM;SG	N;SG
espèces	species	espèce	species	N;FEM;PL	N;PL
monuments	monuments	monument	monument	N;MASC;PL	N;PL
sens	meaning	sens	meaning	N;MASC;SG	N;SG
sens	sense	sens	sense	N;MASC;SG	N;SG
personne	person	personne	person	N;FEM;SG	N;SG
mis	put	mettre	put	V;MASC;SG;PST;V.PTCP	V;IMP;FIN
municipalité	municipality	municipalité	municipality	N;FEM;SG	N;SG
frère	brother	frère	brother	N;MASC;SG	N;SG
rencontre	meeting	rencontre	meeting	N;FEM;SG	N;SG
trop	too	trop	too	ADV	ADV
matchs	matches	match	match	N;MASC;PL	N;PL
publié	published	publier	publish	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
publié	released	publier	release	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
publié	posted	publier	post	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
domaine	field	domaine	field	N;MASC;SG	N;SG
domaine	domain	domaine	domain	N;MASC;SG	N;SG
domaine	area	domaine	area	N;MASC;SG	N;SG
eux	them	soi	they	PRO;MASC;PL;3	PRO;ACC;PL;3
eux	they	soi	they	PRO;MASC;PL;3	PRO;NOM;PL;3
professeur	professor	professeur	professor	N;MASC;SG	N;SG
professeur	teacher	professeur	teacher	N;MASC;SG	N;SG
particulier	particular	particulier	particular	ADJ;MASC;SG	ADJ
quartier	neighborhood	quartier	neighborhood	N;MASC;SG	N;SG
quartier	neighbourhood	quartier	neighbourhood	N;MASC;SG	N;SG
scientifique	scientific	scientifique	scientific	ADJ;MASC;SG	ADJ
honneur	honour	honneur	honour	N;MASC;SG	N;SG
honneur	honor	honneur	honor	N;MASC;SG	N;SG
cause	cause	cause	cause	N;FEM;SG	N;SG
rien	nothing	rien	nothing	PRO;SG	PRO;SG
nouvelles	new	nouveau	new	ADJ;FEM;PL	ADJ
administration	administration	administration	administration	N;FEM;SG	N;SG
comte	count	comte	count	N;MASC;SG	N;SG
hockey	hockey	hockey	hockey	N;MASC;SG	N;SG
journal	newspaper	journal	newspaper	N;MASC;SG	N;SG
