bir	ایک.	bir	ایک.		
madde	دولت	madde	دولت	N;NOM;SG;3	N;NOM;FEM;SG;3
madde	دولت	madde	دولت	N;NOM;SG;3	N;NOM;FEM;SG;3
madde	ذات	madde	ذات	N;NOM;SG;3	N;NOM;FEM;SG;3
madde	کپڑا	madde	کپڑا	N;NOM;SG;3	N;NOM;MASC;SG;3
madde	مادّہ	madde	مادّہ	N;NOM;SG;3	N;NOM;MASC;SG;3
madde	کپڑا	madde	کپڑا	N;NOM;SG;3	N;NOM;MASC;SG;3
madde	مادّی	madde	مادّی	N;NOM;SG;3	N;NOM;MASC;SG;3
madde	مادّہ	madde	مادّہ	N;NOM;SG;3	N;NOM;MASC;SG;3
madde	مرئی	madde	مرئی	N;NOM;SG;3	N;NOM;MASC;SG;3
madde	نفس	madde	نفس	N;NOM;SG;3	N;NOM;MASC;SG;3
madde	معاملہ	madde	معاملہ	N;NOM;SG;3	N;NOM;MASC;SG;3
madde	مرئی	madde	مرئی	N;NOM;SG;3	N;NOM;MASC;SG;3
madde	نفس	madde	نفس	N;NOM;SG;3	N;NOM;MASC;SG;3
madde	معاملہ	madde	معاملہ	N;NOM;SG;3	N;NOM;MASC;SG;3
madde	مضمون	madde	مضمون	N;NOM;SG;3	N;NOM;MASC;SG;3
sağlık	عافیت	sağlık	عافیت	N;NOM;SG;3	N;NOM;MASC;SG;3
sağlık	صحت	sağlık	صحت	N;NOM;SG;3	N;NOM;FEM;SG;3
sağlık	صحت	sağlık	صحت	N;NOM;SG;3	N;NOM;FEM;SG;3
genel	عمومی	genel	عمومی	ADJ	ADJ
genel	رائج	genel	رائج	ADJ	ADJ
genel	مقامی	genel	مقامی	ADJ	ADJ
genel	اعلیٰ	genel	اعلیٰ	ADJ	ADJ
genel	کافی	genel	کافی	ADJ	ADJ
genel	غیرمتخصص	genel	غیرمتخصص	ADJ	ADJ
genel	رائج	genel	رائج	ADJ	ADJ
genel	عام	genel	عام	ADJ	ADJ
genel	مقامی	genel	مقامی	ADJ	ADJ
genel	اعلیٰ	genel	اعلیٰ	ADJ	ADJ
genel	کافی	genel	کافی	ADJ	ADJ
genel	غیرمتخصص	genel	غیرمتخصص	ADJ	ADJ
mart	off	mart	off		
mart	on	mart	on		
adı	شہرت	ad	شہرت	N;NOM;SG;3	N;NOM;FEM;SG;3
adı	افکار	ad	فکر	N;NOM;SG;3	N;NOM;MASC;SG;3
adı	جگہ	ad	جگہ	N;NOM;SG;3	N;NOM;MASC;SG;3
mayıs	مئی.	mayıs	مئی.		
dosya	مسل	dosya	مسل		
ama	لیکن	ama	لیکن	CONJ	CONJ
karşı	اُلٹا	karşı	اُلٹا		
karşı	ضد	karşı	ضد		
ikinci	مماثل	ikinci	مماثل	ADJ	ADJ
ikinci	اضافی	ikinci	اضافی	ADJ	ADJ
ikinci	دوسرا	ikinci	دوسرا	ADJ	ADJ;NOM;MASC;SG
ikinci	مزید	ikinci	مزید	ADJ	ADJ
ikinci	مماثل	ikinci	مماثل	ADJ	ADJ
ikinci	اضافی	ikinci	اضافی	ADJ	ADJ
ikinci	ثانوی	ikinci	ثانوی	ADJ	ADJ
ikinci	دوسرا	ikinci	دوسرا	ADJ	ADJ;NOM;MASC;SG
ikinci	مزید	ikinci	مزید	ADJ	ADJ
önce	بیّن	önce	بیّن		
den	کھوہ-	None	کھوہ-		
resim	خیال.	resim	خیال.		
ye	قلیل	ye	قلیل		
ye	at	ye	at		
zaman	دور	zaman	دور	N;NOM;SG;3	N;NOM;MASC;SG;3
zaman	عہد	zaman	عہد	N;NOM;SG;3	N;NOM;MASC;SG;3
zaman	دور	zaman	دور	N;NOM;SG;3	N;NOM;MASC;SG;3
üzerine	برسرعمل-	üzer	برسرعمل-	N;DAT;SG;3	N
üzerine	برسرعمل-	üzer	برسرعمل-	N;DAT;SG;3	N
köy	دیہہ	köy	دیہہ		
yüksek	اونچا	yüksek	اونچا	ADJ	ADJ;MASC;SG
yüksek	شدید	yüksek	شدید	ADJ	ADJ
yüksek	خراب	yüksek	خراب	ADJ	ADJ
yüksek	اعلیٰ	yüksek	اعلیٰ	ADJ	ADJ
yüksek	اونچا	yüksek	اونچا	ADJ	ADJ;MASC;SG
yüksek	شدید	yüksek	شدید	ADJ	ADJ
yüksek	خراب	yüksek	خراب	ADJ	ADJ
yüksek	اعلیٰ	yüksek	اعلیٰ	ADJ	ADJ
birçok	کئی	birçok	کئی	DET	DET
yol	قماش	yol	قماش		
yol	قماش	yol	قماش		
fakat	سوائے	fakat	سوائے		
fakat	سوائے	fakat	سوائے		
grup	جتھا	grup	جتھا		
tek	سچّا	tek	سچّا		
tek	تنہا	tek	تنہا		
tek	سچّا	tek	سچّا		
devlet	منصب	devlet	منصب	N;NOM;SG;3	N;NOM;MASC;SG;3
devlet	عہدہ	devlet	عہدہ	N;NOM;SG;3	N;NOM;MASC;SG;3
devlet	منصب	devlet	منصب	N;NOM;SG;3	N;NOM;MASC;SG;3
devlet	حالت	devlet	حالت	N;NOM;SG;3	N;NOM;FEM;SG;3
devlet	عہدہ	devlet	عہدہ	N;NOM;SG;3	N;NOM;MASC;SG;3
devlet	حکومت	devlet	حکومت	N;NOM;SG;3	N;NOM;FEM;SG;3
devlet	حکمرانی.	devlet	حکمرانی.	N;NOM;SG;3	N;NOM;MASC;SG;3
tarihi	back	tarih	back		
tarihi	وقائع.	tarih	وقائع.		
küçük	چھوٹا	küçük	چھوٹا	ADJ	ADJ;NOM;MASC;SG
küçük	معمولی	küçük	معمولی	ADJ	ADJ
küçük	گھٹیا	küçük	گھٹیا	ADJ	ADJ
küçük	چھوٹے	küçük	چھوٹا	ADJ	ADJ;ACC;MASC;SG
küçük	معصومانہ.	küçük	معصومانہ.	ADJ	ADJ
küçük	طفلانہ	küçük	طفلانہ	ADJ	ADJ
küçük	چھوٹا	küçük	چھوٹا	ADJ	ADJ;NOM;MASC;SG
küçük	معمولی	küçük	معمولی	ADJ	ADJ
küçük	گھٹیا	küçük	گھٹیا	ADJ	ADJ
küçük	چھوٹے	küçük	چھوٹا	ADJ	ADJ;ACC;MASC;SG
küçük	معصومانہ.	küçük	معصومانہ.	ADJ	ADJ
küçük	طفلانہ	küçük	طفلانہ	ADJ	ADJ
üzerinde	برسرعمل-	üzer	برسرعمل-	N;ESS;SG;3	N
üzerinde	برسرعمل-	üzer	برسرعمل-	N;ESS;SG;3	N
kabul	قبولیت	kabul	قبولیت	N;NOM;SG;3	N;NOM;MASC;SG;3
kabul	رضامندی.	kabul	رضامندی.	N;NOM;SG;3	N;NOM;MASC;SG;3
kabul	عہدے	kabul	عہدہ	N;NOM;SG;3	N;NOM;MASC;SG;3
kabul	عہدے	kabul	عہدہ	N;NOM;SG;3	N;NOM;MASC;SG;3
devam	حصار.	devam	حصار.	N;NOM;SG;3	N;NOM;MASC;SG;3
devam	حوالگی	devam	حوالگی	N;NOM;SG;3	N;NOM;MASC;SG;3
devam	قبضہ	devam	قبضہ	N;NOM;SG;3	N;NOM;MASC;SG;3
kupası	پیالی	kupa	پیالی	N;NOM;SG;3	N;NOM;FEM;SG;3
okulu	تربیت	okul	تربیت	N;NOM;SG;3	N;NOM;MASC;SG;3
okulu	اسکول	okul	اسکول	N;NOM;SG;3	N;NOM;MASC;SG;3
farklı	علاحدہ	farklı	علحدہ	ADJ	ADJ
doğru	to	doğru	to		
doğru	بالکل-	doğru	بالکل-		
doğru	واقعی	doğru	واقعی		
doğru	out	doğru	out		
doğru	to	doğru	to		
doğru	بالکل-	doğru	بالکل-		
doğru	واقعی	doğru	واقعی		
doğru	راست	doğru	راست		
doğru	out	doğru	out		
doğru	سچّا	doğru	سچّا		
doğru	بجا.	doğru	بجا.		
doğru	بجا.	doğru	بجا.		
on	دس.	on	دس.		
özel	مختص.	özel	مختص.	ADJ	ADJ
özel	امتیازی	özel	امتیازی	ADJ	ADJ
özel	منتخب	özel	منتخب	ADJ	ADJ
özel	مخصوص	özel	مخصوص	ADJ	ADJ
özel	مطلوبہ	özel	مطلوبہ	ADJ	ADJ
özel	امتیازی	özel	امتیازی	ADJ	ADJ
özel	اعلیٰ	özel	اعلیٰ	ADJ	ADJ
özel	مقررہ	özel	مقررہ	ADJ	ADJ
alanı	سمندر	alan	سمندر	N;NOM;SG;3	N;NOM;MASC;SG;3
alanı	برف	alan	برف	N;NOM;SG;3	N;NOM;MASC;SG;3
alanı	سکّے	alan	سک	N;NOM;SG;3	N;NOM;MASC;SG;3
alanı	شعبہ	alan	شعبہ	N;NOM;SG;3	N;NOM;MASC;SG;3
alanı	لڑائی	alan	لڑائی	N;NOM;SG;3	N;NOM;FEM;SG;3
alanı	رقبہ	alan	رقبہ	N;NOM;SG;3	N;NOM;MASC;SG;3
uzun	فرضی	uzun	فرضی	ADJ	ADJ
uzun	فرضی	uzun	فرضی	ADJ	ADJ
uzun	لمبا	uzun	لمبا	ADJ	ADJ;NOM;MASC
orta	میانہ.	orta	میانہ.		
orta	درجے	orta	درجہ		
orta	میان.	orta	میان.		
orta	بیچ	orta	بیچ		
orta	عامل.	orta	عامل.		
orta	عامل.	orta	عامل.		
orta	میانہ.	orta	میانہ.		
orta	بیچ.	orta	بیچ.		
orta	نیم	orta	نیم		
elektrik	برقی	elektrik	برقی	N;NOM;SG;3	N;NOM;MASC;SG;3
elektrik	برقی	elektrik	برقی	N;NOM;SG;3	N;NOM;MASC;SG;3
ardından	پیچھے	ardından	پیچھے	ADV	ADV;NOM;MASC;SG;3
ardından	پیچھے	ardından	پیچھے	ADV	ADV;NOM;MASC;SG;3
kısa	تھوڑا	kısa	تھوڑ	ADJ	ADJ;NOM;MASC;SG
kişi	فرد	kişi	فرد	N;NOM;SG;3	N;NOM;MASC;SG;3
kişi	شخص	kişi	شخص	N;NOM;SG;3	N;NOM;MASC;SG;3
kişi	فرد	kişi	فرد	N;NOM;SG;3	N;NOM;MASC;SG;3
kişi	آدمی	kişi	آدمی	N;NOM;SG;3	N;NOM;MASC;SG;3
açıklama	بنانے	açıkla	بنا	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;NFIN
açıklama	کہنے	açıkla	کہہ	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;NFIN;ACT
el	کارخانے	el	کارخانے	N;NOM;SG;3	N;NOM;MASC;SG;3
el	مزدور	el	مزدور	N;NOM;SG;3	N;NOM;MASC;SG;3
el	قبضہ	el	قبضہ	N;NOM;SG;3	N;NOM;MASC;SG;3
başka	سوا	başka	سوا		
gol	مقصد	gol	مقصد	N;NOM;SG;3	N;NOM;MASC;SG;3
gol	ہدف	gol	ہدف	N;NOM;SG;3	N;NOM;MASC;SG;3
gol	نشانہ	gol	نشانہ	N;NOM;SG;3	N;NOM;MASC;SG;3
ana	جننا	ana	جننا		
gün	یوم	gün	یوم	N;NOM;SG;3	N;NOM;MASC;SG;3
gün	دن	gün	دن	N;NOM;SG;3	N;NOM;MASC;SG;3
gün	دور	gün	دور	N;NOM;SG;3	N;NOM;MASC;SG;3
gün	یوم	gün	یوم	N;NOM;SG;3	N;NOM;MASC;SG;3
gün	دن	gün	دن	N;NOM;SG;3	N;NOM;MASC;SG;3
gün	دور	gün	دور	N;NOM;SG;3	N;NOM;MASC;SG;3
gün	روز	gün	روز	N;NOM;SG;3	N;NOM;MASC;SG;3
süre	دور	süre	دور	N;NOM;SG;3	N;NOM;MASC;SG;3
süre	عہد	süre	عہد	N;NOM;SG;3	N;NOM;MASC;SG;3
süre	دور	süre	دور	N;NOM;SG;3	N;NOM;MASC;SG;3
süre	اثنا	süre	اثنا	N;NOM;SG;3	N;NOM;MASC;SG;3
süre	دور	süre	دور	N;NOM;SG;3	N;NOM;MASC;SG;3
sabit	برابر.	sabit	برابر.		
sabit	پکاّ	sabit	پکاّ		
eğitim	تربیت	eğitim	تربیت	N;NOM;SG;3	N;NOM;MASC;SG;3
eğitim	مشق	eğitim	مشق	N;NOM;SG;3	N;NOM;MASC;SG;3
su	(	su	(		
su	(	su	(		
yaklaşık	(	yaklaşık	(		
yaklaşık	(	yaklaşık	(		
alman	(	al	(		
kaynak	آسرا.	kaynak	آسرا.		
görev	محصول	görev	محصول	N;NOM;SG;3	N;NOM;MASC;SG;3
halk	(	halk	(		
halk	کنبے	halk	کنبہ		
halk	بسانا.	halk	بسانا.		
yine	دوبارہ	yine	دوبارہ	ADV	ADV
yeniden	دوبارہ	yeniden	دوبارہ	ADV	ADV
puan	حد	pu	حد		
puan	حد	pu	حد		
puan	نوک	pu	نوک		
puan	جھاڑ.	pu	جھاڑ.		
altında	معمولی	alt	معمولی	ADJ;ESS;SG;3	ADJ
altında	معمولی	alt	معمولی	ADJ;ESS;SG;3	ADJ
tür	طرح.	tür	طرح.		
tür	زمرہ.	tür	زمرہ.		
tür	زمرہ.	tür	زمرہ.		
savaş	مقابلہ	savaş	مقابلہ	N;NOM;SG;3	N;NOM;MASC;SG;3
savaş	بیماری	savaş	بیماری	N;NOM;SG;3	N;NOM;FEM;SG;3
savaş	مبارزت	savaş	مبارزت	N;NOM;SG;3	N;NOM;MASC;SG;3
savaş	مقابلہ	savaş	مقابلہ	N;NOM;SG;3	N;NOM;MASC;SG;3
savaş	لڑائی	savaş	لڑائی	N;NOM;SG;3	N;NOM;FEM;SG;3
savaş	سعی	savaş	سعی	N;NOM;SG;3	N;NOM;MASC;SG;3
savaş	قتال	savaş	قتال	N;NOM;SG;3	N;NOM;MASC;SG;3
savaş	آگ	savaş	آگ	N;NOM;SG;3	N;NOM;FEM;SG;3
savaş	کوشش	savaş	کوشش	N;NOM;SG;3	N;NOM;FEM;SG;3
söz	شبد	söz	شبد		
kullanıcı	تمتع	kullanıcı	تمتع	N;NOM;SG;3	N;NOM;MASC;SG;3
tam	(	tam	(		
tam	مملو	tam	مملو		
tam	وافر	tam	وافر		
tam	کثیر	tam	کثیر		
tam	خوب	tam	خوب		
tam	(	tam	(		
tam	مملو	tam	مملو		
tam	وافر	tam	وافر		
tam	کثیر	tam	کثیر		
tam	خوب	tam	خوب		
tam	نپٹ	tam	نپٹ		
tam	نپٹ	tam	نپٹ		
birliği	اتفاق	birlik	اتفاق	N;NOM;SG;3	N;NOM;MASC;SG;3
birliği	اتحاد	birlik	اتحاد	N;NOM;SG;3	N;NOM;MASC;SG;3
birliği	ملاپ	birlik	ملاپ	N;NOM;SG;3	N;NOM;MASC;SG;3
birliği	شادی	birlik	شادی	N;NOM;SG;3	N;NOM;FEM;SG;3
maç	تفریح	maç	تفریح	N;NOM;SG;3	N;NOM;MASC;SG;3
maç	تدبیر	maç	تدبیر	N;NOM;SG;3	N;NOM;MASC;SG;3
maç	توانا	maç	توانا	N;NOM;SG;3	N;NOM;MASC;SG;3
maç	کھیل	maç	کھیل	N;NOM;SG;3	N;NOM;MASC;SG;3
maç	ہدف	maç	ہدف	N;NOM;SG;3	N;NOM;MASC;SG;3
maç	اپاہج	maç	اپاہج	N;NOM;SG;3	N;NOM;MASC;SG;3
maç	تفریح	maç	تفریح	N;NOM;SG;3	N;NOM;MASC;SG;3
maç	تدبیر	maç	تدبیر	N;NOM;SG;3	N;NOM;MASC;SG;3
maç	توانا	maç	توانا	N;NOM;SG;3	N;NOM;MASC;SG;3
maç	کھیل	maç	کھیل	N;NOM;SG;3	N;NOM;MASC;SG;3
maç	ہدف	maç	ہدف	N;NOM;SG;3	N;NOM;MASC;SG;3
maç	اپاہج	maç	اپاہج	N;NOM;SG;3	N;NOM;MASC;SG;3
maç	بازی	maç	بازی	N;NOM;SG;3	N;NOM;MASC;SG;3
maç	بیاہ	maç	بیاہ	N;NOM;SG;3	N;NOM;MASC;SG;3
maç	شادی	maç	شادی	N;NOM;SG;3	N;NOM;FEM;SG;3
maç	بیاہ	maç	بیاہ	N;NOM;SG;3	N;NOM;MASC;SG;3
maç	شادی	maç	شادی	N;NOM;SG;3	N;NOM;FEM;SG;3
at	تصوی	at	تصوی		
at	تصوی	at	تصوی		
at	بحساب	at	بحساب		
at	در	at	در		
at	بحساب	at	بحساب		
at	در	at	در		
bölüm	بخرہ	bölüm	بخرہ		
yazar	محرر.	yazar	محرر.		
yazar	محرر.	yazar	محرر.		
sıra	شورش	sıra	شورش	N;NOM;SG;3	N;NOM;MASC;SG;3
sıra	شورش	sıra	شورش	N;NOM;SG;3	N;NOM;MASC;SG;3
sıra	قطار	sıra	قطار	N;NOM;SG;3	N;NOM;MASC;SG;3
köyü	دیہہ	köy	دیہہ		
teknik	قانونی	teknik	قانونی	ADJ	ADJ
teknik	اصولی	teknik	اصولی	ADJ	ADJ
uygun	مناسب	uygun	مناسب	ADJ	ADJ
uygun	درست	uygun	درست	ADJ	ADJ
uygun	معقول	uygun	معقول	ADJ	ADJ
uygun	مربوط	uygun	مربوط	ADJ	ADJ
uygun	متناسب	uygun	متناسب	ADJ	ADJ
uygun	موزوں	uygun	موزوں	ADJ	ADJ
bütün	پورا	bütün	پورا	ADJ	ADJ;NOM;MASC;SG
bütün	مکمل	bütün	مکمل	ADJ	ADJ
bütün	پورا	bütün	پورا	ADJ	ADJ;NOM;MASC;SG
bütün	مکمل	bütün	مکمل	ADJ	ADJ
yakın	نزدیکی	yakın	نزدیکی		
yakın	خسیس	yakın	خسیس		
yakın	نزدیکی	yakın	نزدیکی		
yakın	خسیس	yakın	خسیس		
yakın	خسیس	yakın	خسیس		
yakın	to	yakın	to		
yakın	لحن.	yakın	لحن.		
yakın	by	yakın	by		
yakın	خسیس	yakın	خسیس		
yakın	to	yakın	to		
yakın	لحن.	yakın	لحن.		
yakın	گھنا	yakın	گھنا		
yakın	by	yakın	by		
listesi	فہرست	liste	فہرست	N;NOM;SG;3	N;NOM;FEM;SG;3
listesi	جدول	liste	جدول	N;NOM;SG;3	N;NOM;MASC;SG;3
iç	(	iç	(		
alt	بدل.	alt	بدل.		
alt	at	alt	at		
alt	ضرب	alt	ضرب		
space	وقفہ.	space	وقفہ.		
sonunda	بالآخر	sonunda	بالآخر	ADV	ADV
hava	سما	hava	سما		
hava	سما	hava	سما		
hava	دُھن	hava	دُھن		
birkaç	کئی	birkaç	کئی	DET	DET
birkaç	چند	birkaç	چند	DET	DET
dönem	دام	dön	دام		
dönem	دور.	dön	دور.		
açık	قائل	açık	قائل	ADJ	ADJ
açık	واضح	açık	واضح	ADJ	ADJ
açık	علاحدہ	açık	علحدہ	ADJ	ADJ
açık	مطمئن	açık	مطمئن	ADJ	ADJ
açık	صاف	açık	صاف	ADJ	ADJ
açık	قائل	açık	قائل	ADJ	ADJ
açık	واضح	açık	واضح	ADJ	ADJ
açık	علاحدہ	açık	علحدہ	ADJ	ADJ
açık	مطمئن	açık	مطمئن	ADJ	ADJ
açık	عام	açık	عام	ADJ	ADJ
açık	عام	açık	عام	ADJ	ADJ
insan	فرد	insan	فرد	N;NOM;SG;3	N;NOM;MASC;SG;3
insan	شخص	insan	شخص	N;NOM;SG;3	N;NOM;MASC;SG;3
insan	فرد	insan	فرد	N;NOM;SG;3	N;NOM;MASC;SG;3
insan	آدمی	insan	آدمی	N;NOM;SG;3	N;NOM;MASC;SG;3
insan	سپاہی	insan	سپاہی	N;NOM;SG;3	N;NOM;MASC;SG;3
insan	پیشے	insan	پیشا	N;NOM;SG;3	N;NOM;MASC;SG;3
insan	شطرنج	insan	شطرنج	N;NOM;SG;3	N;NOM;MASC;SG;3
insan	انسان	insan	انسان	N;NOM;SG;3	N;NOM;MASC;SG;3
insan	جہاز	insan	جہاز	N;NOM;SG;3	N;NOM;MASC;SG;3
merkez	لازم	merkez	لازم		
merkez	لازم	merkez	لازم		
düşük	کمینہ	düşük	کمینہ		
düşük	کمینہ	düşük	کمینہ		
genç	خرد.	genç	خرد.		
genç	عنفوان	genç	عنفوان		
dil	جیبھ	dil	جیبھ		
pozisyon	عہدہ.	pozisyon	عہدہ.		
pozisyon	دھج	pozisyon	دھج		
an	اہمیت	an	اہمیت	N;NOM;SG;3	N;NOM;MASC;SG;3
an	اہمیت	an	اہمیت	N;NOM;SG;3	N;NOM;MASC;SG;3
an	لمحہ	an	لمحہ	N;NOM;SG;3	N;NOM;MASC;SG;3
iş	دھوکا	iş	دھوکا	N;NOM;SG;3	N;NOM;MASC;SG;3
iş	فریب	iş	فریب	N;NOM;SG;3	N;NOM;MASC;SG;3
iş	کیفیت	iş	کیفیت	N;NOM;SG;3	N;NOM;FEM;SG;3
iş	روزگار	iş	روزگار	N;NOM;SG;3	N;NOM;MASC;SG;3
iş	شغل	iş	شغل	N;NOM;SG;3	N;NOM;MASC;SG;3
iş	کام	iş	کام	N;NOM;SG;3	N;NOM;MASC;SG;3
iş	دھندا	iş	دھندا	N;NOM;SG;3	N;NOM;MASC;SG;3
iş	روزگار	iş	روزگار	N;NOM;SG;3	N;NOM;MASC;SG;3
iş	جھگڑا	iş	جھگڑا	N;NOM;SG;3	N;NOM;MASC;SG;3
iş	قصہ	iş	قصہ	N;NOM;SG;3	N;NOM;MASC;SG;3
iş	جھگڑا	iş	جھگڑا	N;NOM;SG;3	N;NOM;MASC;SG;3
iş	قصہ	iş	قصہ	N;NOM;SG;3	N;NOM;MASC;SG;3
iş	کاروبار	iş	کاروبار	N;NOM;SG;3	N;NOM;MASC;SG;3
iş	کام	iş	کام	N;NOM;SG;3	N;NOM;MASC;SG;3
bölümü	گروہ	bölüm	گروہ	N;NOM;SG;3	N;NOM;MASC;SG;3
bölümü	طبقہ	bölüm	طبقہ	N;NOM;SG;3	N;NOM;MASC;SG;3
bölümü	شعبہ	bölüm	شعبہ	N;NOM;SG;3	N;NOM;MASC;SG;3
üçüncü	ثالث.	üçüncü	ثالث.		
güzel	عمدہ	güzel	عمدہ	ADJ	ADJ
güzel	اعلیٰ	güzel	اعلیٰ	ADJ	ADJ
güzel	خوبصورت	güzel	خوبصورت	ADJ	ADJ
güzel	مناسب	güzel	مناسب	ADJ	ADJ
güzel	اچھا	güzel	اچھا	ADJ	ADJ;NOM;MASC;SG
güzel	مفید	güzel	مفید	ADJ	ADJ
güzel	موافق	güzel	موافق	ADJ	ADJ
güzel	معقول	güzel	معقول	ADJ	ADJ
güzel	دلچسپ	güzel	دلچسپ	ADJ	ADJ
güzel	پُرکشش	güzel	پُرکشش	ADJ	ADJ
güzel	برا	güzel	برا	ADJ	ADJ;NOM;MASC;SG
güzel	پسندیدہ	güzel	پسندیدہ	ADJ	ADJ
güzel	بڑا	güzel	بڑا	ADJ	ADJ;NOM;MASC;SG
güzel	پیارا	güzel	پیارا	ADJ	ADJ;NOM;MASC;SG
web	جال-	web	جال		
çocuk	حیرت	çocuk	حیرت	N;NOM;SG;3	N;NOM;MASC;SG;3
çocuk	حیرت	çocuk	حیرت	N;NOM;SG;3	N;NOM;MASC;SG;3
çocuk	لڑکا	çocuk	لڑکا	N;NOM;SG;3	N;NOM;MASC;SG;3
çocuk	بچہ	çocuk	بچہ	N;NOM;SG;3	N;NOM;MASC;SG;3
çocuk	اولاد	çocuk	اولاد	N;NOM;SG;3	N;NOM;MASC;SG;3
sinema	فلمسازی	sine	فلمسازی	N;NOM;SG;3	N;NOM;MASC;SG;3
üst	اپر	üst	اپر		
üst	اپر	üst	اپر		
üst	لٹو	üst	لٹو		
kara	(	kara	(		
kara	(	kara	(		
kara	(	kara	(		
kara	(	kara	(		
oyun	on	oyun	on		
oyun	on	oyun	on		
beraber	ملاکر	beraber	ملاکر		
beraber	باہم	beraber	باہم		
beraber	ملاکر	beraber	ملاکر		
şablon	سانچا.	şablon	سانچا.		
şablon	آدرش	şablon	آدرش		
şablon	سانچا.	şablon	سانچا.		
şablon	آدرش	şablon	آدرش		
top	لٹو	top	لٹو		
hakem	پنچ	hakem	پنچ		
tiyatro	تمثیل	tiyatro	تمثیل	N;NOM;SG;3	N;NOM;MASC;SG;3
karar	ارادہ	karar	ارادہ	N;NOM;SG;3	N;NOM;MASC;SG;3
tarih	تذکرہ	tarih	تذکرہ	N;NOM;SG;3	N;NOM;MASC;SG;3
tarih	تواریخ	tarih	تواریخ	N;NOM;SG;3	N;NOM;MASC;SG;3
temel	اساسی	temel	اساسی	ADJ	ADJ
konu	(	konu	(		
bağlantı	تعلق.	bağlantı	تعلق.		
bağlantı	تعلق.	bağlantı	تعلق.		
bağlantı	to	bağlantı	to		
bağlantı	ٹکڑا.	bağlantı	ٹکڑا.		
ünlü	نامور	ünlü	نامور	ADJ	ADJ
meslek	کام.	meslek	کام.		
liste	مصاف.	lis	مصاف.		
oy	رائے	oy	رائے	N;NOM;SG;3	N;NOM;MASC;SG;3
geniş	روشن	geniş	روشن	ADJ	ADJ
geniş	اہم	geniş	اہم	ADJ	ADJ
geniş	بڑا	geniş	بڑا	ADJ	ADJ;NOM;MASC;SG
geniş	کشادہ	geniş	کشادہ	ADJ	ADJ
geniş	عیاں	geniş	عیاں	ADJ	ADJ
geniş	وسیع	geniş	وسیع	ADJ	ADJ
geniş	خاص	geniş	خاص	ADJ	ADJ
geniş	واضح	geniş	واضح	ADJ	ADJ
geniş	متحملانہ	geniş	متحملانہ	ADJ	ADJ
geniş	بڑا	geniş	بڑا	ADJ	ADJ;NOM;MASC;SG
geniş	وسیع	geniş	وسیع	ADJ	ADJ
ev	جگہ	ev	جگہ	N;NOM;SG;3	N;NOM;MASC;SG;3
ev	پالتو	ev	پالتو	N;NOM;SG;3	N;NOM;MASC;SG;3
ev	سوراخ	ev	سوراخ	N;NOM;SG;3	N;NOM;MASC;SG;3
