gefasst	抓到	fassen	抓到	V;V.PTCP	V
kombiniert	結合	kombinieren	結合	V;V.PTCP	V
gewährleisten	確保	gewährleisten	確保	V;NFIN	V
attentat	暗殺	attentaben	暗殺	N;NOM;SG	N
gezeichnet	訂閱	zeichnen	訂閱	V;V.PTCP	V
überlebenden	幸存	überlebend	幸存	V;IND;PL;3;FIN	V
überlebenden	幸存	überlebend	幸存	V;IND;PL;3;FIN	V
analysen	分析	analyse	分析	V;NFIN	V
analysen	分析	analyse	分析	V;NFIN	V
analysen	分析	analyse	分析	V;NFIN	V
ware	窯	sein	窯	N;NOM;SG	N
ware	商品	sein	商品	N;NOM;SG	N
kantone	縣	kanton	縣	N;NOM;FEM;PL	N
kantone	各州	kanton	各州	N;NOM;FEM;PL	N
schicken	送出	schicken	送出	V;NFIN	V
schicken	看中	schicken	看中	V;NFIN	V
stärken	加強	stärken	加強	V;NFIN	V
schweigen	無聲	schweigen	無聲	V;NFIN	V
flüssen	河流	flüssen	河流	N;NOM;FEM;PL	N
unterhaltung	對話	unterhaltung	對話	N;NOM;SG	N
unterhaltung	娛樂	unterhaltung	娛樂	N;NOM;SG	N
festgenommen	被	festnehmen	被	V;V.PTCP	V;PASS
konstruiert	構造	konstruieren	構造	V;V.PTCP	V
konstruiert	建構	konstruieren	建構	V;V.PTCP	V
nationalparks	公園	nationalparks	公園	N;NOM;PL	N
aufgeführten	上市	aufgeführt	上市	V;IND;PL;3;PST;FIN	V
symptome	症狀	symptom	症狀	N;SG	N
symptome	症狀	symptom	症狀	N;SG	N
rohr	管	Rohr	管		
unterzeichnet	署名	unterzeichnen	署名	V;V.PTCP	V
unterzeichnet	簽署	unterzeichnen	簽署	V;V.PTCP	V
vertreibung	位	vertreibung	位	N;NOM;FEM;SG	N
erweiterungen	升級	erweiterung	升級	V	V
erweiterungen	延期	erweiterung	延期	V	V
erweiterungen	強化	erweiterung	強化	V	V
erweiterungen	加強	erweiterung	加強	V	V
erweiterungen	增強	erweiterung	增強	V	V
angriffen	攻擊	angreifen	攻擊	V;NFIN	V
landen	降落	landen	降落	V;NFIN	V
landen	登陸	landen	登陸	V;NFIN	V
konservative	保守	konservativ	保守	ADJ;NOM;FEM;PL	ADJ
konservative	保守	konservativ	保守	ADJ;NOM;FEM;PL	ADJ
konservative	保守	konservativ	保守	ADJ;NOM;FEM;PL	ADJ
höhlen	洞穴	höhlen	洞穴	N;NOM;PL	N
höhlen	山洞	höhlen	山洞	N;NOM;PL	N
höhlen	洞穴	höhlen	洞穴	N;NOM;PL	N
höhlen	岩	höhlen	岩	N;NOM;PL	N
höhlen	山洞	höhlen	山洞	N;NOM;PL	N
höhlen	洞穴	höhlen	洞穴	N;NOM;PL	N
harten	苛刻	hart	苛刻	ADJ	ADJ
harten	嚴酷	hart	嚴酷	ADJ	ADJ
anfragen	請求	anfragen	請求	V;NFIN	V
anfragen	要求	anfragen	要求	V;NFIN	V
anfragen	請求	anfragen	請求	V;NFIN	V
anfragen	要求	anfragen	要求	V;NFIN	V
anfragen	詢問	anfragen	詢問	V;NFIN	V
kopieren	複製	kopieren	複製	V;NFIN	V
kopieren	複製	kopieren	複製	V;NFIN	V
verstärkte	強化	verstärken	強化	V;IND;SG;3;PST;FIN	V
verstärkte	加強	verstärken	加強	V;IND;SG;3;PST;FIN	V
verstärkte	增強	verstärken	增強	V;IND;SG;3;PST;FIN	V
verstärkte	擴增	verstärken	擴增	V;IND;SG;3;PST;FIN	V
fertigung	產量	Fertigung	產量	N;NOM;FEM;SG	N
erlassen	頒布	erlassen	頒布	V;NFIN	V
erlassen	頒布	erlassen	頒布	V;NFIN	V
circle	圓	circle	圓		
ringen	摔	ringen	摔	V;NFIN	V
verfassen	撰寫	verfassen	撰寫	V;NFIN	V
verfassen	寫	verfassen	寫	V;NFIN	V
verfassen	寫信	verfassen	寫信	V;NFIN	V
verfassen	寫入	verfassen	寫入	V;NFIN	V
zentren	中心	zentren	中心	N	N
angekommen	抵達	ankommen	抵達	V;V.PTCP	V
angekommen	到	ankommen	到	V;V.PTCP	V
erläuterungen	解釋	erläuterung	解釋	V;NFIN	V
erläuterungen	解釋	erläuterung	解釋	V;NFIN	V
gehirn	腦子	gehern	腦子	N;NOM;SG	N
gehirn	大腦	gehern	大腦	N;NOM;SG	N
gehirn	腦	gehern	腦	N;NOM;SG	N
gehirn	腦	gehern	腦	N;NOM;SG	N
gehirn	腦子	gehern	腦子	N;NOM;SG	N
gehirn	頭腦	gehern	頭腦	N;NOM;SG	N
gehirn	腦	gehern	腦	N;NOM;SG	N
gehirn	大腦	gehern	大腦	N;NOM;SG	N
gehirn	腦	gehern	腦	N;NOM;SG	N
empfehlen	推薦	empfehlen	推薦	V;NFIN	V
empfehlen	推薦	empfehlen	推薦	V;NFIN	V
schmale	狹窄	schmal	狹窄	ADJ;NOM;FEM;PL	ADJ
schlag	吹	schlagen	吹		
konzentrieren	聚焦	konzentrieren	聚焦	V;NFIN	V
konzentrieren	聚焦	konzentrieren	聚焦	V;NFIN	V
konzentrieren	專注	konzentrieren	專注	V;NFIN	V
erheben	升起	erheben	升起	V;NFIN	V
erheben	上升	erheben	上升	V;NFIN	V
entkommen	逃離	entkommen	逃離	V;NFIN	V
gekürzt	縮短	kürzen	縮短	V;V.PTCP	V
skandal	醜聞	skandal	醜聞	N	N
skandal	緋聞	skandal	緋聞	N	N
blockiert	阻擋	blockieren	阻擋	V;V.PTCP	V
steigen	升起	steigen	升起	V;NFIN	V
steigen	上升	steigen	上升	V;NFIN	V
steigen	爬升	steigen	爬升	V;NFIN	V
steigen	爬	steigen	爬	V;NFIN	V
gefährdung	風險	gefährdung	風險	N;FEM;SG	N
gefährdung	危險	gefährdung	危險	N;FEM;SG	N
gefährdung	弱點	gefährdung	弱點	N;FEM;SG	N
gefährdung	危害	gefährdung	危害	N;FEM;SG	N
gefährdung	危害	gefährdung	危害	N;FEM;SG	N
begeistert	激動	begeistern	激動	ADJ	ADJ
seltsam	好奇	seltsam	好奇	ADJ	ADJ
seltsam	怪異	seltsam	怪異	ADJ	ADJ
nachdenken	反射	nachdenken	反射	V;NFIN	V
nachdenken	反省	nachdenken	反省	V;NFIN	V
handschriften	筆跡	handschreifen	筆跡	N	N
handschriften	字跡	handschreifen	字跡	N	N
handschriften	手稿	handschreifen	手稿	N	N
erwartungen	期望	erwartung	期望	V;V.PTCP	V
erwartungen	期望	erwartung	期望	V;V.PTCP	V
erwartungen	期望	erwartung	期望	V;V.PTCP	V
werkzeug	工具	werkzeug	工具	N;NOM;SG	N
werkzeug	工具	werkzeug	工具	N;NOM;SG	N
werkzeug	實用	werkzeug	實用	N;NOM;SG	N
werkzeug	效用	werkzeug	效用	N;NOM;SG	N
tauchen	跳水	tauchen	跳水	V;NFIN	V
tauchen	潛水	tauchen	潛水	V;NFIN	V
tauchen	跳水	tauchen	跳水	V;NFIN	V
tauchen	潛水	tauchen	潛水	V;NFIN	V
bahnlinie	鐵路	bahnlinie	鐵路	N;NOM;SG	N
bahnlinie	鐵道	bahnlinie	鐵道	N;NOM;SG	N
zerstören	消滅	zerstören	消滅	V;NFIN	V
zerstören	摧毀	zerstören	摧毀	V;NFIN	V
zerstören	破壞	zerstören	破壞	V;NFIN	V
zerstören	毀壞	zerstören	毀壞	V;NFIN	V
zerstören	銷毀	zerstören	銷毀	V;NFIN	V
ausgenommen	除	ausgenommen	除	V;V.PTCP	V
anschlag	襲擊	anschlagen	襲擊	N;SG	N
anschlag	暗殺	anschlagen	暗殺	N;SG	N
verletzte	受傷	verletzen	受傷	V;IND;SG;3;PST;FIN	V
verletzte	傷亡	verletzen	傷亡	V;IND;SG;3;PST;FIN	V
verbracht	花費	verbringen	花費	V;V.PTCP	V
geistes	人文	geist	人文	N;NOM;NEUT;SG	N
geistes	精神	geist	精神	N;NOM;NEUT;SG	N
hinzufügen	加上	hinfügen	加上	V;NFIN	V
statuen	雕像	statu	雕像	N;NOM;FEM;PL	N
statuen	塑像	statu	塑像	N;NOM;FEM;PL	N
betrag	金額	betragen	金額	N	N
betrag	款額	betragen	款額	N	N
betrag	數額	betragen	數額	N	N
betrag	總和	betragen	總和	N	N
geltenden	適用	geltend	適用	V;NFIN	V
beamte	官員	beamt	官員	N;NOM;FEM;PL	N
brechen	中斷	brechen	中斷	V;NFIN	V
brechen	休息	brechen	休息	V;NFIN	V
brechen	打破	brechen	打破	V;NFIN	V
brechen	突破	brechen	突破	V;NFIN	V
brechen	打破	brechen	打破	V;NFIN	V
treiben	浮動	treiben	浮動	V;NFIN	V
treiben	漂流	treiben	漂流	V;NFIN	V
höchster	最高	hoch	最高	ADJ	ADJ
höchster	最高	hoch	最高	ADJ	ADJ
kompromiss	妥協	kompromiss	妥協	N	N
kompromiss	折衷	kompromiss	折衷	N	N
kunstwerke	美術	kunstwerk	美術	N;NOM;PL	N
kunstwerke	藝術	kunstwerk	藝術	N;NOM;PL	N
kunstwerke	藝術	kunstwerk	藝術	N;NOM;PL	N
kunstwerke	藝術	kunstwerk	藝術	N;NOM;PL	N
beinhalten	包括	beinhalten	包括	V;NFIN	V
larven	幼蟲	larven	幼蟲	N;PL	N
larven	幼蟲	larven	幼蟲	N;PL	N
nachweise	證據	nachweise	證據	N;NOM;FEM;SG	N
nachweise	證據	nachweise	證據	N;NOM;FEM;SG	N
sparen	節省	sparen	節省	V;NFIN	V
sparen	節省	sparen	節省	V;NFIN	V
territorien	領土	territorien	領土	N;NOM;PL	N
nacheinander	先後	nacheinander	先後	ADV	ADV
nacheinander	先後	nacheinander	先後	ADV	ADV
ökonomie	經濟	ökonomie	經濟	N;NOM;FEM;SG	N
ökonomie	經濟	ökonomie	經濟	N;NOM;FEM;SG	N
untersuchen	調查	untersuchen	調查	V;NFIN	V
oberseite	最高	oberseite	最高	ADJ	ADJ
opfern	受害	opfern	受害	V;NFIN	V
opfern	受害	opfern	受害	V;NFIN	V
korrektur	校正	korrektur	校正	N;SG	N
korrektur	矯	korrektur	矯	N;SG	N
erzeugung	世代	erzeugung	世代	N;SG	N
erzeugung	產量	erzeugung	產量	N;SG	N
brauch	需要	brauch	需要	V;IND;SG;3;PRS;FIN	V
brauch	定制	brauch	定制	V;IND;SG;3;PRS;FIN	V
brauch	自訂	brauch	自訂	V;IND;SG;3;PRS;FIN	V
aufruf	電話	aufruf	電話	N;SG	N
aufruf	通話	aufruf	通話	N;SG	N
schräg	怪異	schräg	怪異	ADJ	ADJ
privater	私人	privat	私人	ADJ	ADJ
häfen	港口	häfen	港口	N;NOM;PL	N
ordentlich	整潔	ordentlich	整潔	ADJ	ADJ
ordentlich	整潔	ordentlich	整潔	ADJ	ADJ
werkzeuge	工具	werkzeugen	工具	N;NOM;PL	N
werkzeuge	水電	werkzeugen	水電	N;NOM;PL	N
werkzeuge	刀	werkzeugen	刀	N;NOM;PL	N
harte	苛刻	hart	苛刻	ADJ;NOM;FEM;PL	ADJ
harte	嚴酷	hart	嚴酷	ADJ;NOM;FEM;PL	ADJ
rezensionen	評語	rezension	評語	V;NFIN	V
aktualisiert	升級	aktualisieren	升級	V;V.PTCP	V
stimmte	議定	stimmen	議定	V;IND;SG;3;PST;FIN	V
stimmte	同意	stimmen	同意	V;IND;SG;3;PST;FIN	V
bewerten	評分	bewerten	評分	V;NFIN	V
mut	勇氣	mut	勇氣	N	N
mut	英勇	mut	英勇	N	N
achsen	軸	achsen	軸	N	N
achsen	軸心	achsen	軸心	N	N
achsen	斧子	achsen	斧子	N	N
achsen	軸線	achsen	軸線	N	N
achsen	軸	achsen	軸	N	N
achsen	軸心	achsen	軸心	N	N
trinken	飲酒	trinken	飲酒	V;NFIN	V
trinken	喝	trinken	喝	V;NFIN	V
trinken	喝酒	trinken	喝酒	V;NFIN	V
duell	決鬥	duell	決鬥	N;NOM;SG	N
duell	決戰	duell	決戰	N;NOM;SG	N
verschwindet	消失	verschwinden	消失	V;IND;SG;3;PRS;FIN	V
verringert	減少	verringern	減少	V;V.PTCP	V
aufkommen	湧現	aufkommen	湧現	V;NFIN	V
aufkommen	興起	aufkommen	興起	V;NFIN	V
verbringen	花費	verbringen	花費	V;NFIN	V
verdienen	掙	verdienen	掙	V;NFIN	V
verdienen	賺取	verdienen	賺取	V;NFIN	V
verdienen	賺	verdienen	賺	V;NFIN	V
intensive	激烈	intensiv	激烈	ADJ;NOM;FEM;PL	ADJ
messungen	測量	messungen	測量	V;NFIN	V
wettkampf	競賽	wettkampf	競賽	N	N
wettkampf	錦標	wettkampf	錦標	N	N
wettkampf	競爭	wettkampf	競爭	N	N
wettkampf	競爭	wettkampf	競爭	N	N
wettkampf	競賽	wettkampf	競賽	N	N
wettkampf	比賽	wettkampf	比賽	N	N
wettkampf	競賽	wettkampf	競賽	N	N
konzeption	構想	konzeption	構想	N;SG	N
konzeption	概念	konzeption	概念	N;SG	N
konzeption	理念	konzeption	理念	N;SG	N
fühlen	感受	fühlen	感受	V;NFIN	V
fühlen	感受	fühlen	感受	V;NFIN	V
vereinbart	議定	vereinbaren	議定	V;V.PTCP	V
vereinbart	同意	vereinbaren	同意	V;V.PTCP	V
beweise	證據	Beweis	證據	N;NOM;PL	N
beweise	證據	Beweis	證據	N;NOM;PL	N
grabmal	墳	grabmal	墳	N;NOM;SG	N
grabmal	墓	grabmal	墓	N;NOM;SG	N
grabmal	墓穴	grabmal	墓穴	N;NOM;SG	N
einschränkungen	限制	einschränkungen	限制	V	V
einschränkungen	限制	einschränkungen	限制	V	V
einschränkungen	限制	einschränkungen	限制	V	V
modernisierung	現代	modernisierung	現代	N;NOM;FEM;SG	N
modernisierung	現代	modernisierung	現代	N;NOM;FEM;SG	N
angeklagt	被	anklagen	被	V;V.PTCP	V;PASS
willkürlich	隨機	willkürlich	隨機	ADJ	ADJ
stiftungen	地基	stiftung	地基	N;NOM;FEM;PL	N
stiftungen	基金	stiftung	基金	N;NOM;FEM;PL	N
thesen	命題	thesen	命題	N;PL	N
hinrichtung	處	hinrichtung	處	N;NOM;FEM;SG	N
hinrichtung	處	hinrichtung	處	N;NOM;FEM;SG	N
manuskript	手稿	manuskript	手稿	N;NOM;NEUT;SG	N
manuskript	稿子	manuskript	稿子	N;NOM;NEUT;SG	N
heftigen	激烈	heftig	激烈	ADJ;PL	ADJ
beschränken	受限	beschränken	受限	V;NFIN	V
verdrängt	流離	verdrängen	流離	V;V.PTCP	V
zurückziehen	撤回	zurückziehen	撤回	V;NFIN	V
zurückziehen	收回	zurückziehen	收回	V;NFIN	V
zurückziehen	退	zurückziehen	退	V;NFIN	V
zurückziehen	撤退	zurückziehen	撤退	V;NFIN	V
räumlichkeiten	房舍	räumlichkeit	房舍	N;NOM;FEM;PL	N
räumlichkeiten	房地	räumlichkeit	房地	N;NOM;FEM;PL	N
räumlichkeiten	場地	räumlichkeit	場地	N;NOM;FEM;PL	N
vorbehalten	預留	vorbehalten	預留	V;V.PTCP	V
vorbehalten	保留	vorbehalten	保留	V;V.PTCP	V
extreme	極度	extrem	極度	N;NOM;FEM;PL	N
extreme	極限	extrem	極限	N;NOM;FEM;PL	N
währung	貨幣	währung	貨幣	N;NOM;SG	N
währung	幣值	währung	幣值	N;NOM;SG	N
währung	貨幣	währung	貨幣	N;NOM;SG	N
inbetriebnahme	創業	inbetriebnahme	創業	N;NOM;FEM;SG	N
zustimmen	同意	zustimmen	同意	V;NFIN	V
heftig	激烈	heftig	激烈	ADJ	ADJ
heftig	激烈	heftig	激烈	ADJ	ADJ
klarinette	單簧	klarinette	單簧	N;NOM;FEM;PL	N
haushalts	家用	haushalts	家用	N;NOM;NEUT;SG	N
haushalts	住戶	haushalts	住戶	N;NOM;NEUT;SG	N
ausgehenden	卸任	ausgehend	卸任	V;FIN	V
ausgehenden	離任	ausgehend	離任	V;FIN	V
lizenzen	許可	lizenzen	許可	V;NFIN	V
lizenzen	許可	lizenzen	許可	V;NFIN	V
lizenzen	許可	lizenzen	許可	V;NFIN	V
meldungen	通知	meldung	通知	V;NFIN	V
regimes	政權	regim	政權	N;NOM;NEUT;SG	N
absoluten	絕對	absolut	絕對	ADJ	ADJ
übersetzte	翻譯	übersetzen	翻譯	V;IND;SG;3;PST;FIN	V
demnächst	很快	demnächst	很快	ADV	ADV
abgetrennt	分居	abtrennen	分居	V;V.PTCP	V
sektor	部門	sektor	部門	N	N
erfassen	擷取	erfassen	擷取	V;NFIN	V
erfassen	捕捉	erfassen	捕捉	V;NFIN	V
erfassen	捕獲	erfassen	捕獲	V;NFIN	V
erfassen	捕捉	erfassen	捕捉	V;NFIN	V
erfassen	捕獲	erfassen	捕獲	V;NFIN	V
einbindung	整合	einbindung	整合	N;FEM;SG	N
einbindung	包容	einbindung	包容	N;FEM;SG	N
ignorieren	忽略	ignorieren	忽略	V;NFIN	V
ignorieren	忽視	ignorieren	忽視	V;NFIN	V
ignorieren	無視	ignorieren	無視	V;NFIN	V
ignorieren	無視	ignorieren	無視	V;NFIN	V
ignorieren	忽略	ignorieren	忽略	V;NFIN	V
ignorieren	忽視	ignorieren	忽視	V;NFIN	V
ignorieren	無視	ignorieren	無視	V;NFIN	V
raupen	幼蟲	raupen	幼蟲	N;NOM;PL	N
zusammengestellt	編譯	zusammenstellen	編譯	V;V.PTCP	V
eisenbahnen	鐵路	eisenbahnen	鐵路	N;NOM;FEM;PL	N
eisenbahnen	鐵路	eisenbahnen	鐵路	N;NOM;FEM;PL	N
eisenbahnen	鐵道	eisenbahnen	鐵道	N;NOM;FEM;PL	N
eisenbahnen	鐵路	eisenbahnen	鐵路	N;NOM;FEM;PL	N
eisenbahnen	鐵道	eisenbahnen	鐵道	N;NOM;FEM;PL	N
eisenbahnen	火車	eisenbahnen	火車	N;NOM;FEM;PL	N
eisenbahnen	列車	eisenbahnen	列車	N;NOM;FEM;PL	N
beleuchtung	照明	beleuchtung	照明	N;SG	N
beleuchtung	照明	beleuchtung	照明	N;SG	N
beleuchtung	燈	beleuchtung	燈	N;SG	N
beleuchtung	燈光	beleuchtung	燈光	N;SG	N
getauft	受洗	taufen	受洗	V;V.PTCP	V
tötet	殺	töten	殺	V;IND;SG;3;PRS;FIN	V
tötet	殺死	töten	殺死	V;IND;SG;3;PRS;FIN	V
tötet	殺	töten	殺	V;IND;SG;3;PRS;FIN	V
agenten	特工	agent	特工	N;PL	N
einschränkung	約束	einschränkung	約束	N;FEM;SG	N
einschränkung	制約	einschränkung	制約	N;FEM;SG	N
trocken	乾燥	trocken	乾燥	ADJ	ADJ
erinnere	提醒	erinner	提醒	V;SG;FIN	V
wahlgang	選票	wahlgang	選票	N	N
grundsätze	原則	grundsätze	原則	N;NOM;FEM;SG	N
hauptseite	首頁	hauptseite	首頁		
eingreifen	干預	eingreifen	干預	V;NFIN	V
eingreifen	干涉	eingreifen	干涉	V;NFIN	V
eingreifen	介入	eingreifen	介入	V;NFIN	V
beschließt	決定	beschließen	決定	V;IND;SG;3;PRS;FIN	V
fließen	流通	fließen	流通	V;NFIN	V
beitritt	入世	beitreten	入世	V;IND;SG;3;FIN	V
beitritt	加入	beitreten	加入	V;IND;SG;3;FIN	V
werkstätten	研討	werkstätten	研討	V;NFIN	V
paradies	天堂	paradies	天堂	N;NOM;NEUT;SG	N
paradies	樂園	paradies	樂園	N;NOM;NEUT;SG	N
streiten	爭論	streiten	爭論	V;NFIN	V
streiten	爭吵	streiten	爭吵	V;NFIN	V
streiten	爭論	streiten	爭論	V;NFIN	V
präsentieren	呈現	präsentieren	呈現	V;NFIN	V
präsentieren	展示	präsentieren	展示	V;NFIN	V
verzicht	投降	verzichen	投降	V;IND;SG;3;FIN	V
verzicht	交出	verzichen	交出	V;IND;SG;3;FIN	V
verzicht	遺棄	verzichen	遺棄	V;IND;SG;3;FIN	V
verzicht	廢棄	verzichen	廢棄	V;IND;SG;3;FIN	V
verzicht	棄權	verzichen	棄權	V;IND;SG;3;FIN	V
kopien	拷貝	kopien	拷貝	N;NOM;PL	N
lächerlich	可笑	lächerlich	可笑	ADJ	ADJ
gefährlich	危險	gefährlich	危險	ADJ	ADJ
reale	真實	real	真實	ADJ;NOM;FEM;PL	ADJ
wandern	散步	wandern	散步	V;NFIN	V
wandern	行走	wandern	行走	V;NFIN	V
wandern	走路	wandern	走路	V;NFIN	V
wandern	跋涉	wandern	跋涉	V;NFIN	V
vorgelegt	提交	vorlegen	提交	V;V.PTCP	V
anmelden	訂閱	anmelden	訂閱	V;NFIN	V
anmelden	註冊	anmelden	註冊	V;NFIN	V
anmelden	登記	anmelden	登記	V;NFIN	V
erklärungen	解釋	erklärung	解釋	V;NFIN	V
erklärungen	解釋	erklärung	解釋	V;NFIN	V
verbreiten	散播	verbreiten	散播	V;NFIN	V
verbreiten	傳播	verbreiten	傳播	V;NFIN	V
