une	ένας	un	ένας	DET;INDF;FEM;SG	DET;NOM;INDF;MASC;SG
équipe	διμοιρία	équipe	διμοιρία	N;FEM;SG	N;NOM;FEM;SG
équipe	ομάδα	équipe	ομάδα	N;FEM;SG	N;ACC;FEM;SG
équipe	ομαδα	équipe	ομαδα	N;FEM;SG	N;NOM;FEM;SG
équipe	ομάδα	équipe	ομάδα	N;FEM;SG	N;ACC;FEM;SG
club	λέσχη	club	λέσχω	N;MASC;SG	N;NOM;FEM;SG
sud	νοτια	sud	νοτίος	N;MASC;SG	N;NOM;FEM;SG
sud	νότος	sud	νότος	N;MASC;SG	N;NOM;MASC;SG
partie	πάρτυ	partie	πάρτυ	N;FEM;SG	N;NOM;NEUT;SG
partie	κόμμα	partie	κόμμα	N;FEM;SG	N;NOM;NEUT;SG
partie	πάρτι	partie	πάρτι	N;FEM;SG	N;NOM;NEUT;SG
partie	μέρος	partie	μέρος	N;FEM;SG	N;NOM;NEUT;SG
partie	μεροσ	partie	μεροσ	N;FEM;SG	N;NOM;NEUT;SG
non	οχι	non	οχι	ADV	ADV
très	πολυ	très	πολυ	ADV	ADV
très	πολύ	très	πολύ	ADV	ADV
trois	τρεις	trois	τρεις	NUM	NUM;NOM;MASC;PL
trois	τρία	trois	τρεις	NUM	NUM;NOM;NEUT;PL
trois	τρια	trois	τρεις	NUM	NUM
articles	άρθρα	article	άρθρο	N;MASC;PL	N;NOM;NEUT;PL
articles	τεχνουργήματα	article	τεχνούργημα	N;MASC;PL	N;NOM;NEUT;PL
article	αρθρο	article	αρθρο	N;MASC;SG	N;NOM;NEUT;SG
article	άρθρο	article	άρθρο	N;MASC;SG	N;NOM;NEUT;SG
guerre	πόλεμος	guerre	πόλεμος	N;FEM;SG	N;NOM;MASC;SG
guerre	πόλεμο	guerre	πόλεμος	N;FEM;SG	N;ACC;MASC;SG
sans	χωρίς	sans	χωρίς	ADP	ADP
saison	εποχή	saison	εποχή	N;FEM;SG	N;ACC;FEM;SG
saison	σαιζόν	saison	σαιζός	N;FEM;SG	N;NOM;FEM;SG
saison	σεζόν	saison	σεζόν	N;FEM;SG	N;ACC;FEM;SG
fin	πτερύγιο	fin	πτερύγιο	N;FEM;SG	N;NOM;NEUT;SG
fin	λήξη	fin	λήξη	N;FEM;SG	N;ACC;FEM;SG
année	ετος	année	ετος	N;FEM;SG	N;NOM;NEUT;SG
année	έτος	année	έτος	N;FEM;SG	N;ACC;NEUT;SG
année	χρονιά	année	χρονιά	N;FEM;SG	N;ACC;FEM;SG
année	έτο	année	έτος	N;FEM;SG	N
temps	καιρός	temps	καιρός	N;MASC;SG	N;NOM;MASC;SG
temps	χρόνος	temps	χρόνος	N;MASC;SG	N;NOM;MASC;SG
temps	ώρα	temps	ώρα	N;MASC;SG	N;ACC;FEM;SG
temps	φορά	temps	φορά	N;MASC;SG	N;ACC;FEM;SG
temps	ωρα	temps	ωρα	N;MASC;SG	N;ACC;FEM;SG
temps	χρόνο	temps	χρόνος	N;MASC;SG	N;ACC;MASC;SG
plusieurs	αρκετές	plusieurs	αρκετός	PRO;PL	PRO;NOM;FEM;PL;3
plusieurs	αρκετοί	plusieurs	αρκετός	PRO;PL	PRO;NOM;MASC;PL;3
faire	κάνοντας	faire	κάνω	V;NFIN	V;IPFV;V.CVB;ACT
mars	μαρτίου	mars	μάρτιος	N;MASC;SG	N;GEN;MASC;SG
mars	μάρτιος	mars	μάρτιος	N;MASC;SG	N;NOM;MASC;SG
mars	μάρτιο	mars	μάρτιο	N;MASC;SG	N
mars	άρη	mars	άρη	N;MASC;SG	N;MASC;SG
mars	αρης	mars	αρος	N;MASC;SG	N;NOM;MASC;SG
histoire	ιστορία	histoire	ιστορία	N;FEM;SG	N;NOM;FEM;SG
histoire	ιστορια	histoire	ιστορια	N;FEM;SG	N;NOM;FEM;SG
série	σειρά	série	σειρά	N;FEM;SG	N;ACC;FEM;SG
série	σειρα	série	σειρα	N;FEM;SG	N;NOM;FEM;SG
série	αύξοντα	série	αύξον	N;FEM;SG	N;ACC;MASC;SG
série	αύξων	série	αύξος	N;FEM;SG	N;NOM;MASC;SG
joueur	παίκτης	joueur	παίκτης	N;MASC;SG	N;NOM;MASC;SG
joueur	παίκτη	joueur	παίκτης	N;MASC;SG	N;ACC;MASC;SG
joueur	παίχτης	joueur	παίχτης	N;MASC;SG	N;NOM;MASC;SG
joueur	παίχτη	joueur	παίχτης	N;MASC;SG	N;ACC;MASC;SG
mai	μάιος	mai	μάιος	N;MASC;SG	N;NOM;MASC;SG
mai	μάης	mai	μάος	N;MASC;SG	N;NOM;MASC;SG
tour	ξενάγηση	tour	ξενάγηση	N;MASC;SG	N;ACC;FEM;SG
tour	περιήγηση	tour	περιήγηση	N;MASC;SG	N;ACC;FEM;SG
tour	περιοδεία	tour	περιοδείο	N;MASC;SG	N;ACC;FEM;SG
tour	πύργος	tour	πύργος	N;MASC;SG	N;NOM;MASC;SG
tour	πύργο	tour	πύργος	N;MASC;SG	N;ACC;MASC;SG
mort	πέθανε	mourir	πεθαίνω	V;MASC;SG;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;ACT
mort	πεθανε	mourir	πεθαίνω	V;MASC;SG;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;ACT
juin	ιουνίου	juin	ιούνιος	N;MASC;SG	N;GEN;MASC;SG
française	γαλλική	français	γαλλική	ADJ;FEM;SG	ADJ;NOM;FEM;SG
française	γαλλικό	français	γαλλικός	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
pierre	πέτρα	pierre	πέτρο	N;FEM;SG	N;NOM;FEM;SG
région	περιφέρεια	région	περιφέρεια	N;FEM;SG	N;NOM;FEM;SG
région	περιοχή	région	περιοχή	N;FEM;SG	N;NOM;FEM;SG
région	έκταση	région	έκταση	N;FEM;SG	N;ACC;FEM;SG
région	εμβαδόν	région	εμβαδόν	N;FEM;SG	N;NOM;NEUT;SG
région	περιοχή	région	περιοχή	N;FEM;SG	N;NOM;FEM;SG
région	περιοχη	région	περιοχος	N;FEM;SG	N;NOM;FEM;SG
janvier	ιανουάριο	janvier	ιανουάριο	N;MASC;SG	N
janvier	ιανουάριος	janvier	ιανουάριος	N;MASC;SG	N;NOM;MASC;SG
avoir	έχοντας	avoir	έχω	V;NFIN	V;IPFV;V.CVB;ACT
septembre	σεπτεμβρίου	septembre	σεπτέμβριο	N;MASC;SG	N;GEN;MASC;SG
septembre	σεπτέμβριος	septembre	σεπτέμβριος	N;MASC;SG	N;NOM;MASC;SG
septembre	σεπτέμβριο	septembre	σεπτέμβριο	N;MASC;SG	N
juillet	ιούλιο	juillet	ιούλιος	N;MASC;SG	N;ACC;MASC;SG
juillet	ιουλίου	juillet	ιούλιος	N;MASC;SG	N;GEN;NEUT;SG
juillet	ιουλιος	juillet	ιουλιος	N;MASC;SG	N;NOM;MASC;SG
état	κατάσταση	état	κατάσταση	N;MASC;SG	N;ACC;FEM;SG
état	καθεστώς	état	καθεστώς	N;MASC;SG	N;ACC;NEUT;SG
état	κατασταση	état	κατασταση	N;MASC;SG	N;ACC;FEM;SG
état	κράτος	état	κράτος	N;MASC;SG	N;NOM;NEUT;SG
état	πολιτεία	état	πολιτεία	N;MASC;SG	N;ACC;FEM;SG
état	κατάσταση	état	κατάσταση	N;MASC;SG	N;ACC;FEM;SG
état	όρος	état	όρος	N;MASC;SG	N;NOM;MASC;SG
église	τσερτς	église	τσερτς	N;FEM;SG	N
église	εκκλησία	église	εκκλησία	N;FEM;SG	N;NOM;FEM;SG
église	εκκλησια	église	εκκλησιος	N;FEM;SG	N;NOM;FEM;SG
octobre	οκτώβριος	octobre	οκτώβριος	N;MASC;SG	N;NOM;MASC;SG
octobre	οκτώβριο	octobre	οκτώβριο	N;MASC;SG	N
octobre	οκτωβρίου	octobre	οκτώβριος	N;MASC;SG	N;GEN;MASC;SG
place	τόπος	place	τόπος	N;FEM;SG	N;NOM;MASC;SG
place	μέρος	place	μέρος	N;FEM;SG	N;NOM;NEUT;SG
famille	οικογενεια	famille	οικογενεια	N;FEM;SG	N;ACC;FEM;SG
famille	οικογένεια	famille	οικογένεια	N;FEM;SG	N;NOM;FEM;SG
états	πολιτείες	état	πολιτεία	N;MASC;PL	N;NOM;FEM;PL
états	κρατών	état	κράτος	N;MASC;PL	N;GEN;NEUT;PL
états	κράτη	état	κράτος	N;MASC;PL	N;NOM;NEUT;PL
général	στρατηγός	général	στρατηγός	N;MASC;SG	N;NOM;MASC;SG
avril	απρίλιος	avril	απρίλιος	N;MASC;SG	N;NOM;MASC;SG
avril	απρίλιο	avril	απρίλιο	N;MASC;SG	N
avril	απρίλη	avril	απρίλιος	N;MASC;SG	N
avril	απριλίου	avril	απρίλιος	N;MASC;SG	N;GEN;MASC;SG
avril	έιπριλ	avril	έιπριλ	N;MASC;SG	N
album	δίσκος	album	δίσκος	N;MASC;SG	N;NOM;MASC;SG
album	άλμπουμ	album	άλμπουμ	N;MASC;SG	N;MASC;SG
décembre	δεκέμβριο	décembre	δεκέμβριος	N;MASC;SG	N
décembre	δεκέμβριος	décembre	δεκέμβριος	N;MASC;SG	N;NOM;MASC;SG
décembre	δεκεμβρίου	décembre	δεκέμβριο	N;MASC;SG	N;GEN;MASC;SG
août	αύγουστος	août	αύγουστος	N;MASC;SG	N;NOM;MASC;SG
août	αύγουστο	août	αύγουστος	N;MASC;SG	N
août	αυγούστου	août	αυγούστος	N;MASC;SG	N;GEN;MASC;SG
novembre	νοεμβρίου	novembre	νόεμβριος	N;MASC;SG	N;GEN;MASC;SG
novembre	νοέμβριο	novembre	νοέμβριος	N;MASC;SG	N;NOM;MASC;SG
novembre	νοέμβριος	novembre	νοέμβριος	N;MASC;SG	N;NOM;MASC;SG
novembre	νοε	novembre	νοε	N;MASC;SG	N
prix	τιμή	prix	τιμή	N;MASC;SG	N;NOM;FEM;SG
nouvelle	νέο	nouveau	νέος	ADJ;FEM;SG	ADJ;ACC;NEUT;SG
nouvelle	νέος	nouveau	νέος	ADJ;FEM;SG	ADJ;NOM;MASC;SG
février	φεβρουάριος	février	φεβρουάριος	N;MASC;SG	N;NOM;MASC;SG
février	φεβρουάριο	février	φεβρουάριο	N;MASC;SG	N
février	φεβρουαρίου	février	φεβρουάριο	N;MASC;SG	N;GEN;MASC;SG
département	τμήμα	département	τμήμα	N;MASC;SG	N;NOM;NEUT;SG
département	τμημα	département	τμημα	N;MASC;SG	N;NOM;NEUT;SG
grande	μεγάλο	grand	μεγάλος	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
grande	μεγάλη	grand	μεγάλος	ADJ;FEM;SG	ADJ;NOM;FEM;SG
grande	μεγάλος	grand	μεγάλος	ADJ;FEM;SG	ADJ;NOM;MASC;SG
grande	μεγάλο	grand	μεγάλος	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
grande	τέλεια	grand	τέλεια	ADJ;FEM;SG	ADJ;NOM;FEM;SG
américain	αμερικανική	américain	αμερικάνικος	ADJ;MASC;SG	ADJ;NOM;FEM;SG
américain	αμερικανός	américain	Αμερικανός	ADJ;MASC;SG	ADJ;NOM;MASC;SG
américain	αμερικάνος	américain	αμερικάνος	ADJ;MASC;SG	ADJ;NOM;MASC;SG
américain	αμερικάνικο	américain	Αμερικάνικος	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
début	αρχή	début	αρχή	N;MASC;SG	N;NOM;FEM;SG
début	εκκίνηση	début	εκκίνηση	N;MASC;SG	N;ACC;FEM;SG
début	έναρξη	début	έναρξη	N;MASC;SG	N;ACC;FEM;SG
début	αρχή	début	αρχή	N;MASC;SG	N;NOM;FEM;SG
ligne	γραμμή	ligne	γραμμή	N;FEM;SG	N;NOM;FEM;SG
ligne	γραμμη	ligne	γραμμη	N;FEM;SG	N;NOM;FEM;SG
ligne	σειρά	ligne	σειρά	N;FEM;SG	N;ACC;FEM;SG
ligne	κουπί	ligne	κουπί	N;FEM;SG	N;NOM;NEUT;SG
ligne	ρόου	ligne	ρόος	N;FEM;SG	N;VOC;MASC;SG
suite	σουίτα	suite	σουίτα	N;FEM;SG	N;NOM;FEM;SG
nationale	εθνικός	national	εθνικός	ADJ;FEM;SG	ADJ;NOM;MASC;SG
nationale	εθνικό	national	εθνικός	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
nationale	εθνικη	national	εθνικη	ADJ;FEM;SG	ADJ;NOM;FEM;SG
nationale	εθνική	national	εθνικός	ADJ;FEM;SG	ADJ;NOM;FEM;SG
championnat	πρωτάθλημα	championnat	πρωτάθλημα	N;MASC;SG	N;NOM;NEUT;SG
encore	πάλι	encore	πάλι	ADV	ADV
encore	ξανά	encore	ξανά	ADV	ADV
encore	παλι	encore	παλι	ADV	ADV
encore	ακόμη	encore	ακόμα	ADV	ADV
encore	ακομα	encore	ακομα	ADV	ADV
encore	ακόμα	encore	ακόμα	ADV	ADV
image	φωτογραφια	image	φωτογραφια	N;FEM;SG	N;NOM;FEM;SG
image	φωτογραφία	image	φωτογραφία	N;FEM;SG	N;ACC;FEM;SG
image	εικόνα	image	εικόνα	N;FEM;SG	N;NOM;FEM;SG
image	εικόνα	image	εικόνα	N;FEM;SG	N;NOM;FEM;SG
image	εικονα	image	εικονα	N;FEM;SG	N;NOM;FEM;SG
vie	ζωή	vie	ζωή	N;FEM;SG	N;ACC;FEM;SG
vie	ζωη	vie	ζωη	N;FEM;SG	N;ACC;FEM;SG
unis	ενωμένοι	unir	ενωμένος	V;MASC;PL;PST;V.PTCP	V;PFV;NOM;MASC;PL;V.PTCP;PASS
lien	σύνδεσμο	lien	σύνδεσμο	N;MASC;SG	N;ACC;MASC;SG
lien	σύνδεσμος	lien	σύνδεσμος	N;MASC;SG	N;NOM;MASC;SG
lien	λινκ	lien	λινκ	N;MASC;SG	N;NOM;NEUT;SG
lien	δεσμός	lien	δεσμός	N;MASC;SG	N;NOM;MASC;SG
lien	σύνδεση	lien	σύνδεση	N;MASC;SG	N;NOM;FEM;SG
football	ποδόσφαιρο	football	ποδόσφαιρος	N;MASC;SG	N;NOM;NEUT;SG
football	ποδόσφαιρο	football	ποδόσφαιρος	N;MASC;SG	N;NOM;NEUT;SG
jeux	παιχνίδια	jeu	παιχνίδιο	N;MASC;PL	N;NOM;NEUT;PL
jeux	αγωνες	jeu	αγωνας	N;MASC;PL	N;NOM;MASC;PL
jeux	αγώνες	jeu	αγώνας	N;MASC;PL	N;NOM;MASC;PL
moins	μείον	moins	μείον	ADV	ADV
moins	λιγότερο	moins	λίγο	ADV	ADV;CMPR
moins	λιγότερα	moins	λίγο	ADV	ADV;CMPR
ouest	δύση	ouest	δύση	N;MASC;SG	N;ACC;FEM;SG
ouest	δυτικό	ouest	δυτικός	N;MASC;SG	N;NOM;NEUT;SG
page	σελίδα	page	σελίδα	N;FEM;SG	N;NOM;FEM;SG
page	σελιδα	page	σελιδα	N;FEM;SG	N;ACC;FEM;SG
nouveau	νέο	nouveau	νέος	ADJ;MASC;SG	ADJ;ACC;NEUT;SG
nouveau	νέος	nouveau	νέος	ADJ;MASC;SG	ADJ;NOM;MASC;SG
vous	εσείς	vous	εγώ	PRO;PL;2	PRO;NOM;MASC;PL;2
centre	κέντρο	centre	κέντρο	N;MASC;SG	N;NOM;NEUT;SG
centre	κεντρο	centre	κεντρο	N;MASC;SG	N;NOM;NEUT;SG
centre	κέντρο	centre	κέντρο	N;MASC;SG	N;NOM;NEUT;SG
cours	πορεια	cours	πορεια	N;MASC;SG	N;ACC;FEM;SG
cours	πορεία	cours	πορεία	N;MASC;SG	N;ACC;FEM;SG
partir	αφήσω	partir	αφήνω	V;NFIN	V;PFV;IND;SG;1;FIN;ACT
village	χωριο	village	χωριο	N;MASC;SG	N;NOM;NEUT;SG
village	χωριό	village	χωριό	N;MASC;SG	N;NOM;NEUT;SG
université	πανεπιστήμιο	université	πανεπιστήμιο	N;FEM;SG	N;NOM;NEUT;SG
université	πανεπιστημιο	université	πανεπιστημιο	N;FEM;SG	N;NOM;NEUT;SG
université	κολλέγιο	université	κολλέγιο	N;FEM;SG	N;NOM;NEUT;SG
université	κολέγιο	université	κολέγιο	N;FEM;SG	N;NOM;NEUT;SG
louis	λουδοβίκος	loui	λουδοβίκος	N;MASC;SG	N;NOM;MASC;SG
louis	λούης	loui	λούος	N;MASC;SG	N;NOM;MASC;SG
nombre	αριθμός	nombre	αριθμός	N;MASC;SG	N;NOM;MASC;SG
nombre	νούμερο	nombre	νούμερος	N;MASC;SG	N
quelques	μερικές	quelque	μερικοί	PRO;PL	PRO;NOM;FEM;PL;3
quelques	κάποια	quelque	κάποιος	PRO;PL	PRO;NOM;NEUT;PL;3
quelques	κάποιοι	quelque	κάποιος	PRO;PL	PRO;NOM;MASC;PL;3
quelques	μερικοί	quelque	μερικοί	PRO;PL	PRO;NOM;MASC;PL;3
quelques	μερικά	quelque	μερικοί	PRO;PL	PRO;NOM;NEUT;PL;3
siècle	αιώνα	siècle	αιώνας	N;MASC;SG	N;ACC;MASC;SG
siècle	αιώνας	siècle	αιώνας	N;MASC;SG	N;NOM;MASC;SG
coupe	κούρεμα	coupe	κούρεμα	N;FEM;SG	N;NOM;NEUT;SG
coupe	κύπελλο	coupe	κύπελλος	N;FEM;SG	N;NOM;NEUT;SG
coupe	κούπα	coupe	κούπα	N;FEM;SG	N;NOM;FEM;SG
coupe	φλιτζάνι	coupe	φλιτζάνι	N;FEM;SG	N;NOM;NEUT;SG
coupe	κοπή	coupe	κοπή	N;FEM;SG	N;NOM;FEM;SG
coupe	κόψιμο	coupe	κόψιμο	N;FEM;SG	N;NOM;NEUT;SG
coupe	κόψιμο	coupe	κόψιμο	N;FEM;SG	N;NOM;NEUT;SG
population	πληθυσμός	population	πληθυσμός	N;FEM;SG	N;NOM;MASC;SG
population	πληθυσμού	population	πληθυσμός	N;FEM;SG	N;GEN;MASC;SG
connexes	σχετικές	connexe	σχετικός	ADJ;MASC;PL	ADJ;NOM;FEM;PL
homme	άνδρας	homme	άντρας	N;MASC;SG	N;NOM;MASC;SG
homme	άρρεν	homme	άρρεν	N;MASC;SG	N;NOM;MASC;SG
homme	άνθρωπος	homme	άνθρωπος	N;MASC;SG	N;NOM;MASC;SG
communes	δήμους	commune	δήμος	N;FEM;PL	N;ACC;MASC;PL
communes	δήμοι	commune	δήμος	N;FEM;PL	N;NOM;MASC;PL
division	μεραρχία	division	μεραρχία	N;FEM;SG	N;ACC;FEM;SG
