den	den	den	den	PRO;DEF;MASC+FEM;SG	PRO;ACC;MASC+FEM;SG;3
läge	lokation	läge	lokation	N;NOM;INDF;NEUT;SG	N;INDF;MASC+FEM;SG
läge	tilstand	läge	tilstand	N;NOM;INDF;NEUT;SG	N;INDF;MASC+FEM;SG
läge	mode	läge	mode	N;NOM;INDF;NEUT;SG	N;INDF;MASC+FEM;SG
även	også	även	også	ADV	ADV
februari	februar	februari	februar	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
lake	sø	lake	sø	N;NOM;INDF;NEUT;SG	N;INDF;MASC+FEM;SG
lake	lake	lake	lake	N;NOM;INDF;NEUT;SG	N;INDF;MASC+FEM;SG
sjö	sø	sjö	sø	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
sjö	lake	sjö	lake	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
sjö	søs	sjö	søs	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
sjö	hav	sjö	hav	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
kommun	kommune	kommun	kommune	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
två	to	två	to	NUM;NOM	NUM
terrängen	terrænet	terräng	terræn	N;NOM;DEF;MASC+FEM;SG	N;DEF;NEUT;SG
juni	juni	juni	juni	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
juni	juni	juni	juni	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
juni	june	juni	jun	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
lat	lat	lat	lat	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
december	december	december	december	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
växer	stigende	växa	stige	V;IND;PRS;FIN;ACT	V;PRS;V.PTCP
växer	vokser	växa	vokse	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
växer	voksende	växa	vokse	V;IND;PRS;FIN;ACT	V;PRS;V.PTCP
växer	gro	växa	gro	V;IND;PRS;FIN;ACT	V;NFIN;ACT
växer	vokser	växa	vokse	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
växer	vokse	växa	vokse	V;IND;PRS;FIN;ACT	V;NFIN;ACT
växer	gror	växa	gro	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
växer	vokser	växa	vokse	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
nära	tæt	nära	tæt	ADV	ADV
väster	west	väster	west	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
väster	vest	väster	vest	N;NOM;INDF;MASC+FEM;SG	N;INDF
väster	vestpå	väster	vestpå	N;NOM;INDF;MASC+FEM;SG	N;INDF
provins	provins	provins	provins	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
öster	east	öster	east	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
öster	øst	öster	øst	N;NOM;INDF;MASC+FEM;SG	N;INDF
först	først	först	først	ADV	ADV
berg	bjerg	berg	bjerg	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
mars	marts	mars	marts	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
mars	march	mars	march	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
mars	mars	mars	mars	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
mindre	mindre	lite	mindre	ADV;CMPR	ADV;CMPR
mindre	mindre	lite	mindre	ADV;CMPR	ADV;CMPR
mindre	mindre	lite	mindre	ADV;CMPR	ADV;CMPR
norr	north	norr	north	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
norr	nord	norr	nord	N;NOM;INDF;MASC+FEM;SG	N;INDF
oktober	oktober	oktober	oktober	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
september	september	september	september	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
större	større	stor	stor	ADJ;NOM;CMPR	ADJ;CMPR
större	større	stor	stor	ADJ;NOM;CMPR	ADJ;CMPR
större	støre	stor	støre	ADJ;NOM;CMPR	ADJ;CMPR
större	større	stor	stor	ADJ;NOM;CMPR	ADJ;CMPR
blev	blev	bli	blive	V;IND;PST;FIN;ACT	V;IND;PST;FIN;ACT
andra	andre	annan	anden	PRO;INDF;PL	PRO;PL
andra	andre	annan	anden	PRO;INDF;PL	PRO;PL
hade	havde	ha	have	V;IND;PST;FIN;ACT	V;IND;PST;FIN;ACT
hade	haft	ha	have	V;IND;PST;FIN;ACT	V;INDF;SG;PST;V.PTCP
där	der	där	der	ADV	ADV
där	hvor	där	hvor	ADV	ADV
county	county	county	county	N;NOM;INDF;NEUT;SG	N;INDF;MASC+FEM;SG
county	amt	county	amt	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
county	amtskommune	county	amtskommun	N;NOM;INDF;NEUT;SG	N;INDF;MASC+FEM;SG
nog	nok	nog	nok	ADV	ADV
huvudsakligen	hovedsageligt	huvudsakligen	hovedsageligt	ADV	ADV
huvudsakligen	primært	huvudsakligen	primært	ADV	ADV
huvudsakligen	hovedsagelig	huvudsakligen	hovedsagelig	ADV	ADV
huvudsakligen	primært	huvudsakligen	primært	ADV	ADV
ovanligt	usædvanligt	ovanlig	usædvanlig	ADJ;NOM;INDF;NEUT;SG	ADJ;INDF;NEUT;SG
ovanligt	usædvanlig	ovanlig	usædvanlig	ADJ;NOM;INDF;NEUT;SG	ADJ;INDF;MASC+FEM;SG
namngivna	navngivne	namngiven	navngivet	ADJ;NOM;PL;PST;V.PTCP	ADJ;PL
söder	syd	söder	syd	N;NOM;INDF;MASC+FEM;SG	N;INDF
creek	bæk	creek	bæk	N;NOM;INDF;NEUT;SG	N;INDF;MASC+FEM;SG
ganska	nogenlunde	ganska	nogenlunde	ADV	ADV
närmaste	nærmeste	nära	nær	ADJ;NOM;DEF;RL	ADJ;DEF;RL
närmaste	nærmeste	nära	nær	ADJ;NOM;DEF;RL	ADJ;DEF;RL
november	november	november	november	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
maj	maj	maj	maj	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
platt	fladt	platt	fladt	ADV	ADV
samhälle	samfund	samhälle	samfund	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
samhälle	fællesskab	samhälle	fællesskab	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
hon	hun	hon	hun	PRO;NOM;DEF;MASC+FEM;SG	PRO;NOM;MASC+FEM;SG;3
består	består	bestå	bestå	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
platser	pladser	plats	plads	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC+FEM;PL
platser	sæder	plats	sæde	N;NOM;INDF;MASC+FEM;PL	N;INDF;NEUT;PL
platser	placeringer	plats	placering	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC+FEM;PL
platser	steder	plats	sted	N;NOM;INDF;MASC+FEM;PL	N;INDF;NEUT;PL
platser	lokaliteter	plats	lokalitet	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC+FEM;PL
platser	pladser	plats	plads	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC+FEM;PL
platser	steder	plats	sted	N;NOM;INDF;MASC+FEM;PL	N;INDF;NEUT;PL
platser	sites	plats	sites	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC+FEM;PL
platser	lokaliteter	plats	lokalitet	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC+FEM;PL
första	første	en	første	ADJ;NOM	ADJ
fick	fik	få	få	V;IND;PST;FIN;ACT	V;IND;PST;FIN;ACT
fick	modtagne	få	modtagne	V;IND;PST;FIN;ACT	V;PL;PST;V.PTCP
fick	modtog	få	modtage	V;IND;PST;FIN;ACT	V;IND;PST;FIN;ACT
fick	modtaget	få	modtage	V;IND;PST;FIN;ACT	V;INDF;SG;PST;V.PTCP
april	april	april	april	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
bar	bar	ba	bar	N;NOM;INDF;NEUT;SG	N;INDF;MASC+FEM;SG
toppen	toppen	topp	top	N;NOM;DEF;MASC+FEM;SG	N;DEF;MASC+FEM;SG
sedan	derefter	sedan	derefter	ADV	ADV
sedan	så	sedan	så	ADV	ADV
sedan	siden	sedan	siden	ADV	ADV
kilometer	kilometer	kilomet	kilometer	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC+FEM;PL
kilometer	kilometer	kilomet	kilometer	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC+FEM;PL
kilometer	kilometer	kilomet	kilometer	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC+FEM;PL
också	også	också	også	ADV	ADV
också	også	också	også	ADV	ADV
talet	talen	tal	tale	N;NOM;DEF;NEUT;SG	N;DEF;MASC+FEM;SG
detta	dette	denna	denne	PRO;DEF;NEUT;SG	PRO;NEUT;SG
detta	denne	denna	denne	PRO;DEF;NEUT;SG	PRO;MASC+FEM;SG
del	del	del	del	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
del	del	del	del	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
riktning	retning	riktning	retning	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
namn	betegnelse	namn	betegnelse	N;NOM;INDF;NEUT;SG	N;INDF;MASC+FEM;SG
namn	navn	namn	navn	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
bland	blandt	bland	blandt	ADP	ADP
bland	blandt	bland	blandt	ADP	ADP
svenska	svenske	svensk	svensk	ADJ;NOM;PL	ADJ;PL
mellan	mellem	mellan	mellem	ADP	ADP
svensk	svensker	svensk	svensker	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
svensk	svensk	svensk	svensk	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
svensk	svensker	svensk	svensker	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
när	da	när	da	ADV	ADV
när	hvornår	när	hvornår	ADV	ADV
död	død	död	død	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
död	død	död	død	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
kulle	bakke	kulle	bakke	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
kommunen	kommunen	kommun	kommune	N;NOM;DEF;MASC+FEM;SG	N;DEF;MASC+FEM;SG
klimatet	klimaet	klimate	klima	N;NOM;DEF;NEUT;SG	N;DEF;NEUT;SG
text	tekst	text	tekst	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
text	sms	text	sms	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
lista	liste	lista	liste	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
lista	list	lista	list	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
största	største	stor	stor	ADJ;NOM;DEF;RL	ADJ;DEF;RL
största	største	stor	stor	ADJ;NOM;DEF;RL	ADJ;DEF;RL
största	størst	stor	størst	ADJ;NOM;DEF;RL	ADJ;RL
största	største	stor	stor	ADJ;NOM;DEF;RL	ADJ;DEF;RL
departementet	afdelingen	departement	afdeling	N;NOM;DEF;NEUT;SG	N;DEF;MASC+FEM;SG
denna	dette	denna	denne	PRO;DEF;MASC+FEM;SG	PRO;NEUT;SG
denna	denne	denna	denne	PRO;DEF;MASC+FEM;SG	PRO;MASC+FEM;SG
from	fromme	from	from	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
tropiskt	tropisk	tropisk	tropisk	ADJ;NOM;INDF;NEUT;SG	ADJ;INDF;SG
park	park	park	park	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
senare	senere	sen	senere	ADV;CMPR	ADV;CMPR
olika	forskellige	olik	forskellig	ADJ;NOM;PL	ADJ;PL
olika	anderledes	olik	anderledes	ADJ;NOM;PL	ADJ
olika	forskellige	olik	forskellig	ADJ;NOM;PL	ADJ;PL
point	punkt	point	punkt	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
point	point	point	point	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
ort	storby	ort	storby	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
ort	by	ort	by	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
nya	nye	ny	ny	ADJ;NOM;PL	ADJ;PL
dock	dog	dock	dog	ADV	ADV
dock	dog	dock	dog	ADV	ADV
dock	imidlertid	dock	imidlertid	ADV	ADV
sjön	søen	sjö	søe	N;NOM;DEF;MASC+FEM;SG	N;DEF;MASC+FEM;SG
tidigare	tidligere	tidig	tidligere	ADV;CMPR	ADV;CMPR
tidigare	tidligere	tidig	tidligere	ADV;CMPR	ADV;CMPR
tidigare	tidligere	tidig	tidligere	ADV;CMPR	ADV;CMPR
tidigare	tidligere	tidig	tidligere	ADV;CMPR	ADV;CMPR
socken	parish	socken	parish	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
socken	sogn	socken	sogn	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
score	scoring	score	scoring	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
stora	store	stor	stor	ADJ;NOM;PL	ADJ;PL
stora	store	stor	stor	ADJ;NOM;PL	ADJ;PL
omgivande	omkringliggende	omgivande	omkringliggende	ADJ;NOM;PRS;V.PTCP	ADJ
omgivande	omgivende	omgivande	omgive	ADJ;NOM;PRS;V.PTCP	ADJ
omgivande	omgivende	omgivande	omgive	ADJ;NOM;PRS;V.PTCP	ADJ
basen	basen	bas	base	N;NOM;DEF;MASC+FEM;SG	N;DEF;MASC+FEM;SG
tre	tre	tre	tre	NUM;NOM	NUM
tre	tre	tre	tre	NUM;NOM	NUM
shift	skift	shift	skift	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
shift	shift	shift	shift	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
algeriet	algeriet	algeri	algeri	N;NOM;DEF;NEUT;SG	N;DEF;NEUT;SG
dessa	disse	denna	denne	PRO;DEF;PL	PRO;PL
växtlighet	vegetation	växtlighet	vegetation	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
mer	mere	mycket	mere	ADV;CMPR	ADV;CMPR
här	her	här	her	ADV	ADV
öst	east	öst	east	N	N;INDF;MASC+FEM;SG
öst	øst	öst	øst	N	N;INDF
öst	øst	öst	øst	N	N;INDF
region	region	region	region	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
jakarta	jakarta	jakert	jakarta	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
file	file	file	file	N;NOM;INDF;NEUT;SG	N;INDF;MASC+FEM;SG
file	fil	file	fil	N;NOM;INDF;NEUT;SG	N;INDF;MASC+FEM;SG
släkte	generation	släkte	generation	N;NOM;INDF;NEUT;SG	N;INDF;MASC+FEM;SG
släkte	generering	släkte	generering	N;NOM;INDF;NEUT;SG	N;INDF;MASC+FEM;SG
släkte	race	släkte	race	N;NOM;INDF;NEUT;SG	N;INDF;MASC+FEM;SG
släkte	slægt	släkte	slægge	N;NOM;INDF;NEUT;SG	N;INDF;MASC+FEM;SG
västlig	vestlig	västlig	vestlig	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;INDF;MASC+FEM;SG
västlig	vestligt	västlig	vestligt	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;INDF;NEUT;SG
blir	blive	bli	blive	V;IND;PRS;FIN;ACT	V;NFIN;ACT
tillsammans	sammen	tillsammans	sammen	ADV	ADV
samhällen	fællesskaber	samhälle	fællesskab	N;NOM;INDF;NEUT;PL	N;INDF;NEUT;PL
republiken	republikken	republik	republik	N;NOM;DEF;MASC+FEM;SG	N;DEF;MASC+FEM;SG
delstat	stat	delstad	stat	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
delstat	delstat	delstad	delstat	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
delstat	tilstand	delstad	tilstand	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
fram	foran	fram	foran	ADV	ADV
mål	mål	mål	mål	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
mål	formål	mål	formål	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
mål	målsætning	mål	målsætning	N;NOM;INDF;NEUT;SG	N;INDF;MASC+FEM;SG
mål	mål	mål	mål	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
mål	mål	mål	mål	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
län	county	län	county	N;NOM;INDF;NEUT;SG	N;INDF;MASC+FEM;SG
län	amt	län	amt	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
län	amtskommune	län	amtskommun	N;NOM;INDF;NEUT;SG	N;INDF;MASC+FEM;SG
län	provins	län	provins	N;NOM;INDF;NEUT;SG	N;INDF;MASC+FEM;SG
administrativ	administrativ	administrativ	administrativ	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;INDF;MASC+FEM;SG
bara	kun	bara	kun	ADV	ADV
bara	bare	bara	bare	ADV	ADV
ska	bør	skola	burde	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
plats	sted	plats	sted	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
plats	plads	plats	plads	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
plats	lokalisering	plats	lokalisering	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
plats	beliggenhed	plats	beliggenhed	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
plats	sted	plats	sted	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
plats	placering	plats	placering	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
plats	lokation	plats	lokation	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
församling	parish	församling	parish	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
församling	sogn	församling	sogn	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
församling	menighed	församling	menighed	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
församling	montage	församling	montage	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
församling	samling	församling	samling	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
församling	forsamling	församling	forsamling	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
land	land	land	land	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
land	jord	land	jord	N;NOM;INDF;NEUT;SG	N;INDF;MASC+FEM;SG
land	land	land	land	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
amerikansk	amerikansk	amerikansk	amerikansk	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;INDF;SG
tid	tid	tid	tid	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
tid	tidspunkt	tid	tidspunkt	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
tid	gang	tid	gang	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
tid	klokkeslæt	tid	klokkeslæt	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
ofta	hyppigt	ofta	hyppigt	ADV	ADV
ofta	tit	ofta	tit	ADV	ADV
ofta	ofte	ofta	ofte	ADV	ADV
ofta	tit	ofta	tit	ADV	ADV
ofta	ofte	ofta	ofte	ADV	ADV
tog	tog	ta	tage	V;IND;PST;FIN;ACT	V;IND;PST;FIN;ACT
kommer	vil	komma	ville	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
kommer	kommer	komma	komme	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
exempel	eksempel	exempel	eksempel	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
någon	nogen	någon	nogen	PRO;INDF;MASC+FEM;SG	PRO;MASC+FEM;SG
någon	nogen	någon	nogen	PRO;INDF;MASC+FEM;SG	PRO;MASC+FEM;SG
någon	nogen	någon	nogen	PRO;INDF;MASC+FEM;SG	PRO;MASC+FEM;SG
saint	sankt	saint	sankt	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
saint	helgen	saint	helgen	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
något	noget	någon	nogen	PRO;INDF;NEUT;SG	PRO;NEUT;SG
gjorde	gjorde	göra	gøre	V;IND;PST;FIN;ACT	V;IND;PST;FIN;ACT
stor	stor	stor	stor	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;INDF;MASC+FEM;SG
stor	stort	stor	stor	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;INDF;NEUT;SG
stor	stor	stor	stor	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;INDF;MASC+FEM;SG
stor	stort	stor	stor	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;INDF;NEUT;SG
staden	byen	stad	by	N;NOM;DEF;MASC+FEM;SG	N;DEF;MASC+FEM;SG
staden	byen	stad	by	N;NOM;DEF;MASC+FEM;SG	N;DEF;MASC+FEM;SG
kallt	kold	kallt	kold	ADJ;NOM;INDF;NEUT;SG	ADJ;INDF;MASC+FEM;SG
kallt	koldt	kallt	kold	ADJ;NOM;INDF;NEUT;SG	ADJ;INDF;NEUT;SG
varit	blevet	vara	blive	V;V.CVB;ACT	V;INDF;SG;PST;V.PTCP
