med	so	med	s	ADP	ADP;INS
meter	metre	meter	meter	N;NOM;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;PL
huvudstaden	kapitál	huvudstad	kapitál	N;NOM;DEF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
havet	more	hav	more	N;NOM;DEF;NEUT;SG	N;NOM;NEUT;SG
havet	mori	hav	more	N;NOM;DEF;NEUT;SG	N;NOM;NEUT;SG
havet	mora	hav	mora	N;NOM;DEF;NEUT;SG	N;NOM;FEM;SG
havet	oceán	hav	oceán	N;NOM;DEF;NEUT;SG	N;INAN;NOM;MASC;SG
invånare	obyvatelia	invånare	obyvateľ	N;NOM;INDF;MASC+FEM;PL	N;ANIM;NOM;MASC;PL
invånare	obyvatelia	invånare	obyvateľ	N;NOM;INDF;MASC+FEM;PL	N;ANIM;NOM;MASC;PL
invånare	občania	invånare	občanie	N;NOM;INDF;MASC+FEM;PL	N;ANIM;NOM;MASC;PL
januari	január	januari	január	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
genomsnitt	priemer	genomsnitt	priemer	N;NOM;INDF;NEUT;SG	N;INAN;NOM;MASC;SG
genomsnittlig	priemerný	genomsnittlig	priemerný	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;INAN;NOM;MASC;SG
genomsnittlig	priemerná	genomsnittlig	priemerný	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
genomsnittlig	priemerné	genomsnittlig	priemerný	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
juli	júl	juli	júl	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
juli	júla	juli	júla	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
har	má	ha	mať	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
har	mať	ha	mať	V;IND;PRS;FIN;ACT	V;IPFV;POS;NFIN
har	majú	ha	mať	V;IND;PRS;FIN;ACT	V;IPFV;IND;PL;3;POS;PRS;FIN
från	zo	från	z	ADP	ADP;GEN
från	od	från	od	ADP	ADP;GEN
provinsen	provincia	provins	provincie	N;NOM;DEF;MASC+FEM;SG	N;NOM;FEM;SG
närheten	blízkosť	närhet	blízkosť	N;NOM;DEF;MASC+FEM;SG	N;NOM;FEM;SG
men	ale	men	ale	CONJ	CONJ
högsta	najvyššia	hög	vysoký	ADJ;NOM;DEF;RL	ADJ;NOM;RL;FEM;SG
högsta	najvyšší	hög	vysoký	ADJ;NOM;DEF;RL	ADJ;ANIM;NOM;RL;MASC;SG
högsta	najvyššia	hög	vysoký	ADJ;NOM;DEF;RL	ADJ;NOM;RL;FEM;SG
högsta	najvyšší	hög	vysoký	ADJ;NOM;DEF;RL	ADJ;ANIM;NOM;RL;MASC;SG
augusti	auguste	augusti	augusta	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
augusti	august	augusti	august	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
länkar	spojenia	länka	spojenie	N;NOM;INDF;MASC+FEM;PL	N;NOM;NEUT;PL
länkar	väzby	länka	väzba	N;NOM;INDF;MASC+FEM;PL	N;NOM;FEM;PL
länkar	prepojenia	länka	prepojenie	N;NOM;INDF;MASC+FEM;PL	N;NOM;NEUT;PL
länkar	odkazy	länka	odkaz	N;NOM;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;PL
länkar	linky	länka	linka	N;NOM;INDF;MASC+FEM;PL	N;NOM;FEM;PL
läge	umiestnenie	läge	umiestnenie	N;NOM;INDF;NEUT;SG	N;NOM;NEUT;SG
läge	miesto	läge	miesto	N;NOM;INDF;NEUT;SG	N;NOM;NEUT;SG
läge	poloha	läge	poloha	N;NOM;INDF;NEUT;SG	N;NOM;FEM;SG
läge	lokalita	läge	lokalita	N;NOM;INDF;NEUT;SG	N;NOM;FEM;SG
läge	režim	läge	režiť	N;NOM;INDF;NEUT;SG	N;INAN;NOM;MASC;SG
läge	mód	läge	mód	N;NOM;INDF;NEUT;SG	N;INAN;NOM;MASC;SG
även	takisto	även	takisto	ADV	ADV
även	taktiež	även	taktiež	ADV	ADV
februari	február	februari	február	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
under	počas	under	počas	ADP	ADP;GEN
under	pod	under	pod	ADP	ADP;INS
under	podľa	under	podľa	ADP	ADP;GEN
lake	jazere	lake	jazero	N;NOM;INDF;NEUT;SG	N;NOM;NEUT;SG
lake	jazero	lake	jazero	N;NOM;INDF;NEUT;SG	N;NOM;NEUT;SG
sjö	jazere	sjö	jazero	N;NOM;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
sjö	jazero	sjö	jazero	N;NOM;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
sjö	more	sjö	more	N;NOM;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
sjö	mori	sjö	more	N;NOM;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
sjö	mora	sjö	mora	N;NOM;INDF;MASC+FEM;SG	N;NOM;FEM;SG
inte	nie	inte	nie	PART;NEG	PART
kommun	samospráva	kommun	samosprávať	N;NOM;INDF;MASC+FEM;SG	N;NOM;FEM;SG
kommun	obec	kommun	obec	N;NOM;INDF;MASC+FEM;SG	N;NOM;FEM;SG
två	dve	två	dva	NUM;NOM	NUM;NOM;FEM;PL
två	dvaja	två	dva	NUM;NOM	NUM;ANIM;NOM;MASC;PL
två	dva	två	dva	NUM;NOM	NUM;INAN;NOM;MASC;PL
terrängen	terén	terräng	terén	N;NOM;DEF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
juni	júni	juni	jún	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
december	december	december	december	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
växer	rastie	växa	rásť	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
växer	rásť	växa	rásť	V;IND;PRS;FIN;ACT	V;IPFV;POS;NFIN
växer	rastú	växa	rastý	V;IND;PRS;FIN;ACT	V;IPFV;IND;PL;3;POS;PRS;FIN
växer	pestovať	växa	pestovať	V;IND;PRS;FIN;ACT	V;IPFV;POS;NFIN
växer	rastie	växa	rásť	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
efter	po	efter	po	ADP	ADP;ESS
nära	blízko	nära	blízko	ADV	ADV
väster	západ	väster	západ	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
provins	provincia	provins	provincie	N;NOM;INDF;MASC+FEM;SG	N;NOM;FEM;SG
öster	východ	öster	východ	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
först	najprv	först	najprv	ADV	ADV
berg	hora	berg	hora	N;NOM;INDF;NEUT;SG	N;NOM;FEM;SG
mars	marec	mars	marec	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
mars	pochod	mars	pochod	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
mars	marse	mars	marsa	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
mindre	menšie	lite	malý	ADV;CMPR	ADV;CMPR
mindre	menšie	lite	malý	ADV;CMPR	ADV;CMPR
mindre	menšie	lite	malý	ADV;CMPR	ADV;CMPR
mindre	menej	lite	málo	ADV;CMPR	ADV;CMPR
norr	sever	norr	sever	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
oktober	október	oktober	október	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
september	september	september	september	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
september	septembri	september	september	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
större	väčšia	stor	veľký	ADJ;NOM;CMPR	ADJ;NOM;CMPR;FEM;SG
större	väčší	stor	veľký	ADJ;NOM;CMPR	ADJ;ANIM;NOM;CMPR;MASC;SG
större	väčšia	stor	veľký	ADJ;NOM;CMPR	ADJ;NOM;CMPR;FEM;SG
större	väčší	stor	veľký	ADJ;NOM;CMPR	ADJ;ANIM;NOM;CMPR;MASC;SG
större	väčšia	stor	veľký	ADJ;NOM;CMPR	ADJ;NOM;CMPR;FEM;SG
större	väčší	stor	veľký	ADJ;NOM;CMPR	ADJ;ANIM;NOM;CMPR;MASC;SG
blev	stal	bli	stať	V;IND;PST;FIN;ACT	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
hade	malo	ha	mať	V;IND;PST;FIN;ACT	V;IPFV;NEUT;SG;POS;PST;V.PTCP
hade	nemal	ha	mať	V;IND;PST;FIN;ACT	V;ANIM;IPFV;MASC;SG;NEG;PST;V.PTCP
hade	mali	ha	mať	V;IND;PST;FIN;ACT	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
hade	mal	ha	mať	V;IND;PST;FIN;ACT	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
hade	mala	ha	mať	V;IND;PST;FIN;ACT	V;IPFV;FEM;SG;POS;PST;V.PTCP
där	tam	där	tam	ADV	ADV
där	kde	där	kde	ADV	ADV
där	kam	där	kam	ADV	ADV
county	county	county	count	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG
nog	dosť	nog	dosť	ADV	ADV
huvudsakligen	hlavne	huvudsakligen	hlavne	ADV	ADV
huvudsakligen	prevažne	huvudsakligen	prevažne	ADV	ADV
huvudsakligen	primárne	huvudsakligen	primárne	ADV	ADV
ovanligt	nezvyčajné	ovanlig	nezvyčajný	ADJ;NOM;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
ovanligt	neobvyklé	ovanlig	obvyklý	ADJ;NOM;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
ovanligt	nezvyčajná	ovanlig	nezvyčajný	ADJ;NOM;INDF;NEUT;SG	ADJ;NOM;FEM;SG
ovanligt	nezvyčajný	ovanlig	nezvyčajný	ADJ;NOM;INDF;NEUT;SG	ADJ;ANIM;NOM;MASC;SG
ovanligt	nezvyčajné	ovanlig	nezvyčajný	ADJ;NOM;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
söder	juhu	söder	juh	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
söder	juh	söder	juh	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
mycket	veľmi	mycket	veľmi	ADV	ADV
regionen	kraj	region	kraj	N;NOM;DEF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
regionen	oblasť	region	oblasť	N;NOM;DEF;MASC+FEM;SG	N;NOM;FEM;SG
regionen	región	region	región	N;NOM;DEF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
ganska	spravodlivo	ganska	spravodlivo	ADV	ADV
närmaste	najbližšia	nära	blízky	ADJ;NOM;DEF;RL	ADJ;NOM;RL;FEM;SG
närmaste	najbližší	nära	blízky	ADJ;NOM;DEF;RL	ADJ;ANIM;NOM;RL;MASC;SG
närmaste	najbližšia	nära	blízky	ADJ;NOM;DEF;RL	ADJ;NOM;RL;FEM;SG
närmaste	najbližší	nära	blízky	ADJ;NOM;DEF;RL	ADJ;ANIM;NOM;RL;MASC;SG
november	novembri	november	november	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
november	november	november	november	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
född	narodená	född	narodený	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
född	narodené	född	narodený	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
född	narodený	född	narodený	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
samhälle	spolok	samhälle	spolok	N;NOM;INDF;NEUT;SG	N;INAN;NOM;MASC;SG
samhälle	spoločnosť	samhälle	spoločnosť	N;NOM;INDF;NEUT;SG	N;NOM;FEM;SG
samhälle	spoločenstvo	samhälle	spoločenstvo	N;NOM;INDF;NEUT;SG	N;NOM;NEUT;SG
samhälle	komunita	samhälle	komunita	N;NOM;INDF;NEUT;SG	N;NOM;FEM;SG
hon	ona	hon	ona	PRO;NOM;DEF;MASC+FEM;SG	PRO;NOM;FEM;SG;3
består	pozostáva	bestå	pozostávať	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
platser	sedačky	plats	sedačka	N;NOM;INDF;MASC+FEM;PL	N;NOM;FEM;PL
platser	kreslá	plats	kreslo	N;NOM;INDF;MASC+FEM;PL	N;NOM;NEUT;PL
platser	sedadlá	plats	sedadlo	N;NOM;INDF;MASC+FEM;PL	N;NOM;NEUT;PL
platser	lokality	plats	lokalita	N;NOM;INDF;MASC+FEM;PL	N;NOM;FEM;PL
platser	umiestnenia	plats	umiestnenie	N;NOM;INDF;MASC+FEM;PL	N;NOM;NEUT;PL
platser	miesta	plats	miesto	N;NOM;INDF;MASC+FEM;PL	N;NOM;NEUT;PL
platser	reštaurácie	plats	reštaurácia	N;NOM;INDF;MASC+FEM;PL	N;NOM;FEM;PL
platser	miesta	plats	miesto	N;NOM;INDF;MASC+FEM;PL	N;NOM;NEUT;PL
platser	lokality	plats	lokalita	N;NOM;INDF;MASC+FEM;PL	N;NOM;FEM;PL
platser	stránky	plats	stránka	N;NOM;INDF;MASC+FEM;PL	N;NOM;FEM;PL
första	prvý	en	prvý	ADJ;NOM	ADJ;ANIM;NOM;MASC;SG
första	prvy	en	prva	ADJ;NOM	ADJ;INAN;NOM;MASC;SG
första	prvé	en	prvý	ADJ;NOM	ADJ;NOM;NEUT;SG
första	prvá	en	prvý	ADJ;NOM	ADJ;NOM;FEM;SG
fick	dostala	få	dostať	V;IND;PST;FIN;ACT	V;PFV;FEM;SG;POS;PST;V.PTCP
fick	dostali	få	dostať	V;IND;PST;FIN;ACT	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
fick	dostal	få	dostať	V;IND;PST;FIN;ACT	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
fick	dostala	få	dostať	V;IND;PST;FIN;ACT	V;PFV;FEM;SG;POS;PST;V.PTCP
fick	získala	få	získať	V;IND;PST;FIN;ACT	V;PFV;FEM;SG;POS;PST;V.PTCP
området	oblasť	område	oblasť	N;NOM;DEF;NEUT;SG	N;NOM;FEM;SG
området	plocha	område	plocha	N;NOM;DEF;NEUT;SG	N;NOM;FEM;SG
april	apríl	april	aprila	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
bar	bare	ba	bara	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG
bar	bar	ba	bar	N;NOM;INDF;NEUT;SG	N;INAN;NOM;MASC;SG
bar	tyč	ba	tyč	N;NOM;INDF;NEUT;SG	N;NOM;FEM;SG
södra	južný	södra	južný	ADJ;NOM;DEF;SG	ADJ;ANIM;NOM;MASC;SG
södra	južná	södra	južný	ADJ;NOM;DEF;SG	ADJ;NOM;FEM;SG
södra	južné	södra	južný	ADJ;NOM;DEF;SG	ADJ;NOM;NEUT;SG
södra	južný	södra	južný	ADJ;NOM;DEF;SG	ADJ;ANIM;NOM;MASC;SG
södra	južná	södra	južný	ADJ;NOM;DEF;SG	ADJ;NOM;FEM;SG
södra	južné	södra	južný	ADJ;NOM;DEF;SG	ADJ;NOM;NEUT;SG
toppen	vrchol	topp	vrchol	N;NOM;DEF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
toppen	vrch	topp	vrch	N;NOM;DEF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
sedan	potom	sedan	potom	ADV	ADV
sedan	vtedy	sedan	vtedy	ADV	ADV
sedan	odkedy	sedan	odkedy	ADV	ADV
östra	východná	östra	východný	ADJ;NOM;DEF;SG	ADJ;NOM;FEM;SG
östra	východné	östra	východný	ADJ;NOM;DEF;SG	ADJ;NOM;NEUT;SG
östra	východný	östra	východný	ADJ;NOM;DEF;SG	ADJ;ANIM;NOM;MASC;SG
östra	východná	östra	východný	ADJ;NOM;DEF;SG	ADJ;NOM;FEM;SG
östra	východné	östra	východný	ADJ;NOM;DEF;SG	ADJ;NOM;NEUT;SG
östra	východný	östra	východný	ADJ;NOM;DEF;SG	ADJ;ANIM;NOM;MASC;SG
genom	prostredníctvom	genom	prostredníctvom	ADP	ADP;GEN
genom	cez	genom	cez	ADP	ADP;ACC
kilometer	kilometre	kilomet	kilometer	N;NOM;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;PL
kilometer	kilometre	kilomet	kilometer	N;NOM;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;PL
norra	severný	norra	severný	ADJ;NOM;DEF;SG	ADJ;ANIM;NOM;MASC;SG
norra	severné	norra	severný	ADJ;NOM;DEF;SG	ADJ;NOM;NEUT;SG
norra	severná	norra	severný	ADJ;NOM;DEF;SG	ADJ;NOM;FEM;SG
norra	severný	norra	severný	ADJ;NOM;DEF;SG	ADJ;ANIM;NOM;MASC;SG
norra	severné	norra	severný	ADJ;NOM;DEF;SG	ADJ;NOM;NEUT;SG
norra	severná	norra	severný	ADJ;NOM;DEF;SG	ADJ;NOM;FEM;SG
också	takisto	också	takisto	ADV	ADV
också	taktiež	också	taktiež	ADV	ADV
också	príliš	också	príliš	ADV	ADV
talet	prejav	tal	prejav	N;NOM;DEF;NEUT;SG	N;INAN;NOM;MASC;SG
talet	príhovor	tal	príhovor	N;NOM;DEF;NEUT;SG	N;INAN;NOM;MASC;SG
talet	vystúpenie	tal	vystúpenie	N;NOM;DEF;NEUT;SG	N;NOM;NEUT;SG
talet	reč	tal	reč	N;NOM;DEF;NEUT;SG	N;NOM;FEM;SG
mot	proti	mot	proti	ADP	ADP;DAT
västra	západná	onstra	západný	ADJ;NOM;DEF;SG	ADJ;NOM;FEM;SG
västra	západné	onstra	západný	ADJ;NOM;DEF;SG	ADJ;NOM;NEUT;SG
västra	západný	onstra	západný	ADJ;NOM;DEF;SG	ADJ;ANIM;NOM;MASC;SG
västra	západná	onstra	západný	ADJ;NOM;DEF;SG	ADJ;NOM;FEM;SG
västra	západné	onstra	západný	ADJ;NOM;DEF;SG	ADJ;NOM;NEUT;SG
del	časť	del	časť	N;NOM;INDF;MASC+FEM;SG	N;NOM;FEM;SG
del	čast	del	čast	N;NOM;INDF;MASC+FEM;SG	N;NOM;FEM;SG
del	súčasť	del	súčasť	N;NOM;INDF;MASC+FEM;SG	N;NOM;FEM;SG
riktning	smer	riktning	smer	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
riktning	smerovanie	riktning	smerovanie	N;NOM;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
namn	názov	namn	názov	N;NOM;INDF;NEUT;SG	N;INAN;NOM;MASC;SG
namn	meno	namn	meno	N;NOM;INDF;NEUT;SG	N;NOM;NEUT;SG
mellan	medzi	mellan	medzi	ADP	ADP;INS
när	kedy	när	kedy	ADV	ADV
död	smrt	död	smrt	N;NOM;INDF;MASC+FEM;SG	N;NOM;FEM;SG
död	smrť	död	smrť	N;NOM;INDF;MASC+FEM;SG	N;NOM;FEM;SG
död	úmrtie	död	úmrtie	N;NOM;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
död	mŕtve	död	mŕtvy	N;NOM;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
kulle	kopec	kulle	kopec	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
kommunen	samospráva	kommun	samosprávať	N;NOM;DEF;MASC+FEM;SG	N;NOM;FEM;SG
kommunen	obec	kommun	obec	N;NOM;DEF;MASC+FEM;SG	N;NOM;FEM;SG
klimatet	podnebie	klimate	podnebie	N;NOM;DEF;NEUT;SG	N;NOM;NEUT;SG
klimatet	klíma	klimate	klíma	N;NOM;DEF;NEUT;SG	N;NOM;FEM;SG
text	text	text	text	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
lista	zoznam	lista	zoznam	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
största	najväčšia	stor	veľký	ADJ;NOM;DEF;RL	ADJ;NOM;RL;FEM;SG
största	najväčší	stor	veľký	ADJ;NOM;DEF;RL	ADJ;ANIM;NOM;RL;MASC;SG
största	najväčší	stor	veľký	ADJ;NOM;DEF;RL	ADJ;ANIM;NOM;RL;MASC;SG
största	najväčšia	stor	veľký	ADJ;NOM;DEF;RL	ADJ;NOM;RL;FEM;SG
departementet	oddelenie	departement	oddelenie	N;NOM;DEF;NEUT;SG	N;NOM;NEUT;SG
tropiskt	tropické	tropisk	tropický	ADJ;NOM;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
park	park	park	park	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
periodiskt	pravidelné	periodisk	pravidelný	ADJ;NOM;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
periodiskt	periodické	periodisk	periodický	ADJ;NOM;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
point	bod	point	bod	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
ort	mesto	ort	mesto	N;NOM;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
ort	mesta	ort	mesto	N;NOM;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
sjön	jazere	sjö	jazero	N;NOM;DEF;MASC+FEM;SG	N;NOM;NEUT;SG
sjön	jazero	sjö	jazero	N;NOM;DEF;MASC+FEM;SG	N;NOM;NEUT;SG
tidigare	skoršie	tidig	skorý	ADV;CMPR	ADV;CMPR
utan	bez	utan	bez	ADP	ADP;GEN
sina	ich	sig	on	PRO;DEF;PL	PRO;NOM;MASC;PL;3
kom	poď	komma	ísť	V;IMP;FIN;ACT	V;IPFV;IMP;SG;2;POS;FIN
kom	prišlo	komma	prísť	V;IMP;FIN;ACT	V;PFV;NEUT;SG;POS;PST;V.PTCP
kom	prišli	komma	prísť	V;IMP;FIN;ACT	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
kom	prišiel	komma	prísť	V;IMP;FIN;ACT	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
kom	prišla	komma	prísť	V;IMP;FIN;ACT	V;PFV;FEM;SG;POS;PST;V.PTCP
stora	veľkí	stor	veľký	ADJ;NOM;PL	ADJ;ANIM;NOM;MASC;PL
omgivande	okolité	omgivande	okolitý	ADJ;NOM;PRS;V.PTCP	ADJ;NOM;NEUT;SG
omgivande	okolité	omgivande	okolitý	ADJ;NOM;PRS;V.PTCP	ADJ;NOM;NEUT;SG
basen	základ	bas	základ	N;NOM;DEF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
basen	základňa	bas	základňa	N;NOM;DEF;MASC+FEM;SG	N;NOM;FEM;SG
tre	tri	tre	tri	NUM;NOM	NUM;INAN;NOM;MASC;PL
tre	traja	tre	tri	NUM;NOM	NUM;ANIM;NOM;MASC;PL
shift	posun	shift	posun	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
algeriet	alžírsku	algeri	alžírsky	N;NOM;DEF;NEUT;SG	N;NOM;FEM;SG
här	sem	här	sem	ADV	ADV
här	tu	här	tu	ADV	ADV
öst	východ	öst	východ	N	N;INAN;NOM;MASC;SG
region	kraj	region	kraj	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
region	oblasť	region	oblasť	N;NOM;INDF;MASC+FEM;SG	N;NOM;FEM;SG
region	región	region	región	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
jakarta	jakarte	jakert	jakart	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
wat	wat	wat	wat	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
file	súbor	file	súbor	N;NOM;INDF;NEUT;SG	N;INAN;NOM;MASC;SG
släkte	generácia	släkte	generácia	N;NOM;INDF;NEUT;SG	N;NOM;FEM;SG
släkte	generovanie	släkte	generovanie	N;NOM;INDF;NEUT;SG	N;NOM;NEUT;SG
släkte	plemeno	släkte	plemeno	N;NOM;INDF;NEUT;SG	N;NOM;NEUT;SG
sydlig	južný	sydlig	južný	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;ANIM;NOM;MASC;SG
sydlig	južná	sydlig	južný	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
sydlig	južné	sydlig	južný	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
västlig	západný	västlig	západný	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;ANIM;NOM;MASC;SG
västlig	západná	västlig	západný	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
västlig	západné	västlig	západný	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
blir	stáva	bli	stávať	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
tillsammans	spolu	tillsammans	spolu	ADV	ADV
tillsammans	dokopy	tillsammans	dokopy	ADV	ADV
tillsammans	spoločne	tillsammans	spoločne	ADV	ADV
samhällen	spoločenstvá	samhälle	spoločenstvo	N;NOM;INDF;NEUT;PL	N;NOM;NEUT;PL
samhällen	komunity	samhälle	komunita	N;NOM;INDF;NEUT;PL	N;NOM;FEM;PL
republiken	republika	republik	republika	N;NOM;DEF;MASC+FEM;SG	N;NOM;FEM;SG
öppet	otvorene	öppen	otvorene	ADV	ADV
delstat	štát	delstad	štát	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
mål	cieľ	mål	cieľ	N;NOM;INDF;NEUT;SG	N;INAN;NOM;MASC;SG
