من	från	مِن	från	ADP	ADP
مدينة	city	مَدِينَة	city	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
مدينة	ort	مَدِينَة	ort	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
مدينة	stad	مَدِينَة	stad	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
المدينة	staden	مَدِينَة	stad	N;NOM;DEF;SG	N;NOM;DEF;MASC+FEM;SG
المدينة	staden	مَدِينَة	stad	N;NOM;DEF;SG	N;NOM;DEF;MASC+FEM;SG
المدينة	orten	مَدِينَة	ort	N;NOM;DEF;SG	N;NOM;DEF;MASC+FEM;SG
قبل	före	قَبلَ	före	ADP;ACC	ADP
تم	done	تَمّ	dö	V;PFV;MASC;SG;3;ACT	V;IMP;FIN;ACT
تم	gjort	تَمّ	göra	V;PFV;MASC;SG;3;ACT	V;V.CVB;ACT
كرة	bal	كُرَة	bal	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
كرة	ball	كُرَة	ball	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
كرة	boll	كُرَة	boll	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
حتى	även	حَتَّى	även	ADV	ADV
حتى	tills	حَتَّى	tills	ADV	ADV
مساحة	area	مِسَاحَة	are	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
مساحة	område	مِسَاحَة	område	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
مساحة	yta	مِسَاحَة	yta	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
مساحة	rymd	مِسَاحَة	rymd	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
مساحة	utrymme	مِسَاحَة	utrymme	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
محافظة	provins	مُحَافَظَة	provins	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
محافظة	län	مُحَافَظَة	län	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
خلال	under	خِلَالَ	under	ADP;ACC	ADP
خلال	igenom	خِلَالَ	igenom	ADP;ACC	ADP
خلال	genom	خِلَالَ	genom	ADP;ACC	ADP
الولايات	staterna	وِلَايَة	stat	N;NOM;DEF;PL	N;NOM;DEF;MASC+FEM;PL
خارجية	utomhus	خَارِجِيَّة	utomhus	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
خارجية	utvändig	خَارِجِيَّة	utvändig	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
توقيت	timing	تَوقِيت	timing	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
توقيت	tidpunkt	تَوقِيت	tidpunkt	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
الصورة	bilden	صُورَة	bild	N;NOM;DEF;SG	N;NOM;DEF;MASC+FEM;SG
الصورة	bilden	صُورَة	bild	N;NOM;DEF;SG	N;NOM;DEF;MASC+FEM;SG
علم	kopiera	عَلِم	kopiera	V;PFV;MASC;SG;3;ACT	V;IMP;FIN;ACT
خريطة	karta	خَرِيطَة	karta	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
قائمة	meny	قَائِمَة	meny	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
قائمة	förteckning	قَائِمَة	förteckning	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
قائمة	list	قَائِمَة	list	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
قائمة	lista	قَائِمَة	lista	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
مقاطعة	county	مُقَاطَعَة	county	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
مقاطعة	län	مُقَاطَعَة	län	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
مقاطعة	provins	مُقَاطَعَة	provins	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
مقاطعة	län	مُقَاطَعَة	län	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
مقاطعة	bojkott	مُقَاطَعَة	bojkott	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
تقسيم	delning	تَقسِيم	delning	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
تقسيم	partition	تَقسِيم	partition	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
تقسيم	delning	تَقسِيم	delning	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
تقسيم	split	تَقسِيم	splita	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
العالم	world	عَالَم	world	N;NOM;DEF;SG	N;NOM;NEUT;SG
العالم	världen	عَالَم	värld	N;NOM;DEF;SG	N;NOM;DEF;MASC+FEM;SG
القرن	hornet	قَرن	horn	N;NOM;DEF;SG	N;NOM;DEF;NEUT;SG
القرن	århundradet	قَرن	århundrad	N;NOM;DEF;SG	N;NOM;DEF;NEUT;SG
الموقع	platsen	مَوقِع	plats	N;NOM;DEF;SG	N;NOM;DEF;MASC+FEM;SG
القدم	benet	قَدَم	ben	N;NOM;DEF;SG	N;NOM;DEF;NEUT;SG
منطقة	region	مِنطَقَة	region	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
منطقة	distrikt	مِنطَقَة	distrikt	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
منطقة	zone	مِنطَقَة	zone	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
منطقة	zon	مِنطَقَة	zon	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
منطقة	area	مِنطَقَة	are	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
منطقة	område	مِنطَقَة	område	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
منطقة	yta	مِنطَقَة	yta	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
الرمز	symbolen	رَمز	symbol	N;NOM;DEF;SG	N;NOM;DEF;MASC+FEM;SG
البلد	landet	بَلَد	land	N;NOM;DEF;SG	N;NOM;DEF;NEUT;SG
مدن	städer	مَدِينَة	stad	N;NOM;INDF;PL	N;NOM;INDF;MASC+FEM;PL
مدن	städer	مَدِينَة	stad	N;NOM;INDF;PL	N;NOM;INDF;MASC+FEM;PL
مدن	orter	مَدِينَة	ort	N;NOM;INDF;PL	N;NOM;INDF;MASC+FEM;PL
يمكن	kunde	أَمكَن	kunna	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;IND;PST;FIN;ACT
تعداد	räkning	تَعدَاد	räkning	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
تعداد	uppräkning	تَعدَاد	uppräkning	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
الكلية	högskolan	كُلِّيَّة	högskola	N;NOM;DEF;SG	N;NOM;DEF;MASC+FEM;SG
الكلية	fakulteten	كُلِّيَّة	fakultet	N;NOM;DEF;SG	N;NOM;DEF;MASC+FEM;SG
ولاية	stat	وِلَايَة	stat	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
ولاية	delstat	وِلَايَة	delstad	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
العرض	erbjudandet	عَرض	erbjudande	N;NOM;DEF;SG	N;NOM;DEF;NEUT;SG
جامعة	university	جَامِعَة	university	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
جامعة	universitet	جَامِعَة	universitet	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
جامعة	högskola	جَامِعَة	högskola	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
المساحة	området	مِسَاحَة	område	N;NOM;DEF;SG	N;NOM;DEF;NEUT;SG
الطول	längden	طُول	längd	N;NOM;DEF;SG	N;NOM;DEF;MASC+FEM;SG
الطول	höjden	طُول	höjd	N;NOM;DEF;SG	N;NOM;DEF;MASC+FEM;SG
الحياة	livet	حَيَاة	liv	N;NOM;DEF;SG	N;NOM;DEF;NEUT;SG
وصلات	länkar	وُصلَة	länka	N;NOM;INDF;PL	N;NOM;INDF;MASC+FEM;PL
المركز	mitten	مَركَز	mitt	N;NOM;DEF;SG	N;NOM;DEF;MASC+FEM;SG
المركز	centrumet	مَركَز	centrum	N;NOM;DEF;SG	N;NOM;DEF;NEUT;SG
مجموعة	grupp	مَجمُوعَة	grupp	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
مجموعة	samling	مَجمُوعَة	samling	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
مجموعة	collection	مَجمُوعَة	collection	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
مجموعة	insamling	مَجمُوعَة	insamling	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
قرى	byar	قَريَة	byar	N;NOM;INDF;PL	N;NOM;INDF;MASC+FEM;PL
موقع	läge	مَوقِع	läge	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
موقع	plats	مَوقِع	plats	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
مكان	ställe	مَكَان	ställe	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
مكان	place	مَكَان	place	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
مكان	plats	مَكَان	plats	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
نقاش	diskussion	نِقَاش	diskussion	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
نقاش	debatt	نِقَاش	debatt	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
الثالث	tredje	ثَالِث	tre	ADJ;NOM;DEF;MASC;SG	ADJ;NOM
هناك	där	هُنَاكَ	där	ADV	ADV
تحت	under	تَحتَ	under	ADP;ACC	ADP
حجم	volym	حَجم	volym	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
حجم	storlek	حَجم	storlek	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
المحافظة	provinsen	مُحَافَظَة	provins	N;NOM;DEF;SG	N;NOM;DEF;MASC+FEM;SG
الحرب	kriget	حَرب	krig	N;NOM;DEF;SG	N;NOM;DEF;NEUT;SG
قرية	by	قَريَة	by	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
قرية	village	قَريَة	village	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
العام	året	عَام	år	N;NOM;DEF;SG	N;NOM;DEF;NEUT;SG
رئيس	ordförande	رَئِيس	ordförande	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
رئيس	chef	رَئِيس	chef	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
رئيس	chief	رَئِيس	chief	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
رئيس	hövding	رَئِيس	hövding	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
رئيس	chef	رَئِيس	chef	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
رئيس	boss	رَئِيس	boss	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
الوفاة	döden	وَفَاة	död	N;NOM;DEF;SG	N;NOM;DEF;MASC+FEM;SG
شعار	slogan	شِعَار	sloga	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
شعار	logo	شِعَار	logo	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
شعار	logotyp	شِعَار	logotyp	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
شعار	motto	شِعَار	motto	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
شعار	mottot	شِعَار	mottot	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
شعار	emblem	شِعَار	emblem	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
عزلة	isolering	عُزلَة	isolering	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
عزلة	ensamhet	عُزلَة	ensamhet	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
كتاب	bok	كِتَاب	bok	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
كتاب	book	كِتَاب	book	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
الخريطة	kartan	خَرِيطَة	karta	N;NOM;DEF;SG	N;NOM;DEF;MASC+FEM;SG
عشر	tio	عَشَرَة	tio	NUM;MASC	NUM;NOM
سنوات	åratal	سَنَة	åratal	N;NOM;INDF;PL	N;NOM;INDF;NEUT;PL
يوم	dag	يَوم	dag	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
يوم	day	يَوم	day	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
كتابة	skrift	كِتَابَة	skrift	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
كتابة	skrivning	كِتَابَة	skrivning	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
طريق	landsväg	طَرِيق	landsväg	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
طريق	road	طَرِيق	road	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
طريق	väg	طَرِيق	väg	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
مركز	centrum	مَركَز	centrum	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
مركز	center	مَركَز	cent	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
مركز	centrum	مَركَز	centrum	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
مركز	centre	مَركَز	cena	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
ملف	arkiv	مِلَفّ	arkiv	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
ملف	file	مِلَفّ	file	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
ملف	fil	مِلَفّ	fil	N;NOM;INDF;SG	N
مجلس	council	مَجلِس	council	N;NOM;INDF;SG	N
قيد	restriktion	قَيد	restriktion	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
قيد	begränsning	قَيد	begränsning	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
قيد	tvång	قَيد	tvång	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
قال	sa	قَال	säga	V;PFV;MASC;SG;3;ACT	V;IMP;FIN;ACT
قال	said	قَال	said	V;PFV;MASC;SG;3;ACT	V;IMP;FIN;ACT
قال	sade	قَال	säga	V;PFV;MASC;SG;3;ACT	V;IND;PST;FIN;ACT
الملك	kungen	مَلِك	kung	N;NOM;DEF;SG	N;NOM;DEF;MASC+FEM;SG
ولد	boy	وَلَد	boy	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
ولد	pojke	وَلَد	pojke	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
ولد	gosse	وَلَد	gosse	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
ولد	pojk	وَلَد	pojk	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
ولد	born	وَلَد	born	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
البحر	havet	بَحر	hav	N;NOM;DEF;SG	N;NOM;DEF;NEUT;SG
شركة	firma	شَرِكَة	firma	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
شركة	sällskap	شَرِكَة	sällskap	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
شركة	bolag	شَرِكَة	bolag	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
فيلم	film	فِيلم	film	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
فيلم	film	فِيلم	film	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
صورة	photo	صُورَة	photo	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
صورة	foto	صُورَة	foto	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
صورة	avbild	صُورَة	avbild	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
صورة	image	صُورَة	image	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
صورة	bild	صُورَة	bild	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
صورة	bild	صُورَة	bild	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
بطولة	mästerskap	بُطُولَة	mästerskap	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
بطولة	championship	بُطُولَة	championship	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
بطولة	turnering	بُطُولَة	turnering	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
وفيات	dödsfall	وَفَاة	dödsfall	N;NOM;INDF;PL	N;NOM;INDF;NEUT;PL
نباتات	plantor	نَبَات	plantor	N;NOM;INDF;PL	N;NOM;INDF;MASC+FEM;PL
نباتات	växter	نَبَات	växt	N;NOM;INDF;PL	N;NOM;INDF;MASC+FEM;PL
الولادة	födseln	وِلَادَة	födsel	N;NOM;DEF;SG	N;NOM;DEF;MASC+FEM;SG
المملكة	kungariket	مَملَكَة	kungarik	N;NOM;DEF;SG	N;NOM;DEF;NEUT;SG
المملكة	riket	مَملَكَة	rike	N;NOM;DEF;SG	N;NOM;DEF;NEUT;SG
الدوري	ligan	دَورِيّ	ligan	N;NOM;DEF;SG	N;NOM;DEF;MASC+FEM;SG
الدوري	förbundet	دَورِيّ	förbund	N;NOM;DEF;SG	N;NOM;DEF;NEUT;SG
خلفية	bakgrund	خَلفِيَّة	bakgrund	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
فقط	bara	فَقَط	bara	ADV	ADV
فقط	enbart	فَقَط	enbart	ADV	ADV
فقط	endast	فَقَط	endast	ADV	ADV
فقط	bara	فَقَط	bara	ADV	ADV
جائزة	pris	جَائِزَة	pris	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
جائزة	utmärkelse	جَائِزَة	utmärkelse	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
جائزة	tilldelning	جَائِزَة	tilldelning	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
نظام	system	نِظَام	system	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
قسم	department	قِسم	department	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
قسم	avdelning	قِسم	avdelning	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
قسم	avsnitt	قِسم	avsnitt	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
قسم	sektion	قِسم	sektion	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
قسم	avdelning	قِسم	avdelning	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
فترة	period	فَترَة	period	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
فترة	tidsperiod	فَترَة	tidsperiod	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
ضد	mot	ضِدَّ	mot	ADP;ACC	ADP
رقم	tal	رَقم	tal	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
رقم	antal	رَقم	antal	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
رقم	nummer	رَقم	nummer	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
اللغة	språket	لُغَة	språk	N;NOM;DEF;SG	N;NOM;DEF;NEUT;SG
عمل	job	عَمَل	job	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
عمل	jobb	عَمَل	jobb	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
عمل	arbete	عَمَل	arbete	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
عمل	work	عَمَل	work	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
عمل	affärsverksamhet	عَمَل	affärsverksamhet	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
عمل	business	عَمَل	business	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
عمل	näringsliv	عَمَل	näringsliv	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
جنوب	söder	جَنُوب	söder	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
كبير	stor	كَبِير	stor	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
كبير	stort	كَبِير	stor	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;INDF;NEUT;SG
الوقت	dags	وَقت	dags	N;NOM;DEF;SG	N;MASC+FEM
الوقت	tiden	وَقت	tid	N;NOM;DEF;SG	N;NOM;DEF;MASC+FEM;SG
عملية	process	عَمَلِيَّة	process	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
عملية	insats	عَمَلِيَّة	insats	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
عملية	operation	عَمَلِيَّة	operation	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
عملية	drift	عَمَلِيَّة	drift	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
فبراير	feb	فِبرَايِر	feb	N;GEN;INDF;SG	N
شمال	norr	شَمَال	norr	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
مراجع	hänvisningar	مَرجَع	hänvisning	N;NOM;INDF;PL	N;NOM;INDF;MASC+FEM;PL
مراجع	referenser	مَرجَع	referens	N;NOM;INDF;PL	N;NOM;INDF;MASC+FEM;PL
الاتحاد	unionen	اِتِّحَاد	union	N;NOM;DEF;SG	N;NOM;DEF;MASC+FEM;SG
الاتحاد	federationen	اِتِّحَاد	federation	N;NOM;DEF;SG	N;NOM;DEF;MASC+FEM;SG
الاتحاد	edsförbundet	اِتِّحَاد	edsförbund	N;NOM;DEF;SG	N;NOM;DEF;NEUT;SG
عبر	igenom	عَبرَ	igenom	ADP;ACC	ADP
عبر	genom	عَبرَ	genom	ADP;ACC	ADP
استخدام	användning	اِستِخدَام	användning	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
فريق	lag	فَرِيق	lag	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
فريق	team	فَرِيق	team	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
يقدر	uppskattas	قَدَّر	uppskatta	V;IPFV;MASC;IND;SG;3;FIN;PASS	V;NFIN;PASS
ديسمبر	dec	دِيسَمبِر	de	N;GEN;INDF;SG	N
كبيرة	stor	كَبِير	stor	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
كبيرة	stort	كَبِير	stor	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;INDF;NEUT;SG
كبيرة	stor	كَبِير	stor	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
كبيرة	stort	كَبِير	stor	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;INDF;NEUT;SG
الجيش	militären	جَيش	militär	N;NOM;DEF;SG	N;NOM;DEF;MASC+FEM;SG
الجيش	armén	جَيش	arm	N;NOM;DEF;SG	N;NOM;DEF;MASC+FEM;SG
نوفمبر	nov	نُوفِمبِر	nov	N;GEN;INDF;SG	N
المديرية	direktoratet	مُدِيرِيّ	direktorat	N;NOM;DEF;SG	N;NOM;DEF;NEUT;SG
ضمن	inom	ضِمنَ	inom	ADP;ACC	ADP
الفترة	perioden	فَترَة	period	N;NOM;DEF;SG	N;NOM;DEF;MASC+FEM;SG
دولة	stat	دَولَة	stat	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
دولة	delstat	دَولَة	delstad	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
