kategória	categoria	kategória	categoria	N;NOM;FEM;SG	N;FEM;SG
externé	externo	externý	externo	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
ale	mas	ale	mas	CONJ	CONJ
počet	número	počet	número	N;INAN;NOM;MASC;SG	N;MASC;SG
počet	numero	počet	numero	N;INAN;NOM;MASC;SG	N;MASC;SG
podľa	sob	podľa	sob	ADP;GEN	ADP
miesto	spot	miesto	spot	N;NOM;NEUT;SG	N;MASC;SG
miesto	lugar	miesto	lugar	N;NOM;NEUT;SG	N;MASC;SG
miesto	place	miesto	place	N;NOM;NEUT;SG	N;MASC;SG
miesto	local	miesto	local	N;NOM;NEUT;SG	N;MASC;SG
miesto	sítio	miesto	sítio	N;NOM;NEUT;SG	N;MASC;SG
miesto	localização	miesto	localização	N;NOM;NEUT;SG	N;FEM;SG
miesto	local	miesto	local	N;NOM;NEUT;SG	N;MASC;SG
miesto	sítio	miesto	sítio	N;NOM;NEUT;SG	N;MASC;SG
miesto	site	miesto	site	N;NOM;NEUT;SG	N;MASC;SG
obcí	municípios	obec	município	N;GEN;FEM;PL	N;MASC;PL
obcí	comunas	obec	comuna	N;GEN;FEM;PL	N;FEM;PL
obcí	municípios	obec	município	N;GEN;FEM;PL	N;MASC;PL
ich	eles	on	eles	PRO;NOM;MASC;PL;3	PRO;NOM;MASC;PL;3
medzi	entre	medzi	entre	ADP;INS	ADP
projekty	projectos	projekt	projecto	N;INAN;NOM;MASC;PL	N;MASC;PL
projekty	projetos	projekt	projeto	N;INAN;NOM;MASC;PL	N;MASC;PL
byť	sendo	byť	ser	V;IPFV;POS;NFIN	V;V.MSDR
byť	ser	byť	ser	V;IPFV;POS;NFIN	V;NFIN
francúzska	french	francúzsky	french	N;NOM;FEM;SG	N;MASC;SG
francúzska	francês	francúzsky	francês	N;NOM;FEM;SG	N;MASC;SG
francúzska	franca	francúzsky	franca	N;NOM;FEM;SG	N;FEM;SG
francúzska	frança	francúzsky	frança	N;NOM;FEM;SG	N;FEM;SG
pod	sob	pod	sob	ADP;INS	ADP
vývoj	desenvolvimento	vývoj	desenvolvimento	N;INAN;NOM;MASC;SG	N;MASC;SG
vývoj	evolução	vývoj	evolução	N;INAN;NOM;MASC;SG	N;FEM;SG
vývoj	evolution	vývoj	evolution	N;INAN;NOM;MASC;SG	N;MASC;SG
vývoj	evolução	vývoj	evolução	N;INAN;NOM;MASC;SG	N;FEM;SG
graf	gráfico	graf	gráfico	N;INAN;NOM;MASC;SG	N;MASC;SG
graf	grafo	graf	grafo	N;INAN;NOM;MASC;SG	N;MASC;SG
graf	tabela	graf	tabela	N;INAN;NOM;MASC;SG	N;FEM;SG
graf	gráfico	graf	gráfico	N;INAN;NOM;MASC;SG	N;MASC;SG
kde	aonde	kde	aonde	ADV	ADV
kde	onde	kde	onde	ADV	ADV
môže	pode	môcť	poder	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IND;SG;3;PRS;FIN
môže	pode	môcť	poder	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IND;SG;3;PRS;FIN
nasledujúci	seguinte	nasledujúci	seguinte	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT	ADJ;MASC;SG
nasledujúci	próxima	nasledujúci	próximo	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT	ADJ;FEM;SG
zobrazuje	exibe	zobrazovať	exibir	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IND;SG;3;PRS;FIN
zobrazuje	mostra	zobrazovať	mostrar	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IND;SG;3;PRS;FIN
mesto	vila	mesto	vila	N;NOM;NEUT;SG	N;FEM;SG
mesto	cidade	mesto	cidade	N;NOM;NEUT;SG	N;FEM;SG
mesto	cidade	mesto	cidade	N;NOM;NEUT;SG	N;FEM;SG
počas	durante	počas	durante	ADP;GEN	ADP
rokov	anos	rok	ano	N;INAN;GEN;MASC;PL	N;MASC;PL
september	setembro	september	setembro	N;INAN;NOM;MASC;SG	N;MASC;SG
úmrtia	óbitos	úmrtie	óbito	N;NOM;NEUT;PL	N;MASC;PL
úmrtia	mortes	úmrtie	morte	N;NOM;NEUT;PL	N;FEM;PL
neskôr	depois	neskôr	depois	ADV	ADV
storočia	séculos	storočie	século	N;NOM;NEUT;PL	N;MASC;PL
stránka	pagina	stránka	pagina	N;NOM;FEM;SG	N;FEM;SG
stránka	página	stránka	página	N;NOM;FEM;SG	N;FEM;SG
stránka	page	stránka	pagar	N;NOM;FEM;SG	N;MASC;SG
stránka	sítio	stránka	sítio	N;NOM;FEM;SG	N;MASC;SG
stránka	site	stránka	site	N;NOM;FEM;SG	N;MASC;SG
skupiny	grupos	skupina	grupo	N;NOM;FEM;PL	N;MASC;PL
html	html	htmly	html	N;INAN;NOM;MASC;SG	N;MASC;SG
roka	ano	rok	ano	N;INAN;GEN;MASC;SG	N;MASC;SG
časť	seção	časť	seção	N;NOM;FEM;SG	N;FEM;SG
časť	secção	časť	secção	N;NOM;FEM;SG	N;FEM;SG
časť	part	časť	part	N;NOM;FEM;SG	N;MASC;SG
časť	parte	časť	parte	N;NOM;FEM;SG	N;FEM;SG
ngc	ngc	my	ngc	N;NOM;FEM;SG	N;FEM;SG
október	outubro	október	outubro	N;INAN;NOM;MASC;SG	N;MASC;SG
október	toc	október	toc	N;INAN;NOM;MASC;SG	N;MASC;SG
október	out	október	out	N;INAN;NOM;MASC;SG	N;MASC;SG
mesta	vila	mesto	vila	N;NOM;NEUT;SG	N;FEM;SG
mesta	cidade	mesto	cidade	N;NOM;NEUT;SG	N;FEM;SG
mesta	cidade	mesto	cidade	N;NOM;NEUT;SG	N;FEM;SG
marec	march	marec	march	N;INAN;NOM;MASC;SG	N;MASC;SG
marec	marcha	marec	marcha	N;INAN;NOM;MASC;SG	N;FEM;SG
marec	março	marec	março	N;INAN;NOM;MASC;SG	N;MASC;SG
august	augusto	august	augusto	N;INAN;NOM;MASC;SG	N;MASC;SG
august	august	august	august	N;INAN;NOM;MASC;SG	N;MASC;SG
august	agosto	august	agosto	N;INAN;NOM;MASC;SG	N;MASC;SG
august	ago	august	ago	N;INAN;NOM;MASC;SG	N;MASC;SG
august	agosto	august	agosto	N;INAN;NOM;MASC;SG	N;MASC;SG
skupina	grupo	skupina	grupo	N;NOM;FEM;SG	N;MASC;SG
veľmi	muito	veľmi	muito	ADV	ADV
potom	então	potom	então	ADV	ADV
potom	depois	potom	depois	ADV	ADV
oficiálna	oficial	oficiálny	oficial	ADJ;NOM;FEM;SG	ADJ;MASC;SG
tento	este	tento	este	DET;INAN;NOM;MASC;SG	DET;MASC;SG
tento	esse	tento	esse	DET;INAN;NOM;MASC;SG	DET;MASC;SG
osobnosti	personalidades	osobnosť	personalidade	N;NOM;FEM;PL	N;FEM;PL
bratislava	bratislava	bratislava	bratislavo	N;NOM;FEM;SG	N;FEM;SG
november	novembro	november	novembro	N;INAN;NOM;MASC;SG	N;MASC;SG
november	nov	november	nov	N;INAN;NOM;MASC;SG	N;MASC;SG
december	dezembro	december	dezembro	N;INAN;NOM;MASC;SG	N;MASC;SG
december	dezembro	december	dezembro	N;INAN;NOM;MASC;SG	N;MASC;SG
roky	anos	rok	ano	N;INAN;NOM;MASC;PL	N;MASC;PL
oblasti	áreas	oblasť	área	N;NOM;FEM;PL	N;FEM;PL
január	janeiro	január	janeiro	N;INAN;NOM;MASC;SG	N;MASC;SG
súbor	arquivo	súbor	arquivo	N;INAN;NOM;MASC;SG	N;MASC;SG
súbor	ficheiro	súbor	ficheiro	N;INAN;NOM;MASC;SG	N;MASC;SG
mal	tive	mať	ter	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;IND;SG;1;PST;FIN
mal	teve	mať	ter	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;IND;SG;3;PST;FIN
proti	contra	proti	contra	ADP;DAT	ADP
apríl	abr	aprila	abr	N;INAN;NOM;MASC;SG	N;MASC;SG
apríl	april	aprila	april	N;INAN;NOM;MASC;SG	N;FEM;SG
apríl	abril	aprila	abril	N;INAN;NOM;MASC;SG	N;MASC;SG
sveta	world	svet	world	N;INAN;GEN;MASC;SG	N;MASC;SG
sveta	mundo	svet	mundo	N;INAN;GEN;MASC;SG	N;MASC;SG
bez	sem	bez	sem	ADP;GEN	ADP
február	fevereiro	február	fevereiro	N;INAN;NOM;MASC;SG	N;MASC;SG
február	fev	február	faver	N;INAN;NOM;MASC;SG	N;MASC;SG
február	fevereiro	február	fevereiro	N;INAN;NOM;MASC;SG	N;MASC;SG
náhľad	antevisão	náhľad	antevisão	N;INAN;NOM;MASC;SG	N;FEM;SG
náhľad	prévia	náhľad	prévia	N;INAN;NOM;MASC;SG	N;FEM;SG
mužov	homens	muž	homem	N;ANIM;ACC;MASC;PL	N;MASC;PL
názov	denominação	názov	denominação	N;INAN;NOM;MASC;SG	N;FEM;SG
názov	nome	názov	nome	N;INAN;NOM;MASC;SG	N;MASC;SG
názov	titulo	názov	titulo	N;INAN;NOM;MASC;SG	N;MASC;SG
názov	título	názov	título	N;INAN;NOM;MASC;SG	N;MASC;SG
prvý	primeira	prvý	primeiro	ADJ;ANIM;NOM;MASC;SG	ADJ;FEM;SG
text	texto	text	texto	N;INAN;NOM;MASC;SG	N;MASC;SG
okrem	exceto	okrem	exceto	ADP;GEN	ADP
bar	barra	bar	barra	N;INAN;NOM;MASC;SG	N;FEM;SG
bar	bar	bar	bar	N;INAN;NOM;MASC;SG	N;MASC;SG
júl	julho	júl	julho	N;INAN;NOM;MASC;SG	N;MASC;SG
júl	jul	júl	jul	N;INAN;NOM;MASC;SG	N;MASC;SG
jeden	um	jeden	um	NUM;ANIM;NOM;MASC;SG	NUM
jeden	uma	jeden	um	NUM;ANIM;NOM;MASC;SG	NUM
objavil	descoberto	objaviť	descobrir	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;MASC;SG;V.PTCP
vojny	guerras	vojna	guerra	N;NOM;FEM;PL	N;FEM;PL
vojny	guerras	vojna	guerra	N;NOM;FEM;PL	N;FEM;PL
rok	ano	rok	ano	N;INAN;NOM;MASC;SG	N;MASC;SG
ulica	rua	ulica	rua	N;NOM;FEM;SG	N;FEM;SG
ulica	street	ulica	street	N;NOM;FEM;SG	N;MASC;SG
album	álbum	album	álbum	N;INAN;NOM;MASC;SG	N;MASC;SG
album	album	album	album	N;INAN;NOM;MASC;SG	N;MASC;SG
dátum	data	dátum	data	N;INAN;NOM;MASC;SG	N;FEM;SG
žien	mulheres	žena	mulher	N;GEN;FEM;PL	N;FEM;PL
tieto	estes	tento	este	DET;NOM;MASC;PL	DET;MASC;PL
tieto	esses	tento	esse	DET;NOM;MASC;PL	DET;MASC;PL
januára	janeiro	január	janeiro	N;INAN;GEN;MASC;SG	N;MASC;SG
majú	ter	mať	ter	V;IPFV;IND;PL;3;POS;PRS;FIN	V;NFIN
toto	este	toto	este	DET;NOM;NEUT;SG	DET;MASC;SG
toto	esse	toto	esse	DET;NOM;NEUT;SG	DET;MASC;SG
všetky	todas	všetok	todo	DET;INAN;NOM;MASC;PL	DET;FEM;PL
francúzsky	french	francúzsky	french	N;ANIM;NOM;MASC;SG	N;MASC;SG
francúzsky	francês	francúzsky	francês	N;ANIM;NOM;MASC;SG	N;MASC;SG
mestá	vilas	mesto	vila	N;NOM;NEUT;PL	N;FEM;PL
mestá	cidades	mesto	cidade	N;NOM;NEUT;PL	N;FEM;PL
svoje	seu	svoj	seu	DET;ACC;NEUT;SG;REFL	DET;MASC;SG
svoje	sua	svoj	seu	DET;ACC;NEUT;SG;REFL	DET;FEM;SG
žije	mora	žiť	morar	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IND;SG;3;PRS;FIN
žije	vive	žiť	viver	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IND;SG;3;PRS;FIN
často	freqüentemente	často	freqüentemente	ADV	ADV
často	frequentemente	často	frequentemente	ADV	ADV
často	freqüentemente	často	freqüentemente	ADV	ADV
často	frequentemente	často	frequentemente	ADV	ADV
šablóny	modelos	šablón	modelo	N;INAN;NOM;MASC;PL	N;MASC;PL
dnes	hoje	dnes	hoje	ADV	ADV
slovensko	eslováquia	slovensko	eslováquia	N;NOM;NEUT;SG	N;FEM;SG
pretože	porque	pretože	porque	CONJ	CONJ
slovenska	slovenska	slovensky	slovenska	N;NOM;NEUT;SG	N;MASC;SG
nové	novo	nový	novo	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
nové	nova	nový	novo	ADJ;NOM;NEUT;SG	ADJ;FEM;SG
všetkých	todas	všetok	todo	DET;ANIM;ACC;MASC;PL	DET;FEM;PL
štátu	state	štát	state	N;INAN;GEN;MASC;SG	N;MASC;SG
štátu	estado	štát	estado	N;INAN;GEN;MASC;SG	N;MASC;SG
ďalšie	adicional	ďalší	adicional	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
ďalšie	seguinte	ďalší	seguinte	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
ďalšie	próxima	ďalší	próximo	ADJ;NOM;NEUT;SG	ADJ;FEM;SG
meno	nome	meno	nome	N;NOM;NEUT;SG	N;MASC;SG
dve	duas	dva	dois	NUM;NOM;FEM;PL	NUM
dve	dois	dva	dois	NUM;NOM;FEM;PL	NUM
dva	duas	dva	dois	NUM;INAN;NOM;MASC;PL	NUM
dva	dois	dva	dois	NUM;INAN;NOM;MASC;PL	NUM
mala	tive	mať	ter	V;IPFV;FEM;SG;POS;PST;V.PTCP	V;IND;SG;1;PST;FIN
mala	teve	mať	ter	V;IPFV;FEM;SG;POS;PST;V.PTCP	V;IND;SG;3;PST;FIN
približne	aproximadamente	približne	aproximadamente	ADV	ADV
táto	este	táto	este	DET;NOM;FEM;SG	DET;MASC;SG
táto	esse	táto	esse	DET;NOM;FEM;SG	DET;MASC;SG
prvé	primeira	prvý	primeiro	ADJ;NOM;NEUT;SG	ADJ;FEM;SG
tri	tres	tri	tres	NUM;INAN;NOM;MASC;PL	NUM
tri	três	tri	três	NUM;INAN;NOM;MASC;PL	NUM
loire	loire	loira	loire	N;NOM;NEUT;SG	N;MASC;SG
začal	iniciado	začať	iniciar	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;MASC;SG;V.PTCP
začal	comecei	začať	começar	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;IND;SG;1;PST;FIN
začal	começou	začať	começar	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;IND;SG;3;PST;FIN
začal	iniciou	začať	iniciar	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;IND;SG;3;PST;FIN
začal	começou	začať	começar	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;IND;SG;3;PST;FIN
stránke	pagina	stránka	pagina	N;DAT;FEM;SG	N;FEM;SG
stránke	página	stránka	página	N;DAT;FEM;SG	N;FEM;SG
stránke	page	stránka	pagar	N;DAT;FEM;SG	N;MASC;SG
film	filme	film	filme	N;INAN;NOM;MASC;SG	N;MASC;SG
film	película	film	película	N;INAN;NOM;MASC;SG	N;FEM;SG
film	filme	film	filme	N;INAN;NOM;MASC;SG	N;MASC;SG
spoločnosti	corporações	spoločnosť	corporação	N;NOM;FEM;PL	N;FEM;PL
spoločnosti	companhias	spoločnosť	companhia	N;NOM;FEM;PL	N;FEM;PL
spoločnosti	empresas	spoločnosť	empresa	N;NOM;FEM;PL	N;FEM;PL
peter	pedro	peter	pedro	N;ANIM;NOM;MASC;SG	N;MASC;SG
peter	peter	peter	peter	N;ANIM;NOM;MASC;SG	N;MASC;SG
patrí	pertence	patriť	pertencer	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IND;SG;3;PRS;FIN
strany	páginas	strana	página	N;NOM;FEM;PL	N;FEM;PL
strany	festas	strana	festa	N;NOM;FEM;PL	N;FEM;PL
strany	partidos	strana	partido	N;NOM;FEM;PL	N;MASC;PL
svg	svg	svg	svg	N;NOM;FEM;SG	N;MASC;SG
prvá	primeira	prvý	primeiro	ADJ;NOM;FEM;SG	ADJ;FEM;SG
storočí	século	storočie	século	N;NOM;NEUT;SG	N;MASC;SG
storočí	century	storočie	century	N;NOM;NEUT;SG	N;MASC;SG
hlavne	principalmente	hlavne	principalmente	ADV	ADV
hlavne	especialmente	hlavne	especialmente	ADV	ADV
hlavne	principalmente	hlavne	principalmente	ADV	ADV
astronóm	astrónomo	astronó	astrónomo	N;ANIM;NOM;MASC;SG	N;MASC;SG
astronóm	astrônomo	astronó	astrônomo	N;ANIM;NOM;MASC;SG	N;MASC;SG
rod	vara	rod	varar	N;ANIM;NOM;MASC;SG	N;FEM;SG
rod	haste	rod	hastar	N;ANIM;NOM;MASC;SG	N;FEM;SG
rod	cana	rod	cana	N;ANIM;NOM;MASC;SG	N;FEM;SG
titul	titulo	tituť	titulo	N;INAN;NOM;MASC;SG	N;MASC;SG
titul	título	tituť	título	N;INAN;NOM;MASC;SG	N;MASC;SG
kostol	igreja	kostol	igreja	N;INAN;NOM;MASC;SG	N;FEM;SG
týchto	estes	táto	este	DET;ANIM;ACC;MASC;PL	DET;MASC;PL
týchto	esses	táto	esse	DET;ANIM;ACC;MASC;PL	DET;MASC;PL
republiky	repúblicas	republika	república	N;NOM;FEM;PL	N;FEM;PL
ženy	fêmeas	žena	fêmea	N;NOM;FEM;PL	N;FEM;PL
ženy	mulheres	žena	mulher	N;NOM;FEM;PL	N;FEM;PL
ženy	mulheres	žena	mulher	N;NOM;FEM;PL	N;FEM;PL
ďalej	próximo	ďalej	próximo	ADV	ADV
kedy	quando	kedy	quando	ADV	ADV
územia	territórios	územie	território	N;NOM;NEUT;PL	N;MASC;PL
územia	territórios	územie	território	N;NOM;NEUT;PL	N;MASC;PL
systém	system	systém	syetir	N;INAN;NOM;MASC;SG	N;MASC;SG
systém	sistema	systém	sistema	N;INAN;NOM;MASC;SG	N;MASC;SG
ide	indo	ísť	ir	V;IPFV;IND;SG;3;POS;PRS;FIN	V;V.MSDR
potok	fluxo	potok	fluxo	N;INAN;NOM;MASC;SG	N;MASC;SG
potok	stream	potok	strear	N;INAN;NOM;MASC;SG	N;MASC;SG
góly	objectivos	góla	objectivo	N;NOM;FEM;PL	N;MASC;PL
góly	gols	góla	gol	N;NOM;FEM;PL	N;MASC;PL
góly	metas	góla	meta	N;NOM;FEM;PL	N;FEM;PL
góly	golos	góla	golo	N;NOM;FEM;PL	N;MASC;PL
góly	objetivos	góla	objetivo	N;NOM;FEM;PL	N;MASC;PL
spisovateľ	escritora	spisovateľ	escritor	N;ANIM;NOM;MASC;SG	N;FEM;SG
spisovateľ	escritor	spisovateľ	escritor	N;ANIM;NOM;MASC;SG	N;MASC;SG
pôvodne	inicialmente	pôvodne	inicialmente	ADV	ADV
pôvodne	originalmente	pôvodne	originalmente	ADV	ADV
pôvodne	inicialmente	pôvodne	inicialmente	ADV	ADV
súhvezdie	constelação	súhvezdie	constelação	N;NOM;NEUT;SG	N;FEM;SG
známy	conhecida	známy	conhecido	ADJ;ANIM;NOM;MASC;SG	ADJ;FEM;SG
známy	conhecido	známy	conhecido	ADJ;ANIM;NOM;MASC;SG	ADJ;MASC;SG
známy	conhecido	známy	conhecido	ADJ;ANIM;NOM;MASC;SG	ADJ;MASC;SG
haute	haute	haute	haute	N;NOM;FEM;SG	N;FEM;SG
veľkosť	size	veľkosť	sizer	N;NOM;FEM;SG	N;MASC;SG
veľkosť	tamanho	veľkosť	tamanho	N;NOM;FEM;SG	N;MASC;SG
veľkosť	dimensão	veľkosť	dimensão	N;NOM;FEM;SG	N;FEM;SG
klub	club	klub	club	N;INAN;NOM;MASC;SG	N;MASC;SG
klub	clube	klub	clube	N;INAN;NOM;MASC;SG	N;MASC;SG
objektov	objectos	objekt	objecto	N;INAN;GEN;MASC;PL	N;MASC;PL
objektov	objetos	objekt	objeto	N;INAN;GEN;MASC;PL	N;MASC;PL
portál	portal	portál	portal	N;INAN;NOM;MASC;SG	N;MASC;SG
článok	artigo	článok	artigo	N;INAN;NOM;MASC;SG	N;MASC;SG
ľudí	humanos	človek	humano	N;ANIM;ACC;MASC;PL	N;MASC;PL
ľudí	pessoas	človek	pessoa	N;ANIM;ACC;MASC;PL	N;FEM;PL
územie	território	územie	território	N;NOM;NEUT;SG	N;MASC;SG
palomar	palomar	palomar	palomar	N;INAN;NOM;MASC;SG	N;MASC;SG
možné	possivel	možný	possivel	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
možné	possível	možný	possível	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
zomrel	morreu	zomrieť	morrer	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;IND;SG;3;PST;FIN
zomrel	morri	zomrieť	morrer	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;IND;SG;1;PST;FIN
zomrel	faleceu	zomrieť	falecer	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;IND;SG;3;PST;FIN
niektoré	algum	niektorý	algum	DET;NOM;NEUT;SG	DET;MASC;SG
hudobné	musical	hudobný	musical	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
herec	ator	herec	ator	N;ANIM;NOM;MASC;SG	N;MASC;SG
herec	actor	herec	actor	N;ANIM;NOM;MASC;SG	N;MASC;SG
hry	games	hra	game	N;NOM;FEM;PL	N;MASC;PL
hry	jogos	hra	jogo	N;NOM;FEM;PL	N;MASC;PL
veľký	grande	veľký	grande	ADJ;ANIM;NOM;MASC;SG	ADJ;MASC;SG
veľký	grande	veľký	grande	ADJ;ANIM;NOM;MASC;SG	ADJ;MASC;SG
gmina	comuna	gmina	comunar	N;NOM;FEM;SG	N;FEM;SG
života	vida	život	vida	N;INAN;GEN;MASC;SG	N;FEM;SG
života	life	život	life	N;INAN;GEN;MASC;SG	N;MASC;SG
septembra	setembro	september	setembro	N;INAN;GEN;MASC;SG	N;MASC;SG
kráľ	king	kráľ	king	N;ANIM;NOM;MASC;SG	N;MASC;SG
kráľ	rei	kráľ	rei	N;ANIM;NOM;MASC;SG	N;MASC;SG
maďarsku	hungria	maďarsky	hungria	N;NOM;NEUT;SG	N;FEM;SG
hráči	jogadores	hráčiť	jogador	N;ANIM;NOM;MASC;PL	N;MASC;PL
vlády	governos	vláda	governo	N;NOM;FEM;PL	N;MASC;PL
môžu	podem	môcť	poder	V;IPFV;IND;PL;3;POS;PRS;FIN	V;IND;PL;3;PRS;FIN
miest	locais	mesto	local	N;GEN;NEUT;PL	N;MASC;PL
miest	lugares	mesto	lugar	N;GEN;NEUT;PL	N;MASC;PL
miest	sítios	mesto	sítio	N;GEN;NEUT;PL	N;MASC;PL
zároveň	simultaneamente	zároveň	simultaneamente	ADV	ADV
mieste	spot	miesto	spot	N;NOM;NEUT;SG	N;MASC;SG
mieste	sítio	miesto	sítio	N;NOM;NEUT;SG	N;MASC;SG
mieste	site	miesto	site	N;NOM;NEUT;SG	N;MASC;SG
kráľa	king	kráľ	king	N;ANIM;ACC;MASC;SG	N;MASC;SG
kráľa	rei	kráľ	rei	N;ANIM;ACC;MASC;SG	N;MASC;SG
tam	ali	tam	ali	ADV	ADV
tam	aí	tam	aí	ADV	ADV
tam	lá	tam	lá	ADV	ADV
spoločnosť	society	spoločnosť	society	N;NOM;FEM;SG	N;MASC;SG
spoločnosť	sociedade	spoločnosť	sociedade	N;NOM;FEM;SG	N;FEM;SG
spoločnosť	empresa	spoločnosť	empresa	N;NOM;FEM;SG	N;FEM;SG
spoločnosť	company	spoločnosť	company	N;NOM;FEM;SG	N;MASC;SG
spoločnosť	companhia	spoločnosť	companhia	N;NOM;FEM;SG	N;FEM;SG
oblasť	região	oblasť	região	N;NOM;FEM;SG	N;FEM;SG
oblasť	oblast	oblasť	oblast	N;NOM;FEM;SG	N;MASC;SG
oblasť	area	oblasť	area	N;NOM;FEM;SG	N;FEM;SG
oblasť	área	oblasť	área	N;NOM;FEM;SG	N;FEM;SG
vek	idade	vek	idade	N;INAN;NOM;MASC;SG	N;FEM;SG
štadión	estádio	štadión	estádio	N;INAN;NOM;MASC;SG	N;MASC;SG
štadión	stadium	štadión	stadium	N;INAN;NOM;MASC;SG	N;MASC;SG
muži	machos	muž	macho	N;ANIM;NOM;MASC;PL	N;MASC;PL
muži	homens	muž	homem	N;ANIM;NOM;MASC;PL	N;MASC;PL
októbra	outubro	október	outubro	N;INAN;GEN;MASC;SG	N;MASC;SG
život	vida	život	vida	N;INAN;NOM;MASC;SG	N;FEM;SG
život	life	život	life	N;INAN;NOM;MASC;SG	N;MASC;SG
mája	may	máj	may	N;INAN;GEN;MASC;SG	N;MASC;SG
mája	maio	máj	maio	N;INAN;GEN;MASC;SG	N;MASC;SG
dňa	dia	deň	dia	N;INAN;GEN;MASC;SG	N;MASC;SG
národné	nacional	národný	nacional	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
center	centro	center	centro	N;INAN;NOM;MASC;SG	N;MASC;SG
center	center	center	center	N;INAN;NOM;MASC;SG	N;MASC;SG
syn	son	syn	son	N;ANIM;NOM;MASC;SG	N;MASC;SG
syn	filho	syn	filho	N;ANIM;NOM;MASC;SG	N;MASC;SG
marca	march	marec	march	N;INAN;GEN;MASC;SG	N;MASC;SG
marca	marcha	marec	marcha	N;INAN;GEN;MASC;SG	N;FEM;SG
marca	março	marec	março	N;INAN;GEN;MASC;SG	N;MASC;SG
dĺžka	comprimento	dĺžka	comprimento	N;NOM;FEM;SG	N;MASC;SG
dĺžka	longitude	dĺžka	longitude	N;NOM;FEM;SG	N;FEM;SG
