年	año	年	año	N	N;MASC;SG
縣	canton	縣	canton	N	N;MASC;SG
任	ren	任	ren	N	N
時間	hora	時間	hora	N	N;FEM;SG
時間	tiempo	時間	tiempo	N	N;MASC;SG
時間	time	時間	time	N	N
六	seis	六	seis	NUM	NUM;PL
城	ciudad	城	ciudad	N	N;FEM;SG
城	castillo	城	castillo	N	N;MASC;SG
中心	centros	中心	centro	N	N;MASC;PL
中心	centro	中心	centro	N	N;MASC;SG
中心	center	中心	center	N	N;MASC;SG
中心	centro	中心	centro	N	N;MASC;SG
中心	centre	中心	centre	N	N;MASC;SG
線	línea	線	línea	N	N;FEM;SG
線	linea	線	linea	N	N;FEM;SG
線	líneas	線	línea	N	N;FEM;PL
線	lines	線	lín	N	N
線	lineas	線	linea	N	N;FEM;PL
線	hilos	線	hilo	N	N;MASC;PL
線	hilo	線	hilo	N	N;MASC;SG
山	montañas	山	montaña	N	N;FEM;PL
山	montaña	山	montaña	N	N;FEM;SG
山	monte	山	monte	N	N;MASC;SG
山	montura	山	montura	N	N;FEM;SG
山	colina	山	colina	N	N;FEM;SG
山	cerro	山	cerro	N	N;MASC;SG
山	montañas	山	montaña	N	N;FEM;PL
山	montes	山	monte	N	N;MASC;PL
山	montaña	山	montaña	N	N;FEM;SG
太空	space	太空	spacer	N	N
太空	espacio	太空	espacio	N	N;MASC;SG
內	interior	內	interior	N	N;MASC;SG
管理	administra	管理	administrar	V	V;IND;SG;3;PRS;FIN
管理	gestionar	管理	gestionar	V	V;NFIN
管理	gestione	管理	gestionar	V	V;IMP;SG;3;FIN
管理	administrar	管理	administrar	V	V;NFIN
成	convertirse	成	convertir	V	V;SBJV;SG;3;PRS;FIN
建	construya	建	construir	V	V;IMP;SG;3;FIN
建	construir	建	construir	V	V;NFIN
建	construye	建	construir	V	V;IND;SG;3;PRS;FIN
性	sexualidad	性	sexualidad	N	N;FEM;SG
性	sex	性	sex	N	N
性	sexos	性	sexo	N	N;MASC;PL
性	sexo	性	sexo	N	N;MASC;SG
代表	representantes	代表	representante	N	N;PL
代表	representatividad	代表	representatividad	N	N;FEM;SG
代表	representante	代表	representante	N	N;SG
代表	delegados	代表	delegado	N	N;MASC;PL
代表	delegado	代表	delegado	N	N;MASC;SG
公里	kilómetros	公里	kilómetro	N	N;MASC;PL
公里	kilómetro	公里	kilómetro	N	N;MASC;SG
公里	kms	公里	kms	N	N;MASC;PL
公里	kilómetros	公里	kilómetro	N	N;MASC;PL
公里	kilometros	公里	kilometro	N	N;MASC;PL
海	mar	海	mar	N	N;SG
海	océano	海	océano	N	N;MASC;SG
海	mar	海	mar	N	N;SG
海	oceano	海	oceano	N	N;MASC;SG
這	este	這	este	PRO	PRO;MASC;SG
這	esto	這	este	PRO	PRO;SG
這	esta	這	este	PRO	PRO;FEM;SG
大學	universidades	大學	universidad	N	N;FEM;PL
大學	universitario	大學	universitario	N	N;MASC;SG
大學	universitarios	大學	universitario	N	N;MASC;PL
大學	universidades	大學	universidad	N	N;FEM;PL
大學	universidad	大學	universidad	N	N;FEM;SG
大學	college	大學	collegar	N	N;MASC;SG
大學	colegio	大學	colegio	N	N;MASC;SG
大學	universidad	大學	universidad	N	N;FEM;SG
版	edición	版	edición	N	N;FEM;SG
版	edition	版	edition	N	N;MASC;SG
版	version	版	version	N	N;FEM;SG
版	versión	版	versión	N	N;FEM;SG
從	de	從	de	ADP	ADP
從	desde	從	desde	ADP	ADP
工作	empleo	工作	empleo	N	N;MASC;SG
工作	trabajo	工作	trabajo	N	N;MASC;SG
工作	obra	工作	obra	N	N;FEM;SG
工作	trabajos	工作	trabajo	N	N;MASC;PL
工作	trabajo	工作	trabajo	N	N;MASC;SG
工作	trabajos	工作	trabajo	N	N;MASC;PL
工作	jobs	工作	jobs	N	N;MASC;SG
工作	empleos	工作	empleo	N	N;MASC;PL
工作	empleo	工作	empleo	N	N;MASC;SG
北	norte	北	norte	N	N;MASC;SG
政治	políticos	政治	político	N	N;MASC;PL
政治	politicas	政治	politico	N	N;FEM;PL
政治	políticas	政治	política	N	N;FEM;PL
政治	politica	政治	politica	N	N;FEM;SG
政治	política	政治	política	N	N;FEM;SG
星	estrella	星	estrella	N	N;FEM;SG
星	star	星	star	N	N
星	estrellas	星	estrella	N	N;PL
星	stars	星	star	N	N
她	ella	她	él	PRO;3	PRO;FEM;SG;3
面	fideos	面	fideo	N	N;MASC;PL
面	tallarines	面	tallarin	N	N;MASC;PL
作品	trabajos	作品	trabajo	N	N;MASC;PL
作品	obras	作品	obra	N	N;FEM;PL
河	rio	河	rio	N	N;MASC;SG
河	río	河	río	N	N;MASC;SG
文化	cultivo	文化	cultivo	N	N;MASC;SG
文化	cultura	文化	cultura	N	N;FEM;SG
文化	cultivos	文化	cultivo	N	N;MASC;PL
文化	culturas	文化	cultura	N	N;FEM;PL
條目	entradas	條目	entrada	N	N;FEM;PL
馬	caballos	馬	caballo	N	N;MASC;PL
馬	caballo	馬	caballo	N	N;MASC;SG
馬	caballos	馬	caballo	N	N;MASC;PL
氏	clan	氏	clan	N	N;MASC;SG
氏	thi	氏	thi	N	N
更	más	更	más	ADV	ADV
更	mas	更	mas	ADV	ADV
電影	pelicula	電影	pelicula	N	N;FEM;SG
電影	cine	電影	cine	N	N;MASC;SG
電影	movie	電影	movie	N	N;SG
電影	película	電影	película	N	N;FEM;SG
電影	cine	電影	cine	N	N;MASC;SG
電影	cinema	電影	cinema	N	N;MASC;SG
電影	pelicula	電影	pelicula	N	N;FEM;SG
電影	cine	電影	cine	N	N;MASC;SG
電影	película	電影	película	N	N;FEM;SG
電影	film	電影	film	N	N;MASC;SG
電影	peliculas	電影	pelicula	N	N;FEM;PL
電影	cine	電影	cine	N	N;MASC;SG
電影	películas	電影	película	N	N;FEM;PL
季	temporada	季	temporada	N	N;FEM;SG
季	estaciones	季	estación	N	N;FEM;PL
季	temporadas	季	temporada	N	N;FEM;PL
龍	dragones	龍	dragón	N	N;MASC;PL
龍	pulmones	龍	pulmón	N	N;MASC;PL
龍	lung	龍	lung	N	N
龍	pulmón	龍	pulmón	N	N;MASC;SG
龍	dragones	龍	dragón	N	N;MASC;PL
龍	dragón	龍	dragón	N	N;MASC;SG
龍	dragon	龍	dragon	N	N;MASC;SG
女	mujer	女	mujer	N	N;FEM;SG
女	mujer	女	mujer	N	N;FEM;SG
女	hembra	女	hembra	N	N;FEM;SG
女	hembras	女	hembra	N	N;FEM;PL
正式	formalmente	正式	formalmente	ADV	ADV
正式	oficialmente	正式	oficialmente	ADV	ADV
字	word	字	word	N	N
字	palabra	字	palabra	N	N;FEM;SG
字	palabras	字	palabra	N	N;FEM;PL
不同	distinta	不同	distinto	ADJ	ADJ;FEM;SG
不同	diferente	不同	diferente	ADJ	ADJ;SG
不同	distinto	不同	distinto	ADJ	ADJ;MASC;SG
不同	diferentes	不同	diferente	ADJ	ADJ;PL
足球	soccer	足球	soccer	N	N;SG
足球	fútbol	足球	fútbol	N	N;MASC;SG
足球	futbol	足球	futbol	N	N;MASC;SG
足球	fútbol	足球	fútbol	N	N;MASC;SG
足球	futbol	足球	futbol	N	N;MASC;SG
目前	actualidad	目前	actualidad	N	N;FEM;SG
目前	corriente	目前	corriente	N	N;MASC;SG
中央	centrales	中央	central	N	N;FEM;PL
郡	condado	郡	condado	N	N;MASC;SG
國家	estados	國家	estado	N	N;MASC;PL
國家	pais	國家	pais	N	N;MASC;SG
國家	país	國家	país	N	N;MASC;SG
國家	state	國家	state	N	N
國家	estado	國家	estado	N	N;MASC;SG
國家	paises	國家	pais	N	N;MASC;PL
國家	países	國家	país	N	N;MASC;PL
球	bola	球	bola	N	N;FEM;SG
球	balón	球	balón	N	N;MASC;SG
球	pelota	球	pelota	N	N;FEM;SG
球	ball	球	ball	N	N;MASC;SG
生	raw	生	raw	N	N
生	crudo	生	crudo	N	N;MASC;SG
街	calle	街	calle	N	N;FEM;SG
街	callejero	街	callejero	N	N;MASC;SG
街	street	街	street	N	N
街	calles	街	calle	N	N;FEM;PL
提供	proveer	提供	proveer	V	V;NFIN
提供	proporcionar	提供	proporcionar	V	V;NFIN
提供	proporcione	提供	proporcionar	V	V;IMP;SG;3;FIN
城市	ciudad	城市	ciudad	N	N;FEM;SG
城市	ciudades	城市	ciudad	N	N;FEM;PL
水	agua	水	agua	N	N;FEM;SG
人物	carácter	人物	carácter	N	N;MASC;SG
人物	caracter	人物	caracter	N	N;MASC;SG
人物	personaje	人物	personaje	N	N;MASC;SG
軍	ejército	軍	ejército	N	N;MASC;SG
軍	army	軍	army	N	N
軍	ejercito	軍	ejercito	N	N;MASC;SG
加入	unir	加入	unir	V	V;NFIN
加入	únete	加入	únete	V	V;IND;SG;2;PRS;FIN
史	shi	史	shi	N	N;SG
屬	género	屬	género	N	N;MASC;SG
魚	pescado	魚	pescado	N	N;MASC;SG
魚	pesca	魚	pesca	N	N;FEM;SG
魚	peces	魚	pez	N	N;MASC;PL
魚	pescados	魚	pescado	N	N;MASC;PL
魚	pez	魚	pez	N	N;MASC;SG
波	oleada	波	oleada	N	N;FEM;SG
波	ola	波	ola	N	N;FEM;SG
波	onda	波	onda	N	N;FEM;SG
波	wave	波	wave	N	N
你	te	你	tú	PRO;2	PRO;SG;2
你	tú	你	tú	PRO;2	PRO;NOM;SG;2
你	usted	你	tú	PRO;2	PRO;SG;2;FORM
你	vos	你	vo	PRO;2	PRO;SG;2
方	colmillo	方	colmillo	N	N;MASC;SG
話	dialecto	話	dialecto	N	N;MASC;SG
東	oriente	東	oriente	N	N;MASC;SG
東	east	東	east	N	N;MASC;SG
東	dong	東	dong	N	N;MASC;SG
石	shi	石	shi	N	N;SG
石	gema	石	gema	N	N;FEM;SG
石	stone	石	stone	N	N
石	piedra	石	piedra	N	N;FEM;SG
事件	incidentes	事件	incidente	N	N;PL
事件	incidente	事件	incidente	N	N;SG
事件	incidentes	事件	incidente	N	N;PL
事件	incidencias	事件	incidencia	N	N;FEM;PL
事件	eventos	事件	evento	N	N;MASC;PL
事件	acontecimientos	事件	acontecimiento	N	N;MASC;PL
事件	acontecimiento	事件	acontecimiento	N	N;MASC;SG
事件	evento	事件	evento	N	N;MASC;SG
建立	construya	建立	construir	V	V;IMP;SG;3;FIN
建立	construir	建立	construir	V	V;NFIN
建立	construye	建立	construir	V	V;IND;SG;3;PRS;FIN
生活	vivir	生活	vivir	V	V;NFIN
生活	viviendo	生活	vivir	V	V;V.MSDR
教育	educación	教育	educación	N	N;FEM;SG
教育	educación	教育	educación	N	N;FEM;SG
教育	enseñanza	教育	enseñanza	N	N;FEM;SG
教育	educacion	教育	educacion	N	N;FEM;SG
車站	estacion	車站	estacion	N	N;FEM;SG
車站	estación	車站	estación	N	N;FEM;SG
之後	after	之後	after	N	N
獎	premios	獎	premio	N	N;MASC;PL
獎	galardones	獎	galardón	N	N;MASC;PL
獎	premio	獎	premio	N	N;MASC;SG
獎	laudo	獎	laudo	N	N;MASC;SG
獎	premios	獎	premio	N	N;MASC;PL
獎	adjudicación	獎	adjudicación	N	N;FEM;SG
獎	premio	獎	premio	N	N;MASC;SG
獎	galardón	獎	galardón	N	N;MASC;SG
完成	acabar	完成	acabar	V	V;NFIN
完成	terminar	完成	terminar	V	V;NFIN
完成	finalizar	完成	finalizar	V	V;NFIN
完成	completar	完成	completar	V	V;NFIN
白	white	白	white	N	N
白	blancos	白	blanco	N	N;MASC;PL
音樂	music	音樂	music	N	N
音樂	música	音樂	música	N	N;FEM;SG
音樂	musica	音樂	musica	N	N;FEM;SG
音樂	musicales	音樂	musical	N	N;MASC;PL
他們	ellos	他	él	PRO;PL;3	PRO;MASC;PL;3
他們	ellas	他	él	PRO;PL;3	PRO;FEM;PL;3
地區	áreas	地區	área	N	N;FEM;PL
地區	zonas	地區	zona	N	N;FEM;PL
地區	areas	地區	area	N	N;FEM;PL
地區	distrito	地區	distrito	N	N;MASC;SG
地區	superficie	地區	superficie	N	N;FEM;SG
地區	zona	地區	zona	N	N;FEM;SG
地區	area	地區	area	N	N;FEM;SG
地區	área	地區	área	N	N;FEM;SG
車	coches	車	coche	N	N;MASC;PL
車	coche	車	coche	N	N;MASC;SG
車	automóvil	車	automóvil	N	N;MASC;SG
車	carro	車	carro	N	N;MASC;SG
車	auto	車	auto	N	N;MASC;SG
車	coches	車	coche	N	N;MASC;PL
車	automóviles	車	automóvil	N	N;MASC;PL
車	carros	車	carro	N	N;MASC;PL
車	autos	車	auto	N	N;MASC;PL
中文	chinos	中文	chino	N	N;MASC;PL
中文	chino	中文	chino	N	N;MASC;SG
自由	freedom	自由	freedom	N	N;MASC;SG
自由	libertad	自由	libertad	N	N;FEM;SG
自由	liberty	自由	liberty	N	N;MASC;SG
自由	libertad	自由	libertad	N	N;FEM;SG
自由	free	自由	freer	N	N
獲得	conseguir	獲得	conseguir	V	V;NFIN
獲得	consigue	獲得	conseguir	V	V;IND;SG;3;PRS;FIN
獲得	obtener	獲得	obtener	V	V;NFIN
獲得	obtenga	獲得	obtener	V	V;SBJV;SG;3;PRS;FIN
光	light	光	light	N	N
光	luz	光	luz	N	N;FEM;SG
重要	importante	重要	importante	ADJ	ADJ;SG
重要	importantes	重要	importante	ADJ	ADJ;PL
工程	ingenieros	工程	ingeniero	N	N;MASC;PL
工程	ingeniería	工程	ingeniería	N	N;FEM;SG
工程	trabajos	工程	trabajo	N	N;MASC;PL
工程	obras	工程	obra	N	N;FEM;PL
段	duan	段	duan	N	N;SG
最後	last	最後	last	N	N
提交	presentar	提交	presentar	V	V;NFIN
提交	someter	提交	someter	V	V;NFIN
提交	enviar	提交	enviar	V	V;NFIN
一般	generalmente	一般	generalmente	ADV	ADV
需要	necesitar	需要	necesitar	V	V;NFIN
需要	necesito	需要	necesitar	V	V;IND;SG;1;PRS;FIN
需要	necesita	需要	necesitar	V	V;IND;SG;3;PRS;FIN
需要	necesitó	需要	necesitar	V	V;IND;SG;3;PST;FIN
需要	necesitaba	需要	necesitar	V	V;IND;SG;3;IPFV;FIN
需要	necesita	需要	necesitar	V	V;IND;SG;3;PRS;FIN
最佳	óptimos	最佳	óptimo	ADJ	ADJ;MASC;PL
最佳	óptimo	最佳	óptimo	ADJ	ADJ;MASC;SG
最佳	óptima	最佳	óptimo	ADJ	ADJ;FEM;SG
最佳	óptimas	最佳	óptimo	ADJ	ADJ;FEM;PL
最佳	óptimos	最佳	óptimo	ADJ	ADJ;MASC;PL
最佳	óptimo	最佳	óptimo	ADJ	ADJ;MASC;SG
最佳	óptima	最佳	óptimo	ADJ	ADJ;FEM;SG
最佳	óptimas	最佳	óptimo	ADJ	ADJ;FEM;PL
地方	lugar	地方	lugar	N	N;MASC;SG
地方	place	地方	place	N	N
地方	sitios	地方	sitio	N	N;MASC;PL
地方	lugares	地方	lugar	N	N;MASC;PL
地方	localidades	地方	localidad	N	N;FEM;PL
地方	plazas	地方	plaza	N	N;FEM;PL
系列	serie	系列	serie	N	N;FEM;SG
系列	series	系列	serie	N	N;FEM;PL
電視	televisor	電視	televisor	N	N;MASC;SG
電視	television	電視	television	N	N;FEM;SG
電視	televisión	電視	televisión	N	N;FEM;SG
電視	televisiones	電視	televisión	N	N;FEM;PL
黑	dark	黑	dark	N	N
黑	oscuridad	黑	oscuridad	N	N;FEM;SG
黑	black	黑	black	N	N
黑	negros	黑	negro	N	N;MASC;PL
花	hana	花	hanar	N	N;FEM;SG
花	flores	花	flor	N	N;FEM;PL
花	flor	花	flor	N	N;FEM;SG
花	flores	花	flor	N	N;FEM;PL
遊戲	juego	遊戲	juego	N	N;MASC;SG
遊戲	juegos	遊戲	juego	N	N;MASC;PL
最高	supremo	最高	supremo	ADJ	ADJ;MASC;SG
要求	solicitar	要求	solicitar	V	V;NFIN
要求	solicite	要求	solicitar	V	V;IMP;SG;3;FIN
要求	exigir	要求	exigir	V	V;NFIN
要求	solicita	要求	solicitar	V	V;IND;SG;3;PRS;FIN
讓	dejemos	讓	dejar	V;CAUS	V;IMP;PL;1;FIN
版本	version	版本	version	N	N;FEM;SG
版本	versión	版本	versión	N	N;FEM;SG
版本	ediciones	版本	edición	N	N;FEM;PL
版本	versiones	版本	versión	N	N;FEM;PL
發現	descubrir	發現	descubrir	V	V;NFIN
發現	descubra	發現	descubrir	V	V;IND;SG;3;PRS;FIN
發現	descubre	發現	descubrir	V	V;IND;SG;3;PRS;FIN
發現	descubren	發現	descubrir	V	V;IND;PL;3;PRS;FIN
語	lengua	語	lengua	N	N;FEM;SG
語	idioma	語	idioma	N	N;MASC;SG
語	lenguaje	語	lenguaje	N	N;MASC;SG
語	idiomas	語	idioma	N	N;MASC;PL
內容	contenido	內容	contenido	N	N;MASC;SG
內容	contenidos	內容	contenido	N	N;MASC;PL
最大	máximo	最大	máximo	ADJ	ADJ;MASC;SG
航空	aviation	航空	aviation	N	N;MASC;SG
航空	aviación	航空	aviación	N	N;FEM;SG
航空	aero	航空	aero	N	N
航空	aerolínea	航空	aerolínea	N	N;FEM;SG
航空	aerolíneas	航空	aerolínea	N	N;FEM;PL
航空	airlines	航空	airlín	N	N;MASC;PL
航空	aerolíneas	航空	aerolínea	N	N;FEM;PL
航空	aire	航空	aire	N	N;MASC;SG
航空	air	航空	air	N	N
數	conde	數	conde	N	N;MASC;SG
數	recuento	數	recuento	N	N;MASC;SG
數	número	數	número	N	N;MASC;SG
數	numero	數	numero	N	N;MASC;SG
出版	publicar	出版	publicar	V	V;NFIN
出版	publicando	出版	publicar	V	V;V.MSDR
成功	éxito	成功	éxito	N	N;MASC;SG
成功	exitos	成功	exito	N	N;MASC;PL
成功	exito	成功	exito	N	N;MASC;SG
成功	éxitos	成功	éxito	N	N;MASC;PL
成功	éxito	成功	éxito	N	N;MASC;SG
面積	superficie	面積	superficie	N	N;FEM;SG
面積	zona	面積	zona	N	N;FEM;SG
面積	area	面積	area	N	N;FEM;SG
面積	área	面積	área	N	N;FEM;SG
堡	fortaleza	堡	fortaleza	N	N;FEM;SG
堡	fort	堡	fort	N	N;MASC
系統	system	系統	system	N	N
系統	sistema	系統	sistema	N	N;MASC;SG
系統	sistemas	系統	sistema	N	N;MASC;PL
系統	systems	系統	system	N	N
冠軍	campeón	冠軍	campeón	N	N;MASC;SG
冠軍	campeona	冠軍	campeona	N	N;FEM;SG
冠軍	campeon	冠軍	campeon	N	N;MASC;SG
冠軍	champ	冠軍	champ	N	N;SG
冠軍	campeón	冠軍	campeón	N	N;MASC;SG
冠軍	campeona	冠軍	campeona	N	N;FEM;SG
冠軍	campeon	冠軍	campeon	N	N;MASC;SG
冠軍	champion	冠軍	champion	N	N;MASC;SG
冠軍	champions	冠軍	championso	N	N;FEM;SG
冠軍	campeones	冠軍	campeón	N	N;MASC;PL
問題	problemas	問題	problema	N	N;MASC;PL
問題	problemática	問題	problemática	N	N;FEM;SG
問題	problema	問題	problema	N	N;MASC;SG
問題	cuestión	問題	cuestión	N	N;FEM;SG
問題	interrogante	問題	interrogante	N	N;SG
問題	pregunta	問題	pregunta	N	N;FEM;SG
問題	preguntas	問題	pregunta	N	N;FEM;PL
問題	interrogantes	問題	interrogante	N	N;PL
問題	cuestiones	問題	cuestión	N	N;FEM;PL
海拔	altitud	海拔	altitud	N	N;FEM;SG
海拔	elevación	海拔	elevación	N	N;FEM;SG
海拔	altitud	海拔	altitud	N	N;FEM;SG
海拔	elevaciones	海拔	elevación	N	N;FEM;PL
方式	método	方式	método	N	N;MASC;SG
率	tasa	率	tasa	N	N;FEM;SG
名稱	nombre	名稱	nombre	N	N;MASC;SG
名稱	name	名稱	name	N	N
名稱	denominación	名稱	denominación	N	N;FEM;SG
名稱	nombres	名稱	nombre	N	N;MASC;PL
愛	amar	愛	amar	V	V;NFIN
得到	conseguir	得到	conseguir	V	V;NFIN
得到	consigue	得到	conseguir	V	V;IND;SG;3;PRS;FIN
得到	obtener	得到	obtener	V	V;NFIN
得到	obtenga	得到	obtener	V	V;SBJV;SG;3;PRS;FIN
街道	calle	街道	calle	N	N;FEM;SG
街道	callejero	街道	callejero	N	N;MASC;SG
街道	street	街道	street	N	N
街道	calles	街道	calle	N	N;FEM;PL
街道	calles	街道	calle	N	N;FEM;PL
街道	subdistrito	街道	subdistrito	N	N;MASC;SG
刪除	eliminando	刪除	eliminar	V	V;V.MSDR
刪除	borrando	刪除	borrar	V	V;V.MSDR
刪除	quita	刪除	quitar	V	V;IND;SG;3;PRS;FIN
刪除	eliminar	刪除	eliminar	V	V;NFIN
刪除	quitar	刪除	quitar	V	V;NFIN
刪除	borrar	刪除	borrar	V	V;NFIN
刪除	eliminar	刪除	eliminar	V	V;NFIN
刪除	suprimir	刪除	suprimir	V	V;NFIN
設計	diseñar	設計	diseñar	V	V;NFIN
設計	diseñando	設計	diseñar	V	V;V.MSDR
群	grupo	群	grupo	N	N;MASC;SG
群	group	群	group	N	N
命名	nombrar	命名	nombrar	V	V;NFIN
服務	servir	服務	servir	V	V;NFIN
服務	sirva	服務	servir	V	V;SBJV;SG;3;FIN
服務	sirven	服務	servir	V	V;IND;PL;3;PRS;FIN
服務	sirve	服務	servir	V	V;IND;SG;3;PRS;FIN
機	máquina	機	máquina	N	N;FEM;SG
機	maquina	機	maquina	N	N;FEM;SG
任何	cualquier	任何	cualquiera	DET	DET;SG
頁	páginas	頁	página	N	N;FEM;PL
頁	paginas	頁	pagina	N	N;FEM;PL
條	tiras	條	tira	N	N;FEM;PL
兩	dos	兩	dos	NUM	NUM;PL
著名	famosa	著名	famoso	ADJ	ADJ;FEM;SG
著名	famosas	著名	famoso	ADJ	ADJ;FEM;PL
著名	famosos	著名	famoso	ADJ	ADJ;MASC;PL
著名	famoso	著名	famoso	ADJ	ADJ;MASC;SG
志	zhi	志	zhi	N	N;SG
志	chi	志	chi	N	N;MASC;SG
志	ji	志	ji	N	N
已經	ya	已經	ya	ADV	ADV
專輯	álbum	專輯	álbum	N	N;MASC;SG
專輯	album	專輯	album	N	N;MASC;SG
專輯	disco	專輯	disco	N	N;MASC;SG
專輯	álbumes	專輯	álbum	N	N;MASC;PL
角色	carácter	角色	carácter	N	N;MASC;SG
角色	caracter	角色	caracter	N	N;MASC;SG
角色	personaje	角色	personaje	N	N;MASC;SG
角色	rol	角色	rol	N	N;MASC;SG
角色	caracteres	角色	carácter	N	N;MASC;PL
角色	personajes	角色	personaje	N	N;MASC;PL
角色	papeles	角色	papel	N	N;MASC;PL
角色	roles	角色	rol	N	N;MASC;PL
武	takeshi	武	takeshi	N	N;SG
成員	miembro	成員	miembro	N	N;MASC;SG
成員	diputados	成員	diputado	N	N;MASC;PL
成員	miembros	成員	miembro	N	N;MASC;PL
新聞	noticias	新聞	noticia	N	N;FEM;PL
新聞	novedades	新聞	novedad	N	N;FEM;PL
新聞	noticia	新聞	noticia	N	N;FEM;SG
劇	drama	劇	drama	N	N;MASC;SG
女性	hembras	女性	hembra	N	N;FEM;PL
女性	mujer	女性	mujer	N	N;FEM;SG
女性	hembra	女性	hembra	N	N;FEM;SG
女性	hembras	女性	hembra	N	N;FEM;PL
女性	mujer	女性	mujer	N	N;FEM;SG
女性	mujeres	女性	mujer	N	N;FEM;PL
高度	altitud	高度	altitud	N	N;FEM;SG
高度	estatura	高度	estatura	N	N;FEM;SG
高度	altura	高度	altura	N	N;FEM;SG
