kategória	kategoria	kategória	kategoria	N;NOM;FEM;SG	N;NOM;FEM;SG
boli	byli	byť	być	V;IPFV;MASC;PL;POS;PST;V.PTCP	V;IPFV;MASC;IND;PL;PST;FIN;ACT
podľa	pod	podľa	pod	ADP;GEN	ADP
miesto	miejsce	miesto	miejsce	N;NOM;NEUT;SG	N;NOM;NEUT;SG
miesto	miejsce	miesto	miejsce	N;NOM;NEUT;SG	N;NOM;NEUT;SG
miesto	lokalizacja	miesto	lokalizacja	N;NOM;NEUT;SG	N;NOM;FEM;SG
miesto	położenie	miesto	położenie	N;NOM;NEUT;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
miesto	miejsce	miesto	miejsce	N;NOM;NEUT;SG	N;NOM;NEUT;SG
miesto	witryna	miesto	witryna	N;NOM;NEUT;SG	N;NOM;FEM;SG
miesto	strona	miesto	strona	N;NOM;NEUT;SG	N;NOM;FEM;SG
bolo	była	byť	być	V;IPFV;NEUT;SG;POS;PST;V.PTCP	V;IPFV;FEM;IND;SG;PST;FIN;ACT
bolo	był	byť	być	V;IPFV;NEUT;SG;POS;PST;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
bolo	było	byť	być	V;IPFV;NEUT;SG;POS;PST;V.PTCP	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
medzi	między	medzi	między	ADP;INS	ADP
projekty	projekty	projekt	projekt	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
francúzska	francja	francúzsky	francja	N;NOM;FEM;SG	N;NOM;FEM;SG
však	jednak	však	jednak	PART	PART
pod	pod	pod	pod	ADP;INS	ADP
pred	przed	pred	przed	ADP;INS	ADP
vývoj	rozwój	vývoj	rozwój	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
vývoj	opracowywanie	vývoj	opracowywać	N;INAN;NOM;MASC;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
vývoj	opracowanie	vývoj	opracowanie	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
vývoj	ewolucja	vývoj	ewolucja	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
graf	wykres	graf	wykres	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
graf	wykres	graf	wykres	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
môže	może	môcť	móc	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
môže	można	môcť	można	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IND;PRS;FIN
nasledujúci	następny	nasledujúci	następny	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT	ADJ;NOM;MASC;SG
nasledujúci	następne	nasledujúci	następny	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT	ADJ;NOM;NEUT;SG
zobrazuje	wyświetla	zobrazovať	wyświetlać	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
zobrazuje	pokazuje	zobrazovať	pokazywać	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
keď	gdy	keď	gdy	CONJ	CONJ
len	tylko	len	tylko	PART	PART
len	tylko	len	tylko	PART	PART
mesto	miejscowość	mesto	miejscowość	N;NOM;NEUT;SG	N;NOM;FEM;SG
mesto	miasto	mesto	miasto	N;NOM;NEUT;SG	N;NOM;NEUT;SG
mesto	miejscowość	mesto	miejscowość	N;NOM;NEUT;SG	N;NOM;FEM;SG
mesto	miasto	mesto	miasto	N;NOM;NEUT;SG	N;NOM;NEUT;SG
počas	podczas	počas	podczas	ADP;GEN	ADP
tiež	także	tiež	także	PART	PART
tiež	też	tiež	też	PART	PART
tiež	również	tiež	również	PART	PART
rokov	lat	rok	rok	N;INAN;GEN;MASC;PL	N;GEN;MASC;PL
nie	nie	nie	nie	PART	PART;NEG
úmrtia	zgony	úmrtie	zgon	N;NOM;NEUT;PL	N;NOM;MASC;PL
slovenský	słowacki	slovenský	słowacki	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;SG
slovenský	słowacki	slovenský	słowacki	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;SG
nad	nad	nad	nad	ADP;INS	ADP
stránka	strona	stránka	strona	N;NOM;FEM;SG	N;NOM;FEM;SG
stránka	witryna	stránka	witryna	N;NOM;FEM;SG	N;NOM;FEM;SG
stránka	strona	stránka	strona	N;NOM;FEM;SG	N;NOM;FEM;SG
roka	roku	rok	rok	N;INAN;GEN;MASC;SG	N;GEN;MASC;SG
časť	dział	časť	dziać	N;NOM;FEM;SG	N;NOM;MASC;SG
časť	sekcja	časť	sekcja	N;NOM;FEM;SG	N;NOM;FEM;SG
časť	część	časť	część	N;NOM;FEM;SG	N;NOM;FEM;SG
október	październik	október	październik	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
október	październik	október	październik	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
mesta	miejscowość	mesto	miejscowość	N;NOM;NEUT;SG	N;NOM;FEM;SG
mesta	miasto	mesto	miasto	N;NOM;NEUT;SG	N;NOM;NEUT;SG
mesta	miejscowość	mesto	miejscowość	N;NOM;NEUT;SG	N;NOM;FEM;SG
mesta	miasto	mesto	miasto	N;NOM;NEUT;SG	N;NOM;NEUT;SG
marec	marsz	marec	marsz	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
august	august	august	august	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
skupina	grupa	skupina	grupa	N;NOM;FEM;SG	N;NOM;FEM;SG
veľmi	bardzo	veľmi	bardzo	ADV	ADV
potom	wtedy	potom	wtedy	ADV	ADV
oficiálna	oficjalne	oficiálny	oficjalny	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
oficiálna	oficjalna	oficiálny	oficjalny	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
oficiálna	oficjalny	oficiálny	oficjalny	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
osobnosti	osobistości	osobnosť	osobistość	N;NOM;FEM;PL	N;NOM;FEM;PL
december	grudzień	december	grudzienie	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
december	grudzień	december	grudzienie	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
iba	tylko	iba	tylko	PART	PART
iba	tylko	iba	tylko	PART	PART
roky	lata	rok	rok	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
oblasti	tereny	oblasť	teren	N;NOM;FEM;PL	N;NOM;MASC;PL
oblasti	obszary	oblasť	obszar	N;NOM;FEM;PL	N;NOM;MASC;PL
oblasti	powierzchnie	oblasť	powierzchnie	N;NOM;FEM;PL	N;NOM;FEM;PL
mal	mial	mať	mial	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
mal	miał	mať	mieć	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
mal	miała	mať	mieć	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;IPFV;FEM;IND;SG;PST;FIN;ACT
mal	miał	mať	mieć	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
proti	przeciwko	proti	przeciwko	ADP;DAT	ADP
apríl	kwiecień	aprila	kwiecienie	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
apríl	kwiecień	aprila	kwiecienie	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
sveta	świata	svet	świat	N;INAN;GEN;MASC;SG	N;GEN;MASC;SG
bez	bez	bez	bez	ADP;GEN	ADP
najmä	głównie	najmä	głównie	PART	PART
najmä	zwłaszcza	najmä	zwłaszcza	PART	PART
názov	nazwisko	názov	nazwisko	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
názov	imię	názov	imię	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
názov	nazwa	názov	nazwa	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
ešte	jeszcze	ešte	jeszcze	PART	PART
prvý	pierwszy	prvý	pierwszy	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;SG
prvý	pierwsze	prvý	pierwszy	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;NEUT;SG
prvý	pierwsza	prvý	pierwszy	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG
text	tekst	text	tekst	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
slovenskej	słowackiej	slovenský	słowacki	ADJ;GEN;FEM;SG	ADJ;GEN;FEM;SG
spolu	łącznie	spolu	łącznie	ADV	ADV
spolu	razem	spolu	razem	ADV	ADV
spolu	wspólnie	spolu	wspólnie	ADV	ADV
preto	stąd	preto	stąd	ADV	ADV
majstrovstvá	mistrzostwa	majstrovstvo	mistrzostwa	N;NOM;NEUT;PL	N;NOM;NEUT;PL
bar	bar	bar	bar	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
americký	amerykańska	americký	amerykański	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG
americký	amerykański	americký	amerykański	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;SG
americký	amerykańskie	americký	amerykański	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;NEUT;SG
cez	przez	cez	przez	ADP;ACC	ADP
asi	pewnie	asi	pewnie	PART	PART
objavil	odkrył	objaviť	odkryć	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
objavil	odkryto	objaviť	odkryć	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;PFV;IND;0;PST;FIN;ACT
rok	rok	rok	rok	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
ulica	ulica	ulica	ulica	N;NOM;FEM;SG	N;NOM;FEM;SG
album	album	album	album	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
album	płyta	album	płyta	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
dátum	termin	dátum	termin	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
dátum	randka	dátum	randka	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
tieto	te	tento	ten	DET;NOM;MASC;PL	DET;NOM;MASC;PL
januára	stycznia	január	styczeń	N;INAN;GEN;MASC;SG	N;GEN;MASC;SG
januára	styczniu	január	styczeń	N;INAN;GEN;MASC;SG	N;GEN;MASC;SG
majú	posiadać	mať	posiadać	V;IPFV;IND;PL;3;POS;PRS;FIN	V;IPFV;NFIN;ACT
majú	mają	mať	mieć	V;IPFV;IND;PL;3;POS;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
majú	mieć	mať	mieć	V;IPFV;IND;PL;3;POS;PRS;FIN	V;IPFV;NFIN;ACT
všetky	wszystkie	všetok	wszystek	DET;INAN;NOM;MASC;PL	DET;NOM;MASC;PL
žije	mieszka	žiť	mieszkać	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
žije	żyje	žiť	żyć	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
český	czeski	český	czeski	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;SG
český	czeskie	český	czeski	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;NEUT;SG
český	czeska	český	czeski	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG
často	często	často	często	ADV	ADV
často	często	často	często	ADV	ADV
šablóny	szablony	šablón	szablony	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
dnes	dzisiaj	dnes	dzisiaj	ADV	ADV
dnes	dziś	dnes	dziś	ADV	ADV
slovensko	słowacja	slovensko	słowacja	N;NOM;NEUT;SG	N;NOM;FEM;SG
pretože	bo	pretože	bo	CONJ	CONJ
nové	nowe	nový	nowy	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
nové	nowy	nový	nowy	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
ďalšie	dodatkowa	ďalší	dodatkowy	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
ďalšie	dodatkowe	ďalší	dodatkowy	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
ďalšie	dodatkowy	ďalší	dodatkowy	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
ďalšie	następny	ďalší	następny	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
ďalšie	następne	ďalší	następny	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
ďalšie	inne	ďalší	inny	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
ďalšie	inny	ďalší	inny	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
meno	nazwisko	meno	nazwisko	N;NOM;NEUT;SG	N;NOM;NEUT;SG
meno	imię	meno	imię	N;NOM;NEUT;SG	N;NOM;NEUT;SG
meno	nazwa	meno	nazwa	N;NOM;NEUT;SG	N;NOM;FEM;SG
mala	mial	mať	mial	V;IPFV;FEM;SG;POS;PST;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
mala	miał	mať	mieć	V;IPFV;FEM;SG;POS;PST;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
mala	miała	mať	mieć	V;IPFV;FEM;SG;POS;PST;V.PTCP	V;IPFV;FEM;IND;SG;PST;FIN;ACT
mala	miał	mať	mieć	V;IPFV;FEM;SG;POS;PST;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
prvé	pierwszy	prvý	pierwszy	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
prvé	pierwsze	prvý	pierwszy	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
prvé	pierwsza	prvý	pierwszy	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
nich	je	on	on	PRO;ANIM;ACC;MASC;PL;3	PRO;ACC;NEUT;PL;3
začal	rozpoczęto	začať	rozpocząć	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;PFV;IND;0;PST;FIN;ACT
začal	zaczął	začať	zacząć	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
stránke	stronie	stránka	strona	N;DAT;FEM;SG	N;DAT;FEM;SG
film	folia	film	folia	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
spoločnosti	korporacje	spoločnosť	korporacja	N;NOM;FEM;PL	N;NOM;FEM;PL
spoločnosti	firmy	spoločnosť	firma	N;NOM;FEM;PL	N;NOM;FEM;PL
spoločnosti	firmy	spoločnosť	firma	N;NOM;FEM;PL	N;NOM;FEM;PL
peter	piotruś	peter	piotruś	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
slovenská	słowacki	slovenský	słowacki	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
strany	strony	strana	strona	N;NOM;FEM;PL	N;NOM;FEM;PL
strany	partie	strana	partia	N;NOM;FEM;PL	N;NOM;FEM;PL
prvá	pierwszy	prvý	pierwszy	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
prvá	pierwsze	prvý	pierwszy	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
prvá	pierwsza	prvý	pierwszy	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
nemecký	niemiecka	nemecký	niemiecki	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG
nemecký	niemieckie	nemecký	niemiecki	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;NEUT;SG
nemecký	niemiecki	nemecký	niemiecki	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;SG
storočí	stulecia	storočie	stulecie	N;NOM;NEUT;SG	N;NOM;NEUT;SG
storočí	wiek	storočie	wiek	N;NOM;NEUT;SG	N;NOM;MASC;SG
hlavne	głownie	hlavne	głownie	ADV	ADV
hlavne	szczególnie	hlavne	szczególnie	ADV	ADV
astronóm	astronom	astronó	astrona	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
rod	pręt	rod	pręt	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
kostol	kościół	kostol	kościół	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
ženy	kobietki	žena	kobietka	N;NOM;FEM;PL	N;NOM;FEM;PL
ženy	kobiety	žena	kobieta	N;NOM;FEM;PL	N;NOM;FEM;PL
územia	terytoria	územie	terytoria	N;NOM;NEUT;PL	N;NOM;NEUT;PL
územia	terytoria	územie	terytoria	N;NOM;NEUT;PL	N;NOM;NEUT;PL
systém	układ	systém	układ	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
ide	idzie	ísť	iść	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
potok	strumień	potok	strumień	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
góly	cele	góla	cel	N;NOM;FEM;PL	N;NOM;MASC;PL
spisovateľ	pisarz	spisovateľ	pisarz	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
pôvodne	początkowo	pôvodne	początkowo	ADV	ADV
pôvodne	pierwotnie	pôvodne	pierwotnie	ADV	ADV
pôvodne	początkowo	pôvodne	początkowo	ADV	ADV
pôvodne	pierwotnie	pôvodne	pierwotnie	ADV	ADV
známy	znane	známy	znać	ADJ;ANIM;NOM;MASC;SG	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
veľkosť	rozmiar	veľkosť	rozmiar	N;NOM;FEM;SG	N;NOM;MASC;SG
klub	klub	klub	klub	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
objektov	obiektów	objekt	obiekt	N;INAN;GEN;MASC;PL	N;GEN;MASC;PL
slovenské	słowacki	slovenský	słowacki	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
portál	portal	portál	portal	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
článok	artykuł	článok	artykuł	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
ľudí	ludzi	človek	człowiek	N;ANIM;ACC;MASC;PL	N;ACC;MASC;PL
možné	możliwy	možný	możliwy	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
možné	możliwa	možný	możliwy	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
možné	możliwe	možný	możliwy	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
zomrel	zmarł	zomrieť	zemrzeć	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
niektoré	niektóre	niektorý	niektóry	DET;NOM;NEUT;SG	DET;NOM;MASC;SG
hudobné	muzyczne	hudobný	muzyczny	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
hudobné	muzyczny	hudobný	muzyczny	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
herec	aktor	herec	aktor	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
hry	mecze	hra	mecz	N;NOM;FEM;PL	N;NOM;MASC;PL
veľký	duża	veľký	duży	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG
veľký	duży	veľký	duży	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;SG
veľký	duże	veľký	duży	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;NEUT;SG
veľký	duża	veľký	duży	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG
veľký	duże	veľký	duży	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;NEUT;SG
veľký	wielka	veľký	wielki	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG
veľký	duży	veľký	duży	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;SG
veľký	wielki	veľký	wielki	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;SG
života	życia	život	życie	N;INAN;GEN;MASC;SG	N;GEN;NEUT;SG
kráľ	król	kráľ	król	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
hráči	zawodnicy	hráčiť	zawodnik	N;ANIM;NOM;MASC;PL	N;NOM;MASC;PL
hráči	gracze	hráčiť	gracz	N;ANIM;NOM;MASC;PL	N;NOM;MASC;PL
vlády	rządy	vláda	rząd	N;NOM;FEM;PL	N;NOM;MASC;PL
môžu	można	môcť	można	V;IPFV;IND;PL;3;POS;PRS;FIN	V;IND;PRS;FIN
miest	miejsc	mesto	miejsce	N;GEN;NEUT;PL	N;GEN;NEUT;PL
zároveň	jednocześnie	zároveň	jednocześnie	ADV	ADV
zároveň	równocześnie	zároveň	równocześnie	ADV	ADV
mieste	miejsce	miesto	miejsce	N;NOM;NEUT;SG	N;NOM;NEUT;SG
mieste	witryna	miesto	witryna	N;NOM;NEUT;SG	N;NOM;FEM;SG
mieste	strona	miesto	strona	N;NOM;NEUT;SG	N;NOM;FEM;SG
kráľa	króla	kráľ	król	N;ANIM;ACC;MASC;SG	N;ACC;MASC;SG
tam	tam	tam	tam	ADV	ADV
spoločnosť	społeczeństwo	spoločnosť	społeczeństwo	N;NOM;FEM;SG	N;NOM;NEUT;SG
spoločnosť	towarzystwo	spoločnosť	towarzystwo	N;NOM;FEM;SG	N;NOM;NEUT;SG
spoločnosť	towarzystwo	spoločnosť	towarzystwo	N;NOM;FEM;SG	N;NOM;NEUT;SG
spoločnosť	kompania	spoločnosť	kompania	N;NOM;FEM;SG	N;NOM;FEM;SG
spoločnosť	firma	spoločnosť	firma	N;NOM;FEM;SG	N;NOM;FEM;SG
spoločnosť	przedsiębiorstwo	spoločnosť	przedsiębiorstwo	N;NOM;FEM;SG	N;NOM;NEUT;SG
oblasť	region	oblasť	region	N;NOM;FEM;SG	N;NOM;MASC;SG
oblasť	teren	oblasť	teren	N;NOM;FEM;SG	N;NOM;MASC;SG
oblasť	powierzchnia	oblasť	powierzchnia	N;NOM;FEM;SG	N;NOM;FEM;SG
oblasť	obszar	oblasť	obszar	N;NOM;FEM;SG	N;NOM;MASC;SG
vek	wiek	vek	wiek	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
takmer	prawie	takmer	prawie	PART	PART
takmer	niemal	takmer	niemal	PART	PART
takmer	prawie	takmer	prawie	PART	PART
štadión	stadion	štadión	stadion	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
štadión	stadium	štadión	stadium	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
muži	mężczyźni	muž	mężczyzna	N;ANIM;NOM;MASC;PL	N;NOM;MASC;PL
muži	faceci	muž	facet	N;ANIM;NOM;MASC;PL	N;NOM;MASC;PL
muži	mężczyźni	muž	mężczyzna	N;ANIM;NOM;MASC;PL	N;NOM;MASC;PL
októbra	października	október	październik	N;INAN;GEN;MASC;SG	N;GEN;MASC;SG
život	dożywocie	život	dożywocie	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
život	życie	život	życie	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
dňa	dnia	deň	dzień	N;INAN;GEN;MASC;SG	N;GEN;MASC;SG
národné	krajowa	národný	krajowy	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
národné	krajowe	národný	krajowy	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
národné	national	národný	national	ADJ;NOM;NEUT;SG	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
národné	narodowy	národný	narodowy	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
národné	krajowy	národný	krajowy	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
center	środek	center	środek	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
center	ośrodek	center	ośrodek	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
syn	syn	syn	syn	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
dĺžka	długość	dĺžka	długość	N;NOM;FEM;SG	N;NOM;FEM;SG
augusta	sierpnia	augusta	sierpień	N;INAN;GEN;MASC;SG	N;GEN;MASC;SG
veľké	duża	veľký	duży	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
veľké	duży	veľký	duży	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
veľké	duże	veľký	duży	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
veľké	duża	veľký	duży	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
veľké	duże	veľký	duży	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
veľké	wielka	veľký	wielki	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
veľké	duży	veľký	duży	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
veľké	wielki	veľký	wielki	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
