aturar	stå	aturar	stå	V	V;IMP;FIN;ACT
xornada	day	xornada	day	N	N;NOM;INDF;NEUT;SG
balbordo	tjafs	balbordo	tjafs	N	N;NOM;INDF;NEUT;SG
loitei	slogs	loitei	slå	V	V;IND;PST;FIN;PASS
loitei	kämpat	loitei	kämpa	V	V;V.CVB;ACT
loitei	kämpade	loitei	kämpa	V	V;IND;PST;FIN;ACT
loitei	slagits	loitei	sla	V	V;V.CVB;PASS
tiros	shot	tiro	shot	N	N;NOM;INDF;MASC+FEM;SG
tiros	skott	tiro	skott	N	N;NOM;INDF;NEUT;SG
tiros	skott	tiro	skott	N	N;NOM;INDF;NEUT;SG
tiros	shots	tiro	shots	N	N;NOM;INDF;NEUT;SG
axudala	hjälp	axudala	hjälp	N	N;NOM;INDF;MASC+FEM;SG
axudala	her	axudala	her	N	N;NOM;INDF;MASC+FEM;SG
mariñeiro	sailor	mariñeiro	saila	N	N;NOM;INDF;MASC+FEM;PL
mariñeiro	sjöman	mariñeiro	sjöma	N	N;NOM;INDF;MASC+FEM;SG
enfronte	fram	enfronte	fram	ADV	ADV
durmo	sova	durmo	sova	V	V;IMP;FIN;ACT
durmo	sov	durmo	sov	V	V;IMP;FIN;ACT
honorable	hedervärda	honorable	hedervärda	ADJ	ADJ;NOM;PL
honorable	ärade	honorable	ärade	ADJ	ADJ;NOM;PL;PST;V.PTCP
vagóns	bilar	vagón	bil	N	N;NOM;INDF;MASC+FEM;PL
vagóns	tåget	vagón	tågen	N	N;NOM;DEF;NEUT;SG
vagóns	train	vagón	train	N	N;NOM;INDF;MASC+FEM;SG
vagóns	tåg	vagón	tåg	N	N;NOM;INDF;NEUT;SG
coroación	kröning	coroación	kröning	N	N;NOM;INDF;MASC+FEM;SG
quedes	stanna	quedes	stanna	V	V;IMP;FIN;ACT
quedes	stå	quedes	stå	V	V;IMP;FIN;ACT
douche	ge	douche	ge	V	V;IMP;FIN;ACT
douche	giv	douche	giv	V	V;IMP;FIN;ACT
pódolle	can	pódoller	can	N	N;NOM;INDF;MASC+FEM;SG
maletas	förpackning	maleta	förpackning	N	N;NOM;INDF;MASC+FEM;SG
maletas	flock	maleta	flock	N	N;NOM;INDF;MASC+FEM;SG
maletas	pack	maleta	pack	N	N;NOM;INDF;NEUT;SG
maletas	rättsfall	maleta	rättsfall	N	N;NOM;INDF;NEUT;PL
maletas	fall	maleta	fall	N	N;NOM;INDF;NEUT;SG
maletas	ärenden	maleta	ärende	N	N;NOM;INDF;NEUT;PL
marchen	marschera	marchar	marschera	V	V;IMP;FIN;ACT
atreves	vågar	atrever	våga	V	V;IND;PRS;FIN;ACT
atreves	våga	atrever	våga	V	V;IMP;FIN;ACT
atreves	törs	atrever	töra	V	V;IND;FIN;PASS
choro	gråt	choro	gråt	N	N;NOM;INDF;MASC+FEM;SG
impórtache	mind	impórtache	mind	N	N;NOM;INDF;MASC+FEM;SG
impórtache	sinnet	impórtache	sinne	N	N;NOM;DEF;NEUT;SG
impórtache	sinne	impórtache	sinna	N	N;NOM;INDF;NEUT;SG
cortes	stall	corte	stall	N	N;NOM;INDF;NEUT;SG
cortes	stallet	corte	stall	N	N;NOM;DEF;NEUT;SG
católico	katolsk	católico	katolsk	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
católico	katolska	católico	katolsk	ADJ	ADJ;NOM;PL
católico	katolik	católico	katolik	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
sacerdote	präst	sacerdote	präst	N	N;NOM;INDF;MASC+FEM;SG
sacerdote	predikant	sacerdote	predikant	N	N;NOM;INDF;MASC+FEM;SG
sacerdote	präst	sacerdote	präst	N	N;NOM;INDF;MASC+FEM;SG
ficas	stanna	fica	stanna	V	V;IMP;FIN;ACT
indios	indier	indio	indi	N	N;NOM;INDF;NEUT;SG
indios	indianer	indio	indian	N	N;NOM;INDF;MASC+FEM;PL
indios	indianerna	indio	indian	N	N;NOM;DEF;MASC+FEM;PL
deixarnos	ledighet	deixarno	ledighet	N	N;NOM;INDF;MASC+FEM;SG
delegados	delegaterna	delegado	delegat	N	N;NOM;DEF;MASC+FEM;PL
delegados	delegater	delegado	delegat	N	N;NOM;INDF;MASC+FEM;PL
brancas	vita	branco	vit	ADJ	ADJ;NOM;PL
brancas	vit	branco	vit	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
brancas	vitt	branco	vitt	ADJ	ADJ;NOM;INDF;NEUT;SG
erguédevos	bättre	erguédevo	bra	ADJ	ADJ;NOM;CMPR
erguédevos	få	erguédevo	få	ADJ	ADJ;NOM;INDF;PL
irmandade	broderskap	irmandade	broderskap	N	N;NOM;INDF;NEUT;SG
irmandade	brödraskap	irmandade	brödraskap	N	N;NOM;INDF;NEUT;SG
irmandade	brödraskapet	irmandade	brödraskap	N	N;NOM;DEF;NEUT;SG
irmandade	kvinnoförening	irmandade	kvinnoförening	N	N;NOM;INDF;MASC+FEM;SG
compaña	sällskap	compaña	sällskap	N	N;NOM;INDF;NEUT;SG
compaña	bolag	compaña	bolag	N	N;NOM;INDF;NEUT;SG
compaña	företag	compaña	företag	N	N;NOM;INDF;NEUT;PL
compaña	företaget	compaña	företag	N	N;NOM;DEF;NEUT;SG
cabana	hytt	cabanar	hytt	N	N;NOM;INDF;MASC+FEM;SG
cabana	stugan	cabanar	stuga	N	N;NOM;DEF;MASC+FEM;SG
cabana	stuga	cabanar	stuga	N	N;NOM;INDF;MASC+FEM;SG
berres	don	berre	don	N	N;NOM;INDF;MASC+FEM;SG
dezasete	sjutton	dezasete	sjutton	NUM	NUM;NOM
victoria	segern	victoria	seger	N	N;NOM;DEF;MASC+FEM;SG
victoria	seger	victoria	sega	N	N;NOM;INDF;MASC+FEM;SG
crees	tror	cree	tro	V	V;IND;PRS;FIN;ACT
crees	tycker	cree	tycka	V	V;IND;PRS;FIN;ACT
crees	tänk	cree	tänka	V	V;IMP;FIN;ACT
crees	tänka	cree	tänka	V	V;IMP;FIN;ACT
luvas	handskar	luva	handskar	N	N;NOM;INDF;MASC+FEM;PL
decreto	dekret	decreto	dekr	N	N;NOM;INDF;NEUT;SG
acusacións	beskyllningar	acusación	beskyllning	N	N;NOM;INDF;MASC+FEM;PL
acusacións	anklagelser	acusación	anklagelse	N	N;NOM;INDF;MASC+FEM;PL
acusacións	laddningar	acusación	laddning	N	N;NOM;INDF;MASC+FEM;PL
acusacións	avgifter	acusación	avgift	N	N;NOM;INDF;MASC+FEM;PL
pasalo	skoj	pasalo	skoj	N	N;NOM;INDF;NEUT;SG
vindo	komma	vir	komma	V	V;IMP;FIN;ACT
vindo	kommer	vir	komma	V	V;IND;PRS;FIN;ACT
vindo	kommer	vir	komma	V	V;IND;PRS;FIN;ACT
vindo	kom	vir	komma	V	V;IMP;FIN;ACT
bagdad	bagdad	bagdar	bagdad	N	N;NOM;DEF;MASC+FEM;SG
cervo	hjortar	cervo	hjort	N	N;NOM;INDF;MASC+FEM;PL
cervo	rådjur	cervo	rådjur	N	N;NOM;INDF;NEUT;PL
cervo	hjort	cervo	hjort	N	N;NOM;INDF;MASC+FEM;SG
cervo	stag	cervo	stag	N	N;NOM;INDF;NEUT;SG
quixeches	sökes	quixeche	söka	V	V;IND;PRS;FIN;PASS
xenerosa	generöst	xeneroso	generösa	ADJ	ADJ;NOM;INDF;NEUT;SG
xenerosa	generös	xeneroso	generös	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
xenerosa	generösa	xeneroso	generösa	ADJ	ADJ;NOM;PL
culto	kult	culto	kult	N	N;NOM;INDF;MASC+FEM;SG
culto	sekt	culto	sek	N	N;NOM;INDF;MASC+FEM;SG
irlandesa	irländskt	irlandesa	irländsk	ADJ	ADJ;NOM;INDF;NEUT;SG
irlandesa	irländsk	irlandesa	irländsk	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
irlandesa	irländska	irlandesa	irländsk	ADJ	ADJ;NOM;PL
déronme	gav	déronme	ge	V	V;IMP;PST;FIN;ACT
lagoa	lagunen	lagoa	lagun	N	N;NOM;DEF;MASC+FEM;SG
meniña	little	meniña	littal	N	N;NOM;INDF;MASC+FEM;SG
meniña	flicka	meniña	flicka	N	N;NOM;INDF;MASC+FEM;SG
meniña	tjej	meniña	tjej	N	N;NOM;INDF;MASC+FEM;SG
católicos	katolsk	católico	katolsk	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
católicos	katolska	católico	katolsk	ADJ	ADJ;NOM;PL
católicos	katolik	católico	katolik	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
pasear	promenera	pasear	promenera	V	V;IMP;FIN;ACT
clans	klan	clan	klan	N	N;NOM;INDF;MASC+FEM;SG
clans	klanen	clan	klan	N	N;NOM;DEF;MASC+FEM;SG
clans	klanerna	clan	klan	N	N;NOM;DEF;MASC+FEM;PL
marquesa	markisinnan	marquesa	markisinnan	N	N;NOM;DEF;MASC+FEM;SG
cuarteto	kvartetten	cuarteto	kvartett	N	N;NOM;DEF;MASC+FEM;SG
corría	springa	corría	springa	V	V;IMP;FIN;ACT
corría	kör	corría	köra	V	V;IMP;FIN;ACT
ensino	undervisning	ensino	undervisning	N	N;NOM;INDF;MASC+FEM;SG
informática	datorn	informática	dator	N	N;NOM;DEF;MASC+FEM;SG
informática	dator	informática	dator	N	N;NOM;INDF;MASC+FEM;SG
técnicas	tekniker	técnica	teknik	N	N;NOM;INDF;MASC+FEM;PL
técnicas	teknik	técnica	teknik	N	N;NOM;INDF;MASC+FEM;SG
veterinarios	veterinärer	veterinario	veterinär	N	N;NOM;INDF;MASC+FEM;PL
confesión	bikt	confesión	bikt	N	N;NOM;INDF;MASC+FEM;SG
confesión	bekännelse	confesión	bekännelse	N	N;NOM;INDF;MASC+FEM;SG
loitan	slåss	loitar	slåss	V	V;FIN;PASS
loitan	kämpa	loitar	kämpa	V	V;IMP;FIN;ACT
loitan	kämpar	loitar	kämp	V	V;IND;PRS;FIN;ACT
loitan	slåss	loitar	slåss	V	V;FIN;PASS
loitan	strida	loitar	strida	V	V;IMP;NFIN;ACT
loitan	kämpa	loitar	kämpa	V	V;IMP;FIN;ACT
medicinas	medicin	medicina	medicin	N	N;NOM;INDF;MASC+FEM;SG
medicinas	läkemedel	medicina	läkemedel	N	N;NOM;INDF;NEUT;PL
perden	förlorar	perder	förlora	V	V;IND;PRS;FIN;ACT
perden	förlora	perder	förlora	V	V;IMP;FIN;ACT
perden	mista	perder	mista	V	V;IMP;FIN;ACT
culturas	kulturer	cultura	kultur	N	N;NOM;INDF;MASC+FEM;PL
culturas	kulturerna	cultura	kultur	N	N;NOM;DEF;MASC+FEM;PL
interpretación	tolkningen	interpretación	tolkning	N	N;NOM;DEF;MASC+FEM;SG
interpretación	tolkning	interpretación	tolkning	N	N;NOM;INDF;MASC+FEM;SG
escoitan	lyssnade	escoitar	lyssnad	V	V;IND;PST;V.PTCP;ACT
escoitan	lyssnar	escoitar	lyssna	V	V;IND;PRS;FIN;ACT
dinámica	dynamic	dinámica	dynamic	N	N;NOM;INDF;MASC+FEM;SG
dinámica	dynamiken	dinámica	dynamik	N	N;NOM;DEF;MASC+FEM;SG
dinámica	dynamik	dinámica	dynamik	N	N;NOM;INDF;MASC+FEM;SG
dinámica	dynamics	dinámica	dynamics	N	N;NOM;INDF;MASC+FEM;SG
populares	populärt	popular	populär	ADJ	ADJ;NOM;INDF;NEUT;SG
populares	populär	popular	populär	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
populares	populära	popular	populär	ADJ	ADJ;NOM;PL
aumenta	will	aumentar	will	V	V;IMP;FIN;ACT
aumenta	kommer	aumentar	komma	V	V;IND;PRS;FIN;ACT
aumenta	öka	aumentar	öka	V	V;IMP;FIN;ACT
sida	aids	sida	aid	N	N;NOM;INDF;NEUT;SG
sida	hjälpmedel	sida	hjälpmedel	N	N;NOM;INDF;NEUT;SG
similar	likartade	similar	likartad	ADJ	ADJ;NOM;PL
similar	liknande	similar	liknande	ADJ	ADJ;NOM;PRS;V.PTCP
espectadores	tittare	espectador	titta	N	N;NOM;INDF;MASC+FEM;PL
espectadores	tittarna	espectador	titta	N	N;NOM;DEF;MASC+FEM;PL
decateime	insåg	decateime	inse	V	V;IMP;FIN;ACT
saibas	vet	saber	veta	V	V;IND;PRS;FIN;ACT
saibas	veta	saber	veta	V	V;IMP;FIN;ACT
garantía	garanti	garantía	garanti	N	N;NOM;INDF;MASC+FEM;SG
bambú	bambu	bambú	bambu	N	N;NOM;INDF;MASC+FEM;SG
falsos	falsk	falso	falsk	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
falsos	falska	falso	falsk	ADJ	ADJ;NOM;PL
falsos	falskt	falso	falsk	ADJ	ADJ;NOM;INDF;NEUT;SG
pensaban	tyckte	pensabar	tycka	V	V;IND;PST;FIN;ACT
pensaban	trodde	pensabar	tro	V	V;IND;PST;FIN;ACT
pensaban	tänkte	pensabar	tänka	V	V;IND;PST;FIN;ACT
pódense	can	pódense	can	N	N;NOM;INDF;MASC+FEM;SG
xulgado	domstolen	xulgado	domstol	N	N;NOM;DEF;MASC+FEM;SG
xulgado	revisionsrätten	xulgado	revisionsrätt	N	N;NOM;DEF;MASC+FEM;SG
xulgado	domstol	xulgado	domstol	N	N;NOM;INDF;MASC+FEM;SG
extensión	förlängning	extensión	förlängning	N	N;NOM;INDF;MASC+FEM;SG
extensión	utökning	extensión	utökning	N	N;NOM;INDF;MASC+FEM;SG
extensión	utbyggnad	extensión	utbyggnad	N	N;NOM;INDF;MASC+FEM;SG
extensión	utvidgning	extensión	utvidgning	N	N;NOM;INDF;MASC+FEM;SG
expansión	utökning	expansión	utökning	N	N;NOM;INDF;MASC+FEM;SG
expansión	utbyggnad	expansión	utbyggnad	N	N;NOM;INDF;MASC+FEM;SG
expansión	expansion	expansión	expansion	N	N;NOM;INDF;MASC+FEM;SG
expansión	utvidgning	expansión	utvidgning	N	N;NOM;INDF;MASC+FEM;SG
azar	chance	azar	chance	N	N;NOM;INDF;MASC+FEM;SG
azar	slumpen	azar	slump	N	N;NOM;DEF;MASC+FEM;SG
azar	chans	azar	chans	N	N;NOM;INDF;MASC+FEM;SG
necesitan	behöver	necesitar	behöva	V	V;IND;PRS;FIN;ACT
organizacións	organisationer	organización	organisation	N	N;NOM;INDF;MASC+FEM;PL
individual	individuell	individual	individuell	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
individual	individuella	individual	individuell	ADJ	ADJ;NOM;PL
web	webbplatsen	web	pebbplats	N	N;NOM;DEF;MASC+FEM;SG
web	webbsida	web	webbsida	N	N;NOM;INDF;MASC+FEM;SG
web	hemsidan	web	hemsida	N	N;NOM;DEF;MASC+FEM;SG
web	hemsida	web	hemsida	N	N;NOM;INDF;MASC+FEM;SG
web	webbplats	web	pebbplats	N	N;NOM;INDF;MASC+FEM;SG
web	webb	web	webb	N	N;NOM;INDF;MASC+FEM;SG
web	web	web	web	N	N;NOM;INDF;MASC+FEM;SG
web	webben	web	Bebben	N	N;NOM;DEF;MASC+FEM;SG
novamente	igen	novamente	igen	ADV	ADV
novamente	återigen	novamente	återigen	ADV	ADV
intres	moments	intres	moment	N	N;NOM;INDF;NEUT;SG
intres	stunder	intres	stund	N	N;NOM;INDF;MASC+FEM;PL
intres	ögonblick	intres	ögonblick	N	N;NOM;INDF;NEUT;SG
intres	ögonblicken	intres	ögonblick	N	N;NOM;DEF;MASC+FEM;SG
específico	specifik	específico	specifik	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
específico	specifika	específico	specifik	ADJ	ADJ;NOM;PL
específico	särskilda	específico	särskild	ADJ	ADJ;NOM;PL;PST;V.PTCP
ordenadores	datorer	ordenador	dator	N	N;NOM;INDF;MASC+FEM;PL
ordenadores	datorn	ordenador	dator	N	N;NOM;DEF;MASC+FEM;SG
ordenadores	dator	ordenador	dator	N	N;NOM;INDF;MASC+FEM;SG
estatísticas	statistiken	estatística	statistik	N	N;NOM;DEF;MASC+FEM;SG
estatísticas	statistik	estatística	statistik	N	N;NOM;INDF;MASC+FEM;SG
fiel	trofast	fiel	trofast	N	N;NOM;INDF;MASC+FEM;SG
capturado	fångade	capturado	fånga	V	V;NOM;PL;PST;V.PTCP
trece	thirteen	trecer	thirt	N	N;NOM;INDF;NEUT;SG
lémbrame	påminns	lémbrame	påminn	V	V;IND;PRS;FIN;PASS
lémbrame	påminner	lémbrame	påminna	V	V;IND;PRS;FIN;ACT
características	funktioner	característica	funktion	N	N;NOM;INDF;MASC+FEM;PL
características	karakteristika	característica	karakteristik	N	N;NOM;INDF;MASC+FEM;PL
características	särdrag	característica	särdrag	N	N;NOM;INDF;NEUT;PL
características	kännetecken	característica	kännetecken	N	N;NOM;INDF;NEUT;PL
características	egenskaper	característica	egenskap	N	N;NOM;INDF;MASC+FEM;PL
residencia	vistelse	residencia	vistelse	N	N;NOM;INDF;MASC+FEM;SG
residencia	hemvist	residencia	hemvist	N	N;NOM;INDF;MASC+FEM;SG
residencia	bosättning	residencia	bosättning	N	N;NOM;INDF;MASC+FEM;SG
residencia	bostad	residencia	bostad	N	N;NOM;INDF;MASC+FEM;SG
paran	stanna	parar	stanna	V	V;IMP;FIN;ACT
paran	sluta	parar	sluta	V	V;IMP;FIN;ACT
paran	stoppa	parar	stoppa	V	V;IMP;FIN;ACT
pensara	tror	pensar	tro	V	V;IND;PRS;FIN;ACT
pensara	tycker	pensar	tycka	V	V;IND;PRS;FIN;ACT
pensara	tänk	pensar	tänka	V	V;IMP;FIN;ACT
pensara	tänka	pensar	tänka	V	V;IMP;FIN;ACT
pensara	tyckte	pensar	tycka	V	V;IND;PST;FIN;ACT
pensara	trodde	pensar	tro	V	V;IND;PST;FIN;ACT
pensara	tänkte	pensar	tänka	V	V;IND;PST;FIN;ACT
calefacción	heat	calefacción	heat	N	N;NOM;INDF;NEUT;SG
calefacción	värme	calefacción	värme	N	N;NOM;INDF;MASC+FEM;SG
calefacción	uppvärmning	calefacción	uppvärmning	N	N;NOM;INDF;MASC+FEM;SG
calefacción	upphettning	calefacción	upphettning	N	N;NOM;INDF;MASC+FEM;SG
calefacción	värme	calefacción	värme	N	N;NOM;INDF;MASC+FEM;SG
respondeu	besvarades	responder	besvara	V	V;IND;PST;FIN;PASS
respondeu	svarade	responder	svara	V	V;IND;PST;FIN;ACT
décadas	årtionden	década	årtiond	N	N;NOM;DEF;MASC+FEM;SG
décadas	decennier	década	decennium	N	N;NOM;INDF;NEUT;PL
enfermos	sjukt	enfermo	sjuk	N	N;NOM;INDF;MASC+FEM;SG
compartimos	dela	compartir	dela	V	V;IMP;FIN;ACT
compartimos	delats	compartir	delata	V	V;V.CVB;PASS
compartimos	delas	compartir	dela	V	V;IND;PRS;FIN;PASS
redución	reduktion	redución	reduktion	N	N;NOM;INDF;MASC+FEM;SG
redución	minskning	redución	minskning	N	N;NOM;INDF;MASC+FEM;SG
redución	reducering	redución	reducering	N	N;NOM;INDF;MASC+FEM;SG
redución	nedsättning	redución	nedsättning	N	N;NOM;INDF;MASC+FEM;SG
arder	brinner	arder	brinna	V	V;IND;PRS;FIN;ACT
arder	bränna	arder	bränna	V	V;IMP;FIN;ACT
arder	bränn	arder	bränn	V	V;IMP;FIN;ACT
arder	bränna	arder	bränna	V	V;IMP;FIN;ACT
arder	bränner	arder	bränna	V	V;IND;PRS;FIN;ACT
volcán	vulkan	volcán	vulkan	N	N;NOM;INDF;MASC+FEM;SG
kg	pund	kg	pund	N	N;NOM;INDF;NEUT;SG
kg	kilo	kg	kilo	N	N;NOM;INDF;NEUT;SG
oriental	östra	oriental	östra	ADJ	ADJ;NOM;DEF;SG
oriental	östlig	oriental	östlig	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
oriental	orientaliska	oriental	orientalisk	ADJ	ADJ;NOM;PL
violín	fiol	violín	fiol	N	N;NOM;INDF;MASC+FEM;SG
sufriu	lidit	sufrir	lida	V	V;V.CVB;ACT
usado	använda	usar	använda	V	V;IMP;FIN;ACT
usado	använt	usar	använda	V	V;V.CVB;ACT
usado	används	usar	använda	V	V;IND;PRS;FIN;PASS
explorar	utforska	explorar	utforsk	V	V;IMP;FIN;ACT
explorar	utforskar	explorar	utforska	V	V;IND;PRS;FIN;ACT
explorar	utforska	explorar	utforsk	V	V;IMP;FIN;ACT
xeralmente	generellt	xeral	generellt	ADV	ADV
teléfonos	smartphones	teléfono	smartphon	N	N;NOM;INDF;MASC+FEM;SG
teléfonos	telefoner	teléfono	telefon	N	N;NOM;INDF;MASC+FEM;PL
estruturas	strukturerna	estrutura	struktur	N	N;NOM;DEF;MASC+FEM;PL
estruturas	konstruktioner	estrutura	konstruktion	N	N;NOM;INDF;MASC+FEM;PL
estruturas	strukturer	estrutura	struktur	N	N;NOM;INDF;MASC+FEM;PL
fusión	fusion	fusión	fusion	N	N;NOM;INDF;NEUT;SG
suma	summan	suma	summan	N	N;NOM;DEF;MASC+FEM;SG
suma	sum	suma	sum	N	N;NOM;INDF;NEUT;SG
suma	summa	suma	summa	N	N;NOM;INDF;MASC+FEM;SG
mentais	mental	mental	mental	N	N;NOM;INDF;MASC+FEM;SG
tanque	stridsvagn	tanque	stridsvagn	N	N;NOM;INDF;NEUT;SG
tanque	tank	tanque	tank	N	N;NOM;INDF;MASC+FEM;SG
eventos	händelser	evento	händelse	N	N;NOM;INDF;MASC+FEM;PL
eventos	evenemang	evento	evenemang	N	N;NOM;INDF;NEUT;SG
axenda	dagordning	axenda	dagordning	N	N;NOM;INDF;MASC+FEM;SG
axenda	dagordningen	axenda	dagordning	N	N;NOM;DEF;MASC+FEM;SG
axenda	agenda	axenda	agend	N	N;NOM;INDF;MASC+FEM;SG
axenda	agendan	axenda	agenda	N	N;NOM;DEF;NEUT;SG
bancos	banks	banco	banks	N	N;NOM;INDF;MASC+FEM;SG
bancos	bankerna	banco	bank	N	N;NOM;DEF;MASC+FEM;PL
