mistério	geheimnis	mistério	geheimnis	N;MASC;SG	N;NOM;NEUT;SG
secreto	geheimnis	secreto	geheimnis	N;MASC;SG	N;NOM;NEUT;SG
animado	animiert	animar	animieren	V;MASC;SG;V.PTCP	V;V.PTCP
animado	erregt	animar	erregen	V;MASC;SG;V.PTCP	V;V.PTCP
localizados	lokalisiert	localizar	lokalisieren	V;MASC;PL;V.PTCP	V;V.PTCP
localizados	lokalisiert	localizar	lokalisieren	V;MASC;PL;V.PTCP	V;V.PTCP
localizados	lokalisiert	localizar	lokalisieren	V;MASC;PL;V.PTCP	V;V.PTCP
son	sohn	son	sohnen	N;MASC;SG	N;NOM;MASC;SG
germânico	germanistik	germânico	germanistik	ADJ;MASC;SG	ADJ
germânico	germanischen	germânico	germanisch	ADJ;MASC;SG	ADJ
ângulo	blickwinkel	ângulo	blickwinkel	N;MASC;SG	N
típica	typisches	típico	typisch	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
típica	typischer	típico	typisch	ADJ;FEM;SG	ADJ
típica	typisch	típico	typisch	ADJ;FEM;SG	ADJ
típica	typischen	típico	typisch	ADJ;FEM;SG	ADJ
vivendo	leben	viver	leben	V;V.MSDR	V;NFIN
vivendo	wohnen	viver	wohnen	V;V.MSDR	V;NFIN
famosas	berühmter	famoso	berühmt	ADJ;FEM;PL	ADJ
famosas	berühmte	famoso	berühmt	ADJ;FEM;PL	ADJ;NOM;PL
famosas	berühmt	famoso	berühmt	ADJ;FEM;PL	ADJ
famosas	berühmten	famoso	berühmt	ADJ;FEM;PL	ADJ;PL
metais	metalle	metal	metall	N;MASC;PL	N;NOM;PL
metais	metalle	metal	metall	N;MASC;PL	N;NOM;PL
abandonado	aufgegeben	abandonar	aufgeben	V;MASC;SG;V.PTCP	V;V.PTCP
abandonado	verlassen	abandonar	verlassen	V;MASC;SG;V.PTCP	V;NFIN
abandonado	stillgelegt	abandonar	stilllegen	V;MASC;SG;V.PTCP	V;V.PTCP
abandonado	zurückgelassen	abandonar	zurücklassen	V;MASC;SG;V.PTCP	V;V.PTCP
existiam	bestanden	existir	bestehen	V;IND;PL;3;IPFV;FIN	V;V.PTCP
obtendo	holen	obter	holen	V;V.MSDR	V;NFIN
obtendo	abrufen	obter	abrufen	V;V.MSDR	V;NFIN
obtendo	bekommen	obter	bekommen	V;V.MSDR	V;NFIN
dick	schwanz	dick	schwanzen	N;MASC;SG	N
guitarras	gitarren	guitarra	gitarr	N;FEM;PL	N;NOM;FEM;PL
determinação	bestimmung	determinação	bestimmung	N;FEM;SG	N;NOM;FEM;SG
minerais	mineralien	mineral	mineralien	N;MASC;PL	N;NOM;FEM;PL
minerais	mineralien	mineral	mineralien	N;MASC;PL	N;NOM;FEM;PL
separado	getrennt	separar	trennen	V;MASC;SG;V.PTCP	V;V.PTCP
separado	abgetrennt	separar	abtrennen	V;MASC;SG;V.PTCP	V;V.PTCP
separado	getrennt	separar	trennen	V;MASC;SG;V.PTCP	V;V.PTCP
separado	getrennt	separar	trennen	V;MASC;SG;V.PTCP	V;V.PTCP
separado	trennen	separar	trennen	V;MASC;SG;V.PTCP	V;NFIN
secret	geheimnis	secret	geheimnis	N;MASC;SG	N;NOM;NEUT;SG
analisar	auswerten	analisar	auswerten	V;NFIN	V;NFIN
analisar	analysieren	analisar	analysieren	V;NFIN	V;NFIN
analisar	analysieren	analisar	analysieren	V;NFIN	V;NFIN
comentou	kommentierte	comentar	kommentieren	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
comentou	kommentiert	comentar	kommentieren	V;IND;SG;3;PST;FIN	V;V.PTCP
comentou	bemerkte	comentar	bemerkt	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
melhoria	verbesserung	melhoria	verbesserung	N;FEM;SG	N;NOM;FEM;SG
oral	orale	oral	oral	N;MASC;SG	N;NOM;FEM;SG
estimado	geschätzte	estimado	geschätzt	V;MASC;SG;V.PTCP	V;IND;SG;3;PST;FIN
estimado	geschätzt	estimado	schätzen	V;MASC;SG;V.PTCP	V;V.PTCP
estimado	schätzungen	estimado	schätzen	V;MASC;SG;V.PTCP	V;NFIN
resolve	lösen	resolver	lösen	V;IND;SG;3;PRS;FIN	V;NFIN
resolve	löst	resolver	lösen	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
vilas	gemeinden	vila	gemeinden	N;FEM;PL	N;NOM;FEM;PL
vilas	städte	vila	staden	N;FEM;PL	N;NOM;FEM;PL
assembléia	montage	assembléia	montag	N;FEM;SG	N;NOM;SG
assembléia	versammlung	assembléia	versammlung	N;FEM;SG	N;NOM;FEM;SG
movido	verschoben	mover	verschieben	V;MASC;SG;V.PTCP	V;V.PTCP
movido	zog	mover	ziehen	V;MASC;SG;V.PTCP	V;IND;SG;3;PST;FIN
movido	bewegte	mover	bewegt	V;MASC;SG;V.PTCP	V;IND;SG;3;PST;FIN
movido	bewegt	mover	bewegen	V;MASC;SG;V.PTCP	V;IND;SG;3;PRS;FIN
movido	umgezogen	mover	umziehen	V;MASC;SG;V.PTCP	V;V.PTCP
agir	handeln	agir	handeln	V;NFIN	V;NFIN
renascimento	belebung	renascimento	belebung	N;MASC;SG	N
renascimento	wiederbelebung	renascimento	wiederbelebung	N;MASC;SG	N;NOM;FEM;SG
renascimento	aufschwung	renascimento	aufschwang	N;MASC;SG	N
colonos	kolonisten	colono	kolonist	N;MASC;PL	N;NOM;PL
galo	schwanz	galo	schwanzen	N;MASC;SG	N
determinados	bestimmt	determinar	bestimmen	V;MASC;PL;V.PTCP	V;V.PTCP
determinados	ermittelt	determinar	ermitteln	V;MASC;PL;V.PTCP	V;V.PTCP
determinados	entschlossen	determinar	entschlossen	V;MASC;PL;V.PTCP	V;V.PTCP
reuniões	tagungen	reunião	tagung	N;FEM;PL	N;NOM;FEM;PL
reuniões	versammlungen	reunião	versammlingen	N;FEM;PL	N;NOM;FEM;PL
sabendo	wissen	saber	wissen	V;V.MSDR	V;NFIN
capitais	großbuchstaben	capital	großbuchstaben	N;MASC;PL	N
piso	etage	piso	etag	N;MASC;SG	N;NOM;SG
pagina	seite	pagina	seit	N;FEM;SG	N
selvagem	wilder	selvagem	wilder	ADJ;MASC;SG	ADJ
transmitida	übermittelt	transmitir	übermitteln	V;FEM;SG;V.PTCP	V;V.PTCP
transmitida	übertragen	transmitir	übertragen	V;FEM;SG;V.PTCP	V;V.PTCP
transmitida	gesendet	transmitir	senden	V;FEM;SG;V.PTCP	V;V.PTCP
formatos	formate	formato	format	N;MASC;PL	N;NOM;PL
aceitação	abnahme	aceitação	abnehmen	N;FEM;SG	N;SG
recebem	empfangen	receber	empfangen	V;IND;PL;3;PRS;FIN	V;V.PTCP
sítios	standorte	sítio	standort	N;MASC;PL	N;NOM
sítios	plätze	sítio	platz	N;MASC;PL	N;NOM;MASC;PL
sítios	orte	sítio	ort	N;MASC;PL	N;NOM;MASC;PL
bandeiras	flaggen	bandeira	flaggen	N;FEM;PL	N;NOM;FEM;PL
túmulo	mausoleum	túmulo	mausoleum	N;MASC;SG	N;NOM;NEUT;SG
túmulo	grab	túmulo	grab	N;MASC;SG	N;NOM;NEUT;SG
túmulo	grabmal	túmulo	grabmal	N;MASC;SG	N;NOM;SG
túmulo	grab	túmulo	grab	N;MASC;SG	N;NOM;NEUT;SG
causada	verursachte	causar	verursachen	V;FEM;SG;V.PTCP	V;IND;SG;3;PST;FIN
causada	hervorgerufen	causar	hervorrufen	V;FEM;SG;V.PTCP	V;V.PTCP
causada	verursacht	causar	verursachen	V;FEM;SG;V.PTCP	V;V.PTCP
publicar	veröffentlichen	publicar	veröffentlichen	V;NFIN	V;NFIN
publicar	publizieren	publicar	publizieren	V;NFIN	V;NFIN
publicar	pfosten	publicar	pfosten	V;NFIN	V;NFIN
publicar	posten	publicar	posten	V;NFIN	V;FIN
publicar	posten	publicar	posten	V;NFIN	V;FIN
vencido	geschlagen	vencer	schlagen	V;MASC;SG;V.PTCP	V;V.PTCP
vencido	verprügelt	vencer	verprügeln	V;MASC;SG;V.PTCP	V;V.PTCP
vencido	besiegt	vencer	besiegen	V;MASC;SG;V.PTCP	V;V.PTCP
vencido	geschlagen	vencer	schlagen	V;MASC;SG;V.PTCP	V;V.PTCP
vencido	besiegen	vencer	besiegen	V;MASC;SG;V.PTCP	V;NFIN
vencido	besiegte	vencer	besiegen	V;MASC;SG;V.PTCP	V;IND;SG;3;PST;FIN
vencido	besiegt	vencer	besiegen	V;MASC;SG;V.PTCP	V;V.PTCP
gera	erzeugt	gerar	erzeugen	V;IND;SG;3;PRS;FIN	V;V.PTCP
gera	generiert	gerar	generiert	V;IND;SG;3;PRS;FIN	V;V.PTCP
gera	erzeugen	gerar	erzeugen	V;IND;SG;3;PRS;FIN	V;NFIN
gera	generieren	gerar	generieren	V;IND;SG;3;PRS;FIN	V;NFIN
atribuída	zugewiesen	atribuir	zuweisen	V;FEM;SG;V.PTCP	V;V.PTCP
atribuída	zugeteilt	atribuir	zuteilen	V;FEM;SG;V.PTCP	V;V.PTCP
atribuída	zugeordnet	atribuir	zuordnen	V;FEM;SG;V.PTCP	V;V.PTCP
atribuída	zurückgeführt	atribuir	zurückführen	V;FEM;SG;V.PTCP	V;V.PTCP
atribuída	zugeordnet	atribuir	zuordnen	V;FEM;SG;V.PTCP	V;V.PTCP
atribuída	zurückzuführen	atribuir	zurückführen	V;FEM;SG;V.PTCP	V;NFIN
atribuída	zugewiesen	atribuir	zuweisen	V;FEM;SG;V.PTCP	V;V.PTCP
atribuída	zugeschrieben	atribuir	zuschreiben	V;FEM;SG;V.PTCP	V;V.PTCP
roman	roman	roman	roman	N;MASC;SG	N;NOM;MASC;SG
aumentando	erhöhen	aumentar	erhöhen	V;V.MSDR	V;NFIN
coloração	färbung	coloração	färbung	N;FEM;SG	N;NOM;FEM;SG
coloração	färbung	coloração	färbung	N;FEM;SG	N;NOM;FEM;SG
coloração	färbung	coloração	färbung	N;FEM;SG	N;NOM;FEM;SG
expressa	ausdrückt	esprimir	ausdrücken	V;FEM;SG;V.PTCP	V;IND;SG;3;PRS;FIN
expressa	bekundet	esprimir	bekunden	V;FEM;SG;V.PTCP	V;V.PTCP
expressa	äußert	esprimir	äußern	V;FEM;SG;V.PTCP	V;IND;SG;3;PRS;FIN
expressa	drückt	esprimir	drücken	V;FEM;SG;V.PTCP	V;IND;SG;3;PRS;FIN
expressa	ausdrücken	esprimir	ausdrücken	V;FEM;SG;V.PTCP	V;NFIN
expressa	drückte	esprimir	drücken	V;FEM;SG;V.PTCP	V;IND;SG;3;PST;FIN
expressa	ausgedrückt	esprimir	ausdrücken	V;FEM;SG;V.PTCP	V;V.PTCP
enviados	verschickt	enviar	verschicken	V;MASC;PL;V.PTCP	V;V.PTCP
enviados	versendet	enviar	versenden	V;MASC;PL;V.PTCP	V;V.PTCP
enviados	ausgeliefert	enviar	ausliefern	V;MASC;PL;V.PTCP	V;V.PTCP
enviados	versandt	enviar	versandt	V;MASC;PL;V.PTCP	V;V.PTCP
enviados	boten	enviar	bieten	V;MASC;PL;V.PTCP	V;IND;PL;3;PST;FIN
enviados	verschickt	enviar	verschicken	V;MASC;PL;V.PTCP	V;V.PTCP
enviados	geschickt	enviar	schicken	V;MASC;PL;V.PTCP	V;V.PTCP
enviados	versendet	enviar	versenden	V;MASC;PL;V.PTCP	V;V.PTCP
enviados	gesendet	enviar	senden	V;MASC;PL;V.PTCP	V;V.PTCP
enviados	versandt	enviar	versandt	V;MASC;PL;V.PTCP	V;V.PTCP
saiba	wissen	saber	wissen	V;SBJV;SG;3;PRS;FIN	V;NFIN
saiba	kennen	saber	kennen	V;SBJV;SG;3;PRS;FIN	V;NFIN
divisa	währung	divisa	währung	N;FEM;SG	N;NOM;SG
reunir	versammelt	reunir	versammeln	V;NFIN	V;V.PTCP
reunir	versammeln	reunir	versammeln	V;NFIN	V;NFIN
reunir	sammeln	reunir	sammeln	V;NFIN	V;NFIN
pleno	voll	pleno	voll	ADJ;MASC;SG	ADJ
pleno	vollständig	pleno	vollständig	ADJ;MASC;SG	ADJ
acompanhar	begleiten	acompanhar	begleiten	V;NFIN	V;NFIN
acompanhar	begleitet	acompanhar	begleiten	V;NFIN	V;V.PTCP
plena	voll	pleno	voll	ADJ;FEM;SG	ADJ
plena	vollständig	pleno	vollständig	ADJ;FEM;SG	ADJ
citados	angeführt	citar	anführen	V;MASC;PL;V.PTCP	V;V.PTCP
citados	zitiert	citar	zitieren	V;MASC;PL;V.PTCP	V;V.PTCP
citados	notiert	citar	notieren	V;MASC;PL;V.PTCP	V;V.PTCP
citados	zitiert	citar	zitieren	V;MASC;PL;V.PTCP	V;V.PTCP
distribuído	vertrieben	distribuir	vertreiben	V;MASC;SG;V.PTCP	V;V.PTCP
distribuído	verteilen	distribuir	verteilen	V;MASC;SG;V.PTCP	V;NFIN
distribuído	verteilt	distribuir	verteilen	V;MASC;SG;V.PTCP	V;V.PTCP
variam	variieren	variar	variieren	V;IND;PL;3;PRS;FIN	V;NFIN
variam	variiert	variar	variieren	V;IND;PL;3;PRS;FIN	V;V.PTCP
destruída	zerstört	destruir	zerstören	V;FEM;SG;V.PTCP	V;V.PTCP
destruída	vernichtet	destruir	vernichten	V;FEM;SG;V.PTCP	V;V.PTCP
exclusiva	exklusiver	exclusivo	exklusiv	ADJ;FEM;SG	ADJ
exclusiva	exklusiven	exclusivo	exklusiv	ADJ;FEM;SG	ADJ
exclusiva	exklusives	exclusivo	exklusives	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
exclusiva	exklusiv	exclusivo	exklusiv	ADJ;FEM;SG	ADJ
lançamentos	pressemitteilungen	lançamento	pressemitteilungen	N;MASC;PL	N;NOM;FEM;PL
lançamentos	versionen	lançamento	versionen	N;MASC;PL	N;NOM;FEM;PL
lançamentos	veröffentlichungen	lançamento	veröffentlichung	N;MASC;PL	N;NOM;FEM;PL
restrições	zwänge	restrição	zwangen	N;FEM;PL	N;NOM;PL
desfile	umzug	desfilar	umzugen	N;MASC;SG	N;SG
pesos	gewichtungen	peso	gewichtung	N;MASC;PL	N;NOM;FEM;PL
inserção	einfügung	inserção	einfügung	N;FEM;SG	N;SG
diminuir	verringern	diminuir	verringern	V;NFIN	V;NFIN
atingindo	erreichen	atingir	erreichen	V;V.MSDR	V;NFIN
evil	böses	evil	böses	N;MASC;SG	N;NOM;NEUT;SG
premiado	verliehen	premiar	verleihen	V;MASC;SG;V.PTCP	V;V.PTCP
igualdade	gleichstellung	igualdade	gleichstellung	N;FEM;SG	N;NOM;FEM;SG
aonde	wo	aonde	wo	ADV	ADV
aonde	wohin	aonde	wohin	ADV	ADV
visitar	besuch	visitar	besuchen	V;NFIN	V;IND;SG;3;PST;FIN
visitar	besuchen	visitar	besuchen	V;NFIN	V;NFIN
capturado	eingefangen	capturar	einfangen	V;MASC;SG;V.PTCP	V;V.PTCP
capturado	erfasst	capturar	erfassen	V;MASC;SG;V.PTCP	V;V.PTCP
capturado	gefangen	capturar	fangen	V;MASC;SG;V.PTCP	V;V.PTCP
oposto	entgegengesetzt	oposto	entgegensetzen	ADJ;MASC;SG	ADJ;V.PTCP
edit	bearbeitung	edit	bearbeitung	N;MASC;SG	N;NOM;FEM;SG
primário	grundschule	primário	grundschule	N;MASC;SG	N;NOM;FEM;SG
coberta	erfaßt	cobrir	erfaßen	V;FEM;SG;V.PTCP	V;V.PTCP
coberta	gedeckt	cobrir	decken	V;FEM;SG;V.PTCP	V;V.PTCP
coberta	abgedeckt	cobrir	abdecken	V;FEM;SG;V.PTCP	V;V.PTCP
coberta	abgesichert	cobrir	absichern	V;FEM;SG;V.PTCP	V;V.PTCP
valley	tal	valley	tal	N;MASC;SG	N;NOM;NEUT;SG
defensores	anwälte	defensor	anwalten	N;MASC;PL	N;NOM;MASC;PL
lar	haus	lar	haus	N;MASC;SG	N;NOM;NEUT;SG
lar	heimat	lar	heimat	N;MASC;SG	N;FEM;SG
completou	abgeschlossen	completar	abschließen	V;IND;SG;3;PST;FIN	V;V.PTCP
completou	fertiggestellt	completar	fertigstellen	V;IND;SG;3;PST;FIN	V;V.PTCP
completou	beendet	completar	beenden	V;IND;SG;3;PST;FIN	V;V.PTCP
vasta	riesig	vasto	riesig	ADJ;FEM;SG	ADJ
acreditar	glaubt	acreditar	glauben	V;NFIN	V;IND;SG;3;PRS;FIN
acreditar	glauben	acreditar	glauben	V;NFIN	V;NFIN
concluída	abgeschlossen	concluído	abschließen	V;FEM;SG;V.PTCP	V;V.PTCP
concluída	fertiggestellt	concluído	fertigstellen	V;FEM;SG;V.PTCP	V;V.PTCP
concluída	beendet	concluído	beenden	V;FEM;SG;V.PTCP	V;V.PTCP
eleitores	kurfürsten	eleitor	kurfürst	N;MASC;PL	N;PL
qualificação	qualifizierung	qualificação	qualifizierung	N;FEM;SG	N;NOM;FEM;SG
qualificação	qualifikation	qualificação	qualifikation	N;FEM;SG	N;NOM;FEM;SG
qualificação	qualifizierung	qualificação	qualifizierung	N;FEM;SG	N;NOM;FEM;SG
qualificação	qualifikation	qualificação	qualifikation	N;FEM;SG	N;NOM;FEM;SG
concluído	abgeschlossen	concluir	abschließen	V;MASC;SG;V.PTCP	V;V.PTCP
concluído	fertiggestellt	concluir	fertigstellen	V;MASC;SG;V.PTCP	V;V.PTCP
concluído	beendet	concluir	beenden	V;MASC;SG;V.PTCP	V;V.PTCP
concluído	abgeschlossen	concluir	abschließen	V;MASC;SG;V.PTCP	V;V.PTCP
concluído	fertiggestellt	concluir	fertigstellen	V;MASC;SG;V.PTCP	V;V.PTCP
concluído	beendet	concluir	beenden	V;MASC;SG;V.PTCP	V;V.PTCP
concluído	erledigt	concluir	erledigen	V;MASC;SG;V.PTCP	V;V.PTCP
pátio	werft	pátio	werfen	N;MASC;SG	N;NOM;FEM;SG
fortificações	festungen	fortificação	festehen	N;FEM;PL	N;NOM;FEM;PL
fortificações	befestigungsanlagen	fortificação	befestigungsanlagen	N;FEM;PL	N;NOM;FEM;PL
holmes	holmes	holme	holm	N;MASC;SG	N;NOM;NEUT;SG
falado	sprach	falar	sprechen	V;MASC;SG;V.PTCP	V;IND;SG;3;PST;FIN
falado	gesprochen	falar	sprechen	V;MASC;SG;V.PTCP	V;V.PTCP
mina	bergwerk	mina	bergwerk	N;FEM;SG	N;NOM;NEUT;SG
circunstâncias	umstände	circunstância	umstehen	N;FEM;PL	N
circunstâncias	umstände	circunstância	umstehen	N;FEM;PL	N
abastecimento	beschaffung	abastecimento	beschaffung	N;MASC;SG	N;NOM;FEM;SG
abastecimento	versorgung	abastecimento	versorgung	N;MASC;SG	N;NOM;FEM;SG
residentes	einwohner	residente	einwohner	N;MASC;PL	N;NOM;MASC;PL
museus	sehenswürdigkeiten	museu	sehenswürdigkeiten	N;MASC;PL	N;NOM;FEM;PL
ferido	verletzte	ferir	verletzen	V;MASC;SG;V.PTCP	V;IND;SG;3;PST;FIN
ferido	verletzt	ferir	verletzen	V;MASC;SG;V.PTCP	V;V.PTCP
ferido	verletzte	ferir	verletzen	V;MASC;SG;V.PTCP	V;IND;SG;3;PST;FIN
ferido	verletzt	ferir	verletzen	V;MASC;SG;V.PTCP	V;V.PTCP
ferido	verwundete	ferir	verwunden	V;MASC;SG;V.PTCP	V;IND;SG;3;PST;FIN
ferido	verwundet	ferir	verwunden	V;MASC;SG;V.PTCP	V;V.PTCP
ferido	verletzen	ferir	verletzen	V;MASC;SG;V.PTCP	V;NFIN
ferido	verletzt	ferir	verletzen	V;MASC;SG;V.PTCP	V;V.PTCP
positivas	positiver	positivo	positiv	ADJ;FEM;PL	ADJ
positivas	positive	positivo	positiv	ADJ;FEM;PL	ADJ;NOM;FEM;PL
positivas	positiv	positivo	positiv	ADJ;FEM;PL	ADJ
positivas	positiven	positivo	positiv	ADJ;FEM;PL	ADJ
positivas	positiver	positivo	positiv	ADJ;FEM;PL	ADJ
positivas	positive	positivo	positiv	ADJ;FEM;PL	ADJ;NOM;FEM;PL
positivas	positiv	positivo	positiv	ADJ;FEM;PL	ADJ
positivas	positiven	positivo	positiv	ADJ;FEM;PL	ADJ
violação	verletzung	violação	verletzung	N;FEM;SG	N;FEM;SG
violação	bruch	violação	bruch	N;FEM;SG	N;SG
violação	verletzung	violação	verletzung	N;FEM;SG	N;FEM;SG
alcançando	erreichen	alcançar	erreichen	V;V.MSDR	V;NFIN
falsa	falschen	falso	falsch	ADJ;FEM;SG	ADJ
falsa	falsch	falso	falsch	ADJ;FEM;SG	ADJ
falsa	falsches	falso	falsch	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
falsa	fälschung	falso	fälschung	ADJ;FEM;SG	ADJ
manifestação	nachweis	manifestação	nachweis	N;FEM;SG	N
manifestação	demonstration	manifestação	demonstration	N;FEM;SG	N;NOM;SG
manifestação	vorführung	manifestação	vorführung	N;FEM;SG	N;FEM;SG
manifestação	kundgebung	manifestação	kundgebung	N;FEM;SG	N;SG
manifestação	kundgebung	manifestação	kundgebung	N;FEM;SG	N;SG
manifestação	manifestation	manifestação	manifestation	N;FEM;SG	N;NOM;FEM;SG
postura	haltung	postura	haltung	N;FEM;SG	N;NOM;FEM;SG
postura	haltung	postura	haltung	N;FEM;SG	N;NOM;FEM;SG
prof	professor	prof	professor	N;MASC;SG	N;NOM;MASC;SG
exige	erfordert	exigir	erfordern	V;IND;SG;3;PRS;FIN	V;SG;FIN
exige	benötigt	exigir	benötigen	V;IND;SG;3;PRS;FIN	V;V.PTCP
exige	verlangt	exigir	verlangen	V;IND;SG;3;PRS;FIN	V;V.PTCP
referenciado	verwiesen	referenciar	verweisen	V;MASC;SG;V.PTCP	V;V.PTCP
referenciado	referenzierten	referenciar	referenziert	V;MASC;SG;V.PTCP	V;FIN
referenciado	verweis	referenciar	verweis	V;MASC;SG;V.PTCP	V;IND;SG;3;PST;FIN
proibido	untersagt	proibir	untersagen	V;MASC;SG;V.PTCP	V;V.PTCP
proibido	untersagt	proibir	untersagen	V;MASC;SG;V.PTCP	V;V.PTCP
proibido	verbot	proibir	verbieten	V;MASC;SG;V.PTCP	V;IND;SG;3;PST;FIN
proibido	verbannt	proibir	verbannt	V;MASC;SG;V.PTCP	V;V.PTCP
proibido	gesperrt	proibir	sperren	V;MASC;SG;V.PTCP	V;V.PTCP
proibido	verbot	proibir	verbieten	V;MASC;SG;V.PTCP	V;IND;SG;3;PST;FIN
proibido	untersagt	proibir	untersagen	V;MASC;SG;V.PTCP	V;V.PTCP
marine	marine	marine	marin	N;MASC;SG	N;NOM;FEM;SG
culinária	küche	culinário	küchen	N;FEM;SG	N;NOM;FEM;SG
químicos	chemie	químico	chemie	N;MASC;PL	N;NOM;FEM
químicos	chemie	químico	chemie	N;MASC;PL	N;NOM;FEM
ênfase	hervorhebung	ênfase	hervorhebung	N;FEM;SG	N;NOM;FEM;SG
ênfase	betonung	ênfase	Betonung	N;FEM;SG	N;FEM;SG
usava	getragen	usar	tragen	V;IND;SG;3;IPFV;FIN	V;V.PTCP
consulta	abfrage	consulta	abfrage	N;FEM;SG	N;NOM;FEM;SG
consulta	konsultation	consulta	konsultation	N;FEM;SG	N;NOM;FEM;SG
consulta	anhörung	consulta	anhörung	N;FEM;SG	N;NOM;FEM;SG
reverter	zurücknehmen	reverter	zurücknehmen	V;NFIN	V;NFIN
reverter	zurückkehren	reverter	zurückkehren	V;NFIN	V;NFIN
reverter	umkehren	reverter	umkehren	V;NFIN	V;NFIN
verlag	verlag	verlag	verliegen	N;MASC;SG	N;NOM;MASC;SG
filmado	gedreht	filmar	drehen	V;MASC;SG;V.PTCP	V;V.PTCP
filmado	gefilmt	filmar	filmen	V;MASC;SG;V.PTCP	V;V.PTCP
matando	töten	matar	töten	V;V.MSDR	V;NFIN
matando	erschlagen	matar	erschlagen	V;V.MSDR	V;V.PTCP
matando	töten	matar	töten	V;V.MSDR	V;NFIN
padres	priestern	padre	priestern	N;MASC;PL	N;PL
ferrovia	bahnlinie	ferrovia	bahnlinie	N;FEM;SG	N;NOM;SG
fique	bleiben	ficar	bleiben	V;SBJV;SG;3;PRS;FIN	V;NFIN
aplica	gilt	aplicar	gelten	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
colocadas	platziert	colocar	plazieren	V;FEM;PL;V.PTCP	V;V.PTCP
divulgar	enthüllen	divulgar	enthüllen	V;NFIN	V;NFIN
divulgar	offenlegen	divulgar	offenlegen	V;NFIN	V;NFIN
alimento	nahrung	alimento	nahrung	N;MASC;SG	N;NOM;FEM;SG
esboços	entwürfe	esboço	entwürfen	N;MASC;PL	N;NOM;MASC;PL
esboços	zeichnungen	esboço	zeichnungen	N;MASC;PL	N;NOM;FEM;PL
regresso	rückgabe	regresso	rückgabe	N;MASC;SG	N;SG
automóvel	auto	automóvel	auto	N;MASC;SG	N;NOM;SG
automóvel	autovermietung	automóvel	autovermietung	N;MASC;SG	N;NOM;MASC;SG
cana	stäbe	cana	staben	N;FEM;SG	N;NOM
asiático	asiatisch	asiático	asiatisch	ADJ;MASC;SG	ADJ
cinquenta	fünfzig	cinquenta	fünfzig	NUM	NUM
profundamente	zutiefst	profundamente	zutiefst	ADV	ADV
profundamente	zutiefst	profundamente	zutiefst	ADV	ADV
gradualmente	stufenweise	gradualmente	stufenweise	ADV	ADV
massas	teigwaren	massa	teigwaren	N;FEM;PL	N;NOM;PL
massas	nudeln	massa	nudeln	N;FEM;PL	N;NOM;PL
massas	nudeln	massa	nudeln	N;FEM;PL	N;NOM;PL
