का	de	का	de	ADP;NOM;MASC;SG	ADP
विकास	desenvolvemento	विकास	desenvolvemento	N;NOM;MASC;SG;3	N
विकास	proxecto	विकास	proxecto	N;NOM;MASC;SG;3	N
विकास	crecemento	विकास	crecemento	N;NOM;MASC;SG;3	N
देश	país	देश	país	N;NOM;MASC;SG;3	N
देश	nación	देश	nación	N;NOM;MASC;SG;3	N
देश	país	देश	país	N;NOM;MASC;SG;3	N
देश	países	देश	país	N;NOM;MASC;SG;3	N
देश	paises	देश	país	N;NOM;MASC;SG;3	N
वेबसाइट	sitio	वेबसाइट	sitio	N;NOM;FEM;SG;3	N
वेबसाइट	web	वेबसाइट	web	N;NOM;FEM;SG;3	N
वेबसाइट	páxina	वेबसाइट	páxina	N;NOM;FEM;SG;3	N
अलग	separadas	अलग	separar	ADJ	ADJ
अलग	diferentes	अलग	diferente	ADJ	ADJ
अलग	distintas	अलग	distinto	ADJ	ADJ
अलग	distinto	अलग	distinto	ADJ	ADJ
अलग	distintos	अलग	distinto	ADJ	ADJ
अलग	diferente	अलग	diferente	ADJ	ADJ
विशेष	especial	विशेष	especial	ADJ;NOM	ADJ
विशेष	especiais	विशेष	especial	ADJ;NOM	ADJ
कभी	que	कभी	que	PRO	PRO
दी	dado	दे	dar	V;PFV;FEM;SG;V.PTCP;ACT	V
दी	deume	दे	deume	V;PFV;FEM;SG;V.PTCP;ACT	V
दी	deu	दे	dar	V;PFV;FEM;SG;V.PTCP;ACT	V
दी	di	दे	dicir	V;PFV;FEM;SG;V.PTCP;ACT	V
पृष्ठ	páxinas	पृष्ठ	páxina	N;NOM;MASC;SG;3	N
माना	considerado	मान	considerar	V;PFV;MASC;SG;V.PTCP;ACT	V
शब्द	palabra	शब्द	palabra	N;NOM;MASC;SG;3	N
शब्द	palabras	शब्द	palabra	N;NOM;MASC;SG;3	N
शब्द	verbas	शब्द	verba	N;NOM;MASC;SG;3	N
फिर	logo	फिर	logo	ADV	ADV
फिर	despois	फिर	despois	ADV	ADV
फिर	entón	फिर	entón	ADV	ADV
फिर	daquela	फिर	daquela	ADV	ADV
तीन	3	तीन	3	NUM	NUM
पुरस्कार	nobel	पुरस्कार	nobel	N;NOM;MASC;SG;3	N
पुरस्कार	premio	पुरस्कार	premio	N;NOM;MASC;SG;3	N
पुरस्कार	premio	पुरस्कार	premio	N;NOM;MASC;SG;3	N
पुरस्कार	premios	पुरस्कार	premio	N;NOM;MASC;SG;3	N
पुरस्कार	recompensa	पुरस्कार	recompensa	N;NOM;MASC;SG;3	N
लेख	artigos	लेख	artigo	N;NOM;MASC;SG;3	N
लेख	artigo	लेख	artigo	N;NOM;MASC;SG;3	N
जिसे	quen	जो	quen	PRO;SG;3	PRO
जिसे	que	जो	que	PRO;SG;3	PRO
मंदिर	templo	मंदिर	templo	N;NOM;MASC;SG;3	N
वार्ता	charlas	वार्ता	charla	N;NOM;FEM;SG;3	N
इतिहास	historia	इतिहास	historia	N;NOM;MASC;SG;3	N
फ़िल्म	película	फ़िल्म	película	N;NOM;FEM;SG;3	N
फ़िल्म	filme	फ़िल्म	filme	N;NOM;FEM;SG;3	N
फ़िल्म	cine	फ़िल्म	cinir	N;NOM;FEM;SG;3	N
फ़िल्म	cinema	फ़िल्म	cinema	N;NOM;FEM;SG;3	N
फ़िल्म	película	फ़िल्म	película	N;NOM;FEM;SG;3	N
फ़िल्म	filme	फ़िल्म	filme	N;NOM;FEM;SG;3	N
क्योंकि	porque	क्योंकि	porque	CONJ	CONJ
दिन	días	दिन	día	N;NOM;MASC;SG;3	N
दिन	día	दिन	día	N;NOM;MASC;SG;3	N
दिन	días	दिन	día	N;NOM;MASC;SG;3	N
कृषि	agricultura	कृषि	agricultura	N;NOM;FEM;SG;3	N
जाना	ir	जा	ir	V;MASC;NFIN;ACT	V
व्यक्ति	persoa	व्यक्ति	persoa	N;NOM;MASC;SG;3	N
व्यक्ति	persoa	व्यक्ति	persoa	N;NOM;MASC;SG;3	N
व्यक्ति	individuo	व्यक्ति	individuo	N;NOM;MASC;SG;3	N
व्यक्ति	tipo	व्यक्ति	tipo	N;NOM;MASC;SG;3	N
विज्ञान	ciencia	विज्ञान	ciencia	N;NOM;MASC;SG;3	N
विज्ञान	ciencias	विज्ञान	ciencia	N;NOM;MASC;SG;3	N
विज्ञान	cencia	विज्ञान	cencia	N;NOM;MASC;SG;3	N
सदस्य	membro	सदस्य	membro	N;NOM;MASC;PL;3	N
सदस्य	membros	सदस्य	membro	N;NOM;MASC;PL;3	N
सदस्य	membros	सदस्य	membro	N;NOM;MASC;PL;3	N
हालांकि	malia	हालांकि	malia	CONJ	CONJ
हालांकि	se	हालांकि	se	CONJ	CONJ
यदि	se	यदि	se	CONJ	CONJ
अनेक	moitos	अनेक	moito	DET	DET
अनेक	cantas	अनेक	canto	DET	DET
अनेक	moitas	अनेक	moito	DET	DET
अनेक	varios	अनेक	varios	DET	DET
अनेक	varias	अनेक	varios	DET	DET
संख्या	número	संख्या	número	N;NOM;FEM;SG;3	N
संख्या	números	संख्या	número	N;NOM;FEM;SG;3	N
संख्या	das	संख्या	das	N;NOM;FEM;SG;3	N
संख्या	número	संख्या	número	N;NOM;FEM;SG;3	N
अपना	túa	अपना	teu	PRO;NOM;MASC;SG	PRO
बात	cousa	बात	cousa	N;NOM;FEM;SG;3	N
बात	charla	बात	charlar	N;NOM;FEM;SG;3	N
साहित्य	literatura	साहित्य	literatura	N;NOM;MASC;SG;3	N
शिक्षा	educación	शिक्षा	educación	N;NOM;FEM;SG;3	N
धर्म	relixión	धर्म	relixión	N;NOM;MASC;SG;3	N
मूल	orixe	मूल	orixe	N;NOM;MASC;SG;3	N
मूल	terra	मूल	terra	N;NOM;MASC;SG;3	N
बना	facer	बन	facer	V;PFV;MASC;SG;V.PTCP;ACT	V
बना	fixen	बन	facer	V;PFV;MASC;SG;V.PTCP;ACT	V
बना	fixo	बन	facer	V;PFV;MASC;SG;V.PTCP;ACT	V
युद्ध	batalla	युद्ध	batalla	N;NOM;MASC;SG;3	N
युद्ध	guerra	युद्ध	guerra	N;NOM;MASC;SG;3	N
नदी	río	नदी	río	N;NOM;FEM;SG;3	N
काल	período	काल	período	N;NOM;MASC;SG;3	N
काल	periodo	काल	periodo	N;NOM;MASC;SG;3	N
काल	tempo	काल	tempo	N;NOM;MASC;SG;3	N
काल	adolescencia	काल	adolescencia	N;NOM;MASC;SG;3	N
ऐसे	como	ऐसा	como	PRO;NOM;MASC;SG	PRO
ऐसे	como	ऐसा	como	PRO;NOM;MASC;SG	PRO
वर्षों	anos	वर्ष	ano	N;NOM;MASC;PL;3	N
स्टेशन	comisaría	स्टेशन	comisar	N;NOM;MASC;SG;3	N
स्टेशन	estación	स्टेशन	estación	N;NOM;MASC;SG;3	N
स्टेशन	comisarías	स्टेशन	comisarías	N;NOM;MASC;SG;3	N
स्टेशन	postos	स्टेशन	posto	N;NOM;MASC;SG;3	N
अथवा	ou	अथवा	ou	CONJ	CONJ
बड़े	grande	बडा	grande	ADJ;NOM;MASC;PL	ADJ
बड़े	gran	बडा	gran	ADJ;NOM;MASC;PL	ADJ
बड़े	grandes	बडा	grande	ADJ;NOM;MASC;PL	ADJ
बड़े	grande	बडा	grande	ADJ;NOM;MASC;PL	ADJ
बड़े	grandes	बडा	grande	ADJ;NOM;MASC;PL	ADJ
बड़े	gran	बडा	gran	ADJ;NOM;MASC;PL	ADJ
राजा	xurxo	राजा	xurxo	N;NOM;MASC;SG;3	N
प्रथम	primeiro	प्रथम	primeiro	ADJ	ADJ
प्रथम	primeira	प्रथम	primeiro	ADJ	ADJ
विश्वविद्यालय	universidades	विश्वविद्यालय	universidade	N;NOM;MASC;SG;3	N
विश्वविद्यालय	universidade	विश्वविद्यालय	universidade	N;NOM;MASC;SG;3	N
विश्वविद्यालय	universidades	विश्वविद्यालय	universidade	N;NOM;MASC;SG;3	N
उसकी	ela	वह	el	PRO;FEM;SG;3	PRO
महत्वपूर्ण	importante	महत्वपूर्ण	importante	ADJ	ADJ
महत्वपूर्ण	importantes	महत्वपूर्ण	importante	ADJ	ADJ
प्रामाणिक	auténtica	प्रामाणिक	auténtico	ADJ;NOM	ADJ
आप	que	आप	que	PRO;NOM;SG;2;FORM	PRO
समूह	congregación	समूह	congregación	N;NOM;MASC;SG;3	N
समूह	grupo	समूह	grupo	N;NOM;MASC;SG;3	N
समूह	dous	समूह	dous	N;NOM;MASC;SG;3	N
समूह	grupos	समूह	grupo	N;NOM;MASC;SG;3	N
वर्तमान	agasallo	वर्तमान	agasallo	N;NOM;MASC;SG;3	N
अध्ययन	estudo	अध्ययन	estudo	N;NOM;MASC;SG;3	N
अध्ययन	despacho	अध्ययन	despacho	N;NOM;MASC;SG;3	N
अध्ययन	estudos	अध्ययन	estudo	N;NOM;MASC;SG;3	N
अध्ययन	estudios	अध्ययन	estudio	N;NOM;MASC;SG;3	N
अध्ययन	análises	अध्ययन	análise	N;NOM;MASC;SG;3	N
अध्ययन	estudo	अध्ययन	estudo	N;NOM;MASC;SG;3	N
विभाग	departamento	विभाग	departamento	N;NOM;MASC;SG;3	N
विभाग	axentes	विभाग	axente	N;NOM;MASC;SG;3	N
विभाग	división	विभाग	división	N;NOM;MASC;SG;3	N
आम	común	आम	común	ADJ	ADJ
आम	comúns	आम	común	ADJ	ADJ
स्थिति	posición	स्थिति	posición	N;NOM;FEM;SG;3	N
स्थिति	statu	स्थिति	statu	N;NOM;FEM;SG;3	N
स्थिति	status	स्थिति	status	N;NOM;FEM;SG;3	N
स्थिति	posición	स्थिति	posición	N;NOM;FEM;SG;3	N
स्थिति	estado	स्थिति	estado	N;NOM;FEM;SG;3	N
स्थिति	condición	स्थिति	condición	N;NOM;FEM;SG;3	N
स्थिति	situación	स्थिति	situación	N;NOM;FEM;SG;3	N
स्थिति	doenza	स्थिति	doenza	N;NOM;FEM;SG;3	N
स्थिति	estado	स्थिति	estado	N;NOM;FEM;SG;3	N
स्थिति	situación	स्थिति	situación	N;NOM;FEM;SG;3	N
प्रभाव	impacto	प्रभाव	impacto	N;NOM;MASC;SG;3	N
प्रभाव	na	प्रभाव	na	N;NOM;MASC;SG;3	N
प्रभाव	prazo	प्रभाव	prazo	N;NOM;MASC;SG;3	N
प्रभाव	efecto	प्रभाव	efecto	N;NOM;MASC;SG;3	N
प्रभाव	efectos	प्रभाव	efecto	N;NOM;MASC;SG;3	N
प्रभाव	efecto	प्रभाव	efecto	N;NOM;MASC;SG;3	N
प्रभाव	efectos	प्रभाव	efecto	N;NOM;MASC;SG;3	N
साल	anos	साल	ano	N;NOM;MASC;SG;3	N
साल	ano	साल	ano	N;NOM;MASC;SG;3	N
पहली	primeiro	पहला	primeiro	ADJ;NOM;FEM;SG	ADJ
पहली	primeira	पहला	primeiro	ADJ;NOM;FEM;SG	ADJ
संगीत	música	संगीत	música	N;NOM;MASC;SG;3	N
सेवा	servizo	सेवा	servizo	N;NOM;FEM;SG;3	N
बनाने	crear	बना	crear	V;MASC;NFIN;ACT	V
बनाने	creando	बना	crear	V;MASC;NFIN;ACT	V
बनाने	facer	बना	facer	V;MASC;NFIN;ACT	V
बनाने	facendo	बना	facer	V;MASC;NFIN;ACT	V
आज	día	आज	día	N;NOM;MASC;SG;3	N
चाहिए	debería	चाहिए	deber	V;ACT	V
देता	da	दे	da	V;IPFV;MASC;SG;V.PTCP;ACT	V
देता	dá	दे	dar	V;IPFV;MASC;SG;V.PTCP;ACT	V
देता	dálle	दे	dálle	V;IPFV;MASC;SG;V.PTCP;ACT	V
उपलब्ध	dispoñibles	उपलब्ध	dispoñible	ADJ	ADJ
उपलब्ध	dispoñible	उपलब्ध	dispoñible	ADJ	ADJ
उपलब्ध	dispoñíbel	उपलब्ध	dispoñíbel	ADJ	ADJ
उपलब्ध	dispoñíbeis	उपलब्ध	dispoñíbel	ADJ	ADJ
काफी	moita	काफी	moito	DET	DET
काफी	moitas	काफी	moito	DET	DET
बड़ी	grande	बडा	grande	ADJ;NOM;FEM;SG	ADJ
बड़ी	gran	बडा	gran	ADJ;NOM;FEM;SG	ADJ
बड़ी	grandes	बडा	grande	ADJ;NOM;FEM;SG	ADJ
बड़ी	grande	बडा	grande	ADJ;NOM;FEM;SG	ADJ
बड़ी	grandes	बडा	grande	ADJ;NOM;FEM;SG	ADJ
बड़ी	gran	बडा	gran	ADJ;NOM;FEM;SG	ADJ
चार	4	चार	4	NUM	NUM
शक	dúbida	शक	dúbida	N;NOM;MASC;SG;3	N
शक	dúbidas	शक	dúbida	N;NOM;MASC;SG;3	N
श्री	señor	श्री	señor	N;NOM;MASC;SG;3	N
उदाहरण	exemplo	उदाहरण	exemplo	N;NOM;MASC;SG;3	N
उदाहरण	exemplo	उदाहरण	exemplo	N;NOM;MASC;SG;3	N
उदाहरण	exemplos	उदाहरण	exemplo	N;NOM;MASC;SG;3	N
उसका	ela	वह	el	PRO;MASC;SG;3	PRO
जिससे	que	जो	que	PRO;SG;3	PRO
जिससे	cal	जो	cal	PRO;SG;3	PRO
स्थापना	aparello	स्थापना	aparello	N;NOM;FEM;SG;3	N
स्थापना	instalación	स्थापना	instalación	N;NOM;FEM;SG;3	N
कंपनी	empresa	कंपनी	empresa	N;NOM;FEM;SG;3	N
कंपनी	compañía	कंपनी	compañía	N;NOM;FEM;SG;3	N
प्रत्येक	os	प्रत्येक	o	DET	DET
प्रत्येक	as	प्रत्येक	o	DET	DET
प्रत्येक	todos	प्रत्येक	todo	DET	DET
प्रत्येक	cada	प्रत्येक	cada	DET	DET
प्रत्येक	todas	प्रत्येक	todo	DET	DET
प्रत्येक	cada	प्रत्येक	cada	DET	DET
प्रत्येक	uns	प्रत्येक	un	DET	DET
प्रत्येक	un	प्रत्येक	un	DET	DET
बड़ा	grande	बड़ा	grande	ADJ;NOM;MASC;SG	ADJ
बड़ा	gran	बड़ा	gran	ADJ;NOM;MASC;SG	ADJ
बड़ा	grandes	बड़ा	grande	ADJ;NOM;MASC;SG	ADJ
बड़ा	grande	बड़ा	grande	ADJ;NOM;MASC;SG	ADJ
बड़ा	grandes	बड़ा	grande	ADJ;NOM;MASC;SG	ADJ
बड़ा	gran	बड़ा	gran	ADJ;NOM;MASC;SG	ADJ
बड़ा	xenial	बड़ा	xenial	ADJ;NOM;MASC;SG	ADJ
बड़ा	gran	बड़ा	gran	ADJ;NOM;MASC;SG	ADJ
बड़ा	grande	बड़ा	grande	ADJ;NOM;MASC;SG	ADJ
बड़ा	grandes	बड़ा	grande	ADJ;NOM;MASC;SG	ADJ
बड़ा	maior	बड़ा	maior	ADJ;NOM;MASC;SG	ADJ
