על	despre	על	despre	ADP	ADP;ACC
מערכת	sistem	מערכת	sistem	N;FEM;SG	N;INDF;MASC;SG
בלבד	doar	בלבד	doar	ADV	ADV
בלבד	numai	בלבד	numai	ADV	ADV
עבר	trecutul	עבר	trecut	N;MASC;SG	N;DEF;MASC;SG
מרכז	centrul	מרכז	centru	N;MASC;SG	N;DEF;MASC;SG
מרכז	centru	מרכז	centru	N;MASC;SG	N;INDF;MASC;SG
מרכז	centrul	מרכז	centru	N;MASC;SG	N;DEF;MASC;SG
מרכז	centru	מרכז	centru	N;MASC;SG	N;INDF;MASC;SG
שימוש	utilizare	שימוש	utilizare	N;MASC;SG	N;INDF;FEM;SG
שימוש	folosire	שימוש	folosire	N;MASC;SG	N;INDF;FEM;SG
שימוש	folosirea	שימוש	folosire	N;MASC;SG	N;DEF;FEM;SG
שימוש	utilizarea	שימוש	utilizare	N;MASC;SG	N;DEF;FEM;SG
שימוש	utilizarea	שימוש	utilizare	N;MASC;SG	N;DEF;FEM;SG
שימוש	utilizare	שימוש	utilizare	N;MASC;SG	N;INDF;FEM;SG
רוב	majoritatea	רוב	majoritate	N;MASC;SG	N;DEF;FEM;SG
רוב	rob	רוב	rob	N;MASC;SG	N;INDF;MASC;SG
רוב	majoritate	רוב	majoritate	N;MASC;SG	N;INDF;FEM;SG
רוב	majoritatea	רוב	majoritate	N;MASC;SG	N;DEF;FEM;SG
כולל	incluzând	כלל	include	V;MASC;SG;V.PTCP;ACT	V;V.MSDR
גדול	mare	גדול	mare	ADJ;MASC;SG	ADJ;INDF;MASC;SG
גדול	mare	גדול	mare	ADJ;MASC;SG	ADJ;INDF;MASC;SG
ישראלים	israelienii	ישראלי	israelian	N;MASC;PL	N;DEF;MASC;PL
יהודי	evreu	יהודי	evreu	N;MASC;SG	N;INDF;MASC;SG
יהודי	evreu	יהודי	evreu	N;MASC;SG	N;INDF;MASC;SG
סוג	fel	סוג	fel	N;MASC;SG	N;INDF;MASC;SG
סוג	tipul	סוג	tip	N;MASC;SG	N;DEF;MASC;SG
סוג	tip	סוג	tip	N;MASC;SG	N;INDF;MASC;SG
מידע	informație	מידע	informație	N;MASC;SG	N;INDF;FEM;SG
מידע	data	מידע	dată	N;MASC;SG	N;DEF;FEM;SG
ערכים	valori	ערך	valoare	N;MASC;PL	N;INDF;FEM;PL
ערכים	valorile	ערך	valoare	N;MASC;PL	N;DEF;FEM;PL
ערכים	intrări	ערך	intrare	N;MASC;PL	N;INDF;FEM;PL
ערכים	mențiuni	ערך	mențiune	N;MASC;PL	N;INDF;FEM;PL
אנשים	oamenii	איש	om	N;MASC;PL	N;DEF;MASC;PL
אנשים	oameni	איש	om	N;MASC;PL	N;INDF;MASC;PL
אנשים	persoane	איש	persoană	N;MASC;PL	N;INDF;FEM;PL
דקות	minutele	דקה	minut	N;FEM;PL	N;DEF;FEM;PL
דקות	minute	דקה	minut	N;FEM;PL	N;INDF;FEM;PL
חבר	prieten	חבר	prieten	N;MASC;SG	N;INDF;MASC;SG
חבר	prietenă	חבר	prietenă	N;MASC;SG	N;INDF;FEM;SG
חבר	iubitul	חבר	iubit	N;MASC;SG	N;DEF;MASC;SG
בת	fica	בת	fice	N;FEM;SG	N;DEF;FEM;SG
בת	fiica	בת	fiică	N;FEM;SG	N;DEF;FEM;SG
בת	fiică	בת	fiică	N;FEM;SG	N;INDF;FEM;SG
השם	hashem	השם	hashem		
השם	name	השם	name		
כאן	aici	כאן	aici	ADV	ADV
לעתים	uneori	לעתים	uneori	ADV	ADV
לעתים	câteodată	לעתים	câteodată	ADV	ADV
חדש	nou	חדש	nou	ADJ;MASC;SG	ADJ;INDF;MASC;SG
חדש	noua	חדש	nou	ADJ;MASC;SG	ADJ;DEF;FEM;SG
מעל	peste	מעל	peste	ADP	ADP;ACC
מעל	deasupra	מעל	deasupra	ADP	ADP;GEN
ארץ	țară	ארץ	țară	N;FEM;SG	N;INDF;FEM;SG
ארץ	tara	ארץ	tară	N;FEM;SG	N;DEF;FEM;SG
ארץ	țara	ארץ	țară	N;FEM;SG	N;DEF;FEM;SG
ארץ	ţara	ארץ	gară	N;FEM;SG	N;DEF;FEM;SG
ארץ	ţară	ארץ	ţară	N;FEM;SG	N;INDF;FEM;SG
ארץ	teren	ארץ	teren	N;FEM;SG	N;INDF;MASC;SG
ארץ	land	ארץ	land	N;FEM;SG	N;INDF;MASC;SG
ארץ	pământ	ארץ	pământ	N;FEM;SG	N;INDF;MASC;SG
ארץ	earth	ארץ	earth	N;FEM;SG	N
ארץ	pămînt	ארץ	pămînt	N;FEM;SG	N;INDF;MASC;SG
ארץ	pământul	ארץ	pământ	N;FEM;SG	N;DEF;MASC;SG
ארץ	pământ	ארץ	pământ	N;FEM;SG	N;INDF;MASC;SG
כלי	instrument	כלי	instrument	N;MASC;SG	N;INDF;MASC;SG
כלי	unealtă	כלי	unealtă	N;MASC;SG	N;INDF;FEM;SG
הרבה	mult	הרבה	mult	ADV	ADV
אתה	te	הוא	tu	PRO;MASC;SG;2	PRO;ACC;SG;2
אתה	tu	הוא	tu	PRO;MASC;SG;2	PRO;NOM;SG;2
נמצא	gasit	נמצא	gasit	V;MASC;SG;V.PTCP;MID	V;MASC;SG;V.PTCP
טוב	buna	טוב	bun	ADJ;MASC;SG	ADJ;DEF;FEM;SG
טוב	bun	טוב	bun	ADJ;MASC;SG	ADJ;INDF;MASC;SG
ילדים	copii	ילד	copil	N;MASC;PL	N;INDF;MASC;PL
ילדים	copiii	ילד	copil	N;MASC;PL	N;DEF;MASC;PL
ילדים	copii	ילד	copil	N;MASC;PL	N;INDF;MASC;PL
ילדים	copiii	ילד	copil	N;MASC;PL	N;DEF;MASC;PL
כמעט	aproape	כמעט	aproape	ADV	ADV
מיליון	milion	מיליון	milion	NUM;MASC;SG	NUM;INDF;MASC;SG
כוח	putere	כוח	putere	N;MASC;SG	N;INDF;FEM;SG
כוח	puterea	כוח	putere	N;MASC;SG	N;DEF;FEM;SG
כוח	forta	כוח	forta	N;MASC;SG	N;DEF;FEM;SG
כוח	forța	כוח	forță	N;MASC;SG	N;DEF;FEM;SG
כוח	forță	כוח	forță	N;MASC;SG	N;INDF;FEM;SG
כוח	forta	כוח	forta	N;MASC;SG	N;DEF;FEM;SG
כוח	putere	כוח	putere	N;MASC;SG	N;INDF;FEM;SG
כוח	puterea	כוח	putere	N;MASC;SG	N;DEF;FEM;SG
כוח	power	כוח	power	N;MASC;SG	N
מלך	regele	מלך	rege	N;MASC;SG	N;DEF;MASC;SG
מלך	king	מלך	king	N;MASC;SG	N;INDF;MASC;SG
מלך	rege	מלך	rege	N;MASC;SG	N;INDF;MASC;SG
מקור	origine	מקור	origine	N;MASC;SG	N;INDF;FEM;SG
מקור	originea	מקור	origine	N;MASC;SG	N;DEF;FEM;SG
מקור	sursă	מקור	sursă	N;MASC;SG	N;INDF;FEM;SG
מקור	sursa	מקור	sursă	N;MASC;SG	N;DEF;FEM;SG
מקור	cioc	מקור	cioc	N;MASC;SG	N;INDF;MASC;SG
מקור	ciocul	מקור	cioc	N;MASC;SG	N;DEF;MASC;SG
תוכנית	program	תוכנית	program	N;FEM;SG	N;INDF;MASC;SG
תוכנית	programul	תוכנית	program	N;FEM;SG	N;DEF;MASC;SG
תוכנית	planul	תוכנית	plan	N;FEM;SG	N;DEF;MASC;SG
תוכנית	plan	תוכנית	plan	N;FEM;SG	N;INDF;MASC;SG
תוכנית	program	תוכנית	program	N;FEM;SG	N;INDF;MASC;SG
תוכנית	programul	תוכנית	program	N;FEM;SG	N;DEF;MASC;SG
לגבי	despre	לגבי	despre	ADP	ADP;ACC
פעם	odată	פעם	odată	ADV	ADV
משתמש	folosind	השתמש	folosi	V;MASC;SG;V.PTCP	V;V.MSDR
משתמש	utilizând	השתמש	utiliza	V;MASC;SG;V.PTCP	V;V.MSDR
קיבל	primit	קיבל	primi	V;MASC;SG;3;PST;ACT	V;MASC;SG;V.PTCP
נשים	femeile	איש	femeie	N;FEM;PL	N;DEF;FEM;PL
נשים	femei	איש	femeie	N;FEM;PL	N;INDF;FEM;PL
נשים	femeilor	איש	femeie	N;FEM;PL	N;DEF;FEM;PL
עדיין	încă	עדיין	încă	ADV	ADV
כוחות	puterile	כוח	putere	N;MASC;PL	N;DEF;FEM;PL
כוחות	puteri	כוח	putere	N;MASC;PL	N;INDF;FEM;PL
כוחות	competențe	כוח	competență	N;MASC;PL	N;INDF;FEM;PL
כוחות	forţele	כוח	forgă	N;MASC;PL	N;DEF;FEM;PL
כוחות	forțe	כוח	forță	N;MASC;PL	N;INDF;FEM;PL
כוחות	forțele	כוח	forță	N;MASC;PL	N;DEF;FEM;PL
פעולה	acţiune	פעולה	acţiune	N;FEM;SG	N;INDF;FEM;SG
פעולה	actiune	פעולה	actiune	N;FEM;SG	N;INDF;FEM;SG
פעולה	acțiune	פעולה	acțiune	N;FEM;SG	N;INDF;FEM;SG
נכון	adevarat	נכון	adevarat	ADJ;MASC;SG	ADJ;INDF;MASC;SG
חוק	law	חוק	law	N;MASC;SG	N;INDF;MASC;SG
חוק	lege	חוק	lege	N;MASC;SG	N;INDF;FEM;SG
חוק	legea	חוק	lege	N;MASC;SG	N;DEF;FEM;SG
יחידה	unitate	יחידה	unitate	N;FEM;SG	N;INDF;FEM;SG
יחידה	unitatea	יחידה	unitate	N;FEM;SG	N;DEF;FEM;SG
מדינות	statele	מדינה	stat	N;FEM;PL	N;DEF;FEM;PL
מדינות	state	מדינה	stat	N;FEM;PL	N;INDF;FEM;PL
מדינות	stări	מדינה	stare	N;FEM;PL	N;INDF;FEM;PL
מדינות	țări	מדינה	țară	N;FEM;PL	N;INDF;FEM;PL
מדינות	ţările	מדינה	gară	N;FEM;PL	N;DEF;FEM;PL
מדינות	țările	מדינה	țară	N;FEM;PL	N;DEF;FEM;PL
מדינות	ţări	מדינה	gară	N;FEM;PL	N;INDF;FEM;PL
הבית	acasă	הבית	acasă	ADV	ADV
מפקד	comandante	מפקד	comandant	N;MASC;SG	N;INDF;MASC;SG
מפקד	comandantul	מפקד	comandant	N;MASC;SG	N;DEF;MASC;SG
מפקד	comandant	מפקד	comandant	N;MASC;SG	N;INDF;MASC;SG
אזור	regiunea	אזור	regiune	N;MASC;SG	N;DEF;FEM;SG
אזור	regiune	אזור	regiune	N;MASC;SG	N;INDF;FEM;SG
אזור	zonă	אזור	zonă	N;MASC;SG	N;INDF;FEM;SG
אזור	zona	אזור	zonă	N;MASC;SG	N;DEF;FEM;SG
אזור	zonă	אזור	zonă	N;MASC;SG	N;INDF;FEM;SG
אזור	zona	אזור	zonă	N;MASC;SG	N;DEF;FEM;SG
אזור	suprafață	אזור	suprafață	N;MASC;SG	N;INDF;FEM;SG
פעמים	timpuri	פעם	timp	N;FEM;PL	N;INDF;FEM;PL
פעמים	timpurile	פעם	timp	N;FEM;PL	N;DEF;FEM;PL
פעמים	vremuri	פעם	vreme	N;FEM;PL	N;INDF;FEM;PL
קבוצות	grupe	קבוצה	grupă	N;FEM;PL	N;INDF;FEM;PL
קבוצות	grupuri	קבוצה	grup	N;FEM;PL	N;INDF;FEM;PL
קבוצות	grupurile	קבוצה	grup	N;FEM;PL	N;DEF;FEM;PL
קבוצות	grupări	קבוצה	grupare	N;FEM;PL	N;INDF;FEM;PL
קבוצות	echipele	קבוצה	echipă	N;FEM;PL	N;DEF;FEM;PL
קבוצות	echipe	קבוצה	echipă	N;FEM;PL	N;INDF;FEM;PL
סרט	film	סרט	film	N;MASC;SG	N;INDF;MASC;SG
סרט	peliculă	סרט	pelicul	N;MASC;SG	N;INDF;FEM;SG
סרט	film	סרט	film	N;MASC;SG	N;INDF;MASC;SG
קרב	luptă	קרב	luptă	N;MASC;SG	N;INDF;FEM;SG
קרב	bătălia	קרב	bătălie	N;MASC;SG	N;DEF;FEM;SG
קרב	bătălie	קרב	bătălie	N;MASC;SG	N;INDF;FEM;SG
האתר	website	האתר	websit		
קצר	scurta	קצר	scurta	ADJ;MASC;SG	ADJ;DEF;FEM;SG
קצר	scurtă	קצר	scurt	ADJ;MASC;SG	ADJ;INDF;FEM;SG
קצר	scurtă	קצר	scurt	ADJ;MASC;SG	ADJ;INDF;FEM;SG
ימים	zilele	יום	zi	N;MASC;PL	N;DEF;FEM;PL
ימים	zile	יום	zi	N;MASC;PL	N;INDF;FEM;PL
בהמשך	dedesubt	בהמשך	dedesubt		
צבא	armată	צבא	armată	N;MASC;SG	N;INDF;FEM;SG
צבא	armata	צבא	armată	N;MASC;SG	N;DEF;FEM;SG
צבא	armată	צבא	armată	N;MASC;SG	N;INDF;FEM;SG
צבא	army	צבא	army	N;MASC;SG	N;INDF;MASC;SG
ים	marea	ים	mare	N;MASC;SG	N;DEF;FEM;SG
משחק	joc	משחק	joc	N;MASC;SG	N;INDF;MASC;SG
משחק	jocul	משחק	joc	N;MASC;SG	N;DEF;MASC;SG
משחק	redarea	משחק	redare	N;MASC;SG	N;DEF;FEM;SG
משחק	actorie	משחק	actorie	N;MASC;SG	N;INDF;FEM;SG
משחק	actoria	משחק	actorie	N;MASC;SG	N;DEF;FEM;SG
מדי	prea	מדי	prea	ADV	ADV
פעילות	activitatea	פעילות	activitate	N;FEM;SG	N;DEF;FEM;SG
פעילות	activitate	פעילות	activitate	N;FEM;SG	N;INDF;FEM;SG
שטח	câmp	שטח	câmp	N;MASC;SG	N;INDF;MASC;SG
שטח	câmpul	שטח	câmp	N;MASC;SG	N;DEF;MASC;SG
שטח	field	שטח	field	N;MASC;SG	N;INDF;MASC;SG
שטח	teren	שטח	teren	N;MASC;SG	N;INDF;MASC;SG
שטח	teren	שטח	teren	N;MASC;SG	N;INDF;MASC;SG
שטח	zonă	שטח	zonă	N;MASC;SG	N;INDF;FEM;SG
שטח	zona	שטח	zonă	N;MASC;SG	N;DEF;FEM;SG
שטח	suprafață	שטח	suprafață	N;MASC;SG	N;INDF;FEM;SG
מאוחר	târziu	מאוחר	târziu	ADV	ADV
דף	def	דף	def		
קולנוע	film	קולנוע	film	N;MASC;SG	N;INDF;MASC;SG
קולנוע	cinematografie	קולנוע	cinematografie	N;MASC;SG	N;INDF;FEM;SG
קולנוע	cinematografia	קולנוע	cinematografie	N;MASC;SG	N;DEF;FEM;SG
קולנוע	cinematograf	קולנוע	cinematograf	N;MASC;SG	N;INDF;MASC;SG
קולנוע	cinema	קולנוע	cinema	N;MASC;SG	N;INDF;MASC;SG
קשר	conexiunea	קשר	conexiune	N;MASC;SG	N;DEF;FEM;SG
קשר	conexiune	קשר	conexiune	N;MASC;SG	N;INDF;FEM;SG
קשר	contact	קשר	contact	N;MASC;SG	N;INDF;MASC;SG
קשר	contactul	קשר	contact	N;MASC;SG	N;DEF;MASC;SG
קשר	nod	קשר	nod	N;MASC;SG	N;INDF;MASC;SG
אחרת	altfel	אחרת	altfel	ADV	ADV
עיר	oraș	עיר	oraș	N;FEM;SG	N;INDF;MASC;SG
עיר	oras	עיר	oras	N;FEM;SG	N;INDF;MASC;SG
עיר	oraşul	עיר	orac	N;FEM;SG	N;DEF;MASC;SG
עיר	oraş	עיר	oraş	N;FEM;SG	N;INDF;MASC;SG
עיר	city	עיר	city	N;FEM;SG	N;INDF;MASC;SG
עיר	oras	עיר	oras	N;FEM;SG	N;INDF;MASC;SG
עיר	oraș	עיר	oraș	N;FEM;SG	N;INDF;MASC;SG
עיר	oraş	עיר	oraş	N;FEM;SG	N;INDF;MASC;SG
עיר	oraşul	עיר	orac	N;FEM;SG	N;DEF;MASC;SG
עיר	orașul	עיר	oraș	N;FEM;SG	N;DEF;MASC;SG
הופעות	impresii	הופעה	impresie	N;FEM;PL	N;INDF;FEM;PL
הופעות	concertele	הופעה	concert	N;FEM;PL	N;DEF;FEM;PL
הופעות	concerte	הופעה	concert	N;FEM;PL	N;INDF;FEM;PL
תקופה	perioadă	תקופה	perioadă	N;FEM;SG	N;INDF;FEM;SG
תקופה	perioada	תקופה	perioadă	N;FEM;SG	N;DEF;FEM;SG
ספרים	cărţi	ספר	care	N;MASC;PL	N;INDF;FEM;PL
ספרים	carti	ספר	carti	N;MASC;PL	N;INDF;FEM;PL
ספרים	cărți	ספר	carte	N;MASC;PL	N;INDF;FEM;PL
קטן	mic	קטן	mic	ADJ;MASC;SG	ADJ;INDF;MASC;SG
קטן	mică	קטן	mic	ADJ;MASC;SG	ADJ;INDF;FEM;SG
קטן	mic	קטן	mic	ADJ;MASC;SG	ADJ;INDF;MASC;SG
למד	află	למד	afla	V;MASC;SG;3;PST	V;IND;SG;3;PST;FIN
ברית	alianta	ברית	aliantă	N;FEM;SG	N;DEF;FEM;SG
ברית	alianță	ברית	alianță	N;FEM;SG	N;INDF;FEM;SG
ברית	alianța	ברית	alianță	N;FEM;SG	N;DEF;FEM;SG
משרד	oficiu	משרד	oficiu	N;MASC;SG	N;INDF;MASC;SG
משרד	biroul	משרד	birou	N;MASC;SG	N;DEF;MASC;SG
משרד	oficiul	משרד	oficiu	N;MASC;SG	N;DEF;MASC;SG
משרד	birou	משרד	birou	N;MASC;SG	N;INDF;MASC;SG
גרסאות	variante	גרסה	variantă	N;FEM;PL	N;INDF;FEM;PL
גרסאות	variantele	גרסה	variantă	N;FEM;PL	N;DEF;FEM;PL
גרסאות	versiunile	גרסה	versiune	N;FEM;PL	N;DEF;FEM;PL
גרסאות	versiuni	גרסה	versiune	N;FEM;PL	N;INDF;FEM;PL
זהב	golden	זהב	golden	N;MASC;SG	N;INDF;MASC;SG
זהב	aur	זהב	aur	N;MASC;SG	N;INDF;MASC;SG
