ve	un	ve	un	CONJ	CONJ
ikinci	otrā	ikinci	otrā	ADJ	ADJ;NOM;DEF;FEM;SG
içinde	iekšā	içinde	iekšā	ADV	ADV
üniversitesi	universitāte	üniversitesi	universitāte	N;NOM;SG;3	N;NOM;FEM;SG
zaman	laiks	zaman	laiks	N;NOM;SG;3	N;NOM;MASC;SG
aralık	decembris	aralık	decembris	N;NOM;SG;3	N;NOM;MASC;SG
aralık	decembris	aralık	decembris	N;NOM;SG;3	N;NOM;MASC;SG
aralık	dec	aralık	dec	N;NOM;SG;3	N
aralık	intervāls	aralık	intervāls	N;NOM;SG;3	N;NOM;MASC;SG
yüksek	augstā	yüksek	augsts	ADJ	ADJ;NOM;FEM;SG
yüksek	augsts	yüksek	augsts	ADJ	ADJ;NOM;MASC;SG
yüksek	augsta	yüksek	augsts	ADJ	ADJ;NOM;FEM;SG
yüksek	augstāks	yüksek	augsts	ADJ	ADJ;NOM;CMPR;MASC;SG
yüksek	augstākas	yüksek	augsta	ADJ	ADJ;NOM;CMPR;FEM;PL
yüksek	augstāki	yüksek	augsts	ADJ	ADJ;NOM;CMPR;MASC;PL
kendi	paša	kendi	pats	PRO;NOM;SG;3;REFL	PRO;NOM;MASC;SG
bilgi	info	bilgi	info	N;NOM;SG;3	N
bilgi	informācija	bilgi	informācija	N;NOM;SG;3	N;NOM;FEM;SG
devlet	valsts	devlet	valsts	N;NOM;SG;3	N;NOM;FEM;SG
devlet	štats	devlet	štats	N;NOM;SG;3	N;NOM;MASC;SG
devlet	valdība	devlet	valdība	N;NOM;SG;3	N;NOM;FEM;SG
üç	trim	üç	trīs	NUM	NUM;DAT;MASC;PL
üç	trīs	üç	trīs	NUM	NUM;NOM;MASC;PL
başladı	sākts	başla	sākt	V;PFV;IND;SG;3;POS;PST	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
başladı	sākta	başla	sākt	V;PFV;IND;SG;3;POS;PST	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
başladı	sākās	başla	sākties	V;PFV;IND;SG;3;POS;PST	V;FH;IND;3;POS;REFL;PST;FIN;ACT
başladı	sākusies	başla	sākties	V;PFV;IND;SG;3;POS;PST	V;PFV;NOM;INDF;FEM;SG;REFL;PST;V.PTCP
başladı	sākts	başla	sākt	V;PFV;IND;SG;3;POS;PST	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
başladı	sācies	başla	sākties	V;PFV;IND;SG;3;POS;PST	V;PFV;NOM;INDF;MASC;SG;REFL;PST;V.PTCP
başladı	sākta	başla	sākt	V;PFV;IND;SG;3;POS;PST	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
küçük	mazas	küçük	maza	ADJ	ADJ;NOM;FEM;PL
küçük	mazās	küçük	maza	ADJ	ADJ;NOM;FEM;PL
küçük	mazie	küçük	mazs	ADJ	ADJ;NOM;MASC;PL
küçük	maza	küçük	maza	ADJ	ADJ;NOM;FEM;SG
küçük	mazs	küçük	mazs	ADJ	ADJ;NOM;MASC;SG
küçük	maza	küçük	maza	ADJ	ADJ;NOM;FEM;SG
küçük	mazais	küçük	mazs	ADJ	ADJ;NOM;MASC;SG
kabul	pieņemšana	kabul	pieņemšana	N;NOM;SG;3	N;NOM;FEM;SG
kupası	kauss	kupa	kauss	N;NOM;SG;3	N;NOM;MASC;SG
okulu	skola	okul	skola	N;NOM;SG;3	N;NOM;FEM;SG
aldı	ņemta	al	ņemt	V;PFV;IND;SG;3;POS;PST	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
aldı	ņemts	al	ņemt	V;PFV;IND;SG;3;POS;PST	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
aldı	ieņēma	al	ieņemt	V;PFV;IND;SG;3;POS;PST	V;FH;IND;3;POS;PST;FIN;ACT
aldı	paņēma	al	paņemt	V;PFV;IND;SG;3;POS;PST	V;FH;IND;3;POS;PST;FIN;ACT
aldı	ņēma	al	ņemt	V;PFV;IND;SG;3;POS;PST	V;FH;IND;3;POS;PST;FIN;ACT
aldı	saņemts	al	saņemt	V;PFV;IND;SG;3;POS;PST	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
aldı	saņēma	al	saņemt	V;PFV;IND;SG;3;POS;PST	V;FH;IND;3;POS;PST;FIN;ACT
farklı	dažādi	farklı	dažāds	ADJ	ADJ;NOM;MASC;PL
farklı	atšķirīgs	farklı	atšķirīgs	ADJ	ADJ;NOM;MASC;SG
farklı	dažādas	farklı	dažāda	ADJ	ADJ;NOM;FEM;PL
özel	ekskluzīvā	özel	ekskluzīva	ADJ	ADJ;NOM;FEM;SG
özel	ekskluzīva	özel	ekskluzīva	ADJ	ADJ;NOM;FEM;SG
özel	ekskluzīvas	özel	ekskluzīva	ADJ	ADJ;NOM;FEM;PL
özel	privāti	özel	privāts	ADJ	ADJ;NOM;MASC;PL
özel	privāta	özel	privāts	ADJ	ADJ;NOM;FEM;SG
özel	privātie	özel	privāts	ADJ	ADJ;NOM;MASC;PL
özel	privātais	özel	privāts	ADJ	ADJ;NOM;MASC;SG
özel	privāts	özel	privāts	ADJ	ADJ;NOM;MASC;SG
özel	īpaša	özel	īpaša	ADJ	ADJ;NOM;FEM;SG
özel	īpašais	özel	īpašs	ADJ	ADJ;NOM;MASC;SG
özel	īpašs	özel	īpašs	ADJ	ADJ;NOM;MASC;SG
özel	īpašā	özel	īpaša	ADJ	ADJ;NOM;FEM;SG
alanı	lauks	alan	lauks	N;NOM;SG;3	N;NOM;MASC;SG
alanı	teritorija	alan	teritorija	N;NOM;SG;3	N;NOM;FEM;SG
alanı	platība	alan	platība	N;NOM;SG;3	N;NOM;FEM;SG
alanı	apgabals	alan	apgabals	N;NOM;SG;3	N;NOM;MASC;SG
alanı	laukums	alan	laukums	N;NOM;SG;3	N;NOM;MASC;SG
uzun	garš	uzun	garš	ADJ	ADJ;NOM;MASC;SG
uzun	garāka	uzun	gara	ADJ	ADJ;NOM;CMPR;FEM;SG
uzun	garais	uzun	garais	ADJ	ADJ;NOM;MASC;SG
uzun	gara	uzun	garš	ADJ	ADJ;NOM;FEM;SG
uzun	garas	uzun	gara	ADJ	ADJ;NOM;FEM;PL
uzun	garš	uzun	garš	ADJ	ADJ;NOM;MASC;SG
elektrik	elektroenerģija	elektrik	elektroenerģija	N;NOM;SG;3	N;NOM;FEM;SG
elektrik	elektrība	elektrik	elektrība	N;NOM;SG;3	N;NOM;FEM;SG
kısa	īsāks	kısa	īss	ADJ	ADJ;NOM;CMPR;MASC;SG
kısa	īsāki	kısa	īss	ADJ	ADJ;NOM;CMPR;MASC;PL
kısa	īsa	kısa	īsa	ADJ	ADJ;NOM;FEM;SG
kısa	īsais	kısa	īss	ADJ	ADJ;NOM;MASC;SG
kısa	īsā	kısa	īss	ADJ	ADJ;NOM;FEM;SG
kısa	īss	kısa	īss	ADJ	ADJ;NOM;MASC;SG
kişi	cilvēks	kişi	cilvēks	N;NOM;SG;3	N;NOM;MASC;SG
kişi	persona	kişi	persona	N;NOM;SG;3	N;NOM;FEM;SG
bilgileri	info	bilgi	info	N;ACC;PL;3	N
olmak	kļūstot	ol	kļūt	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;V.CVB
el	roka	el	roka	N;NOM;SG;3	N;NOM;FEM;SG
gol	ezers	gol	ezers	N;NOM;SG;3	N;NOM;MASC;SG
gol	mērķis	gol	mērķis	N;NOM;SG;3	N;NOM;MASC;SG
suyu	sulu	su	sula	N;ACC;SG;3	N;ACC;FEM;SG
ödülü	balvu	ödül	balva	N;ACC;SG;3	N;ACC;FEM;SG
gün	diena	gün	diena	N;NOM;SG;3	N;NOM;FEM;SG
süre	laiks	süre	laiks	N;NOM;SG;3	N;NOM;MASC;SG
süre	ilgums	süre	ilgums	N;NOM;SG;3	N;NOM;MASC;SG
eğitim	apmācība	eğitim	apmācība	N;NOM;SG;3	N;NOM;FEM;SG
eğitim	izglītība	eğitim	izglītība	N;NOM;SG;3	N;NOM;FEM;SG
eğitim	pamācība	eğitim	pamācība	N;NOM;SG;3	N;NOM;FEM;SG
sırasında	laikā	sıra	laiks	N;ESS;SG;3	N;ESS;MASC;SG
yaklaşık	par	yaklaşık	par		
az	maz	az	maz	ADV	ADV
az	mazāk	az	mazi	ADV	ADV;CMPR
görev	pienākums	görev	pienākums	N;NOM;SG;3	N;NOM;MASC;SG
görev	maksājums	görev	maksājums	N;NOM;SG;3	N;NOM;MASC;SG
görev	nodoklis	görev	nodoklis	N;NOM;SG;3	N;NOM;MASC;SG
görev	uzdevums	görev	uzdevums	N;NOM;SG;3	N;NOM;MASC;SG
görev	piešķiršana	görev	piešķiršana	N;NOM;SG;3	N;NOM;FEM;SG
görev	misija	görev	misija	N;NOM;SG;3	N;NOM;FEM;SG
yine	atkal	yine	atkal	ADV	ADV
yine	vēlreiz	yine	vēlreiz	ADV	ADV
ekonomisi	ekonomika	ekonomi	ekonomika	N;NOM;SG;3	N;NOM;FEM;SG
telefon	telefons	telefon	telefons	N;NOM;SG;3	N;NOM;MASC;SG
telefon	tālrunis	telefon	tālrunis	N;NOM;SG;3	N;NOM;MASC;SG
telefon	telefons	telefon	telefons	N;NOM;SG;3	N;NOM;MASC;SG
telefon	tālrunis	telefon	tālrunis	N;NOM;SG;3	N;NOM;MASC;SG
yeniden	atkal	yeniden	atkal	ADV	ADV
yeniden	vēlreiz	yeniden	vēlreiz	ADV	ADV
savaş	kauja	savaş	kauja	N;NOM;SG;3	N;NOM;FEM;SG
savaş	cīņa	savaş	cīņa	N;NOM;SG;3	N;NOM;FEM;SG
savaş	karš	savaş	karš	N;NOM;SG;3	N;NOM;MASC;SG
savaş	kara	savaş	karš	N;NOM;SG;3	N;NOM;MASC;SG
savaş	cīņa	savaş	cīņa	N;NOM;SG;3	N;NOM;FEM;SG
kullanıcı	lietotājs	kullanıcı	lietotājs	N;NOM;SG;3	N;NOM;MASC;SG
kullanıcı	lietotāja	kullanıcı	lietotāja	N;NOM;SG;3	N;NOM;MASC;SG
birliği	savienība	birlik	savienība	N;NOM;SG;3	N;NOM;FEM;SG
kanalizasyon	kanalizācija	kanalizasyon	kanalizācija	N;NOM;SG;3	N;NOM;FEM;SG
kanalizasyon	kanalizācija	kanalizasyon	kanalizācija	N;NOM;SG;3	N;NOM;FEM;SG
maç	spēle	maç	spēle	N;NOM;SG;3	N;NOM;FEM;SG
maç	atbilstība	maç	atbilstība	N;NOM;SG;3	N;NOM;FEM;SG
maç	sakritība	maç	sakritība	N;NOM;SG;3	N;NOM;FEM;SG
sıra	rinda	sıra	rinda	N;NOM;SG;3	N;NOM;FEM;SG
teknik	tehniskais	teknik	tehnisks	ADJ	ADJ;NOM;MASC;SG
teknik	tehniskā	teknik	tehniska	ADJ	ADJ;NOM;FEM;SG
uygun	derīgas	uygun	derīga	ADJ	ADJ;NOM;FEM;PL
uygun	ērts	uygun	ērts	ADJ	ADJ;NOM;MASC;SG
uygun	ērta	uygun	ērta	ADJ	ADJ;NOM;FEM;SG
bütün	vesels	bütün	vesels	ADJ	ADJ;NOM;MASC;SG
bütün	veseli	bütün	vesels	ADJ	ADJ;NOM;MASC;PL
bütün	veselas	bütün	vesela	ADJ	ADJ;NOM;FEM;PL
bütün	vesela	bütün	vesela	ADJ	ADJ;NOM;FEM;SG
listesi	uzskaitījums	liste	uzskaitījums	N;NOM;SG;3	N;NOM;MASC;SG
listesi	saraksts	liste	saraksts	N;NOM;SG;3	N;NOM;MASC;SG
dört	četri	dört	četri	NUM	NUM;NOM;MASC;PL
dört	četras	dört	četras	NUM	NUM;NOM;FEM;PL
dört	četriem	dört	četri	NUM	NUM;DAT;MASC;PL
dört	četrus	dört	četri	NUM	NUM;ACC;MASC;PL
from	no	from	no		
stadyumu	stadions	stadyum	stadions	N;NOM;SG;3	N;NOM;MASC;SG
bar	bārs	bar	bārs	N;NOM;SG;3	N;NOM;MASC;SG
bar	stienis	bar	stienis	N;NOM;SG;3	N;NOM;MASC;SG
bar	krogs	bar	krogs	N;NOM;SG;3	N;NOM;MASC;SG
sonunda	beidzot	sonunda	beidzot	ADV	ADV
onu	viņu	o	viņš	PRO;ACC;SG;3	PRO;ACC;MASC;SG;3
açık	skaidra	açık	skaidrs	ADJ	ADJ;NOM;FEM;SG
açık	skaidrs	açık	skaidrs	ADJ	ADJ;NOM;MASC;SG
açık	dzidrs	açık	dzidrs	ADJ	ADJ;NOM;MASC;SG
insan	cilvēks	insan	cilvēks	N;NOM;SG;3	N;NOM;MASC;SG
insan	persona	insan	persona	N;NOM;SG;3	N;NOM;FEM;SG
insan	cilvēks	insan	cilvēks	N;NOM;SG;3	N;NOM;MASC;SG
insan	vīrietis	insan	vīrietis	N;NOM;SG;3	N;NOM;MASC;SG
insan	cilvēks	insan	cilvēks	N;NOM;SG;3	N;NOM;MASC;SG
bilinen	zināma	bil	zināt	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;NOM;INDF;FEM;SG;PRS;V.PTCP;PASS
bilinen	zināmi	bil	zināt	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;NOM;INDF;MASC;PL;PRS;V.PTCP;PASS
bilinen	zināms	bil	zināt	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS
bilinen	pazīstama	bil	pazīt	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;NOM;INDF;FEM;SG;PRS;V.PTCP;PASS
neden	kapēc	ne	kapēc		
stadyum	stadions	stadyum	stadions	N;NOM;SG;3	N;NOM;MASC;SG
dahil	tostarp	dahil	tostarp		
an	moments	an	moments	N;NOM;SG;3	N;NOM;MASC;SG
an	brīdis	an	brīdis	N;NOM;SG;3	N;NOM;MASC;SG
an	mirklis	an	mirklis	N;NOM;SG;3	N;NOM;MASC;SG
iş	darbs	iş	darbs	N;NOM;SG;3	N;NOM;MASC;SG
iş	darbiņš	iş	darbiņš	N;NOM;SG;3	N;NOM;MASC;SG
iş	darbs	iş	darbs	N;NOM;SG;3	N;NOM;MASC;SG
iş	bizness	iş	bizness	N;NOM;SG;3	N;NOM;MASC;SG
iş	uzņēmējdarbība	iş	uzņēmējdarbība	N;NOM;SG;3	N;NOM;FEM;SG
bölümü	iedaļa	bölüm	iedaļa	N;NOM;SG;3	N;NOM;FEM;SG
bölümü	sadaļa	bölüm	sadaļa	N;NOM;SG;3	N;NOM;FEM;SG
bölümü	sekcija	bölüm	sekcija	N;NOM;SG;3	N;NOM;FEM;SG
bölümü	departaments	bölüm	departaments	N;NOM;SG;3	N;NOM;MASC;SG
bunu	šo	bu	šis	PRO;ACC;SG;3	PRO;ACC;MASC;SG
güzel	skaists	güzel	skaists	ADJ	ADJ;NOM;MASC;SG
güzel	skaistas	güzel	skaista	ADJ	ADJ;NOM;FEM;PL
güzel	skaista	güzel	skaista	ADJ	ADJ;NOM;FEM;SG
güzel	skaistā	güzel	skaista	ADJ	ADJ;NOM;FEM;SG
güzel	laba	güzel	laba	ADJ	ADJ;NOM;FEM;SG
güzel	labas	güzel	laba	ADJ	ADJ;NOM;FEM;PL
güzel	labs	güzel	labs	ADJ	ADJ;NOM;MASC;SG
güzel	labais	güzel	labs	ADJ	ADJ;NOM;MASC;SG
güzel	smuka	güzel	smuka	ADJ	ADJ;NOM;FEM;SG
güzel	jauka	güzel	jauka	ADJ	ADJ;NOM;FEM;SG
güzel	smuka	güzel	smuka	ADJ	ADJ;NOM;FEM;SG
güzel	skaistas	güzel	skaista	ADJ	ADJ;NOM;FEM;PL
çocuk	zēns	çocuk	zēns	N;NOM;SG;3	N;NOM;MASC;SG
çocuk	puika	çocuk	puika	N;NOM;SG;3	N;NOM;MASC;SG
çocuk	bērns	çocuk	bērns	N;NOM;SG;3	N;NOM;MASC;SG
çocuk	puika	çocuk	puika	N;NOM;SG;3	N;NOM;MASC;SG
çocuk	bērns	çocuk	bērns	N;NOM;SG;3	N;NOM;MASC;SG
sinema	filma	sine	filma	N;NOM;SG;3	N;NOM;FEM;SG
sinema	kino	sine	kino	N;NOM;SG;3	N
sinema	kino	sine	kino	N;NOM;SG;3	N
ay	mēnesis	ay	mēnesis	N;NOM;SG;3	N;NOM;MASC;SG
ay	mēness	ay	mēness	N;NOM;SG;3	N;NOM;MASC;SG
ay	pavadonis	ay	pavadonis	N;NOM;SG;3	N;NOM;MASC;SG
imparatorluğu	impērija	imparatorluk	impērija	N;NOM;SG;3	N;NOM;FEM;SG
internet	web	internet	web	N;NOM;SG;3	N
internet	tīmekļa	internet	tīmeklis	N;NOM;SG;3	N;NOM;MASC;SG
tiyatro	drāma	tiyatro	drāma	N;NOM;SG;3	N;NOM;FEM;SG
tiyatro	teātris	tiyatro	teātris	N;NOM;SG;3	N;NOM;MASC;SG
kazandı	uzvarēja	kazan	uzvarēt	V;PFV;IND;SG;3;POS;PST	V;FH;IND;3;POS;PST;FIN;ACT
kazandı	uzvarējis	kazan	uzvarēt	V;PFV;IND;SG;3;POS;PST	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
kazandı	ieguva	kazan	iegūt	V;PFV;IND;SG;3;POS;PST	V;FH;IND;3;POS;PST;FIN;ACT
karar	spriedums	karar	spriedums	N;NOM;SG;3	N;NOM;MASC;SG
karar	lēmums	karar	lēmums	N;NOM;SG;3	N;NOM;MASC;SG
tarih	datums	tarih	datums	N;NOM;SG;3	N;NOM;MASC;SG
tarih	vēsture	tarih	vēsture	N;NOM;SG;3	N;NOM;FEM;SG
ünlü	slavena	ünlü	slavena	ADJ	ADJ;NOM;FEM;SG
ünlü	slavens	ünlü	slavens	ADJ	ADJ;NOM;MASC;SG
ünlü	slavenais	ünlü	slavenais	ADJ	ADJ;NOM;MASC;SG
ünlü	slaveno	ünlü	slavens	ADJ	ADJ;ACC;MASC;SG
sosyal	sabiedrisks	sosyal	sabiedrisks	ADJ	ADJ;NOM;MASC;SG
sosyal	sociāla	sosyal	sociāla	ADJ	ADJ;NOM;FEM;SG
sosyal	sociālie	sosyal	sociāls	ADJ	ADJ;NOM;MASC;PL
sosyal	sociālais	sosyal	sociāls	ADJ	ADJ;NOM;MASC;SG
sosyal	sociālā	sosyal	sociāls	ADJ	ADJ;NOM;FEM;SG
sosyal	sociāls	sosyal	sociāls	ADJ	ADJ;NOM;MASC;SG
geldi	ieradies	gel	ierasties	V;PFV;IND;SG;3;POS;PST	V;PFV;NOM;INDF;MASC;SG;REFL;PST;V.PTCP
böylece	tādējādi	böylece	tādējādi	ADV	ADV
oy	balsošana	oy	balsošana	N;NOM;SG;3	N;NOM;FEM;SG
oy	balsojums	oy	balsojums	N;NOM;SG;3	N;NOM;MASC;SG
oy	balsošanas	oy	balsošana	N;NOM;SG;3	N;NOM;FEM;SG
oy	balsošana	oy	balsošana	N;NOM;SG;3	N;NOM;FEM;SG
oy	balsojums	oy	balsojums	N;NOM;SG;3	N;NOM;MASC;SG
geniş	plašs	geniş	plašs	ADJ	ADJ;NOM;MASC;SG
geniş	plaša	geniş	plaša	ADJ	ADJ;NOM;FEM;SG
geniş	plašas	geniş	plaša	ADJ	ADJ;NOM;FEM;PL
geniş	plašu	geniş	plašs	ADJ	ADJ;ACC;MASC;SG
geniş	plašs	geniş	plašs	ADJ	ADJ;NOM;MASC;SG
geniş	plaša	geniş	plaša	ADJ	ADJ;NOM;FEM;SG
geniş	lielie	geniş	liels	ADJ	ADJ;NOM;MASC;PL
geniş	liels	geniş	liels	ADJ	ADJ;NOM;MASC;SG
geniş	lielas	geniş	liela	ADJ	ADJ;NOM;FEM;PL
geniş	lieli	geniş	liels	ADJ	ADJ;NOM;MASC;PL
geniş	liela	geniş	liela	ADJ	ADJ;NOM;FEM;SG
geniş	lielā	geniş	liels	ADJ	ADJ;NOM;FEM;SG
geniş	plašs	geniş	plašs	ADJ	ADJ;NOM;MASC;SG
ev	māja	ev	māja	N;NOM;SG;3	N;NOM;FEM;SG
hareket	kustība	hareket	kustība	N;NOM;SG;3	N;NOM;FEM;SG
hareket	priekšlikums	hareket	priekšlikums	N;NOM;SG;3	N;NOM;MASC;SG
hareket	gājiens	hareket	gājiens	N;NOM;SG;3	N;NOM;MASC;SG
hareket	kustība	hareket	kustība	N;NOM;SG;3	N;NOM;FEM;SG
bölgesi	reģions	bölge	reģions	N;NOM;SG;3	N;NOM;MASC;SG
bölgesi	teritorija	bölge	teritorija	N;NOM;SG;3	N;NOM;FEM;SG
sahibi	īpašniece	sahip	īpašniece	N;NOM;SG;3	N;NOM;FEM;SG
sahibi	īpašnieks	sahip	īpašnieks	N;NOM;SG;3	N;NOM;MASC;SG
bilim	zinātne	bilim	zinātne	N;NOM;SG;3	N;NOM;FEM;SG
sistemi	sistēmu	sistem	sistēma	N;ACC;SG;3	N;ACC;FEM;SG
verdi	iedeva	ver	iedot	V;PFV;IND;SG;3;POS;PST	V;FH;IND;3;POS;PST;FIN;ACT
yaşayan	dzīvo	yaşa	dzīvot	V;PFV;IND;POS;PRS;V.PTCP	V;FH;IND;3;POS;PRS;FIN;ACT
hiç	nekad	hiç	nekad	ADV	ADV
hiç	kādreiz	hiç	kādreiz	ADV	ADV
ifade	express	ifade	express	N;NOM;SG;3	N;NOM;MASC;SG
ifade	ekspress	ifade	ekspress	N;NOM;SG;3	N;NOM;MASC;SG
ifade	paziņojums	ifade	paziņojums	N;NOM;SG;3	N;NOM;MASC;SG
ifade	liecība	ifade	liecība	N;NOM;SG;3	N;NOM;FEM;SG
ifade	izteiksme	ifade	izteiksme	N;NOM;SG;3	N;NOM;FEM;SG
ifade	izpausme	ifade	izpausme	N;NOM;SG;3	N;NOM;FEM;SG
rapor	ziņojums	rapor	ziņojums	N;NOM;SG;3	N;NOM;MASC;SG
altı	sešus	altı	seši	NUM	NUM;ACC;MASC;PL
altı	seši	altı	seši	NUM	NUM;NOM;MASC;PL
altı	sešas	altı	sešas	NUM	NUM;NOM;FEM;PL
dizi	sērija	dizi	sērija	N;NOM;SG;3	N;NOM;FEM;SG
dizi	sekvence	dizi	sekvence	N;NOM;SG;3	N;NOM;FEM;SG
dizi	secība	dizi	secība	N;NOM;SG;3	N;NOM;FEM;SG
ayrı	atsevišķu	ayrı	atsevišķs	ADJ	ADJ;ACC;MASC;SG
ayrı	atsevišķs	ayrı	atsevišķs	ADJ	ADJ;NOM;MASC;SG
ayrı	atsevišķie	ayrı	atsevišķs	ADJ	ADJ;NOM;MASC;PL
ayrı	atsevišķa	ayrı	atsevišķa	ADJ	ADJ;NOM;FEM;SG
şampiyonası	čempionāts	şampiyon	čempionāts	N;NOM;SG;3	N;NOM;MASC;SG
kuvvetleri	spēkus	kuvvet	spēks	N;ACC;PL;3	N;ACC;MASC;PL
göz	acs	göz	acs	N;NOM;SG;3	N;NOM;FEM;SG
televizyon	televizors	televizyon	televizors	N;NOM;SG;3	N;NOM;MASC;SG
televizyon	televīzija	televizyon	televīzija	N;NOM;SG;3	N;NOM;FEM;SG
sezonu	sezonu	sezon	sezona	N;ACC;SG;3	N;ACC;FEM;SG
fenerbahçe	fenerbahçe	fenerbahç	fenerbahçe	N;NOM;SG;3	N;NOM;FEM;SG
durum	statuss	durum	statuss	N;NOM;SG;3	N;NOM;MASC;SG
durum	situācija	durum	situācija	N;NOM;SG;3	N;NOM;FEM;SG
durum	stāvoklis	durum	stāvoklis	N;NOM;SG;3	N;NOM;MASC;SG
durum	nosacījums	durum	nosacījums	N;NOM;SG;3	N;NOM;MASC;SG
durum	stāvoklis	durum	stāvoklis	N;NOM;SG;3	N;NOM;MASC;SG
gelenek	tradīcija	gelenek	tradīcija	N;NOM;SG;3	N;NOM;FEM;SG
bunlar	šīs	bu	šī	PRO;NOM;PL;3	PRO;NOM;FEM;PL
bunlar	šie	bu	šis	PRO;NOM;PL;3	PRO;NOM;MASC;PL
yanlış	nepareiza	yanlış	nepareiza	ADJ	ADJ;NOM;FEM;SG
yanlış	nepareizs	yanlış	nepareizs	ADJ	ADJ;NOM;MASC;SG
yanlış	nepareiza	yanlış	nepareiza	ADJ	ADJ;NOM;FEM;SG
yanlış	nepareizs	yanlış	nepareizs	ADJ	ADJ;NOM;MASC;SG
yanlış	aplams	yanlış	aplams	ADJ	ADJ;NOM;MASC;SG
al	ņemt	al	ņemt	V;PFV;IMP;SG;2;POS;PRS	V;POS;NFIN
al	ņem	al	ņemt	V;PFV;IMP;SG;2;POS;PRS	V;IMP;SG;2;POS;FIN;ACT
al	iegūsti	al	iegūt	V;PFV;IMP;SG;2;POS;PRS	V;IMP;SG;2;POS;FIN;ACT
al	dabūt	al	dabūt	V;PFV;IMP;SG;2;POS;PRS	V;POS;NFIN
ses	skaņa	ses	skaņa	N;NOM;SG;3	N;NOM;FEM;SG
ses	balss	ses	balss	N;NOM;SG;3	N;NOM;FEM;SG
ses	audio	ses	audio	N;NOM;SG;3	N
ses	troksnis	ses	troksnis	N;NOM;SG;3	N;NOM;MASC;SG
ses	apjoms	ses	apjoms	N;NOM;SG;3	N;NOM;MASC;SG
ses	tilpums	ses	tilpums	N;NOM;SG;3	N;NOM;MASC;SG
