yleiset	frequentes	yleinen	frequente	ADJ;NOM;PL	ADJ;MASC;PL
franco	franco	franco	franco	N;NOM;SG	N;MASC;SG
mason	pedreiro	maso	pedreiro	N;NOM;SG	N;MASC;SG
mason	mason	maso	mason	N;NOM;SG	N;MASC;SG
omaisuutta	propriedade	omaisuus	propriedade	N;PRT;SG	N;FEM;SG
omaisuutta	imóvel	omaisuus	imóvel	N;PRT;SG	N;MASC;SG
tyhjä	vazio	tyhjä	vazio	ADJ;NOM;SG	ADJ;MASC;SG
tyhjä	vazia	tyhjä	vazer	ADJ;NOM;SG	ADJ;FEM;SG
kannet	tampas	kannet	tampa	N;NOM;PL	N;FEM;PL
kannet	tampas	kannet	tampa	N;NOM;PL	N;FEM;PL
kannet	covers	kannet	cover	N;NOM;PL	N;FEM;PL
kannet	coberturas	kannet	cobertura	N;NOM;PL	N;FEM;PL
kannet	capas	kannet	capa	N;NOM;PL	N;FEM;PL
kannet	pavimentos	kannet	pavimento	N;NOM;PL	N;MASC;PL
naton	otan	natto	otan	N;GEN;SG	N;FEM;SG
naton	nato	natto	nato	N;GEN;SG	N;MASC;SG
hapen	oxigénio	happi	oxigénio	N;GEN;SG	N;MASC;SG
hapen	oxigênio	happi	oxigênio	N;GEN;SG	N;MASC;SG
kiinasta	porcelana	kiina	porcelano	N;IN+ABL;SG	N;FEM;SG
kiinasta	china	kiina	china	N;IN+ABL;SG	N;FEM;SG
kohdat	itens	kohta	item	N;NOM;PL	N;MASC;PL
kohdat	artigos	kohta	artigo	N;NOM;PL	N;MASC;PL
kohdat	pontos	kohta	ponto	N;NOM;PL	N;MASC;PL
eduard	eduard	eduard	eduard	N;NOM;SG	N;MASC;SG
loma	feriado	loma	feriado	N;NOM;SG	N;MASC;SG
monivuotinen	perene	moni#vuotinen	perener	ADJ;NOM;SG	ADJ;FEM;SG
raportin	relatório	raportti	relatório	N;GEN;SG	N;MASC;SG
sisilian	sicilia	sisili	sicilia	N;GEN;SG	N;MASC;SG
sisilian	sicília	sisili	sicília	N;GEN;SG	N;FEM;SG
sisilian	siciliano	sisili	siciliano	N;GEN;SG	N;MASC;SG
airbus	airbus	airbus	airbu	N;NOM;SG	N;MASC;SG
koirat	cães	koira	cão	N;NOM;PL	N;MASC;PL
koirat	cachorros	koira	cachorro	N;NOM;PL	N;MASC;PL
vahinkoa	lesão	vahinko	lesão	N;PRT;SG	N;FEM;SG
vahinkoa	prejuízo	vahinko	prejuízo	N;PRT;SG	N;MASC;SG
vahinkoa	ferimento	vahinko	ferimento	N;PRT;SG	N;MASC;SG
vahinkoa	dano	vahinko	dano	N;PRT;SG	N;MASC;SG
vahinkoa	estrago	vahinko	estrago	N;PRT;SG	N;MASC;SG
touko	may	touko	may	N;NOM;SG	N;MASC;SG
touko	maio	touko	maio	N;NOM;SG	N;MASC;SG
määrätty	prescrita	määrätä	prescrever	V;NOM;SG;V.PTCP;PASS	V;FEM;SG;V.PTCP
määrätty	prescrito	määrätä	prescrito	V;NOM;SG;V.PTCP;PASS	V;MASC;SG;V.PTCP
määrätty	atribuído	määrätä	atribuir	V;NOM;SG;V.PTCP;PASS	V;MASC;SG;V.PTCP
määrätty	atribuída	määrätä	atribuir	V;NOM;SG;V.PTCP;PASS	V;FEM;SG;V.PTCP
kristityt	cristãos	kristityt	cristão	N;NOM;PL	N;MASC;PL
kristityt	cristãos	kristityt	cristão	N;NOM;PL	N;MASC;PL
kerää	cobrar	kerätä	cobrar	V;IMP;SG;2;FIN;ACT	V;NFIN
kerää	recolher	kerätä	recolher	V;IMP;SG;2;FIN;ACT	V;NFIN
kerää	coletar	kerätä	coletar	V;IMP;SG;2;FIN;ACT	V;NFIN
kerää	reunir	kerätä	reunir	V;IMP;SG;2;FIN;ACT	V;NFIN
halli	hall	halli	hall	N;NOM;SG	N;MASC;SG
halli	salão	halli	salão	N;NOM;SG	N;MASC;SG
halli	hangar	halli	hangar	N;NOM;SG	N;MASC;SG
promo	promo	promo	promo	N;NOM;SG	N;FEM;SG
aikakausi	eei	aika#kausi	eai	N;NOM;SG	N;FEM;SG
aikakausi	época	aika#kausi	época	N;NOM;SG	N;FEM;SG
vaunut	carruagens	vaunu	carruagem	N;NOM;PL	N;FEM;PL
vaunut	carroças	vaunu	carroça	N;NOM;PL	N;FEM;PL
vaunut	vagões	vaunu	vagão	N;NOM;PL	N;MASC;PL
vuosituhannen	milênio	vuosi#tuhat	milênio	N;GEN;SG	N;MASC;SG
vuosituhannen	millennium	vuosi#tuhat	millennium	N;GEN;SG	N;MASC;SG
vuosituhannen	milénio	vuosi#tuhat	milénio	N;GEN;SG	N;MASC;SG
salvador	salvador	salvador	salvador	N;NOM;SG	N;MASC;SG
piirsi	desenhou	piirtää	desenhar	V;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
rgb	rgb	rgb	rgb	N;NOM;SG	N;MASC;SG
kuukausia	meses	kuu#kausi	mês	N;PRT;PL	N;MASC;PL
marina	marina	marina	marina	N;NOM;SG	N;FEM;SG
mainitsi	mencionado	mainita	mencionar	V;IND;SG;3;PST;FIN;ACT	V;MASC;SG;V.PTCP
mainitsi	mencionou	mainita	mencionar	V;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
mainitsi	mencionada	mainita	mencionar	V;IND;SG;3;PST;FIN;ACT	V;FEM;SG;V.PTCP
hotellin	hotel	hotelli	hotel	N;GEN;SG	N;MASC;SG
laitteiden	dispositivos	laite	dispositivo	N;GEN;PL	N;MASC;PL
laitteiden	aparelhos	laite	aparelho	N;GEN;PL	N;MASC;PL
vajaan	galpão	vajaa	galpão	N;GEN;SG	N;MASC;SG
vajaan	barracão	vajaa	barracão	N;GEN;SG	N;MASC;SG
highway	highway	highway	highway	N;NOM;SG	N;MASC;SG
highway	rodovia	highway	rodovia	N;NOM;SG	N;FEM;SG
highway	autoestrada	highway	autoestrada	N;NOM;SG	N;FEM;SG
highway	estrada	highway	estrada	N;NOM;SG	N;FEM;SG
ratkaisi	resolveu	ratkaista	resolver	V;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
ratkaisi	resolvido	ratkaista	resolver	V;IND;SG;3;PST;FIN;ACT	V;MASC;SG;V.PTCP
taloja	casas	talo	casa	N;PRT;PL	N;FEM;PL
pätkä	baixinha	pätkä	baixinha	N;NOM;SG	N;FEM;SG
pätkä	shorty	pätkä	shorty	N;NOM;SG	N;MASC;SG
pätkä	baixinho	pätkä	baixinho	N;NOM;SG	N;MASC;SG
rannat	praias	ranta	praia	N;NOM;PL	N;FEM;PL
floridan	flórida	florida	flórida	N;GEN;SG	N;FEM;SG
floridan	florida	florida	florida	N;GEN;SG	N;FEM;SG
brandon	brandon	brandon	brandon	N;NOM;SG	N;MASC;SG
kokko	fogueira	kokko	fogueira	N;NOM;SG	N;FEM;SG
lentokoneita	aviões	lento#kone	avião	N;PRT;PL	N;MASC;PL
lentokoneita	aviões	lento#kone	avião	N;PRT;PL	N;MASC;PL
lentokoneita	aviões	lento#kone	avião	N;PRT;PL	N;MASC;PL
vastarintaa	resistência	vastarinta	resistência	N;PRT;SG	N;FEM;SG
painettu	impressa	painaa	imprimir	V;NOM;SG;V.PTCP;PASS	V;FEM;SG;V.PTCP
painettu	impresso	painaa	imprimir	V;NOM;SG;V.PTCP;PASS	V;MASC;SG;V.PTCP
tuhoa	destruição	tuho	destruição	N;PRT;SG	N;FEM;SG
normandian	normandia	normandi	normandia	N;GEN;SG	N;FEM;SG
regina	regina	regina	regina	N;NOM;SG	N;FEM;SG
säde	feixe	säde	feixe	N;NOM;SG	N;MASC;SG
säde	trave	säde	trave	N;NOM;SG	N;FEM;SG
säde	viga	säde	viga	N;NOM;SG	N;FEM;SG
säde	raio	säde	raio	N;NOM;SG	N;MASC;SG
vieras	visitante	vieras	visitante	N;NOM;SG	N;MASC;SG
vieras	hóspede	vieras	hóspede	N;NOM;SG	N;MASC;SG
vieras	guest	vieras	guest	N;NOM;SG	N;MASC;SG
vieras	forasteiro	vieras	forasteiro	N;NOM;SG	N;MASC;SG
tulosten	resultados	tulos	resultado	N;GEN;PL	N;MASC;PL
tulosten	resultados	tulos	resultado	N;GEN;PL	N;MASC;PL
korvat	orelhas	korva	orelha	N;NOM;PL	N;FEM;PL
lämpöä	heat	lämpö	heat	N;PRT;SG	N;MASC;SG
lämpöä	calor	lämpö	calor	N;PRT;SG	N;MASC;SG
lämpöä	cordialidade	lämpö	cordialidade	N;PRT;SG	N;FEM;SG
lämpöä	calor	lämpö	calor	N;PRT;SG	N;MASC;SG
ulkopuolinen	externo	ulko#puolinen	externo	ADJ;NOM;SG	ADJ;MASC;SG
keskikokoinen	médio	keski#kokoinen	médio	ADJ;NOM;SG	ADJ;MASC;SG
tulipalo	fire	tuli#palo	fire	N;NOM;SG	N;MASC;SG
tulipalo	fogueira	tuli#palo	fogueira	N;NOM;SG	N;FEM;SG
tulipalo	fogo	tuli#palo	fogo	N;NOM;SG	N;MASC;SG
tulipalo	incêndio	tuli#palo	incêndio	N;NOM;SG	N;MASC;SG
miekan	sword	miekka	sword	N;GEN;SG	N;MASC;SG
miekan	espada	miekka	espada	N;GEN;SG	N;FEM;SG
jelena	yelena	jelena	yelena	N;NOM;SG	N;FEM;SG
jelena	jelena	jelena	jelena	N;NOM;SG	N;FEM;SG
teemoja	temáticas	teemo	temática	N;PRT;PL	N;FEM;PL
teemoja	temas	teemo	tema	N;PRT;PL	N;MASC;PL
estetty	proibida	estää	proibir	V;NOM;SG;V.PTCP;PASS	V;FEM;SG;V.PTCP
estetty	banida	estää	banir	V;NOM;SG;V.PTCP;PASS	V;FEM;SG;V.PTCP
estetty	banido	estää	banir	V;NOM;SG;V.PTCP;PASS	V;MASC;SG;V.PTCP
estetty	proibido	estää	proibir	V;NOM;SG;V.PTCP;PASS	V;MASC;SG;V.PTCP
estetty	bloqueada	estää	bloquear	V;NOM;SG;V.PTCP;PASS	V;FEM;SG;V.PTCP
estetty	bloqueou	estää	bloquear	V;NOM;SG;V.PTCP;PASS	V;IND;SG;3;PST;FIN
estetty	bloqueado	estää	bloqueado	V;NOM;SG;V.PTCP;PASS	V;MASC;SG;V.PTCP
mayer	mayer	mayer	mayer	N;NOM;SG	N;MASC;SG
osallistuminen	atendimento	osallistuminen	atendimento	N;NOM;SG	N;MASC;SG
osallistuminen	comparecimento	osallistuminen	comparecimento	N;NOM;SG	N;MASC;SG
osallistuminen	participação	osallistuminen	participação	N;NOM;SG	N;FEM;SG
osallistuminen	envolvimento	osallistuminen	envolvimento	N;NOM;SG	N;MASC;SG
osallistuminen	participação	osallistuminen	participação	N;NOM;SG	N;FEM;SG
isoisä	avô	iso#isä	avô	N;NOM;SG	N;MASC;SG
isoisä	avô	iso#isä	avô	N;NOM;SG	N;MASC;SG
isoisä	vovô	iso#isä	vovô	N;NOM;SG	N;MASC;SG
isoisä	avô	iso#isä	avô	N;NOM;SG	N;MASC;SG
isoisä	vovô	iso#isä	vovô	N;NOM;SG	N;MASC;SG
isoisä	avo	iso#isä	avo	N;NOM;SG	N;MASC;SG
rannikkoa	litoral	rannikko	litoral	N;PRT;SG	N;MASC;SG
einstein	einstein	einstein	einstein	N;NOM;SG	N;MASC;SG
solujen	células	solu	célula	N;GEN;PL	N;FEM;PL
solujen	celas	solu	cela	N;GEN;PL	N;FEM;PL
lopullisen	definitiva	lopullinen	definitivo	ADJ;GEN;SG	ADJ;FEM;SG
lopullisen	definitivo	lopullinen	definitivo	ADJ;GEN;SG	ADJ;MASC;SG
jet	jato	jetä	jato	N;NOM;SG	N;MASC;SG
jet	jacto	jetä	jacto	N;NOM;SG	N;MASC;SG
jet	jet	jetä	jet	N;NOM;SG	N;MASC;SG
ralli	comício	ralli	comício	N;NOM;SG	N;MASC;SG
ralli	rally	ralli	rally	N;NOM;SG	N;MASC;SG
ralli	rali	ralli	rali	N;NOM;SG	N;MASC;SG
myynnin	sales	myynti	sale	N;GEN;SG	N;MASC;SG
kennedyn	kennedy	kennädä	kennedy	N;GEN;SG	N;MASC;SG
verkkoon	grade	verkko	grade	N;IN+ALL;SG	N;FEM;SG
verkkoon	grelha	verkko	grelha	N;IN+ALL;SG	N;FEM;SG
verkkoon	grid	verkko	grid	N;IN+ALL;SG	N;MASC;SG
kirjaimellisesti	literalmente	kirjaimellisesti	literalmente	ADV	ADV
ehdokkuutta	candidatura	ehdokkuus	candidatura	N;PRT;SG	N;FEM;SG
egyptiin	egipto	egypti	egipto	N;IN+ALL;SG	N;MASC;SG
egyptiin	egito	egypti	egito	N;IN+ALL;SG	N;MASC;SG
kristinusko	cristianismo	kristinus	cristianismo	N;NOM;SG	N;MASC;SG
kristinusko	cristandade	kristinus	cristandade	N;NOM;SG	N;FEM;SG
yksilöiden	indivíduos	yksilö	indivíduo	N;GEN;PL	N;MASC;PL
yksilöiden	espécimes	yksilö	espécime	N;GEN;PL	N;MASC;PL
työntekijät	trabalhadores	työn#tekijä	trabalhador	N;NOM;PL	N;MASC;PL
työntekijät	funcionários	työn#tekijä	funcionário	N;NOM;PL	N;MASC;PL
työntekijät	empregados	työn#tekijä	empregado	N;NOM;PL	N;MASC;PL
työntekijät	trabalhadores	työn#tekijä	trabalhador	N;NOM;PL	N;MASC;PL
työntekijät	operários	työn#tekijä	operário	N;NOM;PL	N;MASC;PL
työntekijät	trabalhadoras	työn#tekijä	trabalhador	N;NOM;PL	N;FEM;PL
castro	castro	castro	castro	N;NOM;SG	N;MASC;SG
kuljettajan	condutor	kuljettaja	condutor	N;GEN;SG	N;MASC;SG
kuljettajan	maquinista	kuljettaja	maquinista	N;GEN;SG	N;MASC;SG
kuljettajan	driver	kuljettaja	driver	N;GEN;SG	N;MASC;SG
kuljettajan	motorista	kuljettaja	motorista	N;GEN;SG	N;MASC;SG
järjestöt	associações	järjestö	associação	N;NOM;PL	N;FEM;PL
järjestöt	organizações	järjestö	organização	N;NOM;PL	N;FEM;PL
järjestöt	organizações	järjestö	organização	N;NOM;PL	N;FEM;PL
saariston	arquipélago	saaristo	arquipélago	N;GEN;SG	N;MASC;SG
aukio	quadrada	aukio	quadrada	N;NOM;SG	N;FEM;SG
aukio	praça	aukio	praça	N;NOM;SG	N;FEM;SG
aukio	square	aukio	square	N;NOM;SG	N;MASC;SG
aukio	quadrado	aukio	quadrado	N;NOM;SG	N;MASC;SG
sevillan	sevilha	seviltaa	sevilha	N;GEN;SG	N;MASC;SG
monroe	monroe	monroe	monroe	N;NOM;SG	N;MASC;SG
kannattajia	partidários	kannattaja	partidário	N;PRT;PL	N;MASC;PL
kannattajia	apoiantes	kannattaja	apoiante	N;PRT;PL	N;MASC;PL
kannattajia	apoiadores	kannattaja	apoiador	N;PRT;PL	N;MASC;PL
kannattajia	adeptos	kannattaja	adepto	N;PRT;PL	N;MASC;PL
väkivaltaa	violencia	väki#valta	violencia	N;PRT;SG	N;FEM;SG
väkivaltaa	violência	väki#valta	violência	N;PRT;SG	N;FEM;SG
sauna	sauna	sauna	sauna	N;NOM;SG	N;FEM;SG
legenda	legend	legenda	legend	N;NOM;SG	N;MASC;SG
legenda	lenda	legenda	lenda	N;NOM;SG	N;FEM;SG
legenda	legenda	legenda	legenda	N;NOM;SG	N;FEM;SG
tapahtumaan	acontecimento	tapahtuma	acontecimento	N;IN+ALL;SG	N;MASC;SG
tapahtumaan	evento	tapahtuma	evento	N;IN+ALL;SG	N;MASC;SG
toimintoja	funcionalidades	toiminto	funcionalidade	N;PRT;PL	N;FEM;PL
cannesin	cannes	cannes	canne	N;GEN;SG	N;MASC;SG
puhemies	presidente	puhe#mies	presidente	N;NOM;SG	N;MASC;SG
puhemies	orador	puhe#mies	orador	N;NOM;SG	N;MASC;SG
puhemies	falante	puhe#mies	falante	N;NOM;SG	N;MASC;SG
puhemies	oradora	puhe#mies	oradora	N;NOM;SG	N;FEM;SG
puhemies	palestrante	puhe#mies	palestrante	N;NOM;SG	N;MASC;SG
edwin	edwin	edwin	edwin	N;NOM;SG	N;MASC;SG
kahvila	cafeteria	kahvila	cafeteria	N;NOM;SG	N;FEM;SG
kahvila	lanchonete	kahvila	lanchonete	N;NOM;SG	N;FEM;SG
kahvila	refeitório	kahvila	refeitório	N;NOM;SG	N;MASC;SG
kahvila	cafetaria	kahvila	cafetaria	N;NOM;SG	N;FEM;SG
kahvila	cafe	kahvila	cafe	N;NOM;SG	N;MASC;SG
kahvila	café	kahvila	café	N;NOM;SG	N;MASC;SG
kahvila	café	kahvila	café	N;NOM;SG	N;MASC;SG
aamu	manhã	aamu	manhã	N;NOM;SG	N;FEM;SG
aamu	morning	aamu	morning	N;NOM;SG	N;MASC;SG
tina	tin	tina	tin	N;NOM;SG	N;MASC;SG
tina	lata	tina	lata	N;NOM;SG	N;FEM;SG
tina	estanho	tina	estanho	N;NOM;SG	N;MASC;SG
tina	tina	tina	tina	N;NOM;SG	N;FEM;SG
viestinnän	comunicação	viestintä	comunicação	N;GEN;SG	N;FEM;SG
aviomies	marido	avio#mies	marido	N;NOM;SG	N;MASC;SG
aviomies	esposo	avio#mies	esposo	N;NOM;SG	N;MASC;SG
liittoutuneet	aliadas	liittoutua	aliar	V;NOM;PL;V.PTCP;ACT	V;FEM;PL;V.PTCP
liittoutuneet	aliados	liittoutua	aliado	V;NOM;PL;V.PTCP;ACT	V;MASC;PL;V.PTCP
liittoutuneet	aliados	liittoutua	aliado	V;NOM;PL;V.PTCP;ACT	V;MASC;PL;V.PTCP
hallinnut	dominado	hallita	dominar	V;NOM;SG;V.PTCP;ACT	V;MASC;SG;V.PTCP
hallinnut	dominou	hallita	dominar	V;NOM;SG;V.PTCP;ACT	V;IND;SG;3;PST;FIN
hallinnut	dominada	hallita	dominar	V;NOM;SG;V.PTCP;ACT	V;FEM;SG;V.PTCP
rajoja	fronteiras	raja	fronteira	N;PRT;PL	N;FEM;PL
rajoja	limites	raja	limite	N;PRT;PL	N;MASC;PL
rajoja	fronteiras	raja	fronteira	N;PRT;PL	N;FEM;PL
indianapolis	indianápolis	indiana#polis	indianápoli	N;NOM;SG	N;MASC;SG
indianapolis	indianapolis	indiana#polis	indianapolins	N;NOM;SG	N;MASC;SG
kristittyjä	cristãos	kristitty	cristão	N;PRT;PL	N;MASC;PL
hävittäjät	combatentes	hävittäjä	combatente	N;NOM;PL	N;MASC;PL
hävittäjät	lutadores	hävittäjä	lutador	N;NOM;PL	N;MASC;PL
hävittäjät	caças	hävittäjä	caça	N;NOM;PL	N;FEM;PL
hävittäjät	contratorpedeiros	hävittäjä	contratorpedeiro	N;NOM;PL	N;MASC;PL
hävittäjät	destruidores	hävittäjä	destruidor	N;NOM;PL	N;MASC;PL
kiviä	stones	kivi	stone	N;PRT;PL	N;MASC;PL
kiviä	pedras	kivi	pedra	N;PRT;PL	N;FEM;PL
kiviä	rochedos	kivi	rochedo	N;PRT;PL	N;MASC;PL
kiviä	pedras	kivi	pedra	N;PRT;PL	N;FEM;PL
kiviä	rochas	kivi	rocha	N;PRT;PL	N;FEM;PL
sukellusveneen	submarino	sukeltus#vene	submarino	N;GEN;SG	N;MASC;SG
markkinat	mercados	markkinat	mercado	N;NOM;PL	N;MASC;PL
washingtonissa	washington	washington	washington	N;IN+ESS;SG	N;MASC;SG
ajat	vezes	aika	vez	N;NOM;PL	N;MASC;PL
ajat	tempos	aika	tempo	N;NOM;PL	N;MASC;PL
ajat	times	aika	time	N;NOM;PL	N;MASC;PL
korvattu	substituído	korvata	substituir	V;NOM;SG;V.PTCP;PASS	V;MASC;SG;V.PTCP
korvattu	substituída	korvata	substituir	V;NOM;SG;V.PTCP;PASS	V;FEM;SG;V.PTCP
korvattu	substituído	korvata	substituir	V;NOM;SG;V.PTCP;PASS	V;MASC;SG;V.PTCP
korvattu	substituída	korvata	substituir	V;NOM;SG;V.PTCP;PASS	V;FEM;SG;V.PTCP
korvattu	substituiu	korvata	substituir	V;NOM;SG;V.PTCP;PASS	V;IND;SG;3;PST;FIN
korvattu	substituído	korvata	substituir	V;NOM;SG;V.PTCP;PASS	V;MASC;SG;V.PTCP
korvattu	substituída	korvata	substituir	V;NOM;SG;V.PTCP;PASS	V;FEM;SG;V.PTCP
korvattu	substituiu	korvata	substituir	V;NOM;SG;V.PTCP;PASS	V;IND;SG;3;PST;FIN
alpha	alpha	alpha	alpha	N;NOM;SG	N;MASC;SG
alpha	alfa	alpha	alfar	N;NOM;SG	N;MASC;SG
eagle	eagle	eagle	eagle	N;NOM;SG	N;MASC;SG
eagle	águia	eagle	águia	N;NOM;SG	N;FEM;SG
valentin	valentin	valentti	valentin	N;GEN;SG	N;MASC;SG
suu	boquinha	suu	boquinha	N;NOM;SG	N;FEM;SG
suu	mouth	suu	mouth	N;NOM;SG	N;MASC;SG
suu	boca	suu	boca	N;NOM;SG	N;FEM;SG
suu	foz	suu	foz	N;NOM;SG	N;FEM;SG
elisa	eliza	elisa	elizar	N;NOM;SG	N;FEM;SG
elisa	elisa	elisa	elisar	N;NOM;SG	N;FEM;SG
psykologian	psicologia	psykologia	psicologia	N;GEN;SG	N;FEM;SG
puhdas	pura	puhdas	puro	ADJ;NOM;SG	ADJ;FEM;SG
puhdas	puro	puhdas	puro	ADJ;NOM;SG	ADJ;MASC;SG
puhdas	limpo	puhdas	limpo	ADJ;NOM;SG	ADJ;MASC;SG
puhdas	limpa	puhdas	limpa	ADJ;NOM;SG	ADJ;FEM;SG
kansalainen	cidadã	kansalainen	cidadã	N;NOM;SG	N;FEM;SG
