jako	como	jako	como	CONJ	CONJ
album	álbum	album	álbum	N;NOM;NEUT;SG;POS	N;MASC;SG
album	album	album	album	N;NOM;NEUT;SG;POS	N;MASC;SG
album	disco	album	disco	N;NOM;NEUT;SG;POS	N;MASC;SG
zejména	especialmente	zejména	especialmente	ADV	ADV
dvě	dos	dva	dos	NUM;NOM;PL	NUM;PL
jméno	nombre	jméno	nombre	N;NOM;NEUT;SG;POS	N;MASC;SG
jméno	name	jméno	name	N;NOM;NEUT;SG;POS	N
jméno	denominación	jméno	denominación	N;NOM;NEUT;SG;POS	N;FEM;SG
nové	nuevas	nový	nuevo	ADJ;NOM;MASC;PL;POS	ADJ;FEM;PL
nové	nuevos	nový	nuevo	ADJ;NOM;MASC;PL;POS	ADJ;MASC;PL
rok	año	rok	año	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
obec	comuna	obec	comuna	N;NOM;FEM;SG;POS	N;FEM;SG
obec	municipalidad	obec	municipalidad	N;NOM;FEM;SG;POS	N;FEM;SG
obec	municipio	obec	municipio	N;NOM;FEM;SG;POS	N;MASC;SG
obec	comunidad	obec	comunidad	N;NOM;FEM;SG;POS	N;FEM;SG
národní	national	národní	national	ADJ;NOM;MASC;SG;POS	ADJ;SG
národní	nacional	národní	nacional	ADJ;NOM;MASC;SG;POS	ADJ;SG
isbn	isbn	isbn	isbn	N;MASC;POS	N
velké	grandes	velký	grande	ADJ;NOM;MASC;PL;POS	ADJ;PL
velké	grandes	velký	grande	ADJ;NOM;MASC;PL;POS	ADJ;PL
země	pais	země	pais	N;NOM;FEM;SG;POS	N;MASC;SG
země	país	země	país	N;NOM;FEM;SG;POS	N;MASC;SG
země	land	země	land	N;NOM;FEM;SG;POS	N
země	terreno	země	terreno	N;NOM;FEM;SG;POS	N;MASC;SG
země	tierra	země	tierra	N;NOM;FEM;SG;POS	N;FEM;SG
země	terreno	země	terreno	N;NOM;FEM;SG;POS	N;MASC;SG
země	ground	země	ground	N;NOM;FEM;SG;POS	N
země	earth	země	earth	N;NOM;FEM;SG;POS	N
země	tierra	země	tierra	N;NOM;FEM;SG;POS	N;FEM;SG
též	igualmente	též	igualmente	ADV	ADV
též	además	též	además	ADV	ADV
též	también	též	también	ADV	ADV
mistrovství	maestría	mistrovství	maestría	N;NOM;NEUT;SG;POS	N;FEM;SG
mistrovství	campeonato	mistrovství	campeonato	N;NOM;NEUT;SG;POS	N;MASC;SG
mistrovství	campeonato	mistrovství	campeonato	N;NOM;NEUT;SG;POS	N;MASC;SG
mistrovství	championship	mistrovství	championship	N;NOM;NEUT;SG;POS	N;MASC;SG
http	http	http	http	N;INAN;NOM;MASC;SG;POS	N
film	pelicula	film	pelicula	N;INAN;NOM;MASC;SG;POS	N;FEM;SG
film	cine	film	cine	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
film	movie	film	movie	N;INAN;NOM;MASC;SG;POS	N;SG
film	película	film	película	N;INAN;NOM;MASC;SG;POS	N;FEM;SG
film	pelicula	film	pelicula	N;INAN;NOM;MASC;SG;POS	N;FEM;SG
film	cine	film	cine	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
film	película	film	película	N;INAN;NOM;MASC;SG;POS	N;FEM;SG
film	film	film	film	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
strany	lados	strana	lado	N;NOM;FEM;PL;POS	N;MASC;PL
strany	laterales	strana	lateral	N;NOM;FEM;PL;POS	N;PL
strany	bandos	strana	bando	N;NOM;FEM;PL;POS	N;MASC;PL
strany	fiestas	strana	fiesta	N;NOM;FEM;PL;POS	N;FEM;PL
jiné	distinta	jiný	distinto	ADJ;NOM;NEUT;SG;POS	ADJ;FEM;SG
jiné	diferente	jiný	diferente	ADJ;NOM;NEUT;SG;POS	ADJ;SG
jiné	distinto	jiný	distinto	ADJ;NOM;NEUT;SG;POS	ADJ;MASC;SG
dnes	hoy	dnes	hoy	ADV	ADV
poslední	último	poslední	último	ADJ;NOM;MASC;SG;POS	ADJ;MASC;SG
poslední	última	poslední	último	ADJ;NOM;MASC;SG;POS	ADJ;FEM;SG
narození	natalidad	narození	natalidad	N;NOM;NEUT;SG;POS	N;FEM;SG
narození	nacimiento	narození	nacimiento	N;NOM;NEUT;SG;POS	N;MASC;SG
narození	parto	narození	parto	N;NOM;NEUT;SG;POS	N;MASC;SG
americký	americano	americký	americano	ADJ;ANIM;NOM;MASC;SG;POS	ADJ;MASC;SG
americký	estadounidense	americký	estadounidense	ADJ;ANIM;NOM;MASC;SG;POS	ADJ;SG
americký	americana	americký	americana	ADJ;ANIM;NOM;MASC;SG;POS	ADJ;FEM;SG
republiky	republic	republika	republic	N;NOM;FEM;PL;POS	N
dne	día	den	día	N;INAN;GEN;MASC;SG;POS	N;MASC;SG
dne	dia	den	diar	N;INAN;GEN;MASC;SG;POS	N;MASC;SG
okres	condado	okres	condado	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
okres	distrito	okres	distrito	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
světové	mundial	světový	mundial	ADJ;NOM;FEM;SG;POS	ADJ;SG
článek	articulo	článek	articulo	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
článek	artículo	článek	artículo	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
společnosti	compañias	společnost	compañia	N;NOM;FEM;PL;POS	N;FEM;PL
společnosti	empresas	společnost	empresa	N;NOM;FEM;PL;POS	N;FEM;PL
společnosti	compañías	společnost	compañía	N;NOM;FEM;PL;POS	N;FEM;PL
vlastní	propio	vlastní	propio	ADJ;NOM;MASC;SG;POS	ADJ;MASC;SG
vlastní	propia	vlastní	propio	ADJ;NOM;MASC;SG;POS	ADJ;FEM;SG
vlastní	personalizado	vlastní	personalizado	ADJ;NOM;MASC;SG;POS	ADJ;MASC;SG;V.PTCP
vlastní	personalizada	vlastní	personalizado	ADJ;NOM;MASC;SG;POS	ADJ;FEM;SG;V.PTCP
základní	básica	základní	básico	ADJ;NOM;MASC;SG;POS	ADJ;FEM;SG
základní	básico	základní	básico	ADJ;NOM;MASC;SG;POS	ADJ;MASC;SG
základní	elemental	základní	elemental	ADJ;NOM;MASC;SG;POS	ADJ;SG
hudební	musical	hudební	musical	ADJ;NOM;MASC;SG;POS	ADJ;SG
marie	maría	marie	maría	N;NOM;FEM;SG;POS	N;FEM;SG
marie	marie	marie	marie	N;NOM;FEM;SG;POS	N;FEM;SG
marie	maría	marie	maría	N;NOM;FEM;SG;POS	N;FEM;SG
marie	mary	marie	mary	N;NOM;FEM;SG;POS	N;FEM;SG
marie	maría	marie	maría	N;NOM;FEM;SG;POS	N;FEM;SG
skupina	grupo	skupina	grupo	N;NOM;FEM;SG;POS	N;MASC;SG
skupina	group	skupina	group	N;NOM;FEM;SG;POS	N
mohou	pueden	moci	poder	V;IND;PL;3;POS;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
klub	club	klub	club	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
klub	garrote	klub	garrote	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
klub	discoteca	klub	discoteca	N;INAN;NOM;MASC;SG;POS	N;FEM;SG
severní	septentrional	severní	septentrional	ADJ;NOM;MASC;SG;POS	ADJ;SG
severní	norteña	severní	norteño	ADJ;NOM;MASC;SG;POS	ADJ;FEM;SG
článku	articulo	článek	articulo	N;INAN;GEN;MASC;SG;POS	N;MASC;SG
článku	artículo	článek	artículo	N;INAN;GEN;MASC;SG;POS	N;MASC;SG
začal	comenzó	začít	comenzar	V;MASC;SG;POS;PST;V.PTCP;ACT	V;IND;SG;3;PST;FIN
začal	comenzado	začít	comenzar	V;MASC;SG;POS;PST;V.PTCP;ACT	V;MASC;SG;PST;V.PTCP
začal	empezó	začít	empezar	V;MASC;SG;POS;PST;V.PTCP;ACT	V;IND;SG;3;PST;FIN
začal	comenzó	začít	comenzar	V;MASC;SG;POS;PST;V.PTCP;ACT	V;IND;SG;3;PST;FIN
tam	allí	tam	allí	ADV	ADV
tam	ahí	tam	ahí	ADV	ADV
doby	periodos	doba	periodo	N;NOM;FEM;PL;POS	N;MASC;PL
doby	períodos	doba	período	N;NOM;FEM;PL;POS	N;MASC;PL
strana	parte	strana	parte	N;NOM;FEM;SG;POS	N;FEM;SG
strana	partido	strana	partido	N;NOM;FEM;SG;POS	N;MASC;SG
strana	fiesta	strana	fiesta	N;NOM;FEM;SG;POS	N;FEM;SG
strana	party	strana	party	N;NOM;FEM;SG;POS	N
strana	pagina	strana	pagina	N;NOM;FEM;SG;POS	N;FEM;SG
strana	página	strana	página	N;NOM;FEM;SG;POS	N;FEM;SG
strana	page	strana	pager	N;NOM;FEM;SG;POS	N
strana	lateral	strana	lateral	N;NOM;FEM;SG;POS	N;SG
strana	lado	strana	lado	N;NOM;FEM;SG;POS	N;MASC;SG
práce	empleo	práce	empleo	N;NOM;FEM;SG;POS	N;MASC;SG
práce	trabajo	práce	trabajo	N;NOM;FEM;SG;POS	N;MASC;SG
práce	obra	práce	obra	N;NOM;FEM;SG;POS	N;FEM;SG
práce	trabajo	práce	trabajo	N;NOM;FEM;SG;POS	N;MASC;SG
tvoří	formando	tvořit	formar	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;V.MSDR
nakonec	eventualmente	nakonec	eventualmente	ADV	ADV
nakonec	finalmente	nakonec	finalmente	ADV	ADV
smrti	fallecimiento	smrt	fallecimiento	N;GEN;FEM;SG;POS	N;MASC;SG
smrti	death	smrt	death	N;GEN;FEM;SG;POS	N
smrti	muerte	smrt	muerte	N;GEN;FEM;SG;POS	N;FEM;SG
smrti	defunción	smrt	defunción	N;GEN;FEM;SG;POS	N;FEM;SG
opět	nuevamente	opět	nuevamente	ADV	ADV
kromě	excepto	kromě	excepto	ADP;GEN	ADP
kromě	salvo	kromě	salvo	ADP;GEN	ADP
web	website	web	website	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
web	web	web	web	N;INAN;NOM;MASC;SG;POS	N;FEM;SG
web	sitio	web	sitio	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
web	web	web	web	N;INAN;NOM;MASC;SG;POS	N;FEM;SG
web	telaraña	web	telaraña	N;INAN;NOM;MASC;SG;POS	N;FEM;SG
původní	original	původní	original	ADJ;NOM;MASC;SG;POS	ADJ;SG
jižní	sureña	jižní	sureño	ADJ;NOM;FEM;SG;POS	ADJ;FEM;SG
jižní	meridional	jižní	meridional	ADJ;NOM;FEM;SG;POS	ADJ;SG
jižní	sureño	jižní	sureño	ADJ;NOM;FEM;SG;POS	ADJ;MASC;SG
případě	case	případ	case	N;INAN;DAT;MASC;SG;POS	N
případě	caso	případ	caso	N;INAN;DAT;MASC;SG;POS	N;MASC;SG
případě	estuche	případ	estuche	N;INAN;DAT;MASC;SG;POS	N;MASC;SG
zemřel	murió	zemřít	morir	V;MASC;SG;POS;PST;V.PTCP;ACT	V;IND;SG;3;PST;FIN
společnost	society	společnost	society	N;NOM;FEM;SG;POS	N;SG
společnost	sociedad	společnost	sociedad	N;NOM;FEM;SG;POS	N;FEM;SG
společnost	compañia	společnost	compañia	N;NOM;FEM;SG;POS	N;FEM;SG
společnost	empresa	společnost	empresa	N;NOM;FEM;SG;POS	N;FEM;SG
společnost	compañía	společnost	compañía	N;NOM;FEM;SG;POS	N;FEM;SG
společnost	companía	společnost	companía	N;NOM;FEM;SG;POS	N;FEM;SG
číslo	número	číslo	número	N;NOM;NEUT;SG;POS	N;MASC;SG
číslo	numero	číslo	numero	N;NOM;NEUT;SG;POS	N;MASC;SG
původně	inicialmente	původně	inicialmente	ADV;POS	ADV
původně	originalmente	původně	originalmente	ADV;POS	ADV
původně	originariamente	původně	originariamente	ADV;POS	ADV
nový	nuevo	nový	nuevo	ADJ;INAN;NOM;MASC;SG;POS	ADJ;MASC;SG
nový	nueva	nový	nuevo	ADJ;INAN;NOM;MASC;SG;POS	ADJ;FEM;SG
reprezentace	representación	reprezentace	representación	N;NOM;FEM;SG;POS	N;FEM;SG
nejvyšší	supremo	vysoký	supremo	ADJ;NOM;RL;MASC;SG;POS	ADJ;MASC;SG
rovněž	igualmente	rovněž	igualmente	ADV	ADV
rovněž	además	rovněž	además	ADV	ADV
rovněž	también	rovněž	también	ADV	ADV
góly	metas	gól	meta	N;INAN;NOM;MASC;PL;POS	N;FEM;PL
góly	objetivos	gól	objetivo	N;INAN;NOM;MASC;PL;POS	N;MASC;PL
góly	goles	gól	gol	N;INAN;NOM;MASC;PL;POS	N;MASC;PL
lidí	personas	člověk	persona	N;ANIM;GEN;MASC;PL;POS	N;FEM;PL
metrů	contadores	metr	contador	N;INAN;GEN;MASC;PL;POS	N;MASC;PL
metrů	metros	metr	metro	N;INAN;GEN;MASC;PL;POS	N;MASC;PL
metrů	medidores	metr	medidor	N;INAN;GEN;MASC;PL;POS	N;MASC;PL
metrů	metros	metr	metro	N;INAN;GEN;MASC;PL;POS	N;MASC;PL
život	vida	život	vida	N;INAN;NOM;MASC;SG;POS	N;FEM;SG
život	life	život	life	N;INAN;NOM;MASC;SG;POS	N
titul	titulo	titul	titulo	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
titul	título	titul	título	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
vesnice	pueblo	vesnice	pueblo	N;NOM;FEM;SG;POS	N;MASC;SG
vesnice	villa	vesnice	villa	N;NOM;FEM;SG;POS	N;FEM;SG
vesnice	aldea	vesnice	aldea	N;NOM;FEM;SG;POS	N;FEM;SG
systém	system	systém	system	N;INAN;NOM;MASC;SG;POS	N
systém	sistema	systém	sistema	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
třetí	tercera	třetí	tercero	ADJ;NOM;MASC;SG	ADJ;FEM;SG
třetí	tercer	třetí	tercero	ADJ;NOM;MASC;SG	ADJ;MASC;SG
třetí	tercero	třetí	tercero	ADJ;NOM;MASC;SG	ADJ;MASC;SG
umění	arts	umění	arts	N;NOM;NEUT;SG;POS	N
umění	arte	umění	arte	N;NOM;NEUT;SG;POS	N;SG
umění	arte	umění	arte	N;NOM;NEUT;SG;POS	N;SG
straně	lateral	strana	lateral	N;DAT;FEM;SG;POS	N;SG
straně	lado	strana	lado	N;DAT;FEM;SG;POS	N;MASC;SG
možné	posible	možný	posible	ADJ;NOM;NEUT;SG;POS	ADJ;SG
verze	version	verze	version	N;NOM;FEM;SG;POS	N;FEM;SG
verze	versión	verze	versión	N;NOM;FEM;SG;POS	N;FEM;SG
střední	mediano	střední	mediano	ADJ;NOM;MASC;SG;POS	ADJ;MASC;SG
střední	mediana	střední	mediano	ADJ;NOM;MASC;SG;POS	ADJ;FEM;SG
musí	debe	muset	deber	V;IND;SG;3;POS;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
vlády	gobiernos	vláda	gobierno	N;NOM;FEM;PL;POS	N;MASC;PL
den	día	den	día	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
den	dia	den	diar	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
