ini	इस	ini	यह	DET	DET;ACC;SG;3
besar	बड़ी	besar	बडा	ADJ;SG	ADJ;NOM;FEM;SG
besar	महान	besar	महान	ADJ;SG	ADJ
besar	बड़ा	besar	बड़ा	ADJ;SG	ADJ;NOM;MASC;SG
film	चलचित्र	film	चलचित्र	N;SG	N;NOM;MASC;SG;3
film	फ़िल्म	film	फ़िल्म	N;SG	N;NOM;FEM;SG;3
film	मूवी	film	मूवी	N;SG	N;NOM;FEM;SG;3
film	फिल्म	film	फिल्म	N;SG	N;NOM;FEM;SG;3
film	फ़िल्म	film	फ़िल्म	N;SG	N;NOM;FEM;SG;3
film	फिल्म	film	फिल्म	N;SG	N;NOM;FEM;SG;3
film	मूवी	film	मूवी	N;SG	N;NOM;FEM;SG;3
kelas	क्लासेस	kelas	क्लासेस	N;SG	N;NOM;MASC;SG;3
kelas	वर्ग	kelas	वर्ग	N;SG	N;NOM;MASC;SG;3
kelas	कक्षा	kelas	कक्षा	N;SG	N;NOM;FEM;SG;3
kelas	वर्ग	kelas	वर्ग	N;SG	N;NOM;MASC;SG;3
beberapa	अनेक	beberapa	अनेक	DET	DET
beberapa	कई	beberapa	कई	DET	DET
beberapa	अनेक	beberapa	अनेक	DET	DET
beberapa	कुछ	beberapa	कुछ	DET	DET
kecamatan	जिला	kecamatan	जिला	N;SG	N;NOM;MASC;SG;3
kecamatan	डिस्ट्रिक्ट	kecamatan	डिस्ट्रिक्ट	N;SG	N;NOM;MASC;SG;3
kecamatan	ज़िला	kecamatan	ज़िला	N;SG	N;NOM;MASC;SG;3
salah	नमाज़	salah	नमाज	N;SG	N;NOM;FEM;SG;3
salah	सलाह	salah	सलाह	N;SG	N;NOM;FEM;SG;3
negara	राज्य	negara	राज्य	N;SG	N;NOM;MASC;SG;3
negara	देश	negara	देश	N;SG	N;NOM;MASC;SG;3
negara	अवस्था	negara	अवस्था	N;SG	N;NOM;FEM;SG;3
negara	स्टेट	negara	स्टेट	N;SG	N;NOM;MASC;SG;3
negara	स्थिति	negara	स्थिति	N;SG	N;NOM;FEM;SG;3
negara	राज्य	negara	राज्य	N;SG	N;NOM;MASC;SG;3
negara	देश	negara	देश	N;SG	N;NOM;MASC;SG;3
negara	देशो	negara	देशो	N;SG	N;NOM;MASC;SG;3
biasanya	प्रायः	biasanya	प्रायः	ADV	ADV
biasanya	सामान्यतः	biasanya	सामान्यतः	ADV	ADV
kemudian	फिर	kemudian	फिर	ADV	ADV
kemudian	बाद	kemudian	बाद	ADV	ADV;NOM;MASC;SG;3
kabupaten	लैन	kabupaten	लैन	N;SG	N;NOM;MASC;SG;3
kabupaten	जिला	kabupaten	जिला	N;SG	N;NOM;MASC;SG;3
kabupaten	डिस्ट्रिक्ट	kabupaten	डिस्ट्रिक्ट	N;SG	N;NOM;MASC;SG;3
kabupaten	ज़िला	kabupaten	ज़िला	N;SG	N;NOM;MASC;SG;3
lalat	मक्खी	lalat	मक्खी	N;SG	N;NOM;MASC;SG;3
isi	विषयवस्तु	isi	विषयवस्तु	N;SG	N;NOM;FEM;SG;3
isi	सामग्री	isi	सामग्री	N;SG	N;NOM;FEM;SG;3
isi	विषयवस्तु	isi	विषयवस्तु	N;SG	N;NOM;FEM;SG;3
isi	सामग्री	isi	सामग्री	N;SG	N;NOM;FEM;SG;3
daftar	सूची	daftar	सूची	N;SG	N;NOM;FEM;SG;3
baru	नया	baru	नया	ADJ;SG	ADJ;NOM;MASC;SG
baru	नई	baru	नया	ADJ;SG	ADJ;NOM;FEM;SG
wilayah	क्षेत्र	wilayah	क्षेत्र	N;SG	N;NOM;MASC;SG;3
wilayah	क्षेत्रफल	wilayah	क्षेत्रफल	N;SG	N;NOM;MASC;SG;3
wilayah	क्षेत्र	wilayah	क्षेत्र	N;SG	N;NOM;MASC;SG;3
wilayah	प्रदेश	wilayah	प्रदेश	N;SG	N;NOM;MASC;SG;3
tanggal	तारीख	tanggal	तारीख	N;SG;ACT	N;NOM;FEM;SG;3
tanggal	तारीख़	tanggal	तारीख़	N;SG;ACT	N;NOM;FEM;SG;3
tanggal	दिनांक	tanggal	दिनांक	N;SG;ACT	N;NOM;FEM;SG;3
tanggal	तिथि	tanggal	तिथि	N;SG;ACT	N;NOM;FEM;SG;3
dunia	दुनिया	dunia	दुनिया	N;SG	N;NOM;FEM;SG;3
dunia	विश्व	dunia	विश्व	N;SG	N;NOM;MASC;SG;3
dunia	संसार	dunia	संसार	N;SG	N;NOM;MASC;SG;3
dunia	संसार	dunia	संसार	N;SG	N;NOM;MASC;SG;3
tempat	जगह	tempat	जगह	N;SG	N;NOM;FEM;SG;3
tempat	स्थान	tempat	स्थान	N;SG	N;NOM;MASC;SG;3
tempat	प्लेस	tempat	प्लेस	N;SG	N;NOM;FEM;SG;3
tempat	स्थान	tempat	स्थान	N;SG	N;NOM;MASC;SG;3
dua	दो	dua	दो	NUM	NUM
animalia	animalia	animalia	animalia	N	N;NOM;MASC;SG;3
anak	बेटा	anak	बेटा	N;SG	N;NOM;MASC;SG;3
anak	पुत्र	anak	पुत्र	N;SG	N;NOM;MASC;SG;3
anak	बेटे	anak	बेटा	N;SG	N;NOM;MASC;SG;3
anak	संतति	anak	संतति	N;SG	N;NOM;FEM;SG;3
anak	बालक	anak	बालक	N;SG	N;NOM;MASC;SG;3
anak	बच्चा	anak	बच्चा	N;SG	N;NOM;MASC;SG;3
species	प्रजातियां	species	प्रजाति	N	N;NOM;FEM;PL;3
species	प्रजाति	species	प्रजाति	N	N;NOM;FEM;SG;3
hidup	जिंदगी	hidup	जिंदगी	N;SG	N;NOM;FEM;SG;3
hidup	ज़िन्दगी	hidup	ज़िन्दगी	N;SG	N;NOM;FEM;SG;3
hidup	ज़िंदगी	hidup	ज़िंदगी	N;SG	N;NOM;FEM;SG;3
hidup	जिन्दगी	hidup	जिन्दगी	N;SG	N;NOM;FEM;SG;3
hidup	जीवन	hidup	जीवन	N;SG	N;NOM;MASC;SG;3
lagu	गाना	lagu	गाना	N;SG	N;NOM;MASC;SG;3
daerah	जिला	daerah	जिला	N;SG	N;NOM;MASC;SG;3
daerah	डिस्ट्रिक्ट	daerah	डिस्ट्रिक्ट	N;SG	N;NOM;MASC;SG;3
daerah	ज़िला	daerah	ज़िला	N;SG	N;NOM;MASC;SG;3
daerah	क्षेत्र	daerah	क्षेत्र	N;SG	N;NOM;MASC;SG;3
daerah	क्षेत्रफल	daerah	क्षेत्रफल	N;SG	N;NOM;MASC;SG;3
daerah	क्षेत्र	daerah	क्षेत्र	N;SG	N;NOM;MASC;SG;3
daerah	प्रदेश	daerah	प्रदेश	N;SG	N;NOM;MASC;SG;3
daerah	लैन	daerah	लैन	N;SG	N;NOM;MASC;SG;3
daerah	धारा	daerah	धारा	N;SG	N;NOM;FEM;SG;3
daerah	खंड	daerah	खंड	N;SG	N;NOM;MASC;SG;3
daerah	अनुभाग	daerah	अनुभाग	N;SG	N;NOM;MASC;SG;3
daerah	खण्ड	daerah	खण्ड	N;SG	N;NOM;MASC;SG;3
sekolah	विद्यालय	sekolah	विद्यालय	N;SG	N;NOM;MASC;SG;3
sekolah	स्कूल	sekolah	स्कूल	N;SG	N;NOM;MASC;SG;3
sekolah	विद्यालय	sekolah	विद्यालय	N;SG	N;NOM;MASC;SG;3
sekolah	school	sekolah	school	N;SG	N;NOM;MASC;SG;3
sekolah	स्कूल	sekolah	स्कूल	N;SG	N;NOM;MASC;SG;3
air	वाटर	air	वाटर	N;SG	N;NOM;MASC;SG;3
air	पानी	air	पानी	N;SG	N;NOM;MASC;SG;3
air	जल	air	जल	N;SG	N;NOM;MASC;SG;3
air	वायु	air	वायु	N;SG	N;NOM;FEM;SG;3
air	एयर	air	एयर	N;SG	N;NOM;FEM;SG;3
hari	दिवस	hari	दिवस	N;SG	N;NOM;MASC;SG;3
hari	दिन	hari	दिन	N;SG	N;NOM;MASC;SG;3
hari	दिन	hari	दिन	N;SG	N;NOM;MASC;SG;3
kali	वक़्त	kali	वक़्त	N;SG	N;NOM;MASC;SG;3
kali	वक्त	kali	वक्त	N;SG	N;NOM;MASC;SG;3
kali	समय	kali	समय	N;SG	N;NOM;MASC;SG;3
kali	बार	kali	बार	N;SG	N;NOM;FEM;SG;3
album	एलबम	album	एलबम	N;SG	N;NOM;MASC;SG;3
album	एल्बम	album	एल्बम	N;SG	N;NOM;MASC;SG;3
album	एलबम	album	एलबम	N;SG	N;NOM;MASC;SG;3
album	एल्बम	album	एल्बम	N;SG	N;NOM;MASC;SG;3
hal	बात	hal	बात	N;SG	N;NOM;FEM;SG;3
hal	सामान	hal	सामान	N;SG	N;NOM;MASC;SG;3
panjang	लंबी	panjang	लंबा	ADJ;SG	ADJ;NOM;FEM;SG
panjang	लंबा	panjang	लंबा	ADJ;SG	ADJ;MASC;SG
panjang	लम्बी	panjang	लंबा	ADJ;SG	ADJ;NOM;FEM;SG
lainnya	अन्य	lainnya	अन्य	N	N;NOM;MASC;SG;3
lainnya	अन्य	lainnya	अन्य	N	N;NOM;MASC;SG;3
kembali	पिछे	kembali	पिछ	V;SG;ACT	V;MASC;SG;FIN;ACT
lihat	देख	lihat	देख	V;SG;ACT	V;ACT
lihat	देखिए	lihat	देखिया	V;SG;ACT	V;SBJV;SG;FIN;ACT
lihat	देखो	lihat	देखो	V;SG;ACT	V;SBJV;SG;FIN;ACT
tinggi	ऊँची	tinggi	ऊँचा	ADJ;SG	ADJ;NOM;FEM;SG
waktu	वक़्त	waktu	वक़्त	N;SG	N;NOM;MASC;SG;3
waktu	वक्त	waktu	वक्त	N;SG	N;NOM;MASC;SG;3
waktu	समय	waktu	समय	N;SG	N;NOM;MASC;SG;3
jenis	प्रकार	jenis	प्रकार	N;SG	N;NOM;MASC;SG;3
jenis	प्रकार	jenis	प्रकार	N;SG	N;NOM;MASC;SG;3
jenis	प्रकार	jenis	प्रकार	N;SG	N;NOM;MASC;SG;3
bulan	चन्द्रमा	bulan	चन्द्रमा	N;SG	N;NOM;MASC;SG;3
bulan	चाँद	bulan	चाँद	N;SG	N;NOM;MASC;SG;3
bulan	माह	bulan	माह	N;SG	N;NOM;MASC;SG;3
bulan	महीने	bulan	महीना	N;SG	N;NOM;MASC;SG;3
bulan	महीना	bulan	महीना	N;SG	N;NOM;MASC;SG;3
bulan	महीने	bulan	महीना	N;SG	N;NOM;MASC;SG;3
bulan	माह	bulan	माह	N;SG	N;NOM;MASC;SG;3
departemen	विभाग	departemen	विभाग	N;SG	N;NOM;MASC;SG;3
departemen	विभाग	departemen	विभाग	N;SG	N;NOM;MASC;SG;3
situs	साइट	situs	साइट	N;SG	N;NOM;FEM;SG;3
situs	साईट	situs	साईट	N;SG	N;NOM;FEM;SG;3
situs	साइट	situs	साइट	N;SG	N;NOM;FEM;SG;3
laba	लाभ	laba	लाभ	N;SG	N;NOM;MASC;SG;3
laba	स्पाइडर	laba	स्पाइडर	N;SG	N;NOM;MASC;SG;3
laba	मकड़ी	laba	मकडीा	N;SG	N;NOM;FEM;SG;3
membuat	बनाने	menbuat	बना	V;SG;ACT	V;MASC;NFIN;ACT
membuat	बनाना	menbuat	बना	V;SG;ACT	V;MASC;NFIN;ACT
membuat	बनाओ	menbuat	बना	V;SG;ACT	V;SBJV;SG;FIN;ACT
membuat	बना	menbuat	बन	V;SG;ACT	V;PFV;MASC;SG;V.PTCP;ACT
resmi	सरकारी	resmi	सरकारी	ADJ;SG	ADJ;NOM
resmi	आधिकारिक	resmi	आधिकारिक	ADJ;SG	ADJ
database	डाटाबेस	database	डाटाबेस	N	N;NOM;MASC;SG;3
database	डेटाबेस	database	डेटाबेस	N	N;NOM;MASC;SG;3
udara	वायु	udara	वायु	N;SG	N;NOM;FEM;SG;3
udara	एयर	udara	एयर	N;SG	N;NOM;FEM;SG;3
perang	युद्ध	perang	युद्ध	N;SG	N;NOM;MASC;SG;3
perang	वॉर्स	perang	वॉर्स	N;SG	N;NOM;MASC;SG;3
pulau	द्वीप	pulau	द्वीप	N;SG	N;NOM;MASC;SG;3
pulau	द्वीपसमूह	pulau	द्वीपसमूह	N;SG	N;NOM;MASC;SG;3
rumah	मुखपृष्ठ	rumah	मुखपृष्ठ	N;SG	N;NOM;MASC;SG;3
rumah	गृह	rumah	गृह	N;SG	N;NOM;MASC;SG;3
rumah	घर	rumah	घर	N;SG	N;NOM;MASC;SG;3
rumah	मकान	rumah	मकान	N;SG	N;NOM;MASC;SG;3
rumah	घर	rumah	घर	N;SG	N;NOM;MASC;SG;3
rumah	मकान	rumah	मकान	N;SG	N;NOM;MASC;SG;3
rumah	हाउस	rumah	हाउस	N;SG	N;NOM;MASC;SG;3
pendidikan	शैक्षिक	pendidikan	शैक्षिक	N;SG	N;NOM
pendidikan	शिक्षा	pendidikan	शिक्षा	N;SG	N;NOM;FEM;SG;3
laut	समुद्रतट	laut	समुद्रतट	N;SG	N;NOM;MASC;SG;3
laut	समुद्र	laut	समुद्र	N;SG	N;NOM;MASC;SG;3
laut	समंदर	laut	समंदर	N;SG	N;NOM;MASC;SG;3
tim	टीम	tim	टीम	N;SG	N;NOM;FEM;SG;3
tim	टीम	tim	टीम	N;SG	N;NOM;FEM;SG;3
tim	टोली	tim	टोली	N;SG	N;NOM;FEM;SG;3
sistem	तंत्र	sistem	तंत्र	N;SG	N;NOM;MASC;SG;3
sistem	सिस्टम	sistem	सिस्टम	N;SG	N;NOM;MASC;SG;3
sistem	तन्त्र	sistem	तन्त्र	N;SG	N;NOM;MASC;SG;3
sistem	प्रणाली	sistem	प्रणाली	N;SG	N;NOM;FEM;SG;3
sistem	सिस्टम	sistem	सिस्टम	N;SG	N;NOM;MASC;SG;3
komune	कम्यून	komune	कम्यून	N	N;NOM;MASC;SG;3
larva	लार्वा	larva	लार्वा	N	N;NOM;MASC;SG;3
terhadap	खिलाफ	terhadap	खिलाफ	ADP	ADP
terhadap	विरुद्ध	terhadap	विरुद्ध	ADP	ADP
batang	पट्टी	batang	पट्टी	N;SG	N;NOM;FEM;SG;3
batang	बार	batang	बार	N;SG	N;NOM;FEM;SG;3
batang	तना	batang	तना	N;SG	N;NOM;MASC;SG;3
batang	स्टेम	batang	स्टेम	N;SG	N;NOM;MASC;SG;3
matahari	सूर्य	matahari	सूर्य	N;SG	N;NOM;MASC;SG;3
presiden	प्रदेशाध्यक्ष	presiden	प्रदेशाध्यक्ष	N;SG	N;NOM;MASC;SG;3
presiden	अध्यक्ष	presiden	अध्यक्ष	N;SG	N;NOM;MASC;SG;3
masyarakat	समुदाय	masyarakat	समुदाय	N;SG	N;NOM;MASC;SG;3
masyarakat	सोसायटी	masyarakat	सोसायटी	N;SG	N;NOM;FEM;SG;3
masyarakat	समाज	masyarakat	समाज	N;SG	N;NOM;MASC;SG;3
tiga	तीन	tiga	तीन	NUM	NUM
jalan	रोड	jalan	रोड	N;SG;ACT	N;NOM;FEM;SG;3
jalan	सड़क	jalan	सड़क	N;SG;ACT	N;NOM;FEM;SG;3
musik	संगीत	musik	संगीत	N;SG	N;NOM;MASC;SG;3
musik	म्यूज़िक	musik	म्यूज़िक	N;SG	N;NOM;MASC;SG;3
planet	ग्रह	planet	ग्रह	N;SG	N;NOM;MASC;SG;3
planet	ग्रह	planet	ग्रह	N;SG	N;NOM;MASC;SG;3
kerusakan	नुक्सान	kerusakan	नुक्सान	N;SG	N;NOM;MASC;SG;3
kerusakan	नुकसान	kerusakan	नुकसान	N;SG	N;NOM;MASC;SG;3
kerusakan	क्षति	kerusakan	क्षति	N;SG	N;NOM;FEM;SG;3
kerusakan	क्षतिपूर्ति	kerusakan	क्षतिपूर्ति	N;SG	N;NOM;FEM;SG;3
kecil	छोटा	kecil	छोटा	ADJ;SG	ADJ;NOM;MASC;SG
kecil	छोटी	kecil	छोटा	ADJ;SG	ADJ;FEM;SG
kecil	छोटा	kecil	छोटा	ADJ;SG	ADJ;NOM;MASC;SG
kecil	छोटी	kecil	छोटा	ADJ;SG	ADJ;FEM;SG
kecil	नाबालिग	kecil	नाबालिग	ADJ;SG	ADJ;NOM
kecil	नन्हा	kecil	नन्हा	ADJ;SG	ADJ;NOM;MASC;SG
kecil	छोटा	kecil	छोटा	ADJ;SG	ADJ;NOM;MASC;SG
menteri	सचिव	menteri	सचिव	N;SG	N;NOM;MASC;SG;3
menteri	मंत्री	menteri	मंत्री	N;SG	N;NOM;MASC;SG;3
menteri	मंत्री	menteri	मंत्री	N;SG	N;NOM;MASC;SG;3
jumlah	मात्रा	jumlah	मात्रा	N;SG	N;NOM;FEM;SG;3
jumlah	राशि	jumlah	राशि	N;SG	N;NOM;FEM;SG;3
jumlah	मात्रा	jumlah	मात्रा	N;SG	N;NOM;FEM;SG;3
kata	वर्ड	kata	वर्ड	N;SG	N;NOM;MASC;SG;3
kata	शब्द	kata	शब्द	N;SG	N;NOM;MASC;SG;3
kata	शब्द	kata	शब्द	N;SG	N;NOM;MASC;SG;3
penduduk	निवासी	penduduk	निवासी	N;SG	N;NOM;MASC;SG;3
penduduk	निवासी	penduduk	निवासी	N;SG	N;NOM;MASC;SG;3
penduduk	जनसंख्या	penduduk	जनसंख्या	N;SG	N;NOM;FEM;SG;3
penduduk	आबादी	penduduk	आबादी	N;SG	N;NOM;FEM;SG;3
penduduk	जनसांख्यिकी	penduduk	जनसांख्यिकी	N;SG	N;NOM;MASC;SG;3
harus	जरूर	harus	जरूर	ADV;SG;ACT	ADV
bawah	तल	bawah	तल	N;SG	N;NOM;MASC;SG;3
data	डाटा	data	डाटा	N;SG	N;NOM;MASC;SG;3
data	डेटा	data	डेटा	N;SG	N;NOM;MASC;SG;3
data	आंकड़ा	data	आंकड़ा	N;SG	N;NOM;MASC;SG;3
artikel	लेख	artikel	लेख	N;SG	N;NOM;MASC;SG;3
artikel	आलेख	artikel	आलेख	N;SG	N;NOM;MASC;SG;3
artikel	लेख	artikel	लेख	N;SG	N;NOM;MASC;SG;3
artikel	आलेख	artikel	आलेख	N;SG	N;NOM;MASC;SG;3
tanduk	हॉर्न	tanduk	हॉर्न	N	N;NOM;MASC;SG;3
tanduk	सींग	tanduk	सींग	N	N;NOM;MASC;SG;3
karya	कृति	karya	कृति	N;SG	N;NOM;FEM;SG;3
karya	कलाकृति	karya	कलाकृति	N;SG	N;NOM;FEM;SG;3
tanah	भूमि	tanah	भूमि	N;SG	N;NOM;FEM;SG;3
tanah	जमीन	tanah	जमीन	N;SG	N;NOM;FEM;SG;3
tanah	मृदा	tanah	मृदा	N;SG	N;NOM;MASC;SG;3
tanah	ग्राउंड	tanah	ग्राउंड	N;SG	N;NOM;MASC;SG;3
tanah	जमीन	tanah	जमीन	N;SG	N;NOM;FEM;SG;3
tanah	मैदान	tanah	मैदान	N;SG	N;NOM;MASC;SG;3
jpg	jpg	jpg	jpg	N	N;NOM;MASC;SG;3
abad	शतक	abad	शतक	N;SG	N;NOM;MASC;SG;3
abad	शताब्दी	abad	शताब्दी	N;SG	N;NOM;FEM;SG;3
perusahaan	कॉर्पोरेशन	perusahaan	कॉर्पोरेशन	N;SG	N;NOM;MASC;SG;3
perusahaan	कारपोरेशन	perusahaan	कारपोरेशन	N;SG	N;NOM;MASC;SG;3
perusahaan	निगम	perusahaan	निगम	N;SG	N;NOM;MASC;SG;3
perusahaan	कंपनी	perusahaan	कंपनी	N;SG	N;NOM;FEM;SG;3
perusahaan	कम्पनी	perusahaan	कम्पनी	N;SG	N;NOM;FEM;SG;3
perusahaan	नियोक्ता	perusahaan	नियोक्ता	N;SG	N;NOM;MASC;SG;3
perusahaan	नियोक्ता	perusahaan	नियोक्ता	N;SG	N;NOM;MASC;SG;3
style	शैली	style	शैली	N	N;NOM;FEM;SG;3
style	अंदाज़	style	अंदाज़	N	N;NOM;MASC;SG;3
style	स्टाइल	style	स्टाइल	N	N;NOM;MASC;SG;3
maret	कूच	maret	कूच	N;SG	N;NOM;FEM;SG;3
musim	मौसम	musim	मौसम	N;SG	N;NOM;MASC;SG;3
musim	ऋतु	musim	ऋतु	N;SG	N;NOM;FEM;SG;3
musim	मौसम	musim	मौसम	N;SG	N;NOM;MASC;SG;3
musim	सीज़न	musim	सीज़न	N;SG	N;NOM;MASC;SG;3
bola	गोला	bola	गोला	N;SG	N;NOM;MASC;SG;3
bola	गेंद	bola	गेंद	N;SG	N;NOM;FEM;SG;3
pemerintah	सरकार	penperintah	सरकार	N;SG	N;NOM;FEM;SG;3
bidang	फील्ड्स	bidang	फील्ड्स	N;SG	N;NOM;MASC;SG;3
bidang	फ़ील्ड	bidang	फ़ील्ड	N;SG	N;NOM;MASC;SG;3
bidang	फील्ड	bidang	फील्ड	N;SG	N;NOM;MASC;SG;3
bidang	फ़ील्ड	bidang	फ़ील्ड	N;SG	N;NOM;MASC;SG;3
kepala	दिमाग़	kepala	दिमाग़	N;SG	N;NOM;MASC;SG;3
kepala	सिर	kepala	सिर	N;SG	N;NOM;MASC;SG;3
kepala	प्रधान	kepala	प्रधान	N;SG	N;NOM;MASC;SG;3
kepala	प्रमुख	kepala	प्रमुख	N;SG	N;NOM;MASC;SG;3
kepala	मुखिया	kepala	मुखिया	N;SG	N;NOM;MASC;SG;3
sumber	स्रोत	sumber	स्रोत	N;SG	N;NOM;MASC;SG;3
sumber	सोर्स	sumber	सोर्स	N;SG	N;NOM;MASC;SG;3
sumber	स्रोत	sumber	स्रोत	N;SG	N;NOM;MASC;SG;3
manusia	इंसानो	manusia	इंसानो	N;SG	N;NOM;MASC;SG;3
manusia	मनुष्य	manusia	मनुष्य	N;SG	N;NOM;MASC;SG;3
manusia	मानव	manusia	मानव	N;SG	N;NOM;MASC;SG;3
manusia	इंसान	manusia	इंसान	N;SG	N;NOM;MASC;SG;3
manusia	पुरुष	manusia	पुरुष	N;SG	N;NOM;MASC;SG;3
manusia	मनुष्य	manusia	मनुष्य	N;SG	N;NOM;MASC;SG;3
manusia	आदमी	manusia	आदमी	N;SG	N;NOM;MASC;SG;3
manusia	इन्सान	manusia	इन्सान	N;SG	N;NOM;MASC;SG;3
sejarah	इतिहास	sejarah	इतिहास	N;SG	N;NOM;MASC;SG;3
gereja	चर्च	gereja	चर्च	N;SG	N;NOM;MASC;SG;3
gereja	गिरजाघर	gereja	गिरजाघर	N;SG	N;NOM;MASC;SG;3
gereja	चर्च	gereja	चर्च	N;SG	N;NOM;MASC;SG;3
gereja	गिरिजाघर	gereja	गिरिजाघर	N;SG	N;NOM;MASC;SG;3
pemain	खिलाडी	penmain	खिलाडी	N;SG	N;NOM;MASC;SG;3
pemain	खिलाड़ी	penmain	खिलाडी	N;SG	N;NOM;MASC;SG;3
pemain	खिलाड़ी	penmain	खिलाडी	N;SG	N;NOM;MASC;SG;3
program	प्रोग्राम	program	प्रोग्राम	N;SG	N;NOM;MASC;SG;3
program	कार्यक्रम	program	कार्यक्रम	N;SG	N;NOM;MASC;SG;3
program	कार्यक्रम	program	कार्यक्रम	N;SG	N;NOM;MASC;SG;3
program	प्रोग्राम	program	प्रोग्राम	N;SG	N;NOM;MASC;SG;3
program	कार्यक्रम	program	कार्यक्रम	N;SG	N;NOM;MASC;SG;3
pesawat	विमान	pesawat	विमान	N;SG	N;NOM;MASC;SG;3
pesawat	वायुयान	pesawat	वायुयान	N;SG	N;NOM;MASC;SG;3
pesawat	समतल	pesawat	समतल	N;SG	N;NOM;MASC;SG;3
pesawat	प्लेन	pesawat	प्लेन	N;SG	N;NOM;MASC;SG;3
pesawat	विमान	pesawat	विमान	N;SG	N;NOM;MASC;SG;3
pesawat	वायुयान	pesawat	वायुयान	N;SG	N;NOM;MASC;SG;3
stasiun	स्टेशन	stasiun	स्टेशन	N;SG	N;NOM;MASC;SG;3
stasiun	स्टेशन	stasiun	स्टेशन	N;SG	N;NOM;MASC;SG;3
akhirnya	अंततः	akhirnya	अंततः	ADV	ADV
akhirnya	आखिरकार	akhirnya	आखिरकार	ADV	ADV
akhirnya	आखिरकार	akhirnya	आखिरकार	ADV	ADV
nebula	नीहारिका	nebula	नीहारिका	N	N;NOM;FEM;SG;3
lahir	जन्मे	lahir	जन्मा	V;SG;ACT	V;MASC;IND;SG;3;FIN;ACT
bumi	धरती	bumi	धरती	N;SG	N;NOM;FEM;SG;3
bentuk	आकार	bentuk	आकार	N;SG	N;NOM;MASC;SG;3
bentuk	आकृति	bentuk	आकृति	N;SG	N;NOM;FEM;SG;3
