lui	그의	el	그+의	PRO;3	PRO
fata	얼굴이	fată	얼굴+이	N;DEF;FEM;SG	N
fata	얼굴	fată	얼굴	N;DEF;FEM;SG	N
fata	얼굴이	fată	얼굴+이	N;DEF;FEM;SG	N
fata	소녀	fată	소녀	N;DEF;FEM;SG	N
fata	얼굴	fată	얼굴	N;DEF;FEM;SG	N
fata	얼굴이	fată	얼굴+이	N;DEF;FEM;SG	N
fata	소녀	fată	소녀	N;DEF;FEM;SG	N
fata	얼굴	fată	얼굴	N;DEF;FEM;SG	N
fata	얼굴이	fată	얼굴+이	N;DEF;FEM;SG	N
fata	얼굴	fată	얼굴	N;DEF;FEM;SG	N
fata	얼굴이	fată	얼굴+이	N;DEF;FEM;SG	N
componente	구성요소	componentă	구성+요소	N;INDF;FEM;PL	N
componente	부품	componentă	부품	N;INDF;FEM;PL	N
componente	성분	componentă	성분	N;INDF;FEM;PL	N
est	동부	est	동부	N;INDF;MASC;SG	N
numai	오직	numai	오직	ADV	ADV
rusa	러시아인	rusa	러시아인	N;DEF;FEM;SG	N
rusa	러시아인	rusa	러시아인	N;DEF;FEM;SG	N
populatia	인구순	populatie	인구순	N;DEF;FEM;SG	N
populatia	인구	populatie	인구	N;DEF;FEM;SG	N
populatia	인구순	populatie	인구순	N;DEF;FEM;SG	N
populatia	인구	populatie	인구	N;DEF;FEM;SG	N
membru	회원	membru	회원	N;INDF;MASC;SG	N
specia	종족	specie	종족	N;DEF;FEM;SG	N
vest	서양	vest	서양	N;INDF;MASC;SG	N
putin	리틀	putin	리틀		
putin	푸틴	putin	푸틴		
inainte	전진	inainte	전진		
inainte	전진	inainte	전진		
lemn	나무	lemn	나무	N;INDF;MASC;SG	N
lemn	목재	lemn	목재	N;INDF;MASC;SG	N
nationala	국립	national	국립	N;DEF;FEM;SG	N
nationala	국민	national	국민	N;DEF;FEM;SG	N
nationala	국립	national	국립	N;DEF;FEM;SG	N
nationala	국민	national	국민	N;DEF;FEM;SG	N
drept	똑바로	drept	똑바로		
drept	스트레이트	drept	스트레이트		
mod	모드	mod	모드	N;INDF;MASC;SG	N
prezent	현재	prezent	현재	N;INDF;MASC;SG	N
prezent	선물	prezent	선물	N;INDF;MASC;SG	N
categorie	카테고리	categorie	카테고리	N;INDF;FEM;SG	N
categorie	범주	categorie	범주	N;INDF;FEM;SG	N
categorie	분류	categorie	분류	N;INDF;FEM;SG	N
text	텍스트	text	텍스트	N;INDF;MASC;SG	N
text	문자	text	문자	N;INDF;MASC;SG	N
text	문구	text	문구	N;INDF;MASC;SG	N
articole	기사	articol	기사	N;INDF;FEM;PL	N
articole	상품	articol	상품	N;INDF;FEM;PL	N
articole	항목	articol	항목	N;INDF;FEM;PL	N
articole	품목	articol	품목	N;INDF;FEM;PL	N
articole	아이템	articol	아이템	N;INDF;FEM;PL	N
apa	물이	apă	물+이	N;DEF;FEM;SG	N
apa	물이	apă	물+이	N;DEF;FEM;SG	N
tara	나라	tară	나라	N;DEF;FEM;SG	N
tara	국가	tară	국가	N;DEF;FEM;SG	N
tara	나라	tară	나라	N;DEF;FEM;SG	N
tara	국가	tară	국가	N;DEF;FEM;SG	N
tara	나라	tară	나라	N;DEF;FEM;SG	N
tara	국가	tară	국가	N;DEF;FEM;SG	N
tara	나라	tară	나라	N;DEF;FEM;SG	N
tara	국가	tară	국가	N;DEF;FEM;SG	N
tara	나라	tară	나라	N;DEF;FEM;SG	N
tara	국가	tară	국가	N;DEF;FEM;SG	N
sate	마을	sat	마을	N;INDF;FEM;PL	N
tarziu	늦은	tarziu	늦+ㄴ		
tarziu	지각	tarziu	지각		
tarziu	늦은	tarziu	늦+ㄴ		
tarziu	지각	tarziu	지각		
istoria	역사	istorie	역사	N;DEF;FEM;SG	N
istoria	내역	istorie	내역	N;DEF;FEM;SG	N
istoria	기록	istorie	기록	N;DEF;FEM;SG	N
republica	공화국	republică	공화국	N;DEF;FEM;SG	N
republica	공화국	republică	공화국	N;DEF;FEM;SG	N
tip	종류	tip	종류	N;INDF;MASC;SG	N
tip	유형	tip	유형	N;INDF;MASC;SG	N
persoane	국민	persoană	국민	N;INDF;FEM;PL	N
persoane	사람	persoană	사람	N;INDF;FEM;PL	N
persoane	사람들	persoană	사람+들	N;INDF;FEM;PL	N
etc	etc	etc	etc		
etc	등등	etc	등+등		
exemplu	예제	exemplu	예제	N;INDF;MASC;SG	N
exemplu	예시	exemplu	예시	N;INDF;MASC;SG	N
descriere	자막	descriere	자막	N;INDF;FEM;SG	N
descriere	문구	descriere	문구	N;INDF;FEM;SG	N
descriere	설명	descriere	설명	N;INDF;FEM;SG	N
descriere	설명	descriere	설명	N;INDF;FEM;SG	N
descriere	묘사	descriere	묘사	N;INDF;FEM;SG	N
articol	기사	articol	기사	N;INDF;MASC;SG	N
numarul	숫자	numar	숫자	N;DEF;MASC;SG	N
numarul	번호	numar	번호	N;DEF;MASC;SG	N
aproape	거의	aproape	거의	ADV	ADV
echipa	분대	echipă	분대	N;DEF;FEM;SG	N
echipa	스쿼드	echipă	스쿼드	N;DEF;FEM;SG	N
diferite	다르다	diferit	다르+다	ADJ;INDF;FEM;PL	ADJ
baza	기지	bază	기지	N;DEF;FEM;SG	N
baza	기지	bază	기지	N;DEF;FEM;SG	N
ele	그들이	el	그+들+이	PRO;FEM;PL;3	PRO
ele	그들은	el	그+들+은	PRO;FEM;PL;3	PRO
zona	지대	zonă	지대	N;DEF;FEM;SG	N
zona	영역	zonă	영역	N;DEF;FEM;SG	N
zona	구역	zonă	구역	N;DEF;FEM;SG	N
zona	영역	zonă	영역	N;DEF;FEM;SG	N
zona	지역	zonă	지역	N;DEF;FEM;SG	N
zona	지대	zonă	지대	N;DEF;FEM;SG	N
zona	영역	zonă	영역	N;DEF;FEM;SG	N
zona	구역	zonă	구역	N;DEF;FEM;SG	N
zona	영역	zonă	영역	N;DEF;FEM;SG	N
zona	지역	zonă	지역	N;DEF;FEM;SG	N
satului	마을	sat	마을	N;DEF;MASC;SG	N
imparat	황제	impara	황제	N;INDF;MASC;SG	N
imparat	천황	impara	천황	N;INDF;MASC;SG	N
imparat	황제	impara	황제	N;INDF;MASC;SG	N
imparat	천황	impara	천황	N;INDF;MASC;SG	N
viata	생명	viată	생명	N;DEF;FEM;SG	N
viata	생활	viată	생활	N;DEF;FEM;SG	N
viata	인생	viată	인생	N;DEF;FEM;SG	N
viata	생명	viată	생명	N;DEF;FEM;SG	N
viata	생활	viată	생활	N;DEF;FEM;SG	N
viata	인생	viată	인생	N;DEF;FEM;SG	N
viata	생명	viată	생명	N;DEF;FEM;SG	N
viata	생활	viată	생활	N;DEF;FEM;SG	N
viata	인생	viată	인생	N;DEF;FEM;SG	N
viata	생명	viată	생명	N;DEF;FEM;SG	N
viata	생활	viată	생활	N;DEF;FEM;SG	N
viata	인생	viată	인생	N;DEF;FEM;SG	N
viata	생명	viată	생명	N;DEF;FEM;SG	N
viata	생활	viată	생활	N;DEF;FEM;SG	N
viata	인생	viată	인생	N;DEF;FEM;SG	N
bun	좋다	bun	좋+다	ADJ;INDF;MASC;SG	ADJ
format	포맷	format	포맷	N;INDF;MASC;SG	N
primit	받았습니다	primi	받+았+습니다	V;MASC;SG;V.PTCP	V
primit	받은	primi	받+ㄴ	V;MASC;SG;V.PTCP	V
presedinte	회장	presedinte	회장	N;INDF;MASC;SG	N
presedinte	대통령	presedinte	대통령	N;INDF;MASC;SG	N
presedinte	회장님	presedinte	회장님	N;INDF;MASC;SG	N
presedinte	회장	presedinte	회장	N;INDF;MASC;SG	N
presedinte	회장	presedinte	회장	N;INDF;MASC;SG	N
presedinte	대통령	presedinte	대통령	N;INDF;MASC;SG	N
presedinte	회장	presedinte	회장	N;INDF;MASC;SG	N
presedinte	대통령	presedinte	대통령	N;INDF;MASC;SG	N
presedinte	회장님	presedinte	회장님	N;INDF;MASC;SG	N
presedinte	회장	presedinte	회장	N;INDF;MASC;SG	N
langa	근처	langă	근처		
oameni	국민	om	국민	N;INDF;MASC;PL	N
oameni	사람	om	사람	N;INDF;MASC;PL	N
oameni	사람들	om	사람+들	N;INDF;MASC;PL	N
suprafata	구역	suprafată	구역	N;DEF;FEM;SG	N
suprafata	영역	suprafată	영역	N;DEF;FEM;SG	N
suprafata	지역	suprafată	지역	N;DEF;FEM;SG	N
universitatea	대학교	universitate	대학교	N;DEF;FEM;SG	N
universitatea	대학	universitate	대학	N;DEF;FEM;SG	N
copii	애들	copil	애+들	N;INDF;MASC;PL	N
copii	아이들	copil	아이+들	N;INDF;MASC;PL	N
copii	어린이	copil	어린이	N;INDF;MASC;PL	N
copii	어린이들	copil	어린이+들	N;INDF;MASC;PL	N
copii	자녀	copil	자녀	N;INDF;MASC;PL	N
copii	어린이	copil	어린이	N;INDF;MASC;PL	N
copii	아이들	copil	아이+들	N;INDF;MASC;PL	N
aproximativ	대충	aproximativ	대충	ADV	ADV
lucru	직장	lucru	직장	N;INDF;MASC;SG	N
lucru	작업	lucru	작업	N;INDF;MASC;SG	N
cazul	케이스	caz	케이스	N;DEF;MASC;SG	N
cazul	사례	caz	사례	N;DEF;MASC;SG	N
romani	루마니아인	roman	루마니아인	N;INDF;MASC;PL	N
romani	루마니아인	roman	루마니아인	N;INDF;MASC;PL	N
recensamantul	인구조사	recensamant	인구+조사	N;DEF;MASC;SG	N
centrul	중앙	centru	중앙	N;DEF;MASC;SG	N
centrul	중심	centru	중심	N;DEF;MASC;SG	N
centrul	중앙	centru	중앙	N;DEF;MASC;SG	N
teritoriul	영토	teritoriu	영토	N;DEF;MASC;SG	N
teritoriul	준주	teritoriu	준주	N;DEF;MASC;SG	N
numar	숫자	numar	숫자	N;INDF;MASC;SG	N
numar	번호	numar	번호	N;INDF;MASC;SG	N
numar	숫자	numar	숫자	N;INDF;MASC;SG	N
numar	번호	numar	번호	N;INDF;MASC;SG	N
cauza	원인	cauză	원인	N;DEF;FEM;SG	N
cauza	원인	cauză	원인	N;DEF;FEM;SG	N
limbi	언어	limbă	언어	N;INDF;FEM;PL	N
fel	종류	fel	종류	N;INDF;MASC;SG	N
fel	친절	fel	친절	N;INDF;MASC;SG	N
fotbal	축구	fotbal	축구	N;INDF;MASC;SG	N
fotbal	축구	fotbal	축구	N;INDF;MASC;SG	N
fotbal	미식축구	fotbal	미식+축구	N;INDF;MASC;SG	N
fotbal	풋볼	fotbal	풋볼	N;INDF;MASC;SG	N
fiul	아들	fiu	아들	N;DEF;MASC;SG	N
evolutia	진화	evolutie	진화	N;DEF;FEM;SG	N
evolutia	진화론	evolutie	진화론	N;DEF;FEM;SG	N
evolutia	진화	evolutie	진화	N;DEF;FEM;SG	N
evolutia	진화론	evolutie	진화론	N;DEF;FEM;SG	N
evolutia	진화	evolutie	진화	N;DEF;FEM;SG	N
evolutia	진화론	evolutie	진화론	N;DEF;FEM;SG	N
viteza	속력	viteză	속력	N;DEF;FEM;SG	N
viteza	스피드	viteză	스피드	N;DEF;FEM;SG	N
viteza	속력	viteză	속력	N;DEF;FEM;SG	N
viteza	스피드	viteză	스피드	N;DEF;FEM;SG	N
orase	도시	oras	도시	N;INDF;FEM;PL	N
orase	도시	oras	도시	N;INDF;FEM;PL	N
orase	도시	oras	도시	N;INDF;FEM;PL	N
institutul	연구소	institut	연구소	N;DEF;MASC;SG	N
satele	마을	sat	마을	N;DEF;FEM;PL	N
articolul	기사	articol	기사	N;DEF;MASC;SG	N
multi	멀티	mult	멀티		
informatii	정보	informat	정보	N;INDF;FEM;PL	N
informatii	정보	informat	정보	N;INDF;FEM;PL	N
informatii	정보	informat	정보	N;INDF;FEM;PL	N
informatii	정보	informat	정보	N;INDF;FEM;PL	N
informatii	정보	informat	정보	N;INDF;FEM;PL	N
titlu	제목	titlu	제목	N;INDF;MASC;SG	N
titlu	제목	titlu	제목	N;INDF;MASC;SG	N
goluri	목표	gol	목표	N;INDF;FEM;PL	N
titlul	제목	titlu	제목	N;DEF;MASC;SG	N
album	앨범	album	앨범	N;INDF;MASC;SG	N
album	음반	album	음반	N;INDF;MASC;SG	N
imperiul	제국	imperiu	제국	N;DEF;MASC;SG	N
moartea	죽음	moarte	죽음	N;DEF;FEM;SG	N
moartea	사망	moarte	사망	N;DEF;FEM;SG	N
armata	육군	armată	육군	N;DEF;FEM;SG	N
armata	군대	armată	군대	N;DEF;FEM;SG	N
armata	군사	armată	군사	N;DEF;FEM;SG	N
armata	육군	armată	육군	N;DEF;FEM;SG	N
armata	군대	armată	군대	N;DEF;FEM;SG	N
forma	형태	formă	형태	N;DEF;FEM;SG	N
forma	모양	formă	모양	N;DEF;FEM;SG	N
forma	형태	formă	형태	N;DEF;FEM;SG	N
forma	양식	formă	양식	N;DEF;FEM;SG	N
forma	형태	formă	형태	N;DEF;FEM;SG	N
forma	모양	formă	모양	N;DEF;FEM;SG	N
forma	형태	formă	형태	N;DEF;FEM;SG	N
forma	양식	formă	양식	N;DEF;FEM;SG	N
rolul	역할	rol	역할	N;DEF;MASC;SG	N
des	자주	des	자주	ADV	ADV
principal	교장	principal	교장	N;INDF;MASC;SG	N
astazi	오늘도	astazi	오늘+도		
astazi	오늘도	astazi	오늘+도		
eliberare	출시	eliberare	출시	N;INDF;FEM;SG	N
eliberare	발매	eliberare	발매	N;INDF;FEM;SG	N
eliberare	릴리스	eliberare	릴리스	N;INDF;FEM;SG	N
eliberare	개봉	eliberare	개봉	N;INDF;FEM;SG	N
eliberare	해방	eliberare	해방	N;INDF;FEM;SG	N
gen	성별	gen	성별	N;INDF;MASC;SG	N
gen	장르	gen	장르	N;INDF;MASC;SG	N
germana	독일인	germană	독일인	N;DEF;FEM;SG	N
germana	독일인	germană	독일인	N;DEF;FEM;SG	N
orbita	궤도	orbită	궤도	N;DEF;FEM;SG	N
orbita	궤도	orbită	궤도	N;DEF;FEM;SG	N
rotatie	회전	rotatie	회전	N;INDF;FEM;SG	N
lume	세상	lume	세상	N;INDF;FEM;SG	N
lume	세계	lume	세계	N;INDF;FEM;SG	N
fapt	사실	fapt	사실	N;INDF;MASC;SG	N
politica	정책	politică	정책	N;DEF;FEM;SG	N
politica	방침	politică	방침	N;DEF;FEM;SG	N
politica	정치	politică	정치	N;DEF;FEM;SG	N
politica	정치학	politică	정치학	N;DEF;FEM;SG	N
politica	정책	politică	정책	N;DEF;FEM;SG	N
politica	방침	politică	방침	N;DEF;FEM;SG	N
politica	정치	politică	정치	N;DEF;FEM;SG	N
politica	정치학	politică	정치학	N;DEF;FEM;SG	N
profesor	교수	profesor	교수	N;INDF;MASC;SG	N
profesor	교수님	profesor	교수+님	N;INDF;MASC;SG	N
profesor	교사	profesor	교사	N;INDF;MASC;SG	N
profesor	스승	profesor	스승	N;INDF;MASC;SG	N
planetelor	행성	planetă	행성	N;DEF;FEM;PL	N
cinci	다섯	cinci	다섯	NUM;PL	NUM
acolo	거기에	acolo	거기+에	ADV	ADV
lumea	세상	lume	세상	N;DEF;FEM;SG	N
lumea	세계	lume	세계	N;DEF;FEM;SG	N
muzica	음악	muzică	음악	N;DEF;FEM;SG	N
muzica	뮤직	muzică	뮤직	N;DEF;FEM;SG	N
muzica	음악	muzică	음악	N;DEF;FEM;SG	N
muzica	뮤직	muzică	뮤직	N;DEF;FEM;SG	N
vol	vol	vol	vol		
buna	좋다	bun	좋+다	ADJ;DEF;FEM;SG	ADJ
centru	중앙	centru	중앙	N;INDF;MASC;SG	N
centru	중심	centru	중심	N;INDF;MASC;SG	N
centru	중앙	centru	중앙	N;INDF;MASC;SG	N
istorie	역사	istorie	역사	N;INDF;FEM;SG	N
istorie	내역	istorie	내역	N;INDF;FEM;SG	N
istorie	기록	istorie	기록	N;INDF;FEM;SG	N
regatul	왕국	regat	왕국	N;DEF;MASC;SG	N
contine	포함함	contin	포함+하+ㅁ	V;IND;SG;3;PRS;FIN	V
contine	포함됨	contin	포함+되+ㄴ	V;IND;SG;3;PRS;FIN	V
contine	포함함	contin	포함+하+ㅁ	V;IND;SG;3;PRS;FIN	V
contine	포함됨	contin	포함+되+ㄴ	V;IND;SG;3;PRS;FIN	V
contine	포함함	contin	포함+하+ㅁ	V;IND;SG;3;PRS;FIN	V
contine	포함됨	contin	포함+되+ㄴ	V;IND;SG;3;PRS;FIN	V
activitatea	활동	activitate	활동	N;DEF;FEM;SG	N
arta	예술	artă	예술	N;DEF;FEM;SG	N
arta	미술	artă	미술	N;DEF;FEM;SG	N
arta	예술	artă	예술	N;DEF;FEM;SG	N
arta	미술	artă	미술	N;DEF;FEM;SG	N
body	시체	body	시체	N;INDF;MASC;SG	N
body	몸매	body	몸매	N;INDF;MASC;SG	N
body	몸매가	body	몸매+가	N;INDF;MASC;SG	N
imagini	그림	imagine	그림	N;INDF;FEM;PL	N
imagini	사진	imagine	사진	N;INDF;FEM;PL	N
imagini	사진들	imagine	사진+들	N;INDF;FEM;PL	N
imagini	픽처스	imagine	픽처스	N;INDF;FEM;PL	N
domeniul	도메인	domeniu	도메인	N;DEF;MASC;SG	N
domeniul	영역	domeniu	영역	N;DEF;MASC;SG	N
scoala	학교	scoală	학교	N;DEF;FEM;SG	N
scoala	학교는	scoală	학교+는	N;DEF;FEM;SG	N
scoala	학교	scoală	학교	N;DEF;FEM;SG	N
scoala	학교는	scoală	학교+는	N;DEF;FEM;SG	N
scoala	학교	scoală	학교	N;DEF;FEM;SG	N
scoala	학교는	scoală	학교+는	N;DEF;FEM;SG	N
scoala	학교	scoală	학교	N;DEF;FEM;SG	N
scoala	학교는	scoală	학교+는	N;DEF;FEM;SG	N
scoala	학교	scoală	학교	N;DEF;FEM;SG	N
scoala	학교는	scoală	학교+는	N;DEF;FEM;SG	N
succes	성공적	succes	성공+적	N;INDF;MASC;SG	N
succes	성공	succes	성공	N;INDF;MASC;SG	N
studii	공부	studiu	공부	N;INDF;FEM;PL	N
studii	연구	studiu	연구	N;INDF;FEM;PL	N
studii	공부	studiu	공부	N;INDF;FEM;PL	N
primar	시장	primar	시장	N;INDF;MASC;SG	N
scriitor	작가	scriitor	작가	N;INDF;MASC;SG	N
sistemul	체계	sistem	체계	N;DEF;MASC;SG	N
sistemul	시스템	sistem	시스템	N;DEF;MASC;SG	N
incepe	시작하기	incepe	시작+하+기	V;IND;SG;3;PRS;FIN	V
ziua	하루	zi	하루	N;DEF;FEM;SG	N
razboiul	전쟁	razboi	전쟁	N;DEF;MASC;SG	N
franceza	프랑스인	franceza	프랑스인	N;DEF;FEM;SG	N
franceza	프랑스인	franceza	프랑스인	N;DEF;FEM;SG	N
ministru	장관	ministru	장관	N;INDF;MASC;SG	N
functia	함수	functie	함수	N;DEF;FEM;SG	N
functia	함수	functie	함수	N;DEF;FEM;SG	N
lucrari	작동	lucrar	작동	N;INDF;FEM;PL	N
lucrari	작품	lucrar	작품	N;INDF;FEM;PL	N
lucrari	작동	lucrar	작동	N;INDF;FEM;PL	N
lucrari	작품	lucrar	작품	N;INDF;FEM;PL	N
curs	코스	curs	코스	N;INDF;MASC;SG	N
curs	과정	curs	과정	N;INDF;MASC;SG	N
probabil	아마도	probabil	아마도	ADV	ADV
probabil	아마	probabil	아마	ADV	ADV
sistem	체계	sistem	체계	N;INDF;MASC;SG	N
sistem	시스템	sistem	시스템	N;INDF;MASC;SG	N
vreme	날씨	vreme	날씨	N;INDF;FEM;SG	N
autor	작가	autor	작가	N;INDF;MASC;SG	N
autor	저자	autor	저자	N;INDF;MASC;SG	N
autor	제작자	autor	제작자	N;INDF;MASC;SG	N
autor	작성자	autor	작성자	N;INDF;MASC;SG	N
categoria	카테고리	categorie	카테고리	N;DEF;FEM;SG	N
categoria	범주	categorie	범주	N;DEF;FEM;SG	N
categoria	분류	categorie	분류	N;DEF;FEM;SG	N
web	웹툰	web	웹툰		
top	인기	top	인기	N;INDF;MASC;SG	N
filme	필름	film	필름	N;INDF;FEM;PL	N
filme	영화	film	영화	N;INDF;FEM;PL	N
filme	영화	film	영화	N;INDF;FEM;PL	N
muzeul	박물관	muzeu	박물관	N;DEF;MASC;SG	N
city	도시	city	도시	N;INDF;MASC;SG	N
odata	한번	odata	한번		
lupta	전투	luptă	전투	N;DEF;FEM;SG	N
zone	영역	zonă	영역	N;INDF;FEM;PL	N
radio	라디오방송	radio	라디오방송	N;INDF;MASC;SG	N
deja	이미	deja	이미	ADV	ADV
deja	벌써	deja	벌써	ADV	ADV
monument	기념물	monument	기념물	N;INDF;MASC;SG	N
monument	기념비	monument	기념비	N;INDF;MASC;SG	N
dreapta	오른쪽	dreaptă	오른쪽	N;DEF;FEM;SG	N
moment	순간	moment	순간	N;INDF;MASC;SG	N
componenta	컴포넌트	componenta	컴포넌트	N;DEF;FEM;SG	N
componenta	구성요소	componenta	구성+요소	N;DEF;FEM;SG	N
