この	aquesta	この	aquest	DET	DET;FEM;SG
販売	surts	販売	sort	V	V;IND;SG;1;PRS;FIN
サッカー	soccer	サッカー	soccer	N	N;SG
議員	senador	議員	senador	N	N;MASC;SG
協会	associació	協会	associació	N	N;FEM;SG
路線	rutes	路線	ruta	N	N;FEM;PL
戦争	guerres	戦争	guerra	N	N;FEM;PL
番号	número	番号	número	N	N;MASC;SG
番号	nombre	番号	nombre	N	N;MASC;SG
期間	durada	期間	durada	N	N;FEM;SG
期間	duració	期間	duració	N	N;FEM;SG
期間	període	期間	període	N	N;MASC;SG
場所	lloc	場所	lloc	N	N;MASC;SG
場所	localització	場所	localització	N	N;FEM;SG
場所	ubicació	場所	ubicació	N	N;FEM;SG
場所	emplaçament	場所	emplaçament	N	N;MASC;SG
場所	llocs	場所	lloc	N	N;MASC;PL
技術	tecnologia	技術	tecnologia	N	N;FEM;SG
海軍	armada	海軍	armat	N	N;FEM;SG
道路	camins	道路	camí	N	N;MASC;PL
道路	carretera	道路	carretera	N	N;FEM;SG
システム	sistema	システム	sistema	N	N;MASC;SG
システム	sistemes	システム	sistema	N	N;MASC;PL
モデル	models	モデル	model	N	N;MASC;PL
モデル	model	モデル	model	N	N;MASC;SG
対応	correspondència	対応	correspondència	N	N;FEM;SG
列車	tren	列車	tren	N	N;MASC;SG
列車	trens	列車	tren	N	N;MASC;PL
科学	ciència	科学	ciència	N	N;FEM;SG
科学	ciències	科学	ciència	N	N;FEM;PL
理由	motius	理由	motiu	N	N;MASC;PL
理由	raons	理由	raó	N	N;FEM;PL
理由	raó	理由	raó	N	N;FEM;SG
理由	motiu	理由	motiu	N	N;MASC;SG
ブロック	blocs	ブロック	bloc	N	N;MASC;PL
ブロック	bloc	ブロック	bloc	N	N;MASC;SG
車両	vehicles	車両	vehicle	N	N;MASC;PL
車両	vehicle	車両	vehicle	N	N;MASC;SG
自動車	cotxe	自動車	cotxe	N	N;MASC;SG
人口	poblacions	人口	població	N	N;FEM;PL
人口	població	人口	població	N	N;FEM;SG
特に	particularment	特に	particularment	ADV	ADV
特に	sobretot	特に	sobretot	ADV	ADV
特に	especialment	特に	especialment	ADV	ADV
営業	negoci	営業	negoci	N	N;MASC;SG
営業	negocis	営業	negoci	N	N;MASC;PL
新聞	diari	新聞	diari	N	N;MASC;SG
新聞	diaris	新聞	diari	N	N;MASC;PL
連続	continu	連続	continu	ADJ	ADJ;MASC;SG
政府	govern	政府	govern	N	N;MASC;SG
構成	estructura	構成	estructurar	V	V;IND;SG;3;PRS;FIN
キャラクター	caràcter	キャラクター	caràcter	N	N;MASC;SG
キャラクター	personatge	キャラクター	personatge	N	N;MASC;SG
キャラクター	personatges	キャラクター	personatge	N	N;MASC;PL
キャラクター	caràcters	キャラクター	caràcter	N	N;MASC;PL
機関	òrgans	機関	òrgan	N	N;MASC;PL
機関	institució	機関	institució	N	N;FEM;SG
機関	institucions	機関	institució	N	N;FEM;PL
メンバー	membre	メンバー	membre	N	N;MASC;SG
メンバー	membres	メンバー	membre	N	N;MASC;PL
画像	imatges	画像	imatge	N	N;FEM;PL
画像	imatge	画像	imatge	N	N;FEM;SG
状態	condició	状態	condició	N	N;FEM;SG
名称	denominació	名称	denominació	N	N;FEM;SG
名称	denominació	名称	denominació	N	N;FEM;SG
名称	noms	名称	nom	N	N;MASC;PL
ホーム	domicili	ホーム	domicili	N	N;MASC;SG
ホーム	llar	ホーム	llar	N	N;FEM;SG
名前	denominació	名前	denominació	N	N;FEM;SG
名前	noms	名前	nom	N	N;MASC;PL
施設	institució	施設	institució	N	N;FEM;SG
独立	independents	独立	independent	ADJ	ADJ;PL
独立	independent	独立	independent	ADJ	ADJ;SG
物語	història	物語	història	N	N;FEM;SG
物語	narrativa	物語	narrativa	N	N;FEM;SG
物語	narració	物語	narració	N	N;FEM;SG
企画	planificació	企画	planificació	N	N;FEM;SG
企画	planejament	企画	planejament	N	N;MASC;SG
航空	aviació	航空	aviació	N	N;FEM;SG
航空	aire	航空	aire	N	N;MASC;SG
帝国	imperi	帝国	imperi	N	N;MASC;SG
トン	tones	トン	tona	N	N;FEM;PL
トン	tona	トン	tona	N	N;FEM;SG
勝利	guanyar	勝利	guanyar	V	V;NFIN
勝利	guanya	勝利	guanyar	V	V;IND;SG;3;PRS;FIN
勝利	victòria	勝利	victòria	V	V;IND;SG;3;PRS;FIN
デザイン	dissenys	デザイン	disseny	N	N;MASC;PL
デザイン	disseny	デザイン	disseny	N	N;MASC;SG
交通	trànsit	交通	trànsit	N	N;MASC;SG
交通	tràfic	交通	tràfic	N	N;MASC;SG
交通	transport	交通	transport	N	N;MASC;SG
交通	transports	交通	transport	N	N;MASC;PL
交通	transport	交通	transport	N	N;MASC;SG
組織	organització	組織	organització	N	N;FEM;SG
構造	estructures	構造	estructura	N	N;FEM;PL
サービス	serveis	サービス	servei	N	N;MASC;PL
サービス	servei	サービス	servei	N	N;MASC;SG
統合	consolidar	統合	consolidar	V	V;NFIN
統合	fusiona	統合	fusionar	V	V;IND;SG;3;PRS;FIN
統合	fusionar	統合	fusionar	V	V;NFIN
テーマ	temes	テーマ	tema	N	N;MASC;PL
テーマ	temàtica	テーマ	temàtica	N	N;FEM;SG
テーマ	tema	テーマ	tema	N	N;MASC;SG
面積	àmbit	面積	àmbit	N	N;MASC;SG
面積	àrea	面積	àrea	N	N;FEM;SG
エンジン	motor	エンジン	motor	N	N;MASC;SG
エンジン	motors	エンジン	motor	N	N;MASC;PL
設定	configura	設定	configurar	V	V;IND;SG;3;PRS;FIN
含む	conté	含む	contenir	V	V;IND;SG;3;PRS;FIN
含む	inclou	含む	incloure	V	V;IND;SG;3;PRS;FIN
専門	peritatge	専門	peritatge	N	N;MASC;SG
機能	funció	機能	funció	N	N;FEM;SG
機能	funcionalitats	機能	funcionalitat	N	N;FEM;PL
機能	característiques	機能	característica	N	N;FEM;PL
機能	funcionalitat	機能	funcionalitat	N	N;FEM;SG
身長	alçada	身長	alçada	N	N;FEM;SG
身長	alçària	身長	alçari	N	N;FEM;SG
身長	altura	身長	altura	N	N;FEM;SG
所在	ubicacions	所在	ubicació	N	N;FEM;PL
所在	localitzacions	所在	localització	N	N;FEM;PL
所在	localització	所在	localització	N	N;FEM;SG
所在	ubicació	所在	ubicació	N	N;FEM;SG
所在	emplaçament	所在	emplaçament	N	N;MASC;SG
写真	foto	写真	foto	N	N;FEM;SG
書店	llibreria	書店	llibreria	N	N;FEM;SG
高い	alta	高い	alt	ADJ	ADJ;FEM;SG
高い	alt	高い	alt	ADJ	ADJ;MASC;SG
管理	gestiona	管理	gestionar	V	V;IND;SG;3;PRS;FIN
管理	gestionar	管理	gestionar	V	V;NFIN
バー	barrots	バー	barrot	N	N;MASC;PL
バー	bars	バー	bar	N	N;MASC;PL
バー	bar	バー	bar	N	N;MASC;SG
部隊	tropa	部隊	tropa	N	N;FEM;SG
公園	parc	公園	parc	N	N;MASC;SG
公園	parcs	公園	parc	N	N;MASC;PL
スポーツ	esport	スポーツ	esport	N	N;MASC;SG
スポーツ	sport	スポーツ	sport	N	N;MASC;SG
スポーツ	esports	スポーツ	esport	N	N;MASC;PL
脚本	script	脚本	script	N	N;MASC;SG
脚本	guió	脚本	guió	N	N;MASC;SG
目的	finalitats	目的	finalitat	N	N;FEM;PL
目的	finalitat	目的	finalitat	N	N;FEM;SG
目的	propòsit	目的	propòsit	N	N;MASC;SG
カード	cartes	カード	carta	N	N;FEM;PL
カード	targetes	カード	targeta	N	N;FEM;PL
カード	targeta	カード	targeta	N	N;FEM;SG
基本	fonaments	基本	fonament	N	N;MASC;PL
女優	actrius	女優	actriu	N	N;FEM;PL
女優	actriu	女優	actriu	N	N;FEM;SG
不明	desconegut	不明	desconegut	ADJ	ADJ;MASC;SG;V.PTCP
不明	desconeguda	不明	desconegut	ADJ	ADJ;FEM;SG;V.PTCP
タイトル	títols	タイトル	títol	N	N;MASC;PL
タイトル	títol	タイトル	títol	N	N;MASC;SG
電気	electricitat	電気	electricitat	N	N;FEM;SG
警察	policia	警察	policia	N	N;SG
作成	crear	作成	crear	V	V;NFIN
作成	crea	作成	crear	V	V;IND;SG;3;PRS;FIN
ガン	pistola	ガン	pistola	N	N;FEM;SG
スター	estrella	スター	estrella	N	N;FEM;SG
自由	lliure	自由	lliure	ADJ	ADJ;SG
自由	gratuït	自由	gratuït	ADJ	ADJ;MASC;SG
自由	lliures	自由	lliure	ADJ	ADJ;PL
陸軍	exèrcit	陸軍	exèrcit	N	N;MASC;SG
表示	visualitza	表示	visualitzar	V	V;IND;SG;3;PRS;FIN
社長	president	社長	president	N	N;MASC;SG
社長	presidents	社長	president	N	N;MASC;PL
団体	organitzacions	団体	organització	N	N;FEM;PL
団体	organització	団体	organització	N	N;FEM;SG
通り	carrer	通り	carrer	N	N;MASC;SG
通信	correspondència	通信	correspondència	N	N;FEM;SG
通信	comunicació	通信	comunicació	N	N;FEM;SG
通信	comunicacions	通信	comunicació	N	N;FEM;PL
俳優	actors	俳優	actor	N	N;MASC;PL
俳優	actriu	俳優	actriu	N	N;FEM;SG
俳優	actor	俳優	actor	N	N;MASC;SG
少年	noi	少年	noi	N	N;MASC;SG
病院	hospital	病院	hospital	N	N;MASC;SG
病院	hospitals	病院	hospital	N	N;MASC;PL
個人	individu	個人	individu	N	N;MASC;SG
銀行	banc	銀行	banc	N	N;MASC;SG
研究所	institut	研究所	institut	N	N;MASC;SG
主に	principalment	主に	principalment	ADV	ADV
彼女	ella	彼女	ell	PRO	PRO;FEM;SG;3
ニュース	notícia	ニュース	notícia	N	N;FEM;SG
ニュース	notícies	ニュース	notícia	N	N;FEM;PL
ソフト	suaus	ソフト	suau	ADJ	ADJ;MASC;PL
ソフト	suau	ソフト	suau	ADJ	ADJ;SG
文学	literatura	文学	literatura	N	N;FEM;SG
なし	cap	なす	cap		
空港	aeroport	空港	aeroport	N	N;MASC;SG
空港	aeroports	空港	aeroport	N	N;MASC;PL
高速	ràpid	高速	ràpid	ADJ	ADJ;MASC;SG
言語	llengües	言語	llengua	N	N;FEM;PL
言語	idiomes	言語	idioma	N	N;MASC;PL
言語	idioma	言語	idioma	N	N;MASC;SG
言語	llenguatge	言語	llenguatge	N	N;MASC;SG
リリース	alliberació	リリース	alliberació	N	N;FEM;SG
リリース	alliberament	リリース	alliberament	N	N;MASC;SG
ベスト	armilla	ベスト	armilla	N	N;FEM;SG
会議	conferència	会議	conferència	N	N;FEM;SG
会議	reunions	会議	reunió	N	N;FEM;PL
会議	sessió	会議	sessió	N	N;FEM;SG
会議	reunió	会議	reunió	N	N;FEM;SG
会議	trobada	会議	trobada	N	N;FEM;SG
バンド	bandes	バンド	banda	N	N;FEM;PL
追加	afegeix	追加	afegir	V	V;IND;SG;3;PRS;FIN
移動	mou	移動	moure	V	V;IND;SG;3;PRS;FIN
オリンピック	olimpíades	オリンピック	olimpíat	N	N;FEM;PL
国民	nació	国民	nació	N	N;FEM;SG
ファン	fans	ファン	fan	N	N;MASC;PL
ファン	admiradors	ファン	admirador	N	N;MASC;PL
ファン	ventiladors	ファン	ventilador	N	N;MASC;PL
環境	entorns	環境	entorn	N	N;MASC;PL
競技	competició	競技	competició	N	N;FEM;SG
競技	competència	競技	competència	N	N;FEM;SG
形式	formulari	形式	formulari	N	N;MASC;SG
工場	fàbriques	工場	fàbrica	N	N;FEM;PL
工場	fàbrica	工場	fàbrica	N	N;FEM;SG
事務所	despatx	事務所	despatx	N	N;MASC;SG
事務所	oficina	事務所	oficina	N	N;FEM;SG
データ	dades	データ	dada	N	N;FEM;PL
作戦	operació	作戦	operació	N	N;FEM;SG
オリジナル	original	オリジナル	original	ADJ	ADJ;SG
オリジナル	originals	オリジナル	original	ADJ	ADJ;PL
可能性	possibilitats	可能性	possibilitat	N	N;FEM;PL
可能性	possibilitat	可能性	possibilitat	N	N;FEM;SG
種類	tipus	種類	tipus	N	N;MASC
文字	caràcter	文字	caràcter	N	N;MASC;SG
文字	personatge	文字	personatge	N	N;MASC;SG
文字	personatges	文字	personatge	N	N;MASC;PL
文字	caràcters	文字	caràcter	N	N;MASC;PL
大統領	president	大統領	president	N	N;MASC;SG
連邦	federació	連邦	federació	N	N;FEM;SG
共和国	república	共和国	república	N	N;FEM;SG
引退	jubilar	引退	jubilar	V	V;NFIN
部門	departament	部門	departament	N	N;MASC;SG
産業	indústria	産業	indústria	N	N;FEM;SG
プロデューサー	productors	プロデューサー	productor	N	N;MASC;PL
プロデューサー	productor	プロデューサー	productor	N	N;MASC;SG
系統	llinatge	系統	llinatge	N	N;MASC;SG
レース	cursa	レース	cursa	N	N;FEM;SG
レース	racing	レース	racing	N	N;MASC;SG
レース	encaix	レース	encaix	N	N;MASC;SG
レース	puntes	レース	punta	N	N;FEM;PL
郵便	correu	郵便	correu	N	N;MASC;SG
カップ	tasses	カップ	tassa	N	N;FEM;PL
カップ	tassa	カップ	tassa	N	N;FEM;SG
カップ	cup	カップ	cup	N	N;FEM;SG
ほぼ	gairebé	ほぼ	gairebé	ADV	ADV
交差点	intersecció	交差点	intersecció	N	N;FEM;SG
イベント	esdeveniments	イベント	esdeveniment	N	N;MASC;PL
イベント	esdeveniment	イベント	esdeveniment	N	N;MASC;SG
出典	fonts	出典	font	N	N;FEM;PL
出典	font	出典	font	N	N;FEM;SG
ほとんど	gairebé	ほとんど	gairebé	ADV	ADV
重要	important	重要	important	ADJ	ADJ;SG
プロジェクト	projecte	プロジェクト	projecte	N	N;MASC;SG
プロジェクト	projectes	プロジェクト	projecte	N	N;MASC;PL
電車	tren	電車	tren	N	N;MASC;SG
電車	trens	電車	tren	N	N;MASC;PL
建築	arquitectura	建築	arquitectura	N	N;FEM;SG
クラス	classes	クラス	classe	N	N;FEM;PL
クラス	classe	クラス	classe	N	N;FEM;SG
アジア	àsia	アジア	àsia	N	N;FEM;SG
普通	ordinari	普通	ordinari	ADJ	ADJ;MASC;SG
普通	ordinària	普通	ordinari	ADJ	ADJ;FEM;SG
普通	normal	普通	normal	ADJ	ADJ;SG
普通	normals	普通	normal	ADJ	ADJ;PL
舞台	etapes	舞台	etapa	N	N;FEM;PL
舞台	etapa	舞台	etapa	N	N;FEM;SG
舞台	escenari	舞台	escenari	N	N;MASC;SG
意見	opinió	意見	opinió	N	N;FEM;SG
意見	dictamen	意見	dictamen	N	N;MASC;SG
発見	descobreix	発見	descobrir	V	V;IND;SG;3;PRS;FIN
保護	protegir	保護	protegir	V	V;NFIN
少女	noia	少女	noia	N	N;FEM;SG
試験	examen	試験	examen	N	N;MASC;SG
試験	exàmens	試験	examen	N	N;MASC;PL
反対	against	反対	against		
作家	autors	作家	autor	N	N;MASC;PL
作家	escriptor	作家	escriptor	N	N;MASC;SG
作家	escriptores	作家	escriptora	N	N;FEM;PL
作家	escriptors	作家	escriptor	N	N;MASC;PL
作家	autor	作家	autor	N	N;MASC;SG
方法	mètode	方法	mètode	N	N;MASC;SG
特徴	funcionalitats	特徴	funcionalitat	N	N;FEM;PL
特徴	característiques	特徴	característica	N	N;FEM;PL
男性	homes	男性	home	N	N;MASC;PL
男性	home	男性	home	N	N;MASC;SG
ケース	casos	ケース	cas	N	N;MASC;PL
子供	nens	子供	nen	N	N;MASC;PL
子供	fills	子供	fill	N	N;MASC;PL
子供	infants	子供	infant	N	N;MASC;PL
子供	nens	子供	nen	N	N;MASC;PL
子供	nen	子供	nen	N	N;MASC;SG
大臣	ministre	大臣	ministre	N	N;MASC;SG
大臣	ministres	大臣	ministre	N	N;MASC;PL
コーナー	racó	コーナー	racó	N	N;MASC;SG
コーナー	cantonada	コーナー	cantonada	N	N;FEM;SG
取締役	director	取締役	director	N	N;MASC;SG
取締役	directora	取締役	directora	N	N;FEM;SG
取締役	realitzador	取締役	realitzador	N	N;MASC;SG
取締役	directors	取締役	director	N	N;MASC;PL
人気	popularitat	人気	popularitat	N	N;FEM;SG
説明	expliqui	説明	explicar	V	V;SBJV;SG;3;PRS;FIN
ドル	dòlar	ドル	dòlar	N	N;MASC;SG
投票	vota	投票	votar	V	V;IND;SG;3;PRS;FIN
雑誌	revista	雑誌	revista	N	N;FEM;SG
雑誌	revistes	雑誌	revista	N	N;FEM;PL
学科	departament	学科	departament	N	N;MASC;SG
学科	departaments	学科	departament	N	N;MASC;PL
ステージ	etapes	ステージ	etapa	N	N;FEM;PL
ステージ	etapa	ステージ	etapa	N	N;FEM;SG
ステージ	escenari	ステージ	escenari	N	N;MASC;SG
学生	estudiants	学生	estudiant	N	N;PL
学生	alumnat	学生	alumnat	N	N;MASC;SG
学生	alumnes	学生	alumne	N	N;MASC;PL
学生	alumne	学生	alumne	N	N;MASC;SG
周辺	perifèria	周辺	periferir	N	N;FEM;SG
言葉	paraules	言葉	paraula	N	N;FEM;PL
教会	església	教会	església	N	N;FEM;SG
内閣	gabinet	内閣	gabinet	N	N;MASC;SG
ロック	bloqueig	ロック	bloqueig	N	N;MASC;SG
ロック	roca	ロック	roca	N	N;FEM;SG
ロック	rock	ロック	rock	N	N;MASC;SG
事故	accident	事故	accident	N	N;MASC;SG
事故	accidents	事故	accident	N	N;MASC;PL
状況	circumstància	状況	circumstància	N	N;FEM;SG
状況	situacions	状況	situació	N	N;FEM;PL
状況	situació	状況	situació	N	N;FEM;SG
状況	circumstàncies	状況	circumstància	N	N;FEM;PL
家族	família	家族	família	N	N;FEM;SG
距離	distància	距離	distància	N	N;FEM;SG
距離	distàncies	距離	distància	N	N;FEM;PL
新しい	nova	新しい	nou	ADJ	ADJ;FEM;SG
新しい	nou	新しい	nou	ADJ	ADJ;MASC;SG
新しい	noves	新しい	nou	ADJ	ADJ;FEM;PL
ホール	forat	ホール	forat	N	N;MASC;SG
血液	sang	血液	sang	N	N;FEM;SG
由来	origen	由来	origen	N	N;MASC;SG
店舗	botigues	店舗	botiga	N	N;FEM;PL
店舗	botigues	店舗	botiga	N	N;FEM;PL
店舗	comerços	店舗	comerç	N	N;MASC;PL
店舗	botiga	店舗	botiga	N	N;FEM;SG
カテゴリ	categoria	カテゴリ	categoria	N	N;FEM;SG
カテゴリ	categories	カテゴリ	categoria	N	N;FEM;PL
メートル	metres	メートル	metre	N	N;MASC;PL
メートル	metre	メートル	metre	N	N;MASC;SG
メートル	metres	メートル	metre	N	N;MASC;PL
芸術	arts	芸術	art	N	N;FEM;PL
芸術	art	芸術	art	N	N;MASC;SG
主人	protagonista	主人	protagonista	N	N;SG
観光	turisme	観光	turisme	N	N;MASC;SG
観光	turista	観光	turista	N	N;SG
取得	recuperar	取得	recuperar	V	V;NFIN
電話	telèfon	電話	telèfon	N	N;MASC;SG
刑事	detectiu	刑事	detectiu	N	N;MASC;SG
レコード	rècord	レコード	rècord	N	N;MASC;SG
レコード	rècords	レコード	rècord	N	N;MASC;PL
レコード	registres	レコード	registre	N	N;MASC;PL
ロード	càrrega	ロード	càrrega	N	N;FEM;SG
ワールド	món	ワールド	món	N	N;MASC;SG
美術	art	美術	art	N	N;MASC;SG
息子	fill	息子	fill	N	N;MASC;SG
制度	institució	制度	institució	N	N;FEM;SG
ツアー	tour	ツアー	tour	N	N;MASC;SG
スタジオ	estudi	スタジオ	estudi	N	N;MASC;SG
市民	ciutadans	市民	ciutadà	N	N;MASC;PL
市民	ciutadania	市民	ciutadania	N	N;FEM;SG
自然	naturals	自然	natural	ADJ	ADJ;PL
自然	natural	自然	natural	ADJ	ADJ;SG
マイル	milles	マイル	milla	N	N;FEM;PL
マイル	kilòmetres	マイル	kilòmetre	N	N;MASC;PL
マイル	quilòmetres	マイル	quilòmetre	N	N;MASC;PL
マイル	milla	マイル	milla	N	N;FEM;SG
組合	associacions	組合	associació	N	N;FEM;PL
生徒	estudiants	生徒	estudiant	N	N;PL
生徒	alumnat	生徒	alumnat	N	N;MASC;SG
生徒	alumnes	生徒	alumne	N	N;MASC;PL
生徒	alumne	生徒	alumne	N	N;MASC;SG
ギター	guitarra	ギター	guitarra	N	N;FEM;SG
コース	curs	コース	curs	N	N;MASC;SG
コース	cursos	コース	curs	N	N;MASC;PL
変化	canvia	変化	canviar	V	V;IND;SG;3;PRS;FIN
アナウンサー	locutor	アナウンサー	locutor	N	N;MASC;SG
