年	год	年	год	N	N;INAN;NOM;MASC;SG
正式	формально	正式	формально	ADV	ADV
正式	официально	正式	официально	ADV	ADV
字	слово	字	слово	N	N;INAN;NOM;NEUT;SG
字	слов	字	слово	N	N;INAN;GEN;NEUT;PL
字	слова	字	слово	N	N;INAN;NOM;NEUT;PL
不同	разные	不同	разный	ADJ	ADJ;NOM;PL
不同	различных	不同	различный	ADJ	ADJ;GEN;PL
足球	футбол	足球	футбол	N	N;INAN;NOM;MASC;SG
足球	футбол	足球	футбол	N	N;INAN;NOM;MASC;SG
郡	графство	郡	графство	N	N;INAN;NOM;NEUT;SG
郡	округе	郡	округ	N	N;INAN;ESS;MASC;SG
郡	округ	郡	округ	N	N;INAN;NOM;MASC;SG
國家	государства	國家	государство	N	N;INAN;NOM;NEUT;PL
國家	штатов	國家	штат	N	N;INAN;GEN;MASC;PL
國家	штаты	國家	штат	N	N;INAN;NOM;MASC;PL
國家	страна	國家	страна	N	N;INAN;NOM;FEM;SG
國家	страны	國家	страна	N	N;INAN;NOM;FEM;PL
國家	штат	國家	штат	N	N;INAN;NOM;MASC;SG
國家	состояние	國家	состояние	N	N;INAN;NOM;NEUT;SG
國家	государство	國家	государство	N	N;INAN;NOM;NEUT;SG
國家	стран	國家	страна	N	N;INAN;GEN;FEM;PL
國家	страны	國家	страна	N	N;INAN;NOM;FEM;PL
球	бал	球	бал	N	N;INAN;NOM;MASC;SG
球	шар	球	шар	N	N;INAN;NOM;MASC;SG
球	мяч	球	мяч	N	N;INAN;NOM;MASC;SG
街	улица	街	улица	N	N;INAN;NOM;FEM;SG
城市	город	城市	город	N	N;INAN;NOM;MASC;SG
城市	города	城市	город	N	N;INAN;NOM;MASC;PL
城市	города	城市	город	N	N;INAN;NOM;MASC;PL
城市	городов	城市	город	N	N;INAN;GEN;MASC;PL
水	вода	水	вода	N	N;INAN;NOM;FEM;SG
水	воды	水	вода	N	N;INAN;NOM;FEM;PL
水	воду	水	вода	N	N;INAN;ACC;FEM;SG
人物	характер	人物	характер	N	N;INAN;NOM;MASC;SG
人物	персонаж	人物	персонаж	N	N;ANIM;NOM;MASC;SG
人物	символ	人物	символ	N	N;INAN;NOM;MASC;SG
軍	армии	軍	армия	N	N;INAN;NOM;FEM;SG
軍	армия	軍	армия	N	N;INAN;NOM;FEM;SG
加入	присоединиться	加入	присоединиться	V	V;PFV;NFIN;MID
加入	присоединяйтесь	加入	присоединяться	V	V;IPFV;IMP;PL;2;FIN;MID
加入	присоединилась	加入	присоединиться	V	V;PFV;FEM;IND;SG;PST;FIN;MID
加入	присоединился	加入	присоединиться	V	V;PFV;MASC;IND;SG;PST;FIN;MID
加入	присоединились	加入	присоединиться	V	V;PFV;IND;PL;PST;FIN;MID
加入	вступила	加入	вступить	V	V;PFV;FEM;IND;SG;PST;FIN;ACT
屬	род	屬	род	N	N;ANIM;NOM;MASC;SG
魚	рыбка	魚	рыбка	N	N;ANIM;NOM;FEM;SG
魚	рыба	魚	рыба	N	N;ANIM;NOM;FEM;SG
魚	рыбы	魚	рыба	N	N;ANIM;NOM;FEM;PL
波	волна	波	волна	N	N;INAN;NOM;FEM;SG
波	волны	波	волна	N	N;INAN;NOM;FEM;PL
你	тебя	你	ты	PRO;2	PRO;ACC;SG;2
你	вы	你	вы	PRO;2	PRO;NOM;PL;2
你	ты	你	ты	PRO;2	PRO;NOM;SG;2
方	фан	方	фан	N	N;INAN;NOM;MASC;SG
話	диалект	話	диалект	N	N;INAN;NOM;MASC;SG
東	востоке	東	восток	N	N;INAN;ESS;MASC;SG
東	восток	東	восток	N	N;INAN;NOM;MASC;SG
東	ист	東	ист	N	N;INAN;NOM;NEUT;SG
石	камень	石	камень	N	N;INAN;NOM;MASC;SG
石	стоун	石	стоун	N	N;INAN;NOM;MASC;SG
事件	инцидента	事件	инцидент	N	N;INAN;GEN;MASC;SG
事件	инцидент	事件	инцидент	N	N;INAN;NOM;MASC;SG
事件	происшествие	事件	происшествие	N	N;INAN;NOM;NEUT;SG
事件	инциденты	事件	инцидент	N	N;INAN;NOM;MASC;PL
事件	происшествия	事件	происшествие	N	N;INAN;NOM;NEUT;PL
事件	инцидентов	事件	инцидент	N	N;INAN;GEN;MASC;PL
事件	события	事件	событие	N	N;INAN;NOM;NEUT;PL
事件	мероприятия	事件	мероприятие	N	N;INAN;NOM;NEUT;PL
事件	мероприятие	事件	мероприятие	N	N;INAN;NOM;NEUT;SG
事件	событие	事件	событие	N	N;INAN;NOM;NEUT;SG
建立	строить	建立	строить	V	V;IPFV;NFIN;ACT
建立	построить	建立	строить	V	V;PFV;NFIN;ACT
生活	живущие	生活	жить	V	V;IPFV;NOM;PL;PRS;V.PTCP;ACT
教育	просвещение	教育	просвещение	N	N;INAN;NOM;NEUT;SG
教育	образование	教育	образование	N	N;INAN;NOM;NEUT;SG
車站	станция	車站	станция	N	N;INAN;NOM;FEM;SG
車站	вокзал	車站	вокзал	N	N;INAN;NOM;MASC;SG
車站	станции	車站	станция	N	N;INAN;NOM;FEM;PL
獎	награды	獎	награда	N	N;INAN;NOM;FEM;PL
獎	премия	獎	премия	N	N;INAN;NOM;FEM;SG
獎	приз	獎	приз	N	N;INAN;NOM;MASC;SG
獎	премия	獎	премия	N	N;INAN;NOM;FEM;SG
獎	награду	獎	награда	N	N;INAN;ACC;FEM;SG
獎	награда	獎	награда	N	N;INAN;NOM;FEM;SG
完成	закончили	完成	закончить	V	V;PFV;IND;PL;PST;FIN;ACT
完成	завершена	完成	завершить	V	V;PFV;FEM;SG;PST;V.PTCP;PASS
完成	закончил	完成	закончить	V	V;PFV;MASC;IND;SG;PST;FIN;ACT
完成	завершено	完成	завершить	V	V;PFV;NEUT;SG;PST;V.PTCP;PASS
完成	закончить	完成	закончить	V	V;PFV;NFIN;ACT
完成	завершить	完成	завершить	V	V;PFV;NFIN;ACT
完成	сделано	完成	делать	V	V;PFV;NEUT;SG;PST;V.PTCP;PASS
完成	завершить	完成	завершить	V	V;PFV;NFIN;ACT
白	уайт	白	уайт	N	N;ANIM;NOM;MASC;SG
音樂	музыка	音樂	музыка	N	N;INAN;NOM;FEM;SG
音樂	музыку	音樂	музыка	N	N;INAN;ACC;FEM;SG
音樂	мюзикл	音樂	мюзикл	N	N;INAN;NOM;MASC;SG
他們	они	他	они	PRO;PL;3	PRO;NOM;PL;3
分布	распространенный	分布	распространенный	V	V;PFV;NOM;MASC;SG;PST;V.PTCP;PASS
分布	распространено	分布	распространить	V	V;PFV;NEUT;SG;PST;V.PTCP;PASS
地區	районы	地區	район	N	N;INAN;NOM;MASC;PL
地區	области	地區	область	N	N;INAN;NOM;FEM;PL
地區	округ	地區	округ	N	N;INAN;NOM;MASC;SG
地區	район	地區	район	N	N;INAN;NOM;MASC;SG
地區	область	地區	область	N	N;INAN;NOM;FEM;SG
地區	район	地區	район	N	N;INAN;NOM;MASC;SG
地區	площадь	地區	площадь	N	N;INAN;NOM;FEM;SG
車	машину	車	машина	N	N;INAN;ACC;FEM;SG
車	автомобиль	車	автомобиль	N	N;INAN;NOM;MASC;SG
車	вагон	車	вагон	N	N;INAN;NOM;MASC;SG
車	машина	車	машина	N	N;INAN;NOM;FEM;SG
車	автомобили	車	автомобиль	N	N;INAN;NOM;MASC;PL
車	машины	車	машина	N	N;INAN;NOM;FEM;PL
官	офицер	官	офицер	N	N;ANIM;NOM;MASC;SG
中文	китайцы	中文	китаец	N	N;ANIM;NOM;MASC;PL
中文	китая	中文	китай	N	N;INAN;GEN;MASC;SG
自由	свободы	自由	свобода	N	N;INAN;NOM;FEM;PL
自由	свободу	自由	свобода	N	N;INAN;ACC;FEM;SG
自由	свобода	自由	свобода	N	N;INAN;NOM;FEM;SG
自由	свобода	自由	свобода	N	N;INAN;NOM;FEM;SG
獲得	получить	獲得	получить	V	V;PFV;NFIN;ACT
獲得	получите	獲得	получить	V	V;PFV;IND;PL;2;FUT;FIN;ACT
光	свет	光	свет	N	N;INAN;NOM;MASC;SG
光	света	光	свет	N	N;INAN;GEN;MASC;SG
光	хикари	光	хикарь	N	N;ANIM;NOM;FEM;SG
重要	важная	重要	важный	ADJ	ADJ;NOM;FEM;SG
重要	важно	重要	важный	ADJ	ADJ;NEUT;SG
重要	важных	重要	важный	ADJ	ADJ;GEN;PL
重要	важное	重要	важный	ADJ	ADJ;NOM;NEUT;SG
重要	важные	重要	важный	ADJ	ADJ;NOM;PL
重要	важны	重要	важный	ADJ	ADJ;PL
工程	инженерии	工程	инженерия	N	N;INAN;NOM;FEM;PL
工程	инжиниринг	工程	инжиниринг	N	N;INAN;NOM;MASC;SG
段	дуань	段	дуань	N	N;INAN;NOM;MASC;SG
提交	представлено	提交	представить	V	V;PFV;NEUT;SG;PST;V.PTCP;PASS
提交	представленное	提交	представить	V	V;PFV;NOM;NEUT;SG;PST;V.PTCP;PASS
提交	представлен	提交	представить	V	V;PFV;MASC;SG;PST;V.PTCP;PASS
提交	представленный	提交	представить	V	V;PFV;NOM;MASC;SG;PST;V.PTCP;PASS
需要	требуется	需要	требоваться	V	V;IPFV;IND;SG;3;PRS;FIN;MID
最佳	оптимального	最佳	оптимальный	ADJ	ADJ;GEN;MASC;SG
最佳	оптимальные	最佳	оптимальный	ADJ	ADJ;NOM;PL
最佳	оптимальное	最佳	оптимальный	ADJ	ADJ;NOM;NEUT;SG
最佳	оптимальный	最佳	оптимальный	ADJ	ADJ;NOM;MASC;SG
最佳	оптимального	最佳	оптимальный	ADJ	ADJ;GEN;MASC;SG
最佳	оптимальный	最佳	оптимальный	ADJ	ADJ;NOM;MASC;SG
最佳	оптимальное	最佳	оптимальный	ADJ	ADJ;NOM;NEUT;SG
這	эта	這	этот	DET	DET;NOM;FEM;SG
這	этот	這	этот	DET	DET;NOM;MASC;SG
地方	место	地方	место	N	N;INAN;NOM;NEUT;SG
地方	места	地方	место	N	N;INAN;NOM;NEUT;PL
地方	местами	地方	место	N	N;INAN;INS;NEUT;PL
系列	серия	系列	серия	N	N;INAN;NOM;FEM;SG
系列	серии	系列	серия	N	N;INAN;NOM;FEM;PL
電視	телевидения	電視	телевидение	N	N;INAN;NOM;NEUT;PL
電視	телевидение	電視	телевидение	N	N;INAN;NOM;NEUT;SG
電視	телевизор	電視	телевизор	N	N;INAN;NOM;MASC;SG
登	дэн	登	дэн	N	N;ANIM;NOM;MASC;SG
黑	темноте	黑	темнота	N	N;INAN;DAT;FEM;SG
花	хана	花	хан	N	N;ANIM;ACC;MASC;SG
花	цветы	花	цветы	N	N;INAN;NOM;MASC;PL
花	цветочки	花	цветочек	N	N;INAN;NOM;MASC;PL
花	цветочек	花	цветочек	N	N;INAN;NOM;MASC;SG
花	цветок	花	цветок	N	N;INAN;NOM;MASC;SG
神	бог	神	бог	N	N;ANIM;NOM;MASC;SG
遊戲	игра	遊戲	игра	N	N;INAN;NOM;FEM;SG
遊戲	игры	遊戲	игра	N	N;INAN;NOM;FEM;PL
最高	наивысший	最高	наивысший	ADJ	ADJ;NOM;MASC;SG
最高	верховный	最高	верховный	ADJ	ADJ;NOM;MASC;SG
最高	высшая	最高	высший	ADJ	ADJ;NOM;FEM;SG
最高	высший	最高	высший	ADJ	ADJ;NOM;MASC;SG
要求	требует	要求	требовать	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
要求	запросить	要求	запросить	V	V;PFV;NFIN;ACT
要求	потребовать	要求	требовать	V	V;PFV;NFIN;ACT
版本	версии	版本	версия	N	N;INAN;NOM;FEM;PL
版本	версия	版本	версия	N	N;INAN;NOM;FEM;SG
版本	издания	版本	издание	N	N;INAN;NOM;NEUT;PL
版本	версии	版本	версия	N	N;INAN;NOM;FEM;PL
版本	версий	版本	версия	N	N;INAN;GEN;FEM;PL
發現	найдена	發現	найти	V	V;PFV;FEM;SG;PST;V.PTCP;PASS
發現	найдено	發現	найти	V	V;PFV;NEUT;SG;PST;V.PTCP;PASS
發現	нашла	發現	найти	V	V;PFV;FEM;IND;SG;PST;FIN;ACT
發現	найден	發現	найти	V	V;PFV;MASC;SG;PST;V.PTCP;PASS
發現	найдены	發現	найти	V	V;PFV;PL;PST;V.PTCP;PASS
發現	обнаружить	發現	обнаружить	V	V;PFV;NFIN;ACT
語	язык	語	язык	N	N;INAN;NOM;MASC;SG
內容	содержимое	內容	содержимое	N	N;INAN;NOM;NEUT;SG
內容	контент	內容	контент	N	N;INAN;NOM;MASC;SG
內容	материалы	內容	материал	N	N;INAN;NOM;MASC;PL
出生	родилась	出生	рождаться	V	V;PFV;FEM;IND;SG;PST;FIN;MID
出生	родился	出生	рождаться	V	V;PFV;MASC;IND;SG;PST;FIN;MID
航空	авиация	航空	авиация	N	N;INAN;NOM;FEM;SG
航空	авиации	航空	авиация	N	N;INAN;NOM;FEM;SG
航空	авиакомпании	航空	авиакомпания	N	N;INAN;NOM;FEM;PL
航空	авиалинии	航空	авиалиния	N	N;INAN;NOM;FEM;PL
航空	авиакомпания	航空	авиакомпания	N	N;INAN;NOM;FEM;SG
