kot	jako	kot	jako	CONJ	CONJ
pesmi	skladby	pesem	skladba	N;NOM;FEM;PL	N;NOM;FEM;PL;POS
tri	tři	trije	tři	NUM;NOM;FEM;PL	NUM;NOM;PL
veliki	velký	velik	velký	ADJ;NOM;DEF;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
veliki	velká	velik	velký	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;FEM;SG;POS
veliki	big	velik	big	ADJ;NOM;DEF;MASC;SG	ADJ;POS
ameriški	americká	ameriški	americký	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;FEM;SG;POS
ameriški	americký	ameriški	americký	ADJ;NOM;DEF;MASC;SG	ADJ;ANIM;NOM;MASC;SG;POS
cet	seč	ceto	seč	N;NOM;MASC;SG	N;NOM;MASC;SG;POS
slika	obrázek	slika	obrázek	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
slika	fotka	slika	fotka	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
slika	obrázek	slika	obrázek	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
slika	image	slika	image	N;NOM;FEM;SG	N;FEM;POS
slika	obraz	slika	obraz	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
slika	obraz	slika	obraz	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
slika	malba	slika	malba	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
slika	malování	slika	malování	N;NOM;FEM;SG	N;NOM;NEUT;SG;POS
prva	první	prvi	první	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
imel	měl	imeti	mít	V;IPFV;MASC;SG;V.PTCP	V;MASC;SG;POS;PST;V.PTCP;ACT
druga	jiná	drug	jiný	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG;POS
druga	jiné	drug	jiný	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG;POS
druga	jiný	drug	jiný	ADJ;NOM;FEM;SG	ADJ;ANIM;NOM;MASC;SG;POS
vojske	armády	vojska	armáda	N;NOM;FEM;PL	N;NOM;FEM;PL;POS
pogosto	často	pogosto	často	ADV	ADV;POS
pogosto	mnohdy	pogosto	mnohdy	ADV	ADV
pogosto	často	pogosto	často	ADV	ADV;POS
eno	jedno	en	jeden	NUM;NOM;NEUT;SG	NUM;NOM;NEUT;SG
eno	jeden	en	jeden	NUM;NOM;NEUT;SG	NUM;NOM;MASC;SG
eno	jedna	en	jeden	NUM;NOM;NEUT;SG	NUM;NOM;FEM;SG
življenje	zivot	življenje	zivot	N;NOM;NEUT;SG	N;NOM;MASC;SG;POS
življenje	život	življenje	život	N;NOM;NEUT;SG	N;INAN;NOM;MASC;SG;POS
skupina	skupina	skupina	skupina	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
nagrada	odměna	nagrada	odměna	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
nagrada	cena	nagrada	cena	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
nagrada	ocenění	nagrada	ocenění	N;NOM;FEM;SG	N;NOM;NEUT;SG;POS
nagrada	zadání	nagrada	zadání	N;NOM;FEM;SG	N;NOM;NEUT;SG;POS
priimek	příjmení	priimek	příjmení	N;NOM;MASC;SG	N;NOM;NEUT;SG;POS
čeprav	ačkoliv	čeprav	ačkoliv	CONJ	CONJ
čeprav	ačkoli	čeprav	ačkoliv	CONJ	CONJ
čeprav	třebaže	čeprav	třebaže	CONJ	CONJ
čeprav	ačkoliv	čeprav	ačkoliv	CONJ	CONJ
čeprav	ačkoli	čeprav	ačkoliv	CONJ	CONJ
izvirno	originální	izviren	originální	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG;POS
izvirno	původní	izviren	původní	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG;POS
skupine	skupinky	skupina	skupinka	N;NOM;FEM;PL	N;NOM;FEM;PL;POS
skupine	skupiny	skupina	skupina	N;NOM;FEM;PL	N;NOM;FEM;PL;POS
francoski	francouzské	francoski	francouzský	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;NEUT;SG;POS
francoski	francouzská	francoski	francouzský	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;FEM;SG;POS
ena	jedno	en	jeden	NUM;NOM;FEM;SG	NUM;NOM;NEUT;SG
ena	jeden	en	jeden	NUM;NOM;FEM;SG	NUM;NOM;MASC;SG
ena	jedna	en	jeden	NUM;NOM;FEM;SG	NUM;NOM;FEM;SG
divizija	dělení	divizija	dělení	N;NOM;FEM;SG	N;NOM;NEUT;SG;POS
divizija	divize	divizija	divize	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
pomeni	znamená	pomeniti	znamenat	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
kralj	král	kralj	král	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
eden	jedno	eden	jeden	NUM;NOM;MASC;SG	NUM;NOM;NEUT;SG
eden	jeden	eden	jeden	NUM;NOM;MASC;SG	NUM;NOM;MASC;SG
eden	jedna	eden	jeden	NUM;NOM;MASC;SG	NUM;NOM;FEM;SG
http	http	http	http	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
čas	čas	čas	čas	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
čas	doba	čas	doba	N;NOM;MASC;SG	N;NOM;FEM;SG;POS
čas	time	čas	time	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
skozi	přes	skozi	přes	ADP;ACC	ADP;ACC
skozi	skrze	skozi	skrz	ADP;ACC	ADP;ACC
ponovno	znovu	ponovno	znovu	ADV	ADV
ponovno	zase	ponovno	zase	ADV	ADV
ponovno	opět	ponovno	opět	ADV	ADV
osvojil	dobýt	osvojiti	dobýt	V;PFV;MASC;SG;V.PTCP	V;POS;NFIN
začel	začalo	začeti	začít	V;PFV;MASC;SG;V.PTCP	V;NEUT;SG;POS;PST;V.PTCP;ACT
začel	začal	začeti	začít	V;PFV;MASC;SG;V.PTCP	V;MASC;SG;POS;PST;V.PTCP;ACT
decembra	prosince	december	prosinec	N;GEN;MASC;SG	N;INAN;GEN;MASC;SG;POS
približno	přibližně	približno	přibližně	ADV	ADV;POS
nemški	německý	nemški	německý	ADJ;NOM;DEF;MASC;SG	ADJ;ANIM;NOM;MASC;SG;POS
nemški	německá	nemški	německý	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;FEM;SG;POS
države	státy	država	stát	N;NOM;FEM;PL	N;INAN;NOM;MASC;PL;POS
maja	května	maj	květen	N;GEN;MASC;SG	N;INAN;GEN;MASC;SG;POS
novo	nový	nov	nový	ADJ;NOM;NEUT;SG	ADJ;INAN;NOM;MASC;SG;POS
novo	nová	nov	nový	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG;POS
potem	pak	potem	pak	ADV	ADV
pesem	báseň	pesem	báseň	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
pesem	písnička	pesem	písnička	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
pesem	skladba	pesem	skladba	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
pesem	píseň	pesem	píseň	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
pesem	song	pesem	song	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
švedska	švédský	švedska	švédský	ADJ;NOM;FEM;SG	ADJ;ANIM;NOM;MASC;SG;POS
švedska	švédská	švedska	švédský	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG;POS
krog	kruh	krog	kruh	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
krog	kroužek	krog	kroužka	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
krog	kružnice	krog	kružnice	N;NOM;MASC;SG	N;NOM;FEM;SG;POS
krog	klín	krog	klín	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
krog	kolo	krog	kolo	N;NOM;MASC;SG	N;NOM;NEUT;SG;POS
red	pořádek	red	pořádek	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
red	řád	red	řád	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
red	pořadí	red	pořadí	N;NOM;MASC;SG	N;NOM;NEUT;SG;POS
red	objednávka	red	objednávka	N;NOM;MASC;SG	N;NOM;FEM;SG;POS
član	členka	član	členka	N;NOM;MASC;SG	N;NOM;FEM;SG;POS
član	poslanec	član	poslanec	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
član	člen	član	člen	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
nagrado	odměnu	nagrada	odměna	N;ACC;FEM;SG	N;ACC;FEM;SG;POS
glavni	hlavní	glaven	hlavní	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;MASC;SG;POS
knjiga	kniha	knjiga	kniha	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
knjiga	knížka	knjiga	knížka	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
tam	tam	tam	tam	ADV	ADV
medtem	zatím	medtem	zatím	ADV	ADV
medtem	mezitím	medtem	mezitím	ADV	ADV
sistem	systém	sistem	systém	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
sistem	system	sistem	system	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
večinoma	hlavně	večinoma	hlavně	ADV	ADV;POS
večinoma	převážně	večinoma	převážně	ADV	ADV;POS
večinoma	většinou	večinoma	většinou	ADV	ADV
večinoma	hlavně	večinoma	hlavně	ADV	ADV;POS
večinoma	převážně	večinoma	převážně	ADV	ADV;POS
oseb	osob	oseba	osoba	N;GEN;FEM;PL	N;GEN;FEM;PL;POS
januarja	ledna	januar	leden	N;GEN;MASC;SG	N;INAN;GEN;MASC;SG;POS
živi	žít	živeti	žít	V;IPFV;IND;SG;3;PRS;FIN	V;POS;NFIN
živi	žije	živeti	žít	V;IPFV;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
julija	července	julij	červenec	N;GEN;MASC;SG	N;INAN;GEN;MASC;SG;POS
grad	zámek	grad	zámek	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
grad	castle	grad	castle	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
grad	hrad	grad	hrad	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
kmalu	brzo	kmalu	brzy	ADV	ADV;POS
kmalu	brzy	kmalu	brzy	ADV	ADV;POS
junija	června	junij	červen	N;GEN;MASC;SG	N;INAN;GEN;MASC;SG;POS
način	mód	način	móda	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
način	režim	način	režim	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
način	způsob	način	způsob	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
film	film	film	film	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
film	film	film	film	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
oktobra	října	oktober	říjen	N;GEN;MASC;SG	N;INAN;GEN;MASC;SG;POS
občine	obce	občina	obec	N;NOM;FEM;PL	N;NOM;FEM;PL;POS
brigada	brigáda	brigada	brigáda	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
vrste	druhy	vrsta	druh	N;NOM;FEM;PL	N;INAN;NOM;MASC;PL;POS
vrste	typy	vrsta	typ	N;NOM;FEM;PL	N;INAN;NOM;MASC;PL;POS
vrste	druhy	vrsta	druh	N;NOM;FEM;PL	N;INAN;NOM;MASC;PL;POS
sveta	rada	svet	rada	N;NOM;MASC;SG	N;NOM;FEM;SG;POS
kako	jak	kako	jak	ADV	ADV
svetovna	celosvětový	svetoven	celosvětový	ADJ;NOM;FEM;SG	ADJ;INAN;NOM;MASC;SG;POS
svetovna	celosvětové	svetoven	celosvětový	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG;POS
svetovna	celosvětová	svetoven	celosvětový	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG;POS
svetovna	world	svetoven	world	ADJ;NOM;FEM;SG	ADJ;POS
svetovna	světový	svetoven	světový	ADJ;NOM;FEM;SG	ADJ;INAN;NOM;MASC;SG;POS
svetovna	světová	svetoven	světový	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG;POS
svetovna	světové	svetoven	světový	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG;POS
svetovna	celosvětová	svetoven	celosvětový	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG;POS
svetovna	globální	svetoven	globální	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG;POS
marca	března	marec	březen	N;GEN;MASC;SG	N;INAN;GEN;MASC;SG;POS
sin	syn	sin	syn	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
verjetno	pravděpodobně	verjetno	pravděpodobně	ADV	ADV;POS
njihova	jejich	njihov	jeho	DET;NOM;FEM;SG;3	DET;3
njihova	jejich	njihov	jeho	DET;NOM;FEM;SG;3	DET;3
pot	stezka	pot	stezka	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
pot	cesta	pot	cesta	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
pot	trasa	pot	trasa	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
pot	cesta	pot	cesta	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
