ve	og	ve	og	CONJ	CONJ
şekilde	vej	şekil	vej	N;ESS;SG;3	N;INDF;MASC+FEM;SG
şekilde	måde	şekil	måde	N;ESS;SG;3	N;INDF;MASC+FEM;SG
bilgi	info	bilgi	info	N;NOM;SG;3	N;INDF;NEUT;SG
bilgi	oplysning	bilgi	oplysning	N;NOM;SG;3	N;INDF;MASC+FEM;SG
bilgi	information	bilgi	information	N;NOM;SG;3	N;INDF;MASC+FEM;SG
bilgi	underretning	bilgi	underretning	N;NOM;SG;3	N;INDF;MASC+FEM;SG
bilgi	kundskab	bilgi	kundskab	N;NOM;SG;3	N;INDF;MASC+FEM;SG
bilgi	viden	bilgi	viden	N;NOM;SG;3	N;INDF;MASC+FEM;SG
bilgi	kendskab	bilgi	kendskab	N;NOM;SG;3	N;INDF;NEUT;SG
devlet	stat	devlet	stat	N;NOM;SG;3	N;INDF;MASC+FEM;SG
devlet	delstat	devlet	delstat	N;NOM;SG;3	N;INDF;MASC+FEM;SG
devlet	tilstand	devlet	tilstand	N;NOM;SG;3	N;INDF;MASC+FEM;SG
devlet	regering	devlet	regering	N;NOM;SG;3	N;INDF;MASC+FEM;SG
devlet	regeringen	devlet	regering	N;NOM;SG;3	N;DEF;MASC+FEM;SG
üç	tre	üç	tre	NUM	NUM
başladı	startet	başla	starte	V;PFV;IND;SG;3;POS;PST	V;INDF;SG;PST;V.PTCP
başladı	påbegyndt	başla	påbegynde	V;PFV;IND;SG;3;POS;PST	V;INDF;SG;PST;V.PTCP
başladı	begyndte	başla	begynde	V;PFV;IND;SG;3;POS;PST	V;IND;PST;FIN;ACT
başladı	begyndt	başla	begynde	V;PFV;IND;SG;3;POS;PST	V;INDF;SG;PST;V.PTCP
başladı	startede	başla	starte	V;PFV;IND;SG;3;POS;PST	V;IND;PST;FIN;ACT
başladı	begyndt	başla	begynde	V;PFV;IND;SG;3;POS;PST	V;INDF;SG;PST;V.PTCP
başladı	påbegyndt	başla	påbegynde	V;PFV;IND;SG;3;POS;PST	V;INDF;SG;PST;V.PTCP
küçük	små	küçük	lille	ADJ	ADJ;PL
küçük	lille	küçük	lille	ADJ	ADJ;SG
küçük	små	küçük	lille	ADJ	ADJ;PL
küçük	lille	küçük	lille	ADJ	ADJ;SG
kabul	accept	kabul	accept	N;NOM;SG;3	N;INDF;MASC+FEM;SG
devam	behold	devam	behold	N;NOM;SG;3	N;INDF;MASC+FEM;SG
kupası	kop	kupa	kop	N;NOM;SG;3	N;INDF;MASC+FEM;SG
kupası	pokalen	kupa	pokal	N;NOM;SG;3	N;DEF;MASC+FEM;SG
kupası	cup	kupa	cup	N;NOM;SG;3	N;INDF;MASC+FEM;SG
okulu	skolen	okul	skole	N;NOM;SG;3	N;DEF;MASC+FEM;SG
okulu	school	okul	school	N;NOM;SG;3	N;INDF;MASC+FEM;SG
okulu	skole	okul	skole	N;NOM;SG;3	N;INDF;MASC+FEM;SG
aldı	indtaget	al	indtage	V;PFV;IND;SG;3;POS;PST	V;INDF;SG;PST;V.PTCP
aldı	udtaget	al	udtage	V;PFV;IND;SG;3;POS;PST	V;INDF;SG;PST;V.PTCP
aldı	taget	al	tage	V;PFV;IND;SG;3;POS;PST	V;INDF;SG;PST;V.PTCP
aldı	tog	al	tage	V;PFV;IND;SG;3;POS;PST	V;IND;PST;FIN;ACT
aldı	modtages	al	modtage	V;PFV;IND;SG;3;POS;PST	V;NFIN;PASS
aldı	modtog	al	modtage	V;PFV;IND;SG;3;POS;PST	V;IND;PST;FIN;ACT
aldı	modtaget	al	modtage	V;PFV;IND;SG;3;POS;PST	V;INDF;SG;PST;V.PTCP
farklı	forskellige	farklı	forskellig	ADJ	ADJ;PL
farklı	anderledes	farklı	anderledes	ADJ	ADJ
farklı	forskellig	farklı	forskellig	ADJ	ADJ;INDF;MASC+FEM;SG
özel	eksklusive	özel	eksklusiv	ADJ	ADJ;PL
özel	eksklusivt	özel	eksklusiv	ADJ	ADJ;INDF;NEUT;SG
özel	eksklusiv	özel	eksklusiv	ADJ	ADJ;INDF;MASC+FEM;SG
özel	privat	özel	privat	ADJ	ADJ;INDF;SG
özel	private	özel	privat	ADJ	ADJ;PL
özel	særlige	özel	særlig	ADJ	ADJ;PL
özel	speciel	özel	speciel	ADJ	ADJ;INDF;MASC+FEM;SG
özel	specielle	özel	speciel	ADJ	ADJ;PL
biri	nogen	biri	nogen	PRO;NOM;SG;3	PRO;MASC+FEM;SG
biri	nogen	biri	nogen	PRO;NOM;SG;3	PRO;MASC+FEM;SG
biri	et	biri	en	PRO;NOM;SG;3	PRO;NEUT;SG
biri	en	biri	en	PRO;NOM;SG;3	PRO;MASC+FEM;SG
biri	én	biri	en	PRO;NOM;SG;3	PRO;MASC+FEM;SG
alanı	fagområde	alan	fagområde	N;NOM;SG;3	N;INDF;NEUT;SG
alanı	felt	alan	felt	N;NOM;SG;3	N;INDF;NEUT;SG
alanı	område	alan	område	N;NOM;SG;3	N;INDF;NEUT;SG
alanı	marken	alan	mark	N;NOM;SG;3	N;DEF;MASC+FEM;SG
alanı	areal	alan	areal	N;NOM;SG;3	N;INDF;NEUT;SG
alanı	område	alan	område	N;NOM;SG;3	N;INDF;NEUT;SG
uzun	høj	uzun	høj	ADJ	ADJ;INDF;MASC+FEM;SG
uzun	høje	uzun	høj	ADJ	ADJ;PL
uzun	højere	uzun	høj	ADJ	ADJ;CMPR
uzun	lang	uzun	lang	ADJ	ADJ;INDF;MASC+FEM;SG
uzun	lange	uzun	lang	ADJ	ADJ;PL
elektrik	elektricitet	elektrik	elektricitet	N;NOM;SG;3	N;INDF;MASC+FEM;SG
ardından	efter	ardından	efter	ADV	ADV
merkezi	central	merkez	central	N;ACC;SG;3	N;INDF;MASC+FEM;SG
merkezi	centrum	merkez	centrum	N;ACC;SG;3	N;INDF;NEUT;SG
merkezi	midtpunkt	merkez	midtpunkt	N;ACC;SG;3	N;INDF;NEUT;SG
merkezi	center	merkez	center	N;ACC;SG;3	N;INDF;NEUT;SG
merkezi	midten	merkez	midte	N;ACC;SG;3	N;DEF;MASC+FEM;SG
merkezi	centret	merkez	center	N;ACC;SG;3	N;DEF;NEUT;SG
merkezi	centrum	merkez	centrum	N;ACC;SG;3	N;INDF;NEUT;SG
merkezi	centre	merkez	centre	N;ACC;SG;3	N;INDF;MASC+FEM;SG
merkezi	center	merkez	center	N;ACC;SG;3	N;INDF;NEUT;SG
kısa	kortere	kısa	kort	ADJ	ADJ;CMPR
kısa	kort	kısa	kort	ADJ	ADJ;INDF;SG
kısa	korte	kısa	kort	ADJ	ADJ;PL
kısa	kortfattede	kısa	kortfattet	ADJ	ADJ;PL
kısa	kortfattet	kısa	kortfattet	ADJ	ADJ;INDF;SG
kişi	person	kişi	person	N;NOM;SG;3	N;INDF;MASC+FEM;SG
bilgileri	oplysninger	bilgi	oplysning	N;ACC;PL;3	N;INDF;MASC+FEM;PL
el	hånd	el	hånd	N;NOM;SG;3	N;INDF;MASC+FEM;SG
gol	søen	gol	søe	N;NOM;SG;3	N;DEF;MASC+FEM;SG
gol	sø	gol	sø	N;NOM;SG;3	N;INDF;MASC+FEM;SG
gol	lake	gol	lake	N;NOM;SG;3	N;INDF;MASC+FEM;SG
gol	mål	gol	mål	N;NOM;SG;3	N;INDF;NEUT;SG
gol	mål	gol	mål	N;NOM;SG;3	N;INDF;NEUT;SG
sağlayan	aktiverer	sağla	aktivere	V;PFV;IND;POS;PRS;V.PTCP	V;IND;PRS;FIN;ACT
suyu	juice	su	juice	N;ACC;SG;3	N;INDF;MASC+FEM;SG
suyu	saft	su	saft	N;ACC;SG;3	N;INDF;MASC+FEM;SG
ilköğretim	grundskole	ilköğretim	grundskole	N;NOM;SG;3	N;INDF;MASC+FEM;SG
ödülü	belønning	ödül	belønning	N;ACC;SG;3	N;INDF;MASC+FEM;SG
ödülü	dusør	ödül	dusør	N;ACC;SG;3	N;INDF;MASC+FEM;SG
ödülü	præmie	ödül	præmie	N;ACC;SG;3	N;INDF;MASC+FEM;SG
ödülü	award	ödül	award	N;ACC;SG;3	N;INDF;MASC+FEM;SG
ödülü	tildeling	ödül	tildeling	N;ACC;SG;3	N;INDF;MASC+FEM;SG
gün	dag	gün	dag	N;NOM;SG;3	N;INDF;MASC+FEM;SG
gün	dagen	gün	dag	N;NOM;SG;3	N;DEF;MASC+FEM;SG
gün	kampdag	gün	kampdag	N;NOM;SG;3	N;INDF;MASC+FEM;SG
süre	tid	süre	tid	N;NOM;SG;3	N;INDF;MASC+FEM;SG
süre	tidspunkt	süre	tidspunkt	N;NOM;SG;3	N;INDF;NEUT;SG
süre	gang	süre	gang	N;NOM;SG;3	N;INDF;MASC+FEM;SG
süre	klokkeslæt	süre	klokkeslæt	N;NOM;SG;3	N;INDF;NEUT;SG
süre	tiden	süre	tid	N;NOM;SG;3	N;DEF;MASC+FEM;SG
süre	varighed	süre	varighed	N;NOM;SG;3	N;INDF;MASC+FEM;SG
süre	løbetid	süre	løbetid	N;NOM;SG;3	N;INDF;MASC+FEM;SG
eğitim	træning	eğitim	træning	N;NOM;SG;3	N;INDF;MASC+FEM;SG
eğitim	uddannelse	eğitim	uddannelse	N;NOM;SG;3	N;INDF;MASC+FEM;SG
eğitim	oplæring	eğitim	oplæring	N;NOM;SG;3	N;INDF;MASC+FEM;SG
eğitim	uddannelse	eğitim	uddannelse	N;NOM;SG;3	N;INDF;MASC+FEM;SG
eğitim	undervisning	eğitim	undervisning	N;NOM;SG;3	N;INDF;MASC+FEM;SG
eğitim	vejledning	eğitim	vejledning	N;NOM;SG;3	N;INDF;MASC+FEM;SG
az	mindre	az	mindre	ADV	ADV;CMPR
görev	pligt	görev	pligt	N;NOM;SG;3	N;INDF;MASC+FEM;SG
görev	pligten	görev	pligt	N;NOM;SG;3	N;DEF;MASC+FEM;SG
görev	told	görev	told	N;NOM;SG;3	N;INDF;MASC+FEM;SG
görev	arbejdsopgave	görev	arbejdsopgave	N;NOM;SG;3	N;INDF;MASC+FEM;SG
görev	opgave	görev	opgave	N;NOM;SG;3	N;INDF;MASC+FEM;SG
görev	overdragelse	görev	overdragelse	N;NOM;SG;3	N;INDF;MASC+FEM;SG
görev	opgave	görev	opgave	N;NOM;SG;3	N;INDF;MASC+FEM;SG
görev	kommissorium	görev	kommissorium	N;NOM;SG;3	N;INDF;NEUT;SG
görev	tjenesterejse	görev	tjenesterejse	N;NOM;SG;3	N;INDF;MASC+FEM;SG
görev	mission	görev	mission	N;NOM;SG;3	N;INDF;MASC+FEM;SG
görev	missionen	görev	mission	N;NOM;SG;3	N;DEF;MASC+FEM;SG
görev	tjenesterejser	görev	tjenesterejse	N;NOM;SG;3	N;INDF;MASC+FEM;SG
yine	igen	yine	igen	ADV	ADV
ekonomisi	sparsommelighed	ekonomi	sparsommelighed	N;NOM;SG;3	N;INDF;MASC+FEM;SG
ekonomisi	økonomi	ekonomi	økonomi	N;NOM;SG;3	N;INDF;MASC+FEM;SG
ekonomisi	økonomien	ekonomi	økonomi	N;NOM;SG;3	N;DEF;MASC+FEM;SG
telefon	telefon	telefon	telefon	N;NOM;SG;3	N;INDF;MASC+FEM;SG
telefon	telefonen	telefon	telefon	N;NOM;SG;3	N;DEF;MASC+FEM;SG
telefon	tlf	telefon	tlf	N;NOM;SG;3	N;INDF;MASC+FEM;SG
telefon	telefon	telefon	telefon	N;NOM;SG;3	N;INDF;MASC+FEM;SG
yeniden	igen	yeniden	igen	ADV	ADV
nedeniyle	termin	neden	termin	N;INS;SG;3	N;INDF;MASC+FEM;SG
savaş	slag	savaş	slag	N;NOM;SG;3	N;INDF;NEUT;SG
savaş	kamp	savaş	kamp	N;NOM;SG;3	N;INDF;MASC+FEM;SG
savaş	slaget	savaş	slag	N;NOM;SG;3	N;DEF;NEUT;SG
savaş	krigen	savaş	krig	N;NOM;SG;3	N;DEF;MASC+FEM;SG
savaş	krig	savaş	krig	N;NOM;SG;3	N;INDF;MASC+FEM;SG
savaş	kamp	savaş	kamp	N;NOM;SG;3	N;INDF;MASC+FEM;SG
savaş	kamp	savaş	kamp	N;NOM;SG;3	N;INDF;MASC+FEM;SG
savaş	slåskamp	savaş	slåskamp	N;NOM;SG;3	N;INDF;MASC+FEM;SG
kullanıcı	brugeren	kullanıcı	bruger	N;NOM;SG;3	N;DEF;MASC+FEM;SG
birliği	union	birlik	union	N;NOM;SG;3	N;INDF;MASC+FEM;SG
birliği	fagforening	birlik	fagforening	N;NOM;SG;3	N;INDF;MASC+FEM;SG
birliği	fagforeningen	birlik	fagforening	N;NOM;SG;3	N;DEF;MASC+FEM;SG
birliği	unionen	birlik	union	N;NOM;SG;3	N;DEF;MASC+FEM;SG
kanalizasyon	kloak	kanalizasyon	kloak	N;NOM;SG;3	N;INDF;NEUT;SG
kanalizasyon	kloakken	kanalizasyon	kloak	N;NOM;SG;3	N;DEF;MASC+FEM;SG
kanalizasyon	kloak	kanalizasyon	kloak	N;NOM;SG;3	N;INDF;NEUT;SG
kanalizasyon	spildevand	kanalizasyon	spildevand	N;NOM;SG;3	N;INDF;NEUT;SG
kanalizasyon	kloakering	kanalizasyon	kloakering	N;NOM;SG;3	N;INDF;MASC+FEM;SG
kanalizasyon	kloak	kanalizasyon	kloak	N;NOM;SG;3	N;INDF;NEUT;SG
kanalizasyon	kloakering	kanalizasyon	kloakering	N;NOM;SG;3	N;INDF;MASC+FEM;SG
maç	kamp	maç	kamp	N;NOM;SG;3	N;INDF;MASC+FEM;SG
maç	spil	maç	spil	N;NOM;SG;3	N;INDF;NEUT;SG
maç	leg	maç	leg	N;NOM;SG;3	N;INDF;MASC+FEM;SG
maç	match	maç	match	N;NOM;SG;3	N;INDF;NEUT;SG
sıra	række	sıra	række	N;NOM;SG;3	N;INDF;MASC+FEM;SG
sıra	ro	sıra	ro	N;NOM;SG;3	N;INDF;MASC+FEM;SG
sıra	række	sıra	række	N;NOM;SG;3	N;INDF;MASC+FEM;SG
teknik	teknisk	teknik	teknisk	ADJ	ADJ;INDF;SG
teknik	tekniske	teknik	teknisk	ADJ	ADJ;PL
nüfusu	befolkningen	nüfus	befolkning	N;ACC;SG;3	N;DEF;MASC+FEM;SG
nüfusu	indbyggertal	nüfus	indbyggertal	N;ACC;SG;3	N;INDF;NEUT;SG
nüfusu	befolkning	nüfus	befolkning	N;ACC;SG;3	N;INDF;MASC+FEM;SG
uygun	tilpas	uygun	tilpas	ADJ	ADJ;INDF;SG
uygun	bekvem	uygun	bekvem	ADJ	ADJ;INDF;MASC+FEM;SG
uygun	praktisk	uygun	praktisk	ADJ	ADJ;INDF;SG
uygun	bekvemt	uygun	bekvem	ADJ	ADJ;INDF;NEUT;SG
uygun	passende	uygun	passende	ADJ	ADJ
uygun	passende	uygun	passende	ADJ	ADJ
uygun	velegnet	uygun	velegnet	ADJ	ADJ;INDF;SG
bütün	hele	bütün	hel	ADJ	ADJ;DEF;SG
listesi	liste	liste	liste	N;NOM;SG;3	N;INDF;MASC+FEM;SG
listesi	list	liste	list	N;NOM;SG;3	N;INDF;MASC+FEM;SG
dört	fire	dört	fire	NUM	NUM
stadyumu	stadion	stadyum	stadion	N;NOM;SG;3	N;INDF;NEUT;SG
stadyumu	stadium	stadyum	stadium	N;NOM;SG;3	N;INDF;MASC+FEM;SG
sonucu	konsekvens	sonuç	konsekvens	N;ACC;SG;3	N;INDF;MASC+FEM;SG
bar	bar	bar	bar	N;NOM;SG;3	N;INDF;MASC+FEM;SG
bar	pub	bar	pub	N;NOM;SG;3	N;INDF;MASC+FEM;SG
bar	værtshus	bar	værtshus	N;NOM;SG;3	N;INDF;NEUT;SG
sonunda	endeligt	sonunda	endelig	ADV	ADV
sonunda	endelig	sonunda	endelig	ADV	ADV
onu	ham	o	han	PRO;ACC;SG;3	PRO;ACC;MASC+FEM;SG;3
onu	hende	o	hun	PRO;ACC;SG;3	PRO;ACC;MASC+FEM;SG;3
açık	klar	açık	klar	ADJ	ADJ;INDF;MASC+FEM;SG
açık	åbent	açık	åben	ADJ	ADJ;INDF;NEUT;SG
açık	åben	açık	åben	ADJ	ADJ;INDF;MASC+FEM;SG
insan	person	insan	person	N;NOM;SG;3	N;INDF;MASC+FEM;SG
insan	mennesket	insan	menneske	N;NOM;SG;3	N;DEF;NEUT;SG
insan	mand	insan	mand	N;NOM;SG;3	N;INDF;MASC+FEM;SG
insan	manden	insan	mand	N;NOM;SG;3	N;DEF;MASC+FEM;SG
insan	menneske	insan	menneske	N;NOM;SG;3	N;INDF;NEUT;SG
stadyum	stadion	stadyum	stadion	N;NOM;SG;3	N;INDF;NEUT;SG
stadyum	stadium	stadyum	stadium	N;NOM;SG;3	N;INDF;MASC+FEM;SG
an	moment	an	moment	N;NOM;SG;3	N;INDF;NEUT;SG
an	øjeblik	an	øjeblik	N;NOM;SG;3	N;INDF;NEUT;SG
iş	jobbet	iş	job	N;NOM;SG;3	N;DEF;NEUT;SG
iş	job	iş	job	N;NOM;SG;3	N;INDF;NEUT;SG
iş	arbejde	iş	arbejde	N;NOM;SG;3	N;INDF;NEUT;SG
iş	arbejdet	iş	arbejde	N;NOM;SG;3	N;DEF;NEUT;SG
iş	job	iş	job	N;NOM;SG;3	N;INDF;NEUT;SG
iş	forretning	iş	forretning	N;NOM;SG;3	N;INDF;MASC+FEM;SG
iş	erhvervslivet	iş	erhvervsliv	N;NOM;SG;3	N;DEF;NEUT;SG
iş	business	iş	business	N;NOM;SG;3	N;INDF;MASC+FEM;SG
iş	virksomhed	iş	virksomhed	N;NOM;SG;3	N;INDF;MASC+FEM;SG
bölümü	afdeling	bölüm	afdeling	N;NOM;SG;3	N;INDF;MASC+FEM;SG
bölümü	sektion	bölüm	sektion	N;NOM;SG;3	N;INDF;MASC+FEM;SG
bölümü	afsnittet	bölüm	afsnitte	N;NOM;SG;3	N;DEF;NEUT;SG
bölümü	afsnit	bölüm	afsnit	N;NOM;SG;3	N;INDF;NEUT;SG
bölümü	afdeling	bölüm	afdeling	N;NOM;SG;3	N;INDF;MASC+FEM;SG
bölümü	departement	bölüm	departement	N;NOM;SG;3	N;INDF;NEUT;SG
bölümü	afdelingen	bölüm	afdeling	N;NOM;SG;3	N;DEF;MASC+FEM;SG
bunu	dette	bu	denne	PRO;ACC;SG;3	PRO;NEUT;SG
bunu	denne	bu	denne	PRO;ACC;SG;3	PRO;MASC+FEM;SG
ele	erobrer	el	erobrer	N;DAT;SG;3	N;INDF;MASC+FEM;SG
güzel	smukt	güzel	smuk	ADJ	ADJ;INDF;NEUT;SG
güzel	smukke	güzel	smukke	ADJ	ADJ;PL
güzel	smuk	güzel	smuk	ADJ	ADJ;INDF;MASC+FEM;SG
güzel	smukkeste	güzel	smuk	ADJ	ADJ;DEF;RL
güzel	god	güzel	god	ADJ	ADJ;INDF;MASC+FEM;SG
güzel	gode	güzel	god	ADJ	ADJ;PL
güzel	lækkert	güzel	lækker	ADJ	ADJ;INDF;NEUT;SG
güzel	dejligt	güzel	dejlig	ADJ	ADJ;INDF;NEUT;SG
güzel	hyggeligt	güzel	hyggelig	ADJ	ADJ;INDF;NEUT;SG
güzel	flot	güzel	flot	ADJ	ADJ;INDF;SG
güzel	pænt	güzel	pæn	ADJ	ADJ;INDF;NEUT;SG
güzel	smukke	güzel	smukke	ADJ	ADJ;PL
güzel	smuk	güzel	smuk	ADJ	ADJ;INDF;MASC+FEM;SG
güzel	pæn	güzel	pæn	ADJ	ADJ;INDF;MASC+FEM;SG
güzel	dejligt	güzel	dejlig	ADJ	ADJ;INDF;NEUT;SG
güzel	skønne	güzel	skøn	ADJ	ADJ;PL
güzel	yndigt	güzel	yndig	ADJ	ADJ;INDF;NEUT;SG
güzel	dejlige	güzel	dejlig	ADJ	ADJ;PL
güzel	yndig	güzel	yndig	ADJ	ADJ;INDF;MASC+FEM;SG
güzel	dejlig	güzel	dejlig	ADJ	ADJ;INDF;MASC+FEM;SG
çocuk	dreng	çocuk	dreng	N;NOM;SG;3	N;INDF;MASC+FEM;SG
çocuk	knægt	çocuk	knægt	N;NOM;SG;3	N;INDF;MASC+FEM;SG
çocuk	knægten	çocuk	knægt	N;NOM;SG;3	N;DEF;MASC+FEM;SG
çocuk	dreng	çocuk	dreng	N;NOM;SG;3	N;INDF;MASC+FEM;SG
çocuk	knægt	çocuk	knægt	N;NOM;SG;3	N;INDF;MASC+FEM;SG
çocuk	kid	çocuk	kid	N;NOM;SG;3	N;INDF;MASC+FEM;SG
çocuk	barn	çocuk	barn	N;NOM;SG;3	N;INDF;NEUT;SG
sinema	biografen	sine	biograf	N;NOM;SG;3	N;DEF;MASC+FEM;SG
sinema	biograf	sine	biograf	N;NOM;SG;3	N;INDF;MASC+FEM;SG
ay	måneden	ay	måned	N;NOM;SG;3	N;DEF;MASC+FEM;SG
ay	måned	ay	måned	N;NOM;SG;3	N;INDF;MASC+FEM;SG
ay	måne	ay	måne	N;NOM;SG;3	N;INDF;MASC+FEM;SG
ay	månen	ay	mån	N;NOM;SG;3	N;DEF;MASC+FEM;SG
imparatorluğu	imperiet	imparatorluk	imperi	N;NOM;SG;3	N;DEF;NEUT;SG
imparatorluğu	imperium	imparatorluk	imperium	N;NOM;SG;3	N;INDF;NEUT;SG
internet	web	internet	web	N;NOM;SG;3	N;INDF;MASC+FEM;SG
internet	www	internet	www	N;NOM;SG;3	N;INDF;MASC+FEM;SG
internet	spind	internet	spind	N;NOM;SG;3	N;INDF;NEUT;SG
internet	internettet	internet	internettet	N;NOM;SG;3	N;DEF;NEUT;SG
internet	internet	internet	interne	N;NOM;SG;3	N;DEF;NEUT;SG
tiyatro	drama	tiyatro	drama	N;NOM;SG;3	N;INDF;NEUT;SG
tiyatro	dramatik	tiyatro	dramatik	N;NOM;SG;3	N;INDF;MASC+FEM;SG
tiyatro	teatret	tiyatro	teater	N;NOM;SG;3	N;DEF;NEUT;SG
tiyatro	teater	tiyatro	teater	N;NOM;SG;3	N;INDF;NEUT;SG
tiyatro	biograf	tiyatro	biograf	N;NOM;SG;3	N;INDF;MASC+FEM;SG
