for	pour	for	pour	ADP	ADP
bliver	rester	blive	rester	V;IND;PRS;FIN;ACT	V;NFIN
samme	identique	samme	identique	ADJ	ADJ;MASC;SG
samme	mêmes	samme	même	ADJ	ADJ;MASC;PL
vil	veulent	ville	vouloir	V;IND;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
vil	vouloir	ville	vouloir	V;IND;PRS;FIN;ACT	V;NFIN
vil	veux	ville	vouloir	V;IND;PRS;FIN;ACT	V;IND;SG;1;PRS;FIN
ham	lui	han	lui	PRO;ACC;MASC+FEM;SG;3	PRO;SG;3
omkring	autour	omkring	autour	ADV	ADV
omkring	alentour	omkring	alentour	ADV	ADV
kom	come	komme	come	V;IND;PST;FIN;ACT	V
kom	venir	komme	venir	V;IND;PST;FIN;ACT	V;NFIN
kom	vint	komme	venir	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
tre	trois	tre	trois	NUM	NUM
blandt	parmi	blandt	parmi	ADP	ADP
byen	ville	by	ville	N;DEF;MASC+FEM;SG	N;FEM;SG
byen	ville	by	ville	N;DEF;MASC+FEM;SG	N;FEM;SG
disse	ces	denne	ce	PRO;PL	PRO;PL;3
nogle	certains	nogen	certain	PRO;PL	PRO;MASC;PL
nogle	certaines	nogen	certain	PRO;PL	PRO;FEM;PL
nogle	quelques	nogen	quelque	PRO;PL	PRO;PL
maj	mai	maj	mai	N;INDF;MASC+FEM;SG	N;MASC;SG
andet	autre	anden	autre	PRO;NEUT;SG	PRO;SG
dag	journée	dag	journée	N;INDF;MASC+FEM;SG	N;FEM;SG
dag	jour	dag	jour	N;INDF;MASC+FEM;SG	N;MASC;SG
dag	journee	dag	journee	N;INDF;MASC+FEM;SG	N;FEM;SG
her	ici	her	ici	ADV	ADV
kommune	commune	kommune	commune	N;INDF;MASC+FEM;SG	N;FEM;SG
kommune	municipalité	kommune	municipalité	N;INDF;MASC+FEM;SG	N;FEM;SG
død	décès	død	décès	N;INDF;MASC+FEM;SG	N;MASC;SG
død	dead	død	dead	N;INDF;MASC+FEM;SG	N;MASC;SG
dem	eux	de	soi	PRO;ACC;PL;3	PRO;MASC;PL;3
findes	existent	findes	exister	V;IND;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
findes	existe	findes	exister	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
findes	exister	findes	exister	V;IND;PRS;FIN;ACT	V;NFIN
findes	existe	findes	exister	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
august	aout	august	août	N;INDF;MASC+FEM;SG	N;MASC;SG
august	août	august	août	N;INDF;MASC+FEM;SG	N;MASC;SG
gang	temps	gang	temps	N;INDF;MASC+FEM;SG	N;MASC;SG
gang	heure	gang	heure	N;INDF;MASC+FEM;SG	N;FEM;SG
forskellige	différentes	forskellig	différent	ADJ;PL	ADJ;FEM;PL
forskellige	différents	forskellig	différent	ADJ;PL	ADJ;MASC;PL
forskellige	divers	forskellig	divers	ADJ;PL	ADJ;MASC;PL
forskellige	diverses	forskellig	divers	ADJ;PL	ADJ;FEM;PL
tid	temps	tid	temps	N;INDF;MASC+FEM;SG	N;MASC;SG
tid	heure	tid	heure	N;INDF;MASC+FEM;SG	N;FEM;SG
nye	nouvelles	ny	nouveau	ADJ;PL	ADJ;FEM;PL
nye	nouveaux	ny	nouveau	ADJ;PL	ADJ;MASC;PL
januar	janvier	januar	janvier	N;INDF;MASC+FEM;SG	N;MASC;SG
stor	grande	stor	grand	ADJ;INDF;MASC+FEM;SG	ADJ;FEM;SG
stor	grand	stor	grand	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG
stor	gros	stor	gros	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG
stor	grosse	stor	gros	ADJ;INDF;MASC+FEM;SG	ADJ;FEM;SG
stor	grande	stor	grand	ADJ;INDF;MASC+FEM;SG	ADJ;FEM;SG
stor	grand	stor	grand	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG
stor	grande	stor	grand	ADJ;INDF;MASC+FEM;SG	ADJ;FEM;SG
stor	génial	stor	génial	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG
stor	grand	stor	grand	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG
hold	tenir	holde	tenir	V;IMP	V;NFIN
hold	tenez	holde	tener	V;IMP	V;IMP;PL;2;PRS;FIN
når	lorsque	når	lorsque	CONJ	CONJ
når	quand	når	quand	CONJ	CONJ
juni	juin	juni	juin	N;INDF;MASC+FEM;SG	N;MASC;SG
kendt	fameux	kendt	fameux	ADJ;INDF;SG	ADJ;MASC;SG
kendt	célèbre	kendt	célèbre	ADJ;INDF;SG	ADJ;MASC;SG
før	auparavant	før	auparavant	ADV	ADV
sogn	paroisse	sogn	paroisse	N;INDF;NEUT;SG	N;FEM;SG
september	septembre	september	septembre	N;INDF;MASC+FEM;SG	N;MASC;SG
april	avril	april	avril	N;INDF;MASC+FEM;SG	N;MASC;SG
oktober	octobre	oktober	octobre	N;INDF;MASC+FEM;SG	N;MASC;SG
marts	marche	marts	marche	N;INDF;MASC+FEM;SG	N;FEM;SG
marts	mars	marts	mars	N;INDF;MASC+FEM;SG	N;MASC;SG
hele	entier	hel	entier	ADJ;DEF;SG	ADJ;MASC;SG
juli	juillet	juli	juillet	N;INDF;MASC+FEM;SG	N;MASC;SG
kirke	église	kirke	église	N;INDF;MASC+FEM;SG	N;FEM;SG
kirke	eglise	kirke	eglise	N;INDF;MASC+FEM;SG	N;FEM;SG
række	ligne	række	ligne	N;INDF;MASC+FEM;SG	N;FEM;SG
række	rang	række	rang	N;INDF;MASC+FEM;SG	N;MASC;SG
navn	nom	navn	nom	N;INDF;NEUT;SG	N;MASC;SG
navn	dénomination	navn	dénomination	N;INDF;NEUT;SG	N;FEM;SG
ofte	souvent	ofte	souvent	ADV	ADV
ofte	fréquemment	ofte	fréquemment	ADV	ADV
ofte	souvent	ofte	souvent	ADV	ADV
november	novembre	november	novembre	N;INDF;MASC+FEM;SG	N;MASC;SG
december	décembre	december	décembre	N;INDF;MASC+FEM;SG	N;MASC;SG
december	decembre	december	decembre	N;INDF;MASC+FEM;SG	N;MASC;SG
mål	objectif	mål	objectif	N;INDF;NEUT;SG	N;MASC;SG
mål	cible	mål	cible	N;INDF;NEUT;SG	N;FEM;SG
mål	objectif	mål	objectif	N;INDF;NEUT;SG	N;MASC;SG
mål	objectif	mål	objectif	N;INDF;NEUT;SG	N;MASC;SG
mål	but	mål	but	N;INDF;NEUT;SG	N;MASC;SG
film	films	film	film	N;INDF;MASC+FEM;PL	N;MASC;PL
film	films	film	film	N;INDF;MASC+FEM;PL	N;MASC;PL
sidste	dernier	sidste	dernier	ADJ	ADJ;MASC;SG
sidste	dernière	sidste	dernier	ADJ	ADJ;FEM;SG
sidste	derniers	sidste	dernier	ADJ	ADJ;MASC;PL
sidste	dernières	sidste	dernier	ADJ	ADJ;FEM;PL
blive	devenez	blive	devoir	V;NFIN;ACT	V;IMP;PL;2;PRS;FIN
blive	deviennent	blive	devenir	V;NFIN;ACT	V;IND;PL;3;PRS;FIN
blive	deviens	blive	devenir	V;NFIN;ACT	V;IND;SG;2;PRS;FIN
blive	devenir	blive	devenir	V;NFIN;ACT	V;NFIN
tyske	allemands	tysk	allemand	ADJ;PL	ADJ;MASC;PL
gik	allé	gå	aller	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
februar	fevrier	februar	fevrier	N;INDF;MASC+FEM;SG	N;MASC;SG
februar	février	februar	février	N;INDF;MASC+FEM;SG	N;MASC;SG
fire	quatre	fire	quatre	NUM	NUM
vandt	gagné	vinde	gagner	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
vandt	gagnée	vinde	gagner	V;IND;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
vandt	gagnées	vinde	gagnée	V;IND;PST;FIN;ACT	V;FEM;PL;PST;V.PTCP
vandt	gagnés	vinde	gagner	V;IND;PST;FIN;ACT	V;MASC;PL;PST;V.PTCP
inden	auparavant	inden	auparavant	ADV	ADV
mindre	moins	mindre	moins	ADV;CMPR	ADV
hjemmeside	site	hjemmeside	site	N;INDF;MASC+FEM;SG	N;MASC;SG
side	page	side	page	N;INDF;MASC+FEM;SG	N;FEM;SG
side	côté	side	côté	N;INDF;MASC+FEM;SG	N;MASC;SG
side	latéral	side	latéral	N;INDF;MASC+FEM;SG	N;MASC;SG
medlem	membre	medlem	membre	N;INDF;NEUT;SG	N;MASC;SG
spillede	joués	spille	jouer	V;IND;PST;FIN;ACT	V;MASC;PL;PST;V.PTCP
spillede	jouées	spille	joué	V;IND;PST;FIN;ACT	V;FEM;PL;PST;V.PTCP
spillede	jouée	spille	jouer	V;IND;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
spillede	joué	spille	jouer	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
igen	encore	igen	encore	ADV	ADV
søn	fils	søn	fils	N;INDF;MASC+FEM;SG	N;MASC;SG
søn	fiston	søn	fiston	N;INDF;MASC+FEM;SG	N;MASC;SG
grund	raison	grund	raison	N;INDF;NEUT;SG	N;FEM;SG
tog	pris	tage	prendre	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
tog	prit	tage	prendre	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
amerikansk	américaine	amerikansk	américain	ADJ;INDF;SG	ADJ;FEM;SG
amerikansk	américain	amerikansk	américain	ADJ;INDF;SG	ADJ;MASC;SG
lille	petit	lille	petit	ADJ;SG	ADJ;MASC;SG
lille	petite	lille	petit	ADJ;SG	ADJ;FEM;SG
lille	petit	lille	petit	ADJ;SG	ADJ;MASC;SG
lille	petite	lille	petit	ADJ;SG	ADJ;FEM;SG
hvad	quoi	hvad	quoi	PRO;SG	PRO
således	ainsi	således	ainsi	ADV	ADV
nord	nord	nord	nord	N;INDF	N;MASC;SG
nord	nord	nord	nord	N;INDF	N;MASC;SG
kort	courte	kort	court	ADJ;INDF;SG	ADJ;FEM;SG
kort	court	kort	court	ADJ;INDF;SG	ADJ;MASC;SG
artikler	articles	artikel	article	N;INDF;MASC+FEM;PL	N;MASC;PL
begyndte	commencé	begynde	commencer	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
begyndte	démarré	begynde	démarrer	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
begyndte	commencée	begynde	commencer	V;IND;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
begyndte	commencé	begynde	commencer	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
udgivet	publié	udgive	publier	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
udgivet	relâché	udgive	relâcher	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
udgivet	libéré	udgive	libérer	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
udgivet	publiée	udgive	publier	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
udgivet	publié	udgive	publier	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
helt	complètement	helt	complètement	ADV	ADV
helt	complétement	helt	complétement	ADV	ADV
helt	entièrement	helt	entièrement	ADV	ADV
helt	totalement	helt	totalement	ADV	ADV
helt	completement	helt	completement	ADV	ADV
gamle	anciens	gammel	ancien	ADJ;PL	ADJ;MASC;PL
bedste	meilleure	god	meilleur	ADJ;DEF;RL	ADJ;FEM;SG
bedste	meilleures	god	meilleur	ADJ;DEF;RL	ADJ;FEM;PL
bedste	meilleur	god	meilleur	ADJ;DEF;RL	ADJ;MASC;SG
bedste	meilleurs	god	meilleur	ADJ;DEF;RL	ADJ;MASC;PL
amerikanske	américaines	amerikansk	américain	ADJ;PL	ADJ;FEM;PL
amerikanske	américains	amerikansk	américain	ADJ;PL	ADJ;MASC;PL
tysk	allemande	tysk	allemand	ADJ;INDF;SG	ADJ;FEM;SG
meter	compteurs	meter	compteur	N;INDF;MASC+FEM;PL	N;MASC;PL
meter	mètres	meter	mètre	N;INDF;MASC+FEM;PL	N;MASC;PL
meter	mètres	meter	mètre	N;INDF;MASC+FEM;PL	N;MASC;PL
gruppe	groupe	gruppe	groupe	N;INDF;MASC+FEM;SG	N;MASC;SG
stedet	place	sted	place	N;DEF;NEUT;SG	N;FEM;SG
stedet	endroit	sted	endroit	N;DEF;NEUT;SG	N;MASC;SG
stedet	lieu	sted	lieu	N;DEF;NEUT;SG	N;MASC;SG
spillet	jouée	spille	jouer	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
spillet	joué	spille	jouer	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
forbindelse	branchement	forbindelse	branchement	N;INDF;MASC+FEM;SG	N;MASC;SG
forbindelse	raccordement	forbindelse	raccordement	N;INDF;MASC+FEM;SG	N;MASC;SG
forbindelse	connexion	forbindelse	connexion	N;INDF;MASC+FEM;SG	N;FEM;SG
hver	chacune	hver	chacun	PRO;MASC+FEM;SG	PRO;FEM;SG
hver	chacun	hver	chacun	PRO;MASC+FEM;SG	PRO;MASC;SG
allerede	déjà	allerede	déjà	ADV	ADV
ingen	aucun	ingen	aucun	PRO;MASC+FEM;SG	PRO;MASC;SG
historie	récit	historie	récit	N;INDF;MASC+FEM;SG	N;MASC;SG
historie	histoire	historie	histoire	N;INDF;MASC+FEM;SG	N;FEM;SG
engelsk	anglaise	engelsk	anglais	ADJ;INDF;SG	ADJ;FEM;SG
engelsk	francais	engelsk	francais	ADJ;INDF;SG	ADJ;MASC;SG
århundrede	siecle	århundrede	siecle	N;INDF;NEUT;SG	N;MASC;SG
århundrede	siècle	århundrede	siècle	N;INDF;NEUT;SG	N;MASC;SG
århundrede	century	århundrede	century	N;INDF;NEUT;SG	N;MASC;SG
stadig	encore	stadig	encore	ADV	ADV
stadig	toujours	stadig	toujours	ADV	ADV
sted	place	sted	place	N;INDF;NEUT;SG	N;FEM;SG
sted	endroit	sted	endroit	N;INDF;NEUT;SG	N;MASC;SG
sted	lieu	sted	lieu	N;INDF;NEUT;SG	N;MASC;SG
sted	localisation	sted	localisation	N;INDF;NEUT;SG	N;FEM;SG
sted	emplacement	sted	emplacement	N;INDF;NEUT;SG	N;MASC;SG
sted	localité	sted	localité	N;INDF;NEUT;SG	N;FEM;SG
sted	lieu	sted	lieu	N;INDF;NEUT;SG	N;MASC;SG
center	center	center	center	N;INDF;NEUT;SG	N;MASC;SG
center	centre	center	centre	N;INDF;NEUT;SG	N;MASC;SG
center	centre	center	centre	N;INDF;NEUT;SG	N;MASC;SG
forhold	ratio	forhold	ratio	N;INDF;NEUT;SG	N;MASC;SG
forhold	relation	forhold	relation	N;INDF;NEUT;SG	N;FEM;SG
spiller	joue	spille	jouer	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
spiller	jouer	spille	jouer	V;IND;PRS;FIN;ACT	V;NFIN
spiller	jouant	spille	jouer	V;IND;PRS;FIN;ACT	V;PRS;V.PTCP
kommer	vient	komme	venir	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
kommer	venir	komme	venir	V;IND;PRS;FIN;ACT	V;NFIN
især	particulièrement	især	particulièrement	ADV	ADV
især	particulièrement	især	particulièrement	ADV	ADV
især	surtout	især	surtout	ADV	ADV
især	spécialement	især	spécialement	ADV	ADV
kampe	matches	kamp	match	N;INDF;MASC+FEM;PL	N;MASC;PL
kampe	correspondances	kamp	correspondance	N;INDF;MASC+FEM;PL	N;FEM;PL
kampe	matchs	kamp	match	N;INDF;MASC+FEM;PL	N;MASC;PL
kampe	allumettes	kamp	allumette	N;INDF;MASC+FEM;PL	N;FEM;PL
kampe	combats	kamp	combat	N;INDF;MASC+FEM;PL	N;MASC;PL
kampe	combats	kamp	combat	N;INDF;MASC+FEM;PL	N;MASC;PL
kampe	jeux	kamp	jeu	N;INDF;MASC+FEM;PL	N;MASC;PL
kampe	batailles	kamp	bataille	N;INDF;MASC+FEM;PL	N;FEM;PL
dermed	ainsi	dermed	ainsi	ADV	ADV
går	marcher	gå	marcher	V;IND;PRS;FIN;ACT	V;NFIN
går	aller	gå	aller	V;IND;PRS;FIN;ACT	V;NFIN
syd	sud	syd	sud	N;INDF	N;MASC;SG
skrevet	ecrit	skrive	ecrire	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
skrevet	écrite	skrive	écrire	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
skrevet	écrit	skrive	écrire	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
består	consiste	bestå	consister	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
frederik	frederick	frederik	frederick	N;INDF;MASC+FEM;SG	N;MASC;SG
form	shape	form	shape	N;INDF;MASC+FEM;SG	N;MASC;SG
form	forme	form	forme	N;INDF;MASC+FEM;SG	N;FEM;SG
form	forme	form	forme	N;INDF;MASC+FEM;SG	N;FEM;SG
form	formulaire	form	formulaire	N;INDF;MASC+FEM;SG	N;MASC;SG
nogen	quiconque	nogen	quiconque	PRO;MASC+FEM;SG	PRO
godt	bien	godt	bien	ADV	ADV
arbejde	travail	arbejde	travail	N;INDF;NEUT;SG	N;MASC;SG
land	pays	land	pays	N;INDF;NEUT;SG	N;MASC;SG
land	terre	land	terre	N;INDF;NEUT;SG	N;FEM;SG
land	terrain	land	terrain	N;INDF;NEUT;SG	N;MASC;SG
player	joueurs	play	joueur	N;INDF;MASC+FEM;PL	N;MASC;PL
landet	pays	land	pays	N;DEF;NEUT;SG	N;MASC;SG
børn	enfants	barn	enfant	N;INDF;NEUT;PL	N;MASC;PL
børn	enfants	barn	enfant	N;INDF;NEUT;PL	N;MASC;PL
http	http	http	http	N;INDF;MASC+FEM;SG	N;MASC;SG
lidt	légèrement	lidt	légèrement	ADV	ADV
verden	monde	verden	monde	N;INDF;MASC+FEM;SG	N;MASC;SG
lang	longue	lang	long	ADJ;INDF;MASC+FEM;SG	ADJ;FEM;SG
lang	long	lang	long	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG
plads	banquette	plads	banquette	N;INDF;MASC+FEM;SG	N;FEM;SG
plads	siège	plads	siège	N;INDF;MASC+FEM;SG	N;MASC;SG
plads	place	plads	place	N;INDF;MASC+FEM;SG	N;FEM;SG
plads	endroit	plads	endroit	N;INDF;MASC+FEM;SG	N;MASC;SG
plads	lieu	plads	lieu	N;INDF;MASC+FEM;SG	N;MASC;SG
plads	espace	plads	espace	N;INDF;MASC+FEM;SG	N;MASC;SG
får	obtenir	få	obtenir	V;IND;PRS;FIN;ACT	V;NFIN
samtidig	simultanément	samtidig	simultanément	ADV	ADV
samtidig	simultanément	samtidig	simultanément	ADV	ADV
stort	grande	stor	grand	ADJ;INDF;NEUT;SG	ADJ;FEM;SG
stort	grand	stor	grand	ADJ;INDF;NEUT;SG	ADJ;MASC;SG
stort	gros	stor	gros	ADJ;INDF;NEUT;SG	ADJ;MASC;SG
stort	grosse	stor	gros	ADJ;INDF;NEUT;SG	ADJ;FEM;SG
stort	grande	stor	grand	ADJ;INDF;NEUT;SG	ADJ;FEM;SG
stort	grand	stor	grand	ADJ;INDF;NEUT;SG	ADJ;MASC;SG
derefter	ensuite	derefter	ensuite	ADV	ADV
derefter	alors	derefter	alors	ADV	ADV
indeholder	contenant	indeholde	contenir	V;IND;PRS;FIN;ACT	V;PRS;V.PTCP
indeholder	contient	indeholde	contenir	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
indeholder	contiennent	indeholde	contenir	V;IND;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
indeholder	contenir	indeholde	contenir	V;IND;PRS;FIN;ACT	V;NFIN
sprog	langue	sprog	langue	N;INDF;NEUT;SG	N;FEM;SG
sprog	langage	sprog	langage	N;INDF;NEUT;SG	N;MASC;SG
set	repéré	se	repérer	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
set	repérée	se	repérer	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
set	vu	se	voir	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
set	visionné	se	visionner	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
set	regardée	se	regarder	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
set	regardé	se	regarder	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
endnu	pourtant	endnu	pourtant	ADV	ADV
kendte	connues	kende	connaître	V;IND;PST;FIN;ACT	V;FEM;PL;PST;V.PTCP
kendte	connue	kende	connaître	V;IND;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
kendte	connus	kende	connaître	V;IND;PST;FIN;ACT	V;MASC;PL;PST;V.PTCP
kendte	connu	kende	connaître	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
gav	cédé	give	céder	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
kilder	sources	kilde	source	N;INDF;MASC+FEM;PL	N;FEM;PL
mand	mâle	mand	mâle	N;INDF;MASC+FEM;SG	N;MASC;SG
mand	homme	mand	homme	N;INDF;MASC+FEM;SG	N;MASC;SG
mand	époux	mand	époux	N;INDF;MASC+FEM;SG	N;MASC;SG
mand	mari	mand	mari	N;INDF;MASC+FEM;SG	N;MASC;SG
mand	man	mand	man	N;INDF;MASC+FEM;SG	N;MASC;SG
mand	mec	mand	mec	N;INDF;MASC+FEM;SG	N;MASC;SG
mand	homme	mand	homme	N;INDF;MASC+FEM;SG	N;MASC;SG
vest	occident	vest	occident	N;INDF	N;MASC;SG
vest	ouest	vest	ouest	N;INDF	N;MASC;SG
vest	gilet	vest	gilet	N;INDF	N;MASC;SG
vest	ouest	vest	ouest	N;INDF	N;MASC;SG
vest	western	vest	western	N;INDF	N;MASC;SG
medlemmer	membres	medlem	membre	N;INDF;NEUT;PL	N;MASC;PL
medlemmer	adhérents	medlem	adhérent	N;INDF;NEUT;PL	N;MASC;PL
brug	utilisation	brug	utilisation	N;INDF;MASC+FEM;SG	N;FEM;SG
bygget	construite	bygge	construire	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
bygget	construit	bygge	construire	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
