wat	que	wat	que	PRO	PRO;MASC;SG
veral	especialmente	veral	especialmente	ADV	ADV
werk	trabalhar	werk	trabalhar	V;PRS	V;NFIN
werk	trabalhe	werk	trabalher	V;PRS	V;SBJV;SG;3;PRS;FIN
hier	aqui	hier	aqui	ADV	ADV
tyd	hora	tyd	hora	N;SG	N;FEM;SG
tyd	horário	tyd	horário	N;SG	N;MASC;SG
tyd	tempo	tyd	tempo	N;SG	N;MASC;SG
tyd	time	tyd	time	N;SG	N;MASC;SG
vlag	pavilhão	vlag	pavilhão	N;SG	N;MASC;SG
vlag	bandeira	vlag	bandeira	N;SG	N;FEM;SG
verskeie	diversos	verskeie	diverso	ADJ;NOM	ADJ;MASC;PL
verskeie	diversos	verskeie	diverso	ADJ;NOM	ADJ;MASC;PL
verskeie	diversas	verskeie	diverso	ADJ;NOM	ADJ;FEM;PL
genoem	mencionado	noem	mencionar	V;PST;V.PTCP	V;MASC;SG;V.PTCP
genoem	mencionados	noem	mencionar	V;PST;V.PTCP	V;MASC;PL;V.PTCP
genoem	mencionou	noem	mencionar	V;PST;V.PTCP	V;IND;SG;3;PST;FIN
genoem	mencionada	noem	mencionar	V;PST;V.PTCP	V;FEM;SG;V.PTCP
dan	então	dan	então	ADV	ADV
dan	depois	dan	depois	ADV	ADV
bevolking	população	bevolking	população	N;SG	N;FEM;SG
gemaak	feitos	maak	fazer	V;PST;V.PTCP	V;MASC;PL;V.PTCP
gemaak	feita	maak	fazer	V;PST;V.PTCP	V;FEM;SG;V.PTCP
gemaak	feito	maak	fazer	V;PST;V.PTCP	V;MASC;SG;V.PTCP
gebou	construindo	bou	construir	V;PST;V.PTCP	V;V.MSDR
jare	anos	jaar	ano	N;PL	N;MASC;PL
slegs	só	slegs	só	ADV	ADV
slegs	apenas	slegs	apenas	ADV	ADV
slegs	somente	slegs	somente	ADV	ADV
slegs	unicamente	slegs	unicamente	ADV	ADV
slegs	só	slegs	só	ADV	ADV
slegs	apenas	slegs	apenas	ADV	ADV
dorp	dorp	dorp	dorp	N;SG	N;MASC;SG
lank	alto	lank	alto	ADV	ADV
lank	longo	lank	longo	ADV	ADV
gestig	fundado	stig	fundar	V;PST;V.PTCP	V;MASC;SG;V.PTCP
gestig	fundou	stig	fundar	V;PST;V.PTCP	V;IND;SG;3;PST;FIN
gestig	fundada	stig	fundar	V;PST;V.PTCP	V;FEM;SG;V.PTCP
sedert	desde	sedert	desde	ADP	ADP
reeds	já	reeds	já	ADV	ADV
gevolg	seguida	gevolg	seguida	N;SG	N;FEM;SG
nou	agora	nou	agora	ADV	ADV
gebore	nascido	gebore	nascer	V;PRS	V;MASC;SG;V.PTCP
gebore	nascida	gebore	nascer	V;PRS	V;FEM;SG;V.PTCP
provinsie	província	provinsie	província	N;SG	N;FEM;SG
provinsie	condado	provinsie	condar	N;SG	N;MASC;SG
provinsie	state	provinsie	state	N;SG	N;MASC;SG
provinsie	estado	provinsie	estado	N;SG	N;MASC;SG
universiteit	university	universiteit	university	N;SG	N;MASC;SG
universiteit	universidade	universiteit	universidade	N;SG	N;FEM;SG
beskou	considerem	beskou	considerar	V;PRS	V;SBJV;PL;3;PRS;FIN
beskou	considerar	beskou	considerar	V;PRS	V;NFIN
beskou	considere	beskou	considerar	V;PRS	V;SBJV;SG;3;PRS;FIN
beskou	considera	beskou	considerar	V;PRS	V;IND;SG;3;PRS;FIN
lewe	vida	lewe	vida	N;SG	N;FEM;SG
lewe	life	lewe	life	N;SG	N;MASC;SG
vier	comemorando	vier	comemorar	V;PRS	V;V.MSDR
vier	celebrando	vier	celebrar	V;PRS	V;V.MSDR
vier	celebrar	vier	celebrar	V;PRS	V;NFIN
vier	celebra	vier	celebra	V;PRS	V;IND;SG;3;PRS;FIN
vier	celebre	vier	celebre	V;PRS	V;SBJV;SG;3;PRS;FIN
vier	comemorar	vier	comemorar	V;PRS	V;NFIN
dood	death	dood	death	N;SG	N;MASC;SG
dood	morte	dood	morte	N;SG	N;FEM;SG
dood	morta	dood	morto	N;SG	N;FEM;SG
dood	dead	dood	dead	N;SG	N;MASC;SG
amptelike	oficial	amptelik	oficial	ADJ;NOM	ADJ;MASC;SG
dieselfde	mesma	dieselfde	mesmo	ADJ;NOM	ADJ;FEM;SG
dieselfde	mesmos	dieselfde	mesmo	ADJ;NOM	ADJ;MASC;PL
wêreld	world	wêreld	world	N;SG	N;MASC;SG
wêreld	mundo	wêreld	mundo	N;SG	N;MASC;SG
volgende	next	volg	next	N;SG	N;MASC;SG
aantal	quantidade	aantal	quantidade	N;SG	N;FEM;SG
dikwels	freqüentemente	dikwels	freqüentemente	ADV	ADV
dikwels	frequentemente	dikwels	frequentemente	ADV	ADV
internasionale	internacional	internasionaal	internacional	ADJ;NOM	ADJ;MASC;SG
internasionale	internacionais	internasionaal	internacional	ADJ;NOM	ADJ;MASC;PL
eie	próprio	eie	próprio	ADJ;NOM	ADJ;MASC;SG
voëls	pássaros	voël	pássaro	N;PL	N;MASC;PL
voëls	aves	voël	ave	N;PL	N;FEM;PL
steeds	ainda	steeds	ainda	ADV	ADV
groep	grupo	groep	grupo	N;SG	N;MASC;SG
stel	definir	stel	definir	V;PRS	V;NFIN
stel	definido	stel	definir	V;PRS	V;MASC;SG;V.PTCP
sluit	desistir	sluit	desistir	V;PRS	V;NFIN
sluit	fecha	sluit	fechar	V;PRS	V;IND;SG;3;PRS;FIN
sluit	feche	sluit	fecher	V;PRS	V;SBJV;SG;3;PRS;FIN
sluit	fechar	sluit	fechar	V;PRS	V;NFIN
hoofstad	capital	hoofstad	capital	N;SG	N;MASC;SG
verwys	relacionar	verwys	relacionar	V;PRS	V;NFIN
verwys	citado	verwys	citar	V;PRS	V;MASC;SG;V.PTCP
verwys	citadas	verwys	citar	V;PRS	V;FEM;PL;V.PTCP
verwys	citada	verwys	citar	V;PRS	V;FEM;SG;V.PTCP
verwys	citados	verwys	citar	V;PRS	V;MASC;PL;V.PTCP
verwys	remete	verwys	remeter	V;PRS	V;IND;SG;3;PRS;FIN
verwys	remeter	verwys	remeter	V;PRS	V;NFIN
state	estados	staat	estado	N;PL	N;MASC;PL
water	agua	water	agua	N;SG	N;FEM;SG
water	água	water	água	N;SG	N;FEM;SG
water	espátula	water	espátula	N;SG	N;FEM;SG
einde	acabamento	einde	acabamento	N;SG	N;MASC;SG
einde	end	einde	end	N;SG	N;MASC;SG
einde	final	einde	final	N;SG	N;MASC;SG
einde	fim	einde	fim	N;SG	N;MASC;SG
duitsland	alemanha	duitsland	alemanha	N;SG	N;FEM;SG
regering	governo	regering	governo	N;SG	N;MASC;SG
dae	dias	dag	dia	N;PL	N;MASC;PL
oorlog	guerra	oorlog	guerra	N;SG	N;FEM;SG
oorlog	war	oorlog	war	N;SG	N;MASC;SG
besluit	decide	besluit	decidir	V;PRS	V;IND;SG;3;PRS;FIN
besluit	decidida	besluit	decidir	V;PRS	V;FEM;SG;V.PTCP
besluit	decididas	besluit	decidir	V;PRS	V;FEM;PL;V.PTCP
besluit	decidido	besluit	decidir	V;PRS	V;MASC;SG;V.PTCP
besluit	decidir	besluit	decidir	V;PRS	V;NFIN
besluit	decida	besluit	decidir	V;PRS	V;SBJV;SG;3;PRS;FIN
besluit	decidam	besluit	decidar	V;PRS	V;SBJV;PL;3;PRS;FIN
besluit	decide	besluit	decidir	V;PRS	V;IND;SG;3;PRS;FIN
sommige	algum	sommige	algum	DET	DET;MASC;SG
geskiedenis	historia	geskiedenis	historia	N;SG	N;FEM;SG
geskiedenis	história	geskiedenis	história	N;SG	N;FEM;SG
vis	peixe	vis	peixe	N;SG	N;MASC;SG
plaas	postar	plaas	postar	V;PRS	V;NFIN
plaas	publicar	plaas	publicar	V;PRS	V;NFIN
wetenskaplike	científico	wetenskaplik	científico	ADJ;NOM	ADJ;MASC;SG
ontwikkel	desenvolvido	ontwikkel	desenvolver	V;PRS	V;MASC;SG;V.PTCP
ontwikkel	desenvolvidas	ontwikkel	desenvolver	V;PRS	V;FEM;PL;V.PTCP
ontwikkel	desenvolvidos	ontwikkel	desenvolver	V;PRS	V;MASC;PL;V.PTCP
ontwikkel	desenvolvida	ontwikkel	desenvolver	V;PRS	V;FEM;SG;V.PTCP
ontwikkel	desenvolver	ontwikkel	desenvolver	V;PRS	V;NFIN
ontwikkel	desenvolva	ontwikkel	desenvolvar	V;PRS	V;SBJV;SG;3;PRS;FIN
lande	países	land	país	N;PL	N;MASC;PL
seun	garoto	seun	garoto	N;SG	N;MASC;SG
seun	boy	seun	boy	N;SG	N;MASC;SG
seun	moço	seun	moço	N;SG	N;MASC;SG
seun	rapaz	seun	rapaz	N;SG	N;MASC;SG
seun	menino	seun	menino	N;SG	N;MASC;SG
seun	son	seun	son	N;SG	N;MASC;SG
seun	filho	seun	filho	N;SG	N;MASC;SG
verskillende	diferente	verskil	diferente	ADJ;NOM	ADJ;MASC;SG
verskillende	diferentes	verskil	diferente	ADJ;NOM	ADJ;MASC;PL
ontstaan	ocorreram	ontstaan	ocorrer	V;PRS	V;IND;PL;3;FIN
ontstaan	ocorrido	ontstaan	ocorrer	V;PRS	V;MASC;SG;V.PTCP
belangrike	importante	belangrik	importante	ADJ;NOM	ADJ;MASC;SG
belangrike	importantes	belangrik	importante	ADJ;NOM	ADJ;MASC;PL
kinders	crianças	kind	criança	N;PL	N;FEM;PL
kinders	filhos	kind	filho	N;PL	N;MASC;PL
kinders	miúdos	kind	miúdo	N;PL	N;MASC;PL
kinders	crianças	kind	criança	N;PL	N;FEM;PL
kinders	filhos	kind	filho	N;PL	N;MASC;PL
gedurende	durante	gedurende	durante	ADP	ADP
neem	pega	neem	pegar	V;PRS	V;IND;SG;3;PRS;FIN
neem	levar	neem	levar	V;PRS	V;NFIN
neem	pegue	neem	pegar	V;PRS	V;SBJV;SG;3;PRS;FIN
neem	toma	neem	tomar	V;PRS	V;IND;SG;3;PRS;FIN
neem	leve	neem	levar	V;PRS	V;SBJV;SG;3;PRS;FIN
vertaal	traduza	vertaal	traduzir	V;PRS	V;SBJV;SG;3;PRS;FIN
vertaal	traduzir	vertaal	traduzir	V;PRS	V;NFIN
vertaal	traduz	vertaal	traduzir	V;PRS	V;IND;SG;3;PRS;FIN
munisipaliteit	bairro	munisipaliteit	bairro	N;SG	N;MASC;SG
munisipaliteit	borough	munisipaliteit	borough	N;SG	N;MASC;SG
munisipaliteit	município	munisipaliteit	município	N;SG	N;MASC;SG
munisipaliteit	concelho	munisipaliteit	concelho	N;SG	N;MASC;SG
tans	agora	tans	agora	ADV	ADV
tans	actualmente	tans	actualmente	ADV	ADV
tans	atualmente	tans	atualmente	ADV	ADV
republiek	república	republiek	república	N;SG	N;FEM;SG
plek	local	plek	local	N;SG	N;MASC;SG
plek	lugar	plek	lugar	N;SG	N;MASC;SG
plek	place	plek	place	N;SG	N;MASC;SG
plek	local	plek	local	N;SG	N;MASC;SG
plek	sítio	plek	sítio	N;SG	N;MASC;SG
ongeveer	aproximadamente	ongeveer	aproximadamente	ADV	ADV
gehou	gostou	hou	gostar	V;PST;V.PTCP	V;IND;SG;3;PST;FIN
gehou	curtido	hou	curtido	V;PST;V.PTCP	V;MASC;SG;V.PTCP
gehou	gostei	hou	gostar	V;PST;V.PTCP	V;IND;SG;1;PST;FIN
tydperk	duração	tydperk	duração	N;SG	N;FEM;SG
maande	meses	maand	mês	N;PL	N;MASC;PL
skool	escola	skool	escola	N;SG	N;FEM;SG
familie	família	familie	família	N;SG	N;FEM;SG
familie	familia	familie	familia	N;SG	N;FEM;SG
voorkom	evitar	voorkom	evitar	V;PRS	V;NFIN
voorkom	prevenir	voorkom	prevenir	V;PRS	V;NFIN
voorkom	impedir	voorkom	impedir	V;PRS	V;NFIN
geneem	tirada	neem	tirar	V;PST;V.PTCP	V;FEM;SG;V.PTCP
geneem	tomado	neem	tomar	V;PST;V.PTCP	V;MASC;SG;V.PTCP
geneem	levado	neem	levar	V;PST;V.PTCP	V;MASC;SG;V.PTCP
geneem	tomadas	neem	tomar	V;PST;V.PTCP	V;FEM;PL;V.PTCP
geneem	tiradas	neem	tirar	V;PST;V.PTCP	V;FEM;PL;V.PTCP
eiland	ilha	eiland	ilha	N;SG	N;FEM;SG
volg	siga	volg	siga	V;PRS	V;SBJV;SG;3;PRS;FIN
volg	segue	volg	seguir	V;PRS	V;IND;SG;3;PRS;FIN
volg	seguir	volg	seguir	V;PRS	V;NFIN
volg	sigam	volg	seguir	V;PRS	V;SBJV;PL;3;PRS;FIN
volg	seguindo	volg	seguir	V;PRS	V;V.MSDR
vyf	cinco	vyf	cinco	NUM	NUM
sonder	sem	sonder	sem	ADP	ADP
aarde	earth	aarde	earth	N;SG	N;MASC;SG
aarde	terra	aarde	terra	N;SG	N;FEM;SG
gee	dê	gee	dar	V;PRS	V;SBJV;SG;3;PRS;FIN
gee	dar	gee	dar	V;PRS	V;NFIN
gee	dá	gee	dar	V;PRS	V;IND;SG;3;PRS;FIN
kry	apanha	kry	apanhar	V;PRS	V;IND;SG;3;PRS;FIN
kry	obtenha	kry	obter	V;PRS	V;SBJV;SG;3;PRS;FIN
kry	receba	kry	receber	V;PRS	V;SBJV;SG;3;PRS;FIN
kry	obter	kry	obter	V;PRS	V;NFIN
rol	papel	rol	papel	N;SG	N;MASC;SG
rol	rola	rol	rola	N;SG	N;FEM;SG
rol	role	rol	role	N;SG	N;MASC;SG
rol	roll	rol	roll	N;SG	N;MASC;SG
rol	rolo	rol	rolo	N;SG	N;MASC;SG
vrou	mulher	vrou	mulher	N;SG	N;FEM;SG
vrou	mulher	vrou	mulher	N;SG	N;FEM;SG
vrou	esposa	vrou	esposo	N;SG	N;FEM;SG
gebiede	territórios	gebied	território	N;PL	N;MASC;PL
gebiede	áreas	gebied	área	N;PL	N;FEM;PL
derde	terceira	derde	terceiro	ADJ;NOM	ADJ;FEM;SG
derde	terço	derde	terço	ADJ;NOM	ADJ;MASC;SG
derde	terceiro	derde	terceiro	ADJ;NOM	ADJ;MASC;SG
dag	dia	dag	dia	N;SG	N;MASC;SG
moderne	moderna	modern	moderno	N;SG	N;FEM;SG
moderne	modern	modern	modern	N;SG	N;MASC;SG
woord	word	woord	word	N;SG	N;MASC;SG
woord	palavra	woord	palavra	N;SG	N;FEM;SG
president	presidente	president	presidente	N;SG	N;MASC;SG
koninkryk	reino	koninkryk	reino	N;SG	N;MASC;SG
koninkryk	kingdom	koninkryk	kingdom	N;SG	N;MASC;SG
tale	linguas	taal	lingua	N;PL	N;FEM;PL
tale	idiomas	taal	idiomo	N;PL	N;MASC;PL
tale	línguas	taal	língua	N;PL	N;FEM;PL
ontvang	receber	ontvang	receber	V;PRS	V;NFIN
ontvang	recebe	ontvang	receber	V;PRS	V;IND;SG;3;PRS;FIN
ontvang	recebem	ontvang	receber	V;PRS	V;IND;PL;3;PRS;FIN
ontvang	receba	ontvang	receber	V;PRS	V;SBJV;SG;3;PRS;FIN
ontvang	recebida	ontvang	receber	V;PRS	V;FEM;SG;V.PTCP
ontvang	recebido	ontvang	receber	V;PRS	V;MASC;SG;V.PTCP
ontvang	receberam	ontvang	receber	V;PRS	V;IND;PL;3;FIN
ontvang	recebidos	ontvang	receber	V;PRS	V;MASC;PL;V.PTCP
ontvang	recebidas	ontvang	receber	V;PRS	V;FEM;PL;V.PTCP
ontvang	recebendo	ontvang	receber	V;PRS	V;V.MSDR
ontvang	receber	ontvang	receber	V;PRS	V;NFIN
amerika	america	amerika	americar	N;SG	N;MASC;SG
amerika	américa	amerika	américo	N;SG	N;FEM;SG
hoewel	embora	hoewel	embora	CONJ	CONJ
webwerf	website	webwerf	websitir	N;SG	N;MASC;SG
webwerf	site	webwerf	site	N;SG	N;MASC;SG
staat	state	staat	state	N;SG	N;MASC;SG
staat	estado	staat	estado	N;SG	N;MASC;SG
staat	planilha	staat	planilha	N;SG	N;FEM;SG
staat	lençol	staat	lençol	N;SG	N;MASC;SG
staat	folha	staat	folha	N;SG	N;FEM;SG
vandag	hoje	vandag	hoje	ADV	ADV
daardie	aqueles	daardie	aquele	DET	DET;MASC;PL
daardie	esses	daardie	esse	DET	DET;MASC;PL
daardie	aquelas	daardie	aquele	DET	DET;FEM;PL
ekonomiese	econômico	ekonomies	econômico	ADJ;NOM	ADJ;MASC;SG
ekonomiese	econômica	ekonomies	econômico	ADJ;NOM	ADJ;FEM;SG
aanvaar	aceitos	aanvaar	aceito	V;PRS	V;MASC;PL;V.PTCP
aanvaar	aceites	aanvaar	aceite	V;PRS	V;MASC;PL;V.PTCP
aanvaar	aceitado	aanvaar	aceitar	V;PRS	V;MASC;SG;V.PTCP
aanvaar	aceita	aanvaar	aceitar	V;PRS	V;IND;SG;3;PRS;FIN
aanvaar	aceito	aanvaar	aceitar	V;PRS	V;MASC;SG;V.PTCP
aanvaar	aceitamos	aanvaar	aceitar	V;PRS	V;IND;PL;1;PRS;FIN
aanvaar	aceito	aanvaar	aceitar	V;PRS	V;MASC;SG;V.PTCP
aanvaar	aceitar	aanvaar	aceitar	V;PRS	V;NFIN
aanvaar	aceita	aanvaar	aceitar	V;PRS	V;IND;SG;3;PRS;FIN
hou	segure	hou	segure	V;PRS	V;SBJV;SG;3;PRS;FIN
hou	segurar	hou	segurar	V;PRS	V;NFIN
hou	mantenha	hou	manter	V;PRS	V;SBJV;SG;3;PRS;FIN
hou	continue	hou	continuar	V;PRS	V;SBJV;SG;3;PRS;FIN
hou	continuem	hou	continuar	V;PRS	V;SBJV;PL;3;PRS;FIN
hou	manter	hou	manter	V;PRS	V;NFIN
geskryf	escrito	skryf	escrever	V;PST;V.PTCP	V;MASC;SG;V.PTCP
geskryf	escritas	skryf	escrever	V;PST;V.PTCP	V;FEM;PL;V.PTCP
geskryf	escritos	skryf	escrever	V;PST;V.PTCP	V;MASC;PL;V.PTCP
geskryf	queimado	skryf	queimar	V;PST;V.PTCP	V;MASC;SG;V.PTCP
geskryf	queimada	skryf	queimar	V;PST;V.PTCP	V;FEM;SG;V.PTCP
geskryf	queimadas	skryf	queimar	V;PST;V.PTCP	V;FEM;PL;V.PTCP
geskryf	queimou	skryf	queimar	V;PST;V.PTCP	V;IND;SG;3;PST;FIN
geskryf	queimados	skryf	queimar	V;PST;V.PTCP	V;MASC;PL;V.PTCP
hele	inteiras	heel	inteiro	ADJ;NOM	ADJ;FEM;PL
hele	inteiro	heel	inteiro	ADJ;NOM	ADJ;MASC;SG
bevat	contém	bevat	conter	V;PRS	V;IND;SG;3;PRS;FIN
skrywer	escritora	skrywer	escritor	N;SG	N;FEM;SG
skrywer	escritor	skrywer	escritor	N;SG	N;MASC;SG
skrywer	autor	skrywer	autor	N;SG	N;MASC;SG
skrywer	autora	skrywer	autora	N;SG	N;FEM;SG
verander	cancelar	verander	cancelar	V;PRS	V;NFIN
verander	cancela	verander	cancelar	V;PRS	V;IND;SG;3;PRS;FIN
verander	modificar	verander	modificar	V;PRS	V;NFIN
verander	modifica	verander	modificar	V;PRS	V;IND;SG;3;PRS;FIN
verander	mudar	verander	mudar	V;PRS	V;NFIN
bereik	alcança	bereik	alcançar	V;PRS	V;IND;SG;3;PRS;FIN
bereik	alcançar	bereik	alcançar	V;PRS	V;NFIN
bereik	atingido	bereik	atingir	V;PRS	V;MASC;SG;V.PTCP
bereik	alcançada	bereik	alcançar	V;PRS	V;FEM;SG;V.PTCP
bereik	alcançado	bereik	alcançar	V;PRS	V;MASC;SG;V.PTCP
bereik	alcançadas	bereik	alcançar	V;PRS	V;FEM;PL;V.PTCP
inwoners	residentes	inwoner	residente	N;PL	N;MASC;PL
inwoners	moradores	inwoner	morador	N;PL	N;MASC;PL
beteken	significa	beteken	significar	V;PRS	V;IND;SG;3;PRS;FIN
man	marido	man	marido	N;SG	N;MASC;SG
man	esposo	man	esposo	N;SG	N;MASC;SG
man	man	man	man	N;SG	N;MASC;SG
man	pá	man	pá	N;SG	N;FEM;SG
man	cara	man	cara	N;SG	N;FEM;SG
man	homem	man	homem	N;SG	N;MASC;SG
huis	home	huis	home	N;SG	N;MASC;SG
huis	casa	huis	casa	N;SG	N;FEM;SG
huis	lar	huis	lar	N;SG	N;MASC;SG
huis	casa	huis	casa	N;SG	N;FEM;SG
besoek	visite	besoek	visitir	V;PRS	V;SBJV;SG;3;PRS;FIN
besoek	visitar	besoek	visitar	V;PRS	V;NFIN
besoek	visitado	besoek	visitar	V;PRS	V;MASC;SG;V.PTCP
besoek	visitada	besoek	visitar	V;PRS	V;FEM;SG;V.PTCP
besoek	visitados	besoek	visitar	V;PRS	V;MASC;PL;V.PTCP
administratiewe	administrativo	administratief	administrativo	ADJ;NOM	ADJ;MASC;SG
bekende	famosa	bekend	famoso	ADJ;NOM	ADJ;FEM;SG
bekende	famosas	bekend	famoso	ADJ;NOM	ADJ;FEM;PL
bekende	famoso	bekend	famoso	ADJ;NOM	ADJ;MASC;SG
gespeel	jogado	speel	jogar	V;PST;V.PTCP	V;MASC;SG;V.PTCP
gespeel	jogou	speel	jogar	V;PST;V.PTCP	V;IND;SG;3;PST;FIN
gespeel	tocou	speel	tocar	V;PST;V.PTCP	V;IND;SG;3;PST;FIN
gespeel	joguei	speel	joguar	V;PST;V.PTCP	V;IND;SG;1;PST;FIN
gespeel	jogaram	speel	jogar	V;PST;V.PTCP	V;IND;PL;3;FIN
kerke	igrejas	kerk	igreja	N;PL	N;FEM;PL
skryf	escreve	skryf	escrever	V;PRS	V;IND;SG;3;PRS;FIN
skryf	escreva	skryf	escrever	V;PRS	V;SBJV;SG;3;PRS;FIN
skryf	escrever	skryf	escrever	V;PRS	V;NFIN
skryf	queime	skryf	queime	V;PRS	V;SBJV;SG;3;PRS;FIN
skryf	queimar	skryf	queimar	V;PRS	V;NFIN
visse	peixes	visse	peixe	N;PL	N;MASC;PL
visse	peixes	visse	peixe	N;PL	N;MASC;PL
suidelike	sulista	suidelik	sulista	ADJ;NOM	ADJ;MASC;SG
suidelike	meridional	suidelik	meridional	ADJ;NOM	ADJ;MASC;SG
romeinse	romana	romeins	romano	N;SG	N;FEM;SG
romeinse	roman	romeins	roman	N;SG	N;MASC;SG
romeinse	romano	romeins	romano	N;SG	N;MASC;SG
alhoewel	embora	alhoewel	embora	CONJ	CONJ
gekry	encontrada	kry	encontrar	V;PST;V.PTCP	V;FEM;SG;V.PTCP
gekry	encontrados	kry	encontrar	V;PST;V.PTCP	V;MASC;PL;V.PTCP
gekry	encontraram	kry	encontrar	V;PST;V.PTCP	V;IND;PL;3;FIN
gekry	encontrado	kry	encontrar	V;PST;V.PTCP	V;MASC;SG;V.PTCP
gekom	viajou	kom	viajar	V;PST;V.PTCP	V;IND;SG;3;PST;FIN
gekom	viajado	kom	viajado	V;PST;V.PTCP	V;MASC;SG;V.PTCP
verskyn	aparecer	verskyn	aparecer	V;PRS	V;NFIN
verskyn	aparecem	verskyn	aparecer	V;PRS	V;IND;PL;3;PRS;FIN
reeks	série	reeks	série	N;SG	N;FEM;SG
hoofsaaklik	principalmente	hoofsaaklik	principalmente	ADV	ADV
hoofsaaklik	primariamente	hoofsaaklik	primariamente	ADV	ADV
eilande	ilhas	eilande	ilha	N;PL	N;FEM;PL
speel	jogar	speel	jogar	V;PRS	V;NFIN
