sovieticii	شوراها	sovietică	شورا	N;DEF;MASC;PL	N;PL
fotografia	عکسبرداری	fotografie	عکسبرداری	N;DEF;FEM;SG	N;SG
separarea	جداسازی	separare	جداسازی	N;DEF;FEM;SG	N;SG
separarea	جدایی	separare	جدایی	N;DEF;FEM;SG	N;SG
separarea	تفکیک	separare	تفکیک	N;DEF;FEM;SG	N;SG
separarea	فراق	separare	فراق	N;DEF;FEM;SG	N;SG
datoria	وظیفه	datorie	وظیفه	N;DEF;FEM;SG	N;SG
scrisoarea	حرف	scrisoare	حرف	N;DEF;FEM;SG	N;SG
scrisoarea	نامه	scrisoare	نامه	N;DEF;FEM;SG	N;SG
eroul	قهرمان	erou	قهرمان	N;DEF;MASC;SG	N;SG
eroul	پهلوان	erou	None	N;DEF;MASC;SG	N;SG
aviatiei	هوانوردی	aviatie	هوانوردی	N;DEF;FEM;SG	N;SG
aviatiei	هواپیمایی	aviatie	هواپیمایی	N;DEF;FEM;SG	N;SG
rupt	شکسته	rupt	شکسته	ADJ;INDF;MASC;SG	ADJ;SG;3;V.PTCP
integrate	یکپارچه	integra	یکپارچه	ADJ;INDF;FEM;PL	ADJ
comisie	تصدی	comisie	تصدی	N;INDF;FEM;SG	N;SG
comisie	کمیسیون	comisie	کمیسیون	N;INDF;FEM;SG	N;SG
arkansas	آرکانزاس	arkansas	آرکانزاس	N;INDF;MASC;SG	N;SG
sinteza	سنتز	sinteză	سنتز	N;DEF;FEM;SG	N;SG
sinteza	سنتز	sinteză	سنتز	N;DEF;FEM;SG	N;SG
aripa	بال	aripă	بال	N;DEF;FEM;SG	N;SG
aripa	وینگ	aripă	وینگ	N;DEF;FEM;SG	N;SG
aripa	بال	aripă	بال	N;DEF;FEM;SG	N;SG
aripa	وینگ	aripă	وینگ	N;DEF;FEM;SG	N;SG
cauzele	علل	cauză	علت	N;DEF;FEM;PL	N;PL
atomic	اتمی	atomic	اتمی	ADJ;INDF;MASC;SG	ADJ
imparateasa	شهبانو	imparatesa	شهبانو	N;DEF;FEM;SG	N;SG
imparateasa	شهبانو	imparatesa	شهبانو	N;DEF;FEM;SG	N;SG
integrare	یکپارچگی	integrare	None	N;INDF;FEM;SG	N;SG
districtele	نواحی	district	ناحیه	N;DEF;FEM;PL	N;PL
districtele	مناطق	district	منطقه	N;DEF;FEM;PL	N;PL
miercurea	چهارشنبه	miercure	چهارشنبه	N;DEF;FEM;SG	N;SG
transmiterea	انتقال	transmitere	انتقال	N;DEF;FEM;SG	N;SG
transmiterea	مخابره	transmitere	None	N;DEF;FEM;SG	N;SG
hunter	هانتر	hunter	هانتر	N;INDF;MASC;SG	N;SG
hunter	شکارچی	hunter	شکارچی	N;INDF;MASC;SG	N;SG
armeni	ارمنیان	armen	ارمنیان	N;INDF;MASC;PL	N;PL
armeni	ارمنیان	armen	ارمنیان	N;INDF;MASC;PL	N;PL
vera	ورا	vera	ورا	N;DEF;FEM;SG	N;SG
demo	دمو	demo	دمو	N;INDF;MASC;SG	N;SG
standarde	استانداردها	standard	استاندارد	N;INDF;FEM;PL	N;PL
standarde	استانداردهای	standard	استاندارد	N;INDF;FEM;PL	N;PL
utila	مفید	utila	مفید	ADJ;DEF;FEM;SG	ADJ
utila	مفید	utila	مفید	ADJ;DEF;FEM;SG	ADJ
pastrata	محفوظ	pastrat	None	ADJ;DEF;FEM;SG	ADJ
isabella	ایزابلا	isabella	ایزابلا	N;DEF;FEM;SG	N;SG
predare	تدریس	predare	تدریس	N;INDF;FEM;SG	N;SG
predare	آموزش	predare	آموزش	N;INDF;FEM;SG	N;SG
sanatatea	سلامت	sanatate	سلامت	N;DEF;FEM;SG	N;SG
sanatatea	بهداشت	sanatate	بهداشت	N;DEF;FEM;SG	N;SG
sanatatea	health	sanatate	health	N;DEF;FEM;SG	N;SG
sanatatea	سلامتی	sanatate	سلامتی	N;DEF;FEM;SG	N;SG
transfermarkt	transfermarkt	transfermarkt	transfermarkt	N;INDF;MASC;SG	N;SG
rareori	ندرت	rareori	ندرت	ADV	ADV
rareori	بندرت	rareori	بندرت	ADV	ADV
rareori	ندرت	rareori	ندرت	ADV	ADV
rareori	بندرت	rareori	بندرت	ADV	ADV
patrat	مربع	patrat	مربع	N;INDF;MASC;SG	N;SG
patrat	میدان	patrat	میدان	N;INDF;MASC;SG	N;SG
patrat	مربع	patrat	مربع	N;INDF;MASC;SG	N;SG
patrat	میدان	patrat	میدان	N;INDF;MASC;SG	N;SG
epic	حماسی	epic	حماسی	N;INDF;MASC;SG	N;SG
epic	حماسه	epic	حماسه	N;INDF;MASC;SG	N;SG
gratie	فضل	gratie	None	N;INDF;FEM;SG	N;SG
gratie	گریس	gratie	گریس	N;INDF;FEM;SG	N;SG
avere	بخت	avere	None	N;INDF;FEM;SG	N;SG
avere	فال	avere	فال	N;INDF;FEM;SG	N;SG
avere	ثروت	avere	None	N;INDF;FEM;SG	N;SG
avere	ثروت	avere	None	N;INDF;FEM;SG	N;SG
avere	مال	avere	مال	N;INDF;FEM;SG	N;SG
birou	اداره	birou	اداره	N;INDF;MASC;SG	N;SG
birou	دفتر	birou	دفتر	N;INDF;MASC;SG	N;SG
birou	رومیزی	birou	None	N;INDF;MASC;SG	N;SG
secretul	رازی	secret	راز	N;DEF;MASC;SG	N;SG
secretul	راز	secret	راز	N;DEF;MASC;SG	N;SG
secretul	مخفی	secret	مخفی	N;DEF;MASC;SG	N;SG
aniversare	تولد	aniversare	تولد	N;INDF;FEM;SG	N;SG
aniversare	زادروز	aniversare	زادروز	N;INDF;FEM;SG	N;SG
aniversare	سالگرد	aniversare	سالگرد	N;INDF;FEM;SG	N;SG
gonzaga	گونزاگا	gonzaga	گونزاگا	N;DEF;FEM;SG	N;SG
pib	gdp	pib	gdp	N	N;SG
frumusetea	زیبایی	frumusete	زیبایی	N;DEF;FEM;SG	N;SG
executata	اعدام	executat	None	N;DEF;FEM;SG	N;SG
musulmana	مسلمان	musulmana	مسلمان	N;DEF;FEM;SG	N;SG
frumusete	زیبایی	frumuset	زیبایی	N;INDF;FEM;SG	N;SG
frumusete	زیبایی	frumuset	زیبایی	N;INDF;FEM;SG	N;SG
laboratorul	آزمایشگاهی	laborator	آزمایشگاهی	N;DEF;MASC;SG	N;SG
laboratorul	لابراتوار	laborator	لابراتوار	N;DEF;MASC;SG	N;SG
laboratorul	آزمایشگاه	laborator	آزمایشگاه	N;DEF;MASC;SG	N;SG
laboratorul	آزمایشگاه	laborator	آزمایشگاه	N;DEF;MASC;SG	N;SG
laboratorul	ازمایشگاه	laborator	ازمایشگاه	N;DEF;MASC;SG	N;SG
ala	الا	ala	None		
ala	ala	ala	ala		
batalionul	گردان	batalion	گردان	N;DEF;MASC;SG	N;SG
constient	آگاه	constient	آگاه	ADJ;INDF;MASC;SG	ADJ
sansa	شانس	sansa	شانس	N;DEF;FEM;SG	N;SG
sansa	فرصت	sansa	فرصت	N;DEF;FEM;SG	N;SG
sansa	شانس	sansa	شانس	N;DEF;FEM;SG	N;SG
sansa	فرصت	sansa	فرصت	N;DEF;FEM;SG	N;SG
sansa	سانسا	sansa	سانسا	N;DEF;FEM;SG	N;SG
autostrada	آزادراه	autostradă	آزادراه	N;DEF;FEM;SG	N;SG
autostrada	اتوبان	autostradă	None	N;DEF;FEM;SG	N;SG
autostrada	بزرگراه	autostradă	بزرگراه	N;DEF;FEM;SG	N;SG
autostrada	آزادراه	autostradă	آزادراه	N;DEF;FEM;SG	N;SG
autostrada	آزادراه	autostradă	آزادراه	N;DEF;FEM;SG	N;SG
autostrada	بزرگراه	autostradă	بزرگراه	N;DEF;FEM;SG	N;SG
autostrada	اتوبان	autostradă	None	N;DEF;FEM;SG	N;SG
autostrada	بزرگراه	autostradă	بزرگراه	N;DEF;FEM;SG	N;SG
compozitori	آهنگسازان	compozitor	آهنگساز	N;INDF;MASC;PL	N;PL
fabricatie	تولید	fabricatie	تولید	N;INDF;FEM;SG	N;SG
fabricatie	ساخت	fabricatie	ساخت	N;INDF;FEM;SG	N;SG
fabricatie	تولیدی	fabricatie	تولیدی	N;INDF;FEM;SG	N;SG
alegere	انتخاب	alegere	انتخاب	N;INDF;FEM;SG	N;SG
notre	نوتر	motru	نوتر	N;INDF;MASC;SG	N;SG
mostenire	میراثی	mostenire	میراثی	N;INDF;FEM;SG	N;SG
mostenire	میراث	mostenire	میراث	N;INDF;FEM;SG	N;SG
mostenire	ارث	mostenire	ارث	N;INDF;FEM;SG	N;SG
mostenire	میراثی	mostenire	میراثی	N;INDF;FEM;SG	N;SG
mostenire	میراث	mostenire	میراث	N;INDF;FEM;SG	N;SG
mode	حالت	mode	حالت	N;INDF;MASC;SG	N;SG
negocierile	مذاکرات	negociere	مذاکره	N;DEF;FEM;PL	N;PL
linda	لیندا	lindă	لیندا	N;DEF;FEM;SG	N;SG
split	شکافتن	split	شکافتن	N;INDF;MASC;SG	N;SG
cascada	آبشار	cascada	آبشار	N;DEF;FEM;SG	N;SG
cascada	ابشار	cascada	ابشار	N;DEF;FEM;SG	N;SG
cascada	آبشار	cascada	آبشار	N;DEF;FEM;SG	N;SG
cascada	ابشار	cascada	ابشار	N;DEF;FEM;SG	N;SG
gruparea	گروهبندی	grupare	گروهبندی	N;DEF;FEM;SG	N;SG
intentionat	ارادی	intentiona	ارادی	N;INDF;MASC;SG	N;SG
intentionat	عمدی	intentiona	None	N;INDF;MASC;SG	N;SG
intentionat	عمد	intentiona	عمد	N;INDF;MASC;SG	N;SG
iulius	جولیوس	iulius	جولیوس	N;INDF;MASC;SG	N;SG
iulius	ژولیوس	iulius	ژولیوس	N;INDF;MASC;SG	N;SG
virusul	ویروس	virus	ویروس	N;DEF;MASC;SG	N;SG
tribul	قبیله	trib	None	N;DEF;MASC;SG	N;SG
petrolul	نفت	petrol	نفت	N;DEF;MASC;SG	N;SG
petrolul	اویل	petrol	اویل	N;DEF;MASC;SG	N;SG
petrolul	روغن	petrol	روغن	N;DEF;MASC;SG	N;SG
erori	خطاهای	eroare	خطا	N;INDF;FEM;PL	N;PL
erori	خطاها	eroare	خطا	N;INDF;FEM;PL	N;PL
unghiul	زاویۀ	unghi	زاویۀ	N;DEF;MASC;SG	N;SG
unghiul	زاویه	unghi	زاویه	N;DEF;MASC;SG	N;SG
cuneo	کونیو	cunoo	کونیو	N;INDF;SG	N;SG
msg	msg	msg	msg	N;INDF;MASC;SG	N;SG
masacrul	کشتار	masacru	کشتار	N;DEF;MASC;SG	N;SG
patria	میهن	patrie	میهن	N;DEF;FEM;SG	N;SG
capitole	فصلها	capitol	فصل	N;INDF;FEM;PL	N;PL
hessa	هسه	hessa	هسه	N;INDF;MASC;SG	N;SG
hessa	هسن	hessa	هسن	N;INDF;MASC;SG	N;SG
musulman	مسلم	musulman	مسلم	ADJ;INDF;MASC;SG	ADJ
omagiu	خراج	omagiu	خراج	N;INDF;MASC;SG	N;SG
negativa	منفی	negativa	منفی	ADJ;DEF;FEM;SG	ADJ
zborul	پروازی	zbor	پروازی	N;DEF;MASC;SG	N;SG
zborul	پرواز	zbor	پرواز	N;DEF;MASC;SG	N;SG
voluntar	داوطلبانه	voluntar	داوطلبانه	ADJ;INDF;MASC;SG	ADJ
tramvai	تراموا	tramvai	تراموا	N;INDF;MASC;SG	N;SG
responsabilitatea	مسولیت	responsabilitate	مسولیت	N;DEF;FEM;SG	N;SG
responsabilitatea	مسئولیتی	responsabilitate	مسئولیتی	N;DEF;FEM;SG	N;SG
responsabilitatea	مسئولیت	responsabilitate	مسئولیت	N;DEF;FEM;SG	N;SG
stanca	سنگی	stancă	سنگی	N;DEF;FEM;SG	N;SG
stanca	صخره	stancă	None	N;DEF;FEM;SG	N;SG
stanca	راک	stancă	راک	N;DEF;FEM;SG	N;SG
stanca	سنگی	stancă	سنگی	N;DEF;FEM;SG	N;SG
stanca	صخره	stancă	None	N;DEF;FEM;SG	N;SG
stanca	راک	stancă	راک	N;DEF;FEM;SG	N;SG
sfert	ربع	sfert	ربع	N;INDF;MASC;SG	N;SG
sfert	کوارتر	sfert	کوارتر	N;INDF;MASC;SG	N;SG
violente	خشن	violent	None	ADJ;INDF;FEM;PL	ADJ
colt	گوشه	colt	گوشه	N;INDF;MASC;SG	N;SG
colt	گوشه	colt	گوشه	N;INDF;MASC;SG	N;SG
colt	کولت	colt	کولت	N;INDF;MASC;SG	N;SG
colt	کلت	colt	None	N;INDF;MASC;SG	N;SG
esec	خرابی	esec	خرابی	N;INDF;MASC;SG	N;SG
esec	شکست	esec	شکست	N;INDF;MASC;SG	N;SG
esec	نارسایی	esec	نارسایی	N;INDF;MASC;SG	N;SG
esec	خرابی	esec	خرابی	N;INDF;MASC;SG	N;SG
esec	شکست	esec	شکست	N;INDF;MASC;SG	N;SG
esec	نارسایی	esec	نارسایی	N;INDF;MASC;SG	N;SG
esec	خرابی	esec	خرابی	N;INDF;MASC;SG	N;SG
trib	قبیله	trib	None	N;INDF;MASC;SG	N;SG
anatomie	تشریح	anatomie	تشریح	N;INDF;FEM;SG	N;SG
anatomie	آناتومی	anatomie	آناتومی	N;INDF;FEM;SG	N;SG
currentclub	currentclub	currentclub	currentclub	N;INDF;MASC;SG	N;SG
yeung	یئونگ	yeung	یئونگ		
eficienta	مؤثر	eficient	مؤثر	ADJ;DEF;FEM;SG	ADJ
proiectare	دیزاین	proiectare	دیزاین	N;INDF;FEM;SG	N;SG
proiectare	طرح	proiectare	طرح	N;INDF;FEM;SG	N;SG
proiectare	طراحی	proiectare	طراحی	N;INDF;FEM;SG	N;SG
proiectare	طراحی	proiectare	طراحی	N;INDF;FEM;SG	N;SG
sancho	سانچو	sancho	سانچو	N;INDF;MASC;SG	N;SG
violenta	خشونت	violentă	خشونت	N;DEF;FEM;SG	N;SG
violenta	خشونت	violentă	خشونت	N;DEF;FEM;SG	N;SG
violenta	خشونت	violentă	خشونت	N;DEF;FEM;SG	N;SG
violenta	خشونت	violentă	خشونت	N;DEF;FEM;SG	N;SG
oferta	پیشکش	ofertă	پیشکش	N;DEF;FEM;SG	N;SG
oferta	پیشنهاد	ofertă	پیشنهاد	N;DEF;FEM;SG	N;SG
oferta	تقدیم	ofertă	تقدیم	N;DEF;FEM;SG	N;SG
oferta	پیشکش	ofertă	پیشکش	N;DEF;FEM;SG	N;SG
oferta	پیشنهاد	ofertă	پیشنهاد	N;DEF;FEM;SG	N;SG
oferta	تقدیم	ofertă	تقدیم	N;DEF;FEM;SG	N;SG
furtuna	استورم	furtună	استورم	N;DEF;FEM;SG	N;SG
furtuna	توفان	furtună	توفان	N;DEF;FEM;SG	N;SG
furtuna	طوفان	furtună	طوفان	N;DEF;FEM;SG	N;SG
furtuna	استورم	furtună	استورم	N;DEF;FEM;SG	N;SG
furtuna	توفان	furtună	توفان	N;DEF;FEM;SG	N;SG
furtuna	طوفان	furtună	طوفان	N;DEF;FEM;SG	N;SG
vatican	واتیکان	vatican	واتیک	N;INDF;MASC;SG	N;SG
remarcabil	برجسته	remarcabil	برجسته	ADJ;INDF;MASC;SG	ADJ
regulate	منظم	regulat	منظم	ADJ;INDF;FEM;PL	ADJ
productions	productions	productions	productions	N;INDF;MASC;SG	N;SG
natiune	ملت	natiune	ملت	N;INDF;FEM;SG	N;SG
natiune	ملتی	natiune	ملت	N;INDF;FEM;SG	N;SG
natiune	ملت	natiune	ملت	N;INDF;FEM;SG	N;SG
natiune	ملتی	natiune	ملت	N;INDF;FEM;SG	N;SG
mal	مال	mal	مال	N;INDF;MASC;SG	N;SG
adapost	پناهگاه	adapost	پناهگاه	N;INDF;MASC;SG	N;SG
adapost	پناه	adapost	None	N;INDF;MASC;SG	N;SG
adapost	پناهگاه	adapost	پناهگاه	N;INDF;MASC;SG	N;SG
adapost	پناه	adapost	None	N;INDF;MASC;SG	N;SG
status	وضعیت	status	وضعیت	N;INDF;MASC;SG	N;SG
prada	طعمه	pradă	طعمه	N;DEF;FEM;SG	N;SG
prada	شکارش	pradă	شکارش	N;DEF;FEM;SG	N;SG
prada	غارت	pradă	غارت	N;DEF;FEM;SG	N;SG
prada	طعمه	pradă	طعمه	N;DEF;FEM;SG	N;SG
prada	شکارش	pradă	شکارش	N;DEF;FEM;SG	N;SG
prada	پرادا	pradă	پرادا	N;DEF;FEM;SG	N;SG
franconia	فرانکونیا	franconie	فرانکونیا	N;DEF;FEM;SG	N;SG
regiment	هنگ	regiment	هنگ	N;INDF;MASC;SG	N;SG
artista	هنرمند	artista	هنرمند	N;DEF;FEM;SG	N;SG
artista	artist	artista	None	N;DEF;FEM;SG	N;SG
artista	هنرمندی	artista	هنرمند	N;DEF;FEM;SG	N;SG
artista	هنرمند	artista	هنرمند	N;DEF;FEM;SG	N;SG
artista	artist	artista	None	N;DEF;FEM;SG	N;SG
artista	هنرمندی	artista	هنرمند	N;DEF;FEM;SG	N;SG
titan	تیتانیوم	titan	تیتانیوم	N;INDF;MASC;SG	N;SG
titan	تیتان	titan	تیتان	N;INDF;MASC;SG	N;SG
titan	تایتان	titan	تایت	N;INDF;MASC;SG	N;SG
ordinele	دستورات	ordin	دستور	N;DEF;FEM;PL	N;PL
ozn	ufo	ozn	ufo	N;INDF;MASC;SG	N;SG
valabil	معتبر	valabil	معتبر	ADJ;INDF;MASC;SG	ADJ
facultate	دانشگاه	facultate	دانشگاه	N;INDF;FEM;SG	N;SG
facultate	qom	facultate	qom	N;INDF;FEM;SG	N;SG
facultate	کالج	facultate	None	N;INDF;FEM;SG	N;SG
facultate	دانشکده	facultate	دانشکده	N;INDF;FEM;SG	N;SG
facultate	دانشگاه	facultate	دانشگاه	N;INDF;FEM;SG	N;SG
facultate	دانشگاهی	facultate	دانشگاهی	N;INDF;FEM;SG	N;SG
apache	آپاچی	apache	آپاچی	N;INDF;MASC;SG	N;SG
rome	رُم	romă	رُم	N;INDF;MASC;SG	N;SG
rome	رم	romă	رم	N;INDF;MASC;SG	N;SG
monarhiei	شهریاری	monarhie	شهریاری	N;DEF;FEM;SG	N;SG
negocieri	مذاکرات	negociere	مذاکره	N;INDF;FEM;PL	N;PL
negocieri	مذاکرات	negociere	مذاکره	N;INDF;FEM;PL	N;PL
pasarea	پرنده	pasare	پرنده	N;DEF;FEM;SG	N;SG
vaduva	بیوه	vaduva	بیوه	N;DEF;FEM;SG	N;SG
vaduva	بیوه	vaduva	بیوه	N;DEF;FEM;SG	N;SG
vaduva	بیوه	vaduva	بیوه	N;DEF;FEM;SG	N;SG
vaduva	بیوه	vaduva	بیوه	N;DEF;FEM;SG	N;SG
ark	آرک	ark	آرک	N;INDF;MASC;SG	N;SG
caseta	کاست	caseta	کاست#کار	N;DEF;FEM;SG	N;SG
caseta	نوار	caseta	None	N;DEF;FEM;SG	N;SG
caseta	کاست	caseta	کاست#کار	N;DEF;FEM;SG	N;SG
musical	موزیکال	musical	موزیکال	N;INDF;MASC;SG	N;SG
fericit	خوشبخت	fericit	خوشبخت	ADJ;INDF;MASC;SG	ADJ
fericit	خوش	fericit	خوش	ADJ;INDF;MASC;SG	ADJ
fericit	شاد	fericit	شاد	ADJ;INDF;MASC;SG	ADJ
fericit	خوشحال	fericit	None	ADJ;INDF;MASC;SG	ADJ
poze	عکسها	poză	عکس	N;INDF;FEM;PL	N;PL
poze	تصاویر	poză	تصویر	N;INDF;FEM;PL	N;PL
poze	عکسها	poză	عکس	N;INDF;FEM;PL	N;PL
procent	درصد	procent	درصد	N;INDF;MASC;SG	N;SG
procent	درصدی	procent	درصدی	N;INDF;MASC;SG	N;SG
procent	درصد	procent	درصد	N;INDF;MASC;SG	N;SG
armat	مسلح	armat	None	ADJ;INDF;MASC;SG	ADJ
mongolii	مغولها	mongol	مغول	N;DEF;MASC;PL	N;PL
sodiu	سدیم	sodiu	سدیم	N;INDF;MASC;SG	N;SG
tentativa	تلاش	tentativa	تلاش	N;DEF;FEM;SG	N;SG
tentativa	احتمالی	tentativa	احتمالی	N;DEF;FEM;SG	N;SG
tentativa	تلاش	tentativa	تلاش	N;DEF;FEM;SG	N;SG
lut	گلی	lut	گل	N;INDF;MASC;SG	N;SG
raspandire	پخش	raspandire	پخش	N;INDF;FEM;SG	N;SG
patricia	پاتریشیا	patricie	پاتریشیا	N;DEF;FEM;SG	N;SG
liberty	لیبرتی	liberty	لیبرتی	N;INDF;MASC;SG	N;SG
esenta	فروهر	esent	فروهر	N;DEF;FEM;SG	N;SG
esenta	گوهر	esent	None	N;DEF;FEM;SG	N;SG
esenta	اسانس	esent	اسانس	N;DEF;FEM;SG	N;SG
esenta	فروهر	esent	فروهر	N;DEF;FEM;SG	N;SG
esenta	گوهر	esent	None	N;DEF;FEM;SG	N;SG
esenta	اسانس	esent	اسانس	N;DEF;FEM;SG	N;SG
cetatenia	تابعیت	cetatenie	None	N;DEF;FEM;SG	N;SG
cetatenia	ملیت	cetatenie	ملیت	N;DEF;FEM;SG	N;SG
cetatenia	ملیتی	cetatenie	ملیتی	N;DEF;FEM;SG	N;SG
cetatenia	تابعیت	cetatenie	None	N;DEF;FEM;SG	N;SG
cetatenia	شهروندی	cetatenie	شهروندی	N;DEF;FEM;SG	N;SG
usd	usd	usd	usd	N	N;SG
spada	شمشیر	spadă	شمشیر	N;DEF;FEM;SG	N;SG
ciuperci	قارچها	ciupercă	قارچ	N;INDF;FEM;PL	N;PL
ciuperci	قارچها	ciupercă	قارچ	N;INDF;FEM;PL	N;PL
ciuperci	قارچهای	ciupercă	قارچ	N;INDF;FEM;PL	N;PL
maryland	مریلند	maryland	مریلند	N;INDF;MASC;SG	N;SG
criteriul	فرقان	criteriu	فرقان	N;DEF;MASC;SG	N;SG
criteriul	معیار	criteriu	معیار	N;DEF;MASC;SG	N;SG
criteriul	ملاک	criteriu	None	N;DEF;MASC;SG	N;SG
optica	نوری	optic	نوری	N;DEF;FEM;SG	N;SG
optica	اپتیک	optic	اپتیک	N;DEF;FEM;SG	N;SG
optica	اپتیک	optic	اپتیک	N;DEF;FEM;SG	N;SG
profesoara	معلم	profesoară	معلم	N;DEF;FEM;SG	N;SG
profesoara	معلمی	profesoară	معلم	N;DEF;FEM;SG	N;SG
profesoara	teacher	profesoară	teacher	N;DEF;FEM;SG	N;SG
profesoara	آموزگار	profesoară	آموزگار	N;DEF;FEM;SG	N;SG
