die	το	die	ο	DET;DEF	DET;NOM;DEF;NEUT;SG
dood	νεκρή	dood	νεκρός	N;SG	N;NOM;FEM;SG
dood	νεκρό	dood	νεκρός	N;SG	N;ACC;MASC;SG
amptelike	επίσημο	amptelik	επίσημος	ADJ;NOM	ADJ;NOM;NEUT;SG
amptelike	επίσημη	amptelik	επίσημος	ADJ;NOM	ADJ;NOM;FEM;SG
dieselfde	ίδια	dieselfde	ίδιος	ADJ;NOM	ADJ;NOM;FEM;SG
dieselfde	ίδιο	dieselfde	ίδιος	ADJ;NOM	ADJ;NOM;NEUT;SG
dieselfde	ίδιοι	dieselfde	ίδιος	ADJ;NOM	ADJ;NOM;MASC;PL
wêreld	κόσμο	wêreld	κόσμος	N;SG	N;ACC;MASC;SG
wêreld	κόσμος	wêreld	κόσμος	N;SG	N;NOM;MASC;SG
aantal	ποσότητα	aantal	ποσότητα	N;SG	N;NOM;FEM;SG
plaaslike	τοπικός	plaaslik	τοπικός	ADJ;NOM	ADJ;NOM;MASC;SG
plaaslike	τοπική	plaaslik	τοπικός	ADJ;NOM	ADJ;NOM;FEM;SG
plaaslike	τοπικό	plaaslik	τοπικός	ADJ;NOM	ADJ;NOM;NEUT;SG
plaaslike	τοπικές	plaaslik	τοπικός	ADJ;NOM	ADJ;NOM;FEM;PL
dikwels	συχνα	dikwels	συχνα	ADV	ADV
dikwels	συχνά	dikwels	συχνά	ADV	ADV
internasionale	διεθνείς	internasionaal	διεθνής	ADJ;NOM	ADJ;NOM;FEM;PL
internasionale	διεθνής	internasionaal	διεθνής	ADJ;NOM	ADJ;NOM;FEM;SG
internasionale	διεθνές	internasionaal	διεθνής	ADJ;NOM	ADJ;NOM;NEUT;SG
voëls	πουλιά	voël	πουλί	N;PL	N;NOM;NEUT;PL
voëls	πτηνά	voël	πτηνώ	N;PL	N;NOM;NEUT;PL
steeds	ακόμη	steeds	ακόμα	ADV	ADV
steeds	ακομα	steeds	ακομα	ADV	ADV
steeds	ακόμα	steeds	ακόμα	ADV	ADV
groep	όμιλος	groep	όμιλος	N;SG	N;NOM;MASC;SG
groep	ομαδα	groep	ομαδα	N;SG	N;NOM;FEM;SG
groep	ομάδα	groep	ομάδα	N;SG	N;ACC;FEM;SG
hoofstad	κεφάλαιο	hoofstad	κεφάλαιο	N;SG	N;NOM;NEUT;SG
hoofstad	κεφαλαίου	hoofstad	κεφάλαιο	N;SG	N;GEN;NEUT;SG
hoofstad	πρωτεύουσα	hoofstad	πρωτεύουσα	N;SG	N;NOM;FEM;SG
hoofstad	κεφαλαίο	hoofstad	κεφαλαίο	N;SG	N;NOM;NEUT;SG
state	πολιτείες	staat	πολιτεία	N;PL	N;NOM;FEM;PL
state	κρατών	staat	κράτος	N;PL	N;GEN;NEUT;PL
state	κράτη	staat	κράτος	N;PL	N;NOM;NEUT;PL
water	νερό	water	νερό	N;SG	N;NOM;NEUT;SG
water	νερο	water	νερο	N;SG	N;NOM;NEUT;SG
water	σπάτουλα	water	σπάτουλα	N;SG	N;NOM;NEUT;SG
einde	τελείωμα	einde	τελείωμα	N;SG	N;NOM;NEUT;SG
einde	λήξη	einde	λήξη	N;SG	N;ACC;FEM;SG
duitsland	γερμανια	duitsland	γερμανια	N;SG	N;ACC;FEM;SG
regering	κυβερνηση	regering	κυβερνηση	N;SG	N;ACC;FEM;SG
regering	κυβέρνηση	regering	κυβέρνηση	N;SG	N;NOM;FEM;SG
elke	κάθε	elk	κάθε	PRO	PRO;ACC;FEM;SG;3
dae	ημέρες	dag	ημέρα	N;PL	N;NOM;FEM;PL
dae	μέρες	dag	μέρα	N;PL	N;NOM;FEM;PL
oorlog	πόλεμος	oorlog	πόλεμος	N;SG	N;NOM;MASC;SG
oorlog	πόλεμο	oorlog	πόλεμος	N;SG	N;ACC;MASC;SG
politieke	πολιτικό	politiek	πολιτικός	ADJ;NOM	ADJ;NOM;NEUT;SG
besluit	αποφασίζει	besluit	αποφασίζω	V;PRS	V;IPFV;IND;SG;3;PRS;FIN;ACT
besluit	αποφασίστε	besluit	αποφασίζω	V;PRS	V;PFV;IMP;PL;2;FIN;ACT
besluit	αποφασίσει	besluit	αποφασίζω	V;PRS	V;PFV;NFIN;ACT
geskiedenis	ιστορία	geskiedenis	ιστορία	N;SG	N;NOM;FEM;SG
geskiedenis	ιστορια	geskiedenis	ιστορια	N;SG	N;NOM;FEM;SG
vis	ψάρι	vis	ψάρι	N;SG	N;NOM;NEUT;SG
wetenskaplike	επιστημονική	wetenskaplik	επιστημονικός	ADJ;NOM	ADJ;NOM;FEM;SG
wetenskaplike	επιστημονικό	wetenskaplik	επιστημονικός	ADJ;NOM	ADJ;NOM;NEUT;SG
ontwikkel	αναπτυχθεί	ontwikkel	αναπτύσσω	V;PRS	V;PFV;NFIN;PASS
lande	χώρες	land	χώρα	N;PL	N;NOM;FEM;PL
lande	χωρες	land	χωρα	N;PL	N;NOM;FEM;PL
seun	αγοράκι	seun	αγοράκι	N;SG	N;NOM;NEUT;SG
seun	αγόρι	seun	αγόρι	N;SG	N;NOM;NEUT;SG
seun	γιος	seun	γιος	N;SG	N;NOM;MASC;SG
seun	υιός	seun	υιός	N;SG	N;NOM;MASC;SG
algemene	γενικά	algemeen	γενικά	ADV	ADV
verskillende	διαφορετικός	verskil	διαφορετικός	ADJ;NOM	ADJ;NOM;MASC;SG
verskillende	διαφορετικοί	verskil	διαφορετικός	ADJ;NOM	ADJ;NOM;MASC;PL
verskillende	διαφορετική	verskil	διαφορετικός	ADJ;NOM	ADJ;NOM;FEM;SG
verskillende	διαφορετικό	verskil	διαφορετικός	ADJ;NOM	ADJ;NOM;NEUT;SG
belangrike	σημαντική	belangrik	σημαντικός	ADJ;NOM	ADJ;NOM;FEM;SG
belangrike	σημαντικό	belangrik	σημαντικός	ADJ;NOM	ADJ;NOM;NEUT;SG
belangrike	σημαντικός	belangrik	σημαντικός	ADJ;NOM	ADJ;NOM;MASC;SG
kinders	παιδια	kind	παιδί	N;PL	N;NOM;NEUT;PL
kinders	παιδιά	kind	παιδί	N;PL	N;NOM;NEUT;PL
kinders	παιδια	kind	παιδί	N;PL	N;NOM;NEUT;PL
kinders	τέκνα	kind	τέκνα	N;PL	N;NOM;NEUT;PL
kinders	παιδιά	kind	παιδί	N;PL	N;NOM;NEUT;PL
neem	πάρτε	neem	πάρτε	V;PRS	V;IPFV;IND;PL;2;PRS;FIN;ACT
neem	πάρε	neem	πάρε	V;PRS	V;IPFV;IND;SG;1;PRS;FIN;ACT
vertaal	μεταφράσω	vertaal	μεταφράζω	V;PRS	V;PFV;IND;SG;1;FIN;ACT
munisipaliteit	δήμος	munisipaliteit	δήμος	N;SG	N;NOM;MASC;SG
tans	τώρα	tans	τώρα	ADV	ADV
tans	τωρα	tans	τωρα	ADV	ADV
republiek	δημοκρατια	republiek	δημοκρατια	N;SG	N;NOM;FEM;SG
republiek	δημοκρατία	republiek	δημοκρατία	N;SG	N;NOM;FEM;SG
verder	περαιτέρω	ver	περαιτέρω	ADV;CMPR	ADV
plek	τόπος	plek	τόπος	N;SG	N;NOM;MASC;SG
plek	μέρος	plek	μέρος	N;SG	N;NOM;NEUT;SG
ongeveer	περίπου	ongeveer	περίπου	ADV	ADV
europese	ευρωπαϊκή	europees	ευρωπαϊκός	ADJ;NOM	ADJ;NOM;FEM;SG
gehou	άρεσε	hou	αρώνω	V;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;ACT
tydperk	διάρκεια	tydperk	διάρκεια	N;SG	N;ACC;FEM;SG
tydperk	διαρκεια	tydperk	διαρκεια	N;SG	N;ACC;FEM;SG
maande	μήνες	maand	μήνας	N;PL	N;NOM;MASC;PL
maande	μηνών	maand	μήνας	N;PL	N;GEN;MASC;PL
skool	σχολείο	skool	σχολείο	N;SG	N;NOM;NEUT;SG
skool	σχολη	skool	σχολος	N;SG	N;NOM;FEM;SG
skool	σχολειο	skool	σχολειο	N;SG	N;NOM;NEUT;SG
skool	σχολή	skool	σχολή	N;SG	N;NOM;FEM;SG
per	ανά	per	ανά	ADP	ADP
familie	οικογενεια	familie	οικογενεια	N;SG	N;ACC;FEM;SG
familie	οικογένεια	familie	οικογένεια	N;SG	N;NOM;FEM;SG
voorkom	αποτρέψει	voorkom	αποτρέπω	V;PRS	V;PFV;IND;SG;3;FIN;ACT
geneem	τραβήχτηκε	neem	τραβήχω	V;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;PASS
eiland	νησί	eiland	νησί	N;SG	N;NOM;NEUT;SG
eiland	νησι	eiland	νησι	N;SG	N;NOM;NEUT;SG
volg	ακολουθήστε	volg	ακολουθώ	V;PRS	V;PFV;IND;PL;2;FIN;PASS
volg	ακολουθείστε	volg	ακολουθώ	V;PRS	V;IPFV;IND;PL;2;FIN;ACT
volg	ακολουθώντας	volg	ακολουθώ	V;PRS	V;IPFV;V.CVB;ACT
volg	ακολουθεί	volg	ακολουθώ	V;PRS	V;IPFV;IND;SG;3;PRS;FIN;ACT
vyf	πεντε	vyf	πεντε	NUM	NUM
vyf	πέντε	vyf	πέντε	NUM	NUM;NOM;MASC;PL
sonder	χωρίς	sonder	χωρίς	ADP	ADP
aarde	γη	aarde	γη	N;SG	N;NOM;FEM;SG
aarde	γή	aarde	γή	N;SG	N;ACC;FEM;SG
gee	δώσε	gee	δίνω	V;PRS	V;IPFV;IND;SG;1;PRS;FIN;ACT
rol	ρόλος	rol	ρόλος	N;SG	N;NOM;MASC;SG
rol	ρόλο	rol	ρόλος	N;SG	N;ACC;MASC;SG
rol	ρολό	rol	ρολός	N;SG	N;NOM;NEUT;SG
vrou	γυναικα	vrou	γυναικα	N;SG	N;NOM;FEM;SG
vrou	γυναίκα	vrou	γυναίκα	N;SG	N;NOM;FEM;SG
vrou	γυναίκα	vrou	γυναίκα	N;SG	N;NOM;FEM;SG
vrou	σύζυγος	vrou	σύζυγος	N;SG	N;NOM;MASC;SG
vrou	σύζυγο	vrou	σύζυγος	N;SG	N;ACC;FEM;SG
gebiede	εδάφη	gebied	εδάφη	N;PL	N;NOM;NEUT;PL
gebiede	περιοχές	gebied	περιοχή	N;PL	N;NOM;FEM;PL
dag	μερα	dag	μερα	N;SG	N;NOM;FEM;SG
dag	ημερα	dag	ημερα	N;SG	N;NOM;FEM;SG
dag	ημέρα	dag	ημέρα	N;SG	N;NOM;FEM;SG
dag	μέρα	dag	μέρα	N;SG	N;ACC;FEM;SG
moderne	μοντέρνο	modern	μοντέρνο	N;SG	N;NOM;NEUT;SG
woord	λέξη	woord	λέξη	N;SG	N;ACC;FEM;SG
woord	λεξη	woord	λεξη	N;SG	N;NOM;FEM;SG
president	πρόεδρος	president	πρόεδρος	N;SG	N;ACC;MASC;SG
president	πρόεδρε	president	πρόεδρος	N;SG	N;VOC;MASC;SG
president	πρόεδρο	president	πρόεδρος	N;SG	N;ACC;MASC;SG
koninkryk	βασίλειο	koninkryk	βασίλειο	N;SG	N;NOM;NEUT;SG
tale	γλώσσες	taal	γλώσσα	N;PL	N;NOM;FEM;PL
ontvang	λαμβάνουν	ontvang	λαμβάνω	V;PRS	V;IPFV;IND;PL;3;PRS;FIN;ACT
ontvang	λάβετε	ontvang	λαμβάνω	V;PRS	V;PFV;IMP;PL;2;FIN;ACT
webwerf	ιστοσελίδα	webwerf	ιστοσελίδα	N;SG	N;NOM;FEM;SG
webwerf	ιστότοπος	webwerf	ιστότοπος	N;SG	N;NOM;MASC;SG
staat	κράτος	staat	κράτος	N;SG	N;NOM;NEUT;SG
staat	πολιτεία	staat	πολιτεία	N;SG	N;ACC;FEM;SG
staat	φύλλο	staat	φύλλο	N;SG	N;NOM;NEUT;SG
staat	σεντόνι	staat	σεντόνι	N;SG	N;NOM;NEUT;SG
vandag	σήμερα	vandag	σήμερα	ADV	ADV
aanvaar	δεχτώ	aanvaar	δεχτώ	V;PRS	V;IPFV;IND;SG;1;PRS;FIN;ACT
aanvaar	δεχτείτε	aanvaar	δέχομαι	V;PRS	V;PFV;IMP;PL;2;FIN;ACT
hou	κρατήστε	hou	κρατώ	V;PRS	V;IPFV;IND;PL;2;PRS;FIN;ACT
hou	κράτα	hou	κράτα	V;PRS	V;IPFV;IND;SG;1;PRS;FIN;ACT
hou	κρατήστε	hou	κρατώ	V;PRS	V;IPFV;IND;PL;2;PRS;FIN;ACT
hou	κράτα	hou	κράτα	V;PRS	V;IPFV;IND;SG;1;PRS;FIN;ACT
geskryf	γράφτηκε	skryf	γράφτω	V;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;PASS
geskryf	γραμμένα	skryf	γραμμένος	V;PST;V.PTCP	V;PFV;NOM;NEUT;PL;V.PTCP;PASS
geskryf	γράψει	skryf	γράψει	V;PST;V.PTCP	V;PFV;NFIN;ACT
geskryf	γραμμένο	skryf	γραμμένος	V;PST;V.PTCP	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
geskryf	κάηκαν	skryf	κάηκαν	V;PST;V.PTCP	V;IPFV;IND;PL;3;PST;FIN;ACT
geskryf	κάηκε	skryf	κάκε	V;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;ACT
geskryf	έκαψε	skryf	κάφω	V;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;ACT
hele	ολόκληρη	heel	ολόκληρος	ADJ;NOM	ADJ;NOM;FEM;SG
hele	ολόκληρο	heel	ολόκληρος	ADJ;NOM	ADJ;NOM;NEUT;SG
bevat	περιέχει	bevat	περιέχω	V;PRS	V;IPFV;IND;SG;3;PRS;FIN;ACT
skrywer	συγγραφέας	skrywer	συγγραφέα	N;SG	N;NOM;MASC;SG
skrywer	συγγραφέα	skrywer	συγγραφέα	N;SG	N;VOC;MASC;SG
skrywer	συγγραφέας	skrywer	συγγραφέα	N;SG	N;NOM;MASC;SG
skrywer	συγγραφέα	skrywer	συγγραφέα	N;SG	N;VOC;MASC;SG
skrywer	συντάκτης	skrywer	συντάκτης	N;SG	N;NOM;MASC;SG
bereik	φτάσει	bereik	φτάνω	V;PRS	V;PFV;NFIN;ACT
russiese	ρωσική	russies	ρωσικός	ADJ;NOM	ADJ;NOM;FEM;SG
inwoners	κάτοικοι	inwoner	κάτοικος	N;PL	N;NOM;MASC;PL
inwoners	κατοίκους	inwoner	κάτοικος	N;PL	N;ACC;MASC;PL
beteken	σημαίνει	beteken	σημαίνω	V;PRS	V;IPFV;IND;SG;3;PRS;FIN;ACT
man	σύζυγος	man	σύζυγος	N;SG	N;NOM;MASC;SG
man	σύζυγο	man	σύζυγος	N;SG	N;ACC;FEM;SG
man	άνθρωπος	man	άνθρωπος	N;SG	N;NOM;MASC;SG
huis	πατρίδα	huis	πατρίδα	N;SG	N;ACC;FEM;SG
huis	σπιτι	huis	σπιτι	N;SG	N;NOM;NEUT;SG
huis	σπίτι	huis	σπίτι	N;SG	N;NOM;NEUT;SG
huis	σπιτι	huis	σπιτι	N;SG	N;NOM;NEUT;SG
huis	σπίτι	huis	σπίτι	N;SG	N;NOM;NEUT;SG
besoek	επισκεφθείτε	besoek	επισκέπτομαι	V;PRS	V;PFV;IND;PL;2;FIN;PASS
administratiewe	διοικητική	administratief	διοικητικός	ADJ;NOM	ADJ;NOM;FEM;SG
administratiewe	διοικητικές	administratief	διοικητικός	ADJ;NOM	ADJ;NOM;FEM;PL
administratiewe	διοικητικός	administratief	διοικητικός	ADJ;NOM	ADJ;NOM;MASC;SG
administratiewe	διοικητικό	administratief	διοικητικός	ADJ;NOM	ADJ;NOM;NEUT;SG
bekende	διάσημη	bekend	διάσημος	ADJ;NOM	ADJ;NOM;FEM;SG
gespeel	έπαιζε	speel	παίζω	V;PST;V.PTCP	V;IPFV;IND;SG;3;PST;FIN;ACT
gespeel	έπαιζα	speel	έπαιζα	V;PST;V.PTCP	V;IPFV;IND;SG;1;PST;FIN;ACT
gespeel	έπαιξε	speel	παίζω	V;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;ACT
gespeel	παίχτηκε	speel	παίσταμαι	V;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;PASS
gespeel	έπαιξα	speel	δαπαίζω	V;PST;V.PTCP	V;PFV;IND;SG;1;PST;FIN;ACT
kerke	εκκλησίες	kerk	εκκλησία	N;PL	N;NOM;FEM;PL
skryf	γράψω	skryf	γράψω	V;PRS	V;PFV;IND;SG;1;FIN;ACT
skryf	γράψτε	skryf	γράψτε	V;PRS	V;PFV;IMP;PL;2;FIN;ACT
skryf	γράψε	skryf	γράφω	V;PRS	V;IPFV;IND;SG;1;PRS;FIN;ACT
skryf	κάψει	skryf	κάφει	V;PRS	V;PFV;NFIN;ACT
suidelike	νότιο	suidelik	νότιος	ADJ;NOM	ADJ;NOM;NEUT;SG
suidelike	νότιος	suidelik	νότιος	ADJ;NOM	ADJ;NOM;MASC;SG
gekry	βρέθηκαν	kry	βρίσκω	V;PST;V.PTCP	V;PFV;IND;PL;3;PST;FIN;PASS
gekry	βρεθηκε	kry	βρίσκω	V;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;PASS
gekry	βρήκα	kry	βρήκα	V;PST;V.PTCP	V;PFV;IND;SG;1;PST;FIN;ACT
gekry	βρήκε	kry	βρίσκω	V;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;ACT
gekry	βρέθηκε	kry	βρίσκω	V;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;PASS
gekom	ταξίδεψε	kom	ταξιδεύω	V;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;ACT
gekom	ταξίδευε	kom	ταξιδεύω	V;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;ACT
reeks	σειρά	reeks	σειρά	N;SG	N;ACC;FEM;SG
reeks	σειρα	reeks	σειρα	N;SG	N;NOM;FEM;SG
hoofsaaklik	πρωτίστως	hoofsaaklik	πρωτίστως	ADV	ADV
eilande	νησιά	eilande	νησί	N;PL	N;NOM;NEUT;PL
speel	παίξουμε	speel	παίζω	V;PRS	V;PFV;IND;PL;1;FIN;ACT
speel	παίζοντας	speel	παίζω	V;PRS	V;IPFV;V.CVB;ACT
