som	像	som	像	ADP	ADP
county	縣	county	縣	N;INDF;SG	N
større	更大	stor	更大	ADJ;CMPR	ADJ
kirke	教會	kirke	教會	N;INDF;MASC;SG	N
kirke	教堂	kirke	教堂	N;INDF;MASC;SG	N
gamle	舊	gammal	舊	ADJ;PL	ADJ
frem	向前	frem	向前	N;INDF;MASC;SG	N
artikler	文章	artikke	文章	N;INDF;FEM;PL	N
familien	家人	familie	家人	N;DEF;MASC;SG	N
familien	家屬	familie	家屬	N;DEF;MASC;SG	N
familien	家庭	familie	家庭	N;DEF;MASC;SG	N
eksempel	樣品	eksempel	樣品	N;INDF;NEUT;SG	N
eksempel	抽樣	eksempel	抽樣	N;INDF;NEUT;SG	N
eksempel	樣本	eksempel	樣本	N;INDF;NEUT;SG	N
eksempel	範例	eksempel	範例	N;INDF;NEUT;SG	N
ganger	時代	gange	時代	N;INDF;MASC;PL	N
ganger	時報	gange	時報	N;INDF;MASC;PL	N
litt	稍	litt	稍	ADJ;INDF;NEUT;SG	ADJ
ser	尋找	sjå	尋找	V;IND;PRS;FIN	V
ser	觀看	sjå	觀看	V;IND;PRS;FIN	V
ulike	不同	ulik	不同	ADJ;PL	ADJ
score	分數	score	分數	N;INDF;NEUT;SG	N
score	得分	score	得分	N;INDF;NEUT;SG	N
gruppe	群組	gruppe	群組	N;INDF;FEM;SG	N
gruppe	群	gruppe	群	N;INDF;FEM;SG	N
deretter	然後	deretter	然後	ADV	ADV
deretter	那麼	deretter	那麼	ADV	ADV
medlem	會員	medlem	會員	N;INDF;MASC;SG	N
medlem	成員	medlem	成員	N;INDF;MASC;SG	N
fem	五	fem	五	NUM;PL	NUM
fem	五	fem	五	NUM;PL	NUM
deler	股份	del	股份	N;INDF;MASC;PL	N
deler	部件	del	部件	N;INDF;MASC;PL	N
står	站立	stå	站立	V;IND;PRS;FIN	V
året	年度	år	年度	N;DEF;NEUT;SG	N
året	年份	år	年份	N;DEF;NEUT;SG	N
året	年	år	年	N;DEF;NEUT;SG	N
perioden	期間	periode	期間	N;DEF;MASC;SG	N
bygget	內建	bygg	內建	N;DEF;NEUT;SG	N
innbyggere	市民	innbyggere	市民	N;INDF;NEUT;SG	N
innbyggere	公民	innbyggere	公民	N;INDF;NEUT;SG	N
sønn	兒子	sønn	兒子	N;INDF;MASC;SG	N
språk	語言	språk	語言	N;INDF;NEUT;SG	N
språk	語文	språk	語文	N;INDF;NEUT;SG	N
språk	語言	språk	語言	N;INDF;NEUT;SG	N
språk	語	språk	語	N;INDF;NEUT;SG	N
språk	語文	språk	語文	N;INDF;NEUT;SG	N
forfatter	作家	forfatter	作家	N;INDF;FEM;SG	N
forfatter	作者	forfatter	作者	N;INDF;FEM;SG	N
forfatter	編劇	forfatter	編劇	N;INDF;FEM;SG	N
forfatter	作者	forfatter	作者	N;INDF;FEM;SG	N
fil	文件	fil	文件	N;INDF;MASC;SG	N
fil	檔案	fil	檔案	N;INDF;MASC;SG	N
menn	男性	mann	男性	N;INDF;MASC;PL	N
menn	男人	mann	男人	N;INDF;MASC;PL	N
menn	男子	mann	男子	N;INDF;MASC;PL	N
barn	小孩	barn	小孩	N;INDF;NEUT;PL	N
barn	兒童	barn	兒童	N;INDF;NEUT;PL	N
barn	兒童	barn	兒童	N;INDF;NEUT;PL	N
barn	孩子	barn	孩子	N;INDF;NEUT;PL	N
kamper	火柴	kamp	火柴	N;INDF;FEM;PL	N
kamper	遊戲	kamp	遊戲	N;INDF;FEM;PL	N
kamper	戰役	kamp	戰役	N;INDF;FEM;PL	N
spiller	播放	spille	播放	V;IND;PRS;FIN	V
spiller	玩	spille	玩	V;IND;PRS;FIN	V
spiller	播放	spille	播放	V;IND;PRS;FIN	V
personer	人	person	人	N;INDF;FEM;PL	N
personer	人們	person	人	N;INDF;FEM;PL	N;PL
personer	人民	person	人民	N;INDF;FEM;PL	N
gull	黃金	gull	黃金	N;INDF;NEUT;SG	N
gull	金色	gull	金色	N;INDF;NEUT;SG	N
forskjellige	不同	forskjellig	不同	ADJ;PL	ADJ
historie	動態	historie	動態	N;INDF;FEM;SG	N
historie	故事	historie	故事	N;INDF;FEM;SG	N
historie	歷史	historie	歷史	N;INDF;FEM;SG	N
liv	生命	liv	生命	N;INDF;NEUT;SG	N
liv	人生	liv	人生	N;INDF;NEUT;SG	N
fransk	法文	fransk	法文	N;INDF;MASC;SG	N
university	大學	university	大學	N;INDF;NEUT;SG	N
fotball	足球	fotball	足球	N;INDF;MASC;SG	N
fotball	美式	fotball	美式	N;INDF;MASC;SG	N
fotball	橄欖	fotball	橄欖	N;INDF;MASC;SG	N
resultat	結果	resultat	結果	N;INDF;NEUT;SG	N
resultat	成果	resultat	成果	N;INDF;NEUT;SG	N
resultat	結果	resultat	結果	N;INDF;NEUT;SG	N
slekt	家人	slekkje	家人	N;INDF;FEM;SG	N
slekt	家屬	slekkje	家屬	N;INDF;FEM;SG	N
slekt	家庭	slekkje	家庭	N;INDF;FEM;SG	N
viser	顯示	vise	顯示	V;IND;PRS;FIN	V
viser	顯示	vise	顯示	V;IND;PRS;FIN	V
viktig	重要	viktig	重要	ADJ;INDF;NEUT;SG	ADJ
president	總統	president	總統	N;INDF;MASC;SG	N
president	主席	president	主席	N;INDF;MASC;SG	N
bilde	照片	bilde	照片	N;INDF;NEUT;SG	N
bilde	圖片	bilde	圖片	N;INDF;NEUT;SG	N
bilde	影象	bilde	影象	N;INDF;NEUT;SG	N
bilde	影像	bilde	影像	N;INDF;NEUT;SG	N
bilde	圖片	bilde	圖片	N;INDF;NEUT;SG	N
bilde	像片	bilde	像片	N;INDF;NEUT;SG	N
bilde	照片	bilde	照片	N;INDF;NEUT;SG	N
allerede	已經	allerede	已經	ADV	ADV
kort	短期	kort	短期	N;INDF;NEUT;SG	N
kort	矮	kort	矮	N;INDF;NEUT;SG	N
sesongen	季	sesong	季	N;DEF;MASC;SG	N
sesongen	季節	sesong	季節	N;DEF;MASC;SG	N
kanskje	或	kanskje	或	ADV	ADV
kanskje	或	kanskje	或	ADV	ADV
kanskje	也	kanskje	也	ADV	ADV
skuespiller	女	skuespille	女	N;INDF;MASC;SG	N
skuespiller	女	skuespille	女	N;INDF;MASC;SG	N
skuespiller	演員	skuespille	演員	N;INDF;MASC;SG	N
skuespiller	男	skuespille	男	N;INDF;MASC;SG	N
skuespiller	演員	skuespille	演員	N;INDF;MASC;SG	N
form	形狀	form	形狀	N;INDF;FEM;SG	N
krigen	戰	krig	戰	N;DEF;MASC;SG	N
krigen	戰爭	krig	戰爭	N;DEF;MASC;SG	N
yrke	職業	yrke	職業	N;INDF;NEUT;SG	N
yrke	專業	yrke	專業	N;INDF;NEUT;SG	N
spesielt	具體	spesiell	具體	ADJ;INDF;NEUT;SG	ADJ
kvinner	女性	kvinne	女性	N;INDF;FEM;PL	N
kvinner	婦女	kvinne	婦女	N;INDF;FEM;PL	N
kvinner	女性	kvinne	女性	N;INDF;FEM;PL	N
nytt	新	ny	新	ADJ;INDF;NEUT;SG	ADJ
vanlig	普通	vanlig	普通	ADJ;INDF;NEUT;SG	ADJ
bilder	影像	bilder	影像	N;INDF;FEM;PL	N
bilder	圖片	bilder	圖片	N;INDF;FEM;PL	N
bilder	像片	bilder	像片	N;INDF;FEM;PL	N
bilder	照片	bilder	照片	N;INDF;FEM;PL	N
bilder	圖片	bilder	圖片	N;INDF;FEM;PL	N
bilder	像片	bilder	像片	N;INDF;FEM;PL	N
bilder	圖畫	bilder	圖畫	N;INDF;FEM;PL	N
bilder	照片	bilder	照片	N;INDF;FEM;PL	N
sport	體育	sport	體育	N;INDF;MASC;SG	N
sport	運動	sport	運動	N;INDF;MASC;SG	N
sport	體育	sport	體育	N;INDF;MASC;SG	N
sport	運動	sport	運動	N;INDF;MASC;SG	N
bruker	使用	bruke	使用	V;IND;PRS;FIN	V
bruker	使用	bruke	使用	V;IND;PRS;FIN	V
seks	六	seks	六	NUM;PL	NUM
seks	六	seks	六	NUM;PL	NUM
albumet	相簿	album	相簿	N;DEF;NEUT;SG	N
albumet	專輯	album	專輯	N;DEF;NEUT;SG	N
slaget	戰	slag	戰	N;DEF;NEUT;SG	N
slaget	戰役	slag	戰役	N;DEF;NEUT;SG	N
slaget	戰鬥	slag	戰鬥	N;DEF;NEUT;SG	N
nummer	數字	nummer	數字	N;INDF;NEUT;SG	N
nummer	數	nummer	數	N;INDF;NEUT;SG	N
nummer	號碼	nummer	號碼	N;INDF;NEUT;SG	N
nummer	編號	nummer	編號	N;INDF;NEUT;SG	N
universitetet	大學	universitet	大學	N;DEF;NEUT;SG	N
skole	學校	skole	學校	N;INDF;MASC;SG	N
film	電影	film	電影	N;INDF;MASC;SG	N
film	影片	film	影片	N;INDF;MASC;SG	N
film	電影	film	電影	N;INDF;MASC;SG	N
film	膠片	film	膠片	N;INDF;MASC;SG	N
film	影片	film	影片	N;INDF;MASC;SG	N
left	左側	left	左側	N;INDF;NEUT;SG	N
left	左	left	左	N;INDF;NEUT;SG	N
left	左翼	left	左翼	N;INDF;NEUT;SG	N
left	左邊	left	左邊	N;INDF;NEUT;SG	N
øya	海島	øy	海島	N;DEF;FEM;SG	N
øya	島嶼	øy	島嶼	N;DEF;FEM;SG	N
periode	期間	periode	期間	N;INDF;MASC;SG	N
utenfor	外部	utenfor	外部	N;INDF;NEUT;SG	N
utenfor	室外	utenfor	室外	N;INDF;NEUT;SG	N
utenfor	外面	utenfor	外面	N;INDF;NEUT;SG	N
utenfor	外	utenfor	外	N;INDF;NEUT;SG	N
antall	數字	antall	數字	N;INDF;NEUT;SG	N
antall	數	antall	數	N;INDF;NEUT;SG	N
antall	號碼	antall	號碼	N;INDF;NEUT;SG	N
antall	編號	antall	編號	N;INDF;NEUT;SG	N
antall	數量	antall	數量	N;INDF;NEUT;SG	N
antall	量	antall	量	N;INDF;NEUT;SG	N
titler	頭銜	titler	頭銜	N;INDF;MASC;SG	N
titler	職銜	titler	職銜	N;INDF;MASC;SG	N
titler	標題	titler	標題	N;INDF;MASC;SG	N
team	團隊	team	團隊	N;INDF;NEUT;SG	N
team	球隊	team	球隊	N;INDF;NEUT;SG	N
team	隊伍	team	隊伍	N;INDF;NEUT;SG	N
team	團隊	team	團隊	N;INDF;NEUT;SG	N
team	球隊	team	球隊	N;INDF;NEUT;SG	N
team	隊伍	team	隊伍	N;INDF;NEUT;SG	N
center	中心	cente	中心	N;INDF;NEUT;SG	N
enkelte	一些	enkelt	一些	ADJ;PL	ADJ
provinsen	省	provins	省	N;DEF;MASC;SG	N
provinsen	省省	provins	省省	N;DEF;MASC;SG	N
provinsen	省份	provins	省份	N;DEF;MASC;SG	N
bruke	使用	bruke	使用	V;NFIN	V
bruke	利用	bruke	利用	V;NFIN	V
bruke	使用	bruke	使用	V;NFIN	V
kilder	來源	kilder	來源	N;INDF;MASC;PL	N
politiker	政客	politiker	政客	N;INDF;MASC;SG	N
politiker	政治	politiker	政治	N;INDF;MASC;SG	N
familie	家人	familie	家人	N;INDF;MASC;SG	N
familie	家屬	familie	家屬	N;INDF;MASC;SG	N
familie	家庭	familie	家庭	N;INDF;MASC;SG	N
friidrett	田徑	friidrett	田徑	N;INDF;MASC;SG	N
forhold	關係	forhold	關係	N;INDF;NEUT;SG	N
forhold	戀愛	forhold	戀愛	N;INDF;NEUT;SG	N
forhold	感情	forhold	感情	N;INDF;NEUT;SG	N
forhold	關係	forhold	關係	N;INDF;NEUT;SG	N
medlemmer	成員	medlem	成員	N;INDF;MASC;PL	N
all	全部	all	全部	DET;MASC;SG	DET
all	所有	all	所有	DET;MASC;SG	DET
mennesker	人類	menneske	人類	N;INDF;MASC;SG	N
mennesker	人	menneske	人	N;INDF;MASC;SG	N
mennesker	人民	menneske	人民	N;INDF;MASC;SG	N
folk	人	folk	人	N;INDF;NEUT;PL	N
folk	人們	folk	人	N;INDF;NEUT;PL	N;PL
folk	人民	folk	人民	N;INDF;NEUT;PL	N
poeng	點數	poeng	點數	N;INDF;NEUT;SG	N
poeng	分數	poeng	分數	N;INDF;NEUT;SG	N
poeng	得分	poeng	得分	N;INDF;NEUT;SG	N
poeng	角	poeng	角	N;INDF;NEUT;SG	N
poeng	點	poeng	點	N;INDF;NEUT;SG	N
nesten	幾乎	nesten	幾乎	ADV	ADV
sølv	銀色	sølv	銀色	N;INDF;NEUT;SG	N
sølv	銀	sølv	銀	N;INDF;NEUT;SG	N
klubb	幫會	klubb	幫會	N;INDF;MASC;SG	N
klubb	俱樂部	klubb	俱樂部	N;INDF;MASC;SG	N
mann	人	mann	人	N;INDF;MASC;SG	N
mann	男人	mann	男人	N;INDF;MASC;SG	N
musikk	音樂	musikk	音樂	N;INDF;MASC;SG	N
finne	找到	finne	找到	V;IMP;NFIN	V
finne	尋找	finne	尋找	V;IMP;NFIN	V
verdens	世界	verd	世界	N;GEN;DEF;MASC;SG	N
grad	度	grad	度	N;INDF;FEM;SG	N
grad	程度	grad	程度	N;INDF;FEM;SG	N
grad	學位	grad	學位	N;INDF;FEM;SG	N
aldri	從來	aldri	從來	ADV	ADV
kirken	教會	kirk	教會	N;DEF;MASC;SG	N
kirken	教堂	kirk	教堂	N;DEF;MASC;SG	N
far	父親	far	父親	N;INDF;MASC;SG	N
far	神父	far	神父	N;INDF;MASC;SG	N
far	父	far	父	N;INDF;MASC;SG	N
vinter	冬	vinter	冬	N;INDF;MASC;SG	N
vinter	冬季	vinter	冬季	N;INDF;MASC;SG	N
vinter	冬天	vinter	冬天	N;INDF;MASC;SG	N
art	美術	art	美術	N;INDF;MASC;SG	N
art	藝術	art	藝術	N;INDF;MASC;SG	N
art	藝術	art	藝術	N;INDF;MASC;SG	N
art	魚種	art	魚種	N;INDF;MASC;SG	N
art	物種	art	物種	N;INDF;MASC;SG	N
vanligvis	通常	vanligvis	通常	ADV	ADV
vanligvis	通常	vanligvis	通常	ADV	ADV
medaljer	獎章	medaljer	獎章	N;INDF;MASC;PL	N
medaljer	勳章	medaljer	勳章	N;INDF;MASC;PL	N
medaljer	獎牌	medaljer	獎牌	N;INDF;MASC;PL	N
konge	國王	konge	國王	N;INDF;MASC;SG	N
gammel	老了	gammel	老了	N;INDF;MASC;SG	N
henne	她	ho	她	PRO;ACC;FEM;SG;3	PRO;3
world	世界	world	世界	N	N
fylke	郡	fylke	郡	N;INDF;NEUT;SG	N
fylke	縣	fylke	縣	N;INDF;NEUT;SG	N
neste	下	neste	下	DET;DEF	DET
foran	前面	foran	前面	N;INDF;MASC;SG	N
foran	陣線	foran	陣線	N;INDF;MASC;SG	N
vei	公路	vei	公路	N	N
vei	道路	vei	道路	N	N
vei	路	vei	路	N	N
kilde	來源	kild	來源	N;INDF;MASC;SG	N
steder	地點	stede	地點	N;INDF;MASC;PL	N
steder	地方	stede	地方	N;INDF;MASC;PL	N
steder	地點	stede	地點	N;INDF;MASC;PL	N
city	城市	city	城市	N	N
city	市	city	市	N	N
city	城	city	城	N	N
sider	頁	side	頁	N;INDF;FEM;PL	N
dager	日子	dag	日子	N;INDF;FEM;PL	N
dager	天數	dag	天數	N;INDF;FEM;PL	N
fant	找到	finne	找到	V;IND;PST;FIN	V
fant	發現	finne	發現	V;IND;PST;FIN	V
via	通過	via	通過	ADP	ADP
via	經	via	經	ADP	ADP
områder	地區	område	地區	N;INDF;MASC;PL	N
høyde	海拔	høyde	海拔	N;INDF;MASC;SG	N
høyde	高度	høyde	高度	N;INDF;MASC;SG	N
høyde	身高	høyde	身高	N;INDF;MASC;SG	N
høyde	高度	høyde	高度	N;INDF;MASC;SG	N
venstre	左側	venstre	左側	N;NEUT	N
venstre	左	venstre	左	N;NEUT	N
venstre	左翼	venstre	左翼	N;NEUT	N
venstre	左邊	venstre	左邊	N;NEUT	N
professor	教授	professor	教授	N;INDF;MASC;SG	N
veien	公路	vie	公路	N;DEF;MASC;SG	N
veien	道路	vie	道路	N;DEF;MASC;SG	N
veien	路	vie	路	N;DEF;MASC;SG	N
van	貨車	van	貨車	N;INDF;MASC;SG	N
van	範	van	範	N;INDF;MASC;SG	N
arbeid	工作	arbeid	工作	N;INDF;NEUT;SG	N
skolen	學校	skole	學校	N;DEF;MASC;SG	N
vann	飲水	vinne	飲水	V;IND;PST;FIN	V
best	最好	bra	最好	ADJ;INDF;RL	ADJ
likevel	仍然	likevel	仍然	ADV	ADV
likevel	依然	likevel	依然	ADV	ADV
likevel	然而	likevel	然而	ADV	ADV
parti	黨	parti	黨	N;INDF;NEUT;SG	N
parti	政黨	parti	政黨	N;INDF;NEUT;SG	N
parti	宴會	parti	宴會	N;INDF;NEUT;SG	N
parti	聚會	parti	聚會	N;INDF;NEUT;SG	N
sangen	歌曲	sang	歌曲	N;DEF;MASC;SG	N
sangen	首歌	sang	首歌	N;DEF;MASC;SG	N
sangen	歌	sang	歌	N;DEF;MASC;SG	N
slutt	終	slutt	終	N;INDF;MASC;SG	N
slutt	結尾	slutt	結尾	N;INDF;MASC;SG	N
museum	博物	museum	博物	N;INDF;NEUT;SG	N
album	相簿	album	相簿	N;INDF;NEUT;SG	N
album	專輯	album	專輯	N;INDF;NEUT;SG	N
album	相簿	album	相簿	N;INDF;NEUT;SG	N
album	專輯	album	專輯	N;INDF;NEUT;SG	N
gitar	吉他	gitar	吉他	N;INDF;MASC;SG	N
areal	面積	areal	面積	N;INDF;NEUT;SG	N
areal	地區	areal	地區	N;INDF;NEUT;SG	N
areal	區域	areal	區域	N;INDF;NEUT;SG	N
areal	區	areal	區	N;INDF;NEUT;SG	N
divisjon	組織	divisjon	組織	N;INDF;MASC;SG	N
sang	歌聲	sang	歌聲	N;INDF;MASC;SG	N
sang	唱歌	sang	唱歌	N;INDF;MASC;SG	N
sang	歌唱	sang	歌唱	N;INDF;MASC;SG	N
sang	歌曲	sang	歌曲	N;INDF;MASC;SG	N
sang	首歌	sang	首歌	N;INDF;MASC;SG	N
sang	歌	sang	歌	N;INDF;MASC;SG	N
bronse	青銅	bronse	青銅	N;INDF;MASC;SG	N
bronse	銅	bronse	銅	N;INDF;MASC;SG	N
orden	秩序	orden	秩序	N;INDF;MASC;SG	N
orden	順序	orden	順序	N;INDF;MASC;SG	N
meste	最多	mykje	最多	ADJ;DEF;RL	ADJ
meste	多數	mykje	多數	ADJ;DEF;RL	ADJ
rolle	作用	rolle	作用	N;INDF;FEM;SG	N
rolle	角色	rolle	角色	N;INDF;FEM;SG	N
finalen	決賽	finale	決賽	N;DEF;MASC;SG	N
type	型態	type	型態	N;INDF;MASC;SG	N
type	類型	type	類型	N;INDF;MASC;SG	N
kamp	戰	kamp	戰	N;INDF;MASC;SG	N
kamp	戰役	kamp	戰役	N;INDF;MASC;SG	N
kamp	戰鬥	kamp	戰鬥	N;INDF;MASC;SG	N
kamp	鬥爭	kamp	鬥爭	N;INDF;MASC;SG	N
kamp	奮鬥	kamp	奮鬥	N;INDF;MASC;SG	N
leker	玩具	leke	玩具	N;INDF;MASC;SG	N
roman	小說	roman	小說	N;INDF;MASC;SG	N
versjon	版	versjon	版	N;INDF;MASC;SG	N
versjon	版本	versjon	版本	N;INDF;MASC;SG	N
inntil	直到	inntil	直到	ADP	ADP
informasjon	資訊	informasjon	資訊	N;INDF;MASC;SG	N
gjelder	適用	gjelde	適用	V;IND;PRS;FIN	V
sentrum	市區	sentrum	市區	N;INDF;NEUT;SG	N
sentrum	中心	sentrum	中心	N;INDF;NEUT;SG	N
bok	圖書	bok	圖書	N;INDF;FEM;SG	N
bok	書	bok	書	N;INDF;FEM;SG	N
bok	書籍	bok	書籍	N;INDF;FEM;SG	N
red	紅	red	紅	N	N
red	紅色	red	紅色	N	N
sanger	歌手	sanger	歌手	N;INDF;MASC;SG	N
sanger	歌曲	sanger	歌曲	N;INDF;MASC;SG	N
sanger	歌	sanger	歌	N;INDF;MASC;SG	N
band	樂團	band	樂團	N;INDF;NEUT;SG	N
band	樂隊	band	樂隊	N;INDF;NEUT;SG	N
band	樂隊	band	樂隊	N;INDF;NEUT;SG	N
åtte	八	åtte	八	NUM;PL	NUM
åtte	八	åtte	八	NUM;PL	NUM
bøker	圖書	bok	圖書	N;INDF;FEM;PL	N
bøker	書	bok	書	N;INDF;FEM;PL	N
bøker	書籍	bok	書籍	N;INDF;FEM;PL	N
press	壓力	press	壓力	N;INDF;NEUT;SG	N
press	氣壓	press	氣壓	N;INDF;NEUT;SG	N
søndag	星期	søndag	星期	N;INDF;MASC;SG	N
søndag	週日	søndag	週日	N;INDF;MASC;SG	N
søndag	星期	søndag	星期	N;INDF;MASC;SG	N
søndag	周日	søndag	周日	N;INDF;MASC;SG	N
saint	聖人	sain	聖人	N;INDF;NEUT;SG	N
resultater	績效	resultater	績效	N;INDF;FEM;PL	N
resultater	業績	resultater	業績	N;INDF;FEM;PL	N
resultater	成果	resultater	成果	N;INDF;FEM;PL	N
resultater	結果	resultater	結果	N;INDF;FEM;PL	N
livet	生命	liv	生命	N;DEF;NEUT;SG	N
livet	人生	liv	人生	N;DEF;NEUT;SG	N
