冥王	pluton	冥王	pluton	N	N;NOM;MASC;SG
磚	ciglu	磚	cigla	N	N;ACC;FEM;SG
磚	cigla	磚	ciga	N	N;NOM;MASC;SG
利率	stopa	利率	stopa	N	N;NOM;FEM;SG
利率	stopi	利率	stopa	N	N;DAT;FEM;SG
高大	visoki	高大	visok	ADJ	ADJ;NOM;DEF;MASC;SG
高大	visok	高大	visok	ADJ	ADJ;NOM;INDF;MASC;SG
高大	visoka	高大	visok	ADJ	ADJ;NOM;DEF;FEM;SG
意向	nakane	意向	nakana	N	N;NOM;FEM;PL
意向	namjera	意向	namjera	N	N;NOM;FEM;SG
意向	namjere	意向	namjera	N	N;NOM;FEM;PL
意向	sklonost	意向	sklonost	N	N;NOM;FEM;SG
意向	sklonosti	意向	sklonost	N	N;NOM;FEM;PL
意向	namjera	意向	namjera	N	N;NOM;FEM;SG
意向	namjere	意向	namjera	N	N;NOM;FEM;PL
意向	namjera	意向	namjera	N	N;NOM;FEM;SG
壓制	potisnuti	壓制	potisnuti	V	V;NFIN
進度	napredak	進度	napredak	N	N;NOM;MASC;SG
哺乳	sisavac	哺乳	sisavac	N	N;NOM;MASC;SG
哺乳	sisavci	哺乳	sisavac	N	N;NOM;MASC;PL
哺乳	sisavaca	哺乳	sisavac	N	N;GEN;MASC;PL
爺爺	deda	爺爺	ded	N	N;NOM;MASC;SG
爺爺	dida	爺爺	did	N	N;NOM;MASC;SG
爺爺	djed	爺爺	djed	N	N;NOM;MASC;SG
情侶	parovi	情侶	par	N	N;NOM;MASC;PL
情侶	parove	情侶	par	N	N;ACC;MASC;PL
情侶	parova	情侶	par	N	N;GEN;MASC;PL
情侶	par	情侶	par	N	N;NOM;MASC;SG
情侶	ljubavnici	情侶	ljubavnik	N	N;NOM;MASC;PL
情侶	ljubavnice	情侶	ljubavnica	N	N;NOM;FEM;PL
保全	očuvanje	保全	očuvanje	N	N;NOM;NEUT;SG
保全	očuvanje	保全	očuvanje	N	N;NOM;NEUT;SG
保全	očuvanju	保全	očuvanje	N	N;DAT;NEUT;SG
宮殿	palači	宮殿	palača	N	N;DAT;FEM;SG
宮殿	palača	宮殿	palač	N	N;NOM;FEM;SG
宮殿	palace	宮殿	palaca	N	N;NOM;MASC;SG
智力	inteligencija	智力	inteligencija	N	N;NOM;FEM;SG
智力	inteligenciju	智力	inteligencija	N	N;ACC;FEM;SG
爆破	miniranje	爆破	miniranje	N	N;NOM;NEUT;SG
渡口	trajektom	渡口	trajekt	N	N;INS;MASC;SG
渡口	trajekt	渡口	trajekt	N	N;NOM;MASC;SG
糾紛	sporova	糾紛	spor	N	N;GEN;MASC;PL
糾紛	spor	糾紛	spor	N	N;NOM;MASC;SG
糾紛	spora	糾紛	spor	N	N;GEN;MASC;SG
發光	blista	發光	blista	V	V;IND;SG;3;PRS;FIN
異議	prigovor	異議	prigovor	N	N;NOM;MASC;SG
係數	koeficijent	係數	koeficijent	N	N;NOM;MASC;SG
係數	koeficijenata	係數	koeficijent	N	N;GEN;MASC;PL
抱怨	žaliti	抱怨	žaliti	V	V;NFIN
銀色	srebro	銀色	srebro	N	N;NOM;NEUT;SG
鞘	korica	鞘	korica	N	N;NOM;FEM;SG
口味	okusi	口味	okus	N	N;NOM;MASC;PL
口味	okusa	口味	okus	N	N;GEN;MASC;SG
口味	okusa	口味	okus	N	N;GEN;MASC;SG
人性	čovječanstvo	人性	čovječanstvo	N	N;NOM;NEUT;SG
人性	ljudskost	人性	ljudskost	N	N;NOM;FEM;SG
人性	humanost	人性	humanost	N	N;NOM;FEM;SG
失誤	pogreške	失誤	pogreška	N	N;NOM;FEM;PL
失誤	greške	失誤	greška	N	N;NOM;FEM;PL
主觀	subjektivnost	主觀	subjektivnost	N	N;NOM;FEM;SG
天平	ljuske	天平	ljuska	N	N;NOM;FEM;PL
天平	vage	天平	vag	N	N;NOM;FEM;PL
外國	vanzemaljci	外國	vanzemaljci	N	N;NOM;MASC;PL
外國	izvanzemaljci	外國	izvanzemaljci	N	N;NOM;MASC;PL
外國	stranac	外國	stranac	N	N;NOM;MASC;SG
外國	stranci	外國	stranac	N	N;NOM;MASC;PL
外國	strancima	外國	strank	N	N;DAT;MASC;PL
神仙	vila	神仙	vila	N	N;NOM;FEM;SG
神仙	vilo	神仙	vilo	N	N;NOM;FEM;SG
腸	kobasica	腸	kobasica	N	N;NOM;FEM;SG
腸	kobasice	腸	kobasica	N	N;NOM;FEM;PL
腸	crijeva	腸	crijevo	N	N;NOM;NEUT;SG
腸	crijeva	腸	crijevo	N	N;NOM;NEUT;SG
腸	crijeva	腸	crijevo	N	N;NOM;NEUT;SG
石板	škriljevca	石板	škriljevac	N	N;NOM;FEM;SG
石板	ploča	石板	ploča	N	N;NOM;FEM;SG
石板	tableta	石板	tableta	N	N;NOM;MASC;SG
石板	tablet	石板	tablet	N	N;NOM;MASC;SG
液晶	lcd	液晶	lcd	N	N;NOM;MASC;SG
君主	monarhije	君主	monarhija	N	N;NOM;FEM;PL
野心	ambicije	野心	ambicija	N	N;NOM;FEM;PL
野心	ambicija	野心	ambicija	N	N;NOM;FEM;SG
野心	ambiciju	野心	ambicija	N	N;ACC;FEM;SG
野心	ambicije	野心	ambicija	N	N;NOM;FEM;PL
別墅	vila	別墅	vila	N	N;NOM;FEM;SG
別墅	villa	別墅	villa	N	N;NOM;FEM;SG
別墅	vilu	別墅	vila	N	N;ACC;FEM;SG
別墅	vile	別墅	mnle	N	N;NOM;FEM;PL
籠	kavez	籠	kavez	N	N;NOM;MASC;SG
籠	cage	籠	caga	N	N;NOM;MASC;SG
監管	nadzor	監管	nadzor	N	N;NOM;MASC;SG
罰款	kazne	罰款	kazna	N	N;NOM;FEM;PL
葡萄	glukoze	葡萄	glukoza	N	N;NOM;FEM;PL
鋰	litij	鋰	litij	N	N;NOM;MASC;SG
奶奶	baki	奶奶	baka	N	N;DAT;FEM;SG
奶奶	bakica	奶奶	bakica	N	N;NOM;FEM;SG
奶奶	baka	奶奶	baka	N	N;NOM;FEM;SG
蚊	komaraca	蚊	komarac	N	N;GEN;MASC;PL
蚊	komarac	蚊	komarac	N	N;NOM;MASC;SG
補償	naknada	補償	naknada	N	N;NOM;FEM;SG
補償	naknade	補償	naknada	N	N;NOM;FEM;PL
補償	naknadu	補償	naknada	N	N;ACC;FEM;SG
補償	odštetu	補償	odšteta	N	N;ACC;FEM;SG
教父	kume	教父	kuma	N	N;NOM;FEM;PL
教父	kum	教父	kum	N	N;NOM;MASC;SG
教父	kuma	教父	kum	N	N;NOM;MASC;SG
蝙	batman	蝙	batman	N	N;NOM;MASC;SG
蝙	batmana	蝙	batman	N	N;ANIM;ACC;MASC;SG
肽	peptid	肽	peptid	N	N;NOM;MASC;SG
葉子	lišće	葉子	lišće	N	N;NOM;NEUT;SG
葉子	list	葉子	list	N	N;NOM;MASC;SG
乙醇	etanol	乙醇	etanol	N	N;NOM;MASC;SG
禮拜	obožavanje	禮拜	obožavanje	N	N;NOM;NEUT;SG
樣式	stilova	樣式	stil	N	N;GEN;MASC;PL
樣式	stil	樣式	stil	N	N;NOM;MASC;SG
樣式	stila	樣式	stil	N	N;GEN;MASC;SG
交響	simfonija	交響	simfonija	N	N;NOM;FEM;SG
讀音	izgovor	讀音	izgovor	N	N;NOM;MASC;SG
聖殿	bazilika	聖殿	bazilik	N	N;NOM;FEM;SG
聖殿	hram	聖殿	hram	N	N;NOM;MASC;SG
空格	prostorima	空格	prostor	N	N;DAT;MASC;PL
空格	prostore	空格	prostor	N	N;ACC;MASC;PL
郵票	pečat	郵票	pečat	N	N;NOM;MASC;SG
郵票	žig	郵票	žig	N	N;NOM;MASC;SG
郵票	marke	郵票	marka	N	N;NOM;FEM;PL
騷擾	uznemirava	騷擾	uznemiravati	V	V;IND;SG;3;PRS;FIN
冷卻	hlađenja	冷卻	hlađenje	N	N;NOM;NEUT;PL
冷卻	hlađenje	冷卻	hlađenje	N	N;NOM;NEUT;SG
皇宮	palači	皇宮	palača	N	N;DAT;FEM;SG
皇宮	palača	皇宮	palač	N	N;NOM;FEM;SG
皇宮	palace	皇宮	palaca	N	N;NOM;MASC;SG
法老	faraon	法老	faraon	N	N;NOM;MASC;SG
法老	faraona	法老	faraon	N	N;NOM;MASC;SG
微小	sitni	微小	sitni	ADJ	ADJ;NOM;DEF;MASC;PL
微小	maleni	微小	malen	ADJ	ADJ;NOM;DEF;MASC;SG
精美	izuzetna	精美	izuzetan	ADJ	ADJ;NOM;DEF;FEM;SG
溫和	nježan	溫和	nježan	ADJ	ADJ;NOM;INDF;MASC;SG
溫和	umjereno	溫和	umjereno	ADJ	ADJ;NOM;DEF;NEUT;SG
溫和	umjerene	溫和	umjeren	ADJ	ADJ;NOM;DEF;FEM;PL
溫和	umjereno	溫和	umjereno	ADJ	ADJ;NOM;DEF;NEUT;SG
溫和	blagi	溫和	blag	ADJ	ADJ;NOM;DEF;MASC;SG
溫和	blag	溫和	blag	ADJ	ADJ;NOM;INDF;MASC;SG
香料	začini	香料	začina	N	N;NOM;MASC;PL
香料	začina	香料	začin	N	N;NOM;MASC;SG
香料	začine	香料	začin	N	N;ACC;MASC;PL
香料	začin	香料	začin	N	N;NOM;MASC;SG
香料	začini	香料	začina	N	N;NOM;MASC;PL
香料	začina	香料	začin	N	N;NOM;MASC;SG
香料	spice	香料	spica	N	N;NOM;MASC;SG
悼念	tuguje	悼念	tugovati	V	V;IND;SG;3;PRS;FIN
辣椒	čili	辣椒	čiliti	N	N;NOM;MASC;SG
辣椒	paprika	辣椒	paprika	N	N;NOM;FEM;SG
辣椒	papar	辣椒	papar	N	N;NOM;MASC;SG
辣椒	biber	辣椒	biber	N	N;NOM;MASC;SG
賭場	kockarnice	賭場	kockarnica	N	N;NOM;FEM;PL
賭場	kasina	賭場	kasina	N	N;NOM;FEM;SG
賭場	kazina	賭場	kazina	N	N;NOM;FEM;SG
賭場	kazino	賭場	kazino	N	N;NOM;MASC;SG
賭場	kasino	賭場	kasino	N	N;NOM;MASC;SG
賭場	casino	賭場	casino	N	N;NOM;FEM;SG
賭場	kasina	賭場	kasina	N	N;NOM;FEM;SG
國徽	amblem	國徽	amblem	N	N;NOM;MASC;SG
國徽	grb	國徽	grb	N	N;NOM;MASC;SG
悲劇	tragedije	悲劇	tragedija	N	N;NOM;FEM;PL
悲劇	tragedija	悲劇	tragedija	N	N;NOM;FEM;SG
租金	iznajmljivanje	租金	iznajmljivanje	N	N;NOM;NEUT;SG
租金	najam	租金	najam	N	N;NOM;MASC;SG
租金	iznajmljivanje	租金	iznajmljivanje	N	N;NOM;NEUT;SG
租金	najam	租金	najam	N	N;NOM;MASC;SG
租金	stanarinu	租金	stanarina	N	N;ACC;FEM;SG
租金	iznajmljivanje	租金	iznajmljivanje	N	N;NOM;NEUT;SG
光輝	sjajnom	光輝	sjajan	N	N;INS;FEM;SG
溫暖	toplina	溫暖	toplina	N	N;NOM;FEM;SG
溫暖	toplinu	溫暖	toplina	N	N;ACC;FEM;SG
神像	gato	神像	gato	N	N;NOM;MASC;SG
手套	rukavice	手套	rukavica	N	N;NOM;FEM;PL
手套	rukavice	手套	rukavica	N	N;NOM;FEM;PL
手套	rukavica	手套	rukavica	N	N;NOM;FEM;SG
手套	rukavicu	手套	rukavica	N	N;ACC;FEM;SG
手套	rukavice	手套	rukavica	N	N;NOM;FEM;PL
硬幣	kovanice	硬幣	kovanica	N	N;NOM;FEM;PL
硬幣	novčići	硬幣	novčići	N	N;NOM;MASC;PL
硬幣	kovanica	硬幣	kovanica	N	N;NOM;FEM;SG
硬幣	novčić	硬幣	novčić	N	N;NOM;MASC;SG
硬幣	kovanica	硬幣	kovanica	N	N;NOM;FEM;SG
朝代	dinastija	朝代	dinastija	N	N;NOM;FEM;SG
皂	sapuna	皂	sapun	N	N;GEN;MASC;SG
皂	sapun	皂	sapun	N	N;NOM;MASC;SG
皂	sapunica	皂	sapunica	N	N;NOM;FEM;SG
草坪	travnjaka	草坪	travnjak	N	N;ACC;MASC;SG
草坪	travnjak	草坪	travnjak	N	N;NOM;MASC;SG
草坪	travnjaku	草坪	travnjak	N	N;DAT;MASC;SG
草坪	travnjaka	草坪	travnjak	N	N;ACC;MASC;SG
編譯	sastavio	編譯	sastaviti	V	V;MASC;SG;PST;V.PTCP;ACT
鉛	olova	鉛	olovo	N	N;GEN;MASC;SG
鉛	olovo	鉛	olovo	N	N;NOM;MASC;SG
鞭	bič	鞭	bič	N	N;NOM;MASC;SG
鞭	bičem	鞭	bič	N	N;INS;MASC;SG
錐	kornet	錐	kornet	N	N;NOM;MASC;SG
界	definiranje	界	definiranje	N	N;NOM;NEUT;SG
氣溫	temperatura	氣溫	temperatura	N	N;NOM;FEM;SG
氣溫	temperature	氣溫	temperatura	N	N;NOM;FEM;PL
氣溫	temperature	氣溫	temperatura	N	N;NOM;FEM;PL
概括	generalizacija	概括	generalizacija	N	N;NOM;FEM;SG
彈性	fleksibilnost	彈性	fleksibilnost	N	N;NOM;FEM;SG
彈性	elastičnost	彈性	elastičnost	N	N;NOM;FEM;SG
彈性	flex	彈性	flex	N	N;NOM;MASC;SG
長老	starješina	長老	starješina	N	N;NOM;FEM;SG
長老	starješine	長老	starješina	N	N;NOM;FEM;PL
野牛	bizone	野牛	bizon	N	N;ACC;MASC;PL
野牛	buffalo	野牛	buffalo	N	N;NOM;MASC;SG
野牛	bizon	野牛	bizon	N	N;NOM;MASC;SG
野牛	bizona	野牛	bizon	N	N;ACC;MASC;SG
野牛	bizon	野牛	bizon	N	N;NOM;MASC;SG
野牛	bizona	野牛	bizon	N	N;ACC;MASC;SG
特許	ustupke	特許	ustupak	N	N;ACC;MASC;PL
特許	koncesije	特許	koncesija	N	N;NOM;FEM;PL
盾牌	štit	盾牌	štit	N	N;NOM;MASC;SG
盾牌	štitovi	盾牌	štit	N	N;NOM;MASC;PL
走私	krijumčarenja	走私	krijumčarenje	N	N;NOM;NEUT;PL
走私	krijumčarenje	走私	krijumčarenje	N	N;NOM;NEUT;SG
紀念	spomen	紀念	spomen	N	N;NOM;MASC;SG
戒指	prsten	戒指	prsten	N	N;NOM;MASC;SG
戒指	prstenje	戒指	prstenje	N	N;NOM;NEUT;SG
祭司	svećenik	祭司	svećenik	N	N;NOM;MASC;SG
握手	rukovanje	握手	rukovanje	N	N;NOM;NEUT;SG
乘法	množenje	乘法	množenje	N	N;NOM;NEUT;SG
繪圖	mapiranje	繪圖	mapiranje	N	N;NOM;NEUT;SG
繪圖	crteži	繪圖	crtež	N	N;NOM;MASC;PL
繪圖	grafika	繪圖	grafik	N	N;NOM;FEM;SG
繪圖	crtanje	繪圖	crtanje	N	N;NOM;NEUT;SG
繪圖	crtež	繪圖	crtež	N	N;NOM;MASC;SG
乙酸	acetat	乙酸	acetat	N	N;NOM;MASC;SG
誓	zavjet	誓	zavjet	N	N;NOM;MASC;SG
誓	zakletvu	誓	zakletva	N	N;ACC;FEM;SG
誓	zakletvom	誓	zakletvo	N	N;INS;FEM;SG
誓	zakletva	誓	zakletva	N	N;NOM;FEM;SG
損壞	oštećenja	損壞	oštećenje	N	N;NOM;NEUT;PL
損壞	oštećenje	損壞	oštećenje	N	N;NOM;NEUT;SG
專長	specijalitet	專長	specijalitet	N	N;NOM;MASC;SG
專長	specijalitet	專長	specijalitet	N	N;NOM;MASC;SG
專長	specijalnost	專長	specijalnost	N	N;NOM;FEM;SG
專長	stručnost	專長	stručnost	N	N;NOM;FEM;SG
專長	stručnosti	專長	stručnost	N	N;NOM;FEM;PL
基底	podrum	基底	podrum	N	N;NOM;MASC;SG
骨架	kostura	骨架	kostura	N	N;ACC;MASC;SG
骨架	kostur	骨架	kostur	N	N;NOM;MASC;SG
標語	slogan	標語	slogan	N	N;NOM;MASC;SG
摩天	neboder	摩天	neboder	N	N;NOM;MASC;SG
摩天	nebodera	摩天	neboder	N	N;GEN;MASC;SG
警務	policija	警務	policija	N	N;NOM;FEM;SG
仙女	andromedae	仙女	andromeda	N	N;NOM;MASC;SG
仙女	andromeda	仙女	andromeda	N	N;NOM;FEM;SG
橘子	naranče	橘子	naranče	N	N;NOM;FEM;PL
橘子	naranče	橘子	naranče	N	N;NOM;FEM;PL
歌聲	pjevanje	歌聲	pjevanje	N	N;NOM;NEUT;SG
散射	raspršiti	散射	raspršiti	V	V;NFIN
症候	sindrom	症候	sindar	N	N;NOM;MASC;SG
污水	kanalizacija	污水	kanalizacija	N	N;NOM;FEM;SG
獨裁	autokracija	獨裁	autokracija	N	N;NOM;FEM;SG
獨裁	diktature	獨裁	diktatura	N	N;NOM;FEM;PL
宮廷	palači	宮廷	palača	N	N;DAT;FEM;SG
宮廷	palača	宮廷	palač	N	N;NOM;FEM;SG
宮廷	palace	宮廷	palaca	N	N;NOM;MASC;SG
想象	mašte	想象	mašta	N	N;NOM;FEM;PL
想象	mašta	想象	mašt	N	N;NOM;FEM;SG
想象	maštu	想象	mašt	N	N;ACC;FEM;SG
想象	zamisli	想象	zamisao	N	N;NOM;MASC;SG
相容	kompatibilnosti	相容	kompatibilnost	N	N;NOM;FEM;PL
廚師	kuhar	廚師	kuhar	N	N;NOM;MASC;SG
廚師	chef	廚師	chef	N	N;NOM;MASC;SG
廚師	kuhar	廚師	kuhar	N	N;NOM;MASC;SG
天王	uran	天王	uran	N	N;NOM;MASC;SG
天王	urana	天王	uran	N	N;GEN;MASC;SG
營養	prehrana	營養	prehrana	N	N;NOM;FEM;SG
營養	prehrane	營養	prehrana	N	N;NOM;FEM;PL
營養	nutrijenata	營養	nutrijent	N	N;GEN;MASC;PL
橡膠	guma	橡膠	guma	N	N;NOM;FEM;SG
橡膠	gumene	橡膠	gumen	N	N;NOM;FEM;PL
橡膠	gumeni	橡膠	gumen	N	N;NOM;MASC;SG
教義	creed	教義	creed	N	N;NOM;MASC;SG
教義	doktrina	教義	doktrina	N	N;NOM;FEM;SG
扳機	okidač	扳機	okidač	N	N;NOM;MASC;SG
區塊	blokove	區塊	blok	N	N;ACC;MASC;PL
區塊	blokovi	區塊	blok	N	N;NOM;MASC;PL
區塊	blok	區塊	blok	N	N;NOM;MASC;SG
地道	tunel	地道	tunel	N	N;NOM;MASC;SG
地道	tuneli	地道	tunel	N	N;NOM;MASC;PL
地道	tunele	地道	tunel	N	N;ACC;MASC;PL
地道	tunela	地道	tunel	N	N;GEN;MASC;SG
所	solomon	所	solomon	N	N;INS;MASC;SG
腕	zglob	腕	zglob	N	N;NOM;MASC;SG
機長	kapetan	機長	kapetan	N	N;NOM;MASC;SG
機長	kapetane	機長	kapetan	N	N;ACC;MASC;PL
雨林	prašume	雨林	prašum	N	N;NOM;FEM;PL
檢視	prikaži	檢視	prikaž	V	V;IMP;SG;3;PRS;FIN
學說	doktrine	學說	doktrina	N	N;NOM;FEM;PL
學說	doktrina	學說	doktrina	N	N;NOM;FEM;SG
暴風	oluje	暴風	oloj	N	N;NOM;FEM;PL
暴風	oluja	暴風	oluja	N	N;NOM;FEM;SG
誘惑	zavođenje	誘惑	zavođenje	N	N;NOM;NEUT;SG
誘惑	iskušenje	誘惑	iskušenje	N	N;NOM;NEUT;SG
誘惑	napast	誘惑	napast	N	N;NOM;FEM;SG
誘惑	iskušenja	誘惑	iskušenje	N	N;NOM;NEUT;PL
法典	kodeks	法典	kodeks	N	N;NOM;MASC;SG
壺	lonac	壺	lonac	N	N;NOM;MASC;SG
壺	pot	壺	pot	N	N;NOM;MASC;SG
壺	čajnik	壺	čajnik	N	N;NOM;MASC;SG
壺	posude	壺	posuda	N	N;NOM;FEM;PL
壺	lonce	壺	lonce	N	N;ACC;MASC;PL
壺	vrč	壺	vrč	N	N;NOM;MASC;SG
電報	telegram	電報	telegram	N	N;NOM;MASC;SG
電報	telegraf	電報	telegraf	N	N;NOM;MASC;SG
蒸	pari	蒸	par	N	N;ACC;FEM;SG
城牆	zidovi	城牆	zid	N	N;NOM;MASC;PL
城牆	zidine	城牆	zidina	N	N;NOM;FEM;PL
城牆	zidove	城牆	zid	N	N;ACC;MASC;PL
城牆	zidova	城牆	zid	N	N;GEN;MASC;PL
芭蕾	baletu	芭蕾	balet	N	N;DAT;MASC;SG
芭蕾	balet	芭蕾	balet	N	N;NOM;MASC;SG
芭蕾	baleta	芭蕾	balet	N	N;GEN;MASC;SG
環礁	atol	環礁	atol	N	N;NOM;MASC;SG
散布	raspršiti	散布	raspršiti	V	V;NFIN
呼叫	zovem	呼叫	zvati	V	V;IND;SG;1;PRS;FIN
硝酸	nitrat	硝酸	nitrat	N	N;NOM;MASC;SG
出血	krvari	出血	krvariti	V	V;IND;SG;3;PRS;FIN
口腔	usta	口腔	usta	N	N;NOM;NEUT;SG
時鐘	satovi	時鐘	sat	N	N;NOM;MASC;PL
時鐘	satova	時鐘	sat	N	N;GEN;MASC;PL
時鐘	satom	時鐘	sat	N	N;INS;MASC;SG
時鐘	sat	時鐘	sat	N	N;NOM;MASC;SG
滑翔	klize	滑翔	kliza	N	N;NOM;FEM;PL
滑翔	klize	滑翔	kliza	N	N;NOM;FEM;PL
論點	argumenata	論點	argument	N	N;GEN;MASC;PL
論點	argumente	論點	argument	N	N;ACC;MASC;PL
論點	argumenti	論點	argument	N	N;NOM;MASC;PL
論點	argument	論點	argument	N	N;NOM;MASC;SG
論點	argumenti	論點	argument	N	N;NOM;MASC;PL
左邊	lijeva	左邊	lijevo	N	N;NOM;FEM;SG
勇氣	hrabrosti	勇氣	hrabrost	N	N;NOM;FEM;PL
勇氣	hrabrost	勇氣	hrabrost	N	N;NOM;FEM;SG
天線	antene	天線	anten	N	N;NOM;FEM;PL
天線	antena	天線	anten	N	N;NOM;FEM;SG
天線	antene	天線	anten	N	N;NOM;FEM;PL
天線	antenu	天線	anten	N	N;ACC;FEM;SG
絕望	očaj	絕望	očaj	N	N;NOM;MASC;SG
絕望	očaj	絕望	očaj	N	N;NOM;MASC;SG
格言	moto	格言	moto	N	N;NOM;MASC;SG
伏特	volt	伏特	volt	N	N;NOM;MASC;SG
卡賓	karabin	卡賓	karabin	N	N;NOM;MASC;SG
災害	katastrofe	災害	katastrofa	N	N;NOM;FEM;PL
災害	katastrofe	災害	katastrofa	N	N;NOM;FEM;PL
災害	katastrofa	災害	katastrofa	N	N;NOM;FEM;SG
字元	lik	字元	lik	N	N;NOM;MASC;SG
字元	karakter	字元	karakter	N	N;NOM;MASC;SG
字元	znakova	字元	znak	N	N;GEN;MASC;PL
字元	likovi	字元	lik	N	N;NOM;MASC;PL
字元	znakovi	字元	znak	N	N;NOM;MASC;PL
晚餐	večera	晚餐	večera	N	N;NOM;FEM;SG
豆腐	tofu	豆腐	tof	N	N;NOM;MASC;SG
山茶	camellia	山茶	camellia	N	N;NOM;MASC;SG
濕地	močvare	濕地	močvar	N	N;NOM;FEM;PL
獵物	plijen	獵物	plijen	N	N;NOM;MASC;SG
鄰居	susjedi	鄰居	susjed	N	N;NOM;MASC;PL
鄰居	susjedi	鄰居	susjed	N	N;NOM;MASC;PL
鄰居	susjed	鄰居	susjed	N	N;NOM;MASC;SG
鄰居	susjeda	鄰居	susjed	N	N;ANIM;ACC;MASC;SG
會	knjigovođa	會	knjigovođ	N	N;NOM;MASC;SG
會	računovođa	會	računovođ	N	N;NOM;MASC;SG
橢	elipsa	橢	elipsa	N	N;NOM;FEM;SG
追逐	potjera	追逐	potjera	V	V;IND;SG;3;PRS;FIN
追逐	potjera	追逐	potjera	V	V;IND;SG;3;PRS;FIN
美式	fudbal	美式	fudbal	N	N;NOM;MASC;SG
美式	nogomet	美式	nogomet	N	N;NOM;MASC;SG
方塊	kocke	方塊	kocka	N	N;NOM;FEM;PL
方塊	kockice	方塊	kockica	N	N;NOM;FEM;PL
方塊	kocku	方塊	kock	N	N;ACC;FEM;SG
方塊	kocka	方塊	kock	N	N;NOM;FEM;SG
方塊	kockica	方塊	kockica	N	N;NOM;FEM;SG
方塊	trgu	方塊	trg	N	N;DAT;MASC;SG
方塊	trg	方塊	trg	N	N;NOM;MASC;SG
方塊	kvadrat	方塊	kvadrat	N	N;NOM;MASC;SG
方塊	kvadrata	方塊	kvadrat	N	N;GEN;MASC;SG
均衡	ravnotežu	均衡	ravnoteža	N	N;ACC;FEM;SG
均衡	ravnoteža	均衡	ravnoteža	N	N;NOM;FEM;SG
均衡	balans	均衡	balans	N	N;NOM;MASC;SG
均衡	balansiranje	均衡	balansiranje	N	N;NOM;NEUT;SG
叢林	džungla	叢林	džungti	N	N;NOM;FEM;SG
叢林	džungli	叢林	džungti	N	N;DAT;FEM;SG
叢林	džunglu	叢林	džungle	N	N;ACC;FEM;SG
慶典	proslava	慶典	proslava	N	N;NOM;FEM;SG
