que	bahwa	que	bahwa	CONJ	CONJ
trabajo	tugas	trabajo	tugas	N;MASC;SG	N;SG
trabajo	pekerjaan	trabajo	pekerjaan	N;MASC;SG	N;SG
trabajo	pekerjaan	trabajo	pekerjaan	N;MASC;SG	N;SG
trabajo	kerja	trabajo	kerja	N;MASC;SG	N;SG
especie	spesies	especie	spesies	N;FEM;SG	N;SG
especie	species	especie	species	N;FEM;SG	N
luis	kwak	luis	kwak	N;MASC;SG	N
caso	kasus	caso	kasus	N;MASC;SG	N;SG
color	warna	color	warna	N;MASC;SG	N;SG
color	warna	color	warna	N;MASC;SG	N;SG
distrito	distrik	distrito	distrik	N;MASC;SG	N;SG
distrito	kecamatan	distrito	kecamatan	N;MASC;SG	N;SG
distrito	raionul	distrito	raionul	N;MASC;SG	N
distrito	kabupaten	distrito	kabupaten	N;MASC;SG	N;SG
distrito	daerah	distrito	daerah	N;MASC;SG	N;SG
superficie	permukaan	superficie	permukaan	N;FEM;SG	N;SG
superficie	daerah	superficie	daerah	N;FEM;SG	N;SG
superficie	wilayah	superficie	wilayah	N;FEM;SG	N;SG
superficie	luas	superficie	luas	N;FEM;SG	N;SG
superficie	kawasan	superficie	kawasan	N;FEM;SG	N;SG
superficie	area	superficie	area	N;FEM;SG	N;SG
copa	gelas	copa	gelas	N;FEM;SG	N;SG
copa	piala	copa	piala	N;FEM;SG	N;SG
copa	cangkir	copa	cangkir	N;FEM;SG	N;SG
línea	line	línea	line	N;FEM;SG	N
línea	baris	línea	baris	N;FEM;SG	N;SG
área	daerah	área	daerah	N;FEM;SG	N;SG
área	wilayah	área	wilayah	N;FEM;SG	N;SG
área	luas	área	luas	N;FEM;SG	N;SG
área	kawasan	área	kawasan	N;FEM;SG	N;SG
área	area	área	area	N;FEM;SG	N;SG
censo	sensus	censo	sensus	N;MASC;SG	N;SG
liga	liga	liga	liga	N;FEM;SG	N;SG
liga	liga	liga	liga	N;FEM;SG	N;SG
muerte	kematian	muerte	kematian	N;FEM;SG	N;SG
política	polis	política	polis	N;FEM;SG	N;SG
política	kebijakan	política	kebijakan	N;FEM;SG	N;SG
política	politik	política	politik	N;FEM;SG	N;SG
menos	kurang	menos	kurang	ADV	ADV;SG
largo	lama	largo	lama	ADJ;MASC;SG	ADJ;SG
largo	panjang	largo	panjang	ADJ;MASC;SG	ADJ;SG
hijo	putra	hijo	putra	N;MASC;SG	N;SG
hijo	anak	hijo	anak	N;MASC;SG	N;SG
carrera	karir	carrera	karir	N;FEM;SG	N;SG
carrera	karier	carrera	karier	N;FEM;SG	N;SG
carrera	balapan	carrera	balapan	N;FEM;SG	N;SG
carrera	perlombaan	carrera	perlombaan	N;FEM;SG	N;SG
carrera	ras	carrera	ras	N;FEM;SG	N;SG
carrera	lomba	carrera	lomba	N;FEM;SG	N;SG
pueblo	kotamadya	pueblo	kotamadya	N;MASC;SG	N;SG
pueblo	kota	pueblo	kota	N;MASC;SG	N;SG
pueblo	rakyat	pueblo	rakyat	N;MASC;SG	N;SG
pueblo	orang	pueblo	orang	N;MASC;SG	N;SG
pueblo	kampung	pueblo	kampung	N;MASC;SG	N;SG
pueblo	dusun	pueblo	dusun	N;MASC;SG	N;SG
pueblo	desa	pueblo	desa	N;MASC;SG	N;SG
departamento	departemen	departamento	departemen	N;MASC;SG	N;SG
departamento	apartement	departamento	apartement	N;MASC;SG	N;SG
departamento	apartment	departamento	apartment	N;MASC;SG	N;SG
departamento	apartemen	departamento	apartemen	N;MASC;SG	N;SG
ejemplo	sampel	ejemplo	sampel	N;MASC;SG	N;SG
ejemplo	contoh	ejemplo	contoh	N;MASC;SG	N;SG
ejemplo	contoh	ejemplo	contoh	N;MASC;SG	N;SG
género	genre	género	genre	N;MASC;SG	N
género	genus	género	genus	N;MASC;SG	N
padre	ayah	padre	ayah	N;MASC;SG	N;SG
padre	bapak	padre	bapak	N;MASC;SG	N;SG
campo	pedesaan	campo	pedesaan	N;MASC;SG	N;SG
campo	bidang	campo	bidang	N;MASC;SG	N;SG
campo	lapangan	campo	lapangan	N;MASC;SG	N;SG
campo	medan	campo	medan	N;MASC;SG	N;SG
campo	kolom	campo	kolom	N;MASC;SG	N;SG
campo	kemah	campo	kemah	N;MASC;SG	N;SG
campo	perkemahan	campo	perkemahan	N;MASC;SG	N
campo	kamp	campo	kamp	N;MASC;SG	N;SG
isla	pulau	isla	pulau	N;FEM;SG	N;SG
hacer	jadikan	hacer	jadikan	V;NFIN	V;SG;ACT
hacer	membuat	hacer	menbuat	V;NFIN	V;SG;ACT
frente	depan	frente	depan	N	N;SG
frente	dahi	frente	dahi	N	N;SG
director	sutradara	director	sutradara	N;MASC;SG	N;SG
director	direktur	director	direktur	N;MASC;SG	N;SG
versión	versi	versión	versi	N;FEM;SG	N;SG
momento	momen	momento	momen	N;MASC;SG	N;SG
lista	daftar	lista	daftar	N;FEM;SG	N;SG
lista	list	lista	list	N;FEM;SG	N
densidad	kepadatan	densidad	kepadatan	N;FEM;SG	N;SG
campeonato	kejuaraan	campeonato	kejuaraan	N;MASC;SG	N;SG
campeonato	championship	campeonato	championship	N;MASC;SG	N
campeonato	kejuaraan	campeonato	kejuaraan	N;MASC;SG	N;SG
ejército	kemiliteran	ejército	kemiliteran	N;MASC;SG	N;SG
ejército	tentara	ejército	tentara	N;MASC;SG	N;SG
porque	karena	porque	karena	CONJ	CONJ
estación	stasiun	estación	stasiun	N;FEM;SG	N;SG
estación	station	estación	station	N;FEM;SG	N
desarrollo	pengembangan	desarrollo	penkembangan	N;MASC;SG	N;SG
desarrollo	perkembangan	desarrollo	perkembangan	N;MASC;SG	N;SG
desarrollo	pembangunan	desarrollo	penbangunan	N;MASC;SG	N;SG
escuela	sekolah	escuela	sekolah	N;FEM;SG	N;SG
escuela	sekolah	escuela	sekolah	N;FEM;SG	N;SG
programa	program	programa	program	N;MASC;SG	N;SG
programa	program	programa	program	N;MASC;SG	N;SG
información	informasi	información	informasi	N;FEM;SG	N;SG
importante	penting	importante	penting	ADJ;SG	ADJ;SG
último	terakhir	último	terakhir	ADJ;MASC;SG	ADJ;RL;SG
último	terbaru	último	terbaru	ADJ;MASC;SG	ADJ;RL;SG
uso	penggunaan	uso	pengunaan	N;MASC;SG	N;SG
uso	kegunaan	uso	kegunaan	N;MASC;SG	N;SG
uso	pemakaian	uso	penpakaian	N;MASC;SG	N;SG
uso	penggunaan	uso	pengunaan	N;MASC;SG	N;SG
base	pangkalan	base	pangkalan	N;SG	N;SG
base	base	base	base	N;SG	N
base	markas	base	markas	N;SG	N;SG
punto	poin	punto	poin	N;MASC;SG	N;SG
punto	titik	punto	titik	N;MASC;SG	N;SG
punto	point	punto	point	N;MASC;SG	N
posición	posisi	posición	posisi	N;FEM;SG	N;SG
posición	jabatan	posición	jabatan	N;FEM;SG	N;SG
alemania	wehrmacht	alemania	wehrmacht	N;FEM;SG	N
ubicación	peletakan	ubicación	penletakan	N;FEM;SG	N;SG
ubicación	penempatan	ubicación	pentempatan	N;FEM;SG	N;SG
ubicación	lokasi	ubicación	lokasi	N;FEM;SG	N;SG
capital	ibukota	capital	ibukota	N;FEM;SG	N;SG
capital	modal	capital	modal	N;FEM;SG	N;SG
teatro	teater	teatro	teater	N;MASC;SG	N
teatro	bioskop	teatro	bioskop	N;MASC;SG	N
teatro	teater	teatro	teater	N;MASC;SG	N
teatro	bioskop	teatro	bioskop	N;MASC;SG	N
laboratorio	laboratorium	laboratorio	laboratorium	N;MASC;SG	N
laboratorio	laboratorium	laboratorio	laboratorium	N;MASC;SG	N
socorro	relief	socorro	relief	N;MASC;SG	N;SG
libro	kitab	libro	kitab	N;MASC;SG	N;SG
libro	buku	libro	buku	N;MASC;SG	N;SG
estudios	studios	estudio	studios	N;MASC;PL	N
nivel	aras	nivel	aras	N;MASC;SG	N;SG
nivel	level	nivel	level	N;MASC;SG	N
nivel	tingkatan	nivel	tingkatan	N;MASC;SG	N;SG
nivel	tingkat	nivel	tingkat	N;MASC;SG	N;SG
mayoría	mayoritas	mayoría	mayoritas	N;FEM;SG	N;SG
unión	ikatan	unión	ikatan	N;FEM;SG	N;SG
edad	usia	edad	usia	N;FEM;SG	N;SG
edad	umur	edad	umur	N;FEM;SG	N;SG
artículos	item	artículo	item	N;MASC;PL	N
juego	permainan	juego	permainan	N;MASC;SG	N;SG
juego	game	juego	game	N;MASC;SG	N;SG
juego	permainan	juego	permainan	N;MASC;SG	N;SG
juego	game	juego	game	N;MASC;SG	N;SG
juego	judi	juego	judi	N;MASC;SG	N;SG
juego	perjudian	juego	perjudian	N;MASC;SG	N;SG
arte	seni	arte	seni	N;SG	N;SG
arte	kesenian	arte	kesenian	N;SG	N;SG
arte	seni	arte	seni	N;SG	N;SG
arte	kesenian	arte	kesenian	N;SG	N;SG
arte	artwork	arte	artwork	N;SG	N
especies	species	especie	species	N;FEM;PL	N
europa	eropa	europa	eropa	N;FEM;SG	N;SG
estilo	gaya	estilo	gaya	N;MASC;SG	N;SG
estilo	style	estilo	style	N;MASC;SG	N
estilo	styling	estilo	styling	N;MASC;SG	N
cine	bioskop	cine	bioskop	N;MASC;SG	N
cine	sinema	cine	sinema	N;MASC;SG	N;SG
cine	bioskop	cine	bioskop	N;MASC;SG	N
cine	film	cine	film	N;MASC;SG	N;SG
cine	bioskop	cine	bioskop	N;MASC;SG	N
cine	film	cine	film	N;MASC;SG	N;SG
cine	film	cine	film	N;MASC;SG	N;SG
cine	film	cine	film	N;MASC;SG	N;SG
proyecto	proyek	proyecto	proyek	N;MASC;SG	N;SG
proyecto	projek	proyecto	projek	N;MASC;SG	N;SG
center	pusat	center	pusat	N;MASC;SG	N;SG
selección	seleksi	selección	seleksi	N;FEM;SG	N;SG
selección	pemilihan	selección	penpilihan	N;FEM;SG	N;SG
costa	pesisir	costa	pesisir	N;FEM;SG	N
origen	asal	origen	asal	N;MASC;SG	N;SG
origen	sumber	origen	sumber	N;MASC;SG	N;SG
origen	asal	origen	asal	N;MASC;SG	N;SG
código	kode	código	kode	N;MASC;SG	N;SG
museo	musium	museo	musium	N;MASC;SG	N
puntos	point	punto	point	N;MASC;PL	N
puntos	jahitan	punto	jahitan	N;MASC;PL	N
militar	militer	militar	militer	ADJ;SG	ADJ;SG
producción	output	producción	output	N;FEM;SG	N
producción	keluaran	producción	keluaran	N;FEM;SG	N;SG
producción	produksi	producción	produksi	N;FEM;SG	N;SG
tener	memiliki	tener	menmiliki	V;NFIN	V;SG;ACT
tener	miliki	tener	miliki	V;NFIN	V;SG;ACT
wikipedia	wikipedia	wikipedia	wikipedia	N;FEM;SG	N
comenzó	dimulai	comenzar	dimulai	V;IND;SG;3;PST;FIN	V;SG;PASS
comenzó	memulai	comenzar	menmulai	V;IND;SG;3;PST;FIN	V;SG;ACT
debe	berutang	deber	berutang	V;IND;SG;3;PRS;FIN	V;SG;ACT
debe	berhutang	deber	berhutang	V;IND;SG;3;PRS;FIN	V;SG;ACT
siempre	selalu	siempre	selalu	ADV	ADV
oro	emas	oro	emas	N;MASC;SG	N;SG
oro	keemasan	oro	keemasan	N;MASC;SG	N;SG
oro	emas	oro	emas	N;MASC;SG	N;SG
posteriormente	kemudian	posteriormente	kemudian	ADV	ADV
casi	hampir	casi	hampir	ADV	ADV
casi	hampir	casi	hampir	ADV	ADV
construcción	bangunan	construcción	bangunan	N;FEM;SG	N;SG
construcción	gedung	construcción	gedung	N;FEM;SG	N;SG
construcción	konstruksi	construcción	konstruksi	N;FEM;SG	N;SG
construcción	pembangunan	construcción	penbangunan	N;FEM;SG	N;SG
local	lokal	local	lokal	ADJ;SG	ADJ;SG
cultura	kultur	cultura	kultur	N;FEM;SG	N
cultura	kebudayaan	cultura	kebudayaan	N;FEM;SG	N;SG
cultura	budaya	cultura	budaya	N;FEM;SG	N;SG
cultura	kebudayaan	cultura	kebudayaan	N;FEM;SG	N;SG
cultura	budaya	cultura	budaya	N;FEM;SG	N;SG
estudio	kajian	estudio	kajian	N;MASC;SG	N;SG
estudio	studi	estudio	studi	N;MASC;SG	N;SG
estudio	studio	estudio	studio	N;MASC;SG	N;SG
usuario	pemakai	usuario	penpakai	N;MASC;SG	N;SG
usuario	pengguna	usuario	penguna	N;MASC;SG	N;SG
finalmente	akhirnya	finalmente	akhirnya	ADV	ADV
cinco	lima	cinco	lima	NUM;PL	NUM
cargo	kargo	cargo	kargo	N;MASC;SG	N
cargo	muatan	cargo	muatan	N;MASC;SG	N;SG
cargo	tagihan	cargo	tagihan	N;MASC;SG	N;SG
cargo	biaya	cargo	biaya	N;MASC;SG	N;SG
cargo	tagih	cargo	tagih	N;MASC;SG	N;SG;ACT
cargo	pengisian	cargo	penisian	N;MASC;SG	N;SG
batalla	pertempuran	batalla	pertempuran	N;FEM;SG	N;SG
batalla	peperangan	batalla	peperangan	N;FEM;SG	N
derecho	kanan	derecho	kanan	N;MASC;SG	N;SG
derecho	hukum	derecho	hukum	N;MASC;SG	N;SG;ACT
imagen	gambar	imagen	gambar	N;FEM;SG	N;SG
imagen	image	imagen	image	N;FEM;SG	N
imagen	citra	imagen	citra	N;FEM;SG	N;SG
gracias	makasih	gracias	makasih	N	N
puerto	pelabuhan	puerto	penlabuhan	N;MASC;SG	N;SG
puerto	dermaga	puerto	dermaga	N;MASC;SG	N;SG
puerto	pelabuhan	puerto	penlabuhan	N;MASC;SG	N;SG
torneo	turnamen	torneo	turnamen	N;MASC;SG	N;SG
mucho	banyak	mucho	banyak	ADV	ADV
comunidad	komunitas	comunidad	komunitas	N;FEM;SG	N;SG
comunidad	masyarakat	comunidad	masyarakat	N;FEM;SG	N;SG
fin	akhir	fin	akhir	N;MASC;SG	N;SG
fin	sirip	fin	sirip	N;MASC;SG	N;SG
acuerdo	kesepakatan	acuerdo	kesepakatan	N;MASC;SG	N;SG
acuerdo	perjanjian	acuerdo	perjanjian	N;MASC;SG	N;SG
acuerdo	persetujuan	acuerdo	persetujuan	N;MASC;SG	N;SG
acuerdo	pengaturan	acuerdo	penaturan	N;MASC;SG	N;SG
lado	sisi	lado	sisi	N;MASC;SG	N;SG
lado	samping	lado	samping	N;MASC;SG	N;SG
servicio	jasa	servicio	jasa	N;MASC;SG	N;SG
