kanıtlar	beviser	kanıt	bevis	N;NOM;PL;3	N;INDF;NEUT;PL
bozukluğu	uorden	bozukluk	uorden	N;NOM;SG;3	N;INDF;MASC+FEM;SG
bozukluğu	lidelse	bozukluk	lidelse	N;NOM;SG;3	N;INDF;MASC+FEM;SG
bozukluğu	forstyrrelse	bozukluk	forstyrrelse	N;NOM;SG;3	N;INDF;MASC+FEM;SG
denklem	ligning	denkle	ligning	N;NOM;SG;3	N;INDF;MASC+FEM;SG
fiziği	fysik	fizik	fysik	N;NOM;SG;3	N;INDF;MASC+FEM;SG
fiziği	fysik	fizik	fysik	N;NOM;SG;3	N;INDF;MASC+FEM;SG
egemenlik	dominans	egemenlik	dominans	N;NOM;SG;3	N;INDF;MASC+FEM;SG
egemenlik	suveræniteten	egemenlik	suverænitet	N;NOM;SG;3	N;DEF;MASC+FEM;SG
egemenlik	suverænitet	egemenlik	suverænitet	N;NOM;SG;3	N;INDF;MASC+FEM;SG
egemenlik	dominans	egemenlik	dominans	N;NOM;SG;3	N;INDF;MASC+FEM;SG
markası	varemærke	marka	varemærke	N;NOM;SG;3	N;INDF;NEUT;SG
markası	brand	marka	brand	N;NOM;SG;3	N;INDF;MASC+FEM;SG
markası	brandet	marka	brand	N;NOM;SG;3	N;DEF;NEUT;SG
öldürdü	dræbt	öl	dræbe	V;PFV;IND;SG;3;POS;PST;CAUS	V;INDF;SG;PST;V.PTCP
öldürdü	myrdet	öl	myrde	V;PFV;IND;SG;3;POS;PST;CAUS	V;INDF;SG;PST;V.PTCP
fransızlar	franskmænd	fransız	franskmand	N;NOM;PL;3	N;INDF;MASC+FEM;PL
iddiaları	beskyldninger	iddia	beskyldning	N;NOM;PL;3	N;INDF;MASC+FEM;PL
iddiaları	påstande	iddia	påstande	N;NOM;PL;3	N;INDF;MASC+FEM;PL
url	url	url	url	N;NOM;SG;3	N;INDF;MASC+FEM;SG
ahlak	etik	ahlak	etik	N;NOM;SG;3	N;INDF;MASC+FEM;SG
ahlak	næstformand	ahlak	næstformand	N;NOM;SG;3	N;INDF;MASC+FEM;SG
ahlak	vice	ahlak	vice	N;NOM;SG;3	N;INDF;MASC+FEM;SG
ahlak	moral	ahlak	moral	N;NOM;SG;3	N;INDF;MASC+FEM;SG
ahlak	moral	ahlak	moral	N;NOM;SG;3	N;INDF;MASC+FEM;SG
ahlak	moral	ahlak	moral	N;NOM;SG;3	N;INDF;MASC+FEM;SG
duyuruldu	meddelt	duyur	meddele	V;PFV;IND;SG;3;POS;PST;PASS	V;INDF;SG;PST;V.PTCP
duyuruldu	annonceret	duyur	annoncere	V;PFV;IND;SG;3;POS;PST;PASS	V;INDF;SG;PST;V.PTCP
duyuruldu	bekendtgjort	duyur	bekendtgøre	V;PFV;IND;SG;3;POS;PST;PASS	V;INDF;SG;PST;V.PTCP
duyuruldu	bebudet	duyur	bebude	V;PFV;IND;SG;3;POS;PST;PASS	V;INDF;SG;PST;V.PTCP
şiddetle	vold	şiddet	vold	N;INS;SG;3	N;INDF;MASC+FEM;SG
logosu	logo	logo	logo	N;NOM;SG;3	N;INDF;NEUT;SG
logosu	logoet	logo	logo	N;NOM;SG;3	N;DEF;NEUT;SG
işçiler	arbejdstagere	işçi	arbejdstager	N;NOM;PL;3	N;INDF;MASC+FEM;PL
işçiler	arbejdstagerne	işçi	arbejdstage	N;NOM;PL;3	N;DEF;MASC+FEM;PL
işçiler	arbejdere	işçi	arbejder	N;NOM;PL;3	N;INDF;MASC+FEM;PL
işçiler	arbejdstagere	işçi	arbejdstager	N;NOM;PL;3	N;INDF;MASC+FEM;PL
işçiler	medarbejdere	işçi	medarbejder	N;NOM;PL;3	N;INDF;MASC+FEM;PL
işçiler	lønmodtagere	işçi	lønmodtager	N;NOM;PL;3	N;INDF;MASC+FEM;PL
görüşmeler	samtaler	görüşme	samtale	N;NOM;PL;3	N;INDF;MASC+FEM;PL
görüşmeler	interviews	görüşme	interviews	N;NOM;PL;3	N;INDF;NEUT;PL
görüşmeler	afhøringer	görüşme	afhøring	N;NOM;PL;3	N;INDF;MASC+FEM;PL
görüşmeler	drøftelserne	görüşme	drøftelse	N;NOM;PL;3	N;DEF;MASC+FEM;PL
görüşmeler	diskussioner	görüşme	diskussion	N;NOM;PL;3	N;INDF;MASC+FEM;PL
görüşmeler	drøftelser	görüşme	drøftelse	N;NOM;PL;3	N;INDF;MASC+FEM;PL
görüşmeler	samlinger	görüşme	samling	N;NOM;PL;3	N;INDF;MASC+FEM;PL
kalıntılar	rester	kalıntı	rest	N;NOM;PL;3	N;INDF;MASC+FEM;PL
kalıntılar	ruiner	kalıntı	ruin	N;NOM;PL;3	N;INDF;MASC+FEM;PL
kalıntılar	ruinerne	kalıntı	ruin	N;NOM;PL;3	N;DEF;MASC+FEM;PL
kalıntılar	rester	kalıntı	rest	N;NOM;PL;3	N;INDF;MASC+FEM;PL
kalıntılar	restprodukter	kalıntı	restprodukt	N;NOM;PL;3	N;INDF;NEUT;PL
yazıyor	skriver	yaz	skrive	V;PROG;IND;SG;3;POS;INFM;PRS	V;IND;PRS;FIN;ACT
pasaportu	pas	pasaport	pas	N;ACC;SG;3	N;INDF;NEUT;SG
şampiyonları	mestre	şampiyon	mester	N;NOM;PL;3	N;INDF;MASC+FEM;PL
şampiyonları	vindere	şampiyon	vinder	N;NOM;PL;3	N;INDF;MASC+FEM;PL
zincir	lænke	zincir	lænke	N;NOM;SG;3	N;INDF;MASC+FEM;SG
zincir	kæde	zincir	kæde	N;NOM;SG;3	N;INDF;MASC+FEM;SG
zincir	kæden	zincir	kæde	N;NOM;SG;3	N;DEF;MASC+FEM;SG
mekaniği	mekanik	mekanik	mekanik	N;NOM;SG;3	N;INDF;MASC+FEM;SG
başlıkları	overskrifter	başlık	overskrift	N;ACC;PL;3	N;INDF;MASC+FEM;PL
başlıkları	overskrifterne	başlık	overskrift	N;ACC;PL;3	N;DEF;MASC+FEM;PL
çerçeve	stel	çerçev	stel	N;NOM;SG;3	N;INDF;NEUT;SG
çerçeve	ramme	çerçev	ramme	N;NOM;SG;3	N;INDF;MASC+FEM;SG
çerçeve	rammen	çerçev	ramme	N;NOM;SG;3	N;DEF;MASC+FEM;SG
çerçeve	ramme	çerçev	ramme	N;NOM;SG;3	N;INDF;MASC+FEM;SG
cadde	gade	cadde	gade	N;NOM;SG;3	N;INDF;MASC+FEM;SG
cadde	street	cadde	stre	N;NOM;SG;3	N;INDF;NEUT;SG
cadde	gaden	cadde	gade	N;NOM;SG;3	N;DEF;MASC+FEM;SG
tanımlama	definere	tanımla	definere	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;NFIN;ACT
tanımlama	definerer	tanımla	definere	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;IND;PRS;FIN;ACT
disiplin	disciplinen	dis	disciplin	N;NOM;SG;3	N;DEF;MASC+FEM;SG
disiplin	disciplin	dis	disciplin	N;NOM;SG;3	N;INDF;MASC+FEM;SG
genişletilmiş	udvidede	genişle	udvide	V;PFV;NFH;IND;POS;PST;V.PTCP;PASS	V;PL;PST;V.PTCP
genişletilmiş	udvidet	genişle	udvide	V;PFV;NFH;IND;POS;PST;V.PTCP;PASS	V;INDF;SG;PST;V.PTCP
çeşitlilik	forskelligartethed	çeşitlilik	forskelligartethed	N;NOM;SG;3	N;INDF;MASC+FEM;SG
çeşitlilik	forskellighed	çeşitlilik	forskellighed	N;NOM;SG;3	N;INDF;MASC+FEM;SG
çeşitlilik	mangfoldighed	çeşitlilik	mangfoldighed	N;NOM;SG;3	N;INDF;MASC+FEM;SG
çeşitlilik	diversitet	çeşitlilik	diversitet	N;NOM;SG;3	N;INDF;SG
çeşitlilik	forskelligartethed	çeşitlilik	forskelligartethed	N;NOM;SG;3	N;INDF;MASC+FEM;SG
çeşitlilik	variation	çeşitlilik	variation	N;NOM;SG;3	N;INDF;MASC+FEM;SG
defteri	notesbog	defteri	notesbog	N;NOM;SG;3	N;INDF;MASC+FEM;SG
uzaklık	distance	uzaklık	distance	N;NOM;SG;3	N;INDF;MASC+FEM;SG
uzaklık	afstand	uzaklık	afstand	N;NOM;SG;3	N;INDF;MASC+FEM;SG
yaratmak	opretter	yarat	oprette	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;IND;PRS;FIN;ACT
yaratmak	oprette	yarat	oprette	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;NFIN;ACT
yaratmak	skabe	yarat	skabe	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;NFIN;ACT
anlatıyor	fortæller	anlat	fortælle	V;PROG;IND;SG;3;POS;INFM;PRS	V;IND;PRS;FIN;ACT
hıristiyanlık	kristendommen	hıristiyanlık	kristendom	N;NOM;SG;3	N;DEF;MASC+FEM;SG
hıristiyanlık	kristendom	hıristiyanlık	kristendom	N;NOM;SG;3	N;INDF;MASC+FEM;SG
kararları	resolutioner	karar	resolution	N;ACC;PL;3	N;INDF;MASC+FEM;PL
kararları	beslutninger	karar	beslutning	N;ACC;PL;3	N;INDF;MASC+FEM;PL
kararları	afgørelser	karar	afgørelse	N;ACC;PL;3	N;INDF;MASC+FEM;PL
kararları	beslutninger	karar	beslutning	N;ACC;PL;3	N;INDF;MASC+FEM;PL
desteklenen	bakkes	destekle	bakke	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;IND;PRS;FIN;PASS
yöneticiler	virksomhedsledere	yönetici	virksomhedsleder	N;NOM;PL;3	N;INDF;MASC+FEM;PL
yöneticiler	ledere	yönetici	leder	N;NOM;PL;3	N;INDF;MASC+FEM;PL
yöneticiler	forvaltere	yönetici	forvaltere	N;NOM;PL;3	N;INDF;MASC+FEM;PL
yöneticiler	instruktører	yönetici	instruktør	N;NOM;PL;3	N;INDF;MASC+FEM;PL
yöneticiler	direktører	yönetici	direktør	N;NOM;PL;3	N;INDF;MASC+FEM;PL
yöneticiler	administratorer	yönetici	administrator	N;NOM;PL;3	N;INDF;MASC+FEM;PL
yöneticiler	magthavere	yönetici	magthaver	N;NOM;PL;3	N;INDF;MASC+FEM;PL
yöneticiler	herskere	yönetici	herskere	N;NOM;PL;3	N;INDF;MASC+FEM;PL
yöneticiler	administratorer	yönetici	administrator	N;NOM;PL;3	N;INDF;MASC+FEM;PL
pazarı	markedet	pazar	marked	N;ACC;SG;3	N;DEF;NEUT;SG
pazarı	marked	pazar	marked	N;ACC;SG;3	N;INDF;NEUT;SG
aydınlık	lys	aydınlık	lys	N;NOM;SG;3	N;INDF;NEUT;SG
aydınlık	lyst	aydınlık	lyst	N;NOM;SG;3	N;INDF;MASC+FEM;SG
aydınlık	lysstyrke	aydınlık	lysstyrke	N;NOM;SG;3	N;INDF;MASC+FEM;SG
aralıklarla	intervaller	aralık	interval	N;INS;PL;3	N;INDF;MASC+FEM;PL
asistanı	medhjælper	asistan	medhjælpe	N;ACC;SG;3	N;INDF;MASC+FEM;SG
asistanı	assistent	asistan	assistent	N;ACC;SG;3	N;INDF;MASC+FEM;SG
aileleri	familierne	aile	familie	N;ACC;PL;3	N;DEF;MASC+FEM;PL
aileleri	familier	aile	familie	N;ACC;PL;3	N;INDF;MASC+FEM;PL
oranları	satserne	oran	satser	N;ACC;PL;3	N;DEF;MASC+FEM;PL
sporcular	atleter	sporcu	atlet	N;NOM;PL;3	N;INDF;MASC+FEM;PL
sporcular	sportsfolk	sporcu	sportsfolk	N;NOM;PL;3	N;INDF;NEUT;PL
sporcular	sportsfolk	sporcu	sportsfolk	N;NOM;PL;3	N;INDF;NEUT;PL
arıcılık	biavl	arıcılık	biavl	N;NOM;SG;3	N;INDF;MASC+FEM;SG
cihazlar	enheder	cihaz	enhed	N;NOM;PL;3	N;INDF;MASC+FEM;PL
cihazlar	indretninger	cihaz	indretning	N;NOM;PL;3	N;INDF;MASC+FEM;PL
cihazlar	anordninger	cihaz	anordning	N;NOM;PL;3	N;INDF;MASC+FEM;PL
okumak	læses	oku	læse	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;IND;PRS;FIN;PASS
okumak	læse	oku	læse	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;NFIN;ACT
okumak	læser	oku	læse	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;IND;PRS;FIN;ACT
okumak	læse	oku	læse	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;NFIN;ACT
uzmanlık	specialitet	uzmanlık	specialitet	N;NOM;SG;3	N;INDF;MASC+FEM;SG
uzmanlık	ekspertviden	uzmanlık	ekspertviden	N;NOM;SG;3	N;INDF;MASC+FEM;SG
uzmanlık	sagkundskab	uzmanlık	sagkundskab	N;NOM;SG;3	N;INDF;MASC+FEM;SG
uzmanlık	ekspertise	uzmanlık	ekspertise	N;NOM;SG;3	N;INDF;MASC+FEM;SG
uzmanlık	specialisering	uzmanlık	specialisering	N;NOM;SG;3	N;INDF;MASC+FEM;SG
uzmanlık	specialitet	uzmanlık	specialitet	N;NOM;SG;3	N;INDF;MASC+FEM;SG
uzmanlık	speciale	uzmanlık	speciale	N;NOM;SG;3	N;INDF;NEUT;SG
şimdiden	allerede	şimdiden	allerede	ADV	ADV
bakanlık	ministeriet	bakanlık	ministerium	N;NOM;SG;3	N;DEF;NEUT;SG
bakanlık	ministerium	bakanlık	ministerium	N;NOM;SG;3	N;INDF;NEUT;SG
yüzük	ringen	yüzük	ring	N;NOM;SG;3	N;DEF;MASC+FEM;SG
deneyimi	oplevelse	deney	oplevelse	N;ACC;SG;3	N;INDF;MASC+FEM;SG
deneyimi	erfaring	deney	erfaring	N;ACC;SG;3	N;INDF;MASC+FEM;SG
bağlanmış	vedlagt	bağla	vedlægge	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V;INDF;SG;PST;V.PTCP
bağlanmış	vedhæftet	bağla	vedhæfte	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V;INDF;SG;PST;V.PTCP
bağlanmış	tilknyttet	bağla	tilknytte	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V;INDF;SG;PST;V.PTCP
bağlanmış	knyttet	bağla	knytte	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V;INDF;SG;PST;V.PTCP
bağlanmış	fastgjort	bağla	fastgøre	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V;INDF;SG;PST;V.PTCP
bağlanmış	tilsluttet	bağla	tilslutte	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V;INDF;SG;PST;V.PTCP
bağlanmış	knyttet	bağla	knytte	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V;INDF;SG;PST;V.PTCP
bağlanmış	bundet	bağla	binde	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V;INDF;SG;PST;V.PTCP
bağlanmış	bundet	bağla	binde	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V;INDF;SG;PST;V.PTCP
aramaya	søger	ara	søge	V;PFV;DAT;IND;POS;PRS;V.MSDR	V;IND;PRS;FIN;ACT
protokolü	protokollen	protokolü	protokol	N;ACC;SG;3	N;DEF;MASC+FEM;SG
protokolü	protokol	protokolü	protokol	N;ACC;SG;3	N;INDF;MASC+FEM;SG
üçüncüsü	tredje	üçüncü	tredje	ADJ;NOM;SG;3	ADJ
iphone	iphone	iphon	iphone	N;NOM;SG;3	N;INDF;MASC+FEM;SG
buluşma	mødes	buluş	mødes	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;NFIN;ACT
buluşma	møder	buluş	møde	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;IND;PRS;FIN;ACT
fikirler	meninger	fikir	mening	N;NOM;PL;3	N;INDF;MASC+FEM;PL
fikirler	udtalelser	fikir	udtalelse	N;NOM;PL;3	N;INDF;MASC+FEM;PL
fikirler	ideer	fikir	ide	N;NOM;PL;3	N;INDF;MASC+FEM;PL
fikirler	forestillinger	fikir	forestilling	N;NOM;PL;3	N;INDF;MASC+FEM;PL
fikirler	idéer	fikir	idé	N;NOM;PL;3	N;INDF;MASC+FEM;PL
liderlik	lederskab	liderlik	lederskab	N;NOM;SG;3	N;INDF;NEUT;SG
liderlik	ledelse	liderlik	ledelse	N;NOM;SG;3	N;INDF;MASC+FEM;SG
minimum	minimum	minim	minimum	N;NOM;SG;3	N;INDF;NEUT;SG
parametre	parameteren	parametre	parameter	N;NOM;SG;3	N;DEF;MASC+FEM;SG
parametre	parameter	parametre	parameter	N;NOM;SG;3	N;INDF;MASC+FEM;SG
topluluklar	fællesskaber	topluluk	fællesskab	N;NOM;PL;3	N;INDF;NEUT;PL
topluluklar	samfundene	topluluk	samfund	N;NOM;PL;3	N;DEF;NEUT;PL
nötron	neutron	nötron	neutron	N;NOM;SG;3	N;INDF;MASC+FEM;SG
hentbol	håndbold	hentbol	håndbold	N;NOM;SG;3	N;INDF;MASC+FEM;SG
derinliği	dybde	derinlik	dybde	N;ACC;SG;3	N;INDF;MASC+FEM;SG
derinliği	dybden	derinlik	dybden	N;ACC;SG;3	N;DEF;MASC+FEM;SG
kulüpleri	klubber	kulüp	klub	N;ACC;PL;3	N;INDF;MASC+FEM;PL
kulüpleri	natklubber	kulüp	natklub	N;ACC;PL;3	N;INDF;MASC+FEM;PL
kulüpleri	køller	kulüp	kølle	N;ACC;PL;3	N;INDF;MASC+FEM;PL
kulüpleri	klubberne	kulüp	klub	N;ACC;PL;3	N;DEF;MASC+FEM;PL
yakalandı	fanget	yakala	fange	V;PFV;IND;SG;3;POS;PST;PASS	V;INDF;SG;PST;V.PTCP
yakalandı	fanget	yakala	fange	V;PFV;IND;SG;3;POS;PST;PASS	V;INDF;SG;PST;V.PTCP
yakalandı	indfanget	yakala	indfange	V;PFV;IND;SG;3;POS;PST;PASS	V;INDF;SG;PST;V.PTCP
monarşi	monarki	monarşi	monarki	N;NOM;SG;3	N;INDF;NEUT;SG
kaybeder	tabe	kaybet	tabe	V;IPFV;IND;SG;3;POS	V;NFIN;ACT
milletvekilleri	stedfortrædere	milletvekili	stedfortræder	N;NOM;PL;3	N;INDF;MASC+FEM;PL
milletvekilleri	lovgiverne	milletvekili	lovgiver	N;NOM;PL;3	N;DEF;MASC+FEM;PL
milletvekilleri	lovgivere	milletvekili	lovgiver	N;NOM;PL;3	N;INDF;MASC+FEM;PL
milletvekilleri	parlamentsmedlemmer	milletvekili	parlamentsmedlem	N;NOM;PL;3	N;INDF;NEUT;PL
videoları	videoer	video	video	N;ACC;PL;3	N;INDF;NEUT;PL
sipariş	bestilling	sipariş	bestilling	N;NOM;SG;3	N;INDF;MASC+FEM;SG
sipariş	bestilling	sipariş	bestilling	N;NOM;SG;3	N;INDF;MASC+FEM;SG
sipariş	ordre	sipariş	ordre	N;NOM;SG;3	N;INDF;MASC+FEM;SG
sipariş	rækkefølge	sipariş	rækkefølg	N;NOM;SG;3	N;INDF;MASC+FEM;SG
sipariş	ordre	sipariş	ordre	N;NOM;SG;3	N;INDF;MASC+FEM;SG
ağaçlar	træer	ağaç	træ	N;NOM;PL;3	N;INDF;NEUT;PL
ağaçlar	træerne	ağaç	træ	N;NOM;PL;3	N;DEF;NEUT;PL
değişti	ændret	değiş	ændre	V;PFV;IND;SG;3;POS;PST	V;INDF;SG;PST;V.PTCP
değişti	forandret	değiş	forandre	V;PFV;IND;SG;3;POS;PST	V;INDF;SG;PST;V.PTCP
toplamak	indsamler	topla	indsamle	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;IND;PRS;FIN;ACT
anlamsız	meningsløs	anlamsız	meningsløs	ADJ	ADJ;INDF;MASC+FEM;SG
anlamsız	meningsløst	anlamsız	meningsløs	ADJ	ADJ;INDF;NEUT;SG
anlamsız	meningsløse	anlamsız	meningsløs	ADJ	ADJ;PL
anlamsız	meningsløs	anlamsız	meningsløs	ADJ	ADJ;INDF;MASC+FEM;SG
anlamsız	meningsløst	anlamsız	meningsløs	ADJ	ADJ;INDF;NEUT;SG
bataklık	sumpen	bataklık	sump	N;NOM;SG;3	N;DEF;MASC+FEM;SG
bataklık	sump	bataklık	sump	N;NOM;SG;3	N;INDF;MASC+FEM;SG
bataklık	mose	bataklık	mose	N;NOM;SG;3	N;INDF;MASC+FEM;SG
bataklık	mosen	bataklık	mosen	N;NOM;SG;3	N;DEF;MASC+FEM;SG
bataklık	kviksand	bataklık	kviksand	N;NOM;SG;3	N;INDF;MASC+FEM;SG
göller	søerne	göl	sø	N;NOM;PL;3	N;DEF;MASC+FEM;PL
göller	søer	göl	søe	N;NOM;PL;3	N;INDF;MASC+FEM;PL
katılımı	fremmøde	katılım	fremmøde	N;ACC;SG;3	N;INDF;NEUT;SG
katılımı	tilstedeværelse	katılım	tilstedeværelse	N;ACC;SG;3	N;INDF;MASC+FEM;SG
katılımı	deltagelse	katılım	deltagelse	N;ACC;SG;3	N;INDF;MASC+FEM;SG
katılımı	deltagelse	katılım	deltagelse	N;ACC;SG;3	N;INDF;MASC+FEM;SG
katılımı	medindflydelse	katılım	medindflydelse	N;ACC;SG;3	N;INDF;MASC+FEM;SG
katılımı	medbestemmelse	katılım	medbestemmelse	N;ACC;SG;3	N;INDF;MASC+FEM;SG
havzası	bækkenet	havza	bækken	N;NOM;SG;3	N;DEF;NEUT;SG
havzası	bassin	havza	bassin	N;NOM;SG;3	N;INDF;NEUT;SG
eklenmiş	tilføjet	ekle	tilføje	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V;INDF;SG;PST;V.PTCP
eklenmiş	føjet	ekle	føje	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V;INDF;SG;PST;V.PTCP
eklenmiş	tilsat	ekle	tilsat	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V;INDF;SG;PST;V.PTCP
ilaçlar	lægemidler	ilaç	lægemiddel	N;NOM;PL;3	N;INDF;NEUT;PL
