ben	本	ben	本		
tartományban	省	tartomány	省	N;IN+ESS;SG	N
tartományban	省省	tartomány	省省	N;IN+ESS;SG	N
tartományban	省份	tartomány	省份	N;IN+ESS;SG	N
poszt	郵政	poszt	郵政	N;NOM;SG	N
tagjai	成員	tag	成員	N;NOM;PL	N
kormány	政府	kormány	政府	N;NOM;SG	N
hadsereg	軍方	hadsereg	軍方	N;NOM;SG	N
hadsereg	軍事	hadsereg	軍事	N;NOM;SG	N
hadsereg	集團	hadsereg	集團	N;NOM;SG	N
hadsereg	軍隊	hadsereg	軍隊	N;NOM;SG	N
hadsereg	軍	hadsereg	軍	N;NOM;SG	N
hadsereg	陸軍	hadsereg	陸軍	N;NOM;SG	N
királyság	王國	királyság	王國	N;NOM;SG	N
királyság	國度	királyság	國度	N;NOM;SG	N
szerepet	作用	szerep	作用	N;ACC;SG	N
szerepet	角色	szerep	角色	N;ACC;SG	N
győzelem	勝利	győzelem	勝利	N;NOM;SG	N
győzelem	勝利	győzelem	勝利	N;NOM;SG	N
cím	標題	cím	標題	N;NOM;SG	N
cím	地址	cím	地址	N;NOM;SG	N
cím	住址	cím	住址	N;NOM;SG	N
játékos	球員	játékos	球員	N;NOM;SG	N
játékos	玩家	játékos	玩家	N;NOM;SG	N
játékos	玩家	játékos	玩家	N;NOM;SG	N
használt	使用	használt	使用	V;INDF;IND;SG;3;PST;FIN;ACT	V
élet	生命	élet	生命	N;NOM;SG	N
élet	人生	élet	人生	N;NOM;SG	N
törvény	法律	törvény	法律	N;NOM;SG	N
hatalmas	巨大	hatalmas	巨大	ADJ;NOM;SG	ADJ
akadémia	學院	akadémia	學院	N;NOM;SG	N
irodalom	文獻	irodalom	文獻	N;NOM;SG	N
irodalom	文學	irodalom	文學	N;NOM;SG	N
társaság	公司	társaság	公司	N;NOM;SG	N
szöveg	文字	szöveg	文字	N;NOM;SG	N
szöveg	案文	szöveg	案文	N;NOM;SG	N
szöveg	歌詞	szöveg	歌詞	N;NOM;SG	N
területe	領地	terület	領地	N;NOM;SG	N
területe	領土	terület	領土	N;NOM;SG	N
rész	插曲	rész	插曲	N;NOM;SG	N
rész	集	rész	集	N;NOM;SG	N
mutatja	顯示	mutat	顯示	V;DEF;IND;SG;3;PRS;FIN;ACT	V
sugárzás	輻射	sugárzás	輻射	N;NOM;SG	N
filmek	電影	film	電影	N;NOM;PL	N
filmek	影片	film	影片	N;NOM;PL	N
ezer	千	ezer	千	NUM;NOM;SG	NUM
ezer	數千	ezer	數千	NUM;NOM;SG	NUM
képek	影像	kép	影像	N;NOM;PL	N
képek	圖片	kép	圖片	N;NOM;PL	N
képek	圖片	kép	圖片	N;NOM;PL	N
képek	像片	kép	像片	N;NOM;PL	N
képek	圖畫	kép	圖畫	N;NOM;PL	N
képek	照片	kép	照片	N;NOM;PL	N
képek	像片	kép	像片	N;NOM;PL	N
képek	照片	kép	照片	N;NOM;PL	N
kor	年紀	kor	年紀	N;NOM;SG	N
kor	年齡	kor	年齡	N;NOM;SG	N
épület	大樓	épület	大樓	N;NOM;SG	N
épület	建築	épület	建築	N;NOM;SG	N
politikus	政客	politikus	政客	N;NOM;SG	N
politikus	政治	politikus	政治	N;NOM;SG	N
tartomány	省	tartomány	省	N;NOM;SG	N
tartomány	省省	tartomány	省省	N;NOM;SG	N
tartomány	省份	tartomány	省份	N;NOM;SG	N
tartomány	網域	tartomány	網域	N;NOM;SG	N
tartomány	域	tartomány	域	N;NOM;SG	N
tartomány	山脈	tartomány	山脈	N;NOM;SG	N
tartomány	範圍	tartomány	範圍	N;NOM;SG	N
tartomány	射程	tartomány	射程	N;NOM;SG	N
művészeti	藝術	művészeti	藝術	N;NOM;SG	N
sziget	海島	sziget	海島	N;NOM;SG	N
sziget	島嶼	sziget	島嶼	N;NOM;SG	N
műszaki	技術	műszaki	技術	N;NOM;SG	N
adatok	資料	adat	資料	N;NOM;PL	N
honlap	網站	honlap	網站	N;NOM;SG	N
honlap	網頁	honlap	網頁	N;NOM;SG	N
természetes	天然	természetes	天然	ADJ;NOM;SG	ADJ
díjat	獎	díjat	獎	N;ACC;SG	N
egyben	還	egyben	還	ADV	ADV
egyben	也	egyben	也	ADV	ADV
csata	戰	csata	戰	N;NOM;SG	N
csata	戰役	csata	戰役	N;NOM;SG	N
csata	戰鬥	csata	戰鬥	N;NOM;SG	N
játék	比賽	játék	比賽	N;NOM;SG	N
játék	遊戲	játék	遊戲	N;NOM;SG	N
játék	玩具	játék	玩具	N;NOM;SG	N
játék	遊戲	játék	遊戲	N;NOM;SG	N
játék	彈	játék	彈	N;NOM;SG	N
könyv	圖書	könyv	圖書	N;NOM;SG	N
könyv	書	könyv	書	N;NOM;SG	N
könyv	書籍	könyv	書籍	N;NOM;SG	N
könyv	圖書	könyv	圖書	N;NOM;SG	N
könyv	書	könyv	書	N;NOM;SG	N
könyv	書籍	könyv	書籍	N;NOM;SG	N
fok	角	fok	角	N;NOM;SG	N
fok	學位	fok	學位	N;NOM;SG	N
fok	度	fok	度	N;NOM;SG	N
fok	度	fok	度	N;NOM;SG	N
fok	程度	fok	程度	N;NOM;SG	N
fok	學位	fok	學位	N;NOM;SG	N
perc	分鐘	perc	分鐘	N;NOM;SG	N
perc	分鐘	perc	分鐘	N;NOM;SG	N
egyház	教會	egyház	教會	N;NOM;SG	N
egyház	教堂	egyház	教堂	N;NOM;SG	N
barlang	山洞	barlang	山洞	N;NOM;SG	N
barlang	洞穴	barlang	洞穴	N;NOM;SG	N
üzenet	留言	üzenet	留言	N;NOM;SG	N
üzenet	訊息	üzenet	訊息	N;NOM;SG	N
üzenet	信件	üzenet	信件	N;NOM;SG	N
tartalmazza	含有	tartalmaz	含有	V;DEF;IND;SG;3;PRS;FIN;ACT	V
tartalmazza	包含	tartalmaz	包含	V;DEF;IND;SG;3;PRS;FIN;ACT	V
tartalmazza	包括	tartalmaz	包括	V;DEF;IND;SG;3;PRS;FIN;ACT	V
regény	小說	regény	小說	N;NOM;SG	N
regény	小說	regény	小說	N;NOM;SG	N
osztály	階級	osztály	階級	N;NOM;SG	N
osztály	類	osztály	類	N;NOM;SG	N
osztály	類別	osztály	類別	N;NOM;SG	N
osztály	課堂	osztály	課堂	N;NOM;SG	N
osztály	班級	osztály	班級	N;NOM;SG	N
lakosság	人口	lakosság	人口	N;NOM;SG	N
széles	廣義	széles	廣義	N;NOM;SG	N
file	文件	file	文件	N;NOM;SG	N
file	檔案	file	檔案	N;NOM;SG	N
írók	作家	író	作家	N;NOM;PL	N
írók	作者	író	作者	N;NOM;PL	N
írók	作者	író	作者	N;NOM;PL	N
egyszerű	簡單	egyszerű	簡單	ADJ;NOM;SG	ADJ
kiadás	版	kiadás	版	N;NOM;SG	N
kiadás	支出	kiadás	支出	N;NOM;SG	N
rend	秩序	rend	秩序	N;NOM;SG	N
rend	順序	rend	順序	N;NOM;SG	N
szakma	職業	szakma	職業	N;NOM;SG	N
szakma	專業	szakma	專業	N;NOM;SG	N
verseny	比賽	verseny	比賽	N;NOM;SG	N
verseny	賽	verseny	賽	N;NOM;SG	N
verseny	種族	verseny	種族	N;NOM;SG	N
verseny	競賽	verseny	競賽	N;NOM;SG	N
verseny	競爭	verseny	競爭	N;NOM;SG	N
verseny	競賽	verseny	競賽	N;NOM;SG	N
verseny	比賽	verseny	比賽	N;NOM;SG	N
verseny	競賽	verseny	競賽	N;NOM;SG	N
eredmény	成果	eredmény	成果	N;NOM;SG	N
eredmény	結果	eredmény	結果	N;NOM;SG	N
eredmény	結果	eredmény	結果	N;NOM;SG	N
rossz	錯	rossz	錯		
test	屍體	test	屍體	N;NOM;SG	N
test	體	test	體	N;NOM;SG	N
test	身體	test	身體	N;NOM;SG	N
ének	聖歌	én	聖歌	N;NOM;SG	N
ének	歌聲	én	歌聲	N;NOM;SG	N
ének	唱歌	én	唱歌	N;NOM;SG	N
ének	歌唱	én	歌唱	N;NOM;SG	N
keretében	框架	keret	框架	N;IN+ESS;SG	N
változat	版	változat	版	N;NOM;SG	N
változat	版本	változat	版本	N;NOM;SG	N
gól	目標	gól	目標	N;NOM;SG	N
kérdés	問題	kérdés	問題	N;NOM;SG	N
kérdés	問題	kérdés	問題	N;NOM;SG	N
díjak	收費	díj	收費	N;NOM;PL	N
díjak	保費	díj	保費	N;NOM;PL	N
díjak	保險	díj	保險	N;NOM;PL	N
díjak	獎勵	díj	獎勵	N;NOM;PL	N
díjak	獎	díj	獎	N;NOM;PL	N
díjak	獎品	díj	獎品	N;NOM;PL	N
díjak	費用	díj	費用	N;NOM;PL	N
díjak	收費	díj	收費	N;NOM;PL	N
uralkodó	尺子	uralkodó	尺子	N;NOM;SG	N
uralkodó	皇帝	uralkodó	皇帝	N;NOM;SG	N
uralkodó	天皇	uralkodó	天皇	N;NOM;SG	N
uralkodó	君主	uralkodó	君主	N;NOM;SG	N
évad	季	évad	季	N;NOM;SG	N
évad	季節	évad	季節	N;NOM;SG	N
program	方案	program	方案	N;NOM;SG	N
program	程式	program	程式	N;NOM;SG	N
program	方案	program	方案	N;NOM;SG	N
szezon	季	szez	季	N;NOM;SG	N
szezon	季節	szez	季節	N;NOM;SG	N
nők	婦女	nő	婦女	N;NOM;PL	N
nők	女性	nő	女性	N;NOM;PL	N
bizottság	委員	bizottság	委員	N;NOM;SG	N
zenekar	樂團	zenekar	樂團	N;NOM;SG	N
zenekar	樂隊	zenekar	樂隊	N;NOM;SG	N
zenekar	管弦	zenekar	管弦	N;NOM;SG	N
zenekar	樂團	zenekar	樂團	N;NOM;SG	N
színésznő	女	színésznő	女	N;NOM;SG	N
színésznő	女	színésznő	女	N;NOM;SG	N
színésznő	演員	színésznő	演員	N;NOM;SG	N
tíz	十	tíz	十	NUM;NOM;SG	NUM
tíz	十	tíz	十	NUM;NOM;SG	NUM
gitár	吉他	gitár	吉他	N;NOM;SG	N
gitár	吉他	gitár	吉他	N;NOM;SG	N
legmagasabb	最高	nagmagas	最高	ADJ;NOM;RL;SG	ADJ
www	www	www	www		
kötet	體積	kötet	體積	N;NOM;SG	N
kötet	音量	kötet	音量	N;NOM;SG	N
tartalmaz	含有	tartalmaz	含有	V;DEF;IND;SG;3;PRS;FIN;ACT	V
tartalmaz	包含	tartalmaz	包含	V;DEF;IND;SG;3;PRS;FIN;ACT	V
országok	國家	ország	國家	N;NOM;PL	N
országok	各國	ország	各國	N;NOM;PL	N
munka	工作	munka	工作	N;NOM;SG	N
munka	工作	munka	工作	N;NOM;SG	N
elnök	總統	elnök	總統	N;NOM;SG	N
elnök	主席	elnök	主席	N;NOM;SG	N
elnök	主席	elnök	主席	N;NOM;SG	N
egység	單元	egység	單元	N;NOM;SG	N
egység	單位	egység	單位	N;NOM;SG	N
egység	團	egység	團	N;NOM;SG	N
egység	股	egység	股	N;NOM;SG	N
egység	單元	egység	單元	N;NOM;SG	N
egység	單位	egység	單位	N;NOM;SG	N
történet	動態	történet	動態	N;NOM;SG	N
történet	故事	történet	故事	N;NOM;SG	N
isten	神	isten	神	N;NOM;SG	N
cég	事務	cég	事務	N;NOM;SG	N
cég	公司	cég	公司	N;NOM;SG	N
