kapoor	kapoor	kapoor	kapoor	N	N;INDF;MASC;SG
impor	importen	impor	import	N;SG;ACT	N;DEF;MASC;SG
kesan	inntrykk	kesan	inntrykk	N;SG	N;INDF;NEUT;SG
marsekal	marskalk	marsekal	marskalk	N	N;INDF;MASC;SG
marsekal	marshal	marsekal	marshal	N	N;INDF;MASC;SG
marsekal	marskalk	marsekal	marskalk	N	N;INDF;MASC;SG
acak	vilkårlig	acak	vilkårlig	ADJ;SG	ADJ;INDF;NEUT;SG
acak	tilfeldig	acak	tilfeldig	ADJ;SG	ADJ;INDF;NEUT;SG
botol	flaske	botol	flaske	N;SG	N;INDF;FEM;SG
syuting	filming	syuting	filming	N	N;INDF;FEM;SG
syuting	filmingen	syuting	filming	N	N;DEF;MASC;SG
syuting	filmer	syuting	film	N	N;INDF;FEM;PL
kehancuran	ødeleggelse	kehancuran	ødeleggelse	N;SG	N;INDF;MASC;SG
kehancuran	ødeleggelser	kehancuran	ødeleggelse	N;SG	N;INDF;NEUT;SG
kehancuran	ruin	kehancuran	ruin	N;SG	N;INDF;MASC;SG
kehancuran	ødeleggelse	kehancuran	ødeleggelse	N;SG	N;INDF;MASC;SG
kehancuran	tilintetgjørelse	kehancuran	tilintetgjørelse	N;SG	N;INDF;MASC;SG
kenangan	minnet	kenangan	minne	N;SG	N;DEF;NEUT;SG
kenangan	hukommelse	kenangan	hukommelse	N;SG	N;INDF;MASC;SG
kenangan	minne	kenangan	minne	N;SG	N;INDF;NEUT;SG
kenangan	memory	kenangan	memory	N;SG	N
pukulan	blåser	pukulan	blåse	N;SG	N;INDF;MASC;SG
pukulan	punch	pukulan	punch	N;SG	N;INDF;SG
pukulan	punsj	pukulan	punsj	N;SG	N;INDF;MASC;SG
romantis	romanse	romantis	romanse	N;SG	N;INDF;MASC;SG
romantis	romantikk	romantis	romantikk	N;SG	N;INDF;MASC;SG
romantis	romantikken	romantis	romantikk	N;SG	N;DEF;MASC;SG
romantis	romantiker	romantis	romantiker	N;SG	N;INDF;MASC;SG
beri	gir	beri	gi	V;SG;ACT	V;IND;PRS;FIN
beri	gjev	beri	gje	V;SG;ACT	V;IND;PRS;FIN
beri	gje	beri	gje	V;SG;ACT	V;IMP;FIN
beri	gi	beri	gi	V;SG;ACT	V;IMP;FIN
agregat	samlede	agregat	samlede	N;SG	N;INDF;NEUT;SG
bersembunyi	skjuler	bersembunyi	skjule	V;SG;ACT	V;IND;PRS;FIN
perlombaan	kappløp	perlombaan	kappløp	N;SG	N;INDF;NEUT;SG
perlombaan	rase	perlombaan	rase	N;SG	N;INDF;MASC;SG
perlombaan	race	perlombaan	race	N;SG	N
serigala	wolves	serigala	wolves	N	N
serigala	ulver	serigala	ulver	N	N;INDF;FEM;SG
serigala	wolf	serigala	wolf	N	N;INDF;MASC;SG
serigala	ulv	serigala	ulv	N	N;INDF;MASC;SG
ruas	felt	ruas	felt	N;SG	N;INDF;NEUT;SG
ruas	åkre	ruas	åkre	N;SG	N;INDF;MASC;SG
ruas	fields	ruas	field	N;SG	N
taksi	taxi	taksi	taxi	N;SG	N;INDF;MASC;SG
taksi	drosje	taksi	drosje	N;SG	N;INDF;MASC;SG
taksi	drosje	taksi	drosje	N;SG	N;INDF;MASC;SG
taksi	cab	taksi	cab	N;SG	N;INDF;MASC;SG
wabah	pest	wabah	pest	N;SG	N;INDF;MASC;SG
wabah	epidemi	wabah	epidemi	N;SG	N;INDF;MASC;SG
lilin	stearinlys	lilin	stearinlys	N;SG	N;INDF;NEUT;SG
lilin	lys	lilin	lys	N;SG	N;INDF;NEUT;SG
lilin	voksing	lilin	voksing	N;SG	N;INDF;FEM;SG
lilin	wax	lilin	wax	N;SG	N;INDF;MASC;SG
lilin	stearinlys	lilin	stearinlys	N;SG	N;INDF;NEUT;SG
menyerbu	invadere	menserbu	invadere	V;SG;ACT	V;NFIN
menyerbu	invaderer	menserbu	invadere	V;SG;ACT	V;IND;PRS;FIN
menyerbu	invaderte	menserbu	invadere	V;SG;ACT	V;IND;PST;FIN
laras	tønne	laras	tønne	N	N;INDF;FEM;SG
akademisi	akademikere	akademisi	akademikere	N;SG	N;INDF;MASC;SG
patroli	patrol	patroli	patrol	N;SG	N;INDF;MASC;SG
patroli	patrulje	patroli	patrulje	N;SG	N;INDF;MASC;SG
mutlak	absolutt	mutlak	absolutt	ADJ;SG	ADJ;INDF;NEUT;SG
plasma	plasma	plasma	plasme	N	N;INDF;NEUT;SG
volkswagen	volkswagen	volkswagen	volkswag	N	N;DEF;MASC;SG
produktif	produktivt	produktif	produktiv	ADJ;SG	ADJ;INDF;NEUT;SG
produktif	produktiv	produktif	produktiv	ADJ;SG	ADJ;INDF;SG
pelaut	sjøfolk	penlaut	sjøfolk	N;SG	N;INDF;NEUT;SG
pelaut	sailor	penlaut	sailor	N;SG	N;INDF;MASC;SG
pelaut	sjømann	penlaut	sjømann	N;SG	N;INDF;MASC;SG
perkantoran	kontor	perkantoran	kontor	N;SG	N;INDF;NEUT;SG
perkantoran	kontoret	perkantoran	kontor	N;SG	N;DEF;NEUT;SG
perkantoran	office	perkantoran	office	N;SG	N;INDF;MASC;SG
pecinta	elskende	pecinta	elskende	N;SG	N;INDF;FEM;SG
pecinta	elskere	pecinta	elskere	N;SG	N;INDF;FEM;SG
pecinta	elskeren	pecinta	elsker	N;SG	N;DEF;MASC;SG
tayangan	inntrykk	tayangan	inntrykk	N;SG	N;INDF;NEUT;SG
hikayat	saga	hikayat	sag	N	N;DEF;FEM;SG
kelanjutan	fortsettelsen	kelanjutan	fortsettels	N;SG	N;DEF;MASC;SG
menyelidiki	undersøker	menselidiki	undersøke	V;SG;ACT	V;IND;PRS;FIN
menyelidiki	undersøke	menselidiki	undersøke	V;SG;ACT	V;NFIN
orientasi	orientering	orientasi	orientering	N;SG	N;INDF;FEM;SG
orientasi	legning	orientasi	legning	N;SG	N;INDF;FEM;SG
mangga	mango	mangga	mango	N	N;INDF;MASC;SG
bir	ølen	bir	ølen	N;SG	N;INDF;MASC;SG
bir	pils	bir	pils	N;SG	N;INDF;MASC;SG
bir	øl	bir	øl	N;SG	N;INDF;NEUT;SG
bir	øl	bir	øl	N;SG	N;INDF;NEUT;SG
rusa	hjortedyr	rusa	hjortedyr	N	N;INDF;NEUT;SG
rusa	moose	rusa	moose	N	N;INDF;MASC;SG
rusa	elg	rusa	elg	N	N;INDF;MASC;SG
rusa	elgen	rusa	elgen	N	N;DEF;MASC;SG
rusa	hjort	rusa	hjort	N	N;INDF;MASC;SG
rusa	hjortedyr	rusa	hjortedyr	N	N;INDF;NEUT;SG
rusa	rådyr	rusa	rådyr	N	N;INDF;NEUT;SG
bahu	skulder	bahu	skulde	N;SG	N;INDF;FEM;SG
bahu	skulderen	bahu	skulder	N;SG	N;DEF;MASC;SG
bahu	skuldre	bahu	skuldre	N;SG	N;INDF;FEM;SG
berlari	løper	berlari	løpe	V;SG;ACT	V;IND;PRS;FIN
berlari	kjører	berlari	kjøre	V;SG;ACT	V;IND;PRS;FIN
residen	beboer	residen	beboer	N	N;INDF;MASC;SG
residen	prefekt	residen	prefekt	N	N;INDF;MASC;SG
anggrek	orkideer	anggrek	orkideer	N;SG	N;INDF;MASC;SG
anggrek	orkidé	anggrek	orkidé	N;SG	N;INDF;MASC;SG
referendum	folkeavstemning	referendum	folkeavstemning	N	N;INDF;FEM;SG
michelle	michelle	michelle	michelle	N	N;INDF;FEM;SG
michelle	michele	michelle	michele	N	N;INDF;MASC;SG
seminari	seminary	seminari	seminary	N	N;INDF;NEUT;SG
sindrom	syndromet	sindrom	syndrom	N	N;DEF;NEUT;SG
sindrom	syndrom	sindrom	syndrom	N	N;INDF;MASC;SG
sajak	rim	sajak	rim	N	N;INDF;NEUT;SG
sajak	rimer	sajak	rime	N	N;INDF;NEUT;SG
sajak	rim	sajak	rim	N	N;INDF;NEUT;SG
kejayaan	triumf	kejayaan	triumf	N;SG	N;INDF;MASC;SG
kejayaan	triumph	kejayaan	triumph	N;SG	N;INDF;MASC;SG
elit	eliten	elit	elite	N;SG	N;DEF;MASC;SG
elit	elite	elit	elite	N;SG	N;INDF;MASC;SG
jujur	ærlig	jujur	ærlig	ADJ;SG	ADJ;INDF;NEUT;SG
jujur	ærlig	jujur	ærlig	ADJ;SG	ADJ;INDF;NEUT;SG
instalasi	installasjoner	instalasi	installasjon	N;SG	N;INDF;MASC;SG
instalasi	installasjon	instalasi	installasjon	N;SG	N;INDF;MASC;SG
instalasi	installasjon	instalasi	installasjon	N;SG	N;INDF;MASC;SG
instalasi	installering	instalasi	installering	N;SG	N;INDF;FEM;SG
instalasi	installasjonen	instalasi	installasjon	N;SG	N;DEF;MASC;SG
instalasi	installeringen	instalasi	installering	N;SG	N;DEF;MASC;SG
instalasi	installering	instalasi	installering	N;SG	N;INDF;FEM;SG
instalasi	installasjoner	instalasi	installasjon	N;SG	N;INDF;MASC;SG
cabai	chilli	cabai	chilli	N;SG	N;INDF;MASC;SG
cabai	chili	cabai	chili	N;SG	N;INDF;MASC;SG
lencana	skiltet	lencana	skilt	N;SG	N;DEF;NEUT;SG
lencana	merke	lencana	merke	N;SG	N;INDF;NEUT;SG
lencana	visittkort	lencana	visittkort	N;SG	N;INDF;NEUT;SG
lembar	arket	lembar	arke	N;SG	N;DEF;NEUT;SG
lembar	laken	lembar	lake	N;SG	N;DEF;MASC;SG
lembar	sengetøy	lembar	sengetøy	N;SG	N;INDF;NEUT;SG
mengarahkan	dirigere	menkarahkan	dirigere	V;SG;ACT	V;NFIN
mengarahkan	regisserer	menkarahkan	regissere	V;SG;ACT	V;IND;PRS;FIN
faksi	fraksjoner	faksi	fraksjon	N;SG	N;INDF;MASC;SG
faksi	fraksjon	faksi	fraksjon	N;SG	N;INDF;MASC;SG
faksi	fraksjonen	faksi	fraksjon	N;SG	N;DEF;MASC;SG
kelautan	marinesoldat	kelautan	marinesoldat	N;SG	N;INDF;MASC;SG
kelautan	marine	kelautan	marin	N;SG	N;INDF;MASC;SG
bayangan	skygge	bayangan	skygge	N;SG	N;INDF;NEUT;SG
bayangan	shadow	bayangan	shadow	N;SG	N
bayangan	skyggen	bayangan	skygg	N;SG	N;DEF;MASC;SG
keberadaannya	tilværelse	keberadaan	tilværels	N;SG	N;INDF;MASC;SG
keberadaannya	eksistens	keberadaan	eksistens	N;SG	N;INDF;MASC;SG
waris	arvingen	waris	arving	N;SG	N;DEF;MASC;SG
waris	arving	waris	arving	N;SG	N;INDF;FEM;SG
waris	waris	waris	waris	N;SG	N;INDF;MASC;SG
dirasakan	følte	dirasakan	føle	V;SG;PASS	V;IND;PST;FIN
keterbatasan	begrensning	keterbatasan	begrensning	N;SG	N;INDF;FEM;SG
mitsubishi	mitsubishi	mitsubishi	mitsubishi	N	N;INDF;MASC;SG
sendirian	alone	sendirian	alone	N;SG	N
sendirian	alene	sendirian	alene	N;SG	N;INDF;SG
torpedo	torpedo	torpedo	torpedo	N	N;INDF;MASC;SG
torpedo	torpedoer	torpedo	torpedo	N	N;INDF;MASC;SG
torpedo	torpedoene	torpedo	torpedoe	N	N;DEF;FEM;PL
busur	arc	busur	arc	N;SG	N;INDF;MASC;SG
busur	bukk	busur	bukk	N;SG	N;INDF;MASC;SG
busur	baug	busur	baug	N;SG	N;INDF;MASC;SG
busur	bow	busur	bow	N;SG	N;INDF;NEUT;SG
busur	bue	busur	bue	N;SG	N;INDF;MASC;SG
persenjataan	ordnance	persenjataan	ordnance	N;SG	N;INDF;SG
kantong	pocket	kantong	pock	N;SG	N;DEF;NEUT;SG
kantong	lomme	kantong	lomme	N;SG	N;INDF;FEM;SG
kantong	lomma	kantong	lomme	N;SG	N;DEF;FEM;SG
kantong	pose	kantong	pose	N;SG	N;INDF;MASC;SG
kantong	veske	kantong	veske	N;SG	N;INDF;FEM;SG
kantong	bag	kantong	bag	N;SG	N
kantong	sekk	kantong	sekk	N;SG	N;INDF;MASC;SG
kantong	pung	kantong	pung	N;SG	N;INDF;MASC;SG
kantong	pockets	kantong	pock	N;SG	N;GEN;DEF;NEUT;SG
kantong	poser	kantong	poser	N;SG	N;INDF;MASC;SG
fisikawan	fysiker	fisikawan	fysike	N;MASC;SG	N;INDF;MASC;SG
fisikawan	fysikere	fisikawan	fysikere	N;MASC;SG	N;INDF;FEM;SG
robinson	robinson	robinson	robinson	N	N;INDF;MASC;SG
depresi	depresjon	depresi	depresjon	N;SG	N;INDF;MASC;SG
pembaruan	fornyelse	penbaruan	fornyelse	N;SG	N;INDF;MASC;SG
pembaruan	oppdateringen	penbaruan	oppdatering	N;SG	N;DEF;MASC;SG
pembaruan	oppdatering	penbaruan	oppdatering	N;SG	N;INDF;FEM;SG
pengecualian	unntaket	pengecualian	unntak	N;SG	N;DEF;NEUT;SG
pengecualian	unntak	pengecualian	unntak	N;SG	N;INDF;NEUT;SG
pengecualian	eksklusjon	pengecualian	eksklusjon	N;SG	N;INDF;MASC;SG
pengecualian	ekskludering	pengecualian	ekskludering	N;SG	N;INDF;FEM;SG
pengecualian	unntak	pengecualian	unntak	N;SG	N;INDF;NEUT;SG
butuh	trenge	butuh	trenge	V;SG;ACT	V;IMP;NFIN
butuh	treng	butuh	trenge	V;SG;ACT	V;IND;PRS;FIN
butuh	trenger	butuh	trenger	V;SG;ACT	V;IND;PRS;FIN
sintesis	syntese	sintesis	syntese	N;SG	N;INDF;MASC;SG
keterlibatan	engasjement	keterlibatan	engasjement	N;SG	N;INDF;NEUT;SG
keterlibatan	forlovelse	keterlibatan	forlovelse	N;SG	N;INDF;MASC;SG
keterlibatan	medvirkning	keterlibatan	medvirkning	N;SG	N;INDF;FEM;SG
keterlibatan	delaktighet	keterlibatan	delaktighet	N;SG	N;INDF;FEM;SG
tendangan	spark	tendangan	spark	N;SG	N;INDF;NEUT;SG
tendangan	kick	tendangan	kick	N;SG	N
kesimpulan	konklusjon	kesimpulan	konklusjon	N;SG	N;INDF;MASC;SG
kesimpulan	konklusjoner	kesimpulan	konklusjon	N;SG	N;INDF;MASC;SG
kesimpulan	konklusjon	kesimpulan	konklusjon	N;SG	N;INDF;MASC;SG
kesimpulan	konklusjonen	kesimpulan	konklusjon	N;SG	N;DEF;MASC;SG
kebijaksanaan	diskresjon	kebijaksanaan	diskresjon	N;SG	N;INDF;MASC;SG
kebijaksanaan	visdom	kebijaksanaan	visdom	N;SG	N;INDF;MASC;SG
striker	striker	striker	strike	N;SG	N;INDF;FEM;SG
ringkasan	oppsummering	ringkasan	oppsummering	N;SG	N;INDF;FEM;SG
ringkasan	sammendrag	ringkasan	sammendrag	N;SG	N;INDF;NEUT;SG
perkemahan	leirplass	perkemahan	leirplass	N	N;INDF;MASC;SG
perkemahan	leiren	perkemahan	leir	N	N;DEF;MASC;SG
perkemahan	leirskole	perkemahan	leirskole	N	N;INDF;MASC;SG
perkemahan	leir	perkemahan	ly	N	N;INDF;MASC;SG
perkemahan	camp	perkemahan	camp	N	N;INDF;MASC;SG
perkemahan	leirene	perkemahan	leire	N	N;DEF;FEM;PL
perkemahan	leirer	perkemahan	leire	N	N;INDF;FEM;PL
persemakmuran	samveldet	persemakmuran	samveldet	N	N;DEF;NEUT;SG
pemujaan	cult	penpujaan	cul	N;SG	N;INDF
survey	undersøkelse	survey	undersøkelse	N	N;INDF;MASC;SG
survey	spørreundersøkelse	survey	spørreundersøkelse	N	N;INDF;NEUT;SG
survey	undersøkelsen	survey	undersøkelse	N	N;DEF;MASC;SG
survey	survey	survey	survey	N	N;INDF
kutukan	forbannelse	kutukan	forbannelse	N;SG	N;INDF;MASC;SG
kutukan	fortapelse	kutukan	fortapelse	N;SG	N;INDF;MASC;SG
temuan	funn	temuan	funn	N;SG	N;INDF;NEUT;SG
temuan	oppdagelse	temuan	oppdagelse	N;SG	N;INDF;MASC;SG
temuan	discovery	temuan	discovery	N;SG	N;INDF;MASC;SG
pentas	scenen	pentas	scene	N	N;DEF;MASC;SG
pentas	stage	pentas	stage	N	N;INDF;NEUT;SG
antarmuka	grensesnitt	antarmuka	grensesnitt	N;SG	N;INDF;NEUT;SG
petang	kveld	petang	kveld	N;SG	N;INDF;MASC;SG
petang	aften	petang	aft	N;SG	N;DEF;MASC;SG
diagram	diagram	diagram	diagram	N;SG	N;INDF;NEUT;SG
diagram	diagrammet	diagram	diagram	N;SG	N;DEF;NEUT;SG
diagram	diagram	diagram	diagram	N;SG	N;INDF;NEUT;SG
diagram	diagram	diagram	diagram	N;SG	N;INDF;NEUT;SG
tempuh	emilia	tempuh	emilia	N;SG;ACT	N;INDF;MASC;SG
elektro	elektro	elektro	elektro	N;SG	N;INDF;MASC;SG
sandi	passord	sandi	passord	N;SG	N;INDF;NEUT;SG
sandi	passordet	sandi	passord	N;SG	N;DEF;NEUT;SG
sandi	chiffer	sandi	chiffer	N;SG	N;INDF;MASC;SG
sandi	passord	sandi	passord	N;SG	N;INDF;NEUT;SG
administrator	administratorer	administrator	administrator	N;SG	N;INDF;NEUT;SG
administrator	administrator	administrator	administrator	N;SG	N;INDF;MASC;SG
kental	kondensert	kental	kondensere	ADJ;SG	ADJ;INDF;SG;V.PTCP
susah	hard	susah	hard	ADJ;SG	ADJ;INDF;SG
susah	vanskeleg	susah	vanskeleg	ADJ;SG	ADJ;INDF;NEUT;SG
susah	hardt	susah	hard	ADJ;SG	ADJ;INDF;NEUT;SG
susah	vanskelig	susah	vanskelig	ADJ;SG	ADJ;INDF;NEUT;SG
susah	vanskelig	susah	vanskelig	ADJ;SG	ADJ;INDF;NEUT;SG
penomoran	nummerering	pennomoran	nummerering	N;SG	N;INDF;FEM;SG
mediterania	middelhavet	mediterania	middelhav	N;SG	N;DEF;NEUT;SG
adventure	adventure	adventure	adventure	N	N;INDF;MASC;SG
adventure	eventyr	adventure	eventyr	N	N;INDF;NEUT;SG
adventure	eventyret	adventure	eventyr	N	N;DEF;NEUT;SG
ketegangan	spenning	ketegangan	spenning	N;SG	N;INDF;FEM;SG
petir	thunder	petir	thund	N;SG	N;INDF;NEUT;SG
petir	torden	petir	tord	N;SG	N;DEF;MASC;SG
petir	lyn	petir	lyn	N;SG	N;INDF;NEUT;SG
petir	lynet	petir	lyn	N;SG	N;DEF;NEUT;SG
menantang	utfordre	mentantang	utfordre	V;SG;ACT	V;IMP;FIN
desainer	designere	desainer	designere	N;SG	N;INDF;FEM;SG
desainer	designer	desainer	designer	N;SG	N;INDF;MASC;SG
kecerdasan	intelligence	kecerdasan	intelligence	N;SG	N
kecerdasan	intelligens	kecerdasan	intelligens	N;SG	N;INDF;MASC;SG
kecerdasan	etterretning	kecerdasan	etterretning	N;SG	N;INDF;FEM;SG
kecerdasan	intellektet	kecerdasan	intellekt	N;SG	N;DEF;NEUT;SG
kecerdasan	intellekt	kecerdasan	intellekt	N;SG	N;INDF;NEUT;SG
modul	modul	modul	modul	N;SG	N;INDF;MASC;SG
kecewa	oppbrakt	kecewa	oppbrakt	ADJ;SG	ADJ;INDF;NEUT;SG;V.PTCP
