categoría	kategori	categoría	kategori	N;FEM;SG	N;INDF;MASC+FEM;SG
julio	julius	julio	julius	N	N;INDF;MASC+FEM;SG
julio	juli	julio	juli	N	N;INDF;MASC+FEM;SG
lincoln	lincoln	lincoln	lincoln	N;MASC;SG	N;INDF;MASC+FEM;SG
país	landet	país	land	N;MASC;SG	N;DEF;NEUT;SG
país	land	país	land	N;MASC;SG	N;INDF;NEUT;SG
mientras	mens	mientras	mens	CONJ	CONJ
web	website	web	website	N;FEM;SG	N;INDF;NEUT;SG
web	hjemmeside	web	hjemmeside	N;FEM;SG	N;INDF;MASC+FEM;SG
web	webside	web	webside	N;FEM;SG	N;INDF;MASC+FEM;SG
web	hjemmesiden	web	hjemmeside	N;FEM;SG	N;DEF;MASC+FEM;SG
web	websted	web	websted	N;FEM;SG	N;INDF;MASC+FEM;SG
web	web	web	web	N;FEM;SG	N;INDF;MASC+FEM;SG
web	www	web	www	N;FEM;SG	N;INDF;MASC+FEM;SG
web	spind	web	spind	N;FEM;SG	N;INDF;NEUT;SG
internacional	international	internacional	international	ADJ;SG	ADJ;INDF;MASC+FEM;SG
internacional	internationalt	internacional	international	ADJ;SG	ADJ;INDF;NEUT;SG
antes	tidligere	antes	tidligere	ADV	ADV;CMPR
antes	inden	antes	inden	ADV	ADV
antes	før	antes	før	ADV	ADV
oficial	officiel	oficial	officiel	ADJ;SG	ADJ;INDF;MASC+FEM;SG
oficial	betjent	oficial	betjene	ADJ;SG	ADJ;INDF;SG
mundo	verden	mundo	verden	N;MASC;SG	N;INDF;MASC+FEM;SG
embargo	embargo	embargo	embargo	N;MASC;SG	N;INDF;MASC+FEM;SG
embargo	embargoen	embargo	embargoen	N;MASC;SG	N;DEF;MASC+FEM;SG
tanto	både	tanto	både	ADV	ADV
mayo	maj	mayo	maj	N	N;INDF;MASC+FEM;SG
mayo	mayonnaise	mayo	mayonnaise	N	N;INDF;MASC+FEM;SG
algunos	nogle	alguno	nogen	PRO;MASC;PL	PRO;PL
temporada	sæsonbestemt	temporada	sæsonbestemt	N;FEM;SG	N;INDF;NEUT;SG
temporada	årstid	temporada	årstid	N;FEM;SG	N;INDF;MASC+FEM;SG
temporada	sæsonen	temporada	sæson	N;FEM;SG	N;DEF;MASC+FEM;SG
temporada	sæson	temporada	sæson	N;FEM;SG	N;INDF;MASC+FEM;SG
luego	derefter	luego	derefter	ADV	ADV
luego	så	luego	så	ADV	ADV
marzo	marts	marzo	marts	N	N;INDF;MASC+FEM;SG
marzo	march	marzo	march	N	N;INDF;MASC+FEM;SG
día	dag	día	dag	N;MASC;SG	N;INDF;MASC+FEM;SG
día	dagen	día	dag	N;MASC;SG	N;DEF;MASC+FEM;SG
día	kampdag	día	kampdag	N;MASC;SG	N;INDF;MASC+FEM;SG
madrid	liverpool	madrid	liverpool	N;MASC;SG	N;INDF;MASC+FEM;SG
enero	januar	enero	januar	N	N;INDF;MASC+FEM;SG
número	antal	número	antal	N;MASC;SG	N;INDF;NEUT;SG
número	nummer	número	nummer	N;MASC;SG	N;INDF;NEUT;SG
agosto	august	agosto	august	N	N;INDF;MASC+FEM;SG
agosto	aug	agosto	aug	N	N;INDF;MASC+FEM;SG
diciembre	december	diciembre	december	N	N;INDF;MASC+FEM;SG
artículo	element	artículo	element	N;MASC;SG	N;INDF;NEUT;SG
artículo	punkt	artículo	punkt	N;MASC;SG	N;INDF;NEUT;SG
noviembre	november	noviembre	november	N	N;INDF;MASC+FEM;SG
otro	andet	otro	anden	PRO;MASC;SG	PRO;NEUT;SG
estos	disse	este	denne	PRO;MASC;PL	PRO;PL
abril	april	abril	april	N	N;INDF;MASC+FEM;SG
región	region	región	region	N;FEM;SG	N;INDF;MASC+FEM;SG
sistema	systemet	sistema	system	N;MASC;SG	N;DEF;NEUT;SG
sistema	ordning	sistema	ordning	N;MASC;SG	N;INDF;MASC+FEM;SG
sistema	system	sistema	system	N;MASC;SG	N;INDF;NEUT;SG
habitantes	indbyggerne	habitante	indbygger	N;PL	N;DEF;MASC+FEM;PL
habitantes	indbyggere	habitante	indbygger	N;PL	N;INDF;MASC+FEM;PL
habitantes	beboere	habitante	beboer	N;PL	N;INDF;MASC+FEM;PL
habitantes	residenter	habitante	resident	N;PL	N;INDF;MASC+FEM;PL
habitantes	indbyggere	habitante	indbygger	N;PL	N;INDF;MASC+FEM;PL
habitantes	beboere	habitante	beboer	N;PL	N;INDF;MASC+FEM;PL
maría	marie	maría	marie	N;FEM;SG	N;INDF;MASC+FEM;SG
maría	mary	maría	mary	N;FEM;SG	N;INDF;MASC+FEM;SG
real	ægte	real	ægte	ADJ;SG	ADJ
real	kongeligt	real	kongelig	ADJ;SG	ADJ;INDF;NEUT;SG
real	royal	real	royal	ADJ;SG	ADJ;INDF;MASC+FEM;SG
real	kongelig	real	kongelig	ADJ;SG	ADJ;INDF;MASC+FEM;SG
página	side	página	side	N;FEM;SG	N;INDF;MASC+FEM;SG
esto	dette	este	denne	PRO;SG	PRO;NEUT;SG
esto	denne	este	denne	PRO;SG	PRO;MASC+FEM;SG
mundial	verdensomspændende	mundial	verdensomspændende	ADJ;SG	ADJ
mundial	global	mundial	global	ADJ;SG	ADJ;INDF;MASC+FEM;SG
música	musik	música	musik	N;FEM;SG	N;INDF;MASC+FEM;SG
música	musikken	música	musik	N;FEM;SG	N;DEF;MASC+FEM;SG
presidente	formand	presidente	formand	N;MASC;SG	N;INDF;MASC+FEM;SG
presidente	bestyrelsesformand	presidente	bestyrelsesformand	N;MASC;SG	N;INDF;MASC+FEM;SG
presidente	præsidenten	presidente	præsident	N;MASC;SG	N;DEF;MASC+FEM;SG
presidente	formand	presidente	formand	N;MASC;SG	N;INDF;MASC+FEM;SG
presidente	præsident	presidente	præsident	N;MASC;SG	N;INDF;MASC+FEM;SG
casa	house	casa	house	N;FEM;SG	N;INDF;MASC+FEM;SG
casa	huset	casa	hus	N;FEM;SG	N;DEF;NEUT;SG
casa	hus	casa	hus	N;FEM;SG	N;INDF;NEUT;SG
casa	startside	casa	startside	N;FEM;SG	N;INDF;MASC+FEM;SG
sólo	kun	sólo	kun	ADV	ADV
sólo	bare	sólo	bare	ADV	ADV
álbum	album	álbum	album	N;MASC;SG	N;INDF;NEUT;SG
álbum	plade	álbum	plade	N;MASC;SG	N;INDF;MASC+FEM;SG
álbum	albummet	álbum	album	N;MASC;SG	N;DEF;NEUT;SG
debido	forfaldne	debido	forfalden	ADJ	ADJ;PL
cuenta	tæller	contar	tælle	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
cuenta	tælle	contar	tælle	V;IND;SG;3;PRS;FIN	V;NFIN;ACT
cuenta	tæller	contar	tælle	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
junio	juni	junio	juni	N	N;INDF;MASC+FEM;SG
junio	june	junio	jun	N	N;INDF;MASC+FEM;SG
febrero	februar	febrero	februar	N	N;INDF;MASC+FEM;SG
ella	hun	él	hun	PRO;FEM;SG;3	PRO;NOM;MASC+FEM;SG;3
ella	hende	él	hun	PRO;FEM;SG;3	PRO;ACC;MASC+FEM;SG;3
pueden	kan	poder	kunne	V;IND;PL;3;PRS;FIN	V;IND;PRS;FIN;ACT
solo	alene	solo	alene	ADV	ADV
solo	kun	solo	kun	ADV	ADV
solo	bare	solo	bare	ADV	ADV
tipo	type	tipo	type	N;MASC;SG	N;INDF;MASC+FEM;SG
obra	arbejde	obra	arbejde	N;FEM;SG	N;INDF;NEUT;SG
obra	arbejdet	obra	arbejde	N;FEM;SG	N;DEF;NEUT;SG
iglesia	church	iglesia	church	N;FEM;SG	N;INDF;MASC+FEM;SG
iglesia	kirken	iglesia	kirk	N;FEM;SG	N;DEF;MASC+FEM;SG
iglesia	kirke	iglesia	kirke	N;FEM;SG	N;INDF;MASC+FEM;SG
película	folie	película	folie	N;FEM;SG	N;INDF;MASC+FEM;SG
entonces	derefter	entonces	derefter	ADV	ADV
entonces	så	entonces	så	ADV	ADV
banda	band	banda	band	N;FEM;SG	N;INDF;NEUT;SG
banda	bandet	banda	band	N;FEM;SG	N;DEF;NEUT;SG
banda	orkester	banda	orkester	N;FEM;SG	N;INDF;NEUT;SG
banda	slænget	banda	slænge	N;FEM;SG	N;DEF;NEUT;SG
banda	banden	banda	band	N;FEM;SG	N;DEF;MASC+FEM;SG
banda	bande	banda	bande	N;FEM;SG	N;INDF;MASC+FEM;SG
cuatro	fire	cuatro	fire	NUM;PL	NUM
zona	område	zona	område	N;FEM;SG	N;INDF;NEUT;SG
zona	zone	zona	zone	N;FEM;SG	N;INDF;MASC+FEM;SG
zona	areal	zona	areal	N;FEM;SG	N;INDF;NEUT;SG
zona	område	zona	område	N;FEM;SG	N;INDF;NEUT;SG
televisión	tv	televisión	tv	N;FEM;SG	N;INDF;NEUT;SG
televisión	fjernsynet	televisión	fjernsyn	N;FEM;SG	N;DEF;NEUT;SG
televisión	fjernsyn	televisión	fjernsyn	N;FEM;SG	N;INDF;NEUT;SG
principal	vigtigste	principal	vigtig	ADJ;SG	ADJ;DEF;RL
principal	vigtigste	principal	vigtig	ADJ;SG	ADJ;DEF;RL
tuvo	havde	tener	have	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
tuvo	haft	tener	have	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
carlos	karl	carlo	karl	N;MASC;SG	N;INDF;MASC+FEM;SG
carlos	charles	carlo	charles	N;MASC;SG	N;INDF;MASC+FEM;SG
rey	konge	rey	konge	N;MASC;SG	N;INDF;MASC+FEM;SG
rey	kongens	rey	konge	N;MASC;SG	N;GEN;DEF;MASC+FEM;SG
rey	kongen	rey	konge	N;MASC;SG	N;DEF;MASC+FEM;SG
premio	præmie	premio	præmie	N;MASC;SG	N;INDF;MASC+FEM;SG
premio	award	premio	award	N;MASC;SG	N;INDF;MASC+FEM;SG
premio	tildeling	premio	tildeling	N;MASC;SG	N;INDF;MASC+FEM;SG
hace	gør	hacer	gøre	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
edición	udgaven	edición	udgave	N;FEM;SG	N;DEF;MASC+FEM;SG
edición	udgave	edición	udgave	N;FEM;SG	N;INDF;MASC+FEM;SG
edición	redigering	edición	redigering	N;FEM;SG	N;INDF;MASC+FEM;SG
premios	belønninger	premio	belønning	N;MASC;PL	N;INDF;MASC+FEM;PL
premios	tildelinger	premio	tildeling	N;MASC;PL	N;INDF;MASC+FEM;PL
premios	præmier	premio	præmie	N;MASC;PL	N;INDF;MASC+FEM;PL
sitio	website	sitio	website	N;MASC;SG	N;INDF;NEUT;SG
sitio	hjemmeside	sitio	hjemmeside	N;MASC;SG	N;INDF;MASC+FEM;SG
sitio	webside	sitio	webside	N;MASC;SG	N;INDF;MASC+FEM;SG
sitio	hjemmesiden	sitio	hjemmeside	N;MASC;SG	N;DEF;MASC+FEM;SG
sitio	websted	sitio	websted	N;MASC;SG	N;INDF;MASC+FEM;SG
sitio	belejring	sitio	belejring	N;MASC;SG	N;INDF;MASC+FEM;SG
sitio	belejringen	sitio	belejring	N;MASC;SG	N;DEF;MASC+FEM;SG
sitio	site	sitio	site	N;MASC;SG	N;INDF;NEUT;SG
futbolistas	fodboldspillere	futbolista	fodboldspiller	N;PL	N;INDF;MASC+FEM;PL
bien	godt	bien	godt	ADV	ADV
mar	søs	mar	søs	N;SG	N;INDF;MASC+FEM;SG
mar	hav	mar	hav	N;SG	N;INDF;NEUT;SG
mar	havet	mar	hav	N;SG	N;DEF;NEUT;SG
mar	havet	mar	hav	N;SG	N;DEF;NEUT;SG
mar	hav	mar	hav	N;SG	N;INDF;NEUT;SG
orden	bestilling	orden	bestilling	N;MASC;SG	N;INDF;MASC+FEM;SG
orden	ordre	orden	ordre	N;MASC;SG	N;INDF;MASC+FEM;SG
orden	rækkefølge	orden	rækkefølg	N;MASC;SG	N;INDF;MASC+FEM;SG
estadounidense	amerikansk	estadounidense	amerikansk	ADJ;SG	ADJ;INDF;SG
agua	vand	agua	vand	N;FEM;SG	N;INDF;NEUT;SG
tierra	jorden	tierra	jord	N;FEM;SG	N;DEF;MASC+FEM;SG
tierra	jord	tierra	jord	N;FEM;SG	N;INDF;MASC+FEM;SG
tierra	jordens	tierra	jord	N;FEM;SG	N;GEN;DEF;MASC+FEM;SG
tierra	jord	tierra	jord	N;FEM;SG	N;INDF;MASC+FEM;SG
tierra	land	tierra	land	N;FEM;SG	N;INDF;NEUT;SG
tierra	jordbunden	tierra	jordbund	N;FEM;SG	N;DEF;MASC+FEM;SG
tierra	jord	tierra	jord	N;FEM;SG	N;INDF;MASC+FEM;SG
tierra	jordbund	tierra	jordbund	N;FEM;SG	N;INDF;MASC+FEM;SG
título	betegnelse	título	betegnelse	N;MASC;SG	N;INDF;MASC+FEM;SG
título	overskrift	título	overskrift	N;MASC;SG	N;INDF;MASC+FEM;SG
título	titel	título	titel	N;MASC;SG	N;INDF;MASC+FEM;SG
título	afsnit	título	afsnit	N;MASC;SG	N;INDF;NEUT;SG
ellos	dem	él	de	PRO;MASC;PL;3	PRO;ACC;PL;3
ellos	de	él	de	PRO;MASC;PL;3	PRO;NOM;PL;3
earth	jorden	earth	jord	N	N;DEF;MASC+FEM;SG
