mai	もっと	mai	もっと	ADV	ADV
roman	ロマン	roman	ロマン	N;INDF;MASC;SG	N
roman	ローマ	roman	ローマ	N;INDF;MASC;SG	N
roman	小説	roman	小説	N;INDF;MASC;SG	N
punct	ドット	punct	ドット	N;INDF;MASC;SG	N
punct	ポイント	punct	ポイント	N;INDF;MASC;SG	N
stat	都道府県	stat	都道府県	N;INDF;MASC;SG	N
stat	状態	stat	状態	N;INDF;MASC;SG	N
file	タブ	filă	タブ	N;INDF;FEM;PL	N
secolul	世紀	secol	世紀	N;DEF;MASC;SG	N
secolul	センチュリー	secol	センチュリー	N;DEF;MASC;SG	N
aceasta	これ	acesta	これ	PRO;FEM;SG;3	PRO
resedinta	住居	resedinta	住居	N;DEF;FEM;SG	N
resedinta	居所	resedinta	居所	N;DEF;FEM;SG	N
resedinta	住居	resedinta	住居	N;DEF;FEM;SG	N
resedinta	居所	resedinta	居所	N;DEF;FEM;SG	N
resedinta	住居	resedinta	住居	N;DEF;FEM;SG	N
resedinta	居所	resedinta	居所	N;DEF;FEM;SG	N
orasul	都市	oras	都市	N;DEF;MASC;SG	N
orasul	タウン	oras	タウン	N;DEF;MASC;SG	N
orasul	都市	oras	都市	N;DEF;MASC;SG	N
tot	それ	tot	それ	PRO;MASC;SG;3	PRO
film	映画	film	映画	N;INDF;MASC;SG	N
film	ムービー	film	ムービー	N;INDF;MASC;SG	N
film	映画	film	映画	N;INDF;MASC;SG	N
film	フィルム	film	フィルム	N;INDF;MASC;SG	N
vorbitori	スピーカー	vorbitor	スピーカー	N;INDF;MASC;PL	N
date	データ	dată	データ	N;INDF;FEM;PL	N
mari	大きな	mare	大きな	ADJ;INDF;PL	ADJ
mari	大きい	mare	大きい	ADJ;INDF;PL	ADJ
zile	日数	zi	日数	N;INDF;FEM;PL	N
fata	フロント	fată	フロント	N;DEF;FEM;SG	N
fata	表側	fată	表側	N;DEF;FEM;SG	N
fata	前面	fată	前面	N;DEF;FEM;SG	N
fata	フェイス	fată	フェイス	N;DEF;FEM;SG	N
fata	フェイス	fată	フェイス	N;DEF;FEM;SG	N
fata	ガール	fată	ガール	N;DEF;FEM;SG	N
fata	少女	fată	少女	N;DEF;FEM;SG	N
fata	女	fată	女	N;DEF;FEM;SG	N
fata	フェイス	fată	フェイス	N;DEF;FEM;SG	N
fata	ガール	fată	ガール	N;DEF;FEM;SG	N
fata	少女	fată	少女	N;DEF;FEM;SG	N
fata	女	fată	女	N;DEF;FEM;SG	N
fata	フェイス	fată	フェイス	N;DEF;FEM;SG	N
fata	フェイス	fată	フェイス	N;DEF;FEM;SG	N
club	クラブ	club	クラブ	N;INDF;MASC;SG	N
componente	コンポーネント	componentă	コンポーネント	N;INDF;FEM;PL	N
est	イースト	est	イースト	N;INDF;MASC;SG	N
nou	新しい	nou	新しい	ADJ;INDF;MASC;SG	ADJ
nou	新規	nou	新規	ADJ;INDF;MASC;SG	ADJ
ion	イオン	ion	イオン	N;INDF;MASC;SG	N
populatia	人口	populatie	人口	N;DEF;FEM;SG	N
populatia	人口	populatie	人口	N;DEF;FEM;SG	N
doi	二	doi	二	NUM;MASC;PL	NUM
doi	二	doi	二	NUM;MASC;PL	NUM
membru	会員	membru	会員	N;INDF;MASC;SG	N
membru	メンバー	membru	メンバー	N;INDF;MASC;SG	N
oficial	公式	oficial	公式	ADJ;INDF;MASC;SG	ADJ
saint	聖人	saint	聖人	N;INDF;MASC;SG	N
vest	ウエスト	vest	ウエスト	N;INDF;MASC;SG	N
vest	西部	vest	西部	N;INDF;MASC;SG	N
vest	ウエスタン	vest	ウエスタン	N;INDF;MASC;SG	N
lemn	木材	lemn	木材	N;INDF;MASC;SG	N
lemn	木製	lemn	木製	N;INDF;MASC;SG	N
lemn	ウッド	lemn	ウッド	N;INDF;MASC;SG	N
nationala	国民	national	国民	N;DEF;FEM;SG	N
nationala	国民	national	国民	N;DEF;FEM;SG	N
mod	モード	mod	モード	N;INDF;MASC;SG	N
prezent	現在	prezent	現在	N;INDF;MASC;SG	N
prezent	プレゼント	prezent	プレゼント	N;INDF;MASC;SG	N
casa	ハウス	casă	ハウス	N;DEF;FEM;SG	N
casa	ハウス	casă	ハウス	N;DEF;FEM;SG	N
casa	自宅	casă	自宅	N;DEF;FEM;SG	N
casa	ホーム	casă	ホーム	N;DEF;FEM;SG	N
acestea	これら	acesta	これら	PRO;FEM;PL;3	PRO
acestea	これら	acesta	これら	PRO;FEM;PL;3	PRO
categorie	カテゴリー	categorie	カテゴリー	N;INDF;FEM;SG	N
categorie	区分	categorie	区分	N;INDF;FEM;SG	N
categorie	カテゴリ	categorie	カテゴリ	N;INDF;FEM;SG	N
text	テキスト	text	テキスト	N;INDF;MASC;SG	N
site	サイト	sită	サイト	N;INDF;FEM;PL	N
site	敷地	sită	敷地	N;INDF;FEM;PL	N
articole	記事	articol	記事	N;INDF;FEM;PL	N
articole	冠詞	articol	冠詞	N;INDF;FEM;PL	N
articole	アイテム	articol	アイテム	N;INDF;FEM;PL	N
articole	品物	articol	品物	N;INDF;FEM;PL	N
milioane	百万	milion	百万	NUM;INDF;FEM;PL	NUM
apa	ウォーター	apă	ウォーター	N;DEF;FEM;SG	N
apa	ウォーター	apă	ウォーター	N;DEF;FEM;SG	N
tara	国名	tară	国名	N;DEF;FEM;SG	N
tara	カントリー	tară	カントリー	N;DEF;FEM;SG	N
tara	国名	tară	国名	N;DEF;FEM;SG	N
tara	カントリー	tară	カントリー	N;DEF;FEM;SG	N
tara	国名	tară	国名	N;DEF;FEM;SG	N
tara	カントリー	tară	カントリー	N;DEF;FEM;SG	N
tara	国名	tară	国名	N;DEF;FEM;SG	N
tara	カントリー	tară	カントリー	N;DEF;FEM;SG	N
tara	国名	tară	国名	N;DEF;FEM;SG	N
tara	カントリー	tară	カントリー	N;DEF;FEM;SG	N
sate	村落	sat	村落	N;INDF;FEM;PL	N
istoria	履歴	istorie	履歴	N;DEF;FEM;SG	N
istoria	由緒	istorie	由緒	N;DEF;FEM;SG	N
istoria	歴史	istorie	歴史	N;DEF;FEM;SG	N
istoria	沿革	istorie	沿革	N;DEF;FEM;SG	N
republica	共和制	republică	共和制	N;DEF;FEM;SG	N
republica	共和国	republică	共和国	N;DEF;FEM;SG	N
republica	共和制	republică	共和制	N;DEF;FEM;SG	N
republica	共和国	republică	共和国	N;DEF;FEM;SG	N
raul	河川	raul	河川	N;DEF;MASC;SG	N
tip	種類	tip	種類	N;INDF;MASC;SG	N
tip	タイプ	tip	タイプ	N;INDF;MASC;SG	N
persoane	ピープル	persoană	ピープル	N;INDF;FEM;PL	N
descriere	キャプション	descriere	キャプション	N;INDF;FEM;SG	N
articol	記事	articol	記事	N;INDF;MASC;SG	N
articol	冠詞	articol	冠詞	N;INDF;MASC;SG	N
numarul	番号	numar	番号	N;DEF;MASC;SG	N
numarul	数値	numar	数値	N;DEF;MASC;SG	N
numarul	ナンバー	numar	ナンバー	N;DEF;MASC;SG	N
harta	マップ	hartă	マップ	N;DEF;FEM;SG	N
harta	マップ	hartă	マップ	N;DEF;FEM;SG	N
aproape	ほとんど	aproape	ほとんど	ADV	ADV
aproape	ほぼ	aproape	ほぼ	ADV	ADV
scris	筆記	scris	筆記	N;INDF;MASC;SG	N
raport	レポート	raport	レポート	N;INDF;MASC;SG	N
echipa	分隊	echipă	分隊	N;DEF;FEM;SG	N
echipa	チーム	echipă	チーム	N;DEF;FEM;SG	N
echipa	チーム	echipă	チーム	N;DEF;FEM;SG	N
baza	塩基	bază	塩基	N;DEF;FEM;SG	N
baza	ベース	bază	ベース	N;DEF;FEM;SG	N
baza	塩基	bază	塩基	N;DEF;FEM;SG	N
baza	ベース	bază	ベース	N;DEF;FEM;SG	N
valea	バレー	vale	バレー	N;DEF;FEM;SG	N
zona	ゾーン	zonă	ゾーン	N;DEF;FEM;SG	N
zona	面積	zonă	面積	N;DEF;FEM;SG	N
zona	領域	zonă	領域	N;DEF;FEM;SG	N
zona	エリア	zonă	エリア	N;DEF;FEM;SG	N
zona	ゾーン	zonă	ゾーン	N;DEF;FEM;SG	N
zona	面積	zonă	面積	N;DEF;FEM;SG	N
zona	領域	zonă	領域	N;DEF;FEM;SG	N
zona	エリア	zonă	エリア	N;DEF;FEM;SG	N
satului	村落	sat	村落	N;DEF;MASC;SG	N
satului	ヴィレッジ	sat	ヴィレッジ	N;DEF;MASC;SG	N
imparat	皇帝	impara	皇帝	N;INDF;MASC;SG	N
imparat	天皇	impara	天皇	N;INDF;MASC;SG	N
imparat	皇帝	impara	皇帝	N;INDF;MASC;SG	N
imparat	天皇	impara	天皇	N;INDF;MASC;SG	N
viata	生命	viată	生命	N;DEF;FEM;SG	N
viata	人生	viată	人生	N;DEF;FEM;SG	N
viata	ライフ	viată	ライフ	N;DEF;FEM;SG	N
viata	生命	viată	生命	N;DEF;FEM;SG	N
viata	人生	viată	人生	N;DEF;FEM;SG	N
viata	ライフ	viată	ライフ	N;DEF;FEM;SG	N
viata	生命	viată	生命	N;DEF;FEM;SG	N
viata	人生	viată	人生	N;DEF;FEM;SG	N
viata	ライフ	viată	ライフ	N;DEF;FEM;SG	N
viata	生命	viată	生命	N;DEF;FEM;SG	N
viata	人生	viată	人生	N;DEF;FEM;SG	N
viata	ライフ	viată	ライフ	N;DEF;FEM;SG	N
viata	生命	viată	生命	N;DEF;FEM;SG	N
viata	人生	viată	人生	N;DEF;FEM;SG	N
viata	ライフ	viată	ライフ	N;DEF;FEM;SG	N
bun	良い	bun	良い	ADJ;INDF;MASC;SG	ADJ
format	フォーマット	format	フォーマット	N;INDF;MASC;SG	N
format	書式	format	書式	N;INDF;MASC;SG	N
primit	受け取り	primi	受け取る	V;MASC;SG;V.PTCP	V
primit	受信	primi	受信	V;MASC;SG;V.PTCP	V
presedinte	大統領	presedinte	大統領	N;INDF;MASC;SG	N
presedinte	社長	presedinte	社長	N;INDF;MASC;SG	N
presedinte	会長	presedinte	会長	N;INDF;MASC;SG	N
presedinte	議長	presedinte	議長	N;INDF;MASC;SG	N
presedinte	大統領	presedinte	大統領	N;INDF;MASC;SG	N
presedinte	社長	presedinte	社長	N;INDF;MASC;SG	N
presedinte	大統領	presedinte	大統領	N;INDF;MASC;SG	N
presedinte	社長	presedinte	社長	N;INDF;MASC;SG	N
presedinte	会長	presedinte	会長	N;INDF;MASC;SG	N
presedinte	議長	presedinte	議長	N;INDF;MASC;SG	N
oameni	ピープル	om	ピープル	N;INDF;MASC;PL	N
suprafata	表面	suprafată	表面	N;DEF;FEM;SG	N
suprafata	曲面	suprafată	曲面	N;DEF;FEM;SG	N
suprafata	面積	suprafată	面積	N;DEF;FEM;SG	N
suprafata	領域	suprafată	領域	N;DEF;FEM;SG	N
suprafata	エリア	suprafată	エリア	N;DEF;FEM;SG	N
suprafata	表面	suprafată	表面	N;DEF;FEM;SG	N
suprafata	曲面	suprafată	曲面	N;DEF;FEM;SG	N
suprafata	表面	suprafată	表面	N;DEF;FEM;SG	N
suprafata	曲面	suprafată	曲面	N;DEF;FEM;SG	N
suprafata	表面	suprafată	表面	N;DEF;FEM;SG	N
suprafata	曲面	suprafată	曲面	N;DEF;FEM;SG	N
suprafata	表面	suprafată	表面	N;DEF;FEM;SG	N
suprafata	曲面	suprafată	曲面	N;DEF;FEM;SG	N
universitatea	大学	universitate	大学	N;DEF;FEM;SG	N
team	チーム	team	チーム	N;INDF;MASC;SG	N
copii	子供	copil	子供	N;INDF;MASC;PL	N
copii	子供	copil	子供	N;INDF;MASC;PL	N
lucru	作業	lucru	作業	N;INDF;MASC;SG	N
lucru	仕事	lucru	仕事	N;INDF;MASC;SG	N
lucru	ワーク	lucru	ワーク	N;INDF;MASC;SG	N
cazul	ケース	caz	ケース	N;DEF;MASC;SG	N
recensamantul	国勢調査	recensamant	国勢調査	N;DEF;MASC;SG	N
centrul	センター	centru	センター	N;DEF;MASC;SG	N
centrul	中央	centru	中央	N;DEF;MASC;SG	N
centrul	中心	centru	中心	N;DEF;MASC;SG	N
centrul	中央	centru	中央	N;DEF;MASC;SG	N
centrul	センター	centru	センター	N;DEF;MASC;SG	N
centrul	中心	centru	中心	N;DEF;MASC;SG	N
teritoriul	縄張り	teritoriu	縄張り	N;DEF;MASC;SG	N
numar	番号	numar	番号	N;INDF;MASC;SG	N
numar	数値	numar	数値	N;INDF;MASC;SG	N
numar	ナンバー	numar	ナンバー	N;INDF;MASC;SG	N
numar	番号	numar	番号	N;INDF;MASC;SG	N
numar	数値	numar	数値	N;INDF;MASC;SG	N
numar	ナンバー	numar	ナンバー	N;INDF;MASC;SG	N
cauza	原因	cauză	原因	N;DEF;FEM;SG	N
cauza	原因	cauză	原因	N;DEF;FEM;SG	N
engleza	イングリッシュ	engleza	イングリッシュ	N;DEF;FEM;SG	N
engleza	英語	engleza	英語	N;DEF;FEM;SG	N
engleza	イングリッシュ	engleza	イングリッシュ	N;DEF;FEM;SG	N
engleza	英語	engleza	英語	N;DEF;FEM;SG	N
serie	シリーズ	serie	シリーズ	N;INDF;FEM;SG	N
vechi	古い	vechi	古い	ADJ;INDF;MASC;SG	ADJ
muntii	山地	munte	山地	N;DEF;MASC;PL	N
muntii	山脈	munte	山脈	N;DEF;MASC;PL	N
muntii	山地	munte	山地	N;DEF;MASC;PL	N
muntii	山脈	munte	山脈	N;DEF;MASC;PL	N
muntii	山地	munte	山地	N;DEF;MASC;PL	N
muntii	山脈	munte	山脈	N;DEF;MASC;PL	N
limbi	言語	limbă	言語	N;INDF;FEM;PL	N
fotbal	サッカー	fotbal	サッカー	N;INDF;MASC;SG	N
fotbal	フットボール	fotbal	フットボール	N;INDF;MASC;SG	N
regele	国王	rege	国王	N;DEF;MASC;SG	N
regele	キング	rege	キング	N;DEF;MASC;SG	N
fiul	息子	fiu	息子	N;DEF;MASC;SG	N
noua	新しい	nou	新しい	ADJ;DEF;FEM;SG	ADJ
noua	新規	nou	新規	ADJ;DEF;FEM;SG	ADJ
noua	新しい	nou	新しい	ADJ;DEF;FEM;SG	ADJ
noua	新規	nou	新規	ADJ;DEF;FEM;SG	ADJ
viteza	速度	viteză	速度	N;DEF;FEM;SG	N
viteza	スピード	viteză	スピード	N;DEF;FEM;SG	N
viteza	速度	viteză	速度	N;DEF;FEM;SG	N
viteza	スピード	viteză	スピード	N;DEF;FEM;SG	N
orase	都市	oras	都市	N;INDF;FEM;PL	N
orase	都市	oras	都市	N;INDF;FEM;PL	N
orase	都市	oras	都市	N;INDF;FEM;PL	N
institutul	研究所	institut	研究所	N;DEF;MASC;SG	N
satele	村落	sat	村落	N;DEF;FEM;PL	N
articolul	記事	articol	記事	N;DEF;MASC;SG	N
articolul	冠詞	articol	冠詞	N;DEF;MASC;SG	N
informatii	情報	informat	情報	N;INDF;FEM;PL	N
informatii	情報	informat	情報	N;INDF;FEM;PL	N
informatii	情報	informat	情報	N;INDF;FEM;PL	N
informatii	情報	informat	情報	N;INDF;FEM;PL	N
informatii	情報	informat	情報	N;INDF;FEM;PL	N
titlu	肩書	titlu	肩書	N;INDF;MASC;SG	N
titlu	称号	titlu	称号	N;INDF;MASC;SG	N
titlu	タイトル	titlu	タイトル	N;INDF;MASC;SG	N
goluri	ゴール	gol	ゴール	N;INDF;FEM;PL	N
goluri	目標	gol	目標	N;INDF;FEM;PL	N
titlul	肩書	titlu	肩書	N;DEF;MASC;SG	N
titlul	称号	titlu	称号	N;DEF;MASC;SG	N
titlul	タイトル	titlu	タイトル	N;DEF;MASC;SG	N
album	アルバム	album	アルバム	N;INDF;MASC;SG	N
pagina	ページ	pagină	ページ	N;DEF;FEM;SG	N
pagina	ページ	pagină	ページ	N;DEF;FEM;SG	N
imperiul	帝国	imperiu	帝国	N;DEF;MASC;SG	N
imperiul	帝政	imperiu	帝政	N;DEF;MASC;SG	N
armata	軍隊	armată	軍隊	N;DEF;FEM;SG	N
armata	陸軍	armată	陸軍	N;DEF;FEM;SG	N
armata	軍事	armată	軍事	N;DEF;FEM;SG	N
armata	軍隊	armată	軍隊	N;DEF;FEM;SG	N
armata	軍隊	armată	軍隊	N;DEF;FEM;SG	N
armata	陸軍	armată	陸軍	N;DEF;FEM;SG	N
forma	図形	formă	図形	N;DEF;FEM;SG	N
forma	形状	formă	形状	N;DEF;FEM;SG	N
forma	シェイプ	formă	シェイプ	N;DEF;FEM;SG	N
forma	形式	formă	形式	N;DEF;FEM;SG	N
forma	図形	formă	図形	N;DEF;FEM;SG	N
forma	形状	formă	形状	N;DEF;FEM;SG	N
forma	シェイプ	formă	シェイプ	N;DEF;FEM;SG	N
forma	形式	formă	形式	N;DEF;FEM;SG	N
rolul	役割	rol	役割	N;DEF;MASC;SG	N
mica	小さな	mic	小さな	ADJ;DEF;FEM;SG	ADJ
mica	小さい	mic	小さい	ADJ;DEF;FEM;SG	ADJ
des	しばしば	des	しばしば	ADV	ADV
epoca	ビンテージ	epocă	ビンテージ	N;DEF;FEM;SG	N
epoca	紀元	epocă	紀元	N;DEF;FEM;SG	N
principal	メイン	principal	メイン	N;INDF;MASC;SG	N
principal	校長	principal	校長	N;INDF;MASC;SG	N
principal	元本	principal	元本	N;INDF;MASC;SG	N
mici	小さな	mic	小さな	ADJ;INDF;PL	ADJ
mici	小さい	mic	小さい	ADJ;INDF;PL	ADJ
eliberare	リリース	eliberare	リリース	N;INDF;FEM;SG	N
mic	小さな	mic	小さな	ADJ;INDF;MASC;SG	ADJ
mic	小さい	mic	小さい	ADJ;INDF;MASC;SG	ADJ
mic	小さい	mic	小さい	ADJ;INDF;MASC;SG	ADJ
gen	性別	gen	性別	N;INDF;MASC;SG	N
gen	ジェンダー	gen	ジェンダー	N;INDF;MASC;SG	N
gen	ジャンル	gen	ジャンル	N;INDF;MASC;SG	N
importante	重要	important	重要	ADJ;INDF;FEM;PL	ADJ
aur	ゴールド	aur	ゴールド	N;INDF;MASC;SG	N
germana	ドイツ語	germană	ドイツ語	N;DEF;FEM;SG	N
germana	ドイツ語	germană	ドイツ語	N;DEF;FEM;SG	N
orbita	軌道	orbită	軌道	N;DEF;FEM;SG	N
orbita	軌道	orbită	軌道	N;DEF;FEM;SG	N
lume	世界	lume	世界	N;INDF;FEM;SG	N
lume	ワールド	lume	ワールド	N;INDF;FEM;SG	N
local	ローカル	local	ローカル	ADJ;INDF;MASC;SG	ADJ
local	ローカル	local	ローカル	ADJ;INDF;MASC;SG	ADJ
politica	ポリシー	politică	ポリシー	N;DEF;FEM;SG	N
politica	政策	politică	政策	N;DEF;FEM;SG	N
politica	方針	politică	方針	N;DEF;FEM;SG	N
politica	政治	politică	政治	N;DEF;FEM;SG	N
politica	ポリシー	politică	ポリシー	N;DEF;FEM;SG	N
politica	政策	politică	政策	N;DEF;FEM;SG	N
politica	方針	politică	方針	N;DEF;FEM;SG	N
politica	政治	politică	政治	N;DEF;FEM;SG	N
revista	マガジン	revistă	マガジン	N;DEF;FEM;SG	N
revista	雑誌	revistă	雑誌	N;DEF;FEM;SG	N
revista	マガジン	revistă	マガジン	N;DEF;FEM;SG	N
revista	雑誌	revistă	雑誌	N;DEF;FEM;SG	N
asta	これ	acesta	これ	PRO;FEM;SG;3	PRO
profesor	教授	profesor	教授	N;INDF;MASC;SG	N
profesor	教員	profesor	教員	N;INDF;MASC;SG	N
profesor	教師	profesor	教師	N;INDF;MASC;SG	N
profesor	先生	profesor	先生	N;INDF;MASC;SG	N
planetelor	惑星	planetă	惑星	N;DEF;FEM;PL	N
cinci	五	cinci	五	NUM;PL	NUM
lumea	世界	lume	世界	N;DEF;FEM;SG	N
lumea	ワールド	lume	ワールド	N;DEF;FEM;SG	N
muzica	ミュージック	muzică	ミュージック	N;DEF;FEM;SG	N
muzica	音楽	muzică	音楽	N;DEF;FEM;SG	N
muzica	ミュージック	muzică	ミュージック	N;DEF;FEM;SG	N
muzica	音楽	muzică	音楽	N;DEF;FEM;SG	N
etnica	民族	etnica	民族	N;DEF;FEM;SG	N
buna	良い	bun	良い	ADJ;DEF;FEM;SG	ADJ
centru	センター	centru	センター	N;INDF;MASC;SG	N
centru	中央	centru	中央	N;INDF;MASC;SG	N
centru	中心	centru	中心	N;INDF;MASC;SG	N
centru	中央	centru	中央	N;INDF;MASC;SG	N
centru	センター	centru	センター	N;INDF;MASC;SG	N
centru	中心	centru	中心	N;INDF;MASC;SG	N
istorie	履歴	istorie	履歴	N;INDF;FEM;SG	N
istorie	由緒	istorie	由緒	N;INDF;FEM;SG	N
istorie	歴史	istorie	歴史	N;INDF;FEM;SG	N
