קטגוריה	catégorie	קטגוריה	catégorie	N;FEM;SG	N;FEM;SG
נולד	naître	נולד	naître	V;MASC;SG;3;PST;MID	V;NFIN
נולד	né	נולד	naître	V;MASC;SG;3;PST;MID	V;MASC;SG;PST;V.PTCP
נולד	née	נולד	naître	V;MASC;SG;3;PST;MID	V;FEM;SG;PST;V.PTCP
הערות	remarques	הערה	remarque	N;FEM;PL	N;FEM;PL
הערות	notes	הערה	note	N;FEM;PL	N;FEM;PL
הערות	commentaires	הערה	commentaire	N;FEM;PL	N;MASC;PL
הערות	remarques	הערה	remarque	N;FEM;PL	N;FEM;PL
הערות	observations	הערה	observation	N;FEM;PL	N;FEM;PL
חלק	partie	חלק	partie	N;MASC;SG	N;FEM;SG
לפני	avant	לפני	avant	ADP	ADP
שוליים	marges	שול	marge	N;MASC;PL	N;FEM;PL
שוליים	franges	שול	frange	N;MASC;PL	N;FEM;PL
שוליים	marges	שול	marge	N;MASC;PL	N;FEM;PL
להיות	etre	היה	être	V;POS;NFIN	V;NFIN
אותה	her	None	her	PRO;ACC;FEM;SG;3	PRO;SG;3
ראש	tête	ראש	tête	N;MASC;SG	N;FEM;SG
ראש	ruée	ראש	ruée	N;MASC;SG	N;FEM;SG
ראש	rush	ראש	rush	N;MASC;SG	N;MASC;SG
תל	tél	תל	tél	N;MASC;SG	N;MASC;SG
ערך	valeur	ערך	valeur	N;MASC;SG	N;FEM;SG
אלו	ces	אלו	ce	PRO;PL;3	PRO;PL;3
זמן	temps	זמן	temps	N;MASC;SG	N;MASC;SG
זמן	heure	זמן	heure	N;MASC;SG	N;FEM;SG
בעיקר	principalement	בעיקר	principalement	ADV	ADV
בעיקר	essentiellement	בעיקר	essentiellement	ADV	ADV
בעיקר	principalement	בעיקר	principalement	ADV	ADV
בעיקר	essentiellement	בעיקר	essentiellement	ADV	ADV
בעיקר	surtout	בעיקר	surtout	ADV	ADV
אתר	site	אתר	site	N;MASC;SG	N;MASC;SG
אתר	site	אתר	site	N;MASC;SG	N;MASC;SG
אתר	éther	אתר	éther	N;MASC;SG	N;MASC;SG
ללא	sans	ללא	sans	ADP	ADP
שונים	différentes	שונה	différent	ADJ;MASC;PL	ADJ;FEM;PL
שונים	différents	שונה	différent	ADJ;MASC;PL	ADJ;MASC;PL
שונים	divers	שונה	divers	ADJ;MASC;PL	ADJ;MASC;PL
שונים	diverses	שונה	divers	ADJ;MASC;PL	ADJ;FEM;PL
אדם	personne	אדם	personne	N;MASC;SG	N;FEM;SG
אדם	man	אדם	man	N;MASC;SG	N;MASC;SG
אדם	mec	אדם	mec	N;MASC;SG	N;MASC;SG
אדם	homme	אדם	homme	N;MASC;SG	N;MASC;SG
עוד	davantage	עוד	davantage	ADV	ADV
עוד	plus	עוד	plus	ADV	ADV
דבר	truc	דבר	truc	N;MASC;SG	N;MASC;SG
דבר	chose	דבר	chose	N;MASC;SG	N;FEM;SG
ספר	livre	ספר	livre	N;MASC;SG	N;MASC;SG
ספר	coiffeur	ספר	coiffeur	N;MASC;SG	N;MASC;SG
ספר	barbier	ספר	barbier	N;MASC;SG	N;MASC;SG
נגד	contre	נגד	contre	ADP	ADP
זכה	gagné	זכה	gagner	V;MASC;SG;3;PST;ACT	V;MASC;SG;PST;V.PTCP
זכה	gagnée	זכה	gagner	V;MASC;SG;3;PST;ACT	V;FEM;SG;PST;V.PTCP
אחרי	après	אחרי	après	ADP	ADP
הן	elles	הוא	il	PRO;FEM;PL;3	PRO;FEM;PL;3
הן	ils	הוא	il	PRO;FEM;PL;3	PRO;MASC;PL;3
הן	eux	הוא	soi	PRO;FEM;PL;3	PRO;MASC;PL;3
יום	journée	יום	journée	N;MASC;SG	N;FEM;SG
יום	jour	יום	jour	N;MASC;SG	N;MASC;SG
יום	journee	יום	journee	N;MASC;SG	N;FEM;SG
אלה	ces	אלה	ce	PRO;MASC;PL;3	PRO;PL;3
כבר	déjà	כבר	déjà	ADV	ADV
כיום	actuellement	כיום	actuellement	ADV	ADV
כיום	présentement	כיום	présentement	ADV	ADV
מקום	lieu	מקום	lieu	N;MASC;SG	N;MASC;SG
מקום	place	מקום	place	N;MASC;SG	N;FEM;SG
מקום	endroit	מקום	endroit	N;MASC;SG	N;MASC;SG
מקום	lieu	מקום	lieu	N;MASC;SG	N;MASC;SG
מאוד	très	מאוד	très	ADV	ADV
מאוד	trés	מאוד	trés	ADV	ADV
יהודים	juifs	יהודי	juif	N;MASC;PL	N;MASC;PL
יהודים	juifs	יהודי	juif	N;MASC;PL	N;MASC;PL
שנת	annee	שנה	annee	N;PSSD;FEM;SG	N;FEM;SG
שנת	an	שנה	an	N;PSSD;FEM;SG	N;MASC;SG
שנת	année	שנה	année	N;PSSD;FEM;SG	N;FEM;SG
באמצעות	via	באמצעות	via	ADP	ADP
יחד	ensemble	יחד	ensemble	ADV	ADV
בעל	époux	בעל	époux	N;MASC;SG	N;MASC;SG
בעל	mari	בעל	mari	N;MASC;SG	N;MASC;SG
בנוסף	plus	בנוסף	plus	ADV	ADV
תחת	sous	תחת	sous	ADP	ADP
תמונה	photo	תמונה	photo	N;FEM;SG	N;FEM;SG
תמונה	image	תמונה	image	N;FEM;SG	N;FEM;SG
תמונה	photo	תמונה	photo	N;FEM;SG	N;FEM;SG
תמונה	image	תמונה	image	N;FEM;SG	N;FEM;SG
כתב	journaliste	כתב	journaliste	N;MASC;SG	N;MASC;SG
עצמו	soi	עצמו	soi	PRO;MASC;SG;3;REFL	PRO;SG;3
למרות	malgré	למרות	malgré	ADP	ADP
אותם	eux	None	soi	PRO;ACC;MASC;PL;3	PRO;MASC;PL;3
החברה	société	החברה	société	N;FEM;SG	N;FEM;SG
החברה	compagnie	החברה	compagnie	N;FEM;SG	N;FEM;SG
החברה	société	החברה	société	N;FEM;SG	N;FEM;SG
שונות	différentes	שונה	différent	ADJ;FEM;PL	ADJ;FEM;PL
שונות	différents	שונה	différent	ADJ;FEM;PL	ADJ;MASC;PL
שונות	diverses	שונה	divers	ADJ;FEM;PL	ADJ;FEM;PL
שונות	divers	שונה	divers	ADJ;FEM;PL	ADJ;MASC;PL
מערכת	système	מערכת	système	N;FEM;SG	N;MASC;SG
בלבד	uniquement	בלבד	uniquement	ADV	ADV
בלבד	seulement	בלבד	seulement	ADV	ADV
מרכז	center	מרכז	center	N;MASC;SG	N;MASC;SG
מרכז	centre	מרכז	centre	N;MASC;SG	N;MASC;SG
מרכז	centre	מרכז	centre	N;MASC;SG	N;MASC;SG
שימוש	utilisation	שימוש	utilisation	N;MASC;SG	N;FEM;SG
שימוש	usage	שימוש	usage	N;MASC;SG	N;MASC;SG
שימוש	utilisation	שימוש	utilisation	N;MASC;SG	N;FEM;SG
רוב	majorité	רוב	majorité	N;MASC;SG	N;FEM;SG
כולל	incluant	כלל	inclure	V;MASC;SG;V.PTCP;ACT	V;PRS;V.PTCP
כולל	comprenant	כלל	comprendre	V;MASC;SG;V.PTCP;ACT	V;PRS;V.PTCP
כולל	inclus	כלל	inclure	V;MASC;SG;V.PTCP;ACT	V;MASC;SG;PST;V.PTCP
כולל	incluse	כלל	inclure	V;MASC;SG;V.PTCP;ACT	V;FEM;SG;PST;V.PTCP
כולל	compris	כלל	comprendre	V;MASC;SG;V.PTCP;ACT	V;MASC;SG;PST;V.PTCP
גדול	grande	גדול	grand	ADJ;MASC;SG	ADJ;FEM;SG
גדול	grand	גדול	grand	ADJ;MASC;SG	ADJ;MASC;SG
גדול	gros	גדול	gros	ADJ;MASC;SG	ADJ;MASC;SG
גדול	grosse	גדול	gros	ADJ;MASC;SG	ADJ;FEM;SG
גדול	grande	גדול	grand	ADJ;MASC;SG	ADJ;FEM;SG
גדול	grand	גדול	grand	ADJ;MASC;SG	ADJ;MASC;SG
גדול	grande	גדול	grand	ADJ;MASC;SG	ADJ;FEM;SG
גדול	génial	גדול	génial	ADJ;MASC;SG	ADJ;MASC;SG
גדול	grand	גדול	grand	ADJ;MASC;SG	ADJ;MASC;SG
סוג	type	סוג	type	N;MASC;SG	N;MASC;SG
מידע	info	מידע	info	N;MASC;SG	N;MASC;SG
מידע	information	מידע	information	N;MASC;SG	N;FEM;SG
ערכים	valeurs	ערך	valeur	N;MASC;PL	N;FEM;PL
אנשים	gens	איש	gens	N;MASC;PL	N;MASC;PL
אנשים	personnes	איש	personne	N;MASC;PL	N;FEM;PL
דקות	minutes	דקה	minute	N;FEM;PL	N;FEM;PL
חבר	ami	חבר	ami	N;MASC;SG	N;MASC;SG
חבר	amie	חבר	amie	N;MASC;SG	N;FEM;SG
חבר	copain	חבר	copain	N;MASC;SG	N;MASC;SG
בת	fille	בת	fille	N;FEM;SG	N;FEM;SG
כאן	ici	כאן	ici	ADV	ADV
לעתים	quelquefois	לעתים	quelquefois	ADV	ADV
לעתים	parfois	לעתים	parfois	ADV	ADV
הכנסת	knesset	הכנסה	knesset	N;PSSD;FEM;SG	N;MASC;SG
הכנסת	synagogue	הכנסה	synagogue	N;PSSD;FEM;SG	N;FEM;SG
חדש	nouveau	חדש	nouveau	ADJ;MASC;SG	ADJ;MASC;SG
חדש	nouvelle	חדש	nouveau	ADJ;MASC;SG	ADJ;FEM;SG
ארץ	pays	ארץ	pays	N;FEM;SG	N;MASC;SG
ארץ	terre	ארץ	terre	N;FEM;SG	N;FEM;SG
ארץ	terrain	ארץ	terrain	N;FEM;SG	N;MASC;SG
ארץ	earth	ארץ	earth	N;FEM;SG	N;MASC;SG
ארץ	terre	ארץ	terre	N;FEM;SG	N;FEM;SG
כלי	outil	כלי	outil	N;MASC;SG	N;MASC;SG
הרבה	beaucoup	הרבה	beaucoup	ADV	ADV
הרבה	beaucoup	הרבה	beaucoup	ADV	ADV
אתה	tu	הוא	il	PRO;MASC;SG;2	PRO;SG;2
אתה	toi	הוא	soi	PRO;MASC;SG;2	PRO;SG;2
אתה	you	הוא	you	PRO;MASC;SG;2	PRO;SG;2
נמצא	trouvée	נמצא	trouver	V;MASC;SG;V.PTCP;MID	V;FEM;SG;PST;V.PTCP
נמצא	trouvé	נמצא	trouver	V;MASC;SG;V.PTCP;MID	V;MASC;SG;PST;V.PTCP
נמצא	retrouvé	נמצא	retrouver	V;MASC;SG;V.PTCP;MID	V;MASC;SG;PST;V.PTCP
טוב	bonne	טוב	bon	ADJ;MASC;SG	ADJ;FEM;SG
טוב	bon	טוב	bon	ADJ;MASC;SG	ADJ;MASC;SG
ילדים	enfants	ילד	enfant	N;MASC;PL	N;MASC;PL
ילדים	enfants	ילד	enfant	N;MASC;PL	N;MASC;PL
שלושה	trois	שלושה	trois	NUM;MASC;SG	NUM
הגיע	arrivé	הגיע	arriver	V;MASC;SG;3;PST;ACT	V;MASC;SG;PST;V.PTCP
הגיע	vint	הגיע	venir	V;MASC;SG;3;PST;ACT	V;IND;SG;3;PST;FIN
כמעט	presque	כמעט	presque	ADV	ADV
כמעט	quasi	כמעט	quasi	ADV	ADV
כמעט	pratiquement	כמעט	pratiquement	ADV	ADV
כמעט	quasiment	כמעט	quasiment	ADV	ADV
כמעט	presque	כמעט	presque	ADV	ADV
כוח	résistance	כוח	résistance	N;MASC;SG	N;FEM;SG
כוח	solidité	כוח	solidité	N;MASC;SG	N;FEM;SG
כוח	force	כוח	force	N;MASC;SG	N;FEM;SG
כוח	force	כוח	force	N;MASC;SG	N;FEM;SG
כוח	puissance	כוח	puissance	N;MASC;SG	N;FEM;SG
נפטר	décédée	נפטר	décéder	V;MASC;SG;3;PST;MID	V;FEM;SG;PST;V.PTCP
נפטר	décédé	נפטר	décéder	V;MASC;SG;3;PST;MID	V;MASC;SG;PST;V.PTCP
מלך	roi	מלך	roi	N;MASC;SG	N;MASC;SG
מקור	origine	מקור	origine	N;MASC;SG	N;FEM;SG
מקור	source	מקור	source	N;MASC;SG	N;FEM;SG
מקור	bec	מקור	bec	N;MASC;SG	N;MASC;SG
תוכנית	programme	תוכנית	programme	N;FEM;SG	N;MASC;SG
תוכנית	plan	תוכנית	plan	N;FEM;SG	N;MASC;SG
תוכנית	programme	תוכנית	programme	N;FEM;SG	N;MASC;SG
פעם	jadis	פעם	jadis	ADV	ADV
משתמש	utiliser	השתמש	utiliser	V;MASC;SG;V.PTCP	V;NFIN
משתמש	utilisant	השתמש	utiliser	V;MASC;SG;V.PTCP	V;PRS;V.PTCP
קיבל	reçu	קיבל	recevoir	V;MASC;SG;3;PST;ACT	V;MASC;SG;PST;V.PTCP
קיבל	reçue	קיבל	recevoir	V;MASC;SG;3;PST;ACT	V;FEM;SG;PST;V.PTCP
קיבל	acceptée	קיבל	accepter	V;MASC;SG;3;PST;ACT	V;FEM;SG;PST;V.PTCP
קיבל	accepté	קיבל	accepter	V;MASC;SG;3;PST;ACT	V;MASC;SG;PST;V.PTCP
נשים	femmes	איש	femme	N;FEM;PL	N;FEM;PL
במיוחד	particulièrement	במיוחד	particulièrement	ADV	ADV
במיוחד	particulièrement	במיוחד	particulièrement	ADV	ADV
במיוחד	surtout	במיוחד	surtout	ADV	ADV
במיוחד	spécialement	במיוחד	spécialement	ADV	ADV
עדיין	encore	עדיין	encore	ADV	ADV
עדיין	toujours	עדיין	toujours	ADV	ADV
מים	eaux	מים	eau	N;MASC;PL	N;FEM;PL
כוחות	pouvoirs	כוח	pouvoir	N;MASC;PL	N;MASC;PL
כוחות	forces	כוח	force	N;MASC;PL	N;FEM;PL
פעולה	action	פעולה	action	N;FEM;SG	N;FEM;SG
נכון	vraie	נכון	vrai	ADJ;MASC;SG	ADJ;FEM;SG
נכון	vrai	נכון	vrai	ADJ;MASC;SG	ADJ;MASC;SG
נכון	véritable	נכון	véritable	ADJ;MASC;SG	ADJ;MASC;SG
החלה	commencé	החל	commencer	V;FEM;SG;3;PST;ACT	V;MASC;SG;PST;V.PTCP
החלה	commencé	החל	commencer	V;FEM;SG;3;PST;ACT	V;MASC;SG;PST;V.PTCP
החלה	commencée	החל	commencer	V;FEM;SG;3;PST;ACT	V;FEM;SG;PST;V.PTCP
חוק	loi	חוק	loi	N;MASC;SG	N;FEM;SG
חוק	droit	חוק	droit	N;MASC;SG	N;MASC;SG
יחידה	unité	יחידה	unité	N;FEM;SG	N;FEM;SG
יחידה	unite	יחידה	unite	N;FEM;SG	N;FEM;SG
שוב	encore	שוב	encore	ADV	ADV
מדינות	etats	מדינה	etat	N;FEM;PL	N;MASC;PL
מדינות	états	מדינה	état	N;FEM;PL	N;MASC;PL
מפקד	commandeur	מפקד	commandeur	N;MASC;SG	N;MASC;SG
מפקד	commandant	מפקד	commandant	N;MASC;SG	N;MASC;SG
שלוש	trois	שלוש	trois	NUM;FEM;SG	NUM
אזור	région	אזור	région	N;MASC;SG	N;FEM;SG
אזור	zone	אזור	zone	N;MASC;SG	N;FEM;SG
אזור	région	אזור	région	N;MASC;SG	N;FEM;SG
אזור	zone	אזור	zone	N;MASC;SG	N;FEM;SG
אזור	domaine	אזור	domaine	N;MASC;SG	N;MASC;SG
קבוצות	groupes	קבוצה	groupe	N;FEM;PL	N;MASC;PL
קבוצות	équipes	קבוצה	équipe	N;FEM;PL	N;FEM;PL
קבוצות	equipes	קבוצה	equipe	N;FEM;PL	N;MASC;PL
סרט	film	סרט	film	N;MASC;SG	N;MASC;SG
סרט	film	סרט	film	N;MASC;SG	N;MASC;SG
קרב	bataille	קרב	bataille	N;MASC;SG	N;FEM;SG
קרב	combat	קרב	combat	N;MASC;SG	N;MASC;SG
קרב	combat	קרב	combat	N;MASC;SG	N;MASC;SG
קצר	courte	קצר	court	ADJ;MASC;SG	ADJ;FEM;SG
קצר	court	קצר	court	ADJ;MASC;SG	ADJ;MASC;SG
קצר	brève	קצר	bref	ADJ;MASC;SG	ADJ;FEM;SG
ימים	jours	יום	jour	N;MASC;PL	N;MASC;PL
ימים	journées	יום	journée	N;MASC;PL	N;FEM;PL
צבא	armée	צבא	armée	N;MASC;SG	N;FEM;SG
צבא	armée	צבא	armée	N;MASC;SG	N;FEM;SG
ים	mer	ים	mer	N;MASC;SG	N;FEM;SG
הפך	devenu	הפך	devenir	V;MASC;SG;3;PST	V;MASC;SG;PST;V.PTCP
הפך	devenue	הפך	devenir	V;MASC;SG;3;PST	V;FEM;SG;PST;V.PTCP
הפך	devint	הפך	devenir	V;MASC;SG;3;PST	V;IND;SG;3;PST;FIN
משחק	gibier	משחק	gibier	N;MASC;SG	N;MASC;SG
משחק	match	משחק	match	N;MASC;SG	N;MASC;SG
משחק	jeu	משחק	jeu	N;MASC;SG	N;MASC;SG
ראשי	têtes	ראש	tête	N;PSSD;MASC;PL	N;FEM;PL
נבחר	choisi	נבחר	choisir	V;MASC;SG;3;PST;MID	V;MASC;SG;PST;V.PTCP
נבחר	choisie	נבחר	choisir	V;MASC;SG;3;PST;MID	V;FEM;SG;PST;V.PTCP
נבחר	sélectionnée	נבחר	sélectionner	V;MASC;SG;3;PST;MID	V;FEM;SG;PST;V.PTCP
נבחר	sélectionné	נבחר	sélectionner	V;MASC;SG;3;PST;MID	V;MASC;SG;PST;V.PTCP
מדי	trop	מדי	trop	ADV	ADV
פעילות	activité	פעילות	activité	N;FEM;SG	N;FEM;SG
שטח	champ	שטח	champ	N;MASC;SG	N;MASC;SG
שטח	domaine	שטח	domaine	N;MASC;SG	N;MASC;SG
שטח	terrain	שטח	terrain	N;MASC;SG	N;MASC;SG
שטח	région	שטח	région	N;MASC;SG	N;FEM;SG
שטח	zone	שטח	zone	N;MASC;SG	N;FEM;SG
שטח	domaine	שטח	domaine	N;MASC;SG	N;MASC;SG
מאוחר	tard	מאוחר	tard	ADV	ADV
קולנוע	film	קולנוע	film	N;MASC;SG	N;MASC;SG
קולנוע	cinéma	קולנוע	cinéma	N;MASC;SG	N;MASC;SG
קולנוע	ciné	קולנוע	ciné	N;MASC;SG	N;MASC;SG
קולנוע	cinématographie	קולנוע	cinématographie	N;MASC;SG	N;FEM;SG
קולנוע	cinéma	קולנוע	cinéma	N;MASC;SG	N;MASC;SG
קולנוע	ciné	קולנוע	ciné	N;MASC;SG	N;MASC;SG
קשר	branchement	קשר	branchement	N;MASC;SG	N;MASC;SG
קשר	raccordement	קשר	raccordement	N;MASC;SG	N;MASC;SG
קשר	connexion	קשר	connexion	N;MASC;SG	N;FEM;SG
קשר	contact	קשר	contact	N;MASC;SG	N;MASC;SG
קשר	noeud	קשר	noeud	N;MASC;SG	N;MASC;SG
קשר	nœud	קשר	nœud	N;MASC;SG	N;MASC;SG
אחרת	autrement	אחרת	autrement	ADV	ADV
עיר	ville	עיר	ville	N;FEM;SG	N;FEM;SG
עיר	ville	עיר	ville	N;FEM;SG	N;FEM;SG
הופעות	impressions	הופעה	impression	N;FEM;PL	N;FEM;PL
הופעות	apparitions	הופעה	apparition	N;FEM;PL	N;FEM;PL
הופעות	apparences	הופעה	apparence	N;FEM;PL	N;FEM;PL
הופעות	concerts	הופעה	concert	N;FEM;PL	N;MASC;PL
תקופה	période	תקופה	période	N;FEM;SG	N;FEM;SG
ספרים	ouvrages	ספר	ouvrage	N;MASC;PL	N;MASC;PL
ספרים	livres	ספר	livre	N;MASC;PL	N;MASC;PL
קטן	petit	קטן	petit	ADJ;MASC;SG	ADJ;MASC;SG
קטן	petite	קטן	petit	ADJ;MASC;SG	ADJ;FEM;SG
קטן	petit	קטן	petit	ADJ;MASC;SG	ADJ;MASC;SG
קטן	petite	קטן	petit	ADJ;MASC;SG	ADJ;FEM;SG
למד	appris	למד	apprendre	V;MASC;SG;3;PST	V;MASC;SG;PST;V.PTCP
למד	apprise	למד	apprise	V;MASC;SG;3;PST	V;FEM;SG;PST;V.PTCP
למד	étudié	למד	étudier	V;MASC;SG;3;PST	V;MASC;SG;PST;V.PTCP
למד	étudiée	למד	étudier	V;MASC;SG;3;PST	V;FEM;SG;PST;V.PTCP
למד	apprendre	למד	apprendre	V;MASC;SG;3;PST	V;NFIN
ברית	alliance	ברית	alliance	N;FEM;SG	N;FEM;SG
תשע	neuf	תשע	neuf	NUM;FEM;SG	NUM
פחות	moins	פחות	moins	ADV	ADV
משרד	bureau	משרד	bureau	N;MASC;SG	N;MASC;SG
איך	comment	איך	comment	ADV	ADV
גרסאות	variantes	גרסה	variante	N;FEM;PL	N;FEM;PL
גרסאות	versions	גרסה	version	N;FEM;PL	N;FEM;PL
זהב	golden	זהב	golden	N;MASC;SG	N;MASC;SG
עולם	monde	עולם	monde	N;MASC;SG	N;MASC;SG
יד	yad	יד	yad	N;FEM;SG	N;MASC;SG
יד	main	יד	main	N;FEM;SG	N;FEM;SG
מדינה	pays	מדינה	pays	N;FEM;SG	N;MASC;SG
מדינה	etat	מדינה	etat	N;FEM;SG	N;MASC;SG
מדינה	état	מדינה	état	N;FEM;SG	N;MASC;SG
ארגון	organisation	ארגון	organisation	N;MASC;SG	N;FEM;SG
ארגון	organisation	ארגון	organisation	N;MASC;SG	N;FEM;SG
לכתוב	écrivez	כתב	écrire	V;NFIN;ACT	V;IMP;PL;2;PRS;FIN
לכתוב	ecrire	כתב	ecrire	V;NFIN;ACT	V;NFIN
לכתוב	écrire	כתב	écrire	V;NFIN;ACT	V;NFIN
לכתוב	rédiger	כתב	rédiger	V;NFIN;ACT	V;NFIN
גדולה	grande	גדול	grand	ADJ;FEM;SG	ADJ;FEM;SG
גדולה	grand	גדול	grand	ADJ;FEM;SG	ADJ;MASC;SG
גדולה	gros	גדול	gros	ADJ;FEM;SG	ADJ;MASC;SG
גדולה	grosse	גדול	gros	ADJ;FEM;SG	ADJ;FEM;SG
גדולה	grande	גדול	grand	ADJ;FEM;SG	ADJ;FEM;SG
גדולה	grand	גדול	grand	ADJ;FEM;SG	ADJ;MASC;SG
אוכלוסייה	population	אוכלוסייה	population	N;FEM;SG	N;FEM;SG
הקהילה	communaute	הקהיל	communaute	N;FEM;SG	N;FEM;SG
הקהילה	communauté	הקהיל	communauté	N;FEM;SG	N;FEM;SG
הקהילה	collectivité	הקהיל	collectivité	N;FEM;SG	N;FEM;SG
כנגד	contre	כנגד	contre	ADP	ADP
מחוז	comté	מחוז	comté	N;MASC;SG	N;MASC;SG
מחוז	province	מחוז	province	N;MASC;SG	N;FEM;SG
מחוז	district	מחוז	district	N;MASC;SG	N;MASC;SG
תואר	diplôme	תואר	diplôme	N;MASC;SG	N;MASC;SG
תואר	degré	תואר	degré	N;MASC;SG	N;MASC;SG
סדרת	série	סדרה	série	N;FEM;SG	N;FEM;SG
למצוא	trouver	מצא	trouver	V;NFIN;ACT	V;NFIN
למצוא	trouvez	מצא	trouver	V;NFIN;ACT	V;IMP;PL;2;PRS;FIN
נקרא	appelée	נקרא	appeler	V;MASC;SG;3;PST;MID	V;FEM;SG;PST;V.PTCP
נקרא	appelé	נקרא	appeler	V;MASC;SG;3;PST;MID	V;MASC;SG;PST;V.PTCP
עבודה	travail	עבודה	travail	N;FEM;SG	N;MASC;SG
חשוב	importante	חשוב	important	ADJ;MASC;SG	ADJ;FEM;SG
חשוב	important	חשוב	important	ADJ;MASC;SG	ADJ;MASC;SG
תבנית	motif	תבנית	motif	N;FEM;SG	N;MASC;SG
תבנית	schéma	תבנית	schéma	N;FEM;SG	N;MASC;SG
תבנית	gabarit	תבנית	gabarit	N;FEM;SG	N;MASC;SG
תבנית	modèle	תבנית	modèle	N;FEM;SG	N;MASC;SG
תבנית	format	תבנית	format	N;FEM;SG	N;MASC;SG
נחשב	considérée	נחשב	considérer	V;MASC;SG;V.PTCP;MID	V;FEM;SG;PST;V.PTCP
נחשב	considéré	נחשב	considérer	V;MASC;SG;V.PTCP;MID	V;MASC;SG;PST;V.PTCP
דרום	sud	דרום	sud	N;MASC;SG	N;MASC;SG
זכויות	droits	זכות	droit	N;FEM;PL	N;MASC;PL
לקבל	accepte	קיבל	accepter	V;NFIN;ACT	V;IND;SG;3;PRS;FIN
לקבל	accepter	קיבל	accepter	V;NFIN;ACT	V;NFIN
לקבל	acceptent	קיבל	accepter	V;NFIN;ACT	V;IND;PL;3;PRS;FIN
לקבל	acceptez	קיבל	accepter	V;NFIN;ACT	V;IMP;PL;2;PRS;FIN
לקבל	obtenez	קיבל	obtenir	V;NFIN;ACT	V;IMP;PL;2;PRS;FIN
לקבל	obtenir	קיבל	obtenir	V;NFIN;ACT	V;NFIN
מבנה	structure	מבנה	structure	N;MASC;SG	N;FEM;SG
להשתמש	utiliser	השתמש	utiliser	V;NFIN	V;NFIN
להשתמש	utilise	השתמש	utiliser	V;NFIN	V;IND;SG;3;PRS;FIN
