categoría	категорія	categoría	категорія	N;FEM;SG	N;INAN;NOM;FEM;SG
forma	форма	forma	форма	N;FEM;SG	N;INAN;NOM;FEM;SG
forma	форму	forma	форма	N;FEM;SG	N;INAN;ACC;FEM;SG
forma	форма	forma	форма	N;FEM;SG	N;INAN;NOM;FEM;SG
tres	три	tres	три	NUM;PL	NUM;NOM
grupo	група	grupo	група	N;MASC;SG	N;INAN;NOM;FEM;SG
grupo	групу	grupo	група	N;MASC;SG	N;INAN;ACC;FEM;SG
grupo	спільнота	grupo	спільнота	N;MASC;SG	N;INAN;NOM;FEM;SG
general	генерал	general	генерал	N;SG	N;ANIM;NOM;MASC;SG
guerra	війна	guerra	війна	N;FEM;SG	N;INAN;NOM;FEM;SG
guerra	війна	guerra	війна	N;FEM;SG	N;INAN;NOM;FEM;SG
aunque	хоча	aunque	хоча	CONJ	CONJ
aunque	хоча	aunque	хоча	CONJ	CONJ
tras	після	tras	після	ADP	ADP;GEN
familia	сімейство	familia	сімейство	N;FEM;SG	N;INAN;NOM;NEUT;SG
familia	родина	familia	родина	N;FEM;SG	N;INAN;NOM;FEM;SG
además	також	además	також	ADV	ADV
sur	південь	sur	південь	N;MASC;SG	N;INAN;NOM;MASC;SG
tiempo	погода	tiempo	погода	N;MASC;SG	N;INAN;NOM;FEM;SG
tiempo	тайм	tiempo	тайм	N;MASC;SG	N;INAN;NOM;MASC;SG
tiempo	час	tiempo	час	N;MASC;SG	N;INAN;NOM;MASC;SG
provincia	провінція	provincia	провінція	N;FEM;SG	N;INAN;NOM;FEM;SG
partido	вечірка	partido	вечірка	N;MASC;SG	N;INAN;NOM;FEM;SG
partido	партії	partido	партія	N;MASC;SG	N;INAN;GEN;FEM;SG
partido	партія	partido	партія	N;MASC;SG	N;INAN;NOM;FEM;SG
partido	збіг	partido	збігти	N;MASC;SG	N;INAN;NOM;MASC;SG
partido	відповідність	partido	відповідність	N;MASC;SG	N;INAN;NOM;FEM;SG
partido	матч	partido	матч	N;MASC;SG	N;INAN;NOM;MASC;SG
partido	двобій	partido	двобія	N;MASC;SG	N;INAN;NOM;MASC;SG
encuentra	знайти	encontrar	знайти	V;IND;SG;3;PRS;FIN	V;PFV;NFIN
encuentra	знаходить	encontrar	знаходити	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
municipio	муніципалітет	municipio	муніципалітет	N;MASC;SG	N;INAN;NOM;MASC;SG
municipio	край	municipio	край	N;MASC;SG	N;INAN;NOM;MASC;SG
bajo	під	bajo	під	ADP	ADP;ACC
serie	серія	serie	серія	N;FEM;SG	N;INAN;NOM;FEM;SG
serie	ряд	serie	ряд	N;FEM;SG	N;INAN;NOM;MASC;SG
serie	серія	serie	серія	N;FEM;SG	N;INAN;NOM;FEM;SG
fútbol	футбол	fútbol	футбол	N;MASC;SG	N;INAN;NOM;MASC;SG
fútbol	футбол	fútbol	футбол	N;MASC;SG	N;INAN;NOM;MASC;SG
equipo	обладнання	equipo	обладнання	N;MASC;SG	N;INAN;NOM;NEUT;SG
equipo	інвентар	equipo	інвентар	N;MASC;SG	N;INAN;NOM;MASC;SG
equipo	команда	equipo	команда	N;MASC;SG	N;INAN;NOM;FEM;SG
norte	норте	norte	норте	N;MASC;SG	N;INAN;NOM;MASC;SG
norte	північ	norte	північ	N;MASC;SG	N;INAN;NOM;FEM;SG
río	річка	río	річка	N;MASC;SG	N;INAN;NOM;FEM;SG
río	ріка	río	ріка	N;MASC;SG	N;INAN;NOM;FEM;SG
argentina	аргентинське	argentino	аргентинський	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
nuevo	нове	nuevo	новий	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
nuevo	нова	nuevo	новий	ADJ;MASC;SG	ADJ;NOM;FEM;SG
nuevo	новий	nuevo	новий	ADJ;MASC;SG	ADJ;NOM;MASC;SG
véase	подивитися	véase	подивитися	V;SBJV;SG;3;PRS;FIN	V;PFV;NFIN
véase	переглянути	véase	переглянути	V;SBJV;SG;3;PRS;FIN	V;PFV;NFIN
septiembre	вересня	septiembre	вересень	N	N;INAN;GEN;MASC;SG
septiembre	вересень	septiembre	вересень	N	N;INAN;NOM;MASC;SG
octubre	жовтень	octubre	жовтень	N	N;INAN;NOM;MASC;SG
octubre	жовтня	octubre	жовтень	N	N;INAN;GEN;MASC;SG
segunda	другий	segundo	другий	ADJ;FEM;SG	ADJ;NOM;MASC;SG
segunda	друге	segundo	другий	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
discusión	дискусія	discusión	дискусія	N;FEM;SG	N;INAN;NOM;FEM;SG
discusión	обговорення	discusión	обговорення	N;FEM;SG	N;INAN;NOM;NEUT;SG
gobierno	управління	gobierno	управління	N;MASC;SG	N;INAN;NOM;NEUT;SG
gobierno	правління	gobierno	правління	N;MASC;SG	N;INAN;NOM;NEUT;SG
gobierno	уряд	gobierno	уряд	N;MASC;SG	N;INAN;NOM;MASC;SG
condado	графство	condado	графство	N;MASC;SG	N;INAN;NOM;NEUT;SG
condado	повіт	condado	повіт	N;MASC;SG	N;INAN;NOM;MASC;SG
condado	жупанія	condado	жупанія	N;MASC;SG	N;INAN;NOM;FEM;SG
final	кінець	final	кінець	N;MASC;SG	N;INAN;NOM;MASC;SG
final	закінчення	final	закінчення	N;MASC;SG	N;INAN;NOM;NEUT;SG
final	фінал	final	фінал	N;MASC;SG	N;INAN;NOM;MASC;SG
final	фінал	final	фінал	N;MASC;SG	N;INAN;NOM;MASC;SG
vida	життя	vida	життя	N;FEM;SG	N;INAN;NOM;NEUT;SG
personas	осіб	persona	особа	N;FEM;PL	N;ANIM;ACC;FEM;PL
personas	особи	persona	особа	N;FEM;PL	N;ANIM;NOM;FEM;PL
personas	людей	persona	людина	N;FEM;PL	N;ANIM;ACC;FEM;PL
personas	люди	persona	людина	N;FEM;PL	N;ANIM;NOM;FEM;PL
centro	центр	centro	центр	N;MASC;SG	N;INAN;NOM;MASC;SG
centro	центр	centro	центр	N;MASC;SG	N;INAN;NOM;MASC;SG
julio	липень	julio	липень	N	N;INAN;NOM;MASC;SG
julio	липня	julio	липень	N	N;INAN;GEN;MASC;SG
país	країна	país	країна	N;MASC;SG	N;INAN;NOM;FEM;SG
web	сайті	web	сайт	N;FEM;SG	N;INAN;DAT;MASC;SG
web	сайт	web	сайт	N;FEM;SG	N;INAN;NOM;MASC;SG
internacional	міжнародний	internacional	міжнародний	ADJ;SG	ADJ;NOM;MASC;SG
internacional	міжнародна	internacional	міжнародний	ADJ;SG	ADJ;NOM;FEM;SG
internacional	міжнародне	internacional	міжнародний	ADJ;SG	ADJ;NOM;NEUT;SG
santa	святе	santo	святий	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
santa	святий	santo	святий	ADJ;FEM;SG	ADJ;NOM;MASC;SG
santa	святий	santo	святий	ADJ;FEM;SG	ADJ;NOM;MASC;SG
antes	раніше	antes	раніше	ADV	ADV;CMPR
oficial	офіційна	oficial	офіційний	ADJ;SG	ADJ;NOM;FEM;SG
oficial	офіційний	oficial	офіційний	ADJ;SG	ADJ;NOM;MASC;SG
oficial	офіційне	oficial	офіційний	ADJ;SG	ADJ;NOM;NEUT;SG
mundo	світ	mundo	світ	N;MASC;SG	N;INAN;NOM;MASC;SG
mundo	світе	mundo	світи	N;MASC;SG	N;INAN;NOM;MASC;SG
embargo	ембарго	embargo	ембарго	N;MASC;SG	N;INAN;NOM;NEUT;SG
mayo	травня	mayo	травень	N	N;INAN;GEN;MASC;SG
mayo	травень	mayo	травень	N	N;INAN;NOM;MASC;SG
algunos	дехто	alguno	дехто	PRO;MASC;PL	PRO;ANIM;NOM
temporada	сезон	temporada	сезон	N;FEM;SG	N;INAN;NOM;MASC;SG
temporada	сезону	temporada	сезон	N;FEM;SG	N;INAN;GEN;MASC;SG
mejor	краще	mejor	краще	ADV	ADV;CMPR
mejor	найкраще	mejor	найкраще	ADV	ADV;RL
luego	потім	luego	потім	ADV	ADV
luego	тоді	luego	тоді	ADV	ADV
marzo	березень	marzo	березень	N	N;INAN;NOM;MASC;SG
marzo	березня	marzo	березень	N	N;INAN;GEN;MASC;SG
día	день	día	день	N;MASC;SG	N;INAN;NOM;MASC;SG
día	дню	día	день	N;MASC;SG	N;INAN;DAT;MASC;SG
día	дня	día	день	N;MASC;SG	N;INAN;GEN;MASC;SG
enero	січень	enero	січеня	N	N;INAN;NOM;NEUT;SG
enero	січня	enero	січень	N	N;INAN;GEN;MASC;SG
número	число	número	число	N;MASC;SG	N;INAN;NOM;NEUT;SG
número	кількість	número	кількість	N;MASC;SG	N;INAN;NOM;FEM;SG
número	номер	número	номер	N;MASC;SG	N;INAN;NOM;MASC;SG
número	номера	número	номера	N;MASC;SG	N;INAN;GEN;MASC;SG
agosto	серпня	agosto	серпень	N	N;INAN;GEN;MASC;SG
agosto	серпень	agosto	серпень	N	N;INAN;NOM;MASC;SG
diciembre	грудень	diciembre	грудень	N	N;INAN;NOM;MASC;SG
diciembre	грудня	diciembre	грудень	N	N;INAN;GEN;MASC;SG
artículo	стаття	artículo	стаття	N;MASC;SG	N;INAN;NOM;FEM;SG
artículo	статтю	artículo	стаття	N;MASC;SG	N;INAN;ACC;FEM;SG
artículo	елемент	artículo	елемент	N;MASC;SG	N;INAN;NOM;MASC;SG
noviembre	листопаді	noviembre	листопад	N	N;INAN;NOM;MASC;SG
noviembre	листопад	noviembre	листопад	N	N;INAN;NOM;MASC;SG
noviembre	листопада	noviembre	листопад	N	N;INAN;GEN;MASC;SG
abril	квітень	abril	квітень	N	N;INAN;NOM;MASC;SG
abril	квітня	abril	квітень	N	N;INAN;GEN;MASC;SG
total	загальна	total	загальний	ADJ;SG	ADJ;NOM;FEM;SG
total	загальний	total	загальний	ADJ;SG	ADJ;NOM;MASC;SG
región	ділянку	región	ділянка	N;FEM;SG	N;INAN;ACC;FEM;SG
región	регіон	región	регіон	N;FEM;SG	N;INAN;NOM;MASC;SG
sistema	система	sistema	система	N;MASC;SG	N;INAN;NOM;FEM;SG
habitantes	мешканці	habitante	мешканець	N;PL	N;ANIM;NOM;MASC;PL
habitantes	мешканці	habitante	мешканець	N;PL	N;ANIM;NOM;MASC;PL
habitantes	мешканців	habitante	мешканець	N;PL	N;ANIM;ACC;MASC;PL
maría	марічка	maría	марічка	N;FEM;SG	N;ANIM;NOM;FEM;SG
maría	маріє	maría	маріти	N;FEM;SG	N;ANIM;NOM;FEM;SG
real	справжня	real	справжній	ADJ;SG	ADJ;NOM;FEM;SG
real	реальний	real	реальний	ADJ;SG	ADJ;NOM;MASC;SG
real	справжній	real	справжній	ADJ;SG	ADJ;NOM;MASC;SG
real	королівська	real	королівський	ADJ;SG	ADJ;NOM;FEM;SG
real	королівський	real	королівський	ADJ;SG	ADJ;NOM;MASC;SG
real	королівське	real	королівський	ADJ;SG	ADJ;NOM;NEUT;SG
página	сторінку	página	сторінка	N;FEM;SG	N;INAN;ACC;FEM;SG
página	сторінка	página	сторінка	N;FEM;SG	N;INAN;NOM;FEM;SG
mundial	світовий	mundial	світовий	ADJ;SG	ADJ;NOM;MASC;SG
mundial	глобальний	mundial	глобальний	ADJ;SG	ADJ;NOM;MASC;SG
música	музика	música	музика	N;FEM;SG	N;INAN;NOM;FEM;SG
música	музику	música	музика	N;FEM;SG	N;INAN;ACC;FEM;SG
presidente	голова	presidente	голова	N;MASC;SG	N;ANIM;NOM;FEM;SG
presidente	головою	presidente	голова	N;MASC;SG	N;INAN;INS;FEM;SG
presidente	президент	presidente	президент	N;MASC;SG	N;ANIM;NOM;MASC;SG
casa	будинок	casa	будинок	N;FEM;SG	N;INAN;NOM;MASC;SG
casa	дім	casa	дім	N;FEM;SG	N;INAN;NOM;MASC;SG
casa	домівка	casa	домівка	N;FEM;SG	N;INAN;NOM;FEM;SG
sólo	щойно	sólo	щойно	ADV	ADV
álbum	альбому	álbum	альбий	N;MASC;SG	N;INAN;GEN;MASC;SG
álbum	альбом	álbum	альбом	N;MASC;SG	N;INAN;NOM;MASC;SG
cuenta	рахувати	contar	рахувати	V;IND;SG;3;PRS;FIN	V;IPFV;NFIN
cuenta	рахує	contar	рахувати	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
junio	червня	junio	червень	N	N;INAN;GEN;MASC;SG
junio	червень	junio	червень	N	N;INAN;NOM;MASC;SG
febrero	лютому	febrero	лютий	N	N;INAN;DAT;MASC;SG
febrero	лютого	febrero	лютий	N	N;INAN;GEN;MASC;SG
ella	вона	él	вона	PRO;FEM;SG;3	PRO;NOM;FEM;SG;3
ella	нею	él	вона	PRO;FEM;SG;3	PRO;INS;FEM;SG;3
ella	її	él	вона	PRO;FEM;SG;3	PRO;ACC;FEM;SG;3
ella	їй	él	вона	PRO;FEM;SG;3	PRO;DAT;FEM;SG;3
solo	наодинці	solo	наодинці	ADV	ADV
solo	поодинці	solo	поодинець	ADV	ADV
solo	щойно	solo	щойно	ADV	ADV
tipo	типу	tipo	тип	N;MASC;SG	N;INAN;NOM;MASC;SG
tipo	тип	tipo	тип	N;MASC;SG	N;INAN;NOM;MASC;SG
obra	робота	obra	робота	N;FEM;SG	N;INAN;NOM;FEM;SG
obra	роботу	obra	робота	N;FEM;SG	N;INAN;ACC;FEM;SG
iglesia	церква	iglesia	церква	N;FEM;SG	N;INAN;NOM;FEM;SG
iglesia	костел	iglesia	костел	N;FEM;SG	N;INAN;NOM;MASC;SG
película	фільм	película	фільм	N;FEM;SG	N;INAN;NOM;MASC;SG
película	кіно	película	кіно	N;FEM;SG	N;INAN;NOM;NEUT;SG
película	фільм	película	фільм	N;FEM;SG	N;INAN;NOM;MASC;SG
película	плівка	película	плівка	N;FEM;SG	N;INAN;NOM;FEM;SG
entonces	потім	entonces	потім	ADV	ADV
entonces	тоді	entonces	тоді	ADV	ADV
banda	гурт	banda	гурт	N;FEM;SG	N;INAN;NOM;MASC;SG
banda	банда	banda	банд	N;FEM;SG	N;INAN;NOM;FEM;SG
banda	банда	banda	банд	N;FEM;SG	N;INAN;NOM;FEM;SG
cuatro	чотирьох	cuatro	чотири	NUM;PL	NUM;NOM
cuatro	чотири	cuatro	чотири	NUM;PL	NUM;NOM
zona	зона	zona	зона	N;FEM;SG	N;INAN;NOM;FEM;SG
zona	область	zona	область	N;FEM;SG	N;INAN;NOM;FEM;SG
zona	ділянка	zona	ділянка	N;FEM;SG	N;INAN;NOM;FEM;SG
zona	площа	zona	площа	N;FEM;SG	N;INAN;NOM;FEM;SG
zona	місцевість	zona	місцевість	N;FEM;SG	N;INAN;NOM;FEM;SG
televisión	телебачення	televisión	телебачення	N;FEM;SG	N;INAN;NOM;NEUT;SG
principal	головний	principal	головний	ADJ;SG	ADJ;NOM;MASC;SG
principal	основне	principal	основний	ADJ;SG	ADJ;NOM;NEUT;SG
principal	головна	principal	головний	ADJ;SG	ADJ;NOM;FEM;SG
tuvo	мав	tener	мати	V;IND;SG;3;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN
rey	король	rey	король	N;MASC;SG	N;ANIM;NOM;MASC;SG
rey	цар	rey	цар	N;MASC;SG	N;ANIM;NOM;MASC;SG
premio	премія	premio	премія	N;MASC;SG	N;INAN;NOM;FEM;SG
premio	нагорода	premio	нагорода	N;MASC;SG	N;INAN;NOM;FEM;SG
hace	робить	hacer	робити	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
hace	робить	hacer	робити	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
edición	правка	edición	правка	N;FEM;SG	N;INAN;NOM;FEM;SG
edición	редакція	edición	редакція	N;FEM;SG	N;INAN;NOM;FEM;SG
edición	видання	edición	видання	N;FEM;SG	N;INAN;NOM;NEUT;SG
edición	редагування	edición	редагування	N;FEM;SG	N;INAN;NOM;NEUT;SG
edición	монтаж	edición	монтаж	N;FEM;SG	N;INAN;NOM;MASC;SG
premios	винагороди	premio	винагорода	N;MASC;PL	N;INAN;NOM;FEM;PL
premios	нагороди	premio	нагорода	N;MASC;PL	N;INAN;NOM;MASC;PL
sitio	сайті	sitio	сайт	N;MASC;SG	N;INAN;DAT;MASC;SG
sitio	сайт	sitio	сайт	N;MASC;SG	N;INAN;NOM;MASC;SG
sitio	облога	sitio	облогий	N;MASC;SG	N;INAN;NOM;FEM;SG
sitio	сайт	sitio	сайт	N;MASC;SG	N;INAN;NOM;MASC;SG
bien	добре	bien	добре	ADV	ADV
bien	добре	bien	добре	ADV	ADV
bien	імхо	bien	імхо	ADV	ADV
bien	добре	bien	добре	ADV	ADV
segundo	другий	segundo	другий	ADJ;MASC;SG	ADJ;NOM;MASC;SG
segundo	друге	segundo	другий	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
mar	море	mar	море	N;SG	N;INAN;NOM;NEUT;SG
mar	океан	mar	океан	N;SG	N;INAN;NOM;MASC;SG
orden	ордер	orden	ордер	N;MASC;SG	N;INAN;NOM;MASC;SG
orden	наказ	orden	наказ	N;MASC;SG	N;INAN;NOM;MASC;SG
orden	порядок	orden	порядок	N;MASC;SG	N;INAN;NOM;MASC;SG
estadounidense	американський	estadounidense	американський	ADJ;SG	ADJ;NOM;MASC;SG
estadounidense	американська	estadounidense	американський	ADJ;SG	ADJ;NOM;FEM;SG
estadounidense	американської	estadounidense	американський	ADJ;SG	ADJ;GEN;FEM;SG
agua	вода	agua	вода	N;FEM;SG	N;INAN;NOM;FEM;SG
tierra	землею	tierra	земля	N;FEM;SG	N;INAN;INS;FEM;SG
tierra	земля	tierra	земля	N;FEM;SG	N;INAN;NOM;FEM;SG
tierra	земля	tierra	земля	N;FEM;SG	N;INAN;NOM;FEM;SG
tierra	ґрунту	tierra	ґрунт	N;FEM;SG	N;INAN;GEN;MASC;SG
tierra	ґрунт	tierra	ґрунт	N;FEM;SG	N;INAN;NOM;MASC;SG
tierra	земля	tierra	земля	N;FEM;SG	N;INAN;NOM;FEM;SG
título	назва	título	назва	N;MASC;SG	N;INAN;NOM;FEM;SG
título	заголовок	título	заголовок	N;MASC;SG	N;INAN;NOM;MASC;SG
título	титул	título	титул	N;MASC;SG	N;ANIM;NOM;MASC;SG
ellos	їх	él	вони	PRO;MASC;PL;3	PRO;ACC;PL;3
ellos	їм	él	вони	PRO;MASC;PL;3	PRO;DAT;PL;3
ellos	вони	él	вони	PRO;MASC;PL;3	PRO;NOM;PL;3
earth	землею	earth	земля	N	N;INAN;INS;FEM;SG
earth	землі	earth	земля	N	N;INAN;NOM;FEM;PL
earth	земля	earth	земля	N	N;INAN;NOM;FEM;SG
están	надаються	estar	надаватися	V;IND;PL;3;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN
división	ділення	división	ділення	N;FEM;SG	N;INAN;NOM;NEUT;SG
división	дивізіон	división	дивізіон	N;FEM;SG	N;INAN;NOM;MASC;SG
división	поділ	división	поділ	N;FEM;SG	N;INAN;NOM;MASC;SG
canción	конкурс	canción	конкурс	N;FEM;SG	N;INAN;NOM;MASC;SG
canción	пісня	canción	пісня	N;FEM;SG	N;INAN;NOM;FEM;SG
fecha	дату	fecha	дата	N;FEM;SG	N;INAN;ACC;FEM;SG
fecha	дата	fecha	дата	N;FEM;SG	N;INAN;NOM;FEM;SG
fecha	датою	fecha	дата	N;FEM;SG	N;INAN;INS;FEM;SG
república	республіка	república	республіка	N;FEM;SG	N;INAN;NOM;FEM;SG
trabajo	завдання	trabajo	завдання	N;MASC;SG	N;INAN;NOM;NEUT;SG
trabajo	робота	trabajo	робота	N;MASC;SG	N;INAN;NOM;FEM;SG
trabajo	робота	trabajo	робота	N;MASC;SG	N;INAN;NOM;FEM;SG
trabajo	роботу	trabajo	робота	N;MASC;SG	N;INAN;ACC;FEM;SG
especie	виді	especie	вид	N;FEM;SG	N;INAN;DAT;MASC;SG
especie	вид	especie	вид	N;FEM;SG	N;INAN;NOM;MASC;SG
luis	людовик	luis	людовик	N;MASC;SG	N;ANIM;NOM;MASC;SG
caso	регістр	caso	регістр	N;MASC;SG	N;INAN;NOM;MASC;SG
caso	справа	caso	справа	N;MASC;SG	N;INAN;NOM;FEM;SG
caso	випадок	caso	випадок	N;MASC;SG	N;INAN;NOM;MASC;SG
color	колір	color	колір	N;MASC;SG	N;INAN;NOM;MASC;SG
color	колір	color	колір	N;MASC;SG	N;INAN;NOM;MASC;SG
distrito	улус	distrito	улус	N;MASC;SG	N;INAN;NOM;MASC;SG
distrito	округ	distrito	округ	N;MASC;SG	N;INAN;NOM;MASC;SG
distrito	район	distrito	район	N;MASC;SG	N;INAN;NOM;MASC;SG
superficie	поверхня	superficie	поверхня	N;FEM;SG	N;INAN;NOM;FEM;SG
superficie	область	superficie	область	N;FEM;SG	N;INAN;NOM;FEM;SG
superficie	ділянка	superficie	ділянка	N;FEM;SG	N;INAN;NOM;FEM;SG
superficie	площа	superficie	площа	N;FEM;SG	N;INAN;NOM;FEM;SG
superficie	місцевість	superficie	місцевість	N;FEM;SG	N;INAN;NOM;FEM;SG
copa	кубок	copa	кубок	N;FEM;SG	N;INAN;NOM;MASC;SG
copa	чашка	copa	чашка	N;FEM;SG	N;INAN;NOM;FEM;SG
copa	чаша	copa	чаш	N;FEM;SG	N;INAN;NOM;FEM;SG
copa	кубок	copa	кубок	N;FEM;SG	N;INAN;NOM;MASC;SG
línea	лінія	línea	лінія	N;FEM;SG	N;INAN;NOM;FEM;SG
línea	рядок	línea	рядок	N;FEM;SG	N;INAN;NOM;MASC;SG
