commerciaux	comerciales	commercial	comercial	ADJ;MASC;PL	ADJ;PL
oublier	olvidar	oublier	olvidar	V;NFIN	V;NFIN
oublier	olvida	oublier	olvidar	V;NFIN	V;IND;SG;3;PRS;FIN
conversion	reconversión	conversion	reconversión	N;FEM;SG	N;FEM;SG
conversion	conversión	conversion	conversión	N;FEM;SG	N;FEM;SG
folie	locura	folie	locura	N;FEM;SG	N;FEM;SG
folie	folie	folie	folie	N;FEM;SG	N;FEM;SG
folie	demencia	folie	demencia	N;FEM;SG	N;FEM;SG
folie	locura	folie	locura	N;FEM;SG	N;FEM;SG
caire	cairo	caire	cairo	N;MASC;SG	N;MASC;SG
territoriales	territoriales	territorial	territorial	ADJ;FEM;PL	ADJ;PL
orne	orne	orner	orne	N;FEM;SG	N;MASC;SG
dauphin	delfín	dauphin	delfín	N;MASC;SG	N;MASC;SG
dauphin	delfín	dauphin	delfín	N;MASC;SG	N;MASC;SG
évoluer	evolucionar	évoluer	evolucionar	V;NFIN	V;NFIN
évoluer	evoluciona	évoluer	evolucionar	V;NFIN	V;IND;SG;3;PRS;FIN
évoluer	evolucionar	évoluer	evolucionar	V;NFIN	V;NFIN
évoluer	evolucionando	évoluer	evolucionar	V;NFIN	V;V.MSDR
femelles	hembras	femelle	hembra	N;FEM;PL	N;FEM;PL
femelles	hembras	femelle	hembra	N;FEM;PL	N;FEM;PL
prototype	prototipo	prototype	prototipo	N;MASC;SG	N;MASC;SG
magasins	tiendas	magasin	tienda	N;MASC;PL	N;FEM;PL
magasins	comercios	magasin	comercio	N;MASC;PL	N;MASC;PL
magasins	almacenes	magasin	almacén	N;MASC;PL	N;MASC;PL
magasins	tiendas	magasin	tienda	N;MASC;PL	N;FEM;PL
magasins	comercios	magasin	comercio	N;MASC;PL	N;MASC;PL
athlètes	deportistas	athlète	deportista	N;MASC;PL	N;PL
athlètes	atletas	athlète	atleta	N;MASC;PL	N;PL
comédien	humorista	comédien	humorista	N;MASC;SG	N;SG
comédien	comediante	comédien	comediante	N;MASC;SG	N;SG
comédien	actor	comédien	actor	N;MASC;SG	N;MASC;SG
traditionnelles	tradicionales	traditionnel	tradicional	ADJ;FEM;PL	ADJ;PL
botaniste	botánica	botaniste	botánica	N;MASC;SG	N;FEM;SG
botaniste	botánico	botaniste	botánico	N;MASC;SG	N;MASC;SG
impulsion	pulso	impulsion	pulso	N;FEM;SG	N;MASC;SG
impulsion	impulso	impulsion	impulso	N;FEM;SG	N;MASC;SG
températures	temperaturas	température	temperatura	N;FEM;PL	N;FEM;PL
températures	temperaturas	température	temperatura	N;FEM;PL	N;FEM;PL
dépression	depresión	dépression	depresión	N;FEM;SG	N;FEM;SG
générations	generaciones	génération	generación	N;FEM;PL	N;FEM;PL
bordure	edge	bordure	edge	N;FEM;SG	N
bordure	filo	bordure	filo	N;FEM;SG	N;MASC;SG
bordure	borde	bordure	borde	N;FEM;SG	N;MASC;SG
bordure	arista	bordure	aristar	N;FEM;SG	N;FEM;SG
bordure	frontera	bordure	frontera	N;FEM;SG	N;FEM;SG
bordure	borde	bordure	borde	N;FEM;SG	N;MASC;SG
séquence	secuencia	séquence	secuencia	N;FEM;SG	N;FEM;SG
séquence	sucesión	séquence	sucesión	N;FEM;SG	N;FEM;SG
marge	margen	marge	margen	N;FEM;SG	N;SG
marge	marge	marge	marge	N;FEM;SG	N;FEM;SG
vatican	vaticano	vatican	vaticano	N;MASC;SG	N;MASC;SG
apparitions	apariciones	apparition	aparición	N;FEM;PL	N;FEM;PL
apparitions	apariciones	apparition	aparición	N;FEM;PL	N;FEM;PL
apparitions	apariencias	apparition	apariencia	N;FEM;PL	N;FEM;PL
apparitions	avistamientos	apparition	avistamiento	N;FEM;PL	N;MASC;PL
bombe	bomba	bombe	bomba	N;FEM;SG	N;FEM;SG
constant	constante	constant	constante	ADJ;MASC;SG	ADJ;SG
byzantin	bizantina	byzantin	bizantino	ADJ;MASC;SG	ADJ;FEM;SG
byzantin	bizantino	byzantin	bizantino	ADJ;MASC;SG	ADJ;MASC;SG
conduire	conduzca	conduire	conducir	V;NFIN	V;SBJV;SG;3;FIN
conduire	conduce	conduire	conducir	V;NFIN	V;IND;SG;3;PRS;FIN
conduire	conducir	conduire	conducir	V;NFIN	V;NFIN
conduire	conduciendo	conduire	conducir	V;NFIN	V;V.MSDR
conduire	manejando	conduire	manejar	V;NFIN	V;V.MSDR
conduire	conducir	conduire	conducir	V;NFIN	V;NFIN
capture	captura	capture	captura	N;FEM;SG	N;FEM;SG
capture	captura	capture	captura	N;FEM;SG	N;FEM;SG
cadres	bastidores	cadre	bastidor	N;MASC;PL	N;MASC;PL
cadres	marcos	cadre	marco	N;MASC;PL	N;MASC;PL
cadres	ejecutivos	cadre	ejecutivo	N;MASC;PL	N;MASC;PL
disparaît	desaparece	disparaître	desaparecer	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
disparaît	desaparecer	disparaître	desaparecer	V;IND;SG;3;PRS;FIN	V;NFIN
disparaît	desaparece	disparaître	desaparecer	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
magique	mágica	magique	mágico	ADJ;MASC;SG	ADJ;FEM;SG
magique	mágico	magique	mágico	ADJ;MASC;SG	ADJ;MASC;SG
magique	mágico	magique	mágico	ADJ;MASC;SG	ADJ;MASC;SG
magique	mágica	magique	mágico	ADJ;MASC;SG	ADJ;FEM;SG
magique	magico	magique	magico	ADJ;MASC;SG	ADJ;MASC;SG
timbres	sellos	timbre	sello	N;MASC;PL	N;MASC;PL
timbres	estampillas	timbre	estampilla	N;MASC;PL	N;FEM;PL
timbres	sellos	timbre	sello	N;MASC;PL	N;MASC;PL
déesse	diosa	déesse	diosa	N;FEM;SG	N;FEM;SG
lituanie	lituania	lituanie	lituania	N;FEM;SG	N;FEM;SG
lituanie	lituania	lituanie	lituania	N;FEM;SG	N;FEM;SG
lituanie	vilnius	lituanie	vilnius	N;FEM;SG	N;MASC;SG
lituanie	vilna	lituanie	vilno	N;FEM;SG	N;FEM;SG
chapitres	capítulos	chapitre	capítulo	N;MASC;PL	N;MASC;PL
paragraphe	párrafo	paragraphe	párrafo	N;MASC;SG	N;MASC;SG
adn	adn	adn	adn	N;MASC;SG	N;MASC;SG
adn	dna	adn	dna	N;MASC;SG	N;MASC;SG
bec	bec	bec	bec	N;MASC;SG	N;MASC;SG
hachette	hacha	hachette	hacha	N;MASC;SG	N;FEM;SG
joués	jugaron	jouer	jugar	V;MASC;PL;PST;V.PTCP	V;IND;PL;3;PST;FIN
situations	situaciones	situation	situación	N;FEM;PL	N;FEM;PL
perdue	perdió	perdre	perder	V;FEM;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
géométrie	geometría	géométrie	geometría	N;FEM;SG	N;FEM;SG
sexuelle	sexual	sexuel	sexual	ADJ;FEM;SG	ADJ;SG
gard	gard	gard	gard	N;MASC;SG	N;MASC;SG
semblable	parecido	semblable	parecido	ADJ;MASC;SG	ADJ;MASC;SG;V.PTCP
semblable	similar	semblable	similar	ADJ;MASC;SG	ADJ;SG
forfait	paquete	forfait	paquete	N;MASC;SG	N;SG
forfait	bulto	forfait	bulto	N;MASC;SG	N;MASC;SG
possibilités	posibilidades	possibilité	posibilidad	N;FEM;PL	N;FEM;PL
possibilités	oportunidades	possibilité	oportunidad	N;FEM;PL	N;FEM;PL
décennie	decenio	décennie	decenio	N;FEM;SG	N;MASC;SG
décennie	década	décennie	década	N;FEM;SG	N;FEM;SG
beaumont	beaumont	beaumont	beaumont	N;MASC;SG	N;MASC;SG
influences	influencias	influence	influencia	N;FEM;PL	N;FEM;PL
fausse	falsa	faux	falso	ADJ;FEM;SG	ADJ;FEM;SG
fausse	falso	faux	falso	ADJ;FEM;SG	ADJ;MASC;SG
fausse	falsa	faux	falso	ADJ;FEM;SG	ADJ;FEM;SG
fausse	falso	faux	falso	ADJ;FEM;SG	ADJ;MASC;SG
century	siglo	century	siglo	N;MASC;SG	N;MASC;SG
enquêtes	sondeos	enquête	sondeo	N;FEM;PL	N;MASC;PL
enquêtes	encuestas	enquête	encuesta	N;FEM;PL	N;FEM;PL
enquêtes	investigaciones	enquête	investigación	N;FEM;PL	N;FEM;PL
enquêtes	consultas	enquête	consulta	N;FEM;PL	N;FEM;PL
enquêtes	investigaciones	enquête	investigación	N;FEM;PL	N;FEM;PL
gendarmerie	gendarmería	gendarmerie	gendarmería	N;FEM;SG	N;FEM;SG
estonie	estonia	estonie	estonia	N;FEM;SG	N;FEM;SG
suggère	sugerir	suggérer	sugerir	V;IND;SG;3;PRS;FIN	V;NFIN
suggère	sugiere	suggérer	sugerir	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
suggère	sugiere	suggérer	sugerir	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
explorateur	exploradora	explorateur	explorador	N;MASC;SG	N;FEM;SG
explorateur	explorer	explorateur	explorer	N;MASC;SG	N;MASC;SG
explorateur	explorador	explorateur	explorador	N;MASC;SG	N;MASC;SG
surfaces	superficies	surface	superficie	N;FEM;PL	N;FEM;PL
sentiments	sentimientos	sentiment	sentimiento	N;MASC;PL	N;MASC;PL
sentiments	sentimientos	sentiment	sentimiento	N;MASC;PL	N;MASC;PL
vitesses	speed	vitesse	speed	N;FEM;PL	N
vitesses	marchas	vitesse	marcha	N;FEM;PL	N;FEM;PL
vitesses	engranajes	vitesse	engranaje	N;FEM;PL	N;MASC;PL
vitesses	artes	vitesse	arte	N;FEM;PL	N;PL
vitesses	velocidades	vitesse	velocidad	N;FEM;PL	N;FEM;PL
vigne	viñedo	vigne	viñedo	N;FEM;SG	N;MASC;SG
vigne	vigne	vigne	vigne	N;FEM;SG	N;SG
vigne	vid	vigne	vid	N;FEM;SG	N;FEM;SG
obligé	forzar	obliger	forzar	V;MASC;SG;PST;V.PTCP	V;NFIN
vilaine	traviesa	vilaine	travesar	ADJ;FEM;SG	ADJ;FEM;SG
vilaine	travieso	vilaine	travieso	ADJ;FEM;SG	ADJ;MASC;SG
vilaine	desagradable	vilaine	desagradable	ADJ;FEM;SG	ADJ;SG
réalisations	logros	réalisation	logro	N;FEM;PL	N;MASC;PL
réalisations	realizaciones	réalisation	realización	N;FEM;PL	N;FEM;PL
réalisations	logros	réalisation	logro	N;FEM;PL	N;MASC;PL
réalisations	realizaciones	réalisation	realización	N;FEM;PL	N;FEM;PL
kings	reyes	king	rey	N;MASC;PL	N;MASC;PL
kings	kings	king	king	N;MASC;PL	N;MASC;PL
puissante	potente	puissant	potente	ADJ;FEM;SG	ADJ;SG
puissante	poderosa	puissant	poderoso	ADJ;FEM;SG	ADJ;FEM;SG
puissante	poderoso	puissant	poderoso	ADJ;FEM;SG	ADJ;MASC;SG
astronomie	astronomía	astronomie	astronomía	N;FEM;SG	N;FEM;SG
tombé	cayó	tomber	caer	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
tombé	caí	tomber	caer	V;MASC;SG;PST;V.PTCP	V;IND;SG;1;PST;FIN
escadron	escuadra	escadron	escuadra	N;MASC;SG	N;FEM;SG
escadron	escuadrón	escadron	escuadrón	N;MASC;SG	N;MASC;SG
escadron	pelotón	escadron	pelotón	N;MASC;SG	N;MASC;SG
escadron	squad	escadron	squad	N;MASC;SG	N
escadron	escuadra	escadron	escuadra	N;MASC;SG	N;FEM;SG
escadron	escuadrón	escadron	escuadrón	N;MASC;SG	N;MASC;SG
immatriculation	inscripción	immatriculation	inscripción	N;FEM;SG	N;FEM;SG
immatriculation	registro	immatriculation	registro	N;FEM;SG	N;MASC;SG
immatriculation	matrícula	immatriculation	matrícula	N;FEM;SG	N;FEM;SG
juridiction	jurisdicción	juridiction	jurisdicción	N;FEM;SG	N;FEM;SG
juridiction	competencia	juridiction	competencia	N;FEM;SG	N;FEM;SG
terminer	acabar	terminer	acabar	V;NFIN	V;NFIN
terminer	terminar	terminer	terminar	V;NFIN	V;NFIN
terminer	finalizar	terminer	finalizar	V;NFIN	V;NFIN
terminer	finalizando	terminer	finalizar	V;NFIN	V;V.MSDR
terminer	terminando	terminer	terminar	V;NFIN	V;V.MSDR
terminer	acabando	terminer	acabar	V;NFIN	V;V.MSDR
claviers	teclados	clavier	teclado	N;MASC;PL	N;MASC;PL
claviers	teclados	clavier	teclado	N;MASC;PL	N;MASC;PL
conclut	concluye	conclure	concluir	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
mandats	mandatos	mandat	mandato	N;MASC;PL	N;MASC;PL
sarthe	sarthe	sarthe	sarthe	N;FEM;SG	N;FEM;SG
témoignages	testimonios	témoignage	testimonio	N;MASC;PL	N;MASC;PL
témoignages	testimonios	témoignage	testimonio	N;MASC;PL	N;MASC;PL
proposée	propuso	proposer	proponer	V;FEM;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
laurence	laurence	laurence	laurence	N;FEM;SG	N;SG
laurence	lorenzo	laurence	lorenzo	N;FEM;SG	N;MASC;SG
élimination	eliminación	élimination	eliminación	N;FEM;SG	N;FEM;SG
élimination	eliminación	élimination	eliminación	N;FEM;SG	N;FEM;SG
consacrer	dedicar	consacrer	dedicar	V;NFIN	V;NFIN
consacrer	dedicará	consacrer	dedicar	V;NFIN	V;IND;SG;3;FUT;FIN
consacrer	dedique	consacrer	dedicar	V;NFIN	V;SBJV;SG;3;FIN
consacrer	dedico	consacrer	dedicar	V;NFIN	V;IND;SG;1;PRS;FIN
consacrer	dediquen	consacrer	dedicar	V;NFIN	V;IMP;PL;3;FIN
consacrer	dedicar	consacrer	dedicar	V;NFIN	V;NFIN
łódź	łódź	łódź	łódź	N;MASC;SG	N;MASC;SG
aviron	remero	aviron	remero	N;MASC;SG	N;MASC;SG
timbre	estampilla	timbre	estampilla	N;MASC;SG	N;FEM;SG
timbre	sello	timbre	sello	N;MASC;SG	N;MASC;SG
théorique	teórica	théorique	teórico	ADJ;MASC;SG	ADJ;FEM;SG
théorique	teórico	théorique	teórico	ADJ;MASC;SG	ADJ;MASC;SG
dégâts	daños	dégât	daño	N;MASC;PL	N;MASC;PL
dégâts	daños	dégât	daño	N;MASC;PL	N;MASC;PL
arrondissements	barrios	arrondissement	barrio	N;MASC;PL	N;MASC;PL
arrondissements	distritos	arrondissement	distrito	N;MASC;PL	N;MASC;PL
notable	notable	notable	notable	ADJ;MASC;SG	ADJ;SG
notable	perceptible	notable	perceptible	ADJ;MASC;SG	ADJ;SG
notable	apreciable	notable	apreciable	ADJ;MASC;SG	ADJ;SG
doublage	doblaje	doublage	doblaje	N;MASC;SG	N;MASC;SG
secrète	secreta	secret	secreto	ADJ;FEM;SG	ADJ;FEM;SG
considérablement	considerablemente	considérablement	considerablemente	ADV	ADV
considérablement	dramáticamente	considérablement	dramáticamente	ADV	ADV
absolue	absoluta	absolu	absoluto	ADJ;FEM;SG	ADJ;FEM;SG
absolue	absoluto	absolu	absoluto	ADJ;FEM;SG	ADJ;MASC;SG
médiéval	medieval	médiéval	medieval	ADJ;MASC;SG	ADJ;SG
spécialité	especialidad	spécialité	especialidad	N;FEM;SG	N;FEM;SG
spécialité	especialidad	spécialité	especialidad	N;FEM;SG	N;FEM;SG
intégrale	integral	intégral	integral	ADJ;FEM;SG	ADJ;SG
prime	bonus	prime	bonu	N;FEM;SG	N
prime	bono	prime	bono	N;FEM;SG	N;MASC;SG
prime	bonificación	prime	bonificación	N;FEM;SG	N;FEM;SG
prime	prime	prime	prime	N;FEM;SG	N
prime	premium	prime	premium	N;FEM;SG	N;SG
prime	prima	prime	prima	N;FEM;SG	N;FEM;SG
prime	recompensa	prime	recompensar	N;FEM;SG	N;FEM;SG
occupent	ocupar	occuper	ocupar	V;IND;PL;3;PRS;FIN	V;NFIN
oracle	oracle	oracle	oracle	N;MASC;SG	N;SG
oracle	oráculo	oracle	oráculo	N;MASC;SG	N;MASC;SG
age	edad	age	edad	N;MASC;SG	N;FEM;SG
age	age	age	age	N;MASC;SG	N
polémique	controvertida	polémique	controvertido	ADJ;FEM;SG	ADJ;FEM;SG;V.PTCP
polémique	controversial	polémique	controversial	ADJ;FEM;SG	ADJ;SG
polémique	polémico	polémique	polémico	ADJ;FEM;SG	ADJ;MASC;SG
polémique	controvertido	polémique	controvertido	ADJ;FEM;SG	ADJ;MASC;SG;V.PTCP
vivants	vivos	vivant	vivo	ADJ;MASC;PL	ADJ;MASC;PL
compréhension	comprensión	compréhension	comprensión	N;FEM;SG	N;FEM;SG
compréhension	comprensión	compréhension	comprensión	N;FEM;SG	N;FEM;SG
compréhension	entendimiento	compréhension	entendimiento	N;FEM;SG	N;MASC;SG
bade	baden	bade	bader	N;MASC;SG	N;MASC;SG
catastrophe	catástrofe	catastrophe	catástrofe	N;FEM;SG	N;FEM;SG
catastrophe	desastre	catastrophe	desastre	N;FEM;SG	N;MASC;SG
catastrophe	catástrofe	catastrophe	catástrofe	N;FEM;SG	N;FEM;SG
démonstration	demo	démonstration	demo	N;FEM;SG	N;FEM;SG
démonstration	demostración	démonstration	demostración	N;FEM;SG	N;FEM;SG
démonstration	demostración	démonstration	demostración	N;FEM;SG	N;FEM;SG
démonstration	manifestación	démonstration	manifestación	N;FEM;SG	N;FEM;SG
réussite	exito	réussite	exito	N;FEM;SG	N;MASC;SG
réussite	éxito	réussite	éxito	N;FEM;SG	N;MASC;SG
citoyen	ciudadana	citoyen	ciudadana	N;MASC;SG	N;FEM;SG
citoyen	ciudadano	citoyen	ciudadano	N;MASC;SG	N;MASC;SG
thriller	thriller	thriller	thriller	N;MASC;SG	N;MASC;SG
configuration	configuración	configuration	configuración	N;FEM;SG	N;FEM;SG
configuration	configuración	configuration	configuración	N;FEM;SG	N;FEM;SG
configuration	configuración	configuration	configuración	N;FEM;SG	N;FEM;SG
bleus	azules	bleu	azul	ADJ;MASC;PL	ADJ;PL
bleus	azules	bleu	azul	ADJ;MASC;PL	ADJ;PL
nuits	nights	nuit	night	N;FEM;PL	N
nuits	noches	nuit	noche	N;FEM;PL	N;FEM;PL
cavaliers	jinetes	cavalier	jinete	N;MASC;PL	N;MASC;PL
cavaliers	jinetes	cavalier	jinete	N;MASC;PL	N;MASC;PL
cavaliers	cavaliers	cavalier	cavaliers	N;MASC;PL	N;MASC;PL
char	char	char	char	N;MASC;SG	N;FEM;SG
char	carro	char	carro	N;MASC;SG	N;MASC;SG
char	carroza	char	carroza	N;MASC;SG	N;FEM;SG
cardiaque	cardiaca	cardiaque	cardiaco	ADJ;MASC;SG	ADJ;FEM;SG
cardiaque	cardíaco	cardiaque	cardíaco	ADJ;MASC;SG	ADJ;MASC;SG
volcan	volcán	volcan	volcán	N;MASC;SG	N;MASC;SG
parlant	hablando	parler	hablar	V;PRS;V.PTCP	V;V.MSDR
parlant	hablando	parler	hablar	V;PRS;V.PTCP	V;V.MSDR
grille	grid	grille	grid	N;FEM;SG	N
grille	rejilla	grille	rejilla	N;FEM;SG	N;FEM;SG
grille	red	grille	red	N;FEM;SG	N;FEM;SG
grille	cuadrícula	grille	cuadrícula	N;FEM;SG	N;FEM;SG
marvel	maravilla	marvel	maravilla	N;MASC;SG	N;FEM;SG
marvel	marvel	marvel	marvel	N;MASC;SG	N;MASC;SG
voisines	vecinas	voisin	vecino	ADJ;FEM;PL	ADJ;FEM;PL
voisines	vecinas	voisin	vecino	ADJ;FEM;PL	ADJ;FEM;PL
remarques	apuntes	remarque	apunte	N;FEM;PL	N;MASC;PL
remarques	notas	remarque	nota	N;FEM;PL	N;FEM;PL
remarques	notes	remarque	note	N;FEM;PL	N
remarques	observaciones	remarque	observación	N;FEM;PL	N;FEM;PL
remarques	comentarios	remarque	comentario	N;FEM;PL	N;MASC;PL
remarques	observaciones	remarque	observación	N;FEM;PL	N;FEM;PL
tend	tiende	tendre	tender	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
spirou	spirou	spirou	spirou	N;MASC;SG	N;MASC;SG
quête	quest	quête	quest	N;FEM;SG	N
hébreu	hebreo	hébreu	hebreo	N;MASC;SG	N;MASC;SG
vignoble	viñedo	vignoble	viñedo	N;MASC;SG	N;MASC;SG
vignoble	viñedo	vignoble	viñedo	N;MASC;SG	N;MASC;SG
vignoble	bodega	vignoble	bodega	N;MASC;SG	N;FEM;SG
roue	rueda	roue	rueda	N;FEM;SG	N;FEM;SG
cavalier	jinete	cavalier	jinete	N;MASC;SG	N;MASC;SG
cavalier	rider	cavalier	rider	N;MASC;SG	N;SG
cavalier	cavalier	cavalier	cavalier	N;MASC;SG	N;MASC;SG
navigateur	navegante	navigateur	navegante	N;MASC;SG	N;SG
navigateur	navegador	navigateur	navegador	N;MASC;SG	N;MASC;SG
navigateur	explorador	navigateur	explorador	N;MASC;SG	N;MASC;SG
navigateur	navegador	navigateur	navegador	N;MASC;SG	N;MASC;SG
organes	órganos	organe	órgano	N;MASC;PL	N;MASC;PL
organes	órganos	organe	órgano	N;MASC;PL	N;MASC;PL
organes	cadáveres	organe	cadáver	N;MASC;PL	N;MASC;PL
organes	cuerpos	organe	cuerpo	N;MASC;PL	N;MASC;PL
originaires	originarias	originaire	originario	ADJ;MASC;PL	ADJ;FEM;PL
compétence	jurisdicción	compétence	jurisdicción	N;FEM;SG	N;FEM;SG
compétence	competencia	compétence	competencia	N;FEM;SG	N;FEM;SG
compétence	habilidad	compétence	habilidad	N;FEM;SG	N;FEM;SG
compétence	destreza	compétence	destreza	N;FEM;SG	N;FEM;SG
compétence	competencia	compétence	competencia	N;FEM;SG	N;FEM;SG
provinciale	provincial	provincial	provincial	ADJ;FEM;SG	ADJ;SG
éliminer	eliminar	éliminer	eliminar	V;NFIN	V;NFIN
usages	usos	usage	uso	N;MASC;PL	N;MASC;PL
fonctionnaires	funcionarios	fonctionnaire	funcionario	N;MASC;PL	N;MASC;PL
caractérise	caracteriza	caractériser	caracterizar	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
démocrates	demócratas	démocrate	demócrata	N;MASC;PL	N;PL
démocrates	demócratas	démocrate	demócrata	N;MASC;PL	N;PL
bords	aristas	bord	arista	N;MASC;PL	N;FEM;PL
bords	bordes	bord	borde	N;MASC;PL	N;MASC;PL
directrice	directora	directrice	directora	N;FEM;SG	N;FEM;SG
directrice	director	directrice	director	N;FEM;SG	N;MASC;SG
directrice	gerente	directrice	gerente	N;FEM;SG	N;SG
directrice	administrador	directrice	administrador	N;FEM;SG	N;MASC;SG
directrice	gestor	directrice	gestor	N;FEM;SG	N;MASC;SG
directrice	manager	directrice	manager	N;FEM;SG	N;FEM;SG
espérance	espérance	espérance	espérance	N;FEM;SG	N;SG
espérance	hope	espérance	hope	N;FEM;SG	N
espérance	esperanza	espérance	esperanza	N;FEM;SG	N;FEM;SG
fragments	fragmentos	fragment	fragmento	N;MASC;PL	N;MASC;PL
bond	vínculo	bond	vínculo	N;MASC;SG	N;MASC;SG
bond	lazo	bond	lazo	N;MASC;SG	N;MASC;SG
bond	bond	bond	bond	N;MASC;SG	N;SG
mulhouse	mulhouse	mulhous	mulhouse	N;MASC;SG	N;MASC;SG
missiles	misiles	missile	misil	N;MASC;PL	N;MASC;PL
missiles	misiles	missile	misil	N;MASC;PL	N;MASC;PL
ordonné	ordenó	ordonner	ordenar	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
chercheur	investigadora	chercheur	investigador	N;MASC;SG	N;FEM;SG
