年	aasta	年	aasta	N	N;NOM;SG
人民	people	人民	peo_plema	N	N;NOM;SG
包括	kaasatud	包括	kaasama	V	V;PST;V.PTCP;PASS
位	asub	位	asuma	V	V;IND;SG;3;PRS;FIN;ACT
位	asuvad	位	asuma	V	V;IND;PL;3;PRS;FIN;ACT
塔	tower	塔	tower	N	N;NOM;SG
塔	torn	塔	torn	N	N;NOM;SG
縣	maakond	縣	maakond	N	N;NOM;SG
縣	canton	縣	canton	N	N;NOM;SG
任	ren	任	ren	N	N;NOM;SG
時間	kellaaeg	時間	kella_aeg	N	N;NOM;SG
時間	aeg	時間	aeg	N	N;NOM;SG
時間	aja	時間	aeg	N	N;GEN;SG
時間	ajas	時間	aeg	N	N;IN+ESS;SG
時間	aega	時間	aeg	N	N;PRT;SG
六	kuus	六	kuus	NUM	NUM;NOM;SG
城	linn	城	linn	N	N;NOM;SG
城	linna	城	linn	N	N;IN+ALL;LGSPEC1;SG
城	city	城	city	N	N;NOM;SG
城	loss	城	loss	N	N;NOM;SG
城	castle	城	castle	N	N;NOM;SG
城	lossi	城	loss	N	N;PRT;SG
中心	keskused	中心	keskus	N	N;NOM;PL
中心	keskus	中心	keskus	N	N;NOM;SG
中心	center	中心	center	N	N;NOM;SG
中心	keskus	中心	keskus	N	N;NOM;SG
線	liin	線	liin	N	N;NOM;SG
線	joone	線	joon	N	N;GEN;SG
線	joon	線	joon	N	N;NOM;SG
線	rida	線	rida	N	N;NOM;SG
線	read	線	rida	N	N;NOM;PL
線	jooned	線	joon	N	N;NOM;PL
線	liinid	線	liin	N	N;NOM;PL
線	niit	線	niit	N	N;NOM;SG
線	lõime	線	lõim	N	N;PRT;SG
山	mäe	山	mägi	N	N;NOM;SG
山	mägi	山	mägi	N	N;NOM;SG
山	mount	山	moun	N	N;NOM;SG
山	ühendamine	山	ühendamine	N	N;NOM;SG
山	hill	山	hill	N	N;NOM;SG
山	mäed	山	mägi	N	N;NOM;PL
太空	kosmos	太空	kosmos	N	N;NOM;SG
太空	ruum	太空	ruum	N	N;NOM;SG
太空	ruumi	太空	ruum	N	N;PRT;SG
建	ehita	建	ehitama	V	V;IMP;SG;2;PRS;FIN;ACT
建	ehitama	建	ehitama	V	V;IN+ALL;V.CVB;ACT
建	ehitada	建	ehitama	V	V;NFIN
建	ehitatud	建	ehitama	V	V;PST;V.PTCP;PASS
性	seksuaalsus	性	seksuaalsus	N	N;NOM;SG
性	sugu	性	sugu	N	N;NOM;SG
性	seks	性	seks	N	N;NOM;SG
性	sex	性	sex	N	N;NOM;SG
代表	esindajad	代表	esindaja	N	N;NOM;PL
代表	esindaja	代表	esindaja	N	N;NOM;SG
公里	kilomeetreid	公里	kilo_meeter	N	N;PRT;PL
公里	kilomeetrit	公里	kilo_meeter	N	N;PRT;SG
公里	kilomeeter	公里	kilo_meeter	N	N;NOM;SG
公里	kilomeetrit	公里	kilo_meeter	N	N;PRT;SG
海	meri	海	meri	N	N;NOM;SG
海	mere	海	meri	N	N;NOM;SG
海	ookean	海	ookean	N	N;NOM;SG
這	see	這	see	PRO	PRO;NOM;SG
這	selle	這	see	PRO	PRO;GEN;SG
這	seda	這	see	PRO	PRO;PRT;SG
大學	ülikoolid	大學	üli_kool	N	N;NOM;PL
大學	ülikool	大學	üli_kool	N	N;NOM;SG
大學	kolleegium	大學	kolleegium	N	N;NOM;SG
大學	kolledž	大學	kolledž	N	N;NOM;SG
版	väljaanne	版	välja_anne	N	N;NOM;SG
版	versioon	版	versioon	N	N;NOM;SG
版	versiooni	版	versioon	N	N;PRT;SG
工作	töö	工作	töö	N	N;NOM;SG
工作	töökoht	工作	töö_koht	N	N;NOM;SG
工作	tööd	工作	töö	N	N;PRT;SG
工作	töö	工作	töö	N	N;NOM;SG
工作	tööle	工作	töö	N	N;AT+ALL;SG
工作	töökohad	工作	töö_koht	N	N;NOM;PL
工作	töötamine	工作	töötamine	N	N;NOM;SG
北	põhi	北	põhi	N	N;NOM;SG
北	põhja	北	põhi	N	N;IN+ALL;LGSPEC1;SG
北	põhjas	北	põhi	N	N;IN+ESS;SG
政治	poliitikast	政治	poliitika	N	N;IN+ABL;SG
政治	poliitika	政治	poliitika	N	N;NOM;SG
星	täht	星	täht	N	N;NOM;SG
星	tähe	星	täht	N	N;GEN;SG
星	staar	星	staar	N	N;NOM;SG
星	staarid	星	staar	N	N;NOM;PL
星	tähed	星	täht	N	N;NOM;PL
星	tähtede	星	täht	N	N;GEN;PL
她	ta	她	tema	PRO;3	PRO;NOM;SG;3
他	tema	他	tema	PRO;3	PRO;NOM;SG;3
河	river	河	river	N	N;NOM;SG
河	jõgi	河	jõgi	N	N;NOM;SG
文化	kultuuri	文化	kultuur	N	N;PRT;SG
文化	kultuur	文化	kultuur	N	N;NOM;SG
文化	kultuurid	文化	kultuur	N	N;NOM;PL
條目	kirjed	條目	kirje	N	N;NOM;PL
馬	hobused	馬	hobune	N	N;NOM;PL
馬	hobuseid	馬	hobune	N	N;PRT;PL
馬	hobune	馬	hobune	N	N;NOM;SG
馬	hobuse	馬	hobune	N	N;GEN;SG
馬	hobu	馬	hobu	N	N;NOM;SG
氏	klanni	氏	klann	N	N;NOM;SG
氏	klann	氏	klann	N	N;NOM;SG
氏	thi	氏	thi	N	N;NOM;SG
更	rohkem	更	rohkem	ADV	ADV
電影	filmi	電影	film	N	N;PRT;SG
電影	film	電影	film	N	N;NOM;SG
電影	kino	電影	kino	N	N;NOM;SG
電影	filmi	電影	film	N	N;PRT;SG
電影	kile	電影	kile	N	N;NOM;SG
電影	film	電影	film	N	N;NOM;SG
電影	filmid	電影	film	N	N;NOM;PL
季	hooaeg	季	hoo_aeg	N	N;NOM;SG
季	hooaega	季	hoo_aeg	N	N;PRT;SG
龍	kopsud	龍	kops	N	N;NOM;PL
龍	kopsu	龍	kops	N	N;NOM;SG
龍	lohe	龍	loht	N	N;NOM;SG
龍	draakon	龍	draakon	N	N;NOM;SG
女	naise	女	naine	N	N;GEN;SG
女	naine	女	naine	N	N;NOM;SG
女	naissoost	女	nais_sugu	N	N;IN+ABL;SG
正式	ametlikult	正式	ametlikult	ADV	ADV
正式	formaalselt	正式	formaalselt	ADV	ADV
正式	ametlikult	正式	ametlikult	ADV	ADV
字	sõna	字	sõna	N	N;NOM;SG
字	sõnad	字	sõna	N	N;NOM;PL
字	sõnu	字	sõna	N	N;PRT;PL
不同	erinevad	不同	erinev	ADJ	ADJ;NOM;PL;PRS;V.PTCP;ACT
不同	erinev	不同	erinev	ADJ	ADJ;NOM;SG;PRS;V.PTCP;ACT
足球	jalgpall	足球	jalg_pall	N	N;NOM;SG
足球	jalgpall	足球	jalg_pall	N	N;NOM;SG
目前	hetkel	目前	hetk	N	N;AT+ESS
;SG
中央	kesk	中央	kesk	N	N;NOM;SG
中央	keskosa	中央	kesk_osa	N	N;NOM;SG
郡	maakond	郡	maakond	N	N;NOM;SG
國家	riigid	國家	riik	N	N;NOM;PL
國家	riik	國家	riik	N	N;NOM;SG
國家	riik	國家	riik	N	N;NOM;SG
國家	olek	國家	olek	N	N;NOM;SG
國家	osariik	國家	osa_riik	N	N;NOM;SG
國家	riigid	國家	riik	N	N;NOM;PL
球	ball	球	ball	N	N;NOM;SG
球	pall	球	pall	N	N;NOM;SG
球	palli	球	pall	N	N;PRT;SG
生	toor	生	toor	N	N;NOM;SG
街	tänav	街	tänav	N	N;NOM;SG
城市	linn	城市	linn	N	N;NOM;SG
城市	linna	城市	linn	N	N;IN+ALL;LGSPEC1;SG
城市	city	城市	city	N	N;NOM;SG
城市	linnad	城市	linn	N	N;NOM;PL
水	vett	水	vesi	N	N;PRT;SG
水	vesi	水	vesi	N	N;NOM;SG
人物	karakter	人物	karakter	N	N;NOM;SG
人物	iseloomu	人物	ise_loom	N	N;PRT;SG
人物	tegelane	人物	tegelane	N	N;NOM;SG
人物	iseloom	人物	ise_loom	N	N;NOM;SG
軍	armee	軍	armee	N	N;NOM;SG
軍	sõjavägi	軍	sõja_vägi	N	N;NOM;SG
加入	ühinege	加入	ühinema	V	V;IMP;PL;2;PRS;FIN;ACT
加入	liitunud	加入	liituma	V	V;PST;V.PTCP;ACT
加入	liitus	加入	liituma	V	V;IND;SG;3;PST;FIN;ACT
加入	ühines	加入	ühinema	V	V;IND;SG;3;PST;FIN;ACT
魚	kala	魚	kala	N	N;NOM;SG
魚	kalad	魚	kala	N	N;NOM;PL
波	laine	波	laine	N	N;NOM;SG
無	puudub	無	puuduma	V	V;IND;SG;3;PRS;FIN;ACT
你	sind	你	sina	PRO;2	PRO;PRT;SG;2
你	sina	你	sina	PRO;2	PRO;NOM;SG;2
方	kihva	方	kihv	N	N;NOM;SG
方	fang	方	fang	N	N;NOM;SG
話	dialekt	話	dialekt	N	N;NOM;SG
東	idas	東	ida	N	N;IN+ESS;SG
東	itta	東	ida	N	N;IN+ALL;LGSPEC1;SG
東	ida	東	ida	N	N;NOM;SG
東	dong	東	dong	N	N;NOM;SG
石	kivi	石	kivi	N	N;NOM;SG
事件	intsident	事件	intsident	N	N;NOM;SG
事件	vahejuhtum	事件	vahe_juhtum	N	N;NOM;SG
事件	üritused	事件	üritus	N	N;NOM;PL
事件	sündmused	事件	sündmus	N	N;NOM;PL
事件	sündmus	事件	sündmus	N	N;NOM;SG
事件	üritus	事件	üritus	N	N;NOM;SG
建立	ehita	建立	ehitama	V	V;IMP;SG;2;PRS;FIN;ACT
建立	ehitama	建立	ehitama	V	V;IN+ALL;V.CVB;ACT
建立	ehitada	建立	ehitama	V	V;NFIN
教育	haridus	教育	haridus	N	N;NOM;SG
教育	haridus	教育	haridus	N	N;NOM;SG
車站	jaamas	車站	jaam	N	N;IN+ESS;SG
車站	jaam	車站	jaam	N	N;NOM;SG
車站	jaama	車站	jaam	N	N;NOM;SG
國際	international	國際	international	N	N;NOM;SG
獎	auhinnad	獎	au_hind	N	N;NOM;PL
獎	auhinna	獎	au_hind	N	N;GEN;SG
獎	auhind	獎	au_hind	N	N;NOM;SG
獎	auhinnaks	獎	au_hind	N	N;TRANS;SG
獎	auhind	獎	au_hind	N	N;NOM;SG
完成	lõpeta	完成	lõpetama	V	V;IMP;SG;2;PRS;FIN;ACT
完成	tehtud	完成	tegema	V	V;PST;V.PTCP;PASS
白	bai	白	bai	N	N;NOM;SG
音樂	muusika	音樂	muusika	N	N;NOM;SG
音樂	muusikal	音樂	muusika	N	N;AT+ESS
;SG
音樂	musical	音樂	musical	N	N;NOM;SG
他們	nad	他	tema	PRO;PL;3	PRO;NOM;PL;3
分布	jaotatud	分布	jaotama	V	V;PST;V.PTCP;PASS
地區	alad	地區	ala	N	N;NOM;PL
地區	valdkonnad	地區	valdkond	N	N;NOM;PL
地區	piirkonnad	地區	piirkond	N	N;NOM;PL
地區	ringkond	地區	ringkond	N	N;NOM;SG
地區	rajoon	地區	rajoon	N	N;NOM;SG
地區	pindala	地區	pind_ala	N	N;NOM;SG
地區	valdkond	地區	valdkond	N	N;NOM;SG
地區	piirkond	地區	piirkond	N	N;NOM;SG
地區	ala	地區	ala	N	N;NOM;SG
車	auto	車	auto	N	N;NOM;SG
車	car	車	car	N	N;NOM;SG
車	autosid	車	auto	N	N;PRT;PL
車	autod	車	auto	N	N;NOM;PL
官	politseinik	官	politseinik	N	N;NOM;SG
官	ohvitser	官	ohvitser	N	N;NOM;SG
中文	hiinlased	中文	hiinlane	N	N;NOM;PL
自由	vabadus	自由	vabadus	N	N;NOM;SG
自由	liberty	自由	liberty	N	N;NOM;SG
自由	vabadus	自由	vabadus	N	N;NOM;SG
自由	free	自由	free	N	N;NOM;SG
自由	tasuta	自由	tasu	N	N;PRIV;SG
獲得	saa	獲得	saama	V	V;IMP;SG;2;PRS;FIN;ACT
光	hele	光	hele	N	N;NOM;SG
光	valgus	光	valgus	N	N;NOM;SG
光	valgust	光	valgus	N	N;PRT;SG
重要	tähtis	重要	tähtis	ADJ	ADJ;NOM;SG
重要	tähtsad	重要	tähtis	ADJ	ADJ;NOM;PL
重要	olulised	重要	oluline	ADJ	ADJ;NOM;PL
重要	oluline	重要	oluline	ADJ	ADJ;NOM;SG
工程	inseneri	工程	insener	N	N;GEN;SG
段	duan	段	duan	N	N;NOM;SG
提交	esitatud	提交	esitama	V	V;PST;V.PTCP;PASS
一般	üldiselt	一般	üldiselt	ADV	ADV
需要	vajatakse	需要	vajama	V	V;IND;PRS;FIN;PASS
需要	vajas	需要	vajama	V	V;IND;SG;3;PST;FIN;ACT
需要	vajab	需要	vajama	V	V;IND;SG;3;PRS;FIN;ACT
最佳	optimaalne	最佳	optimaalne	ADJ	ADJ;NOM;SG
最佳	optimaalne	最佳	optimaalne	ADJ	ADJ;NOM;SG
地方	koht	地方	koht	N	N;NOM;SG
地方	kohad	地方	koht	N	N;NOM;PL
系列	seeria	系列	seeria	N	N;NOM;SG
電視	televiisor	電視	televiisor	N	N;NOM;SG
電視	televisiooni	電視	televisioon	N	N;PRT;SG
電視	televisioon	電視	televisioon	N	N;NOM;SG
登	deng	登	deng	N	N;NOM;SG
黑	black	黑	black	N	N;NOM;SG
花	hana	花	hana	N	N;NOM;SG
花	lilli	花	lill	N	N;PRT;PL
花	lilled	花	lill	N	N;NOM;PL
花	lill	花	lill	N	N;NOM;SG
花	õis	花	õis	N	N;NOM;SG
花	lilleke	花	lilleke	N	N;NOM;SG
神	jumal	神	jumal	N	N;NOM;SG
遊戲	mängu	遊戲	mäng	N	N;PRT;SG
遊戲	mäng	遊戲	mäng	N	N;NOM;SG
遊戲	mängud	遊戲	mäng	N	N;NOM;PL
最高	kõrgeim	最高	kõrgeim	ADJ	ADJ;NOM;RL;SG
最高	ülim	最高	ülim	ADJ	ADJ;NOM;CMPR;SG
版本	versioon	版本	versioon	N	N;NOM;SG
版本	versiooni	版本	versioon	N	N;PRT;SG
版本	versioonid	版本	versioon	N	N;NOM;PL
發現	leidis	發現	leidma	V	V;IND;SG;3;PST;FIN;ACT
發現	leiti	發現	leidma	V	V;IND;PST;FIN;PASS
發現	leitud	發現	leidma	V	V;PST;V.PTCP;PASS
發現	avastavad	發現	avastama	V	V;IND;PL;3;PRS;FIN;ACT
發現	avastada	發現	avastama	V	V;NFIN
發現	avasta	發現	avastama	V	V;IMP;SG;2;PRS;FIN;ACT
發現	avastama	發現	avastama	V	V;IN+ALL;V.CVB;ACT
語	keel	語	keel	N	N;NOM;SG
語	keele	語	keel	N	N;GEN;SG
內容	sisu	內容	sisu	N	N;NOM;SG
內容	sisaldus	內容	sisaldus	N	N;NOM;SG
出生	sündis	出生	sündima	V	V;IND;SG;3;PST;FIN;ACT
出生	sündinud	出生	sündima	V	V;PST;V.PTCP;ACT
航空	lennunduse	航空	lennundus	N	N;GEN;SG
航空	lennundus	航空	lennundus	N	N;NOM;SG
航空	aero	航空	aero	N	N;NOM;SG
航空	lennufirma	航空	lennu_firma	N	N;NOM;SG
航空	airlines	航空	airlinema	N	N;NOM;SG
航空	õhu	航空	õhk	N	N;NOM;SG
航空	õhku	航空	õhk	N	N;PRT;SG
航空	õhk	航空	õhk	N	N;NOM;SG
航空	air	航空	air	N	N;NOM;SG
數	krahv	數	krahv	N	N;NOM;SG
數	number	數	number	N	N;NOM;SG
數	arv	數	arv	N	N;NOM;SG
成功	edu	成功	edu	N	N;NOM;SG
面積	pindala	面積	pind_ala	N	N;NOM;SG
面積	valdkond	面積	valdkond	N	N;NOM;SG
面積	piirkond	面積	piirkond	N	N;NOM;SG
面積	ala	面積	ala	N	N;NOM;SG
堡	kindlus	堡	kindlus	N	N;NOM;SG
堡	fort	堡	fort	N	N;NOM;SG
系統	süsteemi	系統	süsteem	N	N;PRT;SG
系統	süsteem	系統	süsteem	N	N;NOM;SG
系統	system	系統	system	N	N;NOM;SG
系統	süsteemid	系統	süsteem	N	N;NOM;PL
冠軍	tšempion	冠軍	tšempion	N	N;NOM;SG
冠軍	tšempion	冠軍	tšempion	N	N;NOM;SG
冠軍	meistrid	冠軍	meister	N	N;NOM;PL
問題	probleem	問題	probleem	N	N;NOM;SG
問題	probleemi	問題	probleem	N	N;PRT;SG
問題	probleemiks	問題	probleem	N	N;TRANS;SG
問題	küsimus	問題	küsimus	N	N;NOM;SG
問題	küsimused	問題	küsimus	N	N;NOM;PL
海拔	kõrgus	海拔	kõrgus	N	N;NOM;SG
海拔	kõrgus	海拔	kõrgus	N	N;NOM;SG
海拔	reljeefi	海拔	reljeef	N	N;PRT;SG
方式	meetod	方式	meetod	N	N;NOM;SG
率	määr	率	määr	N	N;NOM;SG
名稱	nimi	名稱	nimi	N	N;NOM;SG
名稱	nimetus	名稱	nimetus	N	N;NOM;SG
名稱	name	名稱	name	N	N;NOM;SG
名稱	nime	名稱	nimi	N	N;PRT;SG
名稱	nimetused	名稱	nimetus	N	N;NOM;PL
名稱	nimed	名稱	nimi	N	N;NOM;PL
愛	armastan	愛	armastama	V	V;IND;SG;1;PRS;FIN;ACT
得到	saa	得到	saama	V	V;IMP;SG;2;PRS;FIN;ACT
街道	tänav	街道	tänav	N	N;NOM;SG
街道	tänavaid	街道	tänav	N	N;PRT;PL
街道	tänavad	街道	tänav	N	N;NOM;PL
刪除	kustutanud	刪除	kustutama	V	V;PST;V.PTCP;ACT
刪除	eemalda	刪除	eemaldama	V	V;IMP;SG;2;PRS;FIN;ACT
刪除	kustuta	刪除	kustutama	V	V;IMP;SG;2;PRS;FIN;ACT
群	rühm	群	rühm	N	N;NOM;SG
群	grupp	群	grupp	N	N;NOM;SG
群	grupis	群	grupp	N	N;IN+ESS;SG
服務	teeni	服務	tegema	V	V;IMP;SG;2;PRS;FIN;ACT
服務	teenida	服務	teenima	V	V;NFIN
服務	teenib	服務	teenima	V	V;IND;SG;3;PRS;FIN;ACT
服務	teenindab	服務	teenindama	V	V;IND;SG;3;PRS;FIN;ACT
機	masin	機	masin	N	N;NOM;SG
機	masina	機	masin	N	N;GEN;SG
頁	lehekülgi	頁	lehe_külg	N	N;PRT;PL
頁	lehed	頁	leht	N	N;NOM;PL
頁	leheküljed	頁	lehe_külg	N	N;NOM;PL
條	ribad	條	riba	N	N;NOM;PL
兩	kaks	兩	kaks	NUM	NUM;NOM;SG
著名	kuulsad	著名	kuulma	ADJ	ADJ;NOM;PL
志	zhi	志	zhi	N	N;NOM;SG
志	chi	志	chi	N	N;NOM;SG
已經	juba	已經	juba	ADV	ADV
專輯	album	專輯	album	N	N;NOM;SG
專輯	albumid	專輯	album	N	N;NOM;PL
角色	karakter	角色	karakter	N	N;NOM;SG
角色	iseloomu	角色	ise_loom	N	N;PRT;SG
角色	tegelane	角色	tegelane	N	N;NOM;SG
角色	iseloom	角色	ise_loom	N	N;NOM;SG
角色	rollis	角色	roll	N	N;IN+ESS;SG
角色	roll	角色	roll	N	N;NOM;SG
角色	rolli	角色	roll	N	N;PRT;SG
角色	märgid	角色	märk	N	N;NOM;PL
角色	tegelased	角色	tegelane	N	N;NOM;PL
角色	rollid	角色	roll	N	N;NOM;PL
成員	parlamendiliige	成員	parlamendi_liige	N	N;NOM;SG
成員	liige	成員	liige	N	N;NOM;SG
成員	liikmed	成員	liige	N	N;NOM;PL
成員	parlamendiliikmed	成員	parlamendi_liige	N	N;NOM;PL
新聞	news	新聞	news	N	N;NOM;SG
新聞	uudis	新聞	uudis	N	N;NOM;SG
新聞	uudised	新聞	uudis	N	N;NOM;PL
現在	nyyd	現在	nyyd	N	N;NOM;SG
劇	draama	劇	draama	N	N;NOM;SG
女性	naissoost	女性	nais_sugu	N	N;IN+ABL;SG
女性	naised	女性	naine	N	N;NOM;PL
高度	kõrgus	高度	kõrgus	N	N;NOM;SG
高度	kõrgus	高度	kõrgus	N	N;NOM;SG
說	ütle	說	ütlema	V	V;IMP;SG;2;PRS;FIN;ACT
男	meessoost	男	mees_sugu	N	N;IN+ABL;SG
門	värav	門	värav	N	N;NOM;SG
門	uks	門	uks	N	N;NOM;SG
門	uksed	門	uks	N	N;NOM;PL
卷	rulli	卷	rull	N	N;NOM;SG
卷	veere	卷	veer	N	N;NOM;SG
卷	rullid	卷	rull	N	N;NOM;PL
卷	rolls	卷	roll	N	N;NOM;SG
位置	asukoht	位置	asu_koht	N	N;NOM;SG
位置	positsioon	位置	positsioon	N	N;NOM;SG
位置	asend	位置	asend	N	N;NOM;SG
位置	asukoht	位置	asu_koht	N	N;NOM;SG
活動	tegevus	活動	tegevus	N	N;NOM;SG
活動	tegevused	活動	tegevus	N	N;NOM;PL
活動	tegevusalad	活動	tegevus_ala	N	N;NOM;PL
活動	üritused	活動	üritus	N	N;NOM;PL
活動	sündmused	活動	sündmus	N	N;NOM;PL
活動	sündmus	活動	sündmus	N	N;NOM;SG
活動	üritus	活動	üritus	N	N;NOM;SG
活動	tegevus	活動	tegevus	N	N;NOM;SG
活動	aktiivsus	活動	aktiivsus	N	N;NOM;SG
只	ainult	只	ainult	ADV	ADV
歷史	ajalugu	歷史	aja_lugu	N	N;NOM;SG
歷史	ajaloo	歷史	aja_lugu	N	N;GEN;SG
歌曲	laulud	歌曲	laul	N	N;NOM;PL
歌曲	laule	歌曲	laul	N	N;PRT;PL
歌曲	laulu	歌曲	laul	N	N;PRT;SG
歌曲	laul	歌曲	laul	N	N;NOM;SG
點	täpid	點	täpp	N	N;NOM;PL
點	punktid	點	punkt	N	N;NOM;PL
點	täpp	點	täpp	N	N;NOM;SG
點	täppi	點	täpp	N	N;PRT;SG
點	punkt	點	punkt	N	N;NOM;SG
點	punkti	點	punkt	N	N;PRT;SG
點	point	點	point	N	N;NOM;SG
植物	taimi	植物	taim	N	N;PRT;PL
植物	taimed	植物	taim	N	N;NOM;PL
植物	taim	植物	taim	N	N;NOM;SG
植物	taime	植物	taim	N	N;PRT;SG
植物	tehas	植物	tehas	N	N;NOM;SG
皮	nahk	皮	nahk	N	N;NOM;SG
皮	nahast	皮	nahk	N	N;IN+ABL;SG
非常	väga	非常	väga	ADV	ADV
通常	tavaliselt	通常	tavaliselt	ADV	ADV
通常	tavaliselt	通常	tavaliselt	ADV	ADV
形成	moodustades	形成	moodustama	V	V;V.CVB
比賽	mängu	比賽	mäng	N	N;PRT;SG
比賽	mäng	比賽	mäng	N	N;NOM;SG
比賽	ralli	比賽	ralli	N	N;NOM;SG
比賽	võidusõit	比賽	võidu_sõit	N	N;NOM;SG
比賽	rass	比賽	rass	N	N;NOM;SG
比賽	võistlus	比賽	võistlus	N	N;NOM;SG
比賽	konkurss	比賽	konkurss	N	N;NOM;SG
聯賽	league	聯賽	league	N	N;NOM;SG
學校	koole	學校	kool	N	N;PRT;PL
學校	koolid	學校	kool	N	N;NOM;PL
學校	kooli	學校	kool	N	N;PRT;SG
學校	koolis	學校	kool	N	N;IN+ESS;SG
學校	kool	學校	kool	N	N;NOM;SG
完全	täielikult	完全	täielikult	ADV	ADV
完全	täiesti	完全	täiesti	ADV	ADV
完全	täiesti	完全	täiesti	ADV	ADV
信	kirju	信	kiri	N	N;NOM;SG
信	kirjad	信	kiri	N	N;NOM;PL
信	tähed	信	täht	N	N;NOM;PL
