the	el	the	el	DET;DEF	DET;DEF;MASC;SG
any	cualquier	any	cualquiera	DET	DET;SG
these	éstas	these	este	PRO;PL	PRO;FEM;PL
these	estos	these	este	PRO;PL	PRO;MASC;PL
these	estas	these	este	PRO;PL	PRO;FEM;PL
these	éstos	these	este	PRO;PL	PRO;MASC;PL
being	siendo	be	ser	V;V.MSDR	V;V.MSDR
being	ser	be	ser	V;V.MSDR	V;NFIN
film	pelicula	film	pelicula	N;SG	N;FEM;SG
film	cine	film	cine	N;SG	N;MASC;SG
film	película	film	película	N;SG	N;FEM;SG
film	film	film	film	N;SG	N;MASC;SG
him	él	he	él	PRO;ACC;MASC;SG;3	PRO;MASC;SG;3
three	tres	three	tres	NUM	NUM;PL
well	bueno	well	buen	INTJ	INTJ
use	usar	use	usar	V;IMP;FIN	V;NFIN
use	utilizar	use	utilizar	V;IMP;FIN	V;NFIN
war	guerra	war	guerra	N;SG	N;FEM;SG
war	war	war	war	N;SG	N;SG
under	debajo	under	debajo	ADV	ADV
them	ellas	they	él	PRO;ACC;PL;3	PRO;FEM;PL;3
them	ellos	they	él	PRO;ACC;PL;3	PRO;MASC;PL;3
link	link	link	link	N;SG	N;MASC;SG
link	enlace	link	enlace	N;SG	N;MASC;SG
link	vínculo	link	vínculo	N;SG	N;MASC;SG
while	mientras	while	mientras	CONJ	CONJ
later	posteriormente	later	posteriormente	ADV	ADV
later	después	later	después	ADV	ADV
part	part	part	part	N;SG	N
part	parte	part	parte	N;SG	N;FEM;SG
players	jugadores	player	jugador	N;PL	N;MASC;PL
players	reproductores	player	reproductor	N;PL	N;MASC;PL
list	lista	list	lista	N;SG	N;FEM;SG
please	porfa	please	porfa	INTJ	INTJ
following	siguiendo	follow	seguir	V;V.MSDR	V;V.MSDR
name	nombre	name	nombre	N;SG	N;MASC;SG
name	name	name	name	N;SG	N
name	denominación	name	denominación	N;SG	N;FEM;SG
group	grupo	group	grupo	N;SG	N;MASC;SG
group	group	group	group	N;SG	N
history	historia	history	historia	N;SG	N;FEM;SG
history	historial	history	historial	N;SG	N;MASC;SG
series	serie	series	serie	N;SG	N;FEM;SG
just	solo	just	solo	ADV	ADV
just	simplemente	just	simplemente	ADV	ADV
just	sólo	just	sólo	ADV	ADV
work	obra	work	obra	N;SG	N;FEM;SG
work	trabajo	work	trabajo	N;SG	N;MASC;SG
before	antes	before	antes	ADV	ADV
season	temporada	season	temporada	N;SG	N;FEM;SG
high	alto	high	alto	ADJ	ADJ;MASC;SG
high	elevada	high	elevado	ADJ	ADJ;FEM;SG;V.PTCP
high	alta	high	alto	ADJ	ADJ;FEM;SG
district	distrito	district	distrito	N;SG	N;MASC;SG
now	ahora	now	ahora	ADV	ADV
comments	observaciones	comment	observación	N;PL	N;FEM;PL
comments	comentarios	comment	comentario	N;PL	N;MASC;PL
because	porque	because	porque	CONJ	CONJ
football	fútbol	football	fútbol	N;SG	N;MASC;SG
football	futbol	football	futbol	N;SG	N;MASC;SG
music	music	music	music	N;SG	N
music	música	music	música	N;SG	N;FEM;SG
music	musica	music	musica	N;SG	N;FEM;SG
diff	diff	diff	diff	N;SG	N
century	siglo	century	siglo	N;SG	N;MASC;SG
edits	ediciones	edit	edición	N;PL	N;FEM;PL
debate	debate	debate	debate	N;SG	N;MASC;SG
title	titulo	title	titulo	N;SG	N;MASC;SG
title	título	title	título	N;SG	N;MASC;SG
articles	articulos	article	articulo	N;PL	N;MASC;PL
articles	artículos	article	artículo	N;PL	N;MASC;PL
same	mismo	same	mismo	ADJ	ADJ;MASC;SG
including	incluyendo	include	incluir	V;V.MSDR	V;V.MSDR
could	podrían	could	poder	V;FIN	V;COND;PL;3;FIN
could	podría	could	poder	V;FIN	V;COND;SG;3;FIN
album	álbum	album	álbum	N;SG	N;MASC;SG
album	album	album	album	N;SG	N;MASC;SG
album	disco	album	disco	N;SG	N;MASC;SG
number	número	number	número	N;SG	N;MASC;SG
number	numero	number	numero	N;SG	N;MASC;SG
against	contra	against	contra	ADP	ADP
family	famila	family	famila	N;SG	N;FEM;SG
family	familia	family	familia	N;SG	N;FEM;SG
user	usuario	user	usuario	N;SG	N;MASC;SG
area	superficie	area	superficie	N;SG	N;FEM;SG
area	zona	area	zona	N;SG	N;FEM;SG
area	area	area	area	N;SG	N;FEM;SG
area	área	area	área	N;SG	N;FEM;SG
life	vida	life	vida	N;SG	N;FEM;SG
life	life	life	life	N;SG	N
british	británica	british	británico	ADJ	ADJ;FEM;SG
international	internacional	international	internacional	ADJ	ADJ;SG
international	international	international	international	ADJ	ADJ;SG
international	internacionales	international	internacional	ADJ	ADJ;PL
game	juego	game	juego	N;SG	N;MASC;SG
above	arriba	above	arriba	ADV	ADV
club	club	club	club	N;SG	N;MASC;SG
club	garrote	club	garrote	N;SG	N;MASC;SG
club	discoteca	club	discoteca	N;SG	N;FEM;SG
your	tus	you	tu	PRO;2	PRO;SG;2
early	temprano	early	temprano	ADV	ADV
best	mejores	best	mejor	ADJ;RL	ADJ;PL
house	house	house	house	N;SG	N;MASC;SG
house	casita	house	casita	N;SG	N;FEM;SG
house	casa	house	casa	N;SG	N;FEM;SG
company	compañia	company	compañia	N;SG	N;FEM;SG
company	empresa	company	empresa	N;SG	N;FEM;SG
company	compañía	company	compañía	N;SG	N;FEM;SG
company	companía	company	companía	N;SG	N;FEM;SG
very	muy	very	mucho	ADV	ADV
here	aquí	here	aquí	ADV	ADV
here	acá	here	acá	ADV	ADV
living	living	living	living	N;SG	N;MASC;SG
day	día	day	día	N;SG	N;MASC;SG
day	dia	day	diar	N;SG	N;MASC;SG
place	lugar	place	lugar	N;SG	N;MASC;SG
place	place	place	place	N;SG	N
party	parte	party	parte	N;SG	N;FEM;SG
party	partido	party	partido	N;SG	N;MASC;SG
party	fiesta	party	fiesta	N;SG	N;FEM;SG
party	party	party	party	N;SG	N
college	college	college	collegar	N;SG	N;MASC;SG
college	colegio	college	colegio	N;SG	N;MASC;SG
college	universidad	college	universidad	N;SG	N;FEM;SG
result	resultado	result	resultado	N;SG	N;MASC;SG
keep	mantener	keep	mantener	V;IMP;FIN	V;NFIN
keep	conservar	keep	conservar	V;IMP;FIN	V;NFIN
appropriate	apropiada	appropriate	apropiado	ADJ	ADJ;FEM;SG;V.PTCP
appropriate	apropiadas	appropriate	apropiado	ADJ	ADJ;FEM;PL;V.PTCP
appropriate	apropiados	appropriate	apropiado	ADJ	ADJ;MASC;PL;V.PTCP
appropriate	adecuado	appropriate	adecuado	ADJ	ADJ;MASC;SG;V.PTCP
appropriate	apropiado	appropriate	apropiado	ADJ	ADJ;MASC;SG;V.PTCP
four	cuatro	four	cuatro	NUM	NUM;PL
subsequent	posterior	subsequent	posterior	ADJ	ADJ;SG
subsequent	subsiguientes	subsequent	subsiguiente	ADJ	ADJ;PL
subsequent	subsiguiente	subsequent	subsiguiente	ADJ	ADJ;SG
even	incluso	even	incluso	ADV	ADV
even	aun	even	aun	ADV	ADV
class	clase	class	clase	N;SG	N;FEM;SG
class	class	class	clas	N;SG	N;FEM;SG
government	gobierno	government	gobierno	N;SG	N;MASC;SG
called	llamé	call	llamar	V;PST;V.PTCP	V;IND;SG;1;PST;FIN
each	cada	each	cada	DET	DET;SG
center	centro	center	centro	N;SG	N;MASC;SG
center	center	center	center	N;SG	N;MASC;SG
style	style	style	style	N;SG	N
style	estilo	style	estilo	N;SG	N;MASC;SG
country	pais	country	pais	N;SG	N;MASC;SG
country	país	country	país	N;SG	N;MASC;SG
way	manera	way	manera	N;SG	N;FEM;SG
way	camino	way	camino	N;SG	N;MASC;SG
way	way	way	way	N;SG	N
modify	modificar	modify	modificar	V;IMP;FIN	V;NFIN
modify	modifique	modify	modificar	V;IMP;FIN	V;IMP;SG;3;FIN
end	end	end	end	N;SG	N
end	fin	end	fin	N;SG	N;MASC;SG
end	final	end	final	N;SG	N;MASC;SG
make	hacer	make	hacer	V;IMP;FIN	V;NFIN
public	publico	public	publico	ADJ	ADJ;MASC;SG
public	públicas	public	público	ADJ	ADJ;FEM;PL
public	públicos	public	público	ADJ	ADJ;MASC;PL
played	jugaron	play	jugar	V;PST;V.PTCP	V;IND;PL;3;PST;FIN
played	jugó	play	jugar	V;PST;V.PTCP	V;IND;SG;3;PST;FIN
won	ganó	win	ganar	V;PST;FIN	V;IND;SG;3;PST;FIN
won	gané	win	ganar	V;PST;FIN	V;IND;SG;1;PST;FIN
added	añadió	add	añadir	V;PST;V.PTCP	V;IND;SG;3;PST;FIN
added	agregó	add	agregar	V;PST;V.PTCP	V;IND;SG;3;PST;FIN
support	apoyo	support	apoyo	N;SG	N;MASC;SG
support	soporte	support	soporte	N;SG	N;MASC;SG
games	juegos	game	juego	N;PL	N;MASC;PL
former	antiguo	former	antiguo	ADJ	ADJ;MASC;SG
former	ex	former	ex	ADJ	ADJ
those	esas	those	ese	PRO;PL	PRO;FEM;PL
those	aquellos	those	aquel	PRO;PL	PRO;MASC;PL
those	esos	those	ese	PRO;PL	PRO;MASC;PL
films	films	film	film	N;PL	N;MASC;PL
films	peliculas	film	pelicula	N;PL	N;FEM;PL
films	películas	film	película	N;PL	N;FEM;PL
church	iglesia	church	iglesia	N;SG	N;FEM;SG
line	línea	line	línea	N;SG	N;FEM;SG
line	linea	line	linea	N;SG	N;FEM;SG
major	mayor	major	mayor	ADJ	ADJ;SG
members	diputados	member	diputado	N;PL	N;MASC;PL
members	miembros	member	miembro	N;PL	N;MASC;PL
good	buenas	good	buen	ADJ	ADJ;FEM;PL
good	buena	good	buen	ADJ	ADJ;FEM;SG
good	buenos	good	buen	ADJ	ADJ;MASC;PL
image	imagen	image	imagen	N;SG	N;FEM;SG
image	imágen	image	imágen	N;SG	N;FEM;SG
show	mostrar	show	mostrar	V;IMP;FIN	V;NFIN
still	todavía	still	todavía	ADV	ADV
still	aún	still	aún	ADV	ADV
think	piensen	think	pensar	V;IMP;FIN	V;IMP;PL;3;FIN
think	piense	think	pensar	V;IMP;FIN	V;IMP;SG;3;FIN
think	pensar	think	pensar	V;IMP;FIN	V;NFIN
below	debajo	below	debajo	ADV	ADV
below	abajo	below	abajo	ADV	ADV
tow	pueblo	tow	pueblo	N;SG	N;MASC;SG
tow	ciudad	tow	ciudad	N;SG	N;FEM;SG
last	último	last	último	ADJ	ADJ;MASC;SG
last	últimos	last	último	ADJ	ADJ;MASC;PL
last	última	last	último	ADJ	ADJ;FEM;SG
system	system	system	system	N;SG	N
system	sistema	system	sistema	N;SG	N;MASC;SG
song	canto	song	canto	N;SG	N;MASC;SG
song	cancion	song	cancionar	N;SG	N;FEM;SG
song	canción	song	canción	N;SG	N;FEM;SG
notable	notables	notable	notable	ADJ	ADJ;PL
notable	notable	notable	notable	ADJ	ADJ;SG
section	seccion	section	seccionar	N;SG	N;FEM;SG
section	sección	section	sección	N;SG	N;FEM;SG
single	sencillo	single	sencillo	ADJ	ADJ;MASC;SG
align	alinear	align	alinear	V;IMP;FIN	V;NFIN
home	hogar	home	hogar	N;SG	N;MASC;SG
home	casa	home	casa	N;SG	N;FEM;SG
home	inicio	home	inicio	N;SG	N;MASC;SG
women	mujeres	woman	mujer	N;PL	N;FEM;PL
television	televisor	television	televisor	N;SG	N;MASC;SG
television	television	television	television	N;SG	N;FEM;SG
television	televisión	television	televisión	N;SG	N;FEM;SG
seed	semilla	seed	semilla	N;SG	N;FEM;SG
member	miembro	member	miembro	N;SG	N;MASC;SG
goals	metas	goal	meta	N;PL	N;FEM;PL
goals	objetivos	goal	objetivo	N;PL	N;MASC;PL
goals	goles	goal	gol	N;PL	N;MASC;PL
sources	fuentes	source	fuente	N;PL	N;FEM;PL
book	libro	book	libro	N;SG	N;MASC;SG
station	estacion	station	estacion	N;SG	N;FEM;SG
station	estación	station	estación	N;SG	N;FEM;SG
order	orden	order	orden	N;SG	N;MASC;SG
order	encargo	order	encargo	N;SG	N;MASC;SG
old	viejo	old	viejo	ADJ	ADJ;MASC;SG
old	antiguo	old	antiguo	ADJ	ADJ;MASC;SG
old	viejos	old	viejo	ADJ	ADJ;MASC;PL
old	antigua	old	antiguo	ADJ	ADJ;FEM;SG
old	vieja	old	viejo	ADJ	ADJ;FEM;SG
information	información	information	información	N;SG	N;FEM;SG
information	informacion	information	informacion	N;SG	N;FEM;SG
own	propio	own	propio	ADJ	ADJ;MASC;SG
own	propios	own	propio	ADJ	ADJ;MASC;PL
own	propias	own	propio	ADJ	ADJ;FEM;PL
own	propia	own	propio	ADJ	ADJ;FEM;SG
text	text	text	text	N;SG	N
text	texto	text	texto	N;SG	N;MASC;SG
band	band	band	band	N;SG	N;SG
band	banda	band	banda	N;SG	N;FEM;SG
point	punta	point	punta	N;SG	N;FEM;SG
point	point	point	point	N;SG	N
point	punto	point	punto	N;SG	N;MASC;SG
local	local	local	local	ADJ	ADJ;SG
local	locales	local	local	ADJ	ADJ;PL
around	alrededor	around	alrededor	ADV	ADV
river	rio	river	rio	N;SG	N;MASC;SG
river	río	river	río	N;SG	N;MASC;SG
top	cima	top	cima	N;SG	N;FEM;SG
main	principales	main	principal	ADJ	ADJ;PL
main	principal	main	principal	ADJ	ADJ;SG
language	lengua	language	lengua	N;SG	N;FEM;SG
language	idioma	language	idioma	N;SG	N;MASC;SG
language	lenguaje	language	lenguaje	N;SG	N;MASC;SG
french	francesa	french	francés	ADJ	ADJ;FEM;SG
https	https	http	http	N;SG	N
note	note	note	notar	N;SG	N
note	nota	note	nota	N;SG	N;FEM;SG
career	carrera	career	carrera	N;SG	N;FEM;SG
original	original	original	original	ADJ	ADJ;SG
original	originales	original	original	ADJ	ADJ;PL
age	edad	age	edad	N;SG	N;FEM;SG
age	age	age	age	N;SG	N
service	servicio	service	servicio	N;SG	N;MASC;SG
said	dijo	say	decir	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
website	website	website	website	N;SG	N;MASC;SG
website	web	website	web	N;SG	N;FEM;SG
website	sitio	website	sitio	N;SG	N;MASC;SG
population	población	population	población	N;SG	N;FEM;SG
air	aire	air	aire	N;SG	N;MASC;SG
air	air	air	air	N;SG	N
german	alemana	german	alemán	ADJ	ADJ;FEM;SG
law	derecho	law	derecho	N;SG	N;MASC;SG
law	legislación	law	legislación	N;SG	N;FEM;SG
law	ley	law	ley	N;SG	N;FEM;SG
military	militar	military	militar	ADJ	ADJ;SG
great	grandioso	great	grandioso	ADJ	ADJ;MASC;SG
great	genial	great	genial	ADJ	ADJ;SG
great	estupendo	great	estupendo	ADJ	ADJ;MASC;SG
great	gran	great	gran	ADJ	ADJ;SG
clubs	palos	club	palo	N;PL	N;MASC;PL
clubs	discotecas	club	discoteca	N;PL	N;FEM;PL
clubs	tréboles	club	trébol	N;PL	N;MASC;PL
clubs	clubes	club	club	N;PL	N;MASC;PL
park	parque	park	parque	N;SG	N;MASC;SG
official	funcionario	official	funcionario	N;SG	N;MASC;SG
official	official	official	official	N;SG	N
official	funcionaria	official	funcionaria	N;SG	N;FEM;SG
case	case	case	case	N;SG	N
case	caso	case	caso	N;SG	N;MASC;SG
case	estuche	case	estuche	N;SG	N;MASC;SG
times	tiempos	time	tiempo	N;PL	N;MASC;PL
times	veces	time	vez	N;PL	N;FEM;PL
times	épocas	time	época	N;PL	N;FEM;PL
times	times	time	time	N;PL	N
although	aunque	although	aunque	CONJ	CONJ
small	pequeñas	small	pequeño	ADJ	ADJ;FEM;PL
small	pequeño	small	pequeño	ADJ	ADJ;MASC;SG
small	pequeña	small	pequeño	ADJ	ADJ;FEM;SG
small	pequeños	small	pequeño	ADJ	ADJ;MASC;PL
different	distinta	different	distinto	ADJ	ADJ;FEM;SG
different	diferente	different	diferente	ADJ	ADJ;SG
different	distinto	different	distinto	ADJ	ADJ;MASC;SG
different	diferentes	different	diferente	ADJ	ADJ;PL
due	debido	due	debido	ADJ	ADJ
get	conseguir	get	conseguir	V;IMP;FIN	V;NFIN
get	obtener	get	obtener	V;IMP;FIN	V;NFIN
village	pueblo	village	pueblo	N;SG	N;MASC;SG
village	villa	village	villa	N;SG	N;FEM;SG
village	aldea	village	aldea	N;SG	N;FEM;SG
art	arte	art	arte	N;SG	N;SG
player	player	player	player	N;SG	N;SG
player	reproductor	player	reproductor	N;SG	N;MASC;SG
player	jugador	player	jugador	N;SG	N;MASC;SG
player	jugadora	player	jugadora	N;SG	N;FEM;SG
final	definitivo	final	definitivo	ADJ	ADJ;MASC;SG
community	comunidad	community	comunidad	N;SG	N;FEM;SG
again	nuevamente	again	nuevamente	ADV	ADV
began	empezó	begin	empezar	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
began	comenzó	begin	comenzar	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
army	ejército	army	ejército	N;SG	N;MASC;SG
army	army	army	army	N;SG	N
army	ejercito	army	ejercito	N;SG	N;MASC;SG
award	laudo	award	laudo	N;SG	N;MASC;SG
award	adjudicación	award	adjudicación	N;SG	N;FEM;SG
award	premio	award	premio	N;SG	N;MASC;SG
award	galardón	award	galardón	N;SG	N;MASC;SG
death	fallecimiento	death	fallecimiento	N;SG	N;MASC;SG
death	death	death	death	N;SG	N
death	muerte	death	muerte	N;SG	N;FEM;SG
death	defunción	death	defunción	N;SG	N;FEM;SG
men	men	man	men	N;PL	N
men	hombres	man	hombre	N;PL	N;MASC;PL
large	grande	large	grande	ADJ	ADJ;SG
large	grandes	large	grande	ADJ	ADJ;PL
site	sitio	site	sitio	N;SG	N;MASC;SG
site	site	site	sitir	N;SG	N;MASC;SG
using	usando	use	usar	V;V.MSDR	V;V.MSDR
using	utilizando	use	utilizar	V;V.MSDR	V;V.MSDR
deletion	supresión	deletion	supresión	N;SG	N;FEM;SG
white	blancas	white	blanco	ADJ	ADJ;FEM;PL
white	blanca	white	blanco	ADJ	ADJ;FEM;SG
white	blanco	white	blanco	ADJ	ADJ;MASC;SG
five	cinco	five	cinco	NUM	NUM;PL
central	céntrica	central	céntrico	ADJ	ADJ;FEM;SG
central	central	central	central	ADJ	ADJ;SG
central	céntrico	central	céntrico	ADJ	ADJ;MASC;SG
road	road	road	road	N;SG	N;MASC
road	camino	road	camino	N;SG	N;MASC;SG
road	carretera	road	carretera	N;SG	N;FEM;SG
children	ninos	child	nino	N;PL	N;MASC;PL
children	niños	child	niño	N;PL	N;MASC;PL
free	libres	free	libre	ADJ	ADJ;PL
free	libre	free	libre	ADJ	ADJ;SG
free	gratuito	free	gratuito	ADJ	ADJ;MASC;SG
took	tomaron	take	tomar	V;IND;PST;FIN	V;IND;PL;3;PST;FIN
took	tomó	take	tomar	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
include	incluye	include	incluir	V;IND;PRS;FIN	V;IND;SG;3;PRS;FIN
include	incluyen	include	incluir	V;IND;PRS;FIN	V;IND;PL;3;PRS;FIN
include	incluir	include	incluir	V;IND;PRS;FIN	V;NFIN
association	asociación	association	asociación	N;SG	N;FEM;SG
association	association	association	association	N;SG	N;FEM;SG
down	abajo	down	abajo	ADV	ADV
given	dado	give	dar	V;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
source	procedencia	source	procedencia	N;SG	N;FEM;SG
source	fuente	source	fuente	N;SG	N;FEM;SG
source	origen	source	origen	N;SG	N;MASC;SG
source	source	source	source	N;SG	N
man	man	man	man	N;SG	N
man	hombre	man	hombre	N;SG	N;MASC;SG
version	version	version	version	N;SG	N;FEM;SG
version	versión	version	versión	N;SG	N;FEM;SG
created	creó	create	crear	V;PST;V.PTCP	V;IND;SG;3;PST;FIN
media	media	media	media	N;SG	N;FEM;SG
black	negra	black	negro	ADJ	ADJ;FEM;SG
black	negras	black	negro	ADJ	ADJ;FEM;PL
black	negro	black	negro	ADJ	ADJ;MASC;SG
report	reporte	report	reportar	N;SG	N;MASC;SG
report	denuncia	report	denuncia	N;SG	N;FEM;SG
report	informe	report	informe	N;SG	N;MASC;SG
building	edificio	building	edificio	N;SG	N;MASC;SG
building	edificación	building	edificación	N;SG	N;FEM;SG
building	construcción	building	construcción	N;SG	N;FEM;SG
take	tomar	take	tomar	V;IMP;FIN	V;NFIN
take	tome	take	tomar	V;IMP;FIN	V;IMP;SG;3;FIN
division	division	division	division	N;SG	N;FEM;SG
division	división	division	división	N;SG	N;FEM;SG
comment	comentario	comment	comentario	N;SG	N;MASC;SG
having	teniendo	have	tener	V;V.MSDR	V;V.MSDR
having	tener	have	tener	V;V.MSDR	V;NFIN
king	king	king	king	N;SG	N
king	rey	king	rey	N;SG	N;MASC;SG
edit	edición	edit	edición	N;SG	N;FEM;SG
stadium	estadio	stadium	estadio	N;SG	N;MASC;SG
stadium	stadium	stadium	stadium	N;SG	N;MASC;SG
died	murió	die	morir	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
died	murieron	die	morir	V;IND;PST;FIN	V;IND;PL;3;PST;FIN
ship	barco	ship	barco	N;SG	N;MASC;SG
ship	nave	ship	nave	N;SG	N;FEM;SG
ship	buque	ship	buque	N;SG	N;MASC;SG
research	investigación	research	investigación	N;SG	N;FEM;SG
research	investigacion	research	investigacion	N;SG	N;FEM;SG
record	registro	record	registro	N;SG	N;MASC;SG
record	récord	record	récord	N;SG	N;MASC;SG
archive	archivo	archive	archivo	N;SG	N;MASC;SG
places	sitios	place	sitio	N;PL	N;MASC;PL
places	lugares	place	lugar	N;PL	N;MASC;PL
places	localidades	place	localidad	N;PL	N;FEM;PL
places	plazas	place	plaza	N;PL	N;FEM;PL
cup	taza	cup	taza	N;SG	N;FEM;SG
cup	copa	cup	copa	N;SG	N;FEM;SG
cup	cup	cup	cupo	N;SG	N;FEM;SG
records	actas	record	acta	N;PL	N;FEM;PL
records	registros	record	registro	N;PL	N;MASC;PL
records	discos	record	disco	N;PL	N;MASC;PL
records	records	record	records	N;PL	N;MASC
often	frecuentemente	often	frecuentemente	ADV	ADV
side	lateral	side	lateral	N;SG	N;SG
side	lado	side	lado	N;SG	N;MASC;SG
power	potencia	power	potencia	N;SG	N;FEM;SG
power	power	power	power	N;SG	N
education	educación	education	educación	N;SG	N;FEM;SG
education	enseñanza	education	enseñanza	N;SG	N;FEM;SG
education	educacion	education	educacion	N;SG	N;FEM;SG
know	saber	know	saber	V;IND;PRS;FIN	V;NFIN
know	sé	know	saber	V;IND;PRS;FIN	V;IND;SG;1;PRS;FIN
category	categoria	category	categoria	N;SG	N;FEM;SG
category	categoría	category	categoría	N;SG	N;FEM;SG
water	agua	water	agua	N;SG	N;FEM;SG
political	político	political	político	ADJ	ADJ;MASC;SG
species	especies	species	especie	N;PL	N;FEM;PL
field	field	field	field	N;SG	N
