اِبتدائی	initial	اِبتدائی	initial	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اُبھرنا	stiga	اُبھرنا	stiga	V;SG;NFIN;ACT	V;IMP;NFIN;ACT
اُبھرنا	odla	اُبھرنا	odla	V;SG;NFIN;ACT	V;IMP;FIN;ACT
اُبھرنا	växa	اُبھرنا	växa	V;SG;NFIN;ACT	V;IMP;FIN;ACT
اُبھرنا	växer	اُبھرنا	växa	V;SG;NFIN;ACT	V;IND;PRS;FIN;ACT
اُبھرنا	blomstra	اُبھرنا	blomstra	V;SG;NFIN;ACT	V;IMP;FIN;ACT
اُپاڑنا	förstöra	اُپاڑنا	förstöra	V;SG;NFIN;ACT	V;NFIN;ACT
اُپاڑنا	utrota	اُپاڑنا	utrota	V;SG;NFIN;ACT	V;IMP;FIN;ACT
اُپٹنا	spilla	اُپٹ	spilla	V;SG;NFIN;ACT	V;IMP;FIN;ACT
اپنا	vårat	اپنا	vira	PRO;NOM;SG;3	PRO;DEF;NEUT;SG
اپنا	vårt	اپنا	vi	PRO;NOM;SG;3	PRO;DEF;NEUT;SG
اپنا	mitt	اپنا	jag	PRO;NOM;SG;3	PRO;DEF;NEUT;SG
اپنا	min	اپنا	jag	PRO;NOM;SG;3	PRO;DEF;MASC+FEM;SG
اپنا	vårat	اپنا	vira	PRO;NOM;SG;3	PRO;DEF;NEUT;SG
اپنا	vårt	اپنا	vi	PRO;NOM;SG;3	PRO;DEF;NEUT;SG
اپنا	vårat	اپنا	vira	PRO;NOM;SG;3	PRO;DEF;NEUT;SG
اپنا	vårt	اپنا	vi	PRO;NOM;SG;3	PRO;DEF;NEUT;SG
اپنا	mitt	اپنا	jag	PRO;NOM;SG;3	PRO;DEF;NEUT;SG
اپنا	min	اپنا	jag	PRO;NOM;SG;3	PRO;DEF;MASC+FEM;SG
اپنا	vårat	اپنا	vira	PRO;NOM;SG;3	PRO;DEF;NEUT;SG
اپنا	vårt	اپنا	vi	PRO;NOM;SG;3	PRO;DEF;NEUT;SG
اپیل	överklagande	اپیل	överklagande	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
اپیل	överklagandet	اپیل	överklagande	N;NOM;MASC;SG;3	N;NOM;DEF;NEUT;SG
اپیل	överklagan	اپیل	överklaga	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اُتار	härkomst	اُتار	härkomst	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اُتار	lutning	اُتار	lutning	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اُتار	exorcism	اُتار	exorcism	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اُتار	sänkning	اُتار	sänkning	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اُتار	minskning	اُتار	minskning	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اُتار	hösten	اُتار	höst	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
اُتار	fall	اُتار	fall	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
اُتار	höst	اُتار	höst	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اُتار	reduktion	اُتار	reduktion	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اُتار	minskning	اُتار	minskning	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اُتار	reducering	اُتار	reducering	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اُتار	nedsättning	اُتار	nedsättning	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اُتار	nedgång	اُتار	nedgång	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اُتار	ebb	اُتار	ebb	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اُتارنا	avslöjar	اُتار	avslöja	V;NFIN;ACT	V;IND;PRS;FIN;ACT
اُتارنا	avslöja	اُتار	avslöja	V;NFIN;ACT	V;IMP;NFIN;ACT
اُتارنا	lossa	اُتار	lossa	V;NFIN;ACT	V;IMP;FIN;ACT
اُتارنا	kopiera	اُتار	kopiera	V;NFIN;ACT	V;IMP;FIN;ACT
اُتارنا	avslöjar	اُتار	avslöja	V;NFIN;ACT	V;IND;PRS;FIN;ACT
اُتارنا	avslöja	اُتار	avslöja	V;NFIN;ACT	V;IMP;NFIN;ACT
اُتارنا	lossa	اُتار	lossa	V;NFIN;ACT	V;IMP;FIN;ACT
اُتارنا	kopiera	اُتار	kopiera	V;NFIN;ACT	V;IMP;FIN;ACT
اِتّحادی	allierade	اِتّحادی	alliera	ADJ	ADJ;NOM;PL;PST;V.PTCP
اِتّحادی	allierad	اِتّحادی	alliera	ADJ	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
اُترنا	minska	اُتر	minska	V;MASC;SG;ACT	V;IMP;NFIN;ACT
اُترنا	korsa	اُتر	korsa	V;MASC;SG;ACT	V;IMP;FIN;ACT
اِتّفاقی	tillfälliga	اِتّفاقی	tillfällig	ADJ;NOM	ADJ;NOM;PL
اُتھلنا	faller	اُتھلنا	falla	V;SG;NFIN;ACT	V;IND;PRS;FIN;ACT
اُتھلنا	ramla	اُتھلنا	ramla	V;SG;NFIN;ACT	V;IMP;FIN;ACT
اُتھلنا	falla	اُتھلنا	falla	V;SG;NFIN;ACT	V;IMP;FIN;ACT
اٹکلنا	gissar	اٹکل	giss	V;NFIN;ACT	V;IND;PRS;FIN;ACT
اٹکلنا	gissa	اٹکل	giss	V;NFIN;ACT	V;IMP;FIN;ACT
اٹکنا	stanna	اٹک	stanna	V;NFIN;ACT	V;IMP;FIN;ACT
اٹکنا	sluta	اٹک	sluta	V;NFIN;ACT	V;IMP;FIN;ACT
اٹکنا	stoppa	اٹک	stoppa	V;NFIN;ACT	V;IMP;FIN;ACT
اُٹھا	stiger	اُٹھ	stiga	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;PRS;FIN;ACT
اُٹھانا	höj	اُٹھا	höj	V;MASC;SG;NFIN;ACT	V;IMP;FIN;ACT
اُٹھانا	höja	اُٹھا	höja	V;MASC;SG;NFIN;ACT	V;IMP;FIN;ACT
اُٹھانا	kidnappa	اُٹھا	kidnappa	V;MASC;SG;NFIN;ACT	V;IMP;NFIN;ACT
اُٹھانا	hissa	اُٹھا	hissa	V;MASC;SG;NFIN;ACT	V;IMP;FIN;ACT
اُٹھانا	stjäla	اُٹھا	stjäla	V;MASC;SG;NFIN;ACT	V;IMP;FIN;ACT
اُٹھانا	stjäl	اُٹھا	stjäl	V;MASC;SG;NFIN;ACT	V;IMP;FIN;ACT
اُٹھانا	sno	اُٹھا	sno	V;MASC;SG;NFIN;ACT	V;IMP;FIN;ACT
اُٹھانا	bära	اُٹھا	bära	V;MASC;SG;NFIN;ACT	V;IMP;FIN;ACT
اُٹھانا	bär	اُٹھا	bära	V;MASC;SG;NFIN;ACT	V;IMP;FIN;ACT
اُٹھانا	bear	اُٹھا	bear	V;MASC;SG;NFIN;ACT	V;IMP;FIN;ACT
اُٹھانا	väcka	اُٹھا	väcka	V;MASC;SG;NFIN;ACT	V;IMP;FIN;ACT
اُٹھتا	blomstrar	اُٹھ	blomstra	V;IPFV;MASC;SG;V.PTCP;ACT	V;IND;PRS;FIN;ACT
اُٹھتا	blommar	اُٹھ	blomma	V;IPFV;MASC;SG;V.PTCP;ACT	V;IND;PRS;FIN;ACT
اُٹھتا	stiger	اُٹھ	stiga	V;IPFV;MASC;SG;V.PTCP;ACT	V;IND;PRS;FIN;ACT
اُٹھنا	stiga	اُٹھ	stiga	V;MASC;SG;NFIN;ACT	V;IMP;NFIN;ACT
اُٹھنا	lämna	اُٹھ	lämna	V;MASC;SG;NFIN;ACT	V;IMP;FIN;ACT
اُٹھنا	återställ	اُٹھ	återställ	V;MASC;SG;NFIN;ACT	V;IMP;FIN;ACT
اُٹھنا	återfå	اُٹھ	återfå	V;MASC;SG;NFIN;ACT	V;IMP;FIN;ACT
اُٹھنا	återhämta	اُٹھ	återhämta	V;MASC;SG;NFIN;ACT	V;IMP;NFIN;ACT
اُٹھنا	avvika	اُٹھ	avvika	V;MASC;SG;NFIN;ACT	V;IMP;FIN;ACT
اُٹھنا	vakna	اُٹھ	vaken	V;MASC;SG;NFIN;ACT	V;IMP;FIN;ACT
اثاثہ	gods	اثاثہ	god	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
اثاثہ	rikedom	اثاثہ	rikedom	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اثاثہ	förmögenhet	اثاثہ	förmögenhet	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اثاثہ	välstånd	اثاثہ	välstånd	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
اثاثہ	fastighet	اثاثہ	fastighet	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اثاثہ	egenskap	اثاثہ	egenskap	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اثاثہ	egendom	اثاثہ	egendom	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اِثبات	erkännanden	اِثبہ	erkännande	N;NOM;MASC;PL;3	N;NOM;INDF;NEUT;PL
اثر	verkan	اثر	verkan	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اثر	effekten	اثر	effekt	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
اثر	effekt	اثر	effekt	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اثر	påverkan	اثر	påverkan	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اثر	inflytande	اثر	inflytande	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
اثر	konsekvens	اثر	konsekvens	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اثرورسوخ	påverkan	اثرورسوخ	påverkan	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اثرورسوخ	inflytande	اثرورسوخ	inflytande	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
اثنا	tid	اثنا	tid	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اثنا	tidpunkt	اثنا	tidpunkt	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اثنا	dags	اثنا	dags	N;NOM;MASC;SG;3	N;MASC+FEM
اثنا	klockslag	اثنا	klockslag	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
اثنا	tiden	اثنا	tid	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
اثنا	perioden	اثنا	period	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
اثنا	period	اثنا	period	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اثنا	tidsperiod	اثنا	tidsperiod	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اثنا	tid	اثنا	tid	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اثنا	tidpunkt	اثنا	tidpunkt	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اثنا	dags	اثنا	dags	N;NOM;MASC;SG;3	N;MASC+FEM
اثنا	klockslag	اثنا	klockslag	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
اثنا	tiden	اثنا	tid	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
اثنا	perioden	اثنا	period	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
اثنا	period	اثنا	period	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اثنا	tidsperiod	اثنا	tidsperiod	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اُجاڑنا	förstöra	اُجاڑنا	förstöra	V;SG;NFIN;ACT	V;NFIN;ACT
اُجاڑنا	förgör	اُجاڑنا	förgöra	V;SG;NFIN;ACT	V;IMP;FIN;ACT
اُجاڑنا	förstör	اُجاڑنا	förstör	V;SG;NFIN;ACT	V;IMP;PRS;FIN;ACT
اُجاڑنا	förinta	اُجاڑنا	förinta	V;SG;NFIN;ACT	V;IMP;FIN;ACT
اُجاڑنا	förstöra	اُجاڑنا	förstöra	V;SG;NFIN;ACT	V;NFIN;ACT
اِجازت	ledighet	اِجازت	ledighet	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اِجازت	påföljd	اِجازت	påföljd	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اِجازت	sanktion	اِجازت	sanktion	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اِجازت	tillåtelse	اِجازت	tillåtelse	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اِجازت	behörighet	اِجازت	behörighet	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اِجازت	tillstånd	اِجازت	tillstånd	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
اِجازت	frihet	اِجازت	frihet	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اِجازت	licens	اِجازت	lic	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اُجاگر	manifestet	اُجاگر	manifeste	N;NOM;MASC;SG;3	N;NOM;DEF;NEUT;SG
اُجاگر	manifest	اُجاگر	manifest	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
اُجاگر	bright	اُجاگر	bright	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اُجالنا	rensa	اُجال	rensa	V;MASC;SG;NFIN;ACT	V;IMP;FIN;ACT
اِجتماعی	kollektivt	اِجتماعی	kollektiv	ADJ	ADJ;NOM;INDF;NEUT;SG
اِجتماعی	kollektiva	اِجتماعی	kollektiv	ADJ	ADJ;NOM;PL
اجر	avgift	اجر	avgift	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اجر	arvode	اجر	arvode	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
اجر	uthyrning	اجر	uthyrning	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اجر	belöning	اجر	belöning	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اجر	ersättning	اجر	ersättning	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اجر	lön	اجر	lön	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اجر	ersättning	اجر	ersättning	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اجر	kompensation	اجر	kompensation	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اجرام	organ	اجرام	organ	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
اُجرت	avgift	اُجرت	avgift	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اُجرت	arvode	اُجرت	arvode	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
اُجرت	belöning	اُجرت	belöning	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اُجرت	ersättning	اُجرت	ersättning	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اُجرت	lön	اُجرت	lön	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اُجرت	lön	اُجرت	lön	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اُجڑنا	plundrade	اُجڑ	plundra	V;SG;NFIN;ACT	V;IND;PST;FIN;ACT
اجزا	grundämnen	اجزا	grundämn	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
اجزا	inslag	اجزا	inslag	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
اجزا	element	اجزا	element	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
اجزا	avsnitt	اجزا	avsnitt	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
اجناس	varor	جنس	vara	N;NOM;MASC;PL;3	N;NOM;INDF;MASC+FEM;PL
اجناس	arter	جنس	art	N;NOM;MASC;PL;3	N;NOM;INDF;MASC+FEM;PL
اجناس	kärnor	جنس	kärna	N;NOM;MASC;PL;3	N;NOM;INDF;MASC+FEM;PL
اجیرن	svår	اجیرن	svår	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
اجیرن	svårt	اجیرن	svår	ADJ	ADJ;NOM;INDF;NEUT;SG
اجیرن	besvärliga	اجیرن	besvärlig	ADJ	ADJ;NOM;PL
اجیرن	besvärligt	اجیرن	besvärlig	ADJ	ADJ;NOM;INDF;NEUT;SG
اجیرن	besvärande	اجیرن	besvärja	ADJ	ADJ;NOM;PRS;V.PTCP
اجیرن	besvärlig	اجیرن	besvärlig	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
اُجھکنا	tassa	اُجھک	tass	V;NFIN;ACT	V;IMP;FIN;ACT
اچار	pickles	اچار	pickles	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اُچانا	höj	اُچا	höj	V;MASC;SG;NFIN;ACT	V;IMP;FIN;ACT
اُچانا	höja	اُچا	höja	V;MASC;SG;NFIN;ACT	V;IMP;FIN;ACT
اُچانا	höja	اُچا	höja	V;MASC;SG;NFIN;ACT	V;IMP;FIN;ACT
اُچانا	upphöja	اُچا	upphöja	V;MASC;SG;NFIN;ACT	V;IMP;FIN;ACT
اچانک	plötsligt	اچانک	plötslig	ADV	ADV
اُچکنا	rycka	اُچک	rycka	V;SG;ACT	V;IMP;FIN;ACT
اُچکنا	greppa	اُچک	greppa	V;SG;ACT	V;IMP;FIN;ACT
اُچلنا	separera	اُچل	separera	V;MASC;SG;NFIN;ACT	V;IMP;NFIN;ACT
اُچھالنا	sprida	اُچھال	sprida	V;SG;NFIN;ACT	V;IMP;NFIN;ACT
اُچھالنا	skingra	اُچھال	skingra	V;SG;NFIN;ACT	V;IMP;FIN;ACT
اُچھالنا	främja	اُچھال	främja	V;SG;NFIN;ACT	V;IMP;FIN;ACT
اُچھالنا	marknadsföra	اُچھال	marknadsföra	V;SG;NFIN;ACT	V;IMP;FIN;ACT
اُچھلنا	stiga	اُچھل	stiga	V;SG;NFIN;ACT	V;IMP;NFIN;ACT
اُچھلنا	jubla	اُچھل	jubla	V;SG;NFIN;ACT	V;IMP;FIN;ACT
اُچھلنا	gläds	اُچھل	gläds	V;SG;NFIN;ACT	V;IND;FIN
اِحاطہ	inneslutning	اِحاطہ	inneslutning	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اِحاطہ	gräns	اِحاطہ	gräns	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اِحتمالی	osäkert	اِحتمالی	osäker	ADJ	ADJ;NOM;INDF;NEUT;SG
اِحتمالی	osäker	اِحتمالی	osäker	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
اِحتمالی	oviss	اِحتمالی	oviss	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
اِحتمالی	trolig	اِحتمالی	trolig	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
اِحتمالی	troligt	اِحتمالی	trolig	ADJ	ADJ;NOM;INDF;NEUT;SG
اِحتمالی	troliga	اِحتمالی	trolig	ADJ	ADJ;NOM;PL
اِحتمالی	sannolik	اِحتمالی	sannolik	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
اِحتمالی	troligt	اِحتمالی	trolig	ADJ	ADJ;NOM;INDF;NEUT;SG
اِحتمالی	sannolik	اِحتمالی	sannolik	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
اِحتمالی	hypotetiskt	اِحتمالی	hypotetisk	ADJ	ADJ;NOM;INDF;NEUT;SG
اِحتمالی	hypotetiska	اِحتمالی	hypotetisk	ADJ	ADJ;NOM;PL
اِحتمالی	hypotetisk	اِحتمالی	hypotetisk	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
اِحتمالی	tveksam	اِحتمالی	tveksam	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
اِحتمالی	tveksamt	اِحتمالی	tveksam	ADJ	ADJ;NOM;INDF;NEUT;SG
اِحتمالی	tveksamma	اِحتمالی	tveksam	ADJ	ADJ;NOM;PL
اِحتیاطی	förebyggande	اِحتیاطی	förebygga	ADJ;NOM	ADJ;NOM;PRS;V.PTCP
احکام	kommandon	حکم	kommandon	N;NOM;MASC;PL;3	N;NOM;INDF;NEUT;PL
احکام	beställningar	حکم	beställning	N;NOM;MASC;PL;3	N;NOM;INDF;MASC+FEM;PL
احمقانہ	dumt	احمقانہ	dumt	ADJ	ADJ;NOM;INDF;NEUT;SG
احوال	stat	احوال	stat	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
احوال	delstat	احوال	delstad	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
احوال	skick	احوال	skick	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
احوال	evenemang	احوال	evenemang	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
احوال	tillbud	احوال	tillbud	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
احیاناً	emellanåt	احیاناً	emellanåt	ADV	ADV
احیاناً	ibland	احیاناً	ibland	ADV	ADV
احیاناً	ibland	احیاناً	ibland	ADV	ADV
اخبار	evenemang	اخبار	evenemang	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
اخبار	tidningen	اخبار	tidning	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
اخبار	tidning	اخبار	tidning	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اخبار	dagstidning	اخبار	dagstidning	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اخبار	news	اخبار	news	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اخبار	nyhet	اخبار	nyhet	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اخبار	gazette	اخبار	garette	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اخبار	evenemang	اخبار	evenemang	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
اخبار	tidningen	اخبار	tidning	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
اخبار	tidning	اخبار	tidning	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اخبار	dagstidning	اخبار	dagstidning	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اخبار	news	اخبار	news	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اخبار	nyhet	اخبار	nyhet	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اِختباری	experimentell	اِختباری	experimentell	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اِختباریت	empirism	اِختباریت	empirism	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اِختتامی	senaste	اِختتامی	sen	ADJ	ADJ;NOM;DEF;RL
اِختتامی	sista	اِختتامی	sista	ADJ	ADJ;NOM;DEF;RL
اخترشماری	rastlöshet	اخترشماری	rastlöshet	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اِختراع	uppfinning	اِختراع	uppfinning	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اِختراع	uppfinningsrikedom	اِختراع	uppfinningsrikedom	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اِختراع	innovation	اِختراع	innovation	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
