και	och	και	och	CONJ	CONJ
εθνική	nationellt	εθνικός	nationell	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;NEUT;SG
εθνική	nationell	εθνικός	nationell	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
αρχείο	arkiv	αρχείο	arkiv	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
αρχείο	arkiv	αρχείο	arkiv	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
αρχείο	file	αρχείο	file	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
αρχείο	fil	αρχείο	fil	N;NOM;NEUT;SG	N
φορά	dags	φορά	dags	N;ACC;FEM;SG	N;MASC+FEM
ομάδες	grupper	ομάδα	grupp	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
ομάδες	grupperna	ομάδα	grupp	N;NOM;FEM;PL	N;NOM;DEF;MASC+FEM;PL
έργο	projekt	έργο	projekt	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
έργο	project	έργο	project	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
έργο	projektet	έργο	projekt	N;NOM;NEUT;SG	N;NOM;DEF;NEUT;SG
έργο	arbete	έργο	arbete	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
έργο	work	έργο	work	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
κυρίως	främst	κυρίως	främst	ADV	ADV;RL
κυρίως	huvudsakligen	κυρίως	huvudsakligen	ADV	ADV
κυρίως	oftast	κυρίως	ofta	ADV	ADV;RL
κυρίως	mest	κυρίως	mycket	ADV	ADV;RL
όχι	inte	όχι	inte	PART	PART;NEG
όχι	ej	όχι	ej	PART	PART;NEG
ελληνική	grekiskt	ελληνικός	grekisk	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;NEUT;SG
ελληνική	grekisk	ελληνικός	grekisk	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
μεγάλη	stor	μεγάλος	stor	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
μεγάλη	stort	μεγάλος	stor	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;NEUT;SG
υπό	under	υπό	under	ADP	ADP
ποδοσφαιριστές	fotbollsspelare	ποδοσφαιριστής	fotbollsspelare	N;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;PL
ταινία	film	ταινία	film	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
ταινία	band	ταινία	band	N;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
ταινία	tejp	ταινία	tejp	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
ταινία	film	ταινία	film	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
άλλα	andra	άλλος	annan	PRO;NOM;NEUT;PL;3	PRO;INDF;PL
άλλα	andra	άλλος	annan	PRO;NOM;NEUT;PL;3	PRO;INDF;PL
τμήμα	department	τμήμα	department	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
τμήμα	avdelning	τμήμα	avdelning	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
τμήμα	avdelningen	τμήμα	avdelning	N;NOM;NEUT;SG	N;NOM;DEF;MASC+FEM;SG
τμήμα	departementet	τμήμα	departement	N;NOM;NEUT;SG	N;NOM;DEF;NEUT;SG
τμήμα	avsnitt	τμήμα	avsnitt	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
τμήμα	sektionen	τμήμα	sektion	N;NOM;NEUT;SG	N;NOM;DEF;MASC+FEM;SG
τμήμα	sektion	τμήμα	sektion	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
τμήμα	avdelning	τμήμα	avdelning	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
τμήμα	avsnittet	τμήμα	avsnitt	N;NOM;NEUT;SG	N;NOM;DEF;NEUT;SG
εκεί	där	εκεί	där	ADV	ADV
άλλες	andra	άλλος	annan	PRO;NOM;FEM;PL;3	PRO;INDF;PL
τέλος	slutligen	τέλος	slutligen	ADV	ADV
τέλος	äntligen	τέλος	äntligen	ADV	ADV
στοιχεία	data	στοιχείο	data	N;NOM;NEUT;PL	N;NOM;INDF;NEUT;PL
στοιχεία	uppgifter	στοιχείο	uppgift	N;NOM;NEUT;PL	N;NOM;INDF;MASC+FEM;PL
εκτός	såvida	εκτός	såvida	ADV	ADV
κάτω	neråt	κάτω	neråt	ADV	ADV
κάτω	nere	κάτω	nere	ADV	ADV
κάτω	nedåt	κάτω	nedåt	ADV	ADV
κάτω	ner	κάτω	ner	ADV	ADV
κάτω	undre	κάτω	undre	ADV	ADV;CMPR
κάτω	nedan	κάτω	nedan	ADV	ADV
κάτω	nedanför	κάτω	nedanför	ADV	ADV
σύστημα	systemet	σύστημα	system	N;NOM;NEUT;SG	N;NOM;DEF;NEUT;SG
σύστημα	system	σύστημα	system	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
ακόμα	fortfarande	ακόμα	fortfarande	ADV	ADV
ακόμα	ändå	ακόμα	ändå	ADV	ADV
φορές	gånger	φορά	gång	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
φορές	tider	φορά	tid	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
φορές	tiderna	φορά	tid	N;NOM;FEM;PL	N;NOM;DEF;MASC+FEM;PL
ίδια	identiskt	ίδιος	identisk	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;NEUT;SG
ίδια	identisk	ίδιος	identisk	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
χώρα	landet	χώρα	land	N;NOM;FEM;SG	N;NOM;DEF;NEUT;SG
χώρα	land	χώρα	land	N;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
αγώνες	matcher	αγώνας	matcher	N;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;PL
αγώνες	tändstickor	αγώνας	tändsticka	N;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;PL
αγώνες	lekar	αγώνας	leka	N;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;PL
αγώνες	matcher	αγώνας	matcher	N;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;PL
ταινίες	filmer	ταινία	filma	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
ταινίες	filmer	ταινία	filma	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
μέσω	igenom	μέσω	igenom	ADP	ADP
μέσω	genom	μέσω	genom	ADP	ADP
αυτές	dessa	αυτός	denna	PRO;NOM;FEM;PL;3	PRO;DEF;PL
τρεις	tre	τρεις	tre	NUM;NOM;MASC;PL	NUM;NOM
πολιτική	policy	πολιτική	policy	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
πολιτική	politik	πολιτική	politik	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
πολιτική	policyn	πολιτική	policyn	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
πολιτική	politik	πολιτική	politik	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
ακόμη	fortfarande	ακόμα	fortfarande	ADV	ADV
ακόμη	ändå	ακόμα	ändå	ADV	ADV
μας	våra	μου	vi	PRO;GEN;MASC;PL;1	PRO;DEF;PL
μέλη	medlemmarna	μέλος	medlem	N;NOM;NEUT;PL	N;NOM;DEF;MASC+FEM;PL
μέλη	medlemmar	μέλος	medlem	N;NOM;NEUT;PL	N;NOM;INDF;MASC+FEM;PL
μέλη	ledamöter	μέλος	ledamot	N;NOM;NEUT;PL	N;NOM;INDF;MASC+FEM;PL
τελικά	slutligen	τελικά	slutligen	ADV	ADV
τελικά	äntligen	τελικά	äntligen	ADV	ADV
μέλος	medlem	μέλος	medlem	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
μέλος	medlemmen	μέλος	medlem	N;NOM;NEUT;SG	N;NOM;DEF;MASC+FEM;SG
μέλος	ledamot	μέλος	ledamot	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
χωριό	byn	χωριό	byn	N;NOM;NEUT;SG	N;NOM;DEF;MASC+FEM;SG
χωριό	by	χωριό	by	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
χωριό	village	χωριό	village	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
αρχικά	initialt	αρχικά	initial	ADV	ADV
αρχικά	ursprungligen	αρχικά	ursprungligen	ADV	ADV
αρχικά	ursprungligen	αρχικά	ursprungligen	ADV	ADV
περίοδος	perioden	περίοδος	period	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
περίοδος	period	περίοδος	period	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
περίοδος	tidsperiod	περίοδος	tidsperiod	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
δήμος	kommunen	δήμος	kommun	N;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
δήμος	kommun	δήμος	kommun	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
κύπελλο	kopp	κύπελλος	kopp	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
κύπελλο	cup	κύπελλος	cup	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
έδρα	huvudkontor	έδρα	huvudkontor	N;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
έδρα	huvudkontoret	έδρα	huvudkontor	N;NOM;FEM;SG	N;NOM;DEF;NEUT;SG
έδρα	högkvarter	έδρα	högkvart	N;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
έδρα	högkvarteret	έδρα	högkvarter	N;NOM;FEM;SG	N;NOM;DEF;NEUT;SG
έδρα	säte	έδρα	säte	N;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
περιλαμβάνει	inkluderar	περιλαμβάνω	inkludera	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
περιλαμβάνει	innefattar	περιλαμβάνω	innefatta	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
περιλαμβάνει	ingår	περιλαμβάνω	ingå	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
περιλαμβάνει	inbegriper	περιλαμβάνω	inbegripa	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
μεγάλο	stor	μεγάλος	stor	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;MASC+FEM;SG
μεγάλο	stort	μεγάλος	stor	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;NEUT;SG
μεγάλο	stor	μεγάλος	stor	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;MASC+FEM;SG
μεγάλο	stort	μεγάλος	stor	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;NEUT;SG
κέντρο	centrum	κέντρο	centrum	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
κέντρο	center	κέντρο	cent	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
κέντρο	mitten	κέντρο	mitt	N;NOM;NEUT;SG	N;NOM;DEF;MASC+FEM;SG
κέντρο	centrumet	κέντρο	centrum	N;NOM;NEUT;SG	N;NOM;DEF;NEUT;SG
κέντρο	centrum	κέντρο	centrum	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
κέντρο	centre	κέντρο	cena	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
γεννήσεις	födslar	γεννήση	födsla	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
κάτι	något	κάτι	någon	PRO;NOM;NEUT;SG;3	PRO;INDF;NEUT;SG
κάτι	någonting	κάτι	någonting	PRO;NOM;NEUT;SG;3	PRO;INDF;NEUT;SG
κάτι	nåt	κάτι	nåt	PRO;NOM;NEUT;SG;3	PRO;INDF;NEUT;SG
κοντά	nära	κοντά	nära	ADV	ADV
κοντά	nära	κοντά	nära	ADV	ADV
μορφή	blankett	μορφή	blankett	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
μορφή	formulär	μορφή	formulär	N;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
μορφή	form	μορφή	form	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
μορφή	formatet	μορφή	formate	N;NOM;FEM;SG	N;NOM;DEF;NEUT;SG
μορφή	format	μορφή	format	N;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
χρόνο	dags	χρόνος	dags	N;ACC;MASC;SG	N;MASC+FEM
ιστοσελίδα	webbplatsen	ιστοσελίδα	pebbplats	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
ιστοσελίδα	webbsida	ιστοσελίδα	webbsida	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
ιστοσελίδα	hemsidan	ιστοσελίδα	hemsida	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
ιστοσελίδα	hemsida	ιστοσελίδα	hemsida	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
ιστοσελίδα	webbplats	ιστοσελίδα	pebbplats	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
κόμμα	party	κόμμα	party	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
κόμμα	fest	κόμμα	fest	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
κόμμα	part	κόμμα	part	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
κόμμα	kalas	κόμμα	kala	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
κόμμα	parti	κόμμα	parti	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
γιατί	eftersom	γιατί	eftersom	CONJ	CONJ
άλμπουμ	album	άλμπουμ	album	N;MASC;SG	N;NOM;INDF;NEUT;SG
άλμπουμ	musikalbum	άλμπουμ	musikalbum	N;MASC;SG	N;NOM;INDF;NEUT;SG
άλμπουμ	albumet	άλμπουμ	album	N;MASC;SG	N;NOM;DEF;NEUT;SG
άλμπουμ	album	άλμπουμ	album	N;MASC;SG	N;NOM;INDF;NEUT;SG
επειδή	eftersom	επειδή	eftersom	CONJ	CONJ
αρχές	myndigheter	αρχή	myndighet	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
αρχές	myndigheterna	αρχή	myndighet	N;NOM;FEM;PL	N;NOM;DEF;MASC+FEM;PL
αρχές	principerna	αρχή	princip	N;NOM;FEM;PL	N;NOM;DEF;MASC+FEM;PL
αρχές	principer	αρχή	princip	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
γύρω	omkring	γύρω	omkring	ADV	ADV
γύρω	runt	γύρω	runt	ADV	ADV
συνήθως	vanligtvis	συνήθως	vanligtvis	ADV	ADV
συνήθως	vanligen	συνήθως	vanligen	ADV	ADV
συνήθως	oftast	συνήθως	ofta	ADV	ADV;RL
ονομασία	namn	ονομασία	namn	N;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
ονομασία	name	ονομασία	name	N;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
ονομασία	beteckning	ονομασία	beteckning	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
ονομασία	benämning	ονομασία	benämning	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
τελευταία	senast	τελευταία	senast	ADV	ADV;RL
τελευταία	sist	τελευταία	sist	ADV	ADV;RL
έκανε	gjorde	κάνω	göra	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;PST;FIN;ACT
ξεκίνησε	påbörjade	ξεκινώ	påbörja	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;PST;V.PTCP;ACT
ξεκίνησε	började	ξεκινώ	börja	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;PST;FIN;ACT
ξεκίνησε	startade	ξεκινώ	starta	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;PST;FIN;ACT
είτε	antingen	είτε	antingen	CONJ	CONJ
κυβέρνηση	regering	κυβέρνηση	regering	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
κυβέρνηση	regeringen	κυβέρνηση	regering	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
πήρε	tog	παίρνω	ta	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;PST;FIN;ACT
κάνει	gjort	κάνω	göra	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;V.CVB;ACT
γλώσσα	tungan	γλώσσα	tung	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
γλώσσα	språket	γλώσσα	språk	N;NOM;FEM;SG	N;NOM;DEF;NEUT;SG
γλώσσα	språk	γλώσσα	språk	N;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
γιος	sonen	γιος	son	N;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
γιος	son	γιος	son	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
πανεπιστήμιο	university	πανεπιστήμιο	university	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
πανεπιστήμιο	universitet	πανεπιστήμιο	universitet	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
πανεπιστήμιο	universitetet	πανεπιστήμιο	universitet	N;NOM;NEUT;SG	N;NOM;DEF;NEUT;SG
πανεπιστήμιο	högskola	πανεπιστήμιο	högskola	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
κάποια	vissa	κάποιος	vissa	PRO;NOM;NEUT;PL;3	PRO;INDF;PL
κάποια	somliga	κάποιος	somlig	PRO;NOM;NEUT;PL;3	PRO;INDF;PL
δείτε	see	βλέπω	see	V;PFV;IMP;PL;2;FIN;ACT	V;IMP;FIN;ACT
δείτε	se	βλέπω	se	V;PFV;IMP;PL;2;FIN;ACT	V;IMP;FIN;ACT
δείτε	titta	βλέπω	titta	V;PFV;IMP;PL;2;FIN;ACT	V;IMP;FIN;ACT
συχνά	frekvent	συχνά	frekvent	ADV	ADV
συχνά	ofta	συχνά	ofta	ADV	ADV
συχνά	ofta	συχνά	ofta	ADV	ADV
περιοχές	regioner	περιοχή	region	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
περιοχές	regionerna	περιοχή	region	N;NOM;FEM;PL	N;NOM;DEF;MASC+FEM;PL
περιοχές	områden	περιοχή	område	N;NOM;FEM;PL	N;NOM;INDF;NEUT;PL
περιοχές	områden	περιοχή	område	N;NOM;FEM;PL	N;NOM;INDF;NEUT;PL
πρώην	tidigare	πρώην	tidig	ADV	ADV;CMPR
παράδειγμα	exempel	παράδειγμα	exempel	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
άρθρο	artikeln	άρθρο	artikel	N;NOM;NEUT;SG	N;NOM;DEF;MASC+FEM;SG
άρθρο	artikel	άρθρο	artikel	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
εικόνα	bilden	εικόνα	bild	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
εικόνα	bild	εικόνα	bild	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
εικόνα	avbild	εικόνα	avbild	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
εικόνα	bilden	εικόνα	bild	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
εικόνα	image	εικόνα	image	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
εικόνα	bild	εικόνα	bild	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
έλαβε	fått	λαμβάνω	få	V;PFV;IND;SG;3;PST;FIN;ACT	V;V.CVB;ACT
έλαβε	fick	λαμβάνω	få	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;PST;FIN;ACT
επίσημη	officiell	επίσημος	officiell	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
επίσημη	officiellt	επίσημος	officiell	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;NEUT;SG
επίσημη	formell	επίσημος	formell	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
επίσημη	formellt	επίσημος	formell	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;NEUT;SG
πηγές	källor	πηγή	källa	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
