nicht	नहीं	nicht	नहीं	PART;NEG	PART;NEG
ihr	तुम	ihr	तुम	PRO;NOM;MASC;SG	PRO;NOM;SG;3
ihr	अपने	ihr	अपना	PRO;NOM;MASC;SG	PRO;NOM;MASC
ihr	अपना	ihr	अपना	PRO;NOM;MASC;SG	PRO;NOM;MASC;SG
gemeinde	नगरपालिका	gemeinde	नगरपालिका	N;NOM;FEM;SG	N;NOM;FEM;SG;3
gemeinde	समुदाय	gemeinde	समुदाय	N;NOM;FEM;SG	N;NOM;MASC;SG;3
gemeinde	कम्यून	gemeinde	कम्यून	N;NOM;FEM;SG	N;NOM;MASC;SG;3
erste	प्रथम	erst	प्रथम	ADJ;NOM;FEM;PL	ADJ
band	band	binden	band		
immer	हमेशा	immer	हमेशा	ADV	ADV
nov	nov	nov	nov		
feb	feb	feb	feb		
feb	फर	feb	फर		
verlag	प्रकाशक	verliegen	प्रकाशक	N;NOM;MASC;SG	N;NOM;MASC;SG;3
verlag	प्रकाशक	verliegen	प्रकाशक	N;NOM;MASC;SG	N;NOM;MASC;SG;3
dez	dec	dez	dec		
liste	सूची	lassen	सूची	N;NOM;FEM;SG	N;NOM;FEM;SG;3
liste	प्रविष्टि	lassen	प्रविष्टि	N;NOM;FEM;SG	N;NOM;FEM;SG;3
liste	लिस्टिंग	lassen	लिस्टिंग	N;NOM;FEM;SG	N;NOM;FEM;SG;3
kam	आया	kommen	आ	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;V.PTCP;ACT
kam	आये	kommen	आ	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;V.PTCP;ACT
kam	आए	kommen	आ	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;V.PTCP;ACT
vier	चार	vier	चार	NUM	NUM
seite	पक्ष	seit	पक्ष	N	N;NOM;MASC;SG;3
seite	पृष्ठ	seit	पृष्ठ	N	N;NOM;MASC;SG;3
seite	पेज	seit	पेज	N	N;NOM;MASC;SG;3
seite	साइटें	seit	साइट	N	N;NOM;FEM;PL;3
seite	साइट	seit	साइट	N	N;NOM;FEM;SG;3
seite	साईट	seit	साईट	N	N;NOM;FEM;SG;3
gab	दी	geben	दे	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;V.PTCP;ACT
gab	दिया	geben	दे	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;V.PTCP;ACT
zusammen	साथ	zusammen	साथ	ADV	ADV;NOM;MASC;SG;3
leben	जीना	leben	जी	V;NFIN	V;MASC;SG;NFIN;ACT
weil	क्योंकि	weil	क्योंकि	CONJ	CONJ
bitte	प्लीज	bitte	प्लीज		
bitte	pls	bitte	pls		
bitte	प्लीज	bitte	प्लीज		
bitte	plz	bitte	plz		
relevanz	प्रासंगिक	relevanz	प्रासंगिक	ADJ	ADJ
löschen	मिटा	löschen	मिट	V;NFIN	V;PFV;MASC;SG;V.PTCP;ACT
löschen	हटाना	löschen	हटा	V;NFIN	V;MASC;NFIN;ACT
löschen	हटाना	löschen	हटा	V;NFIN	V;MASC;NFIN;ACT
löschen	हटाएँ	löschen	हटा	V;NFIN	V;SBJV;PL;FIN;ACT
zurück	पीछे	zurück	पीछे	ADV	ADV;NOM;MASC;SG;3
ort	स्थल	ort	स्थल	N;NOM;MASC;SG	N;NOM;MASC;SG;3
ort	स्थान	ort	स्थान	N;NOM;MASC;SG	N;NOM;MASC;SG;3
ort	जगह	ort	जगह	N;NOM;MASC;SG	N;NOM;FEM;SG;3
ort	स्थान	ort	स्थान	N;NOM;MASC;SG	N;NOM;MASC;SG;3
ort	प्लेस	ort	प्लेस	N;NOM;MASC;SG	N;NOM;FEM;SG;3
ort	लोकेशन	ort	लोकेशन	N;NOM;MASC;SG	N;NOM;MASC;SG;3
ort	अवस्थिति	ort	अवस्थिति	N;NOM;MASC;SG	N;NOM;FEM;SG;3
ort	स्थान	ort	स्थान	N;NOM;MASC;SG	N;NOM;MASC;SG;3
wohl	शायद	wohl	शायद	ADV	ADV
wohl	संभवतः	wohl	संभवतः	ADV	ADV
saison	मौसम	saison	मौसम	N;NOM;FEM;SG	N;NOM;MASC;SG;3
saison	ऋतु	saison	ऋतु	N;NOM;FEM;SG	N;NOM;FEM;SG;3
art	प्रकार	art	प्रकार	N;NOM;FEM;SG	N;NOM;MASC;SG;3
art	प्रकार	art	प्रकार	N;NOM;FEM;SG	N;NOM;MASC;SG;3
personen	लोग	Person	लोग	N;NOM;FEM;PL	N;NOM;MASC;PL;3
gut	अच्छे	gut	अच्छा	ADJ	ADJ;NOM;MASC;PL
familie	फैमिली	familie	फैमिली	N;NOM;FEM;SG	N;NOM;FEM;SG;3
familie	परिवार	familie	परिवार	N;NOM;FEM;SG	N;NOM;MASC;SG;3
name	नाम	Name	नाम	N;NOM;SG	N;NOM;MASC;SG;3
behalten	रखें	behalten	रख	V;NFIN	V;SBJV;PL;FIN;ACT
behalten	रखना	behalten	रख	V;NFIN	V;MASC;NFIN;ACT
sohn	बेटा	sohnen	बेटा	N;NOM;MASC;SG	N;NOM;MASC;SG;3
sohn	पुत्र	sohnen	पुत्र	N;NOM;MASC;SG	N;NOM;MASC;SG;3
sohn	बेटे	sohnen	बेटा	N;NOM;MASC;SG	N;NOM;MASC;SG;3
großen	बड़े	groß	बडा	ADJ;PL	ADJ;NOM;MASC;PL
großen	विशाल	groß	विशाल	ADJ;PL	ADJ;NOM
großen	बड़े	groß	बडा	ADJ;PL	ADJ;NOM;MASC;PL
erl	erl	erl	erl		
gehört	सुना	gehören	सुन	V;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
gehört	सुने	gehören	सुन	V;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
gehört	सुना	gehören	सुन	V;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
gehört	सुनी	gehören	सुन	V;V.PTCP	V;PFV;FEM;SG;V.PTCP;ACT
bild	bild	bild	bild		
gelöscht	मिटाया	löschen	मिटा	V;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
große	बड़े	groß	बडा	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;PL
große	विशाल	groß	विशाल	ADJ;NOM;FEM;PL	ADJ;NOM
große	बड़े	groß	बडा	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;PL
große	महान	groß	महान	ADJ;NOM;FEM;PL	ADJ
kommt	आता	kommen	आ	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;SG;V.PTCP;ACT
menschen	लोग	menschen	लोग	N;NOM;PL	N;NOM;MASC;PL;3
danach	फिर	danach	फिर	ADV	ADV
danach	बाद	danach	बाद	ADV	ADV;NOM;MASC;SG;3
fünf	पांच	fünf	पांच	NUM	NUM
fünf	पाँच	fünf	पाँच	NUM	NUM
könig	राजा	könig	राजा	N;NOM;SG	N;NOM;MASC;SG;3
könig	बादशाह	könig	बादशाह	N;NOM;SG	N;NOM;MASC;SG;3
welche	क्या	welch	क्या	PRO;NOM;SG	PRO
form	सांचे	form	सांच	N;SG	N;NOM;MASC;SG;3
form	आकृति	form	आकृति	N;SG	N;NOM;FEM;SG;3
form	आकार	form	आकार	N;SG	N;NOM;MASC;SG;3
form	प्रपत्र	form	प्रपत्र	N;SG	N;NOM;MASC;SG;3
form	फॉर्म	form	फॉर्म	N;SG	N;NOM;MASC;SG;3
form	फार्म	form	फार्म	N;SG	N;NOM;MASC;SG;3
form	रूप	form	रूप	N;SG	N;NOM;MASC;SG;3
gruppe	ग्रुप	grappe	ग्रुप	N;NOM;FEM;SG	N;NOM;MASC;SG;3
gruppe	समूह	grappe	समूह	N;NOM;FEM;SG	N;NOM;MASC;SG;3
finden	ढूंढना	finden	ढूँढ	V;NFIN	V;MASC;NFIN;ACT
finden	ढूंढें	finden	ढूंढ	V;NFIN	V;SBJV;PL;FIN;ACT
finden	ढूँढें	finden	ढूँढ	V;NFIN	V;SBJV;PL;FIN;ACT
finden	पाता	finden	पा	V;NFIN	V;IPFV;MASC;SG;V.PTCP;ACT
genannt	बुलाया	nennen	बुला	V;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
genannt	पुकारा	nennen	पुकार	V;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
letzten	अंतिम	letzt	अंतिम	ADJ;PL	ADJ;NOM
letzten	आखिरी	letzt	आखिरी	ADJ;PL	ADJ
spielte	निभाई	spielen	निभा	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;V.PTCP;ACT
neu	नया	neu	नया	ADJ	ADJ;NOM;MASC;SG
neu	नई	neu	नया	ADJ	ADJ;NOM;FEM;SG
ging	गया	gehen	जा	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;V.PTCP;ACT
ging	गई	gehen	जा	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;V.PTCP;ACT
machen	बनाने	machen	बना	V;NFIN	V;MASC;NFIN;ACT
machen	बनाना	machen	बना	V;NFIN	V;MASC;NFIN;ACT
machen	बनाओ	machen	बना	V;NFIN	V;SBJV;SG;FIN;ACT
machen	बना	machen	बन	V;NFIN	V;PFV;MASC;SG;V.PTCP;ACT
gewann	जीता	gewinnen	जीत	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;V.PTCP;ACT
gewann	जीते	gewinnen	जीत	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;V.PTCP;ACT
gewann	जीती	gewinnen	जीत	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;V.PTCP;ACT
frage	प्रश्न	frage	प्रश्न	N;NOM;FEM;SG	N;NOM;MASC;SG;3
kurz	छोटा	kurz	छोटा	ADJ	ADJ;NOM;MASC;SG
kurz	छोटी	kurz	छोटा	ADJ	ADJ;FEM;SG
unternehmen	कंपनियाँ	unternehmen	कंपनी	N;NOM;NEUT;PL	N;NOM;FEM;PL;3
schließlich	अंततः	schließlich	अंततः	ADV	ADV
schließlich	आखिरकार	schließlich	आखिरकार	ADV	ADV
schließlich	आखिरकार	schließlich	आखिरकार	ADV	ADV
frau	औरत	frau	औरत	N;NOM;FEM;SG	N;NOM;FEM;SG;3
frau	महिला	frau	महिला	N;NOM;FEM;SG	N;NOM;FEM;SG;3
frau	स्त्री	frau	स्त्री	N;NOM;FEM;SG	N;NOM;FEM;SG;3
frau	पत्नी	frau	पत्नी	N;NOM;FEM;SG	N;NOM;FEM;SG;3
frau	बीवी	frau	बीवी	N;NOM;FEM;SG	N;NOM;FEM;SG;3
land	land	land	land		
land	लैंड	land	लैंड		
tod	मोत	tod	मोत		
arbeit	कार्यालय	arbeit	कार्यालय	N;NOM;FEM;SG	N;NOM;MASC;SG;3
arbeit	काम	arbeit	काम	N;NOM;FEM;SG	N;NOM;MASC;SG;3
arbeit	कार्य	arbeit	कार्य	N;NOM;FEM;SG	N;NOM;MASC;SG;3
arbeit	मज़दूर	arbeit	मजदूर	N;NOM;FEM;SG	N;NOM;MASC;SG;3
arbeit	श्रम	arbeit	श्रम	N;NOM;FEM;SG	N;NOM;MASC;SG;3
arbeit	श्रम	arbeit	श्रम	N;NOM;FEM;SG	N;NOM;MASC;SG;3
vielleicht	शायद	vielleicht	शायद	ADV	ADV
vielleicht	शायद	vielleicht	शायद	ADV	ADV
vielleicht	संभवतः	vielleicht	संभवतः	ADV	ADV
oft	अक्सर	oft	अक्सर	ADV	ADV
oft	अक्सर	oft	अक्सर	ADV	ADV
oft	प्रायः	oft	प्रायः	ADV	ADV
landkreis	लैन	landkreis	लैन	N	N;NOM;MASC;SG;3
landkreis	जिला	landkreis	जिला	N	N;NOM;MASC;SG;3
landkreis	डिस्ट्रिक्ट	landkreis	डिस्ट्रिक्ट	N	N;NOM;MASC;SG;3
landkreis	ज़िला	landkreis	ज़िला	N	N;NOM;MASC;SG;3
kategorie	वर्ग	kategorie	वर्ग	N;NOM;FEM;SG	N;NOM;MASC;SG;3
kategorie	श्रेणी	kategorie	श्रेणी	N;NOM;FEM;SG	N;NOM;FEM;SG;3
kategorie	श्रेणी	kategorie	श्रेणी	N;NOM;FEM;SG	N;NOM;FEM;SG;3
bedeutung	प्रासंगिक	bedeutung	प्रासंगिक	ADJ	ADJ
relevant	प्रासंगिक	relevant	प्रासंगिक	ADJ	ADJ
relevant	प्रासंगिक	relevant	प्रासंगिक	ADJ	ADJ
welt	दुनिया	welt	दुनिया	N;NOM;FEM;SG	N;NOM;FEM;SG;3
welt	विश्व	welt	विश्व	N;NOM;FEM;SG	N;NOM;MASC;SG;3
welt	संसार	welt	संसार	N;NOM;FEM;SG	N;NOM;MASC;SG;3
welt	भूगोल	welt	भूगोल	N;NOM;FEM;SG	N;NOM;MASC;SG;3
welt	ग्लोब	welt	ग्लोब	N;NOM;FEM;SG	N;NOM;MASC;SG;3
insbesondere	विशेषकर	insbesondere	विशेषकर	ADV	ADV
insbesondere	विशेषकर	insbesondere	विशेषकर	ADV	ADV
haus	घर	haus	घर	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
haus	मकान	haus	मकान	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
haus	हाउस	haus	हाउस	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
haus	मकान	haus	मकान	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
haus	मुखपृष्ठ	haus	मुखपृष्ठ	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
haus	गृह	haus	गृह	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
haus	घर	haus	घर	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
fand	मिली	finden	मिल	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;V.PTCP;ACT
fand	मिले	finden	मिल	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;V.PTCP;ACT
fand	पाया	finden	पा	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;V.PTCP;ACT
fand	मिला	finden	मिल	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;V.PTCP;ACT
meist	प्रायः	meist	प्रायः	ADV	ADV
meist	अधिकांशतः	meist	अधिकांशतः	ADV	ADV
findet	पाता	finden	पा	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;SG;V.PTCP;ACT
lang	लंबी	lang	लंबा	ADJ	ADJ;NOM;FEM;SG
lang	लंबा	lang	लंबा	ADJ	ADJ;MASC;SG
lang	लम्बी	lang	लंबा	ADJ	ADJ;NOM;FEM;SG
einmal	एकबार	einmal	एकबार	ADV	ADV
besonders	विशेषकर	besonders	विशेषकर	ADV	ADV
besonders	विशेषकर	besonders	विशेषकर	ADV	ADV
besonders	विशेषकर	besonders	विशेषकर	ADV	ADV
begriff	पद	begreifen	पद	N;MASC;SG	N;NOM;MASC;SG;3
begriff	अवधारणा	begreifen	अवधारणा	N;MASC;SG	N;NOM;FEM;SG;3
website	वेबसाइट	websit	वेबसाइट	N;SG	N;NOM;FEM;SG;3
website	जालस्थल	websit	जालस्थल	N;SG	N;NOM;MASC;SG;3
website	साइट	websit	साइट	N;SG	N;NOM;FEM;SG;3
website	साईट	websit	साईट	N;SG	N;NOM;FEM;SG;3
folge	प्रकरण	folge	प्रकरण	N;NOM;FEM;SG	N;NOM;MASC;SG;3
folge	एपिसोड	folge	एपिसोड	N;NOM;FEM;SG	N;NOM;MASC;SG;3
folge	एपीसोड	folge	एपीसोड	N;NOM;FEM;SG	N;NOM;MASC;SG;3
folge	क्रम	folge	क्रम	N;NOM;FEM;SG	N;NOM;MASC;SG;3
folge	अनुक्रम	folge	अनुक्रम	N;NOM;FEM;SG	N;NOM;MASC;SG;3
erhalten	प्राप्त	erhalten	प्राप्त	ADJ;V.PTCP	ADJ
erhalten	प्राप्त	erhalten	प्राप्त	ADJ;V.PTCP	ADJ
innerhalb	भीतर	innerhalb	भीतर	ADV	ADV;NOM;MASC;SG;3
innerhalb	अंदर	innerhalb	अंदर	ADV	ADV;NOM;MASC;SG;3
innerhalb	भीतर	innerhalb	भीतर	ADV	ADV;NOM;MASC;SG;3
eigentlich	दरअसल	eigentlich	दरअसल	ADV	ADV
alten	प्राचीन	alt	प्राचीन	ADJ;NOM;MASC;PL	ADJ;NOM
alten	पुराने	alt	पुराना	ADJ;NOM;MASC;PL	ADJ;MASC;PL
kinder	चाइल्ड्स	kinder	चाइल्ड	N;NOM;NEUT;PL	N;NOM;MASC;PL;3
kinder	बच्चे	kinder	बच्चा	N;NOM;NEUT;PL	N;NOM;MASC;PL;3
gerade	सीधे	gerade	सीधे	ADV	ADV
weg	दूर	weg	दूर	ADV	ADV;NOM;MASC;SG;3
mitte	बीच	mitte	बीच	ADV	ADV;NOM;MASC;SG;3
sechs	छः	sechs	छः	NUM	NUM
sechs	छह	sechs	छह	NUM	NUM
verschiedenen	अलग	verschieden	अलग	ADJ;NOM;PL	ADJ
verschiedenen	विभिन्न	verschieden	विभिन्न	ADJ;NOM;PL	ADJ
museum	संग्रहालय	museum	संग्रहालय	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
musik	संगीत	musik	संगीत	N;NOM;FEM;SG	N;NOM;MASC;SG;3
musik	म्यूज़िक	musik	म्यूज़िक	N;NOM;FEM;SG	N;NOM;MASC;SG;3
möglich	संभव	möglich	संभव	ADJ	ADJ
thema	विषय	thema	विषय	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
thema	प्रसंग	thema	प्रसंग	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
thema	मुद्दा	thema	मुद्दा	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
thema	समस्या	thema	समस्या	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
thema	विषय	thema	विषय	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
rolle	रील	roll	रील	N;NOM;FEM;SG	N;NOM;MASC;SG;3
rolle	भूमिका	roll	भूमिका	N;NOM;FEM;SG	N;NOM;FEM;SG;3
rolle	स्क्रॉल	roll	स्क्रॉल	N;NOM;FEM;SG	N;NOM;MASC;SG;3
damals	फिर	damals	फिर	ADV	ADV
werk	कार्यालय	werk	कार्यालय	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
werk	काम	werk	काम	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
werk	कार्य	werk	कार्य	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
werk	फ़ैक्टरी	werk	फ़ैक्टरी	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
werk	कारखाना	werk	कारखाना	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
werk	फैक्ट्री	werk	फैक्ट्री	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
werk	फैक्टरी	werk	फैक्टरी	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
gewünscht	चाही	wünschen	चाह	V;V.PTCP	V;PFV;FEM;SG;V.PTCP;ACT
entwicklung	विकास	entwicklung	विकास	N;NOM;FEM;SG	N;NOM;MASC;SG;3
entwicklung	एवोल्यूशन	entwicklung	एवोल्यूशन	N;NOM;FEM;SG	N;NOM;MASC;SG;3
bau	निर्माण	bau	निर्माण	N;SG	N;NOM;MASC;SG;3
vater	पिताजी	vater	पिताजी	N;NOM;MASC;SG	N;NOM;MASC;SG;3
vater	पिताजी	vater	पिताजी	N;NOM;MASC;SG	N;NOM;MASC;SG;3
vater	बाप	vater	बाप	N;NOM;MASC;SG	N;NOM;MASC;SG;3
vater	पिता	vater	पिता	N;NOM;MASC;SG	N;NOM;MASC;SG;3
sehen	देख	sehen	देख	V;NFIN	V;ACT
sehen	देखें	sehen	देख	V;NFIN	V;SBJV;PL;FIN;ACT
sehen	देखिए	sehen	देखिया	V;NFIN	V;SBJV;SG;FIN;ACT
schule	विद्यालय	schule	विद्यालय	N;NOM;FEM;SG	N;NOM;MASC;SG;3
schule	स्कूल	schule	स्कूल	N;NOM;FEM;SG	N;NOM;MASC;SG;3
schule	विद्यालय	schule	विद्यालय	N;NOM;FEM;SG	N;NOM;MASC;SG;3
schule	school	schule	school	N;NOM;FEM;SG	N;NOM;MASC;SG;3
schule	स्कूल	schule	स्कूल	N;NOM;FEM;SG	N;NOM;MASC;SG;3
archivierung	संग्रह	archivierung	संग्रह	N;NOM;FEM;SG	N;NOM;MASC;SG;3
archivierung	अभिलेखागार	archivierung	अभिलेखागार	N;NOM;FEM;SG	N;NOM;MASC;SG;3
archivierung	अभिलेख	archivierung	अभिलेख	N;NOM;FEM;SG	N;NOM;MASC;SG;3
archivierung	archival	archivierung	archival	N;NOM;FEM;SG	N;NOM;MASC;SG;3
archivierung	अभिलेखागार	archivierung	अभिलेखागार	N;NOM;FEM;SG	N;NOM;MASC;SG;3
archivierung	अभिलेख	archivierung	अभिलेख	N;NOM;FEM;SG	N;NOM;MASC;SG;3
dorf	गांव	dorf	गाँव	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
stark	मजबूत	stark	मजबूत	ADJ	ADJ
gewählt	चुनी	wählen	चुन	V;V.PTCP	V;PFV;FEM;SG;V.PTCP;ACT
gewählt	चुनी	wählen	चुन	V;V.PTCP	V;PFV;FEM;SG;V.PTCP;ACT
oben	ऊपर	oben	ऊपर	ADV	ADV;NOM;MASC;SG;3
oben	ऊपर	oben	ऊपर	ADV	ADV;NOM;MASC;SG;3
mann	मैन	mann	मैन		
mann	man	mann	ओे		
amt	आफिस	amt	आफिस	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
amt	ऑफिस	amt	ऑफिस	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
amt	कार्यालय	amt	कार्यालय	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
amt	ऑफ़िस	amt	ऑफ़िस	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
amt	दफ्तर	amt	दफ्तर	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
blieb	रुके	bleiben	रुक	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;V.PTCP;ACT
blieb	ठहरे	bleiben	ठहर	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;V.PTCP;ACT
partei	party	partei	party		
wer	कौन	wer	कौन	PRO;NOM;SG	PRO
kleine	छोटे	klein	छोटा	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;PL
kleine	छोटे	klein	छोटा	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;PL
version	वर्जन	version	वर्जन	N;NOM;FEM;SG	N;NOM;MASC;SG;3
version	संस्करण	version	संस्करण	N;NOM;FEM;SG	N;NOM;MASC;SG;3
tage	दिनों	tagen	दिन	N;NOM;MASC;PL	N;NOM;MASC;PL;3
offizielle	सरकारी	offiziell	सरकारी	ADJ;NOM;FEM;PL	ADJ;NOM
offizielle	आधिकारिक	offiziell	आधिकारिक	ADJ;NOM;FEM;PL	ADJ
kommen	आइये	kommen	आ	V;NFIN	V;SBJV;PL;3;FIN;ACT
deutlich	साफ	deutlich	साफ	ADJ	ADJ
autor	रचयिता	autor	रचयिता	N;NOM;MASC;SG	N;NOM;MASC;SG;3
autor	लेखक	autor	लेखक	N;NOM;MASC;SG	N;NOM;MASC;SG;3
spiel	गेम	spielen	गेम	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
spiel	खेल	spielen	खेल	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
spiel	गेम्स	spielen	गेम्स	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
spiel	गेम	spielen	गेम	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
spiel	खेल	spielen	खेल	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
spiel	खेल	spielen	खेल	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
spiel	माचिस	spielen	माचिस	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
spiel	मिलान	spielen	मिलान	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
spiel	मैच	spielen	मैच	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
burg	burg	burg	burg		
serie	श्रेणी	serie	श्रेणी	N;NOM;FEM;SG	N;NOM;FEM;SG;3
serie	श्रंखला	serie	श्रंखला	N;NOM;FEM;SG	N;NOM;FEM;SG;3
erreichte	पहुंचा	erreichen	पहुंच	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;V.PTCP;ACT
verschiedene	अलग	verschieden	अलग	ADJ;NOM;FEM;PL	ADJ
verschiedene	विभिन्न	verschieden	विभिन्न	ADJ;NOM;FEM;PL	ADJ
verschiedene	विभिन्न	verschieden	विभिन्न	ADJ;NOM;FEM;PL	ADJ
verschiedene	वर्गीकृत	verschieden	वर्गीकृत	ADJ;NOM;FEM;PL	ADJ
tag	टैग	tagen	टैग	N;NOM;MASC;SG	N;NOM;MASC;SG;3
tag	दिवस	tagen	दिवस	N;NOM;MASC;SG	N;NOM;MASC;SG;3
tag	दिन	tagen	दिन	N;NOM;MASC;SG	N;NOM;MASC;SG;3
entstand	उभरा	entstehen	उभर	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;V.PTCP;ACT
errichtet	बनवाया	errichten	बन	V;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
errichtet	बनवाई	errichten	बन	V;V.PTCP	V;PFV;FEM;SG;V.PTCP;ACT
einsatz	प्रयोग	einsatz	प्रयोग	N	N;NOM;MASC;SG;3
einsatz	उपयोग	einsatz	उपयोग	N	N;NOM;MASC;SG;3
jahres	वर्ष	jahres	वर्ष	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
jahres	साल	jahres	साल	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
krieg	युद्ध	kriegen	युद्ध	N	N;NOM;MASC;SG;3
krieg	वॉर्स	kriegen	वॉर्स	N	N;NOM;MASC;SG;3
