категория	категория	категория	категория	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
вид	преглед	вид	преглед	N;INAN;NOM;MASC;SG	N;INDF;MASC;SG
под	под	под	под	ADP	ADP
язык	език	язык	език	N;INAN;NOM;MASC;SG	N;INDF;MASC;SG
язык	езикът	язык	език	N;INAN;NOM;MASC;SG	N;DEF;MASC;SG
язык	езика	язык	език	N;INAN;NOM;MASC;SG	N;DEF;MASC;SG
язык	език	язык	език	N;INAN;NOM;MASC;SG	N;INDF;MASC;SG
районе	махала	район	махала	N;INAN;ESS;MASC;SG	N;INDF;FEM;SG
районе	квартал	район	квартал	N;INAN;ESS;MASC;SG	N;INDF;MASC;SG
районе	квартала	район	квартал	N;INAN;ESS;MASC;SG	N;DEF;MASC;SG
код	код	код	код	N;INAN;NOM;MASC;SG	N;INDF;MASC;SG
дата	среща	дата	среща	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
дата	дата	дата	дата	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
ноября	ноември	ноябрь	ноември	N;INAN;GEN;MASC;SG	N;INDF;MASC;SG
деревня	село	деревня	село	N;INAN;NOM;FEM;SG	N;INDF;NEUT;SG
где	къде	где	къде	ADV	ADV
января	януари	январь	януари	N;INAN;GEN;MASC;SG	N;INDF;MASC;SG
марта	марта	март	марта	N;INAN;GEN;MASC;SG	N;INDF;FEM;SG
марта	марта	март	марта	N;INAN;GEN;MASC;SG	N;INDF;FEM;SG
марта	март	март	март	N;INAN;GEN;MASC;SG	N;INDF;MASC;SG
все	всичко	все	всеки	PRO;INAN;NOM;NEUT;SG	PRO;NOM;NEUT;SG
все	всичко	все	всеки	PRO;INAN;NOM;NEUT;SG	PRO;NOM;NEUT;SG
все	всеки	все	всеки	PRO;INAN;NOM;NEUT;SG	PRO;NOM;MASC;SG
августа	август	август	август	N;INAN;GEN;MASC;SG	N;INDF;MASC;SG
августа	аугуста	август	аугуст	N;INAN;GEN;MASC;SG	N;INDF;FEM;SG
октября	октомври	октябрь	октомври	N;INAN;GEN;MASC;SG	N;INDF;MASC;SG
октября	ост	октябрь	ост	N;INAN;GEN;MASC;SG	N;INDF;FEM;SG
октября	октомври	октябрь	октомври	N;INAN;GEN;MASC;SG	N;INDF;MASC;SG
сентября	септември	сентябрь	септември	N;INAN;GEN;MASC;SG	N;INDF;MASC;SG
статьи	изделия	статья	изделие	N;INAN;NOM;FEM;PL	N;INDF;NEUT;PL
статьи	статии	статья	статия	N;INAN;NOM;FEM;PL	N;INDF;FEM;PL
статьи	артикули	статья	артикул	N;INAN;NOM;FEM;PL	N;INDF;MASC;PL
уже	вече	уже	вече	ADV	ADV
июня	джун	июнь	джун	N;INAN;GEN;MASC;SG	N;INDF;MASC;SG
июня	юни	июнь	юни	N;INAN;GEN;MASC;SG	N;INDF;MASC;SG
апреля	април	апрель	април	N;INAN;GEN;MASC;SG	N;INDF;MASC;SG
который	което	который	който	PRO;NOM	PRO;NOM;NEUT;SG
который	която	который	който	PRO;NOM	PRO;NOM;FEM;SG
название	името	название	име	N;INAN;NOM;NEUT;SG	N;DEF;NEUT;SG
название	наименование	название	наименование	N;INAN;NOM;NEUT;SG	N;INDF;NEUT;SG
название	име	название	име	N;INAN;NOM;NEUT;SG	N;INDF;NEUT;SG
название	заглавие	название	заглавие	N;INAN;NOM;NEUT;SG	N;INDF;NEUT;SG
название	дял	название	дял	N;INAN;NOM;NEUT;SG	N;INDF;MASC;SG
название	титла	название	титла	N;INAN;NOM;NEUT;SG	N;INDF;FEM;SG
поселение	сетълмент	поселение	сетълмент	N;INAN;NOM;NEUT;SG	N;INDF;MASC;SG
поселение	уреждане	поселение	уреждане	N;INAN;NOM;NEUT;SG	N;INDF;NEUT;SG
поселение	селище	поселение	селище	N;INAN;NOM;NEUT;SG	N;INDF;NEUT;SG
человек	човек	человек	човек	N;ANIM;NOM;MASC;SG	N;INDF;MASC;SG
человек	личност	человек	личност	N;ANIM;NOM;MASC;SG	N;INDF;FEM;SG
человек	човек	человек	човек	N;ANIM;NOM;MASC;SG	N;INDF;MASC;SG
человек	човек	человек	човек	N;ANIM;NOM;MASC;SG	N;INDF;MASC;SG
человек	мъж	человек	мъж	N;ANIM;NOM;MASC;SG	N;INDF;MASC;SG
лет	години	год	година	N;INAN;GEN;MASC;PL	N;INDF;FEM;PL
лет	годините	год	година	N;INAN;GEN;MASC;PL	N;DEF;FEM;PL
февраля	февруари	февраль	февруари	N;INAN;GEN;MASC;SG	N;INDF;MASC;SG
февраля	февруари	февраль	февруари	N;INAN;GEN;MASC;SG	N;INDF;MASC;SG
они	те	они	аз	PRO;NOM;PL;3	PRO;NOM;PL;3
города	градове	город	град	N;INAN;NOM;MASC;PL	N;INDF;MASC;PL
города	градовете	город	град	N;INAN;NOM;MASC;PL	N;DEF;MASC;PL
города	градчета	город	градче	N;INAN;NOM;MASC;PL	N;INDF;NEUT;PL
города	градове	город	град	N;INAN;NOM;MASC;PL	N;INDF;MASC;PL
города	градовете	город	град	N;INAN;NOM;MASC;PL	N;DEF;MASC;PL
она	тя	она	аз	PRO;NOM;FEM;SG;3	PRO;NOM;FEM;SG;3
войны	войните	война	войн	N;INAN;NOM;FEM;PL	N;DEF;MASC;PL
войны	войни	война	война	N;INAN;NOM;FEM;PL	N;INDF;FEM;PL
которые	което	который	който	PRO;NOM	PRO;NOM;NEUT;SG
которые	която	который	който	PRO;NOM	PRO;NOM;FEM;SG
высота	височина	высота	височина	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
высота	ръст	высота	ръст	N;INAN;NOM;FEM;SG	N;INDF;MASC;SG
высота	височина	высота	височина	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
переписи	преброявания	перепись	преброяване	N;INAN;NOM;FEM;PL	N;INDF;NEUT;PL
село	село	село	село	N;INAN;NOM;NEUT;SG	N;INDF;NEUT;SG
статья	статия	статья	статия	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
статья	член	статья	член	N;INAN;NOM;FEM;SG	N;INDF;MASC;SG
род	род	род	род	N;ANIM;NOM;MASC;SG	N;INDF;MASC;SG
род	прът	род	прът	N;ANIM;NOM;MASC;SG	N;INDF;MASC;SG
род	род	род	род	N;ANIM;NOM;MASC;SG	N;INDF;MASC;SG
один	една	один	един	NUM;NOM;MASC	NUM;INDF;FEM;SG
один	един	один	един	NUM;NOM;MASC	NUM;INDF;MASC;SG
один	едно	один	един	NUM;NOM;MASC	NUM;INDF;NEUT;SG
без	без	без	без	ADP	ADP
реки	реки	река	река	N;INAN;NOM;FEM;PL	N;INDF;FEM;PL
реки	реките	река	река	N;INAN;NOM;FEM;PL	N;DEF;FEM;PL
между	между	между	между	ADP	ADP
статус	статус	статус	статус	N;INAN;NOM;MASC;SG	N;INDF;MASC;SG
статус	състояние	статус	състояние	N;INAN;NOM;MASC;SG	N;INDF;NEUT;SG
статус	положение	статус	положение	N;INAN;NOM;MASC;SG	N;INDF;NEUT;SG
статус	статут	статус	статут	N;INAN;NOM;MASC;SG	N;INDF;MASC;SG
населения	популация	население	популация	N;INAN;GEN;NEUT;SG	N;INDF;FEM;SG
населения	население	население	население	N;INAN;GEN;NEUT;SG	N;INDF;NEUT;SG
годы	години	год	година	N;INAN;ACC;MASC;PL	N;INDF;FEM;PL
годы	годините	год	година	N;INAN;ACC;MASC;PL	N;DEF;FEM;PL
через	чрез	через	чрез	ADP	ADP
через	чрез	через	чрез	ADP	ADP
через	през	через	през	ADP	ADP
национальный	национална	национальный	национален	ADJ;NOM;MASC;SG	ADJ;INDF;FEM;SG
национальный	национален	национальный	национален	ADJ;NOM;MASC;SG	ADJ;INDF;MASC;SG
область	провинцията	область	провинция	N;INAN;NOM;FEM;SG	N;DEF;FEM;SG
область	провинция	область	провинция	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
область	район	область	район	N;INAN;NOM;FEM;SG	N;INDF;MASC;SG
область	регион	область	регион	N;INAN;NOM;FEM;SG	N;INDF;MASC;SG
область	област	область	област	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
область	област	область	област	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
область	зона	область	зона	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
область	площ	область	площ	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
область	област	область	област	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
область	район	область	район	N;INAN;NOM;FEM;SG	N;INDF;MASC;SG
список	списък	список	списък	N;INAN;NOM;MASC;SG	N;INDF;MASC;SG
сельское	селски	сельский	селски	ADJ;NOM;NEUT;SG	ADJ;INDF;MASC;SG
сельское	селска	сельский	селски	ADJ;NOM;NEUT;SG	ADJ;INDF;FEM;SG
сайт	уебсайт	сайт	уебсайт	N;INAN;NOM;MASC;SG	N;INDF;MASC;SG
сайт	сайт	сайт	сайт	N;INAN;NOM;MASC;SG	N;INDF;MASC;SG
сайт	сайт	сайт	сайт	N;INAN;NOM;MASC;SG	N;INDF;MASC;SG
века	възрасти	век	възраст	N;INAN;NOM;MASC;PL	N;INDF;FEM;PL
века	вековете	век	век	N;INAN;NOM;MASC;PL	N;DEF;MASC;PL
века	столетия	век	столетие	N;INAN;NOM;MASC;PL	N;INDF;NEUT;PL
века	векове	век	век	N;INAN;NOM;MASC;PL	N;INDF;MASC;PL
официальный	официален	официальный	официален	ADJ;NOM;MASC;SG	ADJ;INDF;MASC;SG
официальный	официална	официальный	официален	ADJ;NOM;MASC;SG	ADJ;INDF;FEM;SG
часть	част	часть	част	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
против	срещу	против	срещу	ADP	ADP
против	против	против	против	ADP	ADP
несколько	донякъде	несколько	дякъде	ADV	ADV
город	град	город	град	N;INAN;NOM;MASC;SG	N;INDF;MASC;SG
город	градът	город	град	N;INAN;NOM;MASC;SG	N;DEF;MASC;SG
город	градче	город	градче	N;INAN;NOM;MASC;SG	N;INDF;NEUT;SG
город	град	город	град	N;INAN;NOM;MASC;SG	N;INDF;MASC;SG
город	градът	город	град	N;INAN;NOM;MASC;SG	N;DEF;MASC;SG
город	сити	город	сит	N;INAN;NOM;MASC;SG	N;INDF;MASC;SG
мира	мир	мир	мир	N;INAN;GEN;MASC;SG	N;INDF;MASC;SG
мира	мира	мир	мир	N;INAN;GEN;MASC;SG	N;INDF;FEM;SG
первое	първи	первый	първи	ADJ;NOM;NEUT;SG	ADJ;INDF;MASC;SG
части	части	часть	част	N;INAN;NOM;FEM;PL	N;INDF;FEM;PL
описание	описание	описание	описание	N;INAN;NOM;NEUT;SG	N;INDF;NEUT;SG
первый	първи	первый	първи	ADJ;NOM;MASC;SG	ADJ;INDF;MASC;SG
среди	сред	среди	сред	ADP	ADP
файл	файл	файл	файл	N;INAN;NOM;MASC;SG	N;INDF;MASC;SG
файл	файлът	файл	файл	N;INAN;NOM;MASC;SG	N;DEF;MASC;SG
файл	досие	файл	досие	N;INAN;NOM;MASC;SG	N;INDF;NEUT;SG
карты	картите	карта	карта	N;INAN;NOM;FEM;PL	N;DEF;FEM;PL
карты	карти	карта	карта	N;INAN;NOM;FEM;PL	N;INDF;FEM;PL
карты	картички	карта	картичка	N;INAN;NOM;FEM;PL	N;INDF;FEM;PL
карты	картите	карта	карта	N;INAN;NOM;FEM;PL	N;DEF;FEM;PL
карты	карти	карта	карта	N;INAN;NOM;FEM;PL	N;INDF;FEM;PL
два	двама	два	двама	NUM;NOM;MASC	NUM;INDF;PL
два	две	два	два	NUM;NOM;MASC	NUM;INDF;FEM;PL
там	там	там	там	ADV	ADV
территории	териториите	территория	територия	N;INAN;NOM;FEM;PL	N;DEF;FEM;PL
территории	територии	территория	територия	N;INAN;NOM;FEM;PL	N;INDF;FEM;PL
второй	втора	второй	втори	ADJ;NOM;MASC;SG	ADJ;INDF;FEM;SG
второй	втори	второй	втори	ADJ;NOM;MASC;SG	ADJ;INDF;MASC;SG
очень	много	очень	много	ADV	ADV;INDF;PL
главы	глави	глава	глава	N;ANIM;NOM;MASC;PL	N;INDF;FEM;PL
карта	карта	карта	карта	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
карта	картата	карта	карта	N;INAN;NOM;FEM;SG	N;DEF;FEM;SG
карта	карта	карта	карта	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
карта	картичка	карта	картичка	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
площадь	plaza	площадь	plaza	N;INAN;NOM;FEM;SG	N;INDF;MASC;SG
площадь	плаза	площадь	плаза	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
площадь	квадрат	площадь	квадрат	N;INAN;NOM;FEM;SG	N;INDF;MASC;SG
площадь	площад	площадь	площад	N;INAN;NOM;FEM;SG	N;INDF;MASC;SG
площадь	зона	площадь	зона	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
площадь	площ	площадь	площ	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
площадь	област	площадь	област	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
площадь	район	площадь	район	N;INAN;NOM;FEM;SG	N;INDF;MASC;SG
всё	всичко	все	всеки	PRO;INAN;NOM;NEUT;SG	PRO;NOM;NEUT;SG
даже	дори	даже	дори	PART	PART
даже	даже	даже	даже	PART	PART
затем	тогава	затем	тогава	ADV	ADV
группы	групи	группа	група	N;INAN;NOM;FEM;PL	N;INDF;FEM;PL
основания	основания	основание	основание	N;INAN;NOM;NEUT;PL	N;INDF;NEUT;PL
размер	големина	размер	големина	N;INAN;NOM;MASC;SG	N;INDF;FEM;SG
размер	размер	размер	размер	N;INAN;NOM;MASC;SG	N;INDF;MASC;SG
поселения	селища	поселение	селище	N;INAN;NOM;NEUT;PL	N;INDF;NEUT;PL
почтовый	пощенски	почтовый	пощенски	ADJ;NOM;MASC;SG	ADJ;INDF;MASC;SG
над	над	над	над	ADP	ADP
страны	държави	страна	държава	N;INAN;NOM;FEM;PL	N;INDF;FEM;PL
страны	страни	страна	страна	N;INAN;NOM;FEM;PL	N;INDF;FEM;PL
входит	влиза	входить	влизам	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
индекс	индекс	индекс	индекс	N;INAN;NOM;MASC;SG	N;INDF;MASC;SG
индекс	показател	индекс	показател	N;INAN;NOM;MASC;SG	N;INDF;MASC;SG
улица	улица	улица	улица	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
улица	стрийт	улица	стрийт	N;INAN;NOM;FEM;SG	N;INDF;MASC;SG
улица	улицата	улица	улица	N;INAN;NOM;FEM;SG	N;DEF;FEM;SG
население	население	население	население	N;INAN;NOM;NEUT;SG	N;INDF;NEUT;SG
население	популация	население	популация	N;INAN;NOM;NEUT;SG	N;INDF;FEM;SG
население	население	население	население	N;INAN;NOM;NEUT;SG	N;INDF;NEUT;SG
имена	наименования	имя	наименование	N;INAN;NOM;NEUT;PL	N;INDF;NEUT;PL
имена	имената	имя	име	N;INAN;NOM;NEUT;PL	N;DEF;NEUT;PL
имена	имена	имя	име	N;INAN;NOM;NEUT;PL	N;INDF;NEUT;PL
вместе	заедно	вместе	заедно	ADV	ADV
упоминание	споменаване	упоминание	споменаване	N;INAN;NOM;NEUT;SG	N;INDF;NEUT;SG
здесь	тук	здесь	там	ADV	ADV
истории	истории	история	история	N;INAN;NOM;FEM;PL	N;INDF;FEM;PL
истории	разкази	история	разказ	N;INAN;NOM;FEM;PL	N;INDF;MASC;PL
которая	което	который	който	PRO;NOM	PRO;NOM;NEUT;SG
которая	която	который	който	PRO;NOM	PRO;NOM;FEM;SG
армии	армията	армия	армия	N;INAN;NOM;FEM;SG	N;DEF;FEM;SG
армии	армеец	армия	армеец	N;INAN;NOM;FEM;SG	N;INDF;MASC;SG
армии	армия	армия	армия	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
деление	участък	деление	участък	N;INAN;NOM;NEUT;SG	N;INDF;MASC;SG
деление	разделение	деление	разделение	N;INAN;NOM;NEUT;SG	N;INDF;NEUT;SG
деление	дивизия	деление	дивизия	N;INAN;NOM;NEUT;SG	N;INDF;FEM;SG
деление	деление	деление	деление	N;INAN;NOM;NEUT;SG	N;INDF;NEUT;SG
деление	подразделение	деление	подразделение	N;INAN;NOM;NEUT;SG	N;INDF;NEUT;SG
деление	делене	деление	делене	N;INAN;NOM;NEUT;SG	N;INDF;NEUT;SG
кроме	освен	кроме	освен	ADP	ADP
игроки	играчи	игрок	играч	N;ANIM;NOM;MASC;PL	N;INDF;MASC;PL
другие	други	другой	друг	ADJ;NOM;PL	ADJ;INDF;PL
другие	другите	другой	друг	ADJ;NOM;PL	ADJ;DEF;PL
другие	други	другой	друг	ADJ;NOM;PL	ADJ;INDF;PL
история	приказка	история	приказка	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
история	история	история	история	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
история	историята	история	история	N;INAN;NOM;FEM;SG	N;DEF;FEM;SG
история	история	история	история	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
совета	съветът	совет	съвет	N;INAN;GEN;MASC;SG	N;DEF;MASC;SG
совета	съвет	совет	съвет	N;INAN;GEN;MASC;SG	N;INDF;MASC;SG
совета	съвета	совет	съвет	N;INAN;GEN;MASC;SG	N;DEF;MASC;SG
фильм	филм	фильм	филм	N;INAN;NOM;MASC;SG	N;INDF;MASC;SG
фильм	филм	фильм	филм	N;INAN;NOM;MASC;SG	N;INDF;MASC;SG
фильм	лента	фильм	лента	N;INAN;NOM;MASC;SG	N;INDF;FEM;SG
рождения	раждането	рождение	раждане	N;INAN;NOM;NEUT;SG	N;DEF;NEUT;SG
рождения	раждане	рождение	раждане	N;INAN;NOM;NEUT;SG	N;INDF;NEUT;SG
рождения	рождение	рождение	рождение	N;INAN;NOM;NEUT;SG	N;INDF;NEUT;SG
пункты	позиции	пункт	позиция	N;INAN;NOM;MASC;PL	N;INDF;FEM;PL
пункты	артикули	пункт	артикул	N;INAN;NOM;MASC;PL	N;INDF;MASC;PL
пункты	предмети	пункт	предмет	N;INAN;NOM;MASC;PL	N;INDF;MASC;PL
пункты	елементи	пункт	елемент	N;INAN;NOM;MASC;PL	N;INDF;MASC;PL
пункты	параграфи	пункт	параграф	N;INAN;NOM;MASC;PL	N;INDF;MASC;PL
времени	времето	время	време	N;INAN;GEN;NEUT;SG	N;DEF;NEUT;SG
времени	време	время	време	N;INAN;GEN;NEUT;SG	N;INDF;NEUT;SG
участник	член	участник	член	N;ANIM;NOM;MASC;SG	N;INDF;MASC;SG
участник	участник	участник	участник	N;ANIM;NOM;MASC;SG	N;INDF;MASC;SG
страница	страница	страница	страница	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
страница	страницата	страница	страница	N;INAN;NOM;FEM;SG	N;DEF;FEM;SG
участие	участие	участие	участие	N;INAN;NOM;NEUT;SG	N;INDF;NEUT;SG
участие	участието	участие	участие	N;INAN;NOM;NEUT;SG	N;DEF;NEUT;SG
участие	участие	участие	участие	N;INAN;NOM;NEUT;SG	N;INDF;NEUT;SG
три	три	три	три	NUM;NOM	NUM;INDF;PL
три	трима	три	трима	NUM;NOM	NUM;INDF;PL
человека	човек	человек	човек	N;ANIM;ACC;MASC;SG	N;INDF;MASC;SG
автор	автор	автор	автор	N;ANIM;NOM;MASC;SG	N;INDF;MASC;SG
внутреннее	вътрешна	внутренний	вътрешен	ADJ;NOM;NEUT;SG	ADJ;INDF;FEM;SG
внутреннее	вътрешен	внутренний	вътрешен	ADJ;NOM;NEUT;SG	ADJ;INDF;MASC;SG
внутреннее	вътрешна	внутренний	вътрешен	ADJ;NOM;NEUT;SG	ADJ;INDF;FEM;SG
внутреннее	вътрешен	внутренний	вътрешен	ADJ;NOM;NEUT;SG	ADJ;INDF;MASC;SG
эти	тези	этот	този	DET;NOM;PL	DET;PL
статей	изделия	статья	изделие	N;INAN;GEN;FEM;PL	N;INDF;NEUT;PL
статей	статии	статья	статия	N;INAN;GEN;FEM;PL	N;INDF;FEM;PL
статей	артикули	статья	артикул	N;INAN;GEN;FEM;PL	N;INDF;MASC;PL
случае	случай	случай	случай	N;INAN;ESS;MASC;SG	N;INDF;MASC;SG
случае	дело	случай	дело	N;INAN;ESS;MASC;SG	N;INDF;NEUT;SG
случае	кейс	случай	кейс	N;INAN;ESS;MASC;SG	N;INDF;MASC;SG
случае	случаят	случай	случай	N;INAN;ESS;MASC;SG	N;DEF;MASC;SG
случае	каса	случай	каса	N;INAN;ESS;MASC;SG	N;INDF;FEM;SG
центр	център	центр	център	N;INAN;NOM;MASC;SG	N;INDF;MASC;SG
центр	център	центр	център	N;INAN;NOM;MASC;SG	N;INDF;MASC;SG
округ	окръг	округ	окръг	N;INAN;NOM;MASC;SG	N;INDF;MASC;SG
округ	графство	округ	графство	N;INAN;NOM;MASC;SG	N;INDF;NEUT;SG
округ	окръг	округ	окръг	N;INAN;NOM;MASC;SG	N;INDF;MASC;SG
округ	област	округ	област	N;INAN;NOM;MASC;SG	N;INDF;FEM;SG
округ	район	округ	район	N;INAN;NOM;MASC;SG	N;INDF;MASC;SG
жизни	животи	жизнь	живот	N;INAN;NOM;FEM;PL	N;INDF;MASC;PL
генерал	генерал	генерал	генерал	N;ANIM;NOM;MASC;SG	N;INDF;MASC;SG
союза	профсъюз	союз	профсъюз	N;INAN;GEN;MASC;SG	N;INDF;MASC;SG
союза	съюз	союз	съюз	N;INAN;GEN;MASC;SG	N;INDF;MASC;SG
союза	съюза	союз	съюз	N;INAN;GEN;MASC;SG	N;DEF;MASC;SG
союза	юниън	союз	юниън	N;INAN;GEN;MASC;SG	N;INDF;MASC;SG
кто	кой	кто	кой	PRO;NOM	PRO;NOM;MASC;SG
связи	връзки	связь	връзка	N;INAN;NOM;FEM;PL	N;INDF;FEM;PL
связи	комуникации	связь	комуникация	N;INAN;NOM;FEM;PL	N;INDF;FEM;PL
день	денят	день	ден	N;INAN;NOM;MASC;SG	N;DEF;MASC;SG
день	ден	день	ден	N;INAN;NOM;MASC;SG	N;INDF;MASC;SG
период	период	период	период	N;INAN;NOM;MASC;SG	N;INDF;MASC;SG
община	общност	община	общност	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
община	общността	община	общност	N;INAN;NOM;FEM;SG	N;DEF;FEM;SG
индексы	индекси	индекс	индекс	N;INAN;NOM;MASC;PL	N;INDF;MASC;PL
индексы	индекси	индекс	индекс	N;INAN;NOM;MASC;PL	N;INDF;MASC;PL
группа	група	группа	група	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
группа	групиране	группа	групиране	N;INAN;NOM;FEM;SG	N;INDF;NEUT;SG
имя	името	имя	име	N;INAN;NOM;NEUT;SG	N;DEF;NEUT;SG
имя	наименование	имя	наименование	N;INAN;NOM;NEUT;SG	N;INDF;NEUT;SG
имя	име	имя	име	N;INAN;NOM;NEUT;SG	N;INDF;NEUT;SG
игры	игри	игра	игра	N;INAN;NOM;FEM;PL	N;INDF;FEM;PL
цифровой	дигитален	цифровой	дигитален	ADJ;NOM;MASC;SG	ADJ;INDF;MASC;SG
цифровой	цифрова	цифровой	цифров	ADJ;NOM;MASC;SG	ADJ;INDF;FEM;SG
поэтому	следователно	поэтому	следователно	ADV	ADV
идентификатор	идентификатор	идентификатор	идентификатор	N;INAN;NOM;MASC;SG	N;INDF;MASC;SG
ширина	широчина	ширина	широчина	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
ширина	ширина	ширина	ширина	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
регион	район	регион	район	N;INAN;NOM;MASC;SG	N;INDF;MASC;SG
регион	регион	регион	регион	N;INAN;NOM;MASC;SG	N;INDF;MASC;SG
регион	област	регион	област	N;INAN;NOM;MASC;SG	N;INDF;FEM;SG
тогда	тогава	тогда	тогава	ADV	ADV
работал	работил	работать	работя	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IPFV;INDF;MASC;SG;PST;V.PTCP;ACT
церкви	църква	церковь	църква	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
церкви	църквата	церковь	църква	N;INAN;NOM;FEM;SG	N;DEF;FEM;SG
клуб	клуб	клуб	клуб	N;INAN;NOM;MASC;SG	N;INDF;MASC;SG
клуб	клубът	клуб	клуб	N;INAN;NOM;MASC;SG	N;DEF;MASC;SG
наук	науките	наука	наука	N;INAN;GEN;FEM;PL	N;DEF;FEM;PL
наук	науки	наука	наука	N;INAN;GEN;FEM;PL	N;INDF;FEM;PL
ввп	бвп	ввп	бвп	N;INAN;NOM;MASC;SG	N;INDF;MASC;SG
федерации	федерации	федерация	федерация	N;INAN;NOM;FEM;PL	N;INDF;FEM;PL
