van	de	van	de	ADP	ADP
geldig	válidos	geldig	válido	ADJ	ADJ;MASC;PL
geldig	válido	geldig	válido	ADJ	ADJ;MASC;SG
geldig	válida	geldig	válido	ADJ	ADJ;FEM;SG
geldig	válidas	geldig	válido	ADJ	ADJ;FEM;PL
dit	esta	dit	este	PRO;3	PRO;FEM;SG
dit	isso	dit	isso	PRO;3	PRO;MASC;SG
dit	isto	dit	isto	PRO;3	PRO;MASC;SG
dit	essa	dit	esse	PRO;3	PRO;FEM;SG
over	sobre	over	sobre	ADP	ADP
heeft	tem	hebben	ter	V;SG;PRS;FIN	V;IND;SG;3;PRS;FIN
dan	então	dan	então	ADV	ADV
dan	depois	dan	depois	ADV	ADV
plaats	lugar	plaats	lugar	N;MASC+FEM;SG	N;MASC;SG
plaats	place	plaats	place	N;MASC+FEM;SG	N;MASC;SG
plaats	local	plaats	local	N;MASC+FEM;SG	N;MASC;SG
plaats	sítio	plaats	sítio	N;MASC+FEM;SG	N;MASC;SG
onder	sob	onder	sob	ADP	ADP
team	squad	team	squad	N;NEUT;SG	N;MASC;SG
team	pelotão	team	pelotão	N;NEUT;SG	N;MASC;SG
team	esquadrão	team	esquadrão	N;NEUT;SG	N;MASC;SG
team	team	team	team	N;NEUT;SG	N;MASC;SG
team	equipa	team	equipa	N;NEUT;SG	N;FEM;SG
team	time	team	time	N;NEUT;SG	N;MASC;SG
team	equipe	team	equipe	N;NEUT;SG	N;FEM;SG
nog	ainda	nog	ainda	ADV	ADV
eerste	primeira	één	primeiro	ADJ	ADJ;FEM;SG
eerste	primeiros	één	primeiro	ADJ	ADJ;MASC;PL
kan	poderia	kunnen	poder	V;SG;PRS;FIN	V;COND;SG;3;FIN
kan	pode	kunnen	poder	V;SG;PRS;FIN	V;IND;SG;3;PRS;FIN
geen	nenhum	geen	nenhum	DET	DET;MASC;SG
geen	nenhuma	geen	nenhum	DET	DET;FEM;SG
wel	bem	wel	bem	ADV	ADV
jaar	years	jaar	years	N;NEUT;SG	N;MASC;SG
jaar	ano	jaar	ano	N;NEUT;SG	N;MASC;SG
twee	duas	twee	dois	NUM	NUM
twee	dois	twee	dois	NUM	NUM
inwoners	habitantes	inwoner	habitante	N;PL	N;PL
inwoners	residentes	inwoner	residente	N;PL	N;MASC;PL
inwoners	moradores	inwoner	morador	N;PL	N;MASC;PL
deel	part	deel	part	N;NEUT;SG	N;MASC;SG
deel	parte	deel	parte	N;NEUT;SG	N;FEM;SG
deel	partilha	deel	partilha	N;NEUT;SG	N;FEM;SG
deel	compartilhamento	deel	compartilhamento	N;NEUT;SG	N;MASC;SG
externe	externo	extern	externo	ADJ	ADJ;MASC;SG
externe	externos	extern	externo	ADJ	ADJ;MASC;PL
overleg	consulta	overleg	consulta	N;NEUT;SG	N;FEM;SG
tussen	entre	tussen	entre	ADP	ADP
had	tive	hebben	ter	V;SG;PST;FIN	V;IND;SG;1;PST;FIN
had	teve	hebben	ter	V;SG;PST;FIN	V;IND;SG;3;PST;FIN
waar	aonde	waar	aonde	ADV	ADV
waar	onde	waar	onde	ADV	ADV
hebben	ter	hebben	ter	V;PL;PRS;FIN	V;NFIN
veel	muitos	veel	muito	PRO	PRO;MASC;PL
veel	muitas	veel	muito	PRO	PRO;FEM;PL
tegen	contra	tegen	contra	ADP	ADP
tweede	segunda	twee	segundo	ADJ	ADJ;FEM;SG
waren	foram	zijn	ser	V;PL;PST;FIN	V;IND;PL;3;PST;FIN
kunnen	podem	kunnen	poder	V;PL;PRS;FIN	V;IND;PL;3;PRS;FIN
zie	veja	zien	ver	V;SG;PRS;FIN	V;SBJV;SG;3;PRS;FIN
zie	vê	zien	ver	V;SG;PRS;FIN	V;IND;SG;3;PRS;FIN
zie	ver	zien	ver	V;SG;PRS;FIN	V;NFIN
tijdens	durante	tijdens	durante	ADP	ADP
geslacht	género	geslacht	género	N;NEUT;SG	N;MASC;SG
geslacht	gênero	geslacht	gênero	N;NEUT;SG	N;MASC;SG
geslacht	sexo	geslacht	sexo	N;NEUT;SG	N;MASC;SG
geslacht	sex	geslacht	sexta-feira	N;NEUT;SG	N;MASC;SG
geslacht	sexo	geslacht	sexo	N;NEUT;SG	N;MASC;SG
grote	grande	groot	grande	ADJ	ADJ;MASC;SG
grote	grande	groot	grande	ADJ	ADJ;MASC;SG
bar	barra	bar	barra	N;MASC+FEM;SG	N;FEM;SG
bar	bar	bar	bar	N;MASC+FEM;SG	N;MASC;SG
aantal	número	aantal	número	N;NEUT;SG	N;MASC;SG
aantal	numero	aantal	numero	N;NEUT;SG	N;MASC;SG
nieuwe	novo	nieuw	novo	ADJ	ADJ;MASC;SG
nieuwe	novas	nieuw	novo	ADJ	ADJ;FEM;PL
nieuwe	novos	nieuw	novo	ADJ	ADJ;MASC;PL
nieuwe	nova	nieuw	novo	ADJ	ADJ;FEM;SG
zij	ela	zij	ela	PRO;NOM;3	PRO;NOM;FEM;SG;3
zij	eles	zij	eles	PRO;NOM;3	PRO;NOM;MASC;PL;3
zij	elas	zij	ele	PRO;NOM;3	PRO;NOM;FEM;PL;3
jaren	anos	jaar	ano	N;PL	N;MASC;PL
artikel	artigo	artikel	artigo	N;NEUT;SG	N;MASC;SG
gebied	zona	gebied	zona	N;NEUT;SG	N;FEM;SG
gebied	zone	gebied	zone	N;NEUT;SG	N;MASC;SG
gebied	area	gebied	area	N;NEUT;SG	N;FEM;SG
gebied	área	gebied	área	N;NEUT;SG	N;FEM;SG
alle	todas	al	todo	DET	DET;FEM;PL
stad	vila	stad	vila	N;MASC+FEM;SG	N;FEM;SG
stad	cidade	stad	cidade	N;MASC+FEM;SG	N;FEM;SG
stad	cidade	stad	cidade	N;MASC+FEM;SG	N;FEM;SG
lijst	lista	lijst	lista	N;MASC+FEM;SG	N;FEM;SG
hier	aqui	hier	aqui	ADV	ADV
omdat	porque	omdat	porque	CONJ	CONJ
nederland	holanda	nederland	holandar	N;NEUT;SG	N;FEM;SG
jan	jan	jan	jan	N;MASC+FEM;SG	N;MASC;SG
tijd	hora	tijd	hora	N;MASC+FEM;SG	N;FEM;SG
tijd	horário	tijd	horário	N;MASC+FEM;SG	N;MASC;SG
tijd	tempo	tijd	tempo	N;MASC+FEM;SG	N;MASC;SG
tijd	time	tijd	time	N;MASC+FEM;SG	N;MASC;SG
daar	ali	daar	ali	ADV	ADV
daar	aí	daar	aí	ADV	ADV
daar	lá	daar	lá	ADV	ADV
drie	tres	drie	tres	NUM	NUM
drie	três	drie	três	NUM	NUM
vanaf	de	vanaf	de	ADP	ADP
jpg	jpg	jpg	jpg	N;MASC+FEM;SG	N;MASC;SG
kwam	chegou	komen	chegar	V;SG;PST;FIN	V;IND;SG;3;PST;FIN
kwam	veio	komen	vir	V;SG;PST;FIN	V;IND;SG;3;PST;FIN
provincie	província	provincie	província	N;MASC+FEM;SG	N;FEM;SG
link	link	link	link	N;MASC+FEM;SG	N;MASC;SG
link	ligação	link	ligação	N;MASC+FEM;SG	N;FEM;SG
http	http	ht	http	N;MASC+FEM;SG	N;MASC;SG
gebruikt	utilizada	gebruiken	utilizar	V;V.PTCP	V;FEM;SG;V.PTCP
gebruikt	usada	gebruiken	usar	V;V.PTCP	V;FEM;SG;V.PTCP
gebruikt	usado	gebruiken	usar	V;V.PTCP	V;MASC;SG;V.PTCP
gebruikt	utilizado	gebruiken	utilizar	V;V.PTCP	V;MASC;SG;V.PTCP
gebruikt	utilizados	gebruiken	utilizar	V;V.PTCP	V;MASC;PL;V.PTCP
gebruikt	usados	gebruiken	usar	V;V.PTCP	V;MASC;PL;V.PTCP
km²	km²	km²	km²	N;MASC+FEM;SG	N;MASC;SG
alleen	só	alleen	só	ADV	ADV
alleen	apenas	alleen	apenas	ADV	ADV
alleen	somente	alleen	somente	ADV	ADV
alleen	unicamente	alleen	unicamente	ADV	ADV
eeuw	século	eeuw	século	N;MASC+FEM;SG	N;MASC;SG
eeuw	century	eeuw	century	N;MASC+FEM;SG	N;MASC;SG
vlinder	butterfly	vlinder	butterfly	N;MASC+FEM;SG	N;MASC;SG
vlinder	borboleta	vlinder	borboleta	N;MASC+FEM;SG	N;FEM;SG
keversoort	besouro	keversoort	besouro	N;MASC+FEM;SG	N;MASC;SG
keversoort	escaravelho	keversoort	escaravelho	N;MASC+FEM;SG	N;MASC;SG
keversoort	fusca	keversoort	fusca	N;MASC+FEM;SG	N;MASC;SG
bekend	conhecida	bekend	conhecido	ADJ	ADJ;FEM;SG
bekend	conhecido	bekend	conhecido	ADJ	ADJ;MASC;SG
bekend	conhecidas	bekend	conhecido	ADJ	ADJ;FEM;PL
bekend	conhecidos	bekend	conhecido	ADJ	ADJ;MASC;PL
bekend	familiar	bekend	familiar	ADJ	ADJ;MASC;SG
club	club	club	club	N;MASC+FEM;SG	N;MASC;SG
club	clube	club	clube	N;MASC+FEM;SG	N;MASC;SG
sinds	desde	sinds	desde	ADP	ADP
laatste	último	laat	último	ADJ;RL	ADJ;MASC;SG
laatste	últimas	laat	último	ADJ;RL	ADJ;FEM;PL
laatste	últimos	laat	último	ADJ;RL	ADJ;MASC;PL
laatste	última	laat	último	ADJ;RL	ADJ;FEM;SG
laatste	últimos	laat	último	ADJ;RL	ADJ;MASC;PL
laatste	últimas	laat	último	ADJ;RL	ADJ;FEM;PL
één	um	één	um	NUM	NUM
één	uma	één	um	NUM	NUM
maakt	faz	maken	fazer	V;SG;PRS;FIN	V;IND;SG;3;PRS;FIN
maken	fazendo	maken	fazer	V;NFIN	V;V.MSDR
maken	crie	maken	criar	V;NFIN	V;SBJV;SG;3;PRS;FIN
maken	criar	maken	criar	V;NFIN	V;NFIN
maken	cria	maken	criar	V;NFIN	V;IND;SG;3;PRS;FIN
maken	faça	maken	fazer	V;NFIN	V;SBJV;SG;3;PRS;FIN
behoort	pertence	behoren	pertencer	V;SG;PRS;FIN	V;IND;SG;3;PRS;FIN
enkele	alguns	enkele	algum	PRO	PRO;MASC;PL
enkele	algumas	enkele	algum	PRO	PRO;FEM;PL
verschillende	diferente	verschillend	diferente	ADJ	ADJ;MASC;SG
verschillende	diferentes	verschillend	diferente	ADJ	ADJ;MASC;PL
verschillende	diversos	verschillend	diverso	ADJ	ADJ;MASC;PL
bestaat	existe	bestaan	existir	V;SG;PRS;FIN	V;IND;SG;3;PRS;FIN
seizoen	temporada	seizoen	temporada	N;NEUT;SG	N;FEM;SG
seizoen	época	seizoen	época	N;NEUT;SG	N;FEM;SG
eigen	próprio	eigen	próprio	ADJ	ADJ;MASC;SG
insect	insecto	insect	insecto	N;NEUT;SG	N;MASC;SG
insect	inseto	insect	inseto	N;NEUT;SG	N;MASC;SG
insect	bicho	insect	bicho	N;NEUT;SG	N;MASC;SG
insect	bug	insect	bug	N;NEUT;SG	N;MASC;SG
insect	insecto	insect	insecto	N;NEUT;SG	N;MASC;SG
insect	inseto	insect	inseto	N;NEUT;SG	N;MASC;SG
film	filme	film	filme	N;MASC+FEM;SG	N;MASC;SG
film	película	film	película	N;MASC+FEM;SG	N;FEM;SG
film	filme	film	filme	N;MASC+FEM;SG	N;MASC;SG
wikipedia	wikipédia	wikipedia	wikipédia	N;MASC+FEM;SG	N;FEM;SG
wikipedia	wikipedia	wikipedia	wikipedia	N;MASC+FEM;SG	N;FEM;SG
land	país	land	país	N;NEUT;SG	N;MASC;SG
land	land	land	land	N;NEUT;SG	N;MASC;SG
land	terra	land	terra	N;NEUT;SG	N;FEM;SG
werk	trabalho	werk	trabalho	N;NEUT;SG	N;MASC;SG
website	website	website	websitir	N;MASC+FEM;SG	N;MASC;SG
website	site	website	site	N;MASC+FEM;SG	N;MASC;SG
goed	boa	goed	bom	ADJ	ADJ;FEM;SG
goed	bom	goed	bom	ADJ	ADJ;MASC;SG
bestand	arquivo	bestand	arquivo	N;NEUT;SG	N;MASC;SG
bestand	ficheiro	bestand	ficheiro	N;NEUT;SG	N;MASC;SG
mensen	humanos	mens	humano	N;PL	N;MASC;PL
mensen	pessoas	mens	pessoa	N;PL	N;FEM;PL
gaan	indo	gaan	ir	V;PRS;NFIN	V;V.MSDR
vaak	comum	vaak	comum	ADJ	ADJ;MASC;SG
vaak	frequentes	vaak	frequente	ADJ	ADJ;MASC;PL
vaak	frequente	vaak	frequente	ADJ	ADJ;MASC;SG
orde	ordem	orde	ordem	N;MASC+FEM;SG	N;FEM;SG
orde	encomenda	orde	encomenda	N;MASC+FEM;SG	N;FEM;SG
groot	grande	groot	grande	ADJ	ADJ;MASC;SG
groot	grande	groot	grande	ADJ	ADJ;MASC;SG
groot	ótima	groot	bom	ADJ	ADJ;FEM;SG
groot	grande	groot	grande	ADJ	ADJ;MASC;SG
groot	ótimo	groot	bom	ADJ	ADJ;MASC;SG
vooral	especialmente	vooral	especialmente	ADV	ADV
vooral	principalmente	vooral	principalmente	ADV	ADV
marine	navy	marine	navy	N;MASC+FEM;SG	N;MASC;SG
marine	marinha	marine	marinho	N;MASC+FEM;SG	N;FEM;SG
kerk	igreja	kerk	igreja	N;MASC+FEM;SG	N;FEM;SG
regio	região	regio	região	N;MASC+FEM;SG	N;FEM;SG
oppervlakte	area	oppervlakte	area	N;MASC+FEM;SG	N;FEM;SG
oppervlakte	área	oppervlakte	área	N;MASC+FEM;SG	N;FEM;SG
genoemd	mencionado	noemen	mencionar	V;V.PTCP	V;MASC;SG;V.PTCP
genoemd	mencionados	noemen	mencionar	V;V.PTCP	V;MASC;PL;V.PTCP
genoemd	mencionou	noemen	mencionar	V;V.PTCP	V;IND;SG;3;PST;FIN
genoemd	mencionada	noemen	mencionar	V;V.PTCP	V;FEM;SG;V.PTCP
genoemd	nomeada	noemen	nomear	V;V.PTCP	V;FEM;SG;V.PTCP
genoemd	nomeado	noemen	nomear	V;V.PTCP	V;MASC;SG;V.PTCP
genoemd	chamou	noemen	chamar	V;V.PTCP	V;IND;SG;3;PST;FIN
genoemd	chamada	noemen	chamar	V;V.PTCP	V;FEM;SG;V.PTCP
genoemd	chamado	noemen	chamar	V;V.PTCP	V;MASC;SG;V.PTCP
genoemd	chamados	noemen	chamar	V;V.PTCP	V;MASC;PL;V.PTCP
komen	vindo	komen	vir	V;NFIN	V;MASC;V.PTCP
komen	chegando	komen	chegar	V;NFIN	V;V.MSDR
ongeveer	aproximadamente	ongeveer	aproximadamente	ADV	ADV
php	php	php	php	N;MASC+FEM;SG	N;MASC;SG
speelde	jogado	spelen	jogar	V;SG;PST;FIN	V;MASC;SG;V.PTCP
speelde	jogou	spelen	jogar	V;SG;PST;FIN	V;IND;SG;3;PST;FIN
speelde	tocou	spelen	tocar	V;SG;PST;FIN	V;IND;SG;3;PST;FIN
speelde	joguei	spelen	joguar	V;SG;PST;FIN	V;IND;SG;1;PST;FIN
dorp	vila	dorp	vila	N;NEUT;SG	N;FEM;SG
dorp	aldeia	dorp	aldeia	N;NEUT;SG	N;FEM;SG
plaatsen	locais	plaats	local	N;PL	N;MASC;PL
plaatsen	lugares	plaats	lugar	N;PL	N;MASC;PL
plaatsen	sítios	plaats	sítio	N;PL	N;MASC;PL
geraadpleegd	consultado	raadplegen	consultar	V;V.PTCP	V;MASC;SG;V.PTCP
geraadpleegd	consultada	raadplegen	consultar	V;V.PTCP	V;FEM;SG;V.PTCP
geraadpleegd	consultados	raadplegen	consultar	V;V.PTCP	V;MASC;PL;V.PTCP
geraadpleegd	consultou	raadplegen	consultar	V;V.PTCP	V;IND;SG;3;PST;FIN
leven	vida	leven	vida	N;NEUT;SG	N;FEM;SG
leven	life	leven	life	N;NEUT;SG	N;MASC;SG
leven	viva	leven	vivo	N;NEUT;SG	N;FEM;SG
leven	live	leven	live	N;NEUT;SG	N;MASC;SG
register	registro	register	registro	N;NEUT;SG	N;MASC;SG
register	registo	register	registo	N;NEUT;SG	N;MASC;SG
register	secretaria	register	secretaria	N;NEUT;SG	N;FEM;SG
register	registro	register	registro	N;NEUT;SG	N;MASC;SG
register	registo	register	registo	N;NEUT;SG	N;MASC;SG
meter	metro	meter	metro	N;MASC+FEM;SG	N;MASC;SG
meter	medidor	meter	medidor	N;MASC+FEM;SG	N;MASC;SG
meter	contador	meter	contador	N;MASC+FEM;SG	N;MASC;SG
meter	métrica	meter	métrico	N;MASC+FEM;SG	N;FEM;SG
vier	quatro	vier	quatro	NUM	NUM
zeer	muito	zeer	muito	ADV	ADV
top	topo	top	topo	N;MASC+FEM;SG	N;MASC;SG
top	top	top	top	N;MASC+FEM;SG	N;MASC;SG
top	cume	top	cume	N;MASC+FEM;SG	N;MASC;SG
top	cimeira	top	cimeira	N;MASC+FEM;SG	N;FEM;SG
top	summit	top	summit	N;MASC+FEM;SG	N;MASC;SG
oude	velho	oud	velho	ADJ	ADJ;MASC;SG
oude	antigo	oud	antigo	ADJ	ADJ;MASC;SG
oude	velha	oud	velho	ADJ	ADJ;FEM;SG
zonder	sem	zonder	sem	ADP	ADP
ronde	redonda	ronde	redonda	N;MASC+FEM;SG	N;FEM;SG
ronde	redondo	ronde	redonder	N;MASC+FEM;SG	N;MASC;SG
ronde	ronda	ronde	ronda	N;MASC+FEM;SG	N;FEM;SG
ronde	round	ronde	round	N;MASC+FEM;SG	N;MASC;SG
ronde	rodada	ronde	rodada	N;MASC+FEM;SG	N;FEM;SG
sint	sint	sint	sint	N;MASC+FEM;SG	N;MASC;SG
gemaakt	feitos	maken	fazer	V;V.PTCP	V;MASC;PL;V.PTCP
gemaakt	feita	maken	fazer	V;V.PTCP	V;FEM;SG;V.PTCP
gemaakt	feito	maken	fazer	V;V.PTCP	V;MASC;SG;V.PTCP
gemaakt	criadas	maken	criar	V;V.PTCP	V;FEM;PL;V.PTCP
gemaakt	criada	maken	criar	V;V.PTCP	V;FEM;SG;V.PTCP
gemaakt	criado	maken	criar	V;V.PTCP	V;MASC;SG;V.PTCP
gemaakt	criados	maken	criar	V;V.PTCP	V;MASC;PL;V.PTCP
gemaakt	criou	maken	criar	V;V.PTCP	V;IND;SG;3;PST;FIN
groep	grupo	groep	grupo	N;MASC+FEM;SG	N;MASC;SG
won	venceu	winnen	vencer	V;SG;PST;FIN	V;IND;SG;3;PST;FIN
won	ganhou	winnen	ganhar	V;SG;PST;FIN	V;IND;SG;3;PST;FIN
won	ganhado	winnen	ganhar	V;SG;PST;FIN	V;MASC;SG;V.PTCP
goals	objectivos	goal	objectivo	N;PL	N;MASC;PL
goals	gols	goal	gol	N;PL	N;MASC;PL
goals	metas	goal	meta	N;PL	N;FEM;PL
goals	golos	goal	golo	N;PL	N;MASC;PL
goals	objetivos	goal	objetivo	N;PL	N;MASC;PL
gebruik	uso	gebruik	uso	N;NEUT;SG	N;MASC;SG
gebruik	utilização	gebruik	utilização	N;NEUT;SG	N;FEM;SG
gebruik	uso	gebruik	uso	N;NEUT;SG	N;MASC;SG
gebruik	utilização	gebruik	utilização	N;NEUT;SG	N;FEM;SG
werken	trabalhar	werken	trabalhar	V;NFIN	V;NFIN
werken	trabalhe	werken	trabalher	V;NFIN	V;SBJV;SG;3;PRS;FIN
werken	trabalhando	werken	trabalhar	V;NFIN	V;V.MSDR
werken	trabalhar	werken	trabalhar	V;NFIN	V;NFIN
werken	funcionando	werken	funcionar	V;NFIN	V;V.MSDR
werken	funciona	werken	funcionar	V;NFIN	V;IND;SG;3;PRS;FIN
werken	trabalha	werken	trabalhar	V;NFIN	V;IND;SG;3;PRS;FIN
derde	terceira	drie	terceiro	ADJ	ADJ;FEM;SG
derde	terço	drie	terço	ADJ	ADJ;MASC;SG
derde	terceiro	drie	terceiro	ADJ	ADJ;MASC;SG
iets	algo	iets	algo	PRO;3	PRO;MASC;SG
kleine	pequenos	klein	pequeno	ADJ	ADJ;MASC;PL
kleine	pequeno	klein	pequeno	ADJ	ADJ;MASC;SG
kleine	pequena	klein	pequeno	ADJ	ADJ;FEM;SG
kleine	pequenas	klein	pequeno	ADJ	ADJ;FEM;PL
kleine	pequeno	klein	pequeno	ADJ	ADJ;MASC;SG
kleine	pequena	klein	pequeno	ADJ	ADJ;FEM;SG
eens	outrora	eens	outrora	ADV	ADV
zien	veja	zien	ver	V;NFIN	V;SBJV;SG;3;PRS;FIN
zien	vê	zien	ver	V;NFIN	V;IND;SG;3;PRS;FIN
zien	ver	zien	ver	V;NFIN	V;NFIN
album	álbum	album	álbum	N;NEUT;SG	N;MASC;SG
album	album	album	album	N;NEUT;SG	N;MASC;SG
mogelijk	possivel	mogelijk	possivel	ADJ	ADJ;MASC;SG
mogelijk	possíveis	mogelijk	possível	ADJ	ADJ;MASC;PL
mogelijk	possível	mogelijk	possível	ADJ	ADJ;MASC;SG
wil	quer	willen	querer	V;SG;PRS;FIN	V;IND;SG;3;PRS;FIN
wil	quer	willen	querer	V;SG;PRS;FIN	V;IND;SG;3;PRS;FIN
wil	quero	willen	querer	V;SG;PRS;FIN	V;IND;SG;1;PRS;FIN
staten	estados	state	estado	N;PL	N;MASC;PL
nam	levou	nemen	levar	V;SG;PST;FIN	V;IND;SG;3;PST;FIN
nam	tirou	nemen	tirar	V;SG;PST;FIN	V;IND;SG;3;PST;FIN
nam	demorou	nemen	demorar	V;SG;PST;FIN	V;IND;SG;3;PST;FIN
station	estação	station	estação	N;NEUT;SG	N;FEM;SG
verenigde	unida	verenigen	unida	V;V.PTCP	V;FEM;SG;V.PTCP
zoon	son	zoon	son	N;MASC+FEM;SG	N;MASC;SG
zoon	filho	zoon	filho	N;MASC+FEM;SG	N;MASC;SG
man	man	man	man	N;MASC+FEM;SG	N;MASC;SG
man	pá	man	pá	N;MASC+FEM;SG	N;FEM;SG
man	cara	man	cara	N;MASC+FEM;SG	N;FEM;SG
man	homem	man	homem	N;MASC+FEM;SG	N;MASC;SG
water	agua	water	agua	N;NEUT;SG	N;FEM;SG
water	água	water	água	N;NEUT;SG	N;FEM;SG
gezien	viu	zien	ver	V;V.PTCP	V;IND;SG;3;PST;FIN
begin	início	begin	início	N;NEUT;SG	N;MASC;SG
begin	início	begin	início	N;NEUT;SG	N;MASC;SG
begin	começo	begin	começo	N;NEUT;SG	N;MASC;SG
koning	king	koning	king	N;MASC+FEM;SG	N;MASC;SG
koning	rei	koning	rei	N;MASC+FEM;SG	N;MASC;SG
slechts	só	slechts	só	ADV	ADV
slechts	apenas	slechts	apenas	ADV	ADV
slechts	somente	slechts	somente	ADV	ADV
slechts	unicamente	slechts	unicamente	ADV	ADV
spelen	jogar	spelen	jogar	V;NFIN	V;NFIN
spelen	joga	spelen	jogar	V;NFIN	V;IND;SG;3;PRS;FIN
spelen	jogue	spelen	joguar	V;NFIN	V;SBJV;SG;3;PRS;FIN
spelen	reproduzir	spelen	reproduzir	V;NFIN	V;NFIN
spelen	jogar	spelen	jogar	V;NFIN	V;NFIN
spelen	tocando	spelen	tocar	V;NFIN	V;V.MSDR
spelen	jogando	spelen	jogar	V;NFIN	V;V.MSDR
spelen	brincando	spelen	brincar	V;NFIN	V;V.MSDR
periode	periodo	periode	periodo	N;MASC+FEM;SG	N;MASC;SG
periode	período	periode	período	N;MASC+FEM;SG	N;MASC;SG
volkstelling	recenseamento	volkstelling	recenseamento	N;MASC+FEM;SG	N;MASC;SG
volkstelling	censo	volkstelling	censo	N;MASC+FEM;SG	N;MASC;SG
officiële	oficial	officeel	oficial	ADJ	ADJ;MASC;SG
lid	membro	lid	membro	N;NEUT;SG	N;MASC;SG
titel	legenda	titel	legenda	N;MASC+FEM;SG	N;FEM;SG
titel	titulo	titel	titulo	N;MASC+FEM;SG	N;MASC;SG
titel	título	titel	título	N;MASC+FEM;SG	N;MASC;SG
feb	fev	feb	faver	N;MASC+FEM;SG	N;MASC;SG
feb	fevereiro	feb	fevereiro	N;MASC+FEM;SG	N;MASC;SG
begon	iniciado	beginnen	iniciar	V;SG;PST;FIN	V;MASC;SG;V.PTCP
begon	comecei	beginnen	começar	V;SG;PST;FIN	V;IND;SG;1;PST;FIN
begon	começou	beginnen	começar	V;SG;PST;FIN	V;IND;SG;3;PST;FIN
begon	iniciou	beginnen	iniciar	V;SG;PST;FIN	V;IND;SG;3;PST;FIN
begon	começou	beginnen	começar	V;SG;PST;FIN	V;IND;SG;3;PST;FIN
mrt	mrt	mrt	mrt	N;MASC+FEM;SG	N;MASC;SG
bezocht	visitado	bezoeken	visitar	V;V.PTCP	V;MASC;SG;V.PTCP
bezocht	visitada	bezoeken	visitar	V;V.PTCP	V;FEM;SG;V.PTCP
bezocht	visitei	bezoeken	visitar	V;V.PTCP	V;IND;SG;1;PST;FIN
bezocht	visitou	bezoeken	visitar	V;V.PTCP	V;IND;SG;3;PST;FIN
bezocht	visitados	bezoeken	visitar	V;V.PTCP	V;MASC;PL;V.PTCP
nieuw	novo	nieuw	novo	ADJ	ADJ;MASC;SG
nieuw	novas	nieuw	novo	ADJ	ADJ;FEM;PL
nieuw	novos	nieuw	novo	ADJ	ADJ;MASC;PL
nieuw	nova	nieuw	novo	ADJ	ADJ;FEM;SG
nummer	número	nummer	número	N;MASC+FEM;SG	N;MASC;SG
nummer	numero	nummer	numero	N;MASC+FEM;SG	N;MASC;SG
nummer	canção	nummer	canção	N;MASC+FEM;SG	N;FEM;SG
nummer	song	nummer	song	N;MASC+FEM;SG	N;MASC;SG
lang	longa	lang	longo	ADJ	ADJ;FEM;SG
lang	longos	lang	longo	ADJ	ADJ;MASC;PL
tekst	texto	tekst	texto	N;MASC+FEM;SG	N;MASC;SG
beste	melhores	goed	bom	ADJ;RL	ADJ;MASC;PL
apr	abr	apr	abr	N;MASC+FEM;SG	N;MASC;SG
vinden	encontrar	vinden	encontrar	V;NFIN	V;NFIN
vinden	encontrando	vinden	encontrar	V;NFIN	V;V.MSDR
