talent	талант	talent	талант	N;NOM;MASC;SG	N;INDF;MASC;SG
razporeditev	подредба	razporeditev	подредба	N;NOM;FEM;SG	N;INDF;FEM;SG
razporeditev	уговорка	razporeditev	уговорка	N;NOM;FEM;SG	N;INDF;FEM;SG
razporeditev	споразумение	razporeditev	споразумение	N;NOM;FEM;SG	N;INDF;NEUT;SG
vdova	вдовицата	vdova	вдовица	N;NOM;FEM;SG	N;DEF;FEM;SG
vdova	вдовица	vdova	вдовица	N;NOM;FEM;SG	N;INDF;FEM;SG
izbruh	епидемия	izbruh	епидемия	N;NOM;MASC;SG	N;INDF;FEM;SG
izbruh	огнище	izbruh	огнище	N;NOM;MASC;SG	N;INDF;NEUT;SG
izbruh	изригване	izbruh	изригване	N;NOM;MASC;SG	N;INDF;NEUT;SG
izbruh	избухване	izbruh	избухване	N;NOM;MASC;SG	N;INDF;NEUT;SG
izbruh	изблик	izbruh	изблик	N;NOM;MASC;SG	N;INDF;MASC;SG
trikotnika	триъгълника	trikotnik	триъгълника	N;NOM;MASC;SG	N;DEF;MASC;SG
trikotnika	триъгълник	trikotnik	триъгълник	N;NOM;MASC;SG	N;INDF;MASC;SG
davenport	дейвънпорт	davenport	дейвънпорт	N;NOM;MASC;SG	N;INDF;FEM;SG
davenport	девънпорт	davenport	девънпорт	N;NOM;MASC;SG	N;INDF;MASC;SG
kocka	куб	kocka	куб	N;NOM;FEM;SG	N;INDF;MASC;SG
kocka	куба	kocka	кубо	N;NOM;FEM;SG	N;INDF;FEM;SG
ledena	леден	leden	леден	ADJ;NOM;FEM;SG	ADJ;INDF;MASC;SG
stabilnost	стабилност	stabilnost	стабилност	N;NOM;FEM;SG	N;INDF;FEM;SG
stabilnost	устойчивост	stabilnost	устойчивост	N;NOM;FEM;SG	N;INDF;FEM;SG
grobnice	гробници	grobnica	гробница	N;NOM;FEM;PL	N;INDF;FEM;PL
slatina	слатина	slatina	слатина	N;NOM;FEM;SG	N;INDF;FEM;SG
krst	кръщене	krst	кръщене	N;NOM;MASC;SG	N;INDF;NEUT;SG
krst	кръщенето	krst	кръщене	N;NOM;MASC;SG	N;DEF;NEUT;SG
krst	кръщене	krst	кръщене	N;NOM;MASC;SG	N;INDF;NEUT;SG
kongo	конга	kong	конга	N;NOM;MASC;SG	N;INDF;MASC;SG
konflikt	конфликт	konflikt	конфликт	N;NOM;MASC;SG	N;INDF;MASC;SG
arabci	арабите	arabec	араба	N;NOM;MASC;PL	N;DEF;FEM;PL
arabci	араби	arabec	араби	N;NOM;MASC;PL	N;INDF;FEM;PL
razvito	развит	razvit	развит-(се)	ADJ;NOM;NEUT;SG	ADJ;INDF;MASC;SG
umetniška	артистична	umetniški	артистичен	ADJ;NOM;FEM;SG	ADJ;INDF;FEM;SG
umetniška	художествена	umetniški	художествен	ADJ;NOM;FEM;SG	ADJ;INDF;FEM;SG
umetniška	артистичен	umetniški	артистичен	ADJ;NOM;FEM;SG	ADJ;INDF;MASC;SG
možen	възможен	možen	възможен	ADJ;NOM;INDF;MASC;SG	ADJ;INDF;MASC;SG
možen	възможна	možen	възможен	ADJ;NOM;INDF;MASC;SG	ADJ;INDF;FEM;SG
založnik	издател	založnik	издател	N;NOM;MASC;SG	N;INDF;MASC;SG
založnik	издателство	založnik	издателство	N;NOM;MASC;SG	N;INDF;NEUT;SG
zlatko	златко	zlatko	златко	N;NOM;MASC;SG	N;INDF;MASC;SG
možje	съпрузи	mož	съпруг	N;NOM;MASC;PL	N;INDF;MASC;PL
možje	мъжете	mož	мъж	N;NOM;MASC;PL	N;DEF;MASC;PL
možje	мъже	mož	мъж	N;NOM;MASC;PL	N;INDF;MASC;PL
označevanje	маркировка	označevanje	маркировка	N;NOM;NEUT;SG	N;INDF;FEM;SG
označevanje	маркиране	označevanje	маркиране	N;NOM;NEUT;SG	N;INDF;NEUT;SG
označevanje	маркиране	označevanje	маркиране	N;NOM;NEUT;SG	N;INDF;NEUT;SG
označevanje	етикетиране	označevanje	етикетиране	N;NOM;NEUT;SG	N;INDF;NEUT;SG
pionirski	пионерски	pionirski	пионерски	ADJ;NOM;MASC;SG	ADJ;INDF;MASC;SG
obstoječe	съществуващи	obstoječ	съществувам	ADJ;NOM;FEM;PL;V.PTCP	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
veleposlanik	посланник	veleposlanik	посланник	N;NOM;MASC;SG	N;INDF;MASC;SG
veleposlanik	посланик	veleposlanik	посланик	N;NOM;MASC;SG	N;INDF;MASC;SG
državljanstvo	националност	državljanstvo	националност	N;NOM;NEUT;SG	N;INDF;FEM;SG
državljanstvo	гражданство	državljanstvo	гражданство	N;NOM;NEUT;SG	N;INDF;NEUT;SG
državljanstvo	гражданство	državljanstvo	гражданство	N;NOM;NEUT;SG	N;INDF;NEUT;SG
usta	усти	usta	уста	N;NOM;NEUT;PL	N;INDF;MASC;PL
memorial	мемориал	memorial	мемориал	N;NOM;MASC;SG	N;INDF;MASC;SG
uspešnosti	изпълнение	uspešnost	изпълнение	N;GEN;FEM;SG	N;INDF;NEUT;SG
uspešnosti	ефективност	uspešnost	ефективност	N;GEN;FEM;SG	N;INDF;FEM;SG
rolls	ролс	rolls	ролс	N;NOM;MASC;SG	N;INDF;MASC;SG
trideset	тридесет	trideset	тридесет	NUM;NOM;PL	NUM;INDF;PL
membrane	мембрани	membran	мембран	N;NOM;FEM;PL	N;INDF;MASC;PL
meter	метър	meter	метър	N;NOM;MASC;SG	N;INDF;MASC;SG
meter	метър	meter	метър	N;NOM;MASC;SG	N;INDF;MASC;SG
mlado	млада	mlad	млад	ADJ;NOM;NEUT;SG	ADJ;INDF;FEM;SG
mlado	млад	mlad	млад	ADJ;NOM;NEUT;SG	ADJ;INDF;MASC;SG
situacijo	положението	situacija	положение	N;ACC;FEM;SG	N;DEF;NEUT;SG
situacijo	ситуация	situacija	ситуация	N;ACC;FEM;SG	N;INDF;FEM;SG
situacijo	положение	situacija	положение	N;ACC;FEM;SG	N;INDF;NEUT;SG
osvoboditev	освобождението	osvoboditev	освобождение	N;NOM;FEM;SG	N;DEF;NEUT;SG
osvoboditev	освобождение	osvoboditev	освобождение	N;NOM;FEM;SG	N;INDF;NEUT;SG
zasnova	проектиране	zasnova	проектиране	N;NOM;FEM;SG	N;INDF;NEUT;SG
zasnova	дизайн	zasnova	дизайн	N;NOM;FEM;SG	N;INDF;MASC;SG
pomorsko	морска	pomorski	морски	ADJ;NOM;NEUT;SG	ADJ;INDF;FEM;SG
pomorsko	морски	pomorski	морски	ADJ;NOM;NEUT;SG	ADJ;INDF;MASC;SG
hrvati	хървати	hrvati	хървам	N;NOM;MASC;PL	N;INDF;MASC;PL
hrvati	хърватите	hrvati	хървам	N;NOM;MASC;PL	N;DEF;MASC;PL
zaloge	запаси	zaloga	запас	N;NOM;FEM;PL	N;INDF;MASC;PL
zaloge	провизии	zaloga	провизия	N;NOM;FEM;PL	N;INDF;FEM;PL
zaloge	припаси	zaloga	припас	N;NOM;FEM;PL	N;INDF;MASC;PL
zaloge	консумативи	zaloga	консуматив	N;NOM;FEM;PL	N;INDF;FEM;PL
zaloge	доставки	zaloga	доставка	N;NOM;FEM;PL	N;INDF;FEM;PL
zaloge	акциите	zaloga	акция	N;NOM;FEM;PL	N;DEF;FEM;PL
abeceda	азбука	abeceda	азбукам	N;NOM;FEM;SG	N;INDF;FEM;SG
abeceda	азбуката	abeceda	азбука	N;NOM;FEM;SG	N;DEF;FEM;SG
topovi	оръдия	top	оръди	N;NOM;MASC;PL	N;INDF;NEUT;PL
topovi	пистолети	top	пистолет	N;NOM;MASC;PL	N;INDF;MASC;PL
topovi	оръжия	top	оръжие	N;NOM;MASC;PL	N;INDF;NEUT;PL
topovi	пушки	top	пушка	N;NOM;MASC;PL	N;INDF;FEM;PL
mleka	мляко	mleko	мляко	N;GEN;NEUT;SG	N;INDF;NEUT;SG
uživanje	наслада	uživanje	наслада	N;NOM;NEUT;SG	N;INDF;FEM;SG
molitev	молитва	molitev	молитва	N;NOM;FEM;SG	N;INDF;FEM;SG
molitev	молитва	molitev	молитва	N;NOM;FEM;SG	N;INDF;FEM;SG
prst	пръст	prst	пръст	N;NOM;MASC;SG	N;INDF;MASC;SG
prst	пръста	prst	пръст	N;NOM;MASC;SG	N;DEF;MASC;SG
prst	пръст	prst	пръст	N;NOM;MASC;SG	N;INDF;MASC;SG
blato	утайка	blato	утайка	N;NOM;NEUT;SG	N;INDF;FEM;SG
blato	кал	blato	кал	N;NOM;NEUT;SG	N;INDF;FEM;SG
blato	калта	blato	калта	N;NOM;NEUT;SG	N;DEF;MASC;SG
blato	тиня	blato	тиня	N;NOM;NEUT;SG	N;INDF;FEM;SG
blato	стол	blato	стол	N;NOM;NEUT;SG	N;INDF;MASC;SG
blato	столче	blato	столче	N;NOM;NEUT;SG	N;INDF;NEUT;SG
postopno	постепенно	postopno	постепенно	ADV	ADV
postopno	постепенно	postopno	постепенно	ADV	ADV
postopno	прогресивно	postopno	прогресивно	ADV	ADV
isonzo	изонцо	isonzo	изонец	N;NOM;MASC;SG	N;INDF;FEM;SG
navdih	вдъхновението	navdih	вдъхновение	N;NOM;MASC;SG	N;DEF;NEUT;SG
navdih	вдъхновение	navdih	вдъхновение	N;NOM;MASC;SG	N;INDF;NEUT;SG
tabele	таблици	tabela	таблица	N;NOM;FEM;PL	N;INDF;FEM;PL
tabele	маси	tabela	маса	N;NOM;FEM;PL	N;INDF;FEM;PL
študente	студенти	študent	студент	N;ACC;MASC;PL	N;INDF;MASC;PL
študente	ученици	študent	ученик	N;ACC;MASC;PL	N;INDF;MASC;PL
disertacijo	дисертация	disertacija	дисертация	N;ACC;FEM;SG	N;INDF;FEM;SG
disertacijo	дисертацията	disertacija	дисертация	N;ACC;FEM;SG	N;DEF;FEM;SG
učbenik	учебник	učbenik	учебник	N;NOM;MASC;SG	N;INDF;MASC;SG
luč	светлина	luč	светлина	N;NOM;FEM;SG	N;INDF;FEM;SG
luč	светлината	luč	светлина	N;NOM;FEM;SG	N;DEF;FEM;SG
mehiški	мексиканска	mehiški	мексикански	ADJ;NOM;MASC;SG	ADJ;INDF;FEM;SG
mehiški	мексикански	mehiški	мексикански	ADJ;NOM;MASC;SG	ADJ;INDF;MASC;SG
aluminija	алуминий	aluminija	алуминий	N;NOM;MASC;SG	N;INDF;MASC;SG
gozdni	горски	gozden	горски	ADJ;NOM;MASC;SG	ADJ;INDF;MASC;SG
bogovi	боговете	bog	бог	N;NOM;MASC;PL	N;DEF;MASC;PL
bogovi	богове	bog	бог	N;NOM;MASC;PL	N;INDF;MASC;PL
kupolo	купол	kupolo	купол	N;ACC;FEM;SG	N;INDF;MASC;SG
kupolo	купола	kupolo	купол	N;ACC;FEM;SG	N;DEF;MASC;SG
kupolo	куполът	kupolo	купол	N;ACC;FEM;SG	N;DEF;MASC;SG
lambert	ламбърт	lambert	ламбърт	N;NOM;MASC;SG	N;INDF;MASC;SG
stavka	страйк	stavka	страйк	N;NOM;MASC;SG	N;INDF;MASC;SG
stavka	стачка	stavka	стачка	N;NOM;MASC;SG	N;INDF;FEM;SG
izziv	предизвикателство	izziv	предизвикателство	N;NOM;MASC;SG	N;INDF;NEUT;SG
izziv	предизвикателството	izziv	предизвикателство	N;NOM;MASC;SG	N;DEF;NEUT;SG
vrhovno	върховен	vrhoven	върховен	ADJ;NOM;NEUT;SG	ADJ;INDF;MASC;SG
vrhovno	върховния	vrhoven	върховен	ADJ;NOM;NEUT;SG	ADJ;DEF;MASC;SG
vrhovno	върховна	vrhoven	върховен	ADJ;NOM;NEUT;SG	ADJ;INDF;FEM;SG
inšpektor	инспекторе	inšpektor	инспекторе	N;NOM;MASC;SG	N;INDF;MASC;SG
inšpektor	инспектор	inšpektor	инспектор	N;NOM;MASC;SG	N;INDF;MASC;SG
gledalci	зрители	gledalec	зрител	N;NOM;MASC;PL	N;INDF;MASC;PL
gledalci	зрители	gledalec	зрител	N;NOM;MASC;PL	N;INDF;MASC;PL
gledalci	зрителите	gledalec	зрител	N;NOM;MASC;PL	N;DEF;MASC;PL
trdo	трудно	trdo	трудно	ADV	ADV
trdo	силно	trdo	силно	ADV	ADV
trdo	здраво	trdo	здраво	ADV	ADV
trdo	твърдо	trdo	твърдо	ADV	ADV
čaj	чай	čaj	чай	N;NOM;MASC;SG	N;INDF;MASC;SG
spartak	спартак	spartak	спартак	N;NOM;MASC;SG	N;INDF;MASC;SG
odpoved	отказване	odpoved	отказване	N;NOM;MASC;SG	N;INDF;NEUT;SG
odpoved	оставката	odpoved	оставка	N;NOM;MASC;SG	N;DEF;FEM;SG
odpoved	оставка	odpoved	оставка	N;NOM;MASC;SG	N;INDF;FEM;SG
vzorce	образци	vzorec	образец	N;ACC;MASC;PL	N;INDF;MASC;PL
vzorce	проби	vzorec	проба	N;ACC;MASC;PL	N;INDF;FEM;PL
vzorce	извадки	vzorec	извадка	N;ACC;MASC;PL	N;INDF;FEM;PL
vzorce	мостри	vzorec	мостра	N;ACC;MASC;PL	N;INDF;MASC;PL
beach	beach	beach	beach	N;NOM;MASC;SG	N;INDF;MASC;SG
beach	плажът	beach	плаж	N;NOM;MASC;SG	N;DEF;MASC;SG
beach	плаж	beach	плаж	N;NOM;MASC;SG	N;INDF;MASC;SG
beach	бряг	beach	бряг	N;NOM;MASC;SG	N;INDF;MASC;SG
beach	плажа	beach	плаж	N;NOM;MASC;SG	N;DEF;MASC;SG
odgovorna	отговорен	odgovoren	отговорен	ADJ;NOM;FEM;SG	ADJ;INDF;MASC;SG
odgovorna	отговорна	odgovoren	отговорен	ADJ;NOM;FEM;SG	ADJ;INDF;FEM;SG
stanovanje	апартамент	stanovanje	апартамент	N;NOM;NEUT;SG	N;INDF;MASC;SG
stanovanje	плоска	stanovanje	плоска	N;NOM;NEUT;SG	N;INDF;FEM;SG
stanovanje	апартамент	stanovanje	апартамент	N;NOM;NEUT;SG	N;INDF;MASC;SG
posode	съдове	posoda	съд	N;NOM;FEM;PL	N;INDF;MASC;PL
posode	блюда	posoda	блюд	N;NOM;FEM;PL	N;INDF;NEUT;PL
posode	ястия	posoda	ястие	N;NOM;FEM;PL	N;INDF;NEUT;PL
posode	чинии	posoda	чиния	N;NOM;FEM;PL	N;INDF;FEM;PL
posode	съдове	posoda	съд	N;NOM;FEM;PL	N;INDF;MASC;PL
posode	кораби	posoda	кораб	N;NOM;FEM;PL	N;INDF;MASC;PL
posode	съдове	posoda	съд	N;NOM;FEM;PL	N;INDF;MASC;PL
posode	контейнери	posoda	контейнер	N;NOM;FEM;PL	N;INDF;MASC;PL
načrti	чертежи	načrt	чертеж	N;NOM;MASC;PL	N;INDF;MASC;PL
načrti	планове	načrt	план	N;NOM;MASC;PL	N;INDF;MASC;PL
baz	основи	baza	основа	N;GEN;FEM;PL	N;INDF;FEM;PL
baz	бази	baza	база	N;GEN;FEM;PL	N;INDF;FEM;PL
vesel	весела	vesel	весел	ADJ;NOM;INDF;MASC;SG	ADJ;INDF;FEM;SG
bezirk	bezirk	bezirka	bezirk	N;NOM;MASC;SG	N;INDF;MASC;SG
dostopen	достъпна	dostopen	достъпен	ADJ;NOM;INDF;MASC;SG	ADJ;INDF;FEM;SG
dostopen	достъпен	dostopen	достъпя	ADJ;NOM;INDF;MASC;SG	ADJ;INDF;MASC;SG
odgovoril	отговорил	odgovoriti	отговоря	V;PFV;MASC;SG;V.PTCP	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
spredaj	фронт	spredaj	фронт	N;NOM;MASC;SG	N;INDF;MASC;SG
luca	лука	luca	лук	N;NOM;MASC;SG	N;INDF;MASC;SG
pisem	буквите	pisem	буква	N;GEN;FEM;PL	N;DEF;FEM;PL
pisem	букви	pisem	буква	N;GEN;FEM;PL	N;INDF;FEM;PL
pisem	писма	pisem	писмо	N;GEN;FEM;PL	N;INDF;NEUT;PL
lepe	прекрасни	lep	прекрасен	ADJ;NOM;FEM;PL	ADJ;INDF;PL
uspehov	успехи	uspeh	успех	N;GEN;MASC;PL	N;INDF;MASC;PL
uspehov	успехите	uspeh	успех	N;GEN;MASC;PL	N;DEF;MASC;PL
uspehov	успехи	uspeh	успех	N;GEN;MASC;PL	N;INDF;MASC;PL
razdeli	разделен	razdeti	разделя-(се)	V;PFV;IND;SG;3;PRS;FIN	V;PFV;INDF;MASC;SG;V.PTCP;PASS
pozdrav	поздрав	pozdrav	поздрав	N;NOM;MASC;SG	N;INDF;MASC;SG
pozdrav	поздрав	pozdrav	поздрав	N;NOM;MASC;SG	N;INDF;MASC;SG
suverenosti	суверенитета	suverenost	суверенитет	N;GEN;FEM;SG	N;DEF;MASC;SG
suverenosti	суверенитет	suverenost	суверенитет	N;GEN;FEM;SG	N;INDF;MASC;SG
isaac	исаак	isaac	исаак	N;NOM;MASC;SG	N;INDF;MASC;SG
isaac	исак	isaac	исак	N;NOM;MASC;SG	N;INDF;MASC;SG
siva	сива	siv	сив	ADJ;NOM;FEM;SG	ADJ;INDF;FEM;SG
siva	сива	siv	сив	ADJ;NOM;FEM;SG	ADJ;INDF;FEM;SG
izdelava	производство	izdelava	производство	N;NOM;FEM;SG	N;INDF;NEUT;SG
izdelava	изработване	izdelava	изработване	N;NOM;FEM;SG	N;INDF;NEUT;SG
izdelava	производство	izdelava	производство	N;NOM;FEM;SG	N;INDF;NEUT;SG
trenutek	момент	trenutek	момент	N;NOM;MASC;SG	N;INDF;MASC;SG
trenutek	миг	trenutek	миг	N;NOM;MASC;SG	N;INDF;MASC;SG
oltarja	олтар	oltar	олтар	N;NOM;MASC;SG	N;INDF;MASC;SG
oltarja	олтара	oltar	олтар	N;NOM;MASC;SG	N;DEF;MASC;SG
obrobju	периферията	obrobje	периферия	N;DAT;NEUT;SG	N;DEF;FEM;SG
prid	услуга	prid	услуга	N;INAN;ACC;MASC;SG	N;INDF;FEM;SG
delce	частици	delce	частица	N;ACC;MASC;PL	N;INDF;FEM;PL
kupola	купол	kupola	купол	N;NOM;FEM;SG	N;INDF;MASC;SG
kupola	купола	kupola	купол	N;NOM;FEM;SG	N;DEF;MASC;SG
kupola	куполът	kupola	купол	N;NOM;FEM;SG	N;DEF;MASC;SG
sekunde	секунди	sekunda	секунда	N;NOM;FEM;PL	N;INDF;FEM;PL
psihologijo	психология	psihologija	психология	N;ACC;FEM;SG	N;INDF;FEM;SG
psihologijo	психологията	psihologija	психология	N;ACC;FEM;SG	N;DEF;FEM;SG
obsežne	обширни	obsežen	обширен	ADJ;NOM;FEM;PL	ADJ;INDF;PL
bron	бронз	bron	бронз	N;NOM;MASC;SG	N;INDF;MASC;SG
bron	бронзов	bron	бронзов	N;NOM;MASC;SG	N;INDF;MASC;SG
državljani	граждани	državljan	гражданин	N;NOM;MASC;PL	N;INDF;MASC;PL
državljani	гражданите	državljan	гражданин	N;NOM;MASC;PL	N;DEF;MASC;PL
državljani	граждани	državljan	гражданин	N;NOM;MASC;PL	N;INDF;MASC;PL
komandant	комендант	komandant	комендант	N;NOM;MASC;SG	N;INDF;MASC;SG
leonardo	леонардо	leonardo	леонардо	N;NOM;MASC;SG	N;INDF;MASC;SG
esejist	есеист	esejist	есеист	N;NOM;MASC;SG	N;INDF;MASC;SG
linux	linux	linux	linux	N;NOM;MASC;SG	N;INDF;MASC;SG
kritiko	критиката	kritika	критика	N;ACC;FEM;SG	N;DEF;FEM;SG
kritiko	критика	kritika	критика	N;ACC;FEM;SG	N;INDF;FEM;SG
razlogi	причини	razlog	причина	N;NOM;MASC;PL	N;INDF;FEM;PL
razlogi	основания	razlog	основание	N;NOM;MASC;PL	N;INDF;NEUT;PL
moderno	модерно	moderno	модерно	ADV	ADV
moderno	съвременно	moderno	съвременно	ADV	ADV
bolečino	болката	bolečina	болка	N;ACC;FEM;SG	N;DEF;FEM;SG
bolečino	болка	bolečina	болка	N;ACC;FEM;SG	N;INDF;FEM;SG
voditelji	ръководители	voditelj	ръководител	N;NOM;MASC;PL	N;INDF;MASC;PL
voditelji	лидерите	voditelj	лидер	N;NOM;MASC;PL	N;DEF;MASC;PL
voditelji	лидери	voditelj	лидер	N;NOM;MASC;PL	N;INDF;MASC;PL
voditelji	водачи	voditelj	водач	N;NOM;MASC;PL	N;INDF;MASC;PL
jedrski	ядрен	jedrski	ядрен	ADJ;NOM;MASC;SG	ADJ;INDF;MASC;SG
jedrski	ядрена	jedrski	ядрен	ADJ;NOM;MASC;SG	ADJ;INDF;FEM;SG
jedrski	атомна	jedrski	атомен	ADJ;NOM;MASC;SG	ADJ;INDF;FEM;SG
vožnjo	шофиране	vožnja	шофиране	N;ACC;FEM;SG	N;INDF;NEUT;SG
vožnjo	каране	vožnja	каране	N;ACC;FEM;SG	N;INDF;NEUT;SG
poln	пълна	poln	пълен	ADJ;NOM;INDF;MASC;SG	ADJ;INDF;FEM;SG
poln	пълен	poln	пълен	ADJ;NOM;INDF;MASC;SG	ADJ;INDF;MASC;SG
mitologija	митологията	mitologija	митология	N;NOM;FEM;SG	N;DEF;FEM;SG
mitologija	митология	mitologija	митология	N;NOM;FEM;SG	N;INDF;FEM;SG
drugačna	различна	drugačen	различен	ADJ;NOM;FEM;SG	ADJ;INDF;FEM;SG
drugačna	различен	drugačen	различен	ADJ;NOM;FEM;SG	ADJ;INDF;MASC;SG
teologijo	теология	teologija	теология	N;ACC;FEM;SG	N;INDF;FEM;SG
zmesi	смеси	zmes	смеся-(се)	N;NOM;FEM;PL	N;INDF;FEM;PL
alma	алма	alma	алма	N;NOM;FEM;SG	N;INDF;FEM;SG
slišal	чул	slišati	чуя	V;MASC;SG;V.PTCP	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
slišal	чух	slišati	чуя	V;MASC;SG;V.PTCP	V;PFV;IND;SG;1;PST;FIN;ACT
odhod	отпътуване	odhod	отпътуване	N;NOM;MASC;SG	N;INDF;NEUT;SG
odhod	заминаване	odhod	заминаване	N;NOM;MASC;SG	N;INDF;NEUT;SG
odhod	тръгване	odhod	тръгване	N;NOM;MASC;SG	N;INDF;NEUT;SG
odhod	напускане	odhod	напускане	N;NOM;MASC;SG	N;INDF;NEUT;SG
koža	кожата	koža	кожа	N;NOM;FEM;SG	N;DEF;FEM;SG
koža	кожа	koža	кожа	N;NOM;FEM;SG	N;INDF;FEM;SG
proizvajalci	продуценти	proizvajalec	продуцент	N;NOM;MASC;PL	N;INDF;MASC;PL
proizvajalci	производители	proizvajalec	производител	N;NOM;MASC;PL	N;INDF;MASC;PL
proizvajalci	производителите	proizvajalec	производител	N;NOM;MASC;PL	N;DEF;MASC;PL
proizvajalci	производители	proizvajalec	производител	N;NOM;MASC;PL	N;INDF;MASC;PL
odvisnost	зависимост	odvisnost	зависимост	N;NOM;FEM;SG	N;INDF;FEM;SG
odvisnost	зависимостта	odvisnost	зависимост	N;NOM;FEM;SG	N;DEF;FEM;SG
odvisnost	зависимост	odvisnost	зависимост	N;NOM;FEM;SG	N;INDF;FEM;SG
odvisnost	зависимостта	odvisnost	зависимост	N;NOM;FEM;SG	N;DEF;FEM;SG
odvisnost	зависимост	odvisnost	зависимост	N;NOM;FEM;SG	N;INDF;FEM;SG
odvisnost	пристрастяването	odvisnost	пристрастяване	N;NOM;FEM;SG	N;DEF;NEUT;SG
odvisnost	пристрастяване	odvisnost	пристрастяване	N;NOM;FEM;SG	N;INDF;NEUT;SG
dick	кур	dick	кур	N;NOM;MASC;SG	N;INDF;MASC;SG
dick	хуй	dick	хуй	N;NOM;MASC;SG	N;INDF;MASC;SG
theodore	тиодор	theodor	тиодор	N;NOM;MASC;SG	N;INDF;MASC;SG
jupiter	юпитер	jupiter	юпитер	N;NOM;MASC;SG	N;INDF;MASC;SG
kotel	котел	kotel	котел	N;NOM;MASC;SG	N;INDF;MASC;SG
kotel	котел	kotel	котел	N;NOM;MASC;SG	N;INDF;MASC;SG
krogla	сферата	krogel	сфера	N;NOM;FEM;SG	N;DEF;FEM;SG
krogla	сфера	krogel	сфера	N;NOM;FEM;SG	N;INDF;FEM;SG
krogla	куршум	krogel	куршум	N;NOM;FEM;SG	N;INDF;MASC;SG
prepričal	убедена	prepričati	убедя-(се)	V;PFV;MASC;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
prepričal	убеден	prepričati	убедя-(се)	V;PFV;MASC;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
