den	den	den	den	PRO;DEF;MASC+FEM;SG	PRO;SG;3
länkar	koblinger	länka	koblinger	N;NOM;INDF;MASC+FEM;PL	N;INDF;FEM;PL
länkar	linker	länka	linker	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;PL
länkar	lenker	länka	lank	N;NOM;INDF;MASC+FEM;PL	N;INDF;FEM;PL
läge	lokalisering	läge	lokalisering	N;NOM;INDF;NEUT;SG	N;INDF;FEM;SG
läge	lokasjon	läge	lokasjon	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
läge	posisjon	läge	posisjon	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
läge	plassering	läge	plassering	N;NOM;INDF;NEUT;SG	N;INDF;FEM;SG
läge	modus	läge	modus	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
läge	mode	läge	mode	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
även	sjølv	även	sjølv	ADV	ADV
även	òg	även	òg	ADV	ADV
även	også	även	også	ADV	ADV
februari	februar	februari	februar	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
under	under	under	under	ADP	ADP
lake	innsjø	lake	innsjø	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
lake	sjø	lake	sjø	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
lake	lake	lake	lake	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
sjö	innsjø	sjö	innsjø	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
sjö	sjø	sjö	sjø	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
sjö	lake	sjö	lake	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
sjö	sjøs	sjö	sjøs	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
sjö	sea	sjö	seie	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
sjö	hav	sjö	hav	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
inte	ikkje	inte	ikkje	PART;NEG	PART;NEG
kommun	kommune	kommun	kommune	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
två	to	två	to	NUM;NOM	NUM;PL
terrängen	terrenget	terräng	terreng	N;NOM;DEF;MASC+FEM;SG	N;DEF;NEUT;SG
long	lengter	long	lengt	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
long	long	long	long	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
juni	juni	juni	juni	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
juni	juni	juni	juni	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
juni	june	juni	june	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
lat	late	lat	la	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
lat	lazy	lat	lazy	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
december	desember	december	desember	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
växer	gror	växa	gror	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
växer	gror	växa	gror	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
efter	etter	efter	etter	ADP	ADP
väster	west	väster	west	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
provins	provins	provins	provins	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
provins	provinser	provins	provinser	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
öster	øst	öster	øs	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
först	først	först	først	ADV	ADV
berg	fjell	berg	fjell	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
berg	mountain	berg	mountain	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
berg	berg	berg	berg	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
berg	fjell	berg	fjell	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
mars	marsjer	mars	marsje	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
mars	march	mars	march	N;NOM;INDF;MASC+FEM;SG	N
mars	marsj	mars	marsj	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
mars	mars	mars	mars	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
mars	mars	mars	mars	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
oktober	oktober	oktober	oktober	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
oktober	october	oktober	october	N;NOM;INDF;MASC+FEM;SG	N
september	september	september	september	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
större	større	stor	stor	ADJ;NOM;CMPR	ADJ;CMPR
större	større	stor	stor	ADJ;NOM;CMPR	ADJ;CMPR
större	større	stor	stor	ADJ;NOM;CMPR	ADJ;CMPR
hade	hadde	ha	ha	V;IND;PST;FIN;ACT	V;IND;PST;FIN
hade	hatt	ha	ha	V;IND;PST;FIN;ACT	V;V.PTCP
där	der	där	der	ADV	ADV
county	county	county	county	N;NOM;INDF;NEUT;SG	N;INDF;SG
county	fylke	county	fylke	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
nog	nok	nog	nok	ADV	ADV
ovanligt	uvanlig	ovanlig	uvanlig	ADJ;NOM;INDF;NEUT;SG	ADJ;INDF;NEUT;SG
ovanligt	uvanlig	ovanlig	uvanlig	ADJ;NOM;INDF;NEUT;SG	ADJ;INDF;NEUT;SG
söder	syd	söder	syd	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
jpg	jpg	jpg	jpg	N	N;INDF;MASC;SG
creek	creek	creek	creek	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
november	november	november	november	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
maj	mai	maj	mai	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
maj	may	maj	may	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
maj	maj	maj	maj	N;NOM;INDF;MASC+FEM;SG	N;INDF;SG
född	født	född	føde	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	ADJ;INDF;SG;V.PTCP
samhälle	society	samhälle	society	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
samhälle	samfunn	samhälle	samfunn	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
samhälle	fellesskap	samhälle	fellesskap	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
samhälle	samfunn	samhälle	samfunn	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
består	består	bestå	bestå	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
platser	plasser	plats	plasse	N;NOM;INDF;MASC+FEM;PL	N;INDF;FEM;PL
platser	plasseringer	plats	plasseringe	N;NOM;INDF;MASC+FEM;PL	N;INDF;FEM;PL
platser	steder	plats	stede	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;PL
platser	stader	plats	stad	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;PL
platser	steder	plats	stede	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;PL
första	første	en	første	ADJ;NOM	ADJ;DEF;SG
fick	fikk	få	fikk	V;IND;PST;FIN;ACT	V;IND;PST;FIN
fick	mottok	få	motta	V;IND;PST;FIN;ACT	V;IND;PST;FIN
området	området	område	område	N;NOM;DEF;NEUT;SG	N;DEF;NEUT;SG
april	april	april	april	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
hans	hans	han	hans	PRO;DEF	PRO;NEUT;SG
hans	hans	han	hans	PRO;DEF	PRO;NEUT;SG
hans	sin	han	sin	PRO;DEF	PRO;MASC;SG
toppen	top	topp	top	N;NOM;DEF;MASC+FEM;SG	N
toppen	toppen	topp	topp	N;NOM;DEF;MASC+FEM;SG	N;DEF;MASC;SG
sedan	deretter	sedan	deretter	ADV	ADV
sedan	så	sedan	så	ADV	ADV
sedan	da	sedan	da	ADV	ADV
genom	gjennom	genom	gjennom	ADP	ADP
genom	igjennom	genom	igjennom	ADP	ADP
sitt	sitt	sig	sin	PRO;DEF;NEUT;SG	PRO;NEUT;SG
kilometer	kilometer	kilomet	kilometer	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;PL
kilometer	kilometer	kilomet	kilometer	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;PL
kilometer	kilometer	kilomet	kilometer	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;PL
också	òg	också	òg	ADV	ADV
också	også	också	også	ADV	ADV
också	óg	också	òg	ADV	ADV
också	også	också	også	ADV	ADV
talet	talen	tal	tale	N;NOM;DEF;NEUT;SG	N;DEF;MASC;SG
mot	mot	mot	mot	ADP	ADP
mot	mot	mot	mot	ADP	ADP
riktning	retning	riktning	retning	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
namn	namn	namn	namn	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
namn	navn	namn	navn	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
namn	names	namn	names	N;NOM;INDF;NEUT;SG	N
namn	navn	namn	navn	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
bland	blant	bland	blant	ADP	ADP
bland	blant	bland	blant	ADP	ADP
svenska	svenske	svensk	svensk	ADJ;NOM;PL	ADJ;PL
mellan	mellom	mellan	mellom	ADP	ADP
svensk	svensk	svensk	svensk	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
svensk	swede	svensk	swede	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
när	når	när	når	ADV	ADV
cerro	cerro	cerro	cerro	N;NOM;INDF;MASC+FEM;SG	N;INDF;SG
död	død	död	død	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
död	death	död	death	N;NOM;INDF;MASC+FEM;SG	N
död	dødsstraff	död	dødsstraff	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
död	død	död	død	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
död	dead	död	dead	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
kulle	ås	kulle	ås	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
text	tekst	text	tekst	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
lista	liste	lista	liste	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
lista	list	lista	list	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
största	største	stor	stor	ADJ;NOM;DEF;RL	ADJ;DEF;RL
största	største	stor	stor	ADJ;NOM;DEF;RL	ADJ;DEF;RL
största	største	stor	stor	ADJ;NOM;DEF;RL	ADJ;DEF;RL
from	fromme	from	fromme	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
tropiskt	tropisk	tropisk	tropisk	ADJ;NOM;INDF;NEUT;SG	ADJ;INDF;NEUT;SG
park	park	park	park	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
olika	ulike	olik	ulik	ADJ;NOM;PL	ADJ;PL
olika	forskjellige	olik	forskjellig	ADJ;NOM;PL	ADJ;PL
olika	ymse	olik	ymis	ADJ;NOM;PL	ADJ;PL
olika	diverse	olik	diverse	ADJ;NOM;PL	ADJ;PL
point	poeng	point	poeng	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
point	punkt	point	punkt	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
point	point	point	poin	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
ort	city	ort	city	N;NOM;INDF;MASC+FEM;SG	N
ort	poststed	ort	poststed	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
ort	by	ort	by	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
nya	nye	ny	ny	ADJ;NOM;PL	ADJ;PL
utan	utan	utan	utan	ADP	ADP
socken	kommune	socken	kommune	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
socken	prestegjeld	socken	prestegjeld	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
sina	sine	sig	sin	PRO;DEF;PL	PRO;PL
score	poeng	score	poeng	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
score	score	score	score	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
score	poengsum	score	poengsum	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
score	snes	score	snes	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
kom	kom	komma	kome	V;IMP;FIN;ACT	V;IMP;PST;FIN
stora	store	stor	stor	ADJ;NOM;PL	ADJ;PL
basen	basen	bas	base	N;NOM;DEF;MASC+FEM;SG	N;DEF;MASC;SG
tre	tre	tre	tre	NUM;NOM	NUM;PL
tre	tre	tre	tre	NUM;NOM	NUM;PL
shift	skift	shift	skift	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
växtlighet	vegetasjon	växtlighet	vegetasjon	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
här	her	här	her	ADV	ADV
öst	øst	öst	øs	N	N;INDF;NEUT;SG
öst	østlig	öst	østlig	N	N;INDF;MASC;SG
öst	øst	öst	øs	N	N;INDF;NEUT;SG
region	region	region	region	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
jakarta	jakarta	jakert	jakarta	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
wat	wat	wat	wat	N;NOM;INDF;MASC+FEM;SG	N
file	fil	file	fil	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
släkte	generasjon	släkte	generasjon	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
släkte	breed	släkte	breed	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
släkte	rase	släkte	rase	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
släkte	genera	släkte	genere	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
västlig	vestlig	västlig	vestlig	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;INDF;NEUT;SG
republiken	republikken	republik	republikk	N;NOM;DEF;MASC+FEM;SG	N;DEF;MASC;SG
delstat	stat	delstad	stat	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
delstat	tilstand	delstad	tilstand	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
delstat	delstat	delstad	delstat	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
mål	mål	mål	mål	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
mål	goals	mål	goal	N;NOM;INDF;NEUT;SG	N;INDF;SG
län	county	län	county	N;NOM;INDF;NEUT;SG	N;INDF;SG
län	fylke	län	fylke	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
län	provins	län	provins	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
län	provinser	län	provinser	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
hercegovina	hercegovina	hercegovin	hercegovin	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
bara	berre	bara	berre	ADV	ADV
bara	bare	bara	bare	ADV	ADV
bara	berre	bara	berre	ADV	ADV
bara	akkurat	bara	akkurat	ADV	ADV
bara	bare	bara	bare	ADV	ADV
bara	nettopp	bara	nettopp	ADV	ADV
plats	spisested	plats	spisested	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
plats	place	plats	place	N;NOM;INDF;MASC+FEM;SG	N
plats	lokalisering	plats	lokalisering	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
plats	lokasjon	plats	lokasjon	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
plats	posisjon	plats	posisjon	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
plats	plassering	plats	plassering	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
församling	kommune	församling	kommune	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
församling	prestegjeld	församling	prestegjeld	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
församling	menighet	församling	menighet	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
församling	montering	församling	montering	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
församling	forsamling	församling	forsamling	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
land	fedreland	land	fedreland	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
land	land	land	land	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
land	country	land	country	N;NOM;INDF;NEUT;SG	N;INDF
land	land	land	land	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
dess	sine	den	sin	PRO;DEF	PRO;PL
dess	sin	den	sin	PRO;DEF	PRO;MASC;SG
amerikansk	amerikansk	amerikansk	amerikansk	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;INDF;SG
tid	tid	tid	tid	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
tid	klokkeslett	tid	klokkeslett	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
tid	gang	tid	gang	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
tog	tok	ta	ta	V;IND;PST;FIN;ACT	V;IND;PST;FIN
exempel	eksempel	exempel	eksempel	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
exempel	eksempler	exempel	eksempler	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
saint	helgen	saint	helg	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
saint	saint	saint	sain	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
gjorde	gjorde	göra	gjere	V;IND;PST;FIN;ACT	V;IND;PST;FIN
stor	stor	stor	stor	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;INDF;SG
stor	stort	stor	stor	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;INDF;NEUT;SG
stor	stor	stor	stor	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;INDF;SG
stor	stort	stor	stor	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;INDF;NEUT;SG
staden	byen	stad	by	N;NOM;DEF;MASC+FEM;SG	N;DEF;MASC;SG
staden	city	stad	city	N;NOM;DEF;MASC+FEM;SG	N
staden	byen	stad	by	N;NOM;DEF;MASC+FEM;SG	N;DEF;MASC;SG
kallt	kald	kallt	kald	ADJ;NOM;INDF;NEUT;SG	ADJ;INDF;SG
kallt	kaldt	kallt	kald	ADJ;NOM;INDF;NEUT;SG	ADJ;INDF;NEUT;SG
varit	vore	vara	vere	V;V.CVB;ACT	V;V.PTCP
naturlig	natural	naturlig	natural	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;INDF;SG
naturlig	naturlig	naturlig	naturlig	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;INDF;NEUT;SG
webbplats	nettsted	pebbplats	nettsted	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
webbplats	nettside	pebbplats	nettside	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
webbplats	nettsted	pebbplats	nettsted	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
webbplats	site	pebbplats	sitje	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
ger	gir	ge	gi	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
team	teamene	team	team	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
team	team	team	team	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
team	lag	team	lag	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
team	team	team	team	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
började	begynte	börja	begynne	V;IND;PST;FIN;ACT	V;IND;PST;FIN
började	begynte	börja	begynne	V;IND;PST;FIN;ACT	V;IND;PST;FIN
gör	lage	göra	lage	V;IMP;FIN;ACT	V;NFIN
gick	gikk	gå	gå	V;IND;PST;FIN;ACT	V;IND;PST;FIN
gick	dro	gå	dro	V;IND;PST;FIN;ACT	V;IND;PST;FIN
gick	gjekk	gå	gå	V;IND;PST;FIN;ACT	V;IND;PST;FIN
gick	gikk	gå	gå	V;IND;PST;FIN;ACT	V;IND;PST;FIN
gick	gått	gå	gå	V;IND;PST;FIN;ACT	V;V.PTCP
gick	gjekk	gå	gå	V;IND;PST;FIN;ACT	V;IND;PST;FIN
kyrka	kirka	kyrka	kirk	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
kyrka	kirke	kyrka	kirke	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
svg	svg	svg	svg	N;NOM;INDF;MASC+FEM;SG	N
distrikt	distrikt	distrikt	distrikt	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
fuktigt	fuktig	fuktig	fuktig	ADJ;NOM;INDF;NEUT;SG	ADJ;INDF;NEUT;SG
fuktigt	fuktig	fuktig	fuktig	ADJ;NOM;INDF;NEUT;SG	ADJ;INDF;NEUT;SG
fyra	fire	fyra	fire	NUM;NOM	NUM;PL
eftersom	fordi	eftersom	fordi	CONJ	CONJ
början	begynnelsen	början	begynnels	N;NOM;DEF;MASC+FEM;SG	N;DEF;MASC;SG
går	går	gå	gå	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
hur	korleis	hur	korleis	ADV	ADV
bay	bukt	bay	bukt	N;NOM;INDF;NEUT;SG	N;INDF;FEM;SG
bay	bay	bay	bay	N;NOM;INDF;NEUT;SG	N;INDF;FEM;SG
barn	ungdommer	barn	ungdom	N;NOM;INDF;NEUT;PL	N;INDF;MASC;PL
barn	barn	barn	barn	N;NOM;INDF;NEUT;PL	N;INDF;NEUT;PL
barn	barn	barn	barn	N;NOM;INDF;NEUT;PL	N;INDF;NEUT;PL
barn	child	barn	child	N;NOM;INDF;NEUT;PL	N
barn	barn	barn	barn	N;NOM;INDF;NEUT;PL	N;INDF;NEUT;PL
kunde	kunne	kunna	kunne	V;IND;PST;FIN;ACT	V;IND;PST;FIN
kunde	kunne	kunna	kunne	V;IND;PST;FIN;ACT	V;IND;PST;FIN
både	både	både	både	CONJ	CONJ
artikel	artikkel	artikel	artikkel	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
hennes	henne	hon	ho	PRO;DEF	PRO;ACC;FEM;SG;3
argentina	argentinas	argentin	argentinas	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
argentina	argentina	argentin	argentin	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
mountain	fjell	mountai	fjell	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
mountain	mountain	mountai	mountain	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
grund	grunnlag	grund	grunnlag	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
grund	basis	grund	basis	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
deras	sine	de	sin	PRO;DEF	PRO;PL
förekommer	oppstår	förekomma	oppstå	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
distriktet	distriktet	distrikt	distrikt	N;NOM;DEF;NEUT;SG	N;DEF;NEUT;SG
dam	dam	dam	dam	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
dam	demning	dam	demning	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
dam	lady	dam	lady	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
dam	dame	dam	dame	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
skådespelare	aktør	skådespelare	aktør	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
skådespelare	skuespiller	skådespelare	skuespille	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
personer	personer	person	person	N;NOM;INDF;MASC+FEM;PL	N;INDF;FEM;PL
personer	personer	person	person	N;NOM;INDF;MASC+FEM;PL	N;INDF;FEM;PL
personer	personar	person	person	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;PL
personer	folk	person	folk	N;NOM;INDF;MASC+FEM;PL	N;INDF;NEUT;PL
fanns	eksisterte	finnas	eksistere	V;IND;PST;FIN	V;IND;PST;FIN
spelade	spilte	spela	spilte	V;IND;PST;FIN;ACT	V;IND;PST;FIN
