beachtung	pozor	beachtung	pozor		
teilgenommen	sodelovala	teilnehmen	sodelovati	V;V.PTCP	V;IPFV;FEM;SG;V.PTCP
teilgenommen	sodeloval	teilnehmen	sodelovati	V;V.PTCP	V;IPFV;MASC;SG;V.PTCP
teilgenommen	sodelovali	teilnehmen	sodelovati	V;V.PTCP	V;IPFV;MASC;PL;V.PTCP
teilgenommen	sodelovalo	teilnehmen	sodelovati	V;V.PTCP	V;IPFV;NEUT;SG;V.PTCP
administrative	upravne	administrativ	upraven	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;PL
shakespeare	shakespeare	shakespeare	shakespeara	N;NOM;MASC;SG	N;NOM;MASC;SG
auseinander	narazen	auseinander	narazen	ADV	ADV
hang	naklon	hang	naklon	N	N;NOM;MASC;SG
hang	nagib	hang	nagib	N	N;NOM;MASC;SG
löscht	izbriše	löschen	izbria	V;IND;SG;3;PRS;FIN	V;PFV;IND;SG;3;PRS;FIN
beantwortet	odgovoril	beantworten	odgovoriti	V;V.PTCP	V;PFV;MASC;SG;V.PTCP
beantwortet	odgovorilo	beantworten	odgovoriti	V;V.PTCP	V;PFV;NEUT;SG;V.PTCP
beantwortet	odgovoril	beantworten	odgovoriti	V;V.PTCP	V;PFV;MASC;SG;V.PTCP
oberste	vrhovni	ober	vrhoven	ADJ;NOM	ADJ;NOM;MASC;PL
oberste	vrhovno	ober	vrhoven	ADJ;NOM	ADJ;NOM;NEUT;SG
berühmt	slavni	berühmt	slaven	ADJ	ADJ;NOM;DEF;MASC;SG
berühmt	slaven	berühmt	slaven	ADJ	ADJ;NOM;INDF;MASC;SG
berühmt	znana	berühmt	znan	ADJ	ADJ;NOM;FEM;SG;V.PTCP
berühmt	znani	berühmt	znan	ADJ	ADJ;NOM;MASC;PL;V.PTCP
berühmt	znan	berühmt	znan	ADJ	ADJ;NOM;INDF;MASC;SG;V.PTCP
restaurierung	obnovitev	restaurierung	obnovitev	N;NOM;FEM;SG	N;NOM;FEM;SG
restaurierung	obnavljanje	restaurierung	obnavljanje	N;NOM;FEM;SG	N;NOM;NEUT;SG
restaurierung	obnova	restaurierung	obnova	N;NOM;FEM;SG	N;NOM;FEM;SG
restaurierung	obnova	restaurierung	obnova	N;NOM;FEM;SG	N;NOM;FEM;SG
restaurierung	prenova	restaurierung	prenova	N;NOM;FEM;SG	N;NOM;FEM;SG
restaurierung	obnavljanje	restaurierung	obnavljanje	N;NOM;FEM;SG	N;NOM;NEUT;SG
umzug	premestitev	umzugen	premestitev	N;SG	N;NOM;FEM;SG
umzug	preselitev	umzugen	preselitev	N;SG	N;NOM;FEM;SG
umzug	selitev	umzugen	selitev	N;SG	N;NOM;FEM;SG
umzug	premikanje	umzugen	premikanje	N;SG	N;NOM;NEUT;SG
umzug	parada	umzugen	parada	N;SG	N;NOM;FEM;SG
umzug	parade	umzugen	parada	N;SG	N;NOM;FEM;SG
umzug	parado	umzugen	parada	N;SG	N;ACC;FEM;SG
umzug	odstranitev	umzugen	odstranitev	N;SG	N;NOM;FEM;SG
umzug	odstranjevanje	umzugen	odstranjevanje	N;SG	N;NOM;NEUT;SG
niedrigen	nizki	niedrig	nizek	ADJ	ADJ;NOM;MASC;SG
niedrigen	nizka	niedrig	nizek	ADJ	ADJ;NOM;FEM;SG
niedrigen	nizek	niedrig	nizek	ADJ	ADJ;NOM;INDF;MASC;SG
niedrigen	nizke	niedrig	nizek	ADJ	ADJ;NOM;FEM;PL
weichen	stikala	weichen	stikati	V;NFIN	V;IPFV;FEM;SG;V.PTCP
ansprechen	odziva	ansprechen	odziv	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN
erhöhung	povečanje	erhöhung	povečanje	N;NOM;FEM;SG	N;NOM;NEUT;SG
erhöhung	zvišanje	erhöhung	zvišanje	N;NOM;FEM;SG	N;NOM;NEUT;SG
erhöhung	povišanje	erhöhung	povišanje	N;NOM;FEM;SG	N;NOM;NEUT;SG
polizisten	policaji	polizist	policaj	N;PL	N;NOM;MASC;PL
polizisten	policisti	polizist	policist	N;PL	N;NOM;MASC;PL
polizisten	policisti	polizist	policist	N;PL	N;NOM;MASC;PL
polizisten	častniki	polizist	častnik	N;PL	N;NOM;MASC;PL
polizisten	policisti	polizist	policist	N;PL	N;NOM;MASC;PL
polizisten	oficirji	polizist	oficir	N;PL	N;NOM;MASC;PL
latein	latinsko	latein	latinsko	ADJ	ADJ;NOM;NEUT;SG
fortgesetzt	nadaljevalo	fortsetzen	nadaljevati	V;V.PTCP	V;IPFV;NEUT;SG;V.PTCP
politisches	politični	politisch	političen	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
politisches	politično	politisch	političen	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
politisches	politična	politisch	političen	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
selbständige	neodvisni	selbständig	neodvisen	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;PL
güterverkehr	tovorni	güterverkehr	tovoren	ADJ	ADJ;NOM;DEF;MASC;SG
alternativen	alternativni	alternativ	alternativen	ADJ	ADJ;NOM;MASC;SG
alternativen	alternativno	alternativ	alternativen	ADJ	ADJ;NOM;NEUT;SG
herrscht	prevladuje	herrschen	prevladovati	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
herrscht	prevlada	herrschen	prevladati	V;IND;SG;3;PRS;FIN	V;PFV;IND;SG;3;PRS;FIN
schaffung	stvaritev	schaffung	stvaritev	N	N;NOM;FEM;SG
schaffung	ustanovitev	schaffung	ustanovitev	N	N;NOM;FEM;SG
schaffung	ustvarjanje	schaffung	ustvarjanje	N	N;NOM;NEUT;SG
unverändert	nespremenjeni	unverändert	nespremenjen	ADJ	ADJ;NOM;MASC;SG
unverändert	nespremenjeno	unverändert	nespremenjen	ADJ	ADJ;NOM;NEUT;SG
unverändert	nespremenjena	unverändert	nespremenjen	ADJ	ADJ;NOM;FEM;SG
unverändert	nespremenjen	unverändert	nespremenjen	ADJ	ADJ;NOM;INDF;MASC;SG
schwanz	cifra	schwanzen	cifr	N	N;NOM;FEM;SG
schwanz	repi	schwanzen	rep	N	N;NOM;MASC;PL
schwanz	rep	schwanzen	rep	N	N;NOM;MASC;SG
schwanz	tail	schwanzen	taiti	N	N;NOM;MASC;SG
schwanz	tič	schwanzen	tič	N	N;NOM;MASC;SG
schwanz	dick	schwanzen	dick	N	N;NOM;MASC;SG
schwanz	tič	schwanzen	tič	N	N;NOM;MASC;SG
schwanz	petelin	schwanzen	petelin	N	N;NOM;MASC;SG
untergrund	podzemna	untergrund	podzemen	ADJ	ADJ;NOM;FEM;SG
untergrund	podzemni	untergrund	podzemen	ADJ	ADJ;NOM;MASC;SG
nachkriegszeit	povojni	nachkriegszeit	povojen	ADJ	ADJ;NOM;MASC;SG
bahnhöfe	postaje	bahnhöfen	postaja	N;NOM;MASC;PL	N;NOM;FEM;PL
ack	ack	ack	acka		
rechtlich	pravno	rechtlich	praven	ADJ	ADJ;NOM;NEUT;SG
rechtlich	legalno	rechtlich	legalen	ADJ	ADJ;NOM;NEUT;SG
pionier	pionirski	pionier	pionirski	ADJ	ADJ;NOM;MASC;SG
blütezeit	cvetoče	blütezeit	cvetoč	ADJ	ADJ;NOM;NEUT;SG;V.PTCP
rumänischen	romunski	rumänisch	romunski	ADJ	ADJ;NOM;MASC;SG
tests	testi	tests	testi	N	N;NOM;MASC;PL
tests	preskusi	tests	preskusiti	N	N;NOM;MASC;PL
tests	preskušanje	tests	preskušanje	N	N;NOM;NEUT;SG
tests	testiranje	tests	testiranje	N	N;NOM;NEUT;SG
tests	preizkušanje	tests	preizkušanje	N	N;NOM;NEUT;SG
sorgt	zagotavlja	sorgen	zagotavljati	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
läßt	priznava	lassen	priznavati	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
staffeln	eskadrilje	staffeln	eskadrilja	N;NOM;FEM;PL	N;NOM;FEM;PL
trasse	pot	trassen	pot	N	N;NOM;FEM;SG
bemerkenswert	opaznih	bemerkenswert	opazen	ADJ	ADJ;GEN;MASC;PL
bemerkenswert	opazno	bemerkenswert	opazen	ADJ	ADJ;NOM;NEUT;SG
bemerkenswert	opazna	bemerkenswert	opazen	ADJ	ADJ;NOM;FEM;SG
bemerkenswert	opazen	bemerkenswert	opazen	ADJ	ADJ;NOM;INDF;MASC;SG
deutlicher	jasnejše	deutlich	jasen	ADJ	ADJ;NOM;CMPR;NEUT;SG
öffentlicher	javna	öffentlich	javen	ADJ	ADJ;NOM;FEM;SG
tropischen	tropske	tropisch	tropski	ADJ	ADJ;NOM;FEM;PL
tropischen	tropski	tropisch	tropski	ADJ	ADJ;NOM;MASC;SG
tropischen	tropskih	tropisch	tropski	ADJ	ADJ;GEN;MASC;PL
vertretung	zastopanje	vertretung	zastopanje	N;FEM;SG	N;NOM;NEUT;SG
vertretung	ponazoritev	vertretung	ponazoritev	N;FEM;SG	N;NOM;FEM;SG
vertretung	predstavništvo	vertretung	predstavništvo	N;FEM;SG	N;NOM;NEUT;SG
vertretung	rep	vertretung	rep	N;FEM;SG	N;NOM;MASC;SG
vertretung	zastopnik	vertretung	zastopnik	N;FEM;SG	N;NOM;MASC;SG
vertretung	zastopnik	vertretung	zastopnik	N;FEM;SG	N;NOM;MASC;SG
vertretung	predstavnik	vertretung	predstavnik	N;FEM;SG	N;NOM;MASC;SG
abriss	rušenje	abreißen	rušenje	N	N;NOM;NEUT;SG
ethnischen	etničnih	ethnisch	etničen	ADJ;PL	ADJ;GEN;MASC;PL
ethnischen	etnične	ethnisch	etničen	ADJ;PL	ADJ;NOM;FEM;PL
breiter	širši	breit	širok	ADJ	ADJ;NOM;DEF;CMPR;MASC;SG
breiter	širša	breit	širok	ADJ	ADJ;NOM;CMPR;FEM;SG
breiter	širše	breit	širok	ADJ	ADJ;NOM;CMPR;NEUT;SG
breiter	široka	breit	širok	ADJ	ADJ;NOM;FEM;SG
breiter	široka	breit	širok	ADJ	ADJ;NOM;FEM;SG
breiter	široki	breit	širok	ADJ	ADJ;NOM;MASC;PL
breiter	širok	breit	širok	ADJ	ADJ;NOM;INDF;MASC;SG
breiter	širši	breit	širok	ADJ	ADJ;NOM;DEF;CMPR;MASC;SG
breiter	širše	breit	širok	ADJ	ADJ;NOM;CMPR;NEUT;SG
vortrag	predavanje	vortragen	predavanje	N;SG	N;NOM;NEUT;SG
vortrag	govor	vortragen	govor	N;SG	N;NOM;MASC;SG
vortrag	predstavitvi	vortragen	predstavitev	N;SG	N;DAT;FEM;SG
vortrag	predstavitev	vortragen	predstavitev	N;SG	N;NOM;FEM;SG
vortrag	govorjenje	vortragen	govorjenje	N;SG	N;NOM;NEUT;SG
vortrag	pogovor	vortragen	pogovor	N;SG	N;NOM;MASC;SG
dienstleistungen	storitve	dienstleistungen	storitev	N;NOM;FEM;PL	N;NOM;FEM;PL
subsp	subsp	subsp	subsp		
standorte	lokacija	standort	lokacija	N;NOM	N;NOM;FEM;SG
standorte	lokacije	standort	lokacija	N;NOM	N;NOM;FEM;PL
erwachsene	odrasle	erwachsen	odrasel	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;PL;V.PTCP
erwachsene	odrasli	erwachsen	odrasel	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;PL;V.PTCP
erwachsene	odrasli	erwachsen	odrasel	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;PL;V.PTCP
werfen	vrzi	werfen	vrz	V;NFIN	V;PFV;IND;SG;3;PRS;FIN
erfunden	izumili	erfinden	izumiti	V;V.PTCP	V;PFV;MASC;PL;V.PTCP
erfunden	izumil	erfinden	izumiti	V;V.PTCP	V;PFV;MASC;SG;V.PTCP
ehrenmitglied	častni	ehrenmitglied	časten	ADJ	ADJ;NOM;DEF;MASC;SG
ehrenmitglied	častna	ehrenmitglied	časten	ADJ	ADJ;NOM;FEM;SG
dicke	debeline	dick	debelina	N;NOM;FEM;PL	N;NOM;FEM;PL
ländlichen	podeželski	ländlich	podeželski	ADJ	ADJ;NOM;MASC;SG
ländlichen	podeželske	ländlich	podeželski	ADJ	ADJ;NOM;FEM;PL
ländlichen	podeželska	ländlich	podeželski	ADJ	ADJ;NOM;FEM;SG
