nie	не	nie	не	PART;NEG	PART;NEG
wcześniej	раніше	wcześnie	раніше	ADV;CMPR	ADV;CMPR
partii	партії	partia	партія	N;GEN;FEM;SG	N;INAN;GEN;FEM;SG
stadion	стадіон	stadion	стадіон	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
stadion	стедіум	stadion	стедія	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
dzieci	діти	dziecko	дитина	N;NOM;NEUT;PL	N;ANIM;NOM;FEM;PL
dzieci	дітки	dziecko	дитка	N;NOM;NEUT;PL	N;ANIM;NOM;MASC;PL
dzieci	діти	dziecko	дитина	N;NOM;NEUT;PL	N;ANIM;NOM;FEM;PL
byli	були	być	бути	V;IPFV;MASC;IND;PL;PST;FIN;ACT	V;IPFV;IND;PL;PST;FIN
język	язик	język	язик	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
język	мова	język	мова	N;NOM;MASC;SG	N;INAN;NOM;FEM;SG
rodzaj	вид	rodzaj	вид	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
rodzaj	різновид	rodzaj	різновид	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
rodzaj	рід	rodzaj	рід	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
rodzaj	типу	rodzaj	тип	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
rodzaj	тип	rodzaj	тип	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
najbardziej	найцікавіше	bardzo	найцікавіше	ADV;RL	ADV;RL
historia	історія	historia	історія	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
historia	сюжет	historia	сюжет	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
historia	розповідь	historia	розповідь	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
historia	публікація	historia	публікація	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
historia	журнал	historia	журнал	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
historia	історія	historia	історія	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
metrów	метрів	metr	метр	N;GEN;MASC;PL	N;INAN;GEN;MASC;PL
metrów	метрів	metr	метр	N;GEN;MASC;PL	N;INAN;GEN;MASC;PL
oficjalna	офіційна	oficjalny	офіційний	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
oficjalna	офіційний	oficjalny	офіційний	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
oficjalna	офіційне	oficjalny	офіційний	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
pracował	працював	pracować	працювати	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN
pracował	працювала	pracować	працювати	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IPFV;FEM;IND;SG;PST;FIN
król	король	król	король	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
król	цар	król	цар	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
drugi	другий	drugi	другий	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
drugi	друге	drugi	другий	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
działalność	діяльність	działalność	діяльність	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
działalność	активність	działalność	активність	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
działalność	дія	działalność	дія	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
działalność	діяльність	działalność	діяльність	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
początkowo	спочатку	początkowo	спочатку	ADV	ADV
wydawnictwo	видавець	wydawnictwo	видавець	N;NOM;NEUT;SG	N;ANIM;NOM;MASC;SG
wydawnictwo	видавництво	wydawnictwo	видавництво	N;NOM;NEUT;SG	N;INAN;NOM;NEUT;SG
wydawnictwo	оприлюднення	wydawnictwo	оприлюднення	N;NOM;NEUT;SG	N;INAN;NOM;NEUT;SG
wydawnictwo	публікація	wydawnictwo	публікація	N;NOM;NEUT;SG	N;INAN;NOM;FEM;SG
wydawnictwo	публікування	wydawnictwo	публікування	N;NOM;NEUT;SG	N;INAN;NOM;NEUT;SG
temat	тему	temat	тема	N;ACC;MASC;SG	N;INAN;ACC;FEM;SG
temat	тему	temat	тема	N;ACC;MASC;SG	N;INAN;ACC;FEM;SG
sezon	сезон	sezon	сезон	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
ona	вона	on	вона	PRO;NOM;FEM;SG;3	PRO;NOM;FEM;SG;3
życie	життя	życie	життя	N;NOM;NEUT;SG	N;INAN;NOM;NEUT;SG
nowe	нове	nowy	новий	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
nowe	нова	nowy	новий	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
nowe	новий	nowy	новий	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
drużyna	команда	drużyna	команда	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
niemiecki	німецька	niemiecki	німецький	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
niemiecki	німецький	niemiecki	німецький	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
wtedy	потім	wtedy	потім	ADV	ADV
wtedy	тоді	wtedy	тоді	ADV	ADV
aktor	актор	aktor	актор	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
syn	сина	syn	син	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
syn	син	syn	син	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
studia	студії	studia	студія	N;NOM;NEUT;PL	N;INAN;NOM;FEM;PL
studia	майстерні	studia	майстерня	N;NOM;NEUT;PL	N;INAN;NOM;FEM;PL
większość	більшість	większość	більшість	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
większość	більшість	większość	більшість	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
pierwsza	перша	pierwszy	перший	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
pierwsza	перший	pierwszy	перший	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
gitara	гітара	gitar	гітар	N;NOM;MASC;SG	N;ANIM;NOM;FEM;SG
stacja	станція	stacja	станція	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
stacja	вокзал	stacja	вокзал	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
zmarł	помер	zemrzeć	померти	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;MASC;IND;SG;PST;FIN
zmarł	померла	zemrzeć	померти	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;FEM;IND;SG;PST;FIN
więcej	більше	dużo	більше	ADV;CMPR	ADV;CMPR
bar	бар	bar	бар	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
bar	смужка	bar	смужка	N;NOM;MASC;SG	N;INAN;NOM;FEM;SG
numer	число	numer	число	N;NOM;MASC;SG	N;INAN;NOM;NEUT;SG
numer	кількість	numer	кількість	N;NOM;MASC;SG	N;INAN;NOM;FEM;SG
numer	номер	numer	номер	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
gra	грає	grać	грати	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
ludzi	людей	człowiek	людина	N;ACC;MASC;PL	N;ANIM;ACC;FEM;PL
nagrody	винагороди	nagroda	винагорода	N;NOM;FEM;PL	N;INAN;NOM;FEM;PL
nagrody	нагороди	nagroda	нагорода	N;NOM;FEM;PL	N;INAN;NOM;MASC;PL
posiada	має	posiadać	мати	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
posiada	володіє	posiadać	володіти	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
polskie	польська	polski	польський	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
polskie	польське	polski	польський	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
organizacji	організації	organizacja	організація	N;GEN;FEM;SG	N;INAN;GEN;FEM;SG
park	парк	park	парк	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
źródeł	джерел	źródło	джерело	N;GEN;NEUT;PL	N;INAN;GEN;NEUT;PL
długość	тривалість	długość	тривалість	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
długość	довжина	długość	довжина	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
członek	член	członek	член	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
członek	учасник	członek	учасник	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
hasło	пароль	hasło	пароль	N;NOM;NEUT;SG	N;INAN;NOM;MASC;SG
stanowisko	розташування	stanowisko	розташування	N;NOM;NEUT;SG	N;INAN;NOM;NEUT;SG
stanowisko	позиція	stanowisko	позиція	N;NOM;NEUT;SG	N;INAN;NOM;FEM;SG
stanowisko	положення	stanowisko	положення	N;NOM;NEUT;SG	N;INAN;NOM;NEUT;SG
kluby	клуби	klub	клуб	N;NOM;MASC;PL	N;INAN;NOM;MASC;PL
informacje	інформації	informacja	інформація	N;NOM;FEM;PL	N;INAN;NOM;FEM;PL
informacje	відомості	informacja	відомість	N;NOM;FEM;PL	N;INAN;NOM;FEM;PL
ostatecznie	зрештою	ostatecznie	зрештою	ADV	ADV
stan	стан	stan	стан	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
stan	стан	stan	стан	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
stan	держава	stan	держава	N;NOM;MASC;SG	N;INAN;NOM;FEM;SG
stan	умова	stan	умова	N;NOM;MASC;SG	N;INAN;NOM;FEM;SG
powierzchnia	поверхня	powierzchnia	поверхня	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
powierzchnia	область	powierzchnia	область	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
powierzchnia	ділянка	powierzchnia	ділянка	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
powierzchnia	площа	powierzchnia	площа	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
powierzchnia	місцевість	powierzchnia	місцевість	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
wersja	версія	wersja	версія	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
hasła	пароль	hasło	пароль	N;NOM;NEUT;SG	N;INAN;NOM;MASC;SG
prawo	закон	prawo	закон	N;NOM;NEUT;SG	N;INAN;NOM;MASC;SG
prawo	право	prawo	право	N;NOM;NEUT;SG	N;INAN;NOM;NEUT;SG
prawo	право	prawo	право	N;NOM;NEUT;SG	N;INAN;NOM;NEUT;SG
źródła	джерела	źródło	джерело	N;NOM;NEUT;PL	N;INAN;NOM;NEUT;PL
źródła	джерела	źródło	джерело	N;NOM;NEUT;PL	N;INAN;NOM;NEUT;PL
okres	строк	okres	строк	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
okres	період	okres	період	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
zachód	захід	zachód	захід	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
wyniki	результати	wynik	результат	N;NOM;MASC;PL	N;INAN;NOM;MASC;PL
walki	бійця	walka	бійце	N;ACC;FEM;SG	N;ANIM;ACC;MASC;SG
jednostki	одиниці	jednostka	одиниця	N;NOM;FEM;PL	N;INAN;NOM;FEM;PL
jednostki	одиниці	jednostka	одиниця	N;NOM;FEM;PL	N;INAN;NOM;FEM;PL
obszar	зона	obszar	зона	N;NOM;MASC;SG	N;INAN;NOM;FEM;SG
obszar	область	obszar	область	N;NOM;MASC;SG	N;INAN;NOM;FEM;SG
obszar	ділянка	obszar	ділянка	N;NOM;MASC;SG	N;INAN;NOM;FEM;SG
obszar	площа	obszar	площа	N;NOM;MASC;SG	N;INAN;NOM;FEM;SG
obszar	місцевість	obszar	місцевість	N;NOM;MASC;SG	N;INAN;NOM;FEM;SG
warunki	терміни	warunki	термін	N;NOM;NEUT;PL	N;INAN;NOM;MASC;PL
warunki	умови	warunki	умова	N;NOM;NEUT;PL	N;INAN;NOM;FEM;PL
warunki	умови	warunki	умова	N;NOM;NEUT;PL	N;INAN;NOM;FEM;PL
sędzia	суддя	sędzia	суддя	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
sędzia	арбітр	sędzia	арбітр	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
sędzia	рефері	sędzia	рефер	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
sędzia	суддя	sędzia	суддя	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
spraw	справ	sprawa	справа	N;GEN;FEM;PL	N;INAN;GEN;FEM;PL
działania	дія	działanie	дія	N;NOM;NEUT;SG	N;INAN;NOM;FEM;SG
działania	діяльність	działanie	діяльність	N;NOM;NEUT;SG	N;INAN;NOM;FEM;SG
prawdopodobnie	ймовірно	prawdopodobnie	ймовірно	ADV	ADV
prawdopodobnie	орієнтовно	prawdopodobnie	орієнтовно	ADV	ADV
dzień	день	dzień	день	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
wschód	схід	wschód	схід	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
główne	головний	główny	головний	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
główne	основне	główny	основний	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
główne	головна	główny	головний	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
wschodniej	східної	wschodni	східний	ADJ;GEN;FEM;SG	ADJ;GEN;FEM;SG
pułk	полк	pułka	полк.	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
muzyka	музика	muzyka	музика	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
prace	малюнки	praca	малюнок	N;NOM;FEM;PL	N;INAN;NOM;MASC;PL
