les	de	le	de	DET;DEF;PL	DET;DEF
voir	bekijk	voir	bekijk	V;NFIN	V;SG;PRS;FIN
voir	bekijken	voir	bekijken	V;NFIN	V;NFIN
pays	land	pays	land	N;MASC;SG	N;NEUT;SG
source	bron	source	bron	N;FEM;SG	N;MASC+FEM;SG
ils	ze	il	ze	PRO;MASC;PL;3	PRO;3
ils	zij	il	zij	PRO;MASC;PL;3	PRO;NOM;3
grand	groot	grand	groot	ADJ;MASC;SG	ADJ
grand	grote	grand	groot	ADJ;MASC;SG	ADJ
grand	groot	grand	groot	ADJ;MASC;SG	ADJ
grand	grote	grand	groot	ADJ;MASC;SG	ADJ
grand	groot	grand	groot	ADJ;MASC;SG	ADJ
grand	geweldig	grand	geweldig	ADJ;MASC;SG	ADJ
grand	fantastisch	grand	fantastisch	ADJ;MASC;SG	ADJ
tout	alles	tout	alles	PRO;MASC;SG	PRO;3
tout	allen	tout	al	PRO;MASC;SG	PRO
tout	alles	tout	alles	PRO;MASC;SG	PRO;3
groupe	band	groupe	band	N;MASC;SG	N;MASC+FEM;SG
groupe	groep	groupe	groep	N;MASC;SG	N;MASC+FEM;SG
groupe	fractie	groupe	fractie	N;MASC;SG	N;MASC+FEM;SG
également	ook	également	ook	ADV	ADV
titre	titel	titre	titel	N;MASC;SG	N;MASC+FEM;SG
monde	wereld	monde	wereld	N;MASC;SG	N;MASC+FEM;SG
nord	noorden	nord	noorden	N;MASC;SG	N;NEUT;SG
nord	noord	nord	noord	N;MASC;SG	N;NEUT;SG
nord	nord	nord	nord	N;MASC;SG	N;MASC+FEM;SG
années	jaren	année	jaar	N;FEM;PL	N;PL
bien	nou	bien	nou	ADV	ADV
bien	wel	bien	wel	ADV	ADV
contre	tegen	contre	tegen	ADP	ADP
liste	lijstje	liste	lijst	N;FEM;SG	N;NEUT;SG
liste	lijst	liste	lijst	N;FEM;SG	N;MASC+FEM;SG
équipe	squad	équipe	squad	N;FEM;SG	N;MASC+FEM;SG
équipe	team	équipe	team	N;FEM;SG	N;NEUT;SG
équipe	team	équipe	team	N;FEM;SG	N;NEUT;SG
club	club	club	club	N;MASC;SG	N;MASC+FEM;SG
sud	sud	sud	sud	N;MASC;SG	N;MASC+FEM;SG
sud	zuiden	sud	zuiden	N;MASC;SG	N;NEUT;SG
partie	feest	partie	feest	N;FEM;SG	N;NEUT;SG
partie	partij	partie	partij	N;FEM;SG	N;MASC+FEM;SG
partie	feestje	partie	feest	N;FEM;SG	N;NEUT;SG
partie	party	partie	party	N;FEM;SG	N;MASC+FEM;SG
partie	deel	partie	deel	N;FEM;SG	N;NEUT;SG
partie	gedeelte	partie	gedeelte	N;FEM;SG	N;NEUT;SG
avant	vóór	avant	voor	ADP	ADP
non	niet	non	niet	ADV	ADV
très	zeer	très	zeer	ADV	ADV
trois	drie	trois	drie	NUM	NUM
articles	artikelen	article	artikel	N;MASC;PL	N;PL
articles	artikels	article	artikel	N;MASC;PL	N;PL
article	artikel	article	artikel	N;MASC;SG	N;NEUT;SG
guerre	oorlog	guerre	oorlog	N;FEM;SG	N;MASC+FEM;SG
sans	zonder	sans	zonder	ADP	ADP
saison	seizoen	saison	seizoen	N;FEM;SG	N;NEUT;SG
fin	vin	fin	vin	N;FEM;SG	N;MASC+FEM;SG
fin	fin	fin	fin	N;FEM;SG	N;MASC+FEM;SG
fin	einde	fin	einde	N;FEM;SG	N;NEUT;SG
fin	eind	fin	eind	N;FEM;SG	N;NEUT;SG
année	jaar	année	jaar	N;FEM;SG	N;NEUT;SG
temps	tijd	temps	tijd	N;MASC;SG	N;MASC+FEM;SG
plusieurs	veel	plusieurs	veel	PRO;PL	PRO
plusieurs	velen	plusieurs	veel	PRO;PL	PRO
plusieurs	vele	plusieurs	veel	PRO;PL	PRO
plusieurs	meerdere	plusieurs	meerdere	PRO;PL	PRO
plusieurs	meerdere	plusieurs	meerdere	PRO;PL	PRO
faire	maken	faire	maken	V;NFIN	V;NFIN
faire	maak	faire	maken	V;NFIN	V;SG;PRS;FIN
mars	mars	mars	mars	N;MASC;SG	N;MASC+FEM;SG
histoire	geschiedenis	histoire	geschiedenis	N;FEM;SG	N;MASC+FEM;SG
série	serie	série	serie	N;FEM;SG	N;MASC+FEM;SG
série	reeks	série	reeks	N;FEM;SG	N;MASC+FEM;SG
série	serienummer	série	serienummer	N;FEM;SG	N;NEUT;SG
joueur	speler	joueur	speler	N;MASC;SG	N;MASC+FEM;SG
joueur	player	joueur	player	N;MASC;SG	N;MASC+FEM;SG
mai	mai	mai	mai	N;MASC;SG	N;MASC+FEM;SG
mai	moi	mai	moi	N;MASC;SG	N;MASC+FEM;SG
tour	rondreis	tour	rondreis	N;MASC;SG	N;MASC+FEM;SG
tour	tour	tour	tour	N;MASC;SG	N;MASC+FEM;SG
tour	rondleiding	tour	rondleiding	N;MASC;SG	N;MASC+FEM;SG
tour	tournee	tour	tournee	N;MASC;SG	N;MASC+FEM;SG
tour	tower	tour	tower	N;MASC;SG	N;MASC+FEM;SG
tour	toren	tour	toren	N;MASC;SG	N;MASC+FEM;SG
mort	gestorven	mourir	sterven	V;MASC;SG;PST;V.PTCP	V;V.PTCP
mort	overleden	mourir	overlijden	V;MASC;SG;PST;V.PTCP	V;V.PTCP
mort	stierf	mourir	sterven	V;MASC;SG;PST;V.PTCP	V;SG;PST;FIN
mort	overlijden	mourir	overlijden	V;MASC;SG;PST;V.PTCP	V;NFIN
juin	jun	juin	jun	N;MASC;SG	N;MASC+FEM;SG
juin	june	juin	june	N;MASC;SG	N;MASC+FEM;SG
jpg	jpg	jpg	jpg	N;MASC;SG	N;MASC+FEM;SG
française	franse	français	frans	ADJ;FEM;SG	ADJ
pierre	steen	pierre	steen	N;FEM;SG	N;MASC+FEM;SG
pierre	natuursteen	pierre	natuursteen	N;FEM;SG	N;NEUT;SG
pierre	stone	pierre	stone	N;FEM;SG	N;MASC+FEM;SG
pierre	petrus	pierre	petrus	N;FEM;SG	N;MASC+FEM;SG
pierre	peter	pierre	peter	N;FEM;SG	N;MASC+FEM;SG
pierre	pierre	pierre	pierre	N;FEM;SG	N;MASC+FEM;SG
région	regio	région	regio	N;FEM;SG	N;MASC+FEM;SG
région	gebied	région	gebied	N;FEM;SG	N;NEUT;SG
région	oppervlakte	région	oppervlakte	N;FEM;SG	N;MASC+FEM;SG
avoir	hebben	avoir	hebben	V;NFIN	V;PL;PRS;FIN
fois	times	fois	time	N;FEM;SG	N;MASC+FEM;SG
état	status	état	status	N;MASC;SG	N;MASC+FEM;SG
état	state	état	state	N;MASC;SG	N;MASC+FEM;SG
état	conditie	état	conditie	N;MASC;SG	N;MASC+FEM;SG
état	aandoening	état	aandoening	N;MASC;SG	N;MASC+FEM;SG
état	voorwaarde	état	voorwaard	N;MASC;SG	N;MASC+FEM;SG
état	toestand	état	toestand	N;MASC;SG	N;MASC+FEM;SG
église	kerk	église	kerk	N;FEM;SG	N;MASC+FEM;SG
octobre	lgo	octobre	lgo	N;MASC;SG	N;MASC+FEM;SG
place	plaats	place	plaats	N;FEM;SG	N;MASC+FEM;SG
famille	familie	famille	familie	N;FEM;SG	N;MASC+FEM;SG
famille	gezin	famille	gezin	N;FEM;SG	N;NEUT;SG
états	staten	état	state	N;MASC;PL	N;PL
général	generaal	général	generaal	N;MASC;SG	N;MASC+FEM;SG
avril	apr	avril	apr	N;MASC;SG	N;MASC+FEM;SG
avril	avril	avril	avril	N;MASC;SG	N;MASC+FEM;SG
insee	insee	insee	insee	N;MASC;SG	N;MASC+FEM;SG
tous	allen	tout	al	PRO;MASC;PL	PRO
tous	alles	tout	alles	PRO;MASC;PL	PRO;3
album	album	album	album	N;MASC;SG	N;NEUT;SG
août	august	août	august	N;MASC;SG	N;MASC+FEM;SG
août	aug	août	aug	N;MASC;SG	N;MASC+FEM;SG
novembre	nov	novembre	nov	N;MASC;SG	N;MASC+FEM;SG
prix	prijs	prix	prijs	N;MASC;SG	N;MASC+FEM;SG
nouvelle	nieuw	nouveau	nieuw	ADJ;FEM;SG	ADJ
nouvelle	nieuwe	nouveau	nieuw	ADJ;FEM;SG	ADJ
février	feb	février	feb	N;MASC;SG	N;MASC+FEM;SG
département	departement	département	departement	N;MASC;SG	N;NEUT;SG
département	afdeling	département	afdeling	N;MASC;SG	N;MASC+FEM;SG
grande	groot	grand	groot	ADJ;FEM;SG	ADJ
grande	grote	grand	groot	ADJ;FEM;SG	ADJ
grande	groot	grand	groot	ADJ;FEM;SG	ADJ
grande	grote	grand	groot	ADJ;FEM;SG	ADJ
grande	groot	grand	groot	ADJ;FEM;SG	ADJ
grande	geweldig	grand	geweldig	ADJ;FEM;SG	ADJ
grande	fantastisch	grand	fantastisch	ADJ;FEM;SG	ADJ
américain	amerikaans	américain	amerikaans	ADJ;MASC;SG	ADJ
américain	amerikaanse	américain	amerikaans	ADJ;MASC;SG	ADJ
début	begin	début	begin	N;MASC;SG	N;NEUT;SG
début	begin	début	begin	N;MASC;SG	N;NEUT;SG
ligne	line	ligne	lin	N;FEM;SG	N;MASC+FEM;SG
ligne	lijn	ligne	lijn	N;FEM;SG	N;MASC+FEM;SG
ligne	rij	ligne	rij	N;FEM;SG	N;MASC+FEM;SG
ligne	row	ligne	row	N;FEM;SG	N;MASC+FEM;SG
suite	suite	suite	suite	N;FEM;SG	N;MASC+FEM;SG
nationale	nationaal	national	nationaal	ADJ;FEM;SG	ADJ
nationale	nationale	national	nationaal	ADJ;FEM;SG	ADJ
championnat	kampioenschap	championnat	kampioenschap	N;MASC;SG	N;NEUT;SG
encore	alweer	encore	alweer	ADV	ADV
encore	opnieuw	encore	opnieuw	ADV	ADV
encore	nogmaals	encore	nogmaals	ADV	ADV
encore	nog	encore	nog	ADV	ADV
image	foto	image	foto	N;FEM;SG	N;MASC+FEM;SG
image	imago	image	imago	N;FEM;SG	N;NEUT;SG
image	beeld	image	beeld	N;FEM;SG	N;NEUT;SG
image	afbeelding	image	afbeelding	N;FEM;SG	N;MASC+FEM;SG
vie	leven	vie	leven	N;FEM;SG	N;NEUT;SG
vie	vie	vie	vie	N;FEM;SG	N;MASC+FEM;SG
unis	verenigde	unir	verenigen	V;MASC;PL;PST;V.PTCP	V;V.PTCP
unis	verenigd	unir	verenigen	V;MASC;PL;PST;V.PTCP	V;V.PTCP
lien	link	lien	link	N;MASC;SG	N;MASC+FEM;SG
lien	koppeling	lien	koppeling	N;MASC;SG	N;MASC+FEM;SG
football	voetbal	football	voetbal	N;MASC;SG	N;NEUT;SG
football	voetbal	football	voetbal	N;MASC;SG	N;NEUT;SG
pendant	tijdens	pendant	tijdens	ADP	ADP
pendant	gedurende	pendant	gedurende	ADP	ADP
jeux	games	jeu	game	N;MASC;PL	N;PL
jeux	spelletjes	jeu	spel	N;MASC;PL	N;PL
jeux	spellen	jeu	spellen	N;MASC;PL	N;PL
moins	minus	moins	minus	ADV	ADV
ouest	west	ouest	west	N;MASC;SG	N;MASC+FEM;SG
ouest	westen	ouest	westen	N;MASC;SG	N;NEUT;SG
ouest	western	ouest	western	N;MASC;SG	N;NEUT;SG
page	bladzijde	page	bladzijde	N;FEM;SG	N;MASC+FEM;SG
page	pagina	page	pagina	N;FEM;SG	N;MASC+FEM;SG
nouveau	nieuw	nouveau	nieuw	ADJ;MASC;SG	ADJ
nouveau	nieuwe	nouveau	nieuw	ADJ;MASC;SG	ADJ
vous	jij	vous	jij	PRO;PL;2	PRO;NOM;2
vous	jou	vous	jou	PRO;PL;2	PRO;ACC;2
centre	centrum	centre	centrum	N;MASC;SG	N;NEUT;SG
centre	centrum	centre	centrum	N;MASC;SG	N;NEUT;SG
cours	koers	cours	koers	N;MASC;SG	N;MASC+FEM;SG
cours	cursus	cours	cursus	N;MASC;SG	N;MASC+FEM;SG
cours	cours	cours	cours	N;MASC;SG	N;MASC+FEM;SG
partir	verlaat	partir	verlaten	V;NFIN	V;SG;PRS;FIN
partir	vertrek	partir	vertrekken	V;NFIN	V;SG;PRS;FIN
partir	verlaten	partir	verlaten	V;NFIN	V;V.PTCP
village	dorpje	village	dorp	N;MASC;SG	N;NEUT;SG
village	dorp	village	dorp	N;MASC;SG	N;NEUT;SG
université	universiteit	université	universiteit	N;FEM;SG	N;MASC+FEM;SG
université	college	université	college	N;FEM;SG	N;NEUT;SG
université	hogeschool	université	hogeschool	N;FEM;SG	N;MASC+FEM;SG
université	universiteit	université	universiteit	N;FEM;SG	N;MASC+FEM;SG
louis	louis	loui	louis	N;MASC;SG	N;MASC+FEM;SG
louis	lodewijk	loui	lodewijk	N;MASC;SG	N;MASC+FEM;SG
nombre	nummer	nombre	nummer	N;MASC;SG	N;MASC+FEM;SG
nombre	aantal	nombre	aantal	N;MASC;SG	N;NEUT;SG
nombre	getal	nombre	getal	N;MASC;SG	N;NEUT;SG
quelques	enkele	quelque	enkele	PRO;PL	PRO
quelques	sommigen	quelque	sommigen	PRO;PL	PRO
quelques	sommige	quelque	sommig	PRO;PL	PRO
siècle	eeuw	siècle	eeuw	N;MASC;SG	N;MASC+FEM;SG
coupe	kapsel	coupe	kapsel	N;FEM;SG	N;NEUT;SG
coupe	kopje	coupe	kopje	N;FEM;SG	N;NEUT;SG
coupe	beker	coupe	beker	N;FEM;SG	N;MASC+FEM;SG
coupe	cut	coupe	cut	N;FEM;SG	N;MASC+FEM;SG
coupe	coupé	coupe	coupé	N;FEM;SG	N;MASC+FEM;SG
coupe	coupe	coupe	coupe	N;FEM;SG	N;MASC+FEM;SG
population	bevolking	population	bevolking	N;FEM;SG	N;MASC+FEM;SG
population	populatie	population	populatie	N;FEM;SG	N;MASC+FEM;SG
connexes	verwant	connexe	verwant	ADJ;MASC;PL	ADJ
connexes	verwante	connexe	verwant	ADJ;MASC;PL	ADJ
homme	male	homme	maal	N;MASC;SG	N;MASC+FEM;SG
homme	mannetje	homme	mannetje	N;MASC;SG	N;NEUT;SG
homme	homme	homme	homme	N;MASC;SG	N;MASC+FEM;SG
homme	man	homme	man	N;MASC;SG	N;MASC+FEM;SG
communes	gemeenten	commune	gemeente	N;FEM;PL	N;PL
division	divisie	division	divisie	N;FEM;SG	N;MASC+FEM;SG
division	afdeling	division	afdeling	N;FEM;SG	N;MASC+FEM;SG
division	deling	division	deling	N;FEM;SG	N;MASC+FEM;SG
division	division	division	division	N;FEM;SG	N;MASC+FEM;SG
président	president	président	president	N;MASC;SG	N;MASC+FEM;SG
président	voorzitter	président	voorzitter	N;MASC;SG	N;MASC+FEM;SG
président	stoel	président	stoel	N;MASC;SG	N;MASC+FEM;SG
président	voorzitter	président	voorzitter	N;MASC;SG	N;MASC+FEM;SG
national	nationaal	national	nationaal	ADJ;MASC;SG	ADJ
national	nationale	national	nationaal	ADJ;MASC;SG	ADJ
société	samenleving	société	samenleving	N;FEM;SG	N;MASC+FEM;SG
société	genootschap	société	genootschap	N;FEM;SG	N;NEUT;SG
société	maatschappij	société	maatschappij	N;FEM;SG	N;MASC+FEM;SG
société	gezelschap	société	gezelschap	N;FEM;SG	N;NEUT;SG
société	bedrijf	société	bedrijf	N;FEM;SG	N;NEUT;SG
société	onderneming	société	onderneming	N;FEM;SG	N;MASC+FEM;SG
quatre	vier	quatre	vier	NUM	NUM
cas	geval	cas	geval	N;MASC;SG	N;NEUT;SG
cas	case	cas	case	N;MASC;SG	N;MASC+FEM;SG
cas	zaak	cas	zaak	N;MASC;SG	N;MASC+FEM;SG
cas	cas	cas	cas	N;MASC;SG	N;MASC+FEM;SG
jeu	gaming	jeu	gaming	N;MASC;SG	N;MASC+FEM;SG
jeu	wedstrijd	jeu	wedstrijd	N;MASC;SG	N;MASC+FEM;SG
jeu	spel	jeu	spel	N;MASC;SG	N;NEUT;SG
jeu	spelletje	jeu	spel	N;MASC;SG	N;NEUT;SG
genre	genre	genre	genre	N;MASC;SG	N;NEUT;SG
genre	geslacht	genre	geslacht	N;MASC;SG	N;NEUT;SG
musique	muziek	musique	muziek	N;FEM;SG	N;MASC+FEM;SG
fils	draad	fils	draad	N;MASC;SG	N;MASC+FEM;SG
fils	zoon	fils	zoon	N;MASC;SG	N;MASC+FEM;SG
fils	son	fils	son	N;MASC;SG	N;MASC+FEM;SG
fils	sons	fils	sons	N;MASC;SG	N;MASC+FEM;SG
roi	konings	roi	koning	N;MASC;SG	N;SG
roi	king	roi	kingen	N;MASC;SG	N;MASC+FEM;SG
roi	koning	roi	koning	N;MASC;SG	N;MASC+FEM;SG
roi	roi	roi	roi	N;MASC;SG	N;MASC+FEM;SG
roi	rendement	roi	rendement	N;MASC;SG	N;NEUT;SG
jour	dag	jour	dag	N;MASC;SG	N;MASC+FEM;SG
jour	dagje	jour	dag	N;MASC;SG	N;NEUT;SG
forme	vorm	forme	vorm	N;FEM;SG	N;MASC+FEM;SG
forme	formulier	forme	formulier	N;FEM;SG	N;NEUT;SG
forme	shape	forme	shape	N;FEM;SG	N;MASC+FEM;SG
forme	vorm	forme	vorm	N;FEM;SG	N;MASC+FEM;SG
époque	tijdperk	époque	tijdperk	N;FEM;SG	N;NEUT;SG
époque	tijdperk	époque	tijdperk	N;FEM;SG	N;NEUT;SG
époque	era	époque	era	N;FEM;SG	N;NEUT;SG
ancien	ouwe	ancien	oud	ADJ;MASC;SG	ADJ
ancien	oude	ancien	oud	ADJ;MASC;SG	ADJ
ancien	oud	ancien	oud	ADJ;MASC;SG	ADJ
ancien	oudere	ancien	oud	ADJ;MASC;SG	ADJ;CMPR
ancien	voormalig	ancien	voormalig	ADJ;MASC;SG	ADJ
ancien	voormalige	ancien	voormalig	ADJ;MASC;SG	ADJ
origine	herkomst	origine	herkomst	N;FEM;SG	N;MASC+FEM;SG
origine	oorsprong	origine	oorsprong	N;FEM;SG	N;MASC+FEM;SG
origine	herkomst	origine	herkomst	N;FEM;SG	N;MASC+FEM;SG
origine	oorsprong	origine	oorsprong	N;FEM;SG	N;MASC+FEM;SG
ordre	orde	ordre	orde	N;MASC;SG	N;MASC+FEM;SG
ordre	order	ordre	order	N;MASC;SG	N;MASC+FEM;SG
ordre	bestelling	ordre	bestelling	N;MASC;SG	N;MASC+FEM;SG
château	kasteel	château	kasteel	N;MASC;SG	N;NEUT;SG
château	chateau	château	chateau	N;MASC;SG	N;MASC+FEM;SG
école	school	école	school	N;FEM;SG	N;MASC+FEM;SG
carrière	carrière	carrière	carrière	N;FEM;SG	N;MASC+FEM;SG
carrière	carriere	carrière	carri	N;FEM;SG	N;MASC+FEM;SG
carrière	loopbaan	carrière	loopbaan	N;FEM;SG	N;MASC+FEM;SG
carrière	steengroeve	carrière	steengroeve	N;FEM;SG	N;MASC+FEM;SG
carrière	groeve	carrière	groev	N;FEM;SG	N;MASC+FEM;SG
carrière	carrière	carrière	carrière	N;FEM;SG	N;MASC+FEM;SG
carrière	loopbaan	carrière	loopbaan	N;FEM;SG	N;MASC+FEM;SG
part	deel	part	deel	N;FEM;SG	N;NEUT;SG
deuxième	tweede	deuxième	twee	ADJ;MASC;SG	ADJ
bar	bar	bar	bar	N;MASC;SG	N;MASC+FEM;SG
située	gelokaliseerd	situer	lokaliseren	V;FEM;SG;PST;V.PTCP	V;V.PTCP
située	gesitueerd	situer	situeren	V;FEM;SG;PST;V.PTCP	V;V.PTCP
charles	karel	charle	karel	N;MASC;SG	N;MASC+FEM;SG
points	puntjes	point	punt	N;MASC;PL	N;PL
points	stippen	point	stippen	N;MASC;PL	N;PL
points	punten	point	punt	N;MASC;PL	N;PL
paul	paulus	paul	paulus	N;MASC;SG	N;MASC+FEM;SG
paul	paul	paul	paul	N;MASC;SG	N;MASC+FEM;SG
rue	straat	rue	straat	N;FEM;SG	N;MASC+FEM;SG
rue	rue	rue	rue	N;FEM;SG	N;MASC+FEM;SG
chef	chef	chef	chef	N;MASC;SG	N;MASC+FEM;SG
chef	kok	chef	kok	N;MASC;SG	N;MASC+FEM;SG
chef	chef	chef	chef	N;MASC;SG	N;MASC+FEM;SG
chef	chief	chef	chief	N;MASC;SG	N;MASC+FEM;SG
chef	opperhoofd	chef	opperhoofd	N;MASC;SG	N;NEUT;SG
père	pap	père	pap	N;MASC;SG	N;MASC+FEM;SG
père	vader	père	vader	N;MASC;SG	N;MASC+FEM;SG
père	pa	père	pa	N;MASC;SG	N;MASC+FEM;SG
père	papa	père	papa	N;MASC;SG	N;MASC+FEM;SG
père	paps	père	paps	N;MASC;SG	N;MASC+FEM;SG
père	vader	père	vader	N;MASC;SG	N;MASC+FEM;SG
exemple	voorbeeld	exemple	voorbeeld	N;MASC;SG	N;NEUT;SG
trouve	vindt	trouver	vinden	V;IND;SG;3;PRS;FIN	V;SG;PRS;FIN
durant	tijdens	durant	tijdens	ADP	ADP
durant	gedurende	durant	gedurende	ADP	ADP
rapport	verslag	rapport	verslag	N;MASC;SG	N;NEUT;SG
rapport	rapport	rapport	rapport	N;MASC;SG	N;NEUT;SG
art	kunst	art	kunst	N;MASC;SG	N;MASC+FEM;SG
canton	guangzhou	canton	guangzhou	N;MASC;SG	N;NEUT;SG
canton	kanton	canton	kanton	N;MASC;SG	N;NEUT;SG
dernier	laatste	dernier	laat	ADJ;MASC;SG	ADJ;RL
dernier	nieuwste	dernier	nieuw	ADJ;MASC;SG	ADJ;RL
dernier	laatste	dernier	laat	ADJ;MASC;SG	ADJ;RL
type	type	type	type	N;MASC;SG	N;NEUT;SG
type	soort	type	soort	N;MASC;SG	N;SG
habitants	inwoners	habitant	inwoner	N;MASC;PL	N;PL
habitants	bewoners	habitant	bewoner	N;MASC;PL	N;PL
habitants	inwoners	habitant	inwoner	N;MASC;PL	N;PL
habitants	bewoners	habitant	bewoner	N;MASC;PL	N;PL
habitants	ingezetenen	habitant	inzitten	N;MASC;PL	N;PL
point	punt	point	punt	N;MASC;SG	N;NEUT;SG
point	point	point	point	N;MASC;SG	N;MASC+FEM;SG
compte	telling	compte	telling	N;MASC;SG	N;MASC+FEM;SG
compte	graaf	compte	graaf	N;MASC;SG	N;MASC+FEM;SG
compte	tel	compte	tellen	N;MASC;SG	N;MASC+FEM;SG
compte	rekening	compte	rekening	N;MASC;SG	N;MASC+FEM;SG
compte	account	compte	accounen	N;MASC;SG	N;NEUT;SG
période	tijdvak	période	tijdvak	N;FEM;SG	N;NEUT;SG
période	periode	période	periode	N;FEM;SG	N;MASC+FEM;SG
armée	krijgsmacht	armée	krijgsmacht	N;FEM;SG	N;MASC+FEM;SG
armée	leger	armée	leger	N;FEM;SG	N;NEUT;SG
armée	landmacht	armée	landmacht	N;FEM;SG	N;MASC+FEM;SG
eau	water	eau	water	N;FEM;SG	N;NEUT;SG
marie	marie	marier	marie	N;FEM;SG	N;MASC+FEM;SG
marie	mary	marier	mary	N;FEM;SG	N;MASC+FEM;SG
marie	maria	marier	maria	N;FEM;SG	N;MASC+FEM;SG
marie	marja	marier	marja	N;FEM;SG	N;MASC+FEM;SG
marie	maria	marier	maria	N;FEM;SG	N;MASC+FEM;SG
discuter	chatten	discuter	chat	V;NFIN	V;NFIN
discuter	bespreken	discuter	bespreken	V;NFIN	V;NFIN
discuter	bespreek	discuter	bespreken	V;NFIN	V;SG;PRS;FIN
discuter	chatten	discuter	chat	V;NFIN	V;NFIN
car	want	car	want	CONJ	CONJ
projet	project	projet	project	N;MASC;SG	N;NEUT;SG
chaque	iedere	chaque	ieder	DET;FEM;SG	DET
chaque	elke	chaque	elk	DET;FEM;SG	DET
