फौरन	فوراً	फौरन	فوراً	ADV	ADV
धुंध	فضا	धुंध	فضا	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
संगतता	موافقت	संगतता	موافقت	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
मिड	میانہ.	मिड	میانہ.		
मिड	بیچ.	मिड	بیچ.		
मिड	نیم	मिड	نیم		
पाश	back	पाश	back		
पाश	کنڈا	पाश	کنڈا		
परिशुद्धता	صداقت	परिशुद्धता	صداقت	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
परिशुद्धता	صحت	परिशुद्धता	صحت	N;NOM;FEM;SG;3	N;NOM;FEM;SG;3
मशाल	حرارت	मशाल	حرارت	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
मशाल	روشنی	मशाल	روشنی	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
समाजशास्त्रीय	عمرانیاتی	समाजशास्त्रीय	عمرانیاتی	ADJ;NOM	ADJ;NOM
तुच्छ	بودا	तुच्छ	بودا		
तारीफ	تعریف	तारीफ	تعریف	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
एप्लिकेशन	توجہ	एप्लिकेशन	توجہ	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
एप्लिकेशन	محنت	एप्लिकेशन	محنت	N;NOM;MASC;SG;3	N;NOM;FEM;SG;3
एप्लिकेशन	توجہ	एप्लिकेशन	توجہ	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
एप्लिकेशन	درخواست	एप्लिकेशन	درخواست	N;NOM;MASC;SG;3	N;NOM;FEM;SG;3
एप्लिकेशन	محنت	एप्लिकेशन	محنت	N;NOM;MASC;SG;3	N;NOM;FEM;SG;3
आरोह	منصب	आरोह	منصب	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
पाइपलाइन	سامان	पाइपलाइन	سامان	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
उलटा	مصیبت	उलट	مصیبت	N;NOM;MASC;SG;3	N;NOM;FEM;SG;3
अंदाज़ा	قیاس	अंदाज़ा	قیاس	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
अंदाज़ा	اندازہ	अंदाज़ा	اندازہ	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
अंदाज़ा	قیاس	अंदाज़ा	قیاس	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
विरक्त	تعلق	विरक्त	تعلق	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
सेंसरशिप	احتساب	सेंसरशिप	احتساب	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
जेनरेटर	موجد	जेनरेटर	موجد	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
जेनरेटर	جنریٹر	जेनरेटर	جنریٹر	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
जेनरेटर	گیس	जेनरेटर	گیس	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
आँकड़ा	جال.	आँकडा	جال.		
अभियोजन	کارروائی	अभियोजन	کارروائی	N;NOM;MASC;SG;3	N;NOM;FEM;SG;3
मनमानी	زبردستی	मनमाना	زبردستی	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
अस्पष्टता	ابہام	अस्पष्टता	ابہام	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
अस्पष्टता	دُھندلاہٹ	अस्पष्टता	دُھندلاہٹ	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
अस्पष्टता	ابہام	अस्पष्टता	ابہام	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
प्रदर्शक	مظاہرہ.	प्रदर्शक	مظاہرہ.	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
प्रदर्शक	نمائش	प्रदर्शक	نمائش	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
मज़ार	قبر	मज़ार	قبر	N;NOM;FEM;SG;3	N;NOM;FEM;SG;3
मज़ार	مقبرہ	मज़ार	مقبرہ	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
संस्थापन	تنصیب	संस्थापन	تنصیب	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
वफादारी	اطاعت	वफादारी	اطاعت	N;NOM;FEM;SG;3	N;NOM;FEM;SG;3
लोन	مہجور	लोन	مہجور	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
घबराहट	ہیجان	घबराहट	ہیجان	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
बजरी	ریت	बजरी	ریت	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
बजरी	ریت	बजरी	ریت	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
डिप्रेशन	فشار.	डिप्रेशन	فشار.		
डिप्रेशन	پچکن.	डिप्रेशन	پچکن.		
पनपने	دکھانا	पनपना	دکھا	V;MASC;NFIN;ACT	V;MASC;SG;NFIN;ACT
डोम	قصر.	डोम	قصر.		
ट्रायल	مقدمہ	ट्रायल	مقدمہ	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
ट्रायल	آزمائش	ट्रायल	آزمائش	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
ट्रायल	جانچ	ट्रायल	جانچ	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
ट्रायल	مقدمہ	ट्रायल	مقدمہ	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
आपत्तिजनक	قبیح	आपत्तिजनक	قبیح	ADJ	ADJ
आपत्तिजनक	جارحانہ	आपत्तिजनक	جارحانہ	ADJ	ADJ
चीर	جھپٹنا.	चीर	جھپٹنا.	V;SG;FIN;ACT	V;NFIN;ACT
चीर	ٹوٹنا	चीर	ٹوٹنا	V;SG;FIN;ACT	V;NFIN;ACT
बेचैन	بزدل	बेचैन	بزدل		
लचीली	لچکدار	लचीला	لچکدار	ADJ;NOM;FEM;SG	ADJ
बाड़	گھیرنا	बाड़	گھیر		
बाड़	جنگلہ	बाड़	جنگلہ		
बाड़	گھیرنا	बाड़	گھیر		
बाड़	جنگلہ	बाड़	جنگلہ		
बाड़	باڑ	बाड़	باڑ		
माँस	گری	माँस	گری	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
माँस	انڈے	माँस	انڈے	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
माँस	پھل	माँस	پھل	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
गिरना	آپڑنے	गिर	آپڑ	V;MASC;SG;V.PTCP;ACT	V;NFIN;ACT
गिरना	بچھڑنا.	गिर	بچھڑنا	V;MASC;SG;V.PTCP;ACT	V;NFIN;ACT
गिरना	بٹنا	गिर	بٹ	V;MASC;SG;V.PTCP;ACT	V;MASC;SG;NFIN;ACT
गिरना	ڈھال	गिर	ڈھال	V;MASC;SG;V.PTCP;ACT	V;ACT
गिरना	اترنا	गिर	اتر	V;MASC;SG;V.PTCP;ACT	V;MASC;SG;NFIN;ACT
गिरना	مرنا	गिर	مر	V;MASC;SG;V.PTCP;ACT	V;MASC;SG;NFIN;ACT
गिरना	پھینکنا	गिर	پھینکنا	V;MASC;SG;V.PTCP;ACT	V;NFIN;ACT
गिरना	گرانا	गिर	گرانا	V;MASC;SG;V.PTCP;ACT	V;MASC;SG;NFIN;ACT
गिरना	گرنے	गिर	گر	V;MASC;SG;V.PTCP;ACT	V;ACC;NFIN
गिरना	گھٹنا	गिर	گھٹ	V;MASC;SG;V.PTCP;ACT	V;MASC;SG;V.PTCP;ACT
गिरना	آپڑنے	गिर	آپڑ	V;MASC;SG;V.PTCP;ACT	V;NFIN;ACT
गिरना	بچھڑنا.	गिर	بچھڑنا	V;MASC;SG;V.PTCP;ACT	V;NFIN;ACT
गिरना	بٹنا	गिर	بٹ	V;MASC;SG;V.PTCP;ACT	V;MASC;SG;NFIN;ACT
गिरना	ڈھال	गिर	ڈھال	V;MASC;SG;V.PTCP;ACT	V;ACT
गिरना	اترنا	गिर	اتر	V;MASC;SG;V.PTCP;ACT	V;MASC;SG;NFIN;ACT
गिरना	مرنا	गिर	مر	V;MASC;SG;V.PTCP;ACT	V;MASC;SG;NFIN;ACT
गिरना	پھینکنا	गिर	پھینکنا	V;MASC;SG;V.PTCP;ACT	V;NFIN;ACT
गिरना	گرانا	गिर	گرانا	V;MASC;SG;V.PTCP;ACT	V;MASC;SG;NFIN;ACT
गिरना	گرنے	गिर	گر	V;MASC;SG;V.PTCP;ACT	V;ACC;NFIN
गिरना	گھٹنا	गिर	گھٹ	V;MASC;SG;V.PTCP;ACT	V;MASC;SG;V.PTCP;ACT
स्खलन	عہدے	स्खलन	عہدہ	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
स्खलन	دستاویز	स्खलन	دستاویز	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
स्खलन	فراغت	स्खलन	فراغت	N;NOM;MASC;SG;3	N;NOM;FEM;SG;3
स्खलन	عہدے	स्खलन	عہدہ	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
स्खलन	برطرفی	स्खलन	برطرفی	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
स्खलन	دستاویز	स्खलन	دستاویز	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
स्खलन	فراغت	स्खलन	فراغت	N;NOM;MASC;SG;3	N;NOM;FEM;SG;3
खींचे	پٹانا	खींचा	پٹانا	V;PFV;MASC;SG;V.PTCP;ACT	V;MASC;SG;V.PTCP;ACT
खींचे	روکنے	खींचा	روک	V;PFV;MASC;SG;V.PTCP;ACT	V;ACC;NFIN
खींचे	چلنا	खींचा	چل	V;PFV;MASC;SG;V.PTCP;ACT	V;MASC;SG;NFIN;ACT
गाडी	لفٹ	गाडी	لفٹ	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
गाडी	خیال	गाडी	خیال	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
गाडी	مرکب	गाडी	مرکب	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
गाडी	گاڑی	गाडी	گاڑی	N;NOM;FEM;SG;3	N;NOM;FEM;SG;3
गाडी	خیال	गाडी	خیال	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
गाडी	سواری	गाडी	سواری	N;NOM;FEM;SG;3	N;NOM;FEM;SG;3
गाडी	مرکب	गाडी	مرکب	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
भंगुर	کھڑنک	भंगुर	کھڑنک		
उपयोक्ता	تمتع	उपयोक्ता	تمتع	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
क्वेस्ट	for	क्वेस्ट	for		
क्वेस्ट	for	क्वेस्ट	for		
फ़्लैश	شوخ	फ़्लैश	شوخ	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
विषाद	غم.	विषाद	غم.		
विषाद	غم.	विषाद	غم.		
निर्धनता	کمتری	निर्धनता	کمتری	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
निर्धनता	کمتری	निर्धनता	کمتری	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
अंधेरा	منحوس	अँधेरा	منحوس	N;NOM;MASC;SG;3	N;SG
अंधेरा	خفیہ	अँधेरा	خفیہ	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
अंधेरा	ظلمت	अँधेरा	ظلمت	N;NOM;MASC;SG;3	N;NOM;FEM;SG;3
अंधेरा	فاسد	अँधेरा	فاسد	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
अंधेरा	رات	अँधेरा	رات	N;NOM;MASC;SG;3	N;NOM;FEM;SG;3
अंधेरा	سیاہی	अँधेरा	سیاہی	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
अंधेरा	بد	अँधेरा	بد	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
अंधेरा	ظلمت	अँधेरा	ظلمت	N;NOM;MASC;SG;3	N;NOM;FEM;SG;3
अंधेरा	ظلمت	अँधेरा	ظلمت	N;NOM;MASC;SG;3	N;NOM;FEM;SG;3
कम्पास	میدان	कम्पास	میدان	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
कम्पास	دائرہ	कम्पास	دائرہ	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
कार्यकलाप	تابکاری	कार्यकलाप	تابکاری	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
कार्यकलाप	مصروفیت	कार्यकलाप	مصروفیت	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
मांसल	فربہ	मांसल	فربہ		
मांसल	موٹا.	मांसल	موٹا.		
वीसा	ویزا	वीसा	ویزا	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
कैरेक्टर	انفرادیت	कैरेक्टर	انفرادیت	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
कैरेक्टर	شخص	कैरेक्टर	شخص	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
कैरेक्टर	علامت	कैरेक्टर	علامت	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
कैरेक्टर	فرد	कैरेक्टर	فرد	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
कैरेक्टर	کردار	कैरेक्टर	کردار	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
बर्बादी	فالتو	बर्बादी	فالتو	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
बर्बादी	فضلہ	बर्बादी	فضلہ	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
बर्बादी	اسراف	बर्बादी	اسراف	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
बर्बादी	ضیاع	बर्बादी	ضیاع	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
हुड	قصابے	हुड	قصابہ		
व्यवस्थापक	منتظم	व्यवस्थापक	منتظم	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
गम	رنج	गम	رنج	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
अप्रभावित	ٹھوس	अप्रभावित	ٹھوس	ADJ	ADJ
पोर्ट्रेट	خاکہ	पोर्ट्रेट	خاکہ	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
वार्निश	لکڑی	वार्निश	لکڑی	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
वार्निश	دھات	वार्निश	دھات	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
बकवास	لغو.	बकवास	لغو.		
शाफ्ट	کلک	शाफ्ट	کلک	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
शाफ्ट	ذکر	शाफ्ट	ذکر	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
शाफ्ट	ستون	शाफ्ट	ستون	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
हॉर्न	شاخ	हॉर्न	شاخ	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
चमड़ी	کھال	चमड़ी	کھال	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
तनिक	اقل	तनिक	اقل		
एसोसिएट	صحبت	एसोसिएट	صحبت	N;NOM;MASC;SG;3	N;NOM;FEM;SG;3
त्रुटिपूर्ण	غلط	त्रुटिपूर्ण	غلط	ADJ;NOM	ADJ
खातिर	برائے	खातिर	برائے		
दिमागी	فکری	दिमागी	فکری	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
सरलीकरण	توضیح	सरलीकरण	توضیح	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
सरलीकरण	تسہیل	सरलीकरण	تسہیل	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
सरलीकरण	اختصار	सरलीकरण	اختصار	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
कतई	وثوق	कतई	وثوق		
कतई	وثوق	कतई	وثوق		
नेक्सस	حلقہ	नेक्सस	حلقہ	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
नेक्सस	رابطہ	नेक्सस	رابطہ	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
शिफ्ट	فریب	शिफ्ट	فریب	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
निशुल्क	ملاوٹ	निशुल्क	ملاوٹ	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
राजकोष	ریاست	राजकोष	ریاست	N;NOM;MASC;SG;3	N;NOM;FEM;SG;3
बंधी	روک	बँध	روک	V;PFV;FEM;SG;V.PTCP;ACT	V;ACT
बंधी	اچھال	बँध	اچھال	V;PFV;FEM;SG;V.PTCP;ACT	V;SG;ACT
बंधी	روک	बँध	روک	V;PFV;FEM;SG;V.PTCP;ACT	V;ACT
बंधी	اچھال	बँध	اچھال	V;PFV;FEM;SG;V.PTCP;ACT	V;SG;ACT
सौहार्द	دوستی	सौहार्द	دوستی	N;NOM;MASC;SG;3	N;NOM;FEM;SG;3
प्रभुता	برتری	प्रभुता	برتری	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
प्रभुता	اقتدار	प्रभुता	اقتدار	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
फ़्रेम	جسم	फंरेरल	جسم	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
फ़्रेम	وضع	फंरेरल	وضع	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
फ़्रेम	قالب	फंरेरल	قالب	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
फ़्रेम	کھڑکی	फंरेरल	کھڑکی	N;NOM;MASC;SG;3	N;NOM;FEM;SG;3
फ़्रेम	تعمیر	फंरेरल	تعمیر	N;NOM;MASC;SG;3	N;NOM;FEM;SG;3
फ़्रेम	گاڑی	फंरेरल	گاڑی	N;NOM;MASC;SG;3	N;NOM;FEM;SG;3
फ़्रेम	ساخت	फंरेरल	ساخت	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
फ़्रेम	کیفیت	फंरेरल	کیفیت	N;NOM;MASC;SG;3	N;NOM;FEM;SG;3
फ़्रेम	جسم	फंरेरल	جسم	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
फ़्रेम	وضع	फंरेरल	وضع	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
फ़्रेम	قالب	फंरेरल	قالب	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
फ़्रेम	کھڑکی	फंरेरल	کھڑکی	N;NOM;MASC;SG;3	N;NOM;FEM;SG;3
फ़्रेम	تعمیر	फंरेरल	تعمیر	N;NOM;MASC;SG;3	N;NOM;FEM;SG;3
फ़्रेम	گاڑی	फंरेरल	گاڑی	N;NOM;MASC;SG;3	N;NOM;FEM;SG;3
फ़्रेम	ساخت	फंरेरल	ساخت	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
फ़्रेम	کیفیت	फंरेरल	کیفیت	N;NOM;MASC;SG;3	N;NOM;FEM;SG;3
धर्मनिरपेक्षता	لادینیت	धर्मनिरपेक्षता	لادینیت	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
टूटा	ٹوٹی	टूट	ٹوٹی	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;FEM;SG;V.PTCP;ACT
विडंबना	طنز	विडंबना	طنز	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
नवीनीकृत	آغاز	नवीनीकृत	آغاز	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
नवीनीकृत	رکنیت	नवीनीकृत	رکنیت	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
खाका	کتاب	खाका	کتاب	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
खाका	زمین	खाका	زمین	N;NOM;MASC;SG;3	N;NOM;FEM;SG;3
वृत	مدّت	वृत	مدّت	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
वृत	عرصہ	वृत	عرصہ	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
वृत	مدّت	वृत	مدّت	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
वृत	حلقہ	वृत	حلقہ	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
वृत	عرصہ	वृत	عرصہ	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
रिकवरी	بازیابی	रिकवरी	بازیابی	N;NOM;FEM;SG;3	N;NOM;FEM;SG;3
एंटरप्राइज़	مہم	एंटरप्राइज़	مہم	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
कोष्ठक	گروہ	कोष्ठक	گروہ	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
कोष्ठक	حلقہ	कोष्ठक	حلقہ	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
कोष्ठक	طبقہ	कोष्ठक	طبقہ	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
कोष्ठक	وقفہ	कोष्ठक	وقفہ	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
कोष्ठक	قوسین	कोष्ठक	قوسین	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
तिरस्कार	تحقیر	तिरस्कार	تحقیر	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
जिज्ञासु	فحش	जिज्ञासु	فحش	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
जिज्ञासु	فحش	जिज्ञासु	فحش	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
रोना	پکار	रोना	پکار	V;MASC;SG;FIN;ACT	V;SG;ACT
रोना	پکار	रोना	پکار	V;MASC;SG;FIN;ACT	V;SG;ACT
रोना	رونا	रोना	رو	V;MASC;SG;FIN;ACT	V;MASC;SG;NFIN;ACT
चाबी	کلید	चाबी	کلید	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
मजबूरी	معذوری	मजबूरी	معذوری	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
मजबूरी	معذوری	मजबूरी	معذوری	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
मजबूरी	دباؤ	मजबूरी	دباؤ	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
मजबूरी	دباؤ	मजबूरी	دباؤ	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
मजबूरी	جبر	मजबूरी	جبر	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
विशालता	چوڑائی	विशालता	چوڑائی	N;NOM;FEM;SG;3	N;NOM;FEM;SG;3
विशालता	گنجائش	विशालता	گنجائش	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
विशालता	وسعت	विशालता	وسعت	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
