daha	دیگر	daha	دیگر	ADV	ADV
#ccf	#ccf	#ccf	#ccf		
elektrik	الکتریسیته	elektrik	الکتریسیته	N;NOM;SG;3	N;SG
elektrik	برق	elektrik	برق	N;NOM;SG;3	N;SG
elektrik	برق	elektrik	برق	N;NOM;SG;3	N;SG
elektrik	electrical	elektrik	electrical	N;NOM;SG;3	N;SG
elektrik	الکتریکی	elektrik	الکتریکی	N;NOM;SG;3	N;SG
elektrik	برقی	elektrik	برق	N;NOM;SG;3	N;SG
elektrik	الکتریکی	elektrik	الکتریکی	N;NOM;SG;3	N;SG
elektrik	الکتریک	elektrik	الکتریک	N;NOM;SG;3	N;SG
merkezi	سنترال	merkez	سنترال	N;ACC;SG;3	N;SG
merkezi	مرکز	merkez	مرکز	N;ACC;SG;3	N;SG
merkezi	سنتر	merkez	سنتر	N;ACC;SG;3	N;SG
merkezi	مرکزش	merkez	مرکزش	N;ACC;SG;3	N;SG
merkezi	مرکز	merkez	مرکز	N;ACC;SG;3	N;SG
merkezi	سنتر	merkez	سنتر	N;ACC;SG;3	N;SG
merkezi	مرکز	merkez	مرکز	N;ACC;SG;3	N;SG
kısa	کوتاهتر	kısa	کوتاه	ADJ	ADJ;CMPR
kısa	کوتاه	kısa	کوتاه	ADJ	ADJ
kişi	شخص	kişi	شخص	N;NOM;SG;3	N;SG
ortaya	عیان	orta	عیان	ADJ;DAT;SG;3	ADJ
bilgileri	اطلاعات	bilgi	اطلاع	N;ACC;PL;3	N;PL
el	دست	el	دست	N;NOM;SG;3	N;SG
gol	گل	gol	گل	N;NOM;SG;3	N;SG
gol	هدف	gol	هدف	N;NOM;SG;3	N;SG
suyu	آبمیوه	su	آبمیوه	N;ACC;SG;3	N;SG
suyu	شربت	su	شربت	N;ACC;SG;3	N;SG
ilköğretim	ابتدایی	ilköğretim	ابتدایی	N;NOM;SG;3	N;SG
ödülü	اجر	ödül	None	N;ACC;SG;3	N;SG
ödülü	پاداش	ödül	پاداش	N;ACC;SG;3	N;SG
ödülü	جایزه	ödül	جایزه	N;ACC;SG;3	N;SG
ödülü	جایزه	ödül	جایزه	N;ACC;SG;3	N;SG
yerine	جایگزینی	yer	جایگزینی	N;DAT;SG;3	N;SG
gün	روز	gün	روز	N;NOM;SG;3	N;SG
gün	روزی	gün	روز	N;NOM;SG;3	N;SG
süre	زمان	süre	زمان	N;NOM;SG;3	N;SG
süre	تایم	süre	تایم	N;NOM;SG;3	N;SG
süre	دوام	süre	دوام	N;NOM;SG;3	N;SG
sabit	دائم	sabit	دائم		
eğitim	آموزش	eğitim	آموزش	N;NOM;SG;3	N;SG
eğitim	تمرین	eğitim	تمرین	N;NOM;SG;3	N;SG
eğitim	تعلیم	eğitim	تعلیم	N;NOM;SG;3	N;SG
eğitim	اموزش	eğitim	اموزش	N;NOM;SG;3	N;SG
eğitim	آموزش	eğitim	آموزش	N;NOM;SG;3	N;SG
eğitim	آموزنده	eğitim	None	N;NOM;SG;3	N;SG
görev	وظیفه	görev	وظیفه	N;NOM;SG;3	N;SG
görev	تکلیف	görev	تکلیف	N;NOM;SG;3	N;SG
görev	مأموریت	görev	مأموریت	N;NOM;SG;3	N;SG
görev	ماموریت	görev	ماموریت	N;NOM;SG;3	N;SG
onun	او	o	او	PRO;GEN;SG;3	PRO;SG;3
onun	او	o	او	PRO;GEN;SG;3	PRO;SG;3
yine	دوباره	yine	دوباره	ADV	ADV
ekonomisi	اقتصاد	ekonomi	اقتصاد	N;NOM;SG;3	N;SG
telefon	گوشی	telefon	گوش	N;NOM;SG;3	N;SG
telefon	تلفن	telefon	تلفن	N;NOM;SG;3	N;SG
telefon	تلفن	telefon	تلفن	N;NOM;SG;3	N;SG
yeniden	دوباره	yeniden	دوباره	ADV	ADV
nedeniyle	سررسید	neden	سررسید	N;INS;SG;3	N;SG
savaş	رزم	savaş	رزم	N;NOM;SG;3	N;SG
savaş	کارزار	savaş	کارزار	N;NOM;SG;3	N;SG
savaş	بتل	savaş	بتل	N;NOM;SG;3	N;SG
savaş	نبرد	savaş	None	N;NOM;SG;3	N;SG
savaş	جنگ	savaş	جنگ	N;NOM;SG;3	N;SG
savaş	جنگی	savaş	جنگی	N;NOM;SG;3	N;SG
savaş	مقابله	savaş	مقابله	N;NOM;SG;3	N;SG
savaş	نبرد	savaş	None	N;NOM;SG;3	N;SG
savaş	بجنگ	savaş	بجنگ	N;NOM;SG;3	N;SG
elde	بدست	el	بدست	N;ESS;SG;3	N;SG
elde	اکتسابی	el	اکتسابی	N;ESS;SG;3	N;SG
kullanıcı	کاربر	kullanıcı	کاربر	N;NOM;SG;3	N;SG
birliği	یونیون	birlik	یونیون	N;NOM;SG;3	N;SG
birliği	اتحادیه	birlik	اتحادیه	N;NOM;SG;3	N;SG
birliği	اتحاد	birlik	اتحاد	N;NOM;SG;3	N;SG
kanalizasyon	فاضلاب	kanalizasyon	فاضلاب	N;NOM;SG;3	N;SG
kanalizasyon	فاضلاب	kanalizasyon	فاضلاب	N;NOM;SG;3	N;SG
kanalizasyon	فاضلاب	kanalizasyon	فاضلاب	N;NOM;SG;3	N;SG
maç	مکینتاش	maç	مکینتاش	N;NOM;SG;3	N;SG
maç	mac	maç	mac	N;NOM;SG;3	N;SG
maç	مک	maç	مک	N;NOM;SG;3	N;SG
maç	بازی	maç	بازی	N;NOM;SG;3	N;SG
maç	گیم	maç	گیم	N;NOM;SG;3	N;SG
maç	تطبیق	maç	None	N;NOM;SG;3	N;SG
maç	مسابقه	maç	مسابقه	N;NOM;SG;3	N;SG
maç	کبریت	maç	کبریت	N;NOM;SG;3	N;SG
maç	تطابق	maç	تطابق	N;NOM;SG;3	N;SG
sıra	صف	sıra	صف	N;NOM;SG;3	N;SG
sıra	سطر	sıra	سطر	N;NOM;SG;3	N;SG
nüfusu	جمعیت	nüfus	جمعیت	N;ACC;SG;3	N;SG
nüfusu	جمعیتی	nüfus	جمعیتی	N;ACC;SG;3	N;SG
deniz	بحر	deniz	بحر		
uygun	مناسب	uygun	مناسب	ADJ	ADJ
uygun	درخور	uygun	درخور	ADJ	ADJ
uygun	مناسب	uygun	مناسب	ADJ	ADJ
bütün	کل	bütün	کل	ADJ	ADJ
listesi	فهرست	liste	فهرست	N;NOM;SG;3	N;SG
alt	تهش	alt	تهش		
stadyumu	ورزشگاه	stadyum	ورزشگاه	N;NOM;SG;3	N;SG
bar	b	bar	b	N;NOM;SG;3	N;SG
bar	میله	bar	میله	N;NOM;SG;3	N;SG
bar	بار	bar	بار	N;NOM;SG;3	N;SG
bar	میخانه	bar	میخانه	N;NOM;SG;3	N;SG
bar	میکده	bar	میکده	N;NOM;SG;3	N;SG
sonunda	سرانجام	sonunda	سرانجام	ADV	ADV
sonunda	بالاخره	sonunda	بالاخره	ADV	ADV
sonunda	بلاخره	sonunda	بلاخره	ADV	ADV
onu	او	o	او	PRO;ACC;SG;3	PRO;SG;3
onu	او	o	او	PRO;ACC;SG;3	PRO;SG;3
dönem	اجل	dön	اجل		
açık	روشن	açık	روشن	ADJ	ADJ
açık	باز	açık	باز	ADJ	ADJ
insan	شخص	insan	شخص	N;NOM;SG;3	N;SG
insan	انسان	insan	انسان	N;NOM;SG;3	N;SG
insan	مَرد	insan	مَرد	N;NOM;SG;3	N;SG
insan	مرد	insan	مرد	N;NOM;SG;3	N;SG
insan	انسان	insan	انسان	N;NOM;SG;3	N;SG
insan	انسانی	insan	انسانی	N;NOM;SG;3	N;SG
insan	بشر	insan	بشر	N;NOM;SG;3	N;SG
bilinen	دانسته	bil	دانست#دان	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;SG;3;V.PTCP
bin	لاوک	bin	لاوک		
genç	تین	genç	تین		
stadyum	ورزشگاه	stadyum	ورزشگاه	N;NOM;SG;3	N;SG
an	لحظه	an	لحظه	N;NOM;SG;3	N;SG
an	گشتاور	an	گشتاور	N;NOM;SG;3	N;SG
iş	شغل	iş	شغل	N;NOM;SG;3	N;SG
iş	کار	iş	کار	N;NOM;SG;3	N;SG
iş	ایوب	iş	ایوب	N;NOM;SG;3	N;SG
iş	کار	iş	کار	N;NOM;SG;3	N;SG
iş	کاری	iş	کار	N;NOM;SG;3	N;SG
iş	جابز	iş	جابز	N;NOM;SG;3	N;SG
iş	تجارت	iş	تجارت	N;NOM;SG;3	N;SG
iş	کسب	iş	کسب	N;NOM;SG;3	N;SG
iş	b	iş	b	N;NOM;SG;3	N;SG
bölümü	بخش	bölüm	بخش	N;NOM;SG;3	N;SG
bölümü	وزارت	bölüm	وزارت	N;NOM;SG;3	N;SG
bölümü	اداره	bölüm	اداره	N;NOM;SG;3	N;SG
bölümü	بخش	bölüm	بخش	N;NOM;SG;3	N;SG
ele	تسخیر	el	تسخیر	N;DAT;SG;3	N;SG
ele	فتح	el	فتح	N;DAT;SG;3	N;SG
ele	غلبه	el	غلبه	N;DAT;SG;3	N;SG
güzel	زیبا	güzel	زیبا	ADJ	ADJ
güzel	قشنگ	güzel	None	ADJ	ADJ
güzel	قشنگ	güzel	None	ADJ	ADJ
çocuk	پسر	çocuk	پسر	N;NOM;SG;3	N;SG
çocuk	کید	çocuk	کرد#کن	N;NOM;SG;3	N;SG
çocuk	کودک	çocuk	کودک	N;NOM;SG;3	N;SG
çocuk	فرزند	çocuk	فرزند	N;NOM;SG;3	N;SG
çocuk	بچه	çocuk	بچه	N;NOM;SG;3	N;SG
sinema	فیلمی	sine	فیلم	N;NOM;SG;3	N;SG
sinema	فیلم	sine	فیلم	N;NOM;SG;3	N;SG
sinema	سینما	sine	سینما	N;NOM;SG;3	N;SG
sinema	فیلم	sine	فیلم	N;NOM;SG;3	N;SG
sinema	سینما	sine	سینما	N;NOM;SG;3	N;SG
sinema	سینمای	sine	سینما	N;NOM;SG;3	N;SG
sinema	cinema	sine	cinema	N;NOM;SG;3	N;SG
sırada	بعدی	sıra	بعد	N;ESS;SG;3	N;SG
sırada	next	sıra	next	N;ESS;SG;3	N;SG
ay	ماه	ay	ماه	N;NOM;SG;3	N;SG
ay	ماه	ay	ماه	N;NOM;SG;3	N;SG
ay	ماهه	ay	ماهه	N;NOM;SG;3	N;SG
ay	قمر	ay	قمر	N;NOM;SG;3	N;SG
ay	ماه	ay	ماه	N;NOM;SG;3	N;SG
ay	moon	ay	moon	N;NOM;SG;3	N;SG
imparatorluğu	امپراطوری	imparatorluk	امپراطوری	N;NOM;SG;3	N;SG
imparatorluğu	امپایر	imparatorluk	امپایر	N;NOM;SG;3	N;SG
imparatorluğu	امپراتوری	imparatorluk	امپراتوری	N;NOM;SG;3	N;SG
internet	تار	internet	تار	N;NOM;SG;3	N;SG
internet	وب	internet	وب	N;NOM;SG;3	N;SG
internet	وبی	internet	وبی	N;NOM;SG;3	N;SG
internet	اینترنت	internet	اینترنت	N;NOM;SG;3	N;SG
internet	اینترنتی	internet	اینترنتی	N;NOM;SG;3	N;SG
tiyatro	درام	tiyatro	درام	N;NOM;SG;3	N;SG
tiyatro	theater	tiyatro	theater	N;NOM;SG;3	N;SG
karar	تصمیم	karar	تصمیم	N;NOM;SG;3	N;SG
karar	فیصله	karar	فیصله	N;NOM;SG;3	N;SG
karar	تصمیم	karar	تصمیم	N;NOM;SG;3	N;SG
tarih	تاریخ	tarih	تاریخ	N;NOM;SG;3	N;SG
tarih	تاریخچه	tarih	تاریخچه	N;NOM;SG;3	N;SG
tarih	تاریخ	tarih	تاریخ	N;NOM;SG;3	N;SG
ünlü	معروف	ünlü	معروف	ADJ	ADJ
bile	حتی	bile	حتی	ADV	ADV
sosyal	اجتماعی	sosyal	اجتماعی	ADJ	ADJ
geldi	آمد	gel	آمد#آ	V;PFV;IND;SG;3;POS;PST	V;SG;3;PST
oy	رای	oy	None	N;NOM;SG;3	N;SG
oy	رای	oy	None	N;NOM;SG;3	N;SG
oy	رأی	oy	رأی	N;NOM;SG;3	N;SG
oy	رای	oy	None	N;NOM;SG;3	N;SG
geniş	بزرگ	geniş	بزرگ	ADJ	ADJ
geniş	درشت	geniş	درشت	ADJ	ADJ
ev	خانه	ev	خانه	N;NOM;SG;3	N;SG
ev	وطن	ev	وطن	N;NOM;SG;3	N;SG
ev	خونه	ev	خونه	N;NOM;SG;3	N;SG
ev	آغازه	ev	آغازه	N;NOM;SG;3	N;SG
ev	خانه	ev	خانه	N;NOM;SG;3	N;SG
hareket	حرکت	hareket	حرکت	N;NOM;SG;3	N;SG
hareket	جنبش	hareket	جنبش	N;NOM;SG;3	N;SG
hareket	تحرک	hareket	تحرک	N;NOM;SG;3	N;SG
hareket	نهضت	hareket	نهضت	N;NOM;SG;3	N;SG
bölgesi	منطقه	bölge	منطقه	N;NOM;SG;3	N;SG
bölgesi	ناحیه	bölge	ناحیه	N;NOM;SG;3	N;SG
bölgesi	استان	bölge	استان	N;NOM;SG;3	N;SG
bölgesi	منطقۀ	bölge	منطقۀ	N;NOM;SG;3	N;SG
bölgesi	قلمروی	bölge	قلمروی	N;NOM;SG;3	N;SG
bölgesi	قلمرو	bölge	قلمرو	N;NOM;SG;3	N;SG
sahibi	مالک	sahip	مالک	N;NOM;SG;3	N;SG
sahibi	صاحب	sahip	صاحب	N;NOM;SG;3	N;SG
sahibi	صاحبش	sahip	صاحبش	N;NOM;SG;3	N;SG
bilim	علمی	bilim	علمی	N;NOM;SG;3	N;SG
bilim	علم	bilim	علم	N;NOM;SG;3	N;SG
sistemi	سامانه	sistem	سامانه	N;ACC;SG;3	N;SG
sistemi	سیستم	sistem	سیستم	N;ACC;SG;3	N;SG
hiç	هرگز	hiç	هرگز	ADV	ADV;NEG
ifade	اکسپرس	ifade	اکسپرس	N;NOM;SG;3	N;SG
ifade	استشهاد	ifade	استشهاد	N;NOM;SG;3	N;SG
ifade	بیانیه	ifade	بیانیه	N;NOM;SG;3	N;SG
ifade	شهادت	ifade	شهادت	N;NOM;SG;3	N;SG
ifade	تجلّی	ifade	تجلّی	N;NOM;SG;3	N;SG
ifade	عبارت	ifade	عبارت	N;NOM;SG;3	N;SG
rapor	گزارش	rapor	گزارش	N;NOM;SG;3	N;SG
altı	شش	altı	شش	NUM	NUM
altı	شیش	altı	شیش	NUM	NUM
dizi	سری	dizi	سری	N;NOM;SG;3	N;SG
dizi	آرایه	dizi	آرایه	N;NOM;SG;3	N;SG
dizi	دنباله	dizi	دنباله	N;NOM;SG;3	N;SG
şeklinde	شکل	şekil	شکل	N;ESS;SG;3	N;SG
şampiyonası	قهرمانی	şampiyon	قهرمانی	N;NOM;SG;3	N;SG
kuvvetleri	نیروهای	kuvvet	نیرو	N;ACC;PL;3	N;PL
kuvvetleri	نیروهایی	kuvvet	نیرو	N;ACC;PL;3	N;PL
göz	مرور	göz	مرور	N;NOM;SG;3	N;SG
göz	چشم	göz	چشم	N;NOM;SG;3	N;SG
göz	چشم	göz	چشم	N;NOM;SG;3	N;SG
göz	چشمی	göz	چشم	N;NOM;SG;3	N;SG
televizyon	تلویزیون	televizyon	تلویزیون	N;NOM;SG;3	N;SG
galatasaray	galatasaray	galatasarayay	galatasaray	N;NOM;SG;3	N;SG
galatasaray	liverpool	galatasarayay	liverpool	N;NOM;SG;3	N;SG
galatasaray	لیورپول	galatasarayay	لیورپول	N;NOM;SG;3	N;SG
sezonu	فصل	sezon	فصل	N;ACC;SG;3	N;SG
fenerbahçe	fener	fenerbahç	fener	N;NOM;SG;3	N;SG
fenerbahçe	باشگاه	fenerbahç	باشگاه	N;NOM;SG;3	N;SG
durum	وضعیت	durum	وضعیت	N;NOM;SG;3	N;SG
durum	وضعیت	durum	وضعیت	N;NOM;SG;3	N;SG
durum	موقعیت	durum	موقعیت	N;NOM;SG;3	N;SG
durum	شرط	durum	شرط	N;NOM;SG;3	N;SG
gelenek	سنت	gelenek	سنت	N;NOM;SG;3	N;SG
gelenek	رسم	gelenek	رسم	N;NOM;SG;3	N;SG
yeri	محل	yer	محل	N;ACC;SG;3	N;SG
yeri	مکان	yer	مکان	N;ACC;SG;3	N;SG
kız	girl	kız	girl		
bunlar	اینها	bu	این	PRO;NOM;PL;3	PRO;PL
yanlış	غلط	yanlış	غلط	ADJ	ADJ
al	بگیر	al	گرفت#گیر	V;PFV;IMP;SG;2;POS;PRS	V;IMP;SG;2
al	شو	al	None	V;PFV;IMP;SG;2;POS;PRS	V;IMP;SG;2
ses	صوت	ses	صوت	N;NOM;SG;3	N;SG
ses	صدا	ses	صدا	N;NOM;SG;3	N;SG
ses	صدا	ses	صدا	N;NOM;SG;3	N;SG
ses	صدای	ses	صدا	N;NOM;SG;3	N;SG
ses	صدا	ses	صدا	N;NOM;SG;3	N;SG
ses	نویز	ses	نویز	N;NOM;SG;3	N;SG
milli	ملی	milli	ملی	ADJ	ADJ
kitap	کتاب	kitap	کتاب	N;NOM;SG;3	N;SG
kitap	کتابی	kitap	کتاب	N;NOM;SG;3	N;SG
kitap	کتاب	kitap	کتاب	N;NOM;SG;3	N;SG
ödülleri	جوایز	ödül	جایزه	N;NOM;PL;3	N;PL
ödülleri	جوایز	ödül	جایزه	N;NOM;PL;3	N;PL
güneş	سان	güneş	سان		
san	سان	san	سان		
kaldı	ماند	kal	ماند#مان	V;PFV;IND;SG;3;POS;PST	V;SG;3;PST
bakanı	وزیر	bakan	وزیر	N;NOM;SG;3	N;SG
bakanı	وزیری	bakan	وزیری	N;NOM;SG;3	N;SG
krallık	فرمانروایی	krallık	فرمانروایی	N;NOM;SG;3	N;SG
krallık	پادشاهی	krallık	پادشاه	N;NOM;SG;3	N;SG
bakanlığı	وزارت	bakanlık	وزارت	N;NOM;SG;3	N;SG
van	وان	van	وان		
van	فان	van	فان		
durumu	وضعیت	durum	وضعیت	N;NOM;SG;3	N;SG
durumu	شرط	durum	شرط	N;NOM;SG;3	N;SG
tamamen	کلا	tamamen	None		
atatürk	آتاترک	atatürk	آتا	N;NOM;SG;3	N;SG
yardım	توفیق	yardım	توفیق	N;NOM;SG;3	N;SG
yardım	کمک	yardım	کمک	N;NOM;SG;3	N;SG
oranı	نرخ	oran	نرخ	N;NOM;SG;3	N;SG
şarkıcı	خواننده	şarkıcı	خواننده	N;NOM;SG;3	N;SG
hafta	هفته	hafta	هفته	N;NOM;SG;3	N;SG
hafta	هفتۀ	hafta	هفتۀ	N;NOM;SG;3	N;SG
hafta	هفته	hafta	هفته	N;NOM;SG;3	N;SG
adam	گای	adam	گا	N;NOM;SG;3	N;SG
adam	یارو	adam	یارو	N;NOM;SG;3	N;SG
adam	ادم	adam	ادم	N;NOM;SG;3	N;SG
adam	آدم	adam	آدم	N;NOM;SG;3	N;SG
adam	آدام	adam	آدام	N;NOM;SG;3	N;SG
adam	انسان	adam	انسان	N;NOM;SG;3	N;SG
adam	مَرد	adam	مَرد	N;NOM;SG;3	N;SG
adam	مرد	adam	مرد	N;NOM;SG;3	N;SG
yayınları	نشریات	yayın	نشریه	N;ACC;PL;3	N;PL
nehri	ریور	nehir	ریور	N;ACC;SG;3	N;SG
nehri	رودخانه	nehir	رودخانه	N;ACC;SG;3	N;SG
hizmet	خدمت	hizmet	خدمت	N;NOM;SG;3	N;SG
hizmet	سرو	hizmet	سرو	N;NOM;SG;3	N;SG
hizmet	خدمت	hizmet	خدمت	N;NOM;SG;3	N;SG
hizmet	سرویس	hizmet	سرویس	N;NOM;SG;3	N;SG
güçlü	powered	güçlü	powered		
yolu	راه	yol	راه	N;ACC;SG;3	N;SG
yolu	مسیر	yol	مسیر	N;ACC;SG;3	N;SG
yıllar	سالهای	yıl	سال	N;NOM;PL;3	N;PL
yıllar	سالها	yıl	سال	N;NOM;PL;3	N;PL
roman	روم	roman	None		
ilan	آگهی	ilan	آگه	N;NOM;SG;3	N;SG
ilan	تبلیغ	ilan	تبلیغ	N;NOM;SG;3	N;SG
sürekli	دائماً	sürekli	دائماً	ADV	ADV
sürekli	دائما	sürekli	دائما	ADV	ADV
hatta	وحتی	hatta	وحتی	CONJ	CONJ
basketbol	b	basketbol	b	N;NOM;SG;3	N;SG
basketbol	بسکتبال	basketbol	بسکتبال	N;NOM;SG;3	N;SG
kullanımı	استعمال	kullanım	None	N;NOM;SG;3	N;SG
kullanımı	کاربرد	kullanım	کاربرد	N;NOM;SG;3	N;SG
üzerinden	via	üzer	via	N;AT+ABL;SG;3	N;SG
üzerinden	طریق	üzer	طریق	N;AT+ABL;SG;3	N;SG
can	بل	can	بل		
belli	واضح	belli	واضح	ADJ	ADJ
hızlı	تندتر	hızlı	تند	ADJ	ADJ;CMPR
hızlı	تند	hızlı	None	ADJ	ADJ
kiralık	اجارهٔ	kiralık	اجاره	N;NOM;SG;3	N;SG
kiralık	اجاره	kiralık	اجاره	N;NOM;SG;3	N;SG
kiralık	کرایه	kiralık	کرایه	N;NOM;SG;3	N;SG
zaten	قبلا	zaten	None	ADV	ADV
