категория	kategoria	категория	kategoria	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
район	dystrykt	район	dystrykt	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
район	dzielnica	район	dzielnica	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
район	rejon	район	rejon	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
район	teren	район	teren	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
район	powierzchnia	район	powierzchnia	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
район	obszar	район	obszar	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
вид	gatunek	вид	gatunek	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
вид	widok	вид	widok	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
под	pod	под	pod	ADP	ADP
только	tylko	только	tylko	PART	PART
только	tylko	только	tylko	PART	PART
язык	język	язык	język	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
язык	język	язык	język	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
более	bardziej	более	bardzo	ADV;CMPR	ADV;CMPR
более	więcej	более	dużo	ADV;CMPR	ADV;CMPR
дата	termin	дата	termin	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG
дата	randka	дата	randka	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
ноября	listopada	ноябрь	listopada	N;INAN;GEN;MASC;SG	N;GEN;MASC;SG
деревня	wioska	деревня	wioska	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
деревня	village	деревня	village	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG
деревня	wieś	деревня	wieś	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
где	gdzie	где	gdzie	ADV	ADV
января	stycznia	январь	styczeń	N;INAN;GEN;MASC;SG	N;GEN;MASC;SG
января	styczniu	январь	styczeń	N;INAN;GEN;MASC;SG	N;GEN;MASC;SG
все	wszystko	все	wszystko	PRO;INAN;NOM;NEUT;SG	PRO;NOM;NEUT;SG
все	wszystko	все	wszystko	PRO;INAN;NOM;NEUT;SG	PRO;NOM;NEUT;SG
августа	sierpnia	август	sierpień	N;INAN;GEN;MASC;SG	N;GEN;MASC;SG
октября	października	октябрь	październik	N;INAN;GEN;MASC;SG	N;GEN;MASC;SG
статьи	wyroby	статья	wyrób	N;INAN;NOM;FEM;PL	N;NOM;MASC;PL
статьи	artykuły	статья	artykuł	N;INAN;NOM;FEM;PL	N;NOM;MASC;PL
июня	czerwca	июнь	czerwiec	N;INAN;GEN;MASC;SG	N;GEN;MASC;SG
сша	stany	сшать	stany	N;INAN;NOM;PL	N;NOM;MASC;PL
название	nazwisko	название	nazwisko	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG
название	imię	название	imię	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG
название	nazwa	название	nazwa	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG
поселение	ugoda	поселение	ugoda	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG
поселение	rozliczenie	поселение	rozliczyć	N;INAN;NOM;NEUT;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
поселение	osada	поселение	osada	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG
человек	osoba	человек	osoba	N;ANIM;NOM;MASC;SG	N;NOM;FEM;SG
человек	człowiek	человек	człowiek	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
человек	mężczyzna	человек	mężczyzna	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
человек	człowiek	человек	człowiek	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
лет	lat	год	rok	N;INAN;GEN;MASC;PL	N;GEN;MASC;PL
они	oni	они	on	PRO;NOM;PL;3	PRO;NOM;MASC;PL;3
может	może	мочь	móc	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
может	można	мочь	można	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PRS;FIN
она	ona	она	on	PRO;NOM;FEM;SG;3	PRO;NOM;FEM;SG;3
когда	gdy	когда	gdy	CONJ	CONJ
высота	wysokość	высота	wysokość	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
высота	wzrost	высота	wzrost	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG
высота	wysokość	высота	wysokość	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
село	wioska	село	wioska	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG
село	village	село	village	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG
село	wieś	село	wieś	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG
статья	artykuł	статья	artykuł	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG
род	rodzaj	род	rodzaj	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
род	pręt	род	pręt	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
без	bez	без	bez	ADP	ADP
между	między	между	między	ADP	ADP
статус	status	статус	status	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
населения	populacji	население	populacja	N;INAN;GEN;NEUT;SG	N;GEN;FEM;SG
через	przez	через	przez	ADP	ADP
национальный	krajowa	национальный	krajowy	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
национальный	krajowe	национальный	krajowy	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
национальный	national	национальный	national	ADJ;NOM;MASC;SG	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
национальный	narodowy	национальный	narodowy	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
национальный	krajowy	национальный	krajowy	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
область	województwo	область	województwo	N;INAN;NOM;FEM;SG	N;NOM;NEUT;SG
область	prowincja	область	prowincja	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
область	region	область	region	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG
область	teren	область	teren	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG
область	powierzchnia	область	powierzchnia	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
область	obszar	область	obszar	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG
список	wykaz	список	wykaz	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
список	lista	список	list	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
список	spis	список	spis	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
сельское	wiejski	сельский	wiejski	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
сайт	witryna	сайт	witryna	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
сайт	strona	сайт	strona	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
официальный	oficjalne	официальный	oficjalny	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
официальный	oficjalna	официальный	oficjalny	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
официальный	oficjalny	официальный	oficjalny	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
часть	część	часть	część	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
против	przeciwko	против	przeciwko	ADP	ADP
несколько	nieco	несколько	nieco	ADV	ADV
город	miejscowość	город	miejscowość	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
город	miasto	город	miasto	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
город	miejscowość	город	miejscowość	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
город	miasto	город	miasto	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
мира	pokoju	мир	pokój	N;INAN;GEN;MASC;SG	N;GEN;MASC;SG
первое	pierwszy	первый	pierwszy	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
первое	pierwsze	первый	pierwszy	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
первое	pierwsza	первый	pierwszy	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
первый	pierwszy	первый	pierwszy	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
первый	pierwsze	первый	pierwszy	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
первый	pierwsza	первый	pierwszy	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
среди	wśród	среди	wśród	ADP	ADP
карты	kartki	карта	kartka	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL
карты	wizytówki	карта	wizytówka	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL
там	tam	там	tam	ADV	ADV
территории	terytoria	территория	terytoria	N;INAN;NOM;FEM;PL	N;NOM;NEUT;PL
второй	druga	второй	drugi	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
второй	drugi	второй	drugi	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
второй	drugie	второй	drugi	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
очень	bardzo	очень	bardzo	ADV	ADV
главы	rozdziały	глава	rozdział	N;ANIM;NOM;MASC;PL	N;NOM;MASC;PL
карта	kartka	карта	kartka	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
карта	karta	карта	karta	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
карта	wizytówka	карта	wizytówka	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
площадь	plac	площадь	plac	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG
площадь	plac	площадь	plac	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG
площадь	kwadrat	площадь	kwadrat	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG
площадь	teren	площадь	teren	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG
площадь	powierzchnia	площадь	powierzchnia	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
площадь	obszar	площадь	obszar	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG
всё	wszystko	все	wszystko	PRO;INAN;NOM;NEUT;SG	PRO;NOM;NEUT;SG
даже	nawet	даже	nawet	PART	PART
затем	wtedy	затем	wtedy	ADV	ADV
размер	rozmiar	размер	rozmiar	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
имеет	posiada	иметь	posiadać	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
имеет	ma	иметь	mieć	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
почтовый	pocztowy	почтовый	pocztowy	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
почтовый	pocztowe	почтовый	pocztowy	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
страны	kraje	страна	kraj	N;INAN;NOM;FEM;PL	N;NOM;MASC;PL
страны	kraje	страна	kraj	N;INAN;NOM;FEM;PL	N;NOM;MASC;PL
входит	wchodzi	входить	wchodzić	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
индекс	indeks	индекс	indeks	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
индекс	spis	индекс	spis	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
индекс	wskaźnik	индекс	wskaźnik	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
улица	ulica	улица	ulica	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
население	populacja	население	populacja	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG
население	ludność	население	ludność	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG
работы	prace	работа	praca	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL
имена	imiona	имя	imię	N;INAN;NOM;NEUT;PL	N;NOM;NEUT;PL
имена	nazwiska	имя	nazwisko	N;INAN;NOM;NEUT;PL	N;NOM;NEUT;PL
вместе	razem	вместе	razem	ADV	ADV
вместе	wspólnie	вместе	wspólnie	ADV	ADV
упоминание	wzmianka	упоминание	wzmianka	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG
здесь	tutaj	здесь	tutaj	ADV	ADV
истории	opowiadania	история	opowiadanie	N;INAN;NOM;FEM;PL	N;NOM;NEUT;PL
александр	alexandre	александр	alexandre	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
александр	aleksander	александр	aleksander	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
александр	alexander	александр	alexander	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
армии	wojska	армия	wojsko	N;INAN;NOM;FEM;SG	N;NOM;NEUT;SG
армии	wojsko	армия	wojsko	N;INAN;NOM;FEM;SG	N;NOM;NEUT;SG
армии	armia	армия	armia	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
деление	wydział	деление	wydział	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG
игроки	zawodnicy	игрок	zawodnik	N;ANIM;NOM;MASC;PL	N;NOM;MASC;PL
игроки	gracze	игрок	gracz	N;ANIM;NOM;MASC;PL	N;NOM;MASC;PL
другие	inni	другой	inny	ADJ;NOM;PL	ADJ;NOM;MASC;PL
история	historia	история	historia	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
история	opowieść	история	opowieść	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
история	zdarzenie	история	zdarzenie	N;INAN;NOM;FEM;SG	N;NOM;NEUT;SG
история	opowiadanie	история	opowiadać	N;INAN;NOM;FEM;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
история	historia	история	historia	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
совета	rady	совет	rada	N;INAN;GEN;MASC;SG	N;GEN;FEM;SG
фильм	folia	фильм	folia	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
рождения	urodzenia	рождение	urodzić	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG
рождения	poród	рождение	poród	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG
рождения	narodziny	рождение	narodziny	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG
пункты	elementy	пункт	element	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
пункты	artykuły	пункт	artykuł	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
пункты	przedmioty	пункт	przedmiot	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
пункты	pozycje	пункт	pozycja	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL
пункты	paragrafy	пункт	paragrafa	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
пункты	akapity	пункт	akapit	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
пункты	ustępy	пункт	ustęp	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
времени	czasu	время	czas	N;INAN;GEN;NEUT;SG	N;GEN;MASC;SG
участник	członek	участник	członek	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
участник	uczestnik	участник	uczestnik	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
страница	strona	страница	strona	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
участие	zaangażowanie	участие	zaangażowanie	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG
участие	uczestnictwo	участие	uczestnictwo	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG
человека	człowieka	человек	człowiek	N;ANIM;ACC;MASC;SG	N;ACC;MASC;SG
автор	autorka	автор	autorka	N;ANIM;NOM;MASC;SG	N;NOM;FEM;SG
внутреннее	wewnętrzny	внутренний	wewnętrzny	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
внутреннее	wewnętrzne	внутренний	wewnętrzny	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
внутреннее	wewnętrzna	внутренний	wewnętrzny	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
внутреннее	wewnętrzny	внутренний	wewnętrzny	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
внутреннее	wewnętrzna	внутренний	wewnętrzny	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
эти	te	этот	ten	DET;NOM;PL	DET;NOM;MASC;PL
статей	artykułów	статья	artykuł	N;INAN;GEN;FEM;PL	N;GEN;MASC;PL
центр	środek	центр	środek	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
центр	ośrodek	центр	ośrodek	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
центр	ośrodek	центр	ośrodek	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
округ	hrabstwo	округ	hrabstwo	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
округ	okręg	округ	okręg	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
округ	okręg	округ	okręg	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
округ	dystrykt	округ	dystrykt	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
округ	dzielnica	округ	dzielnica	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
округ	rejon	округ	rejon	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
генерал	generał	генерал	generał	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
кто	kto	кто	kto	PRO;NOM	PRO;NOM;MASC;SG
связи	linki	связь	linka	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL
связи	komunikaty	связь	komunikat	N;INAN;NOM;FEM;PL	N;NOM;MASC;PL
день	dzień	день	dzień	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
период	okres	период	okres	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
община	społeczność	община	społeczność	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
община	wspólnota	община	wspólnota	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
индексы	wskaźniki	индекс	wskaźnik	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
индексы	indeksy	индекс	indeks	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
группа	grupa	группа	grupa	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
имя	nazwisko	имя	nazwisko	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG
имя	imię	имя	imię	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG
имя	nazwa	имя	nazwa	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG
игры	mecze	игра	mecz	N;INAN;NOM;FEM;PL	N;NOM;MASC;PL
цифровой	cyfrowe	цифровой	cyfrowy	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
идентификатор	identyfikator	идентификатор	identyfikator	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
ширина	szerokość	ширина	szerokość	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
просто	tylko	просто	tylko	PART	PART
регион	region	регион	region	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
тогда	wtedy	тогда	wtedy	ADV	ADV
работал	działał	работать	działać	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
работал	pracował	работать	pracować	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
работал	działało	работать	działać	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
работал	pracowała	работать	pracować	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IPFV;FEM;IND;SG;PST;FIN;ACT
церкви	kościół	церковь	kościół	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG
клуб	klub	клуб	klub	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
больше	bardziej	больше	bardzo	ADV;CMPR	ADV;CMPR
больше	więcej	больше	dużo	ADV;CMPR	ADV;CMPR
федерации	federacje	федерация	federacja	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL
изображения	zdjęcia	изображение	zdjęcie	N;INAN;NOM;NEUT;PL	N;NOM;NEUT;PL
изображения	obrazy	изображение	obraz	N;INAN;NOM;NEUT;PL	N;NOM;MASC;PL
изображения	obrazki	изображение	obrazek	N;INAN;NOM;NEUT;PL	N;NOM;MASC;PL
советский	sowiecki	советский	sowiecki	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
советский	radziecki	советский	radziecki	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
степени	stopnie	степень	stopień	N;INAN;NOM;FEM;PL	N;NOM;MASC;PL
изображение	obrazek	изображение	obrazek	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG
изображение	obraz	изображение	obraz	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG
награды	nagrody	награда	nagroda	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL
награды	nagrody	награда	nagroda	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL
ранее	poprzednio	ранее	poprzednio	ADV	ADV
перед	przed	перед	przed	ADP	ADP
владимир	władimir	владимир	władimir	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
системы	systemy	система	system	N;INAN;NOM;FEM;PL	N;NOM;MASC;PL
стороны	boki	сторона	boki	N;INAN;NOM;FEM;PL	N;NOM;MASC;PL
стороны	partie	сторона	partia	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL
совет	rada	совет	rada	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
николай	mikołaj	николай	mikołaj	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
некоторые	niektórzy	некоторый	niektóry	DET;NOM;PL	DET;NOM;MASC;PL
менее	mniej	менее	mało	ADV;CMPR	ADV;CMPR
роль	rola	роль	rola	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
юго	southwest	южный	southwest	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
дом	dom	дом	dom	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
дом	dom	дом	dom	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
дом	dom	дом	dom	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
значимость	znaczenie	значимость	znaczenie	N;INAN;NOM;FEM;SG	N;NOM;NEUT;SG
значимость	znaczenie	значимость	znaczenie	N;INAN;NOM;FEM;SG	N;NOM;NEUT;SG
значимость	znaczenia	значимость	znaczenie	N;INAN;NOM;FEM;SG	N;NOM;NEUT;SG
значимость	przydatność	значимость	przydatność	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
русский	rosyjski	русский	rosyjski	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
русский	rosyjska	русский	rosyjski	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
русский	rosyjskie	русский	rosyjski	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
член	członek	член	członek	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
член	fiut	член	fiut	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
член	fiut	член	fiut	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
член	kogut	член	koguta	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
орден	porządek	орден	porządek	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
орден	zamówienie	орден	zamówienie	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
орден	kolejność	орден	kolejność	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
сын	syn	сын	syn	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
число	numer	число	numer	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG
число	liczba	число	liczba	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG
нужно	potrzebna	нужный	potrzebny	ADJ;NEUT;SG	ADJ;NOM;FEM;SG
нужно	potrzebny	нужный	potrzebny	ADJ;NEUT;SG	ADJ;NOM;MASC;SG
большой	duża	большой	duży	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
большой	duży	большой	duży	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
большой	duże	большой	duży	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
большой	duża	большой	duży	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
большой	duże	большой	duży	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
большой	wielka	большой	wielki	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
большой	duży	большой	duży	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
большой	wielki	большой	wielki	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
количество	numer	количество	numer	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG
количество	liczba	количество	liczba	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG
количество	ilość	количество	ilość	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG
институт	instytut	институт	instytut	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
институт	instytucja	институт	instytucja	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
компании	firmy	компания	firma	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL
компании	firmy	компания	firma	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL
церковь	kościół	церковь	kościół	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG
проект	projekt	проект	projekt	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
проект	szkic	проект	szkic	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
много	dużo	много	dużo	ADV	ADV
