ve	そして	ve	そして	CONJ	CONJ
güzel	素敵	güzel	素敵	ADJ	ADJ
çocuk	男	çocuk	男	N;NOM;SG;3	N
çocuk	少年	çocuk	少年	N;NOM;SG;3	N
çocuk	ボーイ	çocuk	ボーイ	N;NOM;SG;3	N
çocuk	子供	çocuk	子供	N;NOM;SG;3	N
çocuk	子供	çocuk	子供	N;NOM;SG;3	N
çocuk	児童	çocuk	児童	N;NOM;SG;3	N
sinema	映画	sine	映画	N;NOM;SG;3	N
sinema	ムービー	sine	ムービー	N;NOM;SG;3	N
sinema	映画	sine	映画	N;NOM;SG;3	N
sinema	映画	sine	映画	N;NOM;SG;3	N
ay	月間	ay	月間	N;NOM;SG;3	N
ay	ヶ月	ay	ヶ月	N;NOM;SG;3	N
ay	ムーン	ay	ムーン	N;NOM;SG;3	N
imparatorluğu	帝国	imparatorluk	帝国	N;NOM;SG;3	N
imparatorluğu	帝政	imparatorluk	帝政	N;NOM;SG;3	N
internet	ウェブ	internet	ウェブ	N;NOM;SG;3	N
internet	インターネット	internet	インターネット	N;NOM;SG;3	N
tiyatro	ドラマ	tiyatro	ドラマ	N;NOM;SG;3	N
tiyatro	劇場	tiyatro	劇場	N;NOM;SG;3	N
tiyatro	シアター	tiyatro	シアター	N;NOM;SG;3	N
tiyatro	演劇	tiyatro	演劇	N;NOM;SG;3	N
tiyatro	演劇	tiyatro	演劇	N;NOM;SG;3	N
tiyatro	劇場	tiyatro	劇場	N;NOM;SG;3	N
kazandı	勝利	kazan	勝利	V;PFV;IND;SG;3;POS;PST	V
karar	評決	karar	評決	N;NOM;SG;3	N
tarih	履歴	tarih	履歴	N;NOM;SG;3	N
tarih	由緒	tarih	由緒	N;NOM;SG;3	N
tarih	歴史	tarih	歴史	N;NOM;SG;3	N
tarih	沿革	tarih	沿革	N;NOM;SG;3	N
çıktı	アウトプット	çık	アウトプット	V;PFV;IND;SG;3;POS;PST	V
geniş	広い	geniş	広い	ADJ	ADJ
geniş	大きい	geniş	大きい	ADJ	ADJ
ev	自宅	ev	自宅	N;NOM;SG;3	N
ev	ホーム	ev	ホーム	N;NOM;SG;3	N
ev	ハウス	ev	ハウス	N;NOM;SG;3	N
hareket	モーション	hareket	モーション	N;NOM;SG;3	N
hareket	ムーブ	hareket	ムーブ	N;NOM;SG;3	N
hareket	ムーブメント	hareket	ムーブメント	N;NOM;SG;3	N
hareket	楽章	hareket	楽章	N;NOM;SG;3	N
bölgesi	リージョン	bölge	リージョン	N;NOM;SG;3	N
bölgesi	地域	bölge	地域	N;NOM;SG;3	N
bölgesi	縄張り	bölge	縄張り	N;NOM;SG;3	N
sahibi	オーナー	sahip	オーナー	N;NOM;SG;3	N
sahibi	所有者	sahip	所有者	N;NOM;SG;3	N
bilim	サイエンス	bilim	サイエンス	N;NOM;SG;3	N
bilim	科学	bilim	科学	N;NOM;SG;3	N
sistemi	システム	sistem	システム	N;ACC;SG;3	N
ifade	エクスプレス	ifade	エクスプレス	N;NOM;SG;3	N
ifade	急行	ifade	急行	N;NOM;SG;3	N
ifade	ステートメント	ifade	ステートメント	N;NOM;SG;3	N
ifade	声明	ifade	声明	N;NOM;SG;3	N
rapor	レポート	rapor	レポート	N;NOM;SG;3	N
kurulan	設立	kur	設立	V;PFV;IND;POS;PRS;V.PTCP;PASS	V
dizi	シリーズ	dizi	シリーズ	N;NOM;SG;3	N
dizi	配列	dizi	配列	N;NOM;SG;3	N
dizi	アレイ	dizi	アレイ	N;NOM;SG;3	N
dizi	シーケンス	dizi	シーケンス	N;NOM;SG;3	N
şampiyonası	選手権	şampiyon	選手権	N;NOM;SG;3	N
şampiyonası	チャンピオンシップ	şampiyon	チャンピオンシップ	N;NOM;SG;3	N
şampiyonası	選手権	şampiyon	選手権	N;NOM;SG;3	N
televizyon	テレビ	televizyon	テレビ	N;NOM;SG;3	N
sezonu	季節	sezon	季節	N;ACC;SG;3	N
sezonu	シーズン	sezon	シーズン	N;ACC;SG;3	N
durum	近況	durum	近況	N;NOM;SG;3	N
durum	状況	durum	状況	N;NOM;SG;3	N
durum	シチュエーション	durum	シチュエーション	N;NOM;SG;3	N
durum	状態	durum	状態	N;NOM;SG;3	N
durum	条件	durum	条件	N;NOM;SG;3	N
gelenek	伝統	gelenek	伝統	N;NOM;SG;3	N
gelenek	伝統	gelenek	伝統	N;NOM;SG;3	N
yeri	所在	yer	所在	N;ACC;SG;3	N
yeri	ロケーション	yer	ロケーション	N;ACC;SG;3	N
yeri	場所	yer	場所	N;ACC;SG;3	N
bunlar	これら	bu	これら	PRO;NOM;PL;3	PRO
bunlar	これら	bu	これら	PRO;NOM;PL;3	PRO
bunlar	それら	bu	それら	PRO;NOM;PL;3	PRO
al	ゲット	al	ゲット	V;PFV;IMP;SG;2;POS;PRS	V
ses	サウンド	ses	サウンド	N;NOM;SG;3	N
ses	ボイス	ses	ボイス	N;NOM;SG;3	N
ses	音声	ses	音声	N;NOM;SG;3	N
ses	音声	ses	音声	N;NOM;SG;3	N
ses	オーディオ	ses	オーディオ	N;NOM;SG;3	N
ses	ノイズ	ses	ノイズ	N;NOM;SG;3	N
ses	騒音	ses	騒音	N;NOM;SG;3	N
ses	音量	ses	音量	N;NOM;SG;3	N
ses	ボリューム	ses	ボリューム	N;NOM;SG;3	N
ses	体積	ses	体積	N;NOM;SG;3	N
kitap	書物	kitap	書物	N;NOM;SG;3	N
kitap	ブック	kitap	ブック	N;NOM;SG;3	N
kitap	書物	kitap	書物	N;NOM;SG;3	N
kitap	帳簿	kitap	帳簿	N;NOM;SG;3	N
kitap	書籍	kitap	書籍	N;NOM;SG;3	N
ödülleri	懸賞	ödül	懸賞	N;NOM;PL;3	N
ödülleri	賞品	ödül	賞品	N;NOM;PL;3	N
kaldı	滞在	kal	滞在	V;PFV;IND;SG;3;POS;PST	V
bakanı	公使	bakan	公使	N;NOM;SG;3	N
bakanı	大臣	bakan	大臣	N;NOM;SG;3	N
geçti	合格	geç	合格	V;PFV;IND;SG;3;POS;PST	V
krallık	王国	krallık	王国	N;NOM;SG;3	N
başkanlığı	総裁	başkanlık	総裁	N;NOM;SG;3	N
kurulmuştur	設立	kur	設立	V;PFV;NFH;SG;3;POS;PST;PASS	V
durumu	近況	durum	近況	N;NOM;SG;3	N
durumu	状態	durum	状態	N;NOM;SG;3	N
durumu	条件	durum	条件	N;NOM;SG;3	N
kırmızı	赤い	kırmızı	赤い	ADJ	ADJ
araştırma	探究	araştır	探究	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
araştırma	照会	araştır	照会	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
araştırma	問い合わせ	araştır	問い合わせる	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
araştırma	研究	araştır	研究	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
araştırma	リサーチ	araştır	リサーチ	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
yardım	ヘルプ	yardım	ヘルプ	N;NOM;SG;3	N
oranı	レート	oran	レート	N;NOM;SG;3	N
oranı	比率	oran	比率	N;NOM;SG;3	N
şarkıcı	シンガー	şarkıcı	シンガー	N;NOM;SG;3	N
bugün	今日	bugün	今日	N;NOM;SG;3	N
hafta	週間	hafta	週間	N;NOM;SG;3	N
hafta	週間	hafta	週間	N;NOM;SG;3	N
adam	男性	adam	男性	N;NOM;SG;3	N
yayınları	出版物	yayın	出版物	N;ACC;PL;3	N
nehri	河川	nehir	河川	N;ACC;SG;3	N
hizmet	サービス	hizmet	サービス	N;NOM;SG;3	N
hizmet	サーブ	hizmet	サーブ	N;NOM;SG;3	N
hizmet	サービス	hizmet	サービス	N;NOM;SG;3	N
düzenlenen	開催	düzenle	開催	V;PFV;IND;POS;PRS;V.PTCP;PASS	V
yolu	パス	yol	パス	N;ACC;SG;3	N
girdi	入力	gir	入力	V;PFV;IND;SG;3;POS;PST	V
çalışma	勉強	çalış	勉強	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
yıllar	年数	yıl	年数	N;NOM;PL;3	N
ilan	広告	ilan	広告	N;NOM;SG;3	N
sonrasında	余波	sonra	余波	N;ESS;SG;3	N
basketbol	バスケット	basketbol	バスケット	N;NOM;SG;3	N
hızlı	速い	hızlı	速い	ADJ	ADJ
hızlı	高速	hızlı	高速	ADJ	ADJ
hızlı	スピーディー	hızlı	スピーディー	ADJ	ADJ
kiralık	レンタル	kiralık	レンタル	N;NOM;SG;3	N
kiralık	レンタル	kiralık	レンタル	N;NOM;SG;3	N
kiralık	レンタル	kiralık	レンタル	N;NOM;SG;3	N
kiralık	家賃	kiralık	家賃	N;NOM;SG;3	N
zaten	すでに	zaten	すでに	ADV	ADV
zaten	既に	zaten	既に	ADV	ADV
madalya	メダル	madalya	メダル	N;NOM;SG;3	N
madalya	メダル	madalya	メダル	N;NOM;SG;3	N
hakları	権利	hak	権利	N;ACC;PL;3	N
sayfası	ページ	sayfa	ページ	N;NOM;SG;3	N
çalışmalar	研究	çalış	研究	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
değişiklik	改造	değişiklik	改造	N;NOM;SG;3	N
değişiklik	チェンジ	değişiklik	チェンジ	N;NOM;SG;3	N
kulübü	クラブ	kulüb	クラブ	N;NOM;SG;3	N
fark	斑点	fark	斑点	N;NOM;SG;3	N
fark	告示	fark	告示	N;NOM;SG;3	N
fark	差分	fark	差分	N;NOM;SG;3	N
bölgede	リージョン	bölge	リージョン	N;ESS;SG;3	N
bölgede	地域	bölge	地域	N;ESS;SG;3	N
ilçesi	地区	ilçe	地区	N;NOM;SG;3	N
güncelleme	更新	güncelle	更新	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
tartışma	話し合い	tartış	話し合い	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
tartışma	申し立て	tartış	申し立て	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
kapak	ふた	kapak	ふうだ		
kapak	孵化	kapak	孵化		
baş	ヘッド	baş	ヘッド	N;NOM;SG;3	N
baş	頭部	baş	頭部	N;NOM;SG;3	N
düşünüyorum	考え	düşün	考える	V;PROG;IND;SG;1;POS;INFM;PRS	V
yaşam	生命	yaşam	生命	N;NOM;SG;3	N
yaşam	人生	yaşam	人生	N;NOM;SG;3	N
yaşam	ライフ	yaşam	ライフ	N;NOM;SG;3	N
festivali	フェスティバル	festivali	フェスティバル	N;ACC;SG;3	N
festivali	祭事	festivali	祭事	N;ACC;SG;3	N
festivali	祭り	festivali	祭り	N;ACC;SG;3	N
festivali	お	festivali	お	N;ACC;SG;3	N
çalışmaları	研究	çalış	研究	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
isim	名詞	isim	名詞	N;NOM;SG;3	N
isim	名前	isim	名前	N;NOM;SG;3	N
isim	氏名	isim	氏名	N;NOM;SG;3	N
isim	名称	isim	名称	N;NOM;SG;3	N
gece	ナイト	gece	ナイト	N;NOM;SG;3	N
bilgiler	情報	bilgi	情報	N;NOM;PL;3	N
bilgiler	情報	bilgi	情報	N;NOM;PL;3	N
site	ウェブ	sit	ウェブ	N;NOM;SG;3	N
site	サイト	sit	サイト	N;NOM;SG;3	N
site	敷地	sit	敷地	N;NOM;SG;3	N
sınıf	教室	sınıf	教室	N;NOM;SG;3	N
sınıf	階級	sınıf	階級	N;NOM;SG;3	N
sınıf	クラス	sınıf	クラス	N;NOM;SG;3	N
dizisi	シーケンス	dizi	シーケンス	N;NOM;SG;3	N
oyunları	ゲーム	oyun	ゲーム	N;ACC;PL;3	N
park	パーク	park	パーク	N;NOM;SG;3	N
park	公園	park	公園	N;NOM;SG;3	N
park	駐車	park	駐車	N;NOM;SG;3	N
siyasetçi	政治家	siyasetçi	政治家	N;NOM;SG;3	N
edebiyat	文学	edebiyat	文学	N;NOM;SG;3	N
edebiyat	文芸	edebiyat	文芸	N;NOM;SG;3	N
müzesi	美術館	müze	美術館	N;ACC;SG;3	N
müzesi	博物館	müze	博物館	N;ACC;SG;3	N
haber	ニュース	haber	ニュース	N;NOM;SG;3	N
annesi	母親	anne	母親	N;NOM;SG;3	N
verildi	与え	ver	与える	V;PFV;IND;SG;3;POS;PST;PASS	V
yönetimi	マネジメント	yönetim	マネジメント	N;NOM;SG;3	N
yönetimi	マネージメント	yönetim	マネージメント	N;NOM;SG;3	N
bazen	時々	bazen	時々	ADV	ADV
doğum	生年月	doğum	生年月	N;NOM;SG;3	N
doğum	バースデー	doğum	バースデー	N;NOM;SG;3	N
doğum	マタニティ	doğum	マタニティ	N;NOM;SG;3	N
güvenlik	セキュリティ	güvenlik	セキュリティ	N;NOM;SG;3	N
güvenlik	セキュリティー	güvenlik	セキュリティー	N;NOM;SG;3	N
güvenlik	セーフティ	güvenlik	セーフティ	N;NOM;SG;3	N
başkenti	資本	başkent	資本	N;NOM;SG;3	N
başkenti	首都	başkent	首都	N;NOM;SG;3	N
hala	まだ	hala	まだ	ADV	ADV
derneği	社団	dernek	社団	N;NOM;SG;3	N
derneği	協会	dernek	協会	N;NOM;SG;3	N
derneği	アソシエーション	dernek	アソシエーション	N;NOM;SG;3	N
kuruldu	設立	kur	設立	V;PFV;IND;SG;3;POS;PST;PASS	V
enstitüsü	研究所	enstitü	研究所	N;NOM;SG;3	N
öğretim	学部	öğretim	学部	N;NOM;SG;3	N
öğretim	教職員	öğretim	教職員	N;NOM;SG;3	N
dikkat	注意	dikkat	注意	N;NOM;SG;3	N
izin	オフ	izin	オフ		
kanalı	運河	kanalı	運河	N;ACC;SG;3	N
kanalı	チャネル	kanalı	チャネル	N;ACC;SG;3	N
kanalı	チャンネル	kanalı	チャンネル	N;ACC;SG;3	N
kanalı	海峡	kanalı	海峡	N;ACC;SG;3	N
kurulmuş	設立	kur	設立	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V
belirli	特定	belirli	特定		
tasarımı	デザイン	tasarım	デザイン	N;ACC;SG;3	N
aşk	ラブ	aşk	ラブ	N;NOM;SG;3	N
etkisi	インパクト	etki	インパクト	N;NOM;SG;3	N
etkisi	衝撃	etki	衝撃	N;NOM;SG;3	N
etkisi	影響	etki	影響	N;NOM;SG;3	N
etkisi	エフェクト	etki	エフェクト	N;NOM;SG;3	N
etkisi	効果	etki	効果	N;NOM;SG;3	N
müdürlüğü	総局	müdürlük	総局	N;NOM;SG;3	N
ailesi	家族	aile	家族	N;NOM;SG;3	N
insanlar	ヒト	insan	ヒト	N;NOM;PL;3	N
insanlar	ピープル	insan	ピープル	N;NOM;PL;3	N
parçası	パート	parça	パート	N;NOM;SG;3	N
parçası	部分	parça	部分	N;NOM;SG;3	N
eğitimi	トレーニング	eğitim	トレーニング	N;ACC;SG;3	N
eğitimi	講習	eğitim	講習	N;ACC;SG;3	N
eğitimi	チュートリアル	eğitim	チュートリアル	N;ACC;SG;3	N
bilgisayar	コンピューター	bilgisayar	コンピューター	N;NOM;SG;3	N
bilgisayar	コンピュータ	bilgisayar	コンピュータ	N;NOM;SG;3	N
bilgisayar	コンピューター	bilgisayar	コンピューター	N;NOM;SG;3	N
bilgisayar	コンピュータ	bilgisayar	コンピュータ	N;NOM;SG;3	N
sınırları	境界	sınır	境界	N;NOM;PL;3	N
sınırları	リミット	sınır	リミット	N;NOM;PL;3	N
sınırları	限界	sınır	限界	N;NOM;PL;3	N
parlaklık	明度	parlaklık	明度	N;NOM;SG;3	N
parlaklık	光度	parlaklık	光度	N;NOM;SG;3	N
parlaklık	輝度	parlaklık	輝度	N;NOM;SG;3	N
sistem	システム	sistem	システム	N;NOM;SG;3	N
sistem	システム	sistem	システム	N;NOM;SG;3	N
sistem	システムズ	sistem	システムズ	N;NOM;SG;3	N
amacı	目的	amaç	目的	N;NOM;SG;3	N
özellikleri	特性	özellik	特性	N;NOM;PL;3	N
özellikleri	特色	özellik	特色	N;NOM;PL;3	N
özellikleri	特徴	özellik	特徴	N;NOM;PL;3	N
özellikleri	属性	özellik	属性	N;NOM;PL;3	N
özellikleri	機能	özellik	機能	N;NOM;PL;3	N
özellikleri	特徴	özellik	特徴	N;NOM;PL;3	N
özellikleri	プロパティ	özellik	プロパティ	N;NOM;PL;3	N
özellikleri	属性	özellik	属性	N;NOM;PL;3	N
kişilik	個性	kişilik	個性	N;NOM;SG;3	N
kişilik	人柄	kişilik	人柄	N;NOM;SG;3	N
kişilik	性格	kişilik	性格	N;NOM;SG;3	N
kişilik	人格	kişilik	人格	N;NOM;SG;3	N
kişilik	パーソナリティ	kişilik	パーソナリティ	N;NOM;SG;3	N
kopyaları	部数	kopya	部数	N;ACC;PL;3	N
kopyaları	レプリカ	kopya	レプリカ	N;ACC;PL;3	N
alınan	受け取り	al	受け取る	V;PFV;IND;POS;PRS;V.PTCP;PASS	V
alınan	受信	al	受信	V;PFV;IND;POS;PRS;V.PTCP;PASS	V
federasyonu	連邦	federasyon	連邦	N;NOM;SG;3	N
uyum	コンプライアンス	uyum	コンプライアンス	N;NOM;SG;3	N
uyum	ハーモニー	uyum	ハーモニー	N;NOM;SG;3	N
öncesi	以前	önce	以前	N;NOM;SG;3	N
programı	プログラム	program	プログラム	N;ACC;SG;3	N
programı	プログラム	program	プログラム	N;ACC;SG;3	N
programı	スケジュール	program	スケジュール	N;ACC;SG;3	N
yapısı	構造	yapı	構造	N;NOM;SG;3	N
iletişim	通信	iletiş	通信	N;NOM;SG;3	N
iletişim	コミュニケーション	iletiş	コミュニケーション	N;NOM;SG;3	N
iletişim	コンタクト	iletiş	コンタクト	N;NOM;SG;3	N
iletişim	通信	iletiş	通信	N;NOM;SG;3	N
iletişim	コミュニケーション	iletiş	コミュニケーション	N;NOM;SG;3	N
öğrenci	生徒	öğrenci	生徒	N;NOM;SG;3	N
öğrenci	学生	öğrenci	学生	N;NOM;SG;3	N
üyeleri	メンバー	üye	メンバー	N;NOM;PL;3	N
kolay	易しい	kolay	易しい	ADJ	ADJ
kolay	やさしい	kolay	やさしい	ADJ	ADJ
kolay	簡単	kolay	簡単	ADJ	ADJ
baba	父親	baba	父親	N;NOM;SG;3	N
kızıl	生姜	kızıl	生姜		
sonuçlar	結果	sonuç	結果	N;NOM;PL;3	N
