vir	for	vir	for	ADP	ADP
skryf	brænder	skryf	brænde	V;PRS	V;IND;PRS;FIN;ACT
skryf	brænde	skryf	brænde	V;PRS	V;NFIN;ACT
visse	fiskene	visse	fisk	N;PL	N;DEF;MASC+FEM;PL
suidelike	sydlige	suidelik	sydlig	ADJ;NOM	ADJ;PL
romeinse	roman	romeins	roman	N;SG	N;INDF;MASC+FEM;SG
romeinse	romer	romeins	rome	N;SG	N;INDF;MASC+FEM;SG
romeinse	romersk	romeins	romersk	N;SG	N;INDF;MASC+FEM;SG
gekry	fundne	kry	fundne	V;PST;V.PTCP	V;NFIN;ACT
gekry	fandt	kry	finde	V;PST;V.PTCP	V;IND;PST;FIN;ACT
gekry	fundet	kry	finde	V;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
gekom	rejste	kom	rejse	V;PST;V.PTCP	V;PL;PST;V.PTCP
gekom	rejst	kom	rejse	V;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
verskyn	fremstår	verskyn	fremstår	V;PRS	V;IND;PRS;FIN;ACT
verskyn	vises	verskyn	vise	V;PRS	V;IND;PRS;FIN;PASS
reeks	serie	reeks	serie	N;SG	N;INDF;MASC+FEM;SG
reeks	serien	reeks	serie	N;SG	N;DEF;MASC+FEM;SG
hoofsaaklik	primært	hoofsaaklik	primært	ADV	ADV
eilande	øerne	eilande	øerne	N;PL	N;DEF;NEUT;PL
eilande	øer	eilande	øe	N;PL	N;INDF;NEUT;PL
speel	spille	speel	spille	V;PRS	V;NFIN;ACT
speel	leger	speel	lege	V;PRS	V;IND;PRS;FIN;ACT
speel	spiller	speel	spille	V;PRS	V;IND;PRS;FIN;ACT
speel	spille	speel	spille	V;PRS	V;NFIN;ACT
bou	byg	bou	byg	V;PRS	V;IMP
bou	bygge	bou	bygge	V;PRS	V;NFIN;ACT
gelei	førte	lei	føre	V;PST;V.PTCP	V;IND;PST;FIN;ACT
gelei	ført	lei	føre	V;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
gelei	ledt	lei	ledt	V;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
stigting	grundlæggelse	stigting	grundlæggelse	N;SG	N;INDF;MASC+FEM;SG
stigting	dannelse	stigting	dannelse	N;SG	N;INDF;MASC+FEM;SG
stigting	formation	stigting	formation	N;SG	N;INDF;MASC+FEM;SG
stigting	stiftelse	stigting	stiftelse	N;SG	N;INDF;MASC+FEM;SG
gegee	givet	gee	give	V;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
beskryf	beskriv	beskryf	beskrive	V;PRS	V;IMP
streek	region	streek	region	N;SG	N;INDF;MASC+FEM;SG
streek	regional	streek	regional	N;SG	N;INDF;MASC+FEM;SG
rivier	floden	rivier	flod	N;SG	N;DEF;MASC+FEM;SG
rivier	flod	rivier	flod	N;SG	N;INDF;MASC+FEM;SG
mees	højst	baie	højst	ADV;RL	ADV
mees	mest	baie	mest	ADV;RL	ADV;RL
ses	seks	ses	seks	NUM	NUM
grond	jordbunden	grond	jordbund	N;SG	N;DEF;MASC+FEM;SG
grond	jord	grond	jord	N;SG	N;INDF;MASC+FEM;SG
grond	jordbund	grond	jordbund	N;SG	N;INDF;MASC+FEM;SG
grond	jord	grond	jord	N;SG	N;INDF;MASC+FEM;SG
grond	land	grond	land	N;SG	N;INDF;NEUT;SG
grond	jorden	grond	jord	N;SG	N;DEF;MASC+FEM;SG
grond	jord	grond	jord	N;SG	N;INDF;MASC+FEM;SG
spesies	dyrearter	spesie	dyrearter	N;PL	N;INDF;NEUT;PL
spesies	arter	spesie	arte	N;PL	N;INDF;MASC+FEM;PL
beroep	erhverv	beroep	erhverv	N;SG	N;INDF;NEUT;SG
beroep	profession	beroep	profession	N;SG	N;INDF;MASC+FEM;SG
gedoen	udfærdiget	doen	udfærdige	V;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
gedoen	udført	doen	udføre	V;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
gedoen	gjort	doen	gøre	V;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
lede	medlemmer	lid	medlem	N;PL	N;INDF;NEUT;PL
lede	medlemmerne	lid	medlem	N;PL	N;DEF;NEUT;PL
historiese	historiske	histories	historisk	ADJ;NOM	ADJ;PL
historiese	historisk	histories	historisk	ADJ;NOM	ADJ;INDF;SG
historiese	historiske	histories	historisk	ADJ;NOM	ADJ;PL
historiese	historisk	histories	historisk	ADJ;NOM	ADJ;INDF;SG
minister	ministeren	minister	minister	N;SG	N;DEF;MASC+FEM;SG
minister	minister	minister	minist	N;SG	N;INDF;MASC+FEM;SG
span	holdet	span	hold	N;SG	N;DEF;NEUT;SG
span	teamet	span	team	N;SG	N;DEF;NEUT;SG
span	team	span	team	N;SG	N;INDF;NEUT;SG
ontwikkeling	udviklingen	ontwikkeling	udvikling	N;SG	N;DEF;MASC+FEM;SG
ontwikkeling	udvikling	ontwikkeling	udvikling	N;SG	N;INDF;MASC+FEM;SG
