een	egy	een	egy	DET;INDF	DET;INDF
tegen	ellen	tegen	ellen	ADP	ADP
geslacht	nemi	geslacht	nemi	N;NEUT;SG	N;NOM;SG
geslacht	neme	geslacht	ne	N;NEUT;SG	N;NOM;SG
geslacht	szex	geslacht	szex	N;NEUT;SG	N;NOM;SG
geslacht	sex	geslacht	sex	N;NEUT;SG	N;NOM;SG
zoals	mint	zoals	mint	CONJ	CONJ
grote	nagyméretű	groot	nagyméretű	ADJ	ADJ;NOM;SG
grote	nagy	groot	nagy	ADJ	ADJ;NOM;SG
grote	nagy	groot	nagy	ADJ	ADJ;NOM;SG
aantal	szám	aantal	szám	N;NEUT;SG	N;NOM;SG
aantal	száma	aantal	szám	N;NEUT;SG	N;NOM;SG
telt	számít	tellen	számít	V;SG;PRS;FIN	V;INDF;IND;SG;3;PRS;FIN;ACT
nieuwe	új	nieuw	új	ADJ	ADJ;NOM;SG
zij	ők	zij	ők	PRO;NOM;3	PRO;NOM;PL;3
jaren	évek	jaar	év	N;PL	N;NOM;PL
artikel	árucikk	artikel	árucikk	N;NEUT;SG	N;NOM;SG
artikel	cikk	artikel	cikk	N;NEUT;SG	N;NOM;SG
gebied	övezet	gebied	övezet	N;NEUT;SG	N;NOM;SG
gebied	zóna	gebied	zóna	N;NEUT;SG	N;NOM;SG
gebied	terület	gebied	terület	N;NEUT;SG	N;NOM;SG
gebied	környék	gebied	környék	N;NEUT;SG	N;NOM;SG
hem	őt	hem	ő	PRO;ACC;3	PRO;ACC;SG;3
stad	városban	stad	város	N;MASC+FEM;SG	N;IN+ESS;SG
stad	város	stad	város	N;MASC+FEM;SG	N;NOM;SG
stad	város	stad	város	N;MASC+FEM;SG	N;NOM;SG
lijst	jegyzék	lijst	jegyzék	N;MASC+FEM;SG	N;NOM;SG
lijst	lista	lijst	lista	N;MASC+FEM;SG	N;NOM;SG
hier	itt	hier	itt	ADV	ADV
omdat	mert	omdat	mert	CONJ	CONJ
tijd	ideje	tijd	idő	N;MASC+FEM;SG	N;NOM;SG
tijd	időpont	tijd	időpont	N;MASC+FEM;SG	N;NOM;SG
tijd	idő	tijd	idő	N;MASC+FEM;SG	N;NOM;SG
daar	ott	daar	ott	ADV	ADV
drie	három	drie	három	NUM	NUM;NOM;SG
kwam	jött	komen	jön	V;SG;PST;FIN	V;INDF;IND;SG;3;PST;FIN;ACT
provincie	tartomány	provincie	tartomány	N;MASC+FEM;SG	N;NOM;SG
provincie	tartományban	provincie	tartomány	N;MASC+FEM;SG	N;IN+ESS;SG
link	hivatkozás	link	hivatkozás	N;MASC+FEM;SG	N;NOM;SG
link	kapcsolat	link	kapcsolat	N;MASC+FEM;SG	N;NOM;SG
link	hivatkozást	link	hivatkozás	N;MASC+FEM;SG	N;ACC;SG
gebruikt	használt	gebruiken	használt	V;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
gebruikt	felhasznált	gebruiken	felhasznált	V;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
alleen	csak	alleen	csak	ADV	ADV
eeuw	évszázad	eeuw	évszázad	N;MASC+FEM;SG	N;NOM;SG
eeuw	század	eeuw	század	N;MASC+FEM;SG	N;NOM;SG
vlinder	lepke	vlinder	lepk	N;MASC+FEM;SG	N;NOM;SG
vlinder	pillangó	vlinder	pillangó	N;MASC+FEM;SG	N;NOM;SG
club	klub	club	klub	N;MASC+FEM;SG	N;NOM;SG
sinds	óta	sinds	óta	ADP	ADP
laatste	legújabb	laat	legújabb	ADJ;RL	ADJ;NOM;RL;SG
laatste	legfrissebb	laat	fons	ADJ;RL	ADJ;NOM;RL;SG
maakt	teszi	maken	tesz	V;SG;PRS;FIN	V;DEF;IND;SG;3;PRS;FIN;ACT
amerikaanse	amerikai	amerikaans	amerikai	ADJ	ADJ;NOM;SG
verschillende	eltérő	verschillend	eltérő	ADJ	ADJ;NOM;SG
bestaat	létezik	bestaan	létezik	V;SG;PRS;FIN	V;INDF;IND;SG;3;PRS;FIN;ACT
seizoen	szezont	seizoen	szezont	N;NEUT;SG	N;ACC;SG
seizoen	idény	seizoen	idény	N;NEUT;SG	N;NOM;SG
seizoen	évszak	seizoen	évszú	N;NEUT;SG	N;NOM;SG
seizoen	évad	seizoen	évad	N;NEUT;SG	N;NOM;SG
seizoen	szezon	seizoen	szez	N;NEUT;SG	N;NOM;SG
gaat	megy	gaan	megy	V;SG;PRS;FIN	V;INDF;IND;SG;3;PRS;FIN;ACT
insect	rovar	insect	rovar	N;NEUT;SG	N;NOM;SG
insect	poloska	insect	poloska	N;NEUT;SG	N;NOM;SG
insect	bug	insect	bug	N;NEUT;SG	N;NOM;SG
film	filmet	film	film	N;MASC+FEM;SG	N;ACC;SG
film	mozi	film	mozi	N;MASC+FEM;SG	N;NOM;SG
film	film	film	film	N;MASC+FEM;SG	N;NOM;SG
film	fólia	film	fólia	N;MASC+FEM;SG	N;NOM;SG
film	film	film	film	N;MASC+FEM;SG	N;NOM;SG
terug	vissza	terug	vissza	ADV	ADV
rond	körül	rond	körül	ADP	ADP
wikipedia	wikipédia	wikipedia	wikipédia	N;MASC+FEM;SG	N;NOM;SG
land	ország	land	ország	N;NEUT;SG	N;NOM;SG
land	országban	land	ország	N;NEUT;SG	N;IN+ESS;SG
land	föld	land	föld	N;NEUT;SG	N;NOM;SG
land	földterület	land	földterület	N;NEUT;SG	N;NOM;SG
land	szárazföld	land	szárazföld	N;NEUT;SG	N;NOM;SG
land	telek	land	tél	N;NEUT;SG	N;NOM;SG
ging	ment	gaan	megy	V;SG;PST;FIN	V;INDF;IND;SG;3;PST;FIN;ACT
werk	munkahelyi	werk	munkahelyi	N;NEUT;SG	N;NOM;SG
werk	munka	werk	munka	N;NEUT;SG	N;NOM;SG
website	weboldal	website	weboldal	N;MASC+FEM;SG	N;NOM;SG
website	honlap	website	honlap	N;MASC+FEM;SG	N;NOM;SG
website	webhely	website	webhely	N;MASC+FEM;SG	N;NOM;SG
duitse	német	duits	német	ADJ	ADJ;NOM;SG
bestand	fájl	bestand	fájl	N;NEUT;SG	N;NOM;SG
bestand	file	bestand	file	N;NEUT;SG	N;NOM;SG
bestand	akta	bestand	akta	N;NEUT;SG	N;NOM;SG
mensen	emberek	mens	ember	N;PL	N;NOM;PL
mensen	emberek	mens	ember	N;PL	N;NOM;PL
gaan	alakul	gaan	alakul	V;PRS;NFIN	V;INDF;IND;SG;3;PRS;FIN;ACT
gaan	megyek	gaan	megy	V;PRS;NFIN	V;INDF;IND;SG;1;PRS;FIN;ACT
gaan	megy	gaan	megy	V;PRS;NFIN	V;INDF;IND;SG;3;PRS;FIN;ACT
orde	megrendelés	orde	megrendelés	N;MASC+FEM;SG	N;NOM;SG
orde	rendelés	orde	rendelés	N;MASC+FEM;SG	N;NOM;SG
orde	rend	orde	rend	N;MASC+FEM;SG	N;NOM;SG
orde	parancs	orde	parancs	N;MASC+FEM;SG	N;NOM;SG
groot	nagyméretű	groot	nagyméretű	ADJ	ADJ;NOM;SG
groot	nagy	groot	nagy	ADJ	ADJ;NOM;SG
groot	nagy	groot	nagy	ADJ	ADJ;NOM;SG
vooral	leginkább	vooral	inkább	ADV	ADV
marine	flotta	marine	flotta	N;MASC+FEM;SG	N;NOM;SG
marine	haditengerészet	marine	haditengerészet	N;MASC+FEM;SG	N;NOM;SG
marine	tengerészet	marine	tengerészet	N;MASC+FEM;SG	N;NOM;SG
kerk	templom	kerk	templom	N;MASC+FEM;SG	N;NOM;SG
kerk	egyház	kerk	egyház	N;MASC+FEM;SG	N;NOM;SG
regio	régió	regio	régió	N;MASC+FEM;SG	N;NOM;SG
oppervlakte	terület	oppervlakte	terület	N;MASC+FEM;SG	N;NOM;SG
oppervlakte	környék	oppervlakte	környék	N;MASC+FEM;SG	N;NOM;SG
genoemd	említett	noemen	említett	V;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
genoemd	megnevezett	noemen	megnevezett	V;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
genoemd	hívott	noemen	hív	V;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
komen	jövök	komen	jövök	V;NFIN	V;INDF;IND;SG;1;PRS;FIN;ACT
komen	jön	komen	jön	V;NFIN	V;INDF;IND;SG;3;PRS;FIN;ACT
ongeveer	körülbelül	ongeveer	körülbelül	ADV	ADV
ongeveer	hozzávetőleg	ongeveer	hozzávetőleg	ADV	ADV
ongeveer	körülbelül	ongeveer	körülbelül	ADV	ADV
php	php	php	php	N;MASC+FEM;SG	N;NOM;SG
speelde	játszott	spelen	játszik	V;SG;PST;FIN	V;INDF;IND;SG;3;PST;FIN;ACT
speelde	játszottam	spelen	játszik	V;SG;PST;FIN	V;INDF;IND;SG;1;PST;FIN;ACT
dorp	település	dorp	település	N;NEUT;SG	N;NOM;SG
dorp	falu	dorp	falu	N;NEUT;SG	N;NOM;SG
plaatsen	helyszínek	plaats	helyszín	N;PL	N;NOM;PL
plaatsen	helyek	plaats	hely	N;PL	N;NOM;PL
geraadpleegd	konzultált	raadplegen	konzultált	V;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
leven	élet	leven	élet	N;NEUT;SG	N;NOM;SG
leven	életem	leven	élet	N;NEUT;SG	N;NOM;SG
leven	élőben	leven	élő	N;NEUT;SG	N;IN+ESS;SG
binnen	belül	binnen	belül	ADP	ADP
binnen	belül	binnen	belül	ADP	ADP
register	nyilvántartás	register	nyilvántartás	N;NEUT;SG	N;NOM;SG
register	regisztráció	register	regisztráció	N;NEUT;SG	N;NOM;SG
zal	fog	zullen	fog	V;SG;PRS;FIN	V;INDF;IND;SG;3;PRS;ACT
meter	méter	meter	méter	N;MASC+FEM;SG	N;NOM;SG
meter	méter	meter	méter	N;MASC+FEM;SG	N;NOM;SG
meter	méter	meter	méter	N;MASC+FEM;SG	N;NOM;SG
meter	méter	meter	méter	N;MASC+FEM;SG	N;NOM;SG
vier	négy	vier	négy	NUM	NUM;NOM;SG
zeer	nagyon	zeer	nagyon	ADV	ADV
top	csúcstalálkozó	top	csúcstalálkozó	N;MASC+FEM;SG	N;NOM;SG
zonder	nélkül	zonder	nélkül	ADP	ADP
ronde	kör	ronde	kör	N;MASC+FEM;SG	N;NOM;SG
ronde	forduló	ronde	forduló	N;MASC+FEM;SG	N;NOM;SG
gemaakt	készítette	maken	készít	V;V.PTCP	V;DEF;IND;SG;3;PST;FIN;ACT
gemaakt	készült	maken	készül	V;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
gemaakt	tett	maken	tesz	V;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
gemaakt	teremtett	maken	teremtett	V;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
groep	csoport	groep	csoport	N;MASC+FEM;SG	N;NOM;SG
groep	csoportban	groep	csoport	N;MASC+FEM;SG	N;IN+ESS;SG
won	nyert	winnen	nyert	V;SG;PST;FIN	V;INDF;IND;SG;3;PST;FIN;ACT
goals	célkitűzések	goal	célkitűzés	N;PL	N;NOM;PL
goals	célokat	goal	cél	N;PL	N;ACC;PL
goals	célok	goal	cél	N;PL	N;NOM;PL
gebruik	használat	gebruik	használat	N;NEUT;SG	N;NOM;SG
gebruik	használat	gebruik	használat	N;NEUT;SG	N;NOM;SG
gebruik	használata	gebruik	használat	N;NEUT;SG	N;NOM;SG
gebruik	felhasználás	gebruik	felhasználás	N;NEUT;SG	N;NOM;SG
werken	dolgozik	werken	dolgozik	V;NFIN	V;INDF;IND;SG;3;PRS;FIN;ACT
werken	dolgozom	werken	dolgozik	V;NFIN	V;INDF;IND;SG;1;PRS;FIN;ACT
werken	dolgozok	werken	dolgozik	V;NFIN	V;INDF;IND;SG;1;PRS;FIN;ACT
werken	működik	werken	működik	V;NFIN	V;INDF;IND;SG;3;PRS;FIN;ACT
kleine	kis	klein	kis	ADJ	ADJ;NOM;SG
kleine	kis	klein	kis	ADJ	ADJ;NOM;SG
eens	egyszer	eens	egyszer	ADV	ADV
album	album	album	album	N;NEUT;SG	N;NOM;SG
mogelijk	lehetséges	mogelijk	lehetséges	ADJ	ADJ;NOM;SG
wil	akarja	willen	akar	V;SG;PRS;FIN	V;DEF;IND;SG;3;PRS;FIN;ACT
wil	akar	willen	akar	V;SG;PRS;FIN	V;INDF;IND;SG;3;PRS;FIN;ACT
wil	akarsz	willen	akarsz	V;SG;PRS;FIN	V;INDF;IND;SG;1;PRS;FIN;ACT
wil	akar	willen	akar	V;SG;PRS;FIN	V;INDF;IND;SG;3;PRS;FIN;ACT
wil	akarod	willen	akarod	V;SG;PRS;FIN	V;DEF;IND;SG;1;PRS;FIN;ACT
wil	akarom	willen	akarom	V;SG;PRS;FIN	V;DEF;IND;SG;1;PRS;FIN;ACT
staten	államok	state	állam	N;PL	N;NOM;PL
staten	államokat	state	állam	N;PL	N;ACC;PL
nam	vette	nemen	vesz	V;SG;PST;FIN	V;DEF;IND;SG;3;PST;FIN;ACT
nam	elvitte	nemen	elvitte	V;SG;PST;FIN	V;DEF;IND;SG;3;PST;FIN;ACT
station	állomás	station	állomás	N;NEUT;SG	N;NOM;SG
station	pályaudvar	station	pályaudvar	N;NEUT;SG	N;NOM;SG
verenigde	egyesült	verenigen	egyesül	V;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
zoon	fiam	zoon	fia	N;MASC+FEM;SG	N;NOM;SG
zoon	fiuk	zoon	fiuk	N;MASC+FEM;SG	N;NOM;SG
man	férfi	man	férfi	N;MASC+FEM;SG	N;NOM;SG
man	ember	man	ember	N;MASC+FEM;SG	N;NOM;SG
water	víz	water	víz	N;NEUT;SG	N;NOM;SG
water	vizet	water	víz	N;NEUT;SG	N;ACC;SG
gezien	láttam	zien	lát	V;V.PTCP	V;DEF;IND;SG;1;PST;FIN;ACT
gezien	látta	zien	lát	V;V.PTCP	V;DEF;IND;SG;3;PST;FIN;ACT
gezien	látták	zien	lát	V;V.PTCP	V;DEF;IND;PL;3;PST;FIN;ACT
begin	kezdés	begin	kezdés	N;NEUT;SG	N;NOM;SG
begin	kezdete	begin	kezdet	N;NEUT;SG	N;NOM;SG
begin	eleje	begin	eleje	N;NEUT;SG	N;NOM;SG
begin	kezdet	begin	kezd	N;NEUT;SG	N;NOM;SG
slechts	csak	slechts	csak	ADV	ADV
spelen	játszani	spelen	játszik	V;NFIN	V;NFIN;ACT
spelen	játszik	spelen	játszik	V;NFIN	V;INDF;IND;SG;3;PRS;FIN;ACT
spelen	játszom	spelen	játszik	V;NFIN	V;INDF;IND;SG;1;PRS;FIN;ACT
periode	időszak	periode	időszak	N;MASC+FEM;SG	N;NOM;SG
periode	időtartam	periode	időtartam	N;MASC+FEM;SG	N;NOM;SG
periode	periódus	periode	periódus	N;MASC+FEM;SG	N;NOM;SG
volkstelling	népszámlálás	volkstelling	népszámlálás	N;MASC+FEM;SG	N;NOM;SG
officiële	hivatalos	officeel	hivatalos	ADJ	ADJ;NOM;SG
lid	tag	lid	tag	N;NEUT;SG	N;NOM;SG
titel	felirat	titel	felirat	N;MASC+FEM;SG	N;NOM;SG
titel	cím	titel	cím	N;MASC+FEM;SG	N;NOM;SG
titel	címe	titel	cím	N;MASC+FEM;SG	N;NOM;SG
titel	beosztás	titel	beosztás	N;MASC+FEM;SG	N;NOM;SG
begon	kezdődött	beginnen	kezdődik	V;SG;PST;FIN	V;INDF;IND;SG;3;PST;FIN;ACT
begon	kezdte	beginnen	kezd	V;SG;PST;FIN	V;DEF;IND;SG;3;PST;FIN;ACT
begon	elkezdődött	beginnen	elkezdődik	V;SG;PST;FIN	V;INDF;IND;SG;3;PST;FIN;ACT
begon	kezdődött	beginnen	kezdődik	V;SG;PST;FIN	V;INDF;IND;SG;3;PST;FIN;ACT
begon	megkezdődött	beginnen	megkezdődik	V;SG;PST;FIN	V;INDF;IND;SG;3;PST;FIN;ACT
begon	elkezdődött	beginnen	elkezdődik	V;SG;PST;FIN	V;INDF;IND;SG;3;PST;FIN;ACT
bezocht	meglátogatta	bezoeken	meg+lát	V;V.PTCP	V;DEF;IND;SG;3;PST;FIN;ACT
bezocht	meglátogatott	bezoeken	meglátogatott	V;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
bezocht	látogatott	bezoeken	látogat	V;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
bezocht	felkeresett	bezoeken	felkeres	V;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
nieuw	új	nieuw	új	ADJ	ADJ;NOM;SG
nummer	szám	nummer	szám	N;MASC+FEM;SG	N;NOM;SG
nummer	száma	nummer	szám	N;MASC+FEM;SG	N;NOM;SG
nummer	dal	nummer	dal	N;MASC+FEM;SG	N;NOM;SG
nummer	dalt	nummer	dalt	N;MASC+FEM;SG	N;ACC;SG
tekst	sms	tekst	sms	N;MASC+FEM;SG	N;NOM;SG
tekst	szöveg	tekst	szöveg	N;MASC+FEM;SG	N;NOM;SG
vinden	megtalálni	vinden	meg+talál	V;NFIN	V;NFIN;ACT
vinden	találni	vinden	talál	V;NFIN	V;NFIN;ACT
vinden	megtalálni	vinden	meg+talál	V;NFIN	V;NFIN;ACT
pagina	oldalt	pagina	oldal	N;MASC+FEM;SG	N;ACC;SG
pagina	oldal	pagina	oldal	N;MASC+FEM;SG	N;NOM;SG
noord	északra	noord	észak	N;NEUT;SG	N;ON+ALL;SG
bron	forrás	bron	forrás	N;MASC+FEM;SG	N;NOM;SG
john	jános	john	jános	N;MASC+FEM;SG	N;NOM;SG
district	körzet	district	körzet	N;NEUT;SG	N;NOM;SG
district	járás	district	járás	N;NEUT;SG	N;NOM;SG
aug	aug	aug	aug	N;MASC+FEM;SG	N;NOM;SG
daarna	akkor	daarna	akkor	ADV	ADV
database	adatbázis	databaas	adatbázis	N;MASC+FEM;SG	N;NOM;SG
band	zenekar	band	zenekar	N;MASC+FEM;SG	N;NOM;SG
soorten	fajok	soort	fajok	N;PL	N;NOM;PL
soorten	típusok	soort	típus	N;PL	N;NOM;PL
soorten	típusai	soort	típus	N;PL	N;NOM;PL
dec	dec	dec	dec	N;MASC+FEM;SG	N;NOM;SG
naast	mellett	naast	mellett	ADP	ADP
naast	mellé	naast	mellé	ADP	ADP
boven	felett	boven	felett	ADP	ADP
boven	fölött	boven	fölött	ADP	ADP
vorm	alakja	vorm	alak	N;MASC+FEM;SG	N;NOM;SG
vorm	forma	vorm	forma	N;MASC+FEM;SG	N;NOM;SG
vorm	formát	vorm	forma	N;MASC+FEM;SG	N;ACC;SG
vorm	alakzat	vorm	alakzat	N;MASC+FEM;SG	N;NOM;SG
vorm	űrlap	vorm	űrlap	N;MASC+FEM;SG	N;NOM;SG
vorm	forma	vorm	forma	N;MASC+FEM;SG	N;NOM;SG
vorm	formájában	vorm	forma	N;MASC+FEM;SG	N;IN+ESS;SG
vorm	nyomtatvány	vorm	nyomtatvány	N;MASC+FEM;SG	N;NOM;SG
gebouwd	épült	bouwen	épül	V;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
gebouwd	épített	bouwen	épít	V;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
gebouwd	felépített	bouwen	felépít	V;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
gebouwd	beépített	bouwen	beépített	V;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
huidige	aktuális	huidig	aktuális	ADJ	ADJ;NOM;SG
wanneer	mikor	wanneer	mikor	ADV	ADV
wanneer	amikor	wanneer	amikor	ADV	ADV
toont	mutatja	tonen	mutat	V;SG;PRS;FIN	V;DEF;IND;SG;3;PRS;FIN;ACT
hoe	hogyan	hoe	hogyan	ADV	ADV
klasse	óra	klasse	óra	N;MASC+FEM;SG	N;NOM;SG
klasse	osztály	klasse	osztály	N;MASC+FEM;SG	N;NOM;SG
dag	nap	dag	nap	N;MASC+FEM;SG	N;NOM;SG
dag	napon	dag	nap	N;MASC+FEM;SG	N;ON+ESS;SG
dag	nappal	dag	nap	N;MASC+FEM;SG	N;INS;SG
dag	napot	dag	nap	N;MASC+FEM;SG	N;ACC;SG
artikelen	árucikkek	artikel	árucik	N;PL	N;NOM;PL
artikelen	cikkek	artikel	cikk	N;PL	N;NOM;PL
universiteit	egyetem	universiteit	egyetem	N;MASC+FEM;SG	N;NOM;SG
universiteit	kollégium	universiteit	kollégium	N;MASC+FEM;SG	N;NOM;SG
universiteit	főiskola	universiteit	főiskola	N;MASC+FEM;SG	N;NOM;SG
universiteit	egyetem	universiteit	egyetem	N;MASC+FEM;SG	N;NOM;SG
zelfs	még	zelfs	még	ADV	ADV
grootste	legnagyobb	groot	nagy	ADJ;RL	ADJ;NOM;RL;SG
grootste	legnagyobb	groot	nagy	ADJ;RL	ADJ;NOM;RL;SG
grootste	legnagyobb	groot	nagy	ADJ;RL	ADJ;NOM;RL;SG
vader	apa	vader	apa	N;MASC+FEM;SG	N;NOM;SG
indeling	bontás	indeling	bontás	N;MASC+FEM;SG	N;NOM;SG
indeling	elrendezés	indeling	elrendezés	N;MASC+FEM;SG	N;NOM;SG
indeling	besorolás	indeling	besorolás	N;MASC+FEM;SG	N;NOM;SG
indeling	osztályozás	indeling	osztályozás	N;MASC+FEM;SG	N;NOM;SG
indeling	formátuma	indeling	formátum	N;MASC+FEM;SG	N;NOM;SG
indeling	formátum	indeling	formátum	N;MASC+FEM;SG	N;NOM;SG
opnieuw	újra	opnieuw	újra	ADV	ADV
nov	nov	nov	nov	N;MASC+FEM;SG	N;NOM;SG
serie	sorozat	serie	sorozat	N;MASC+FEM;SG	N;NOM;SG
rol	szerepet	rol	szerep	N;MASC+FEM;SG	N;ACC;SG
rol	szerep	rol	szerep	N;MASC+FEM;SG	N;NOM;SG
rol	szerepe	rol	szerep	N;MASC+FEM;SG	N;NOM;SG
rol	tekercs	rol	tekercs	N;MASC+FEM;SG	N;NOM;SG
rol	tekercset	rol	tekercs	N;MASC+FEM;SG	N;ACC;SG
rol	tekercs	rol	tekercs	N;MASC+FEM;SG	N;NOM;SG
figuur	figura	figuur	figura	N;MASC+FEM;SG	N;NOM;SG
figuur	ábra	figuur	áb	N;MASC+FEM;SG	N;NOM;SG
oorlog	háború	oorlog	háború	N;MASC+FEM;SG	N;NOM;SG
geschiedenis	történelme	geschiedenis	történelem	N;MASC+FEM;SG	N;NOM;SG
geschiedenis	történelem	geschiedenis	történel	N;MASC+FEM;SG	N;NOM;SG
landen	országokban	land	ország	N;PL	N;IN+ESS;PL
landen	országok	land	ország	N;PL	N;NOM;PL
huis	ház	huis	ház	N;NEUT;SG	N;NOM;SG
stond	állt	staan	áll	V;SG;PST;FIN	V;INDF;IND;SG;3;PST;FIN;ACT
stond	álltam	staan	áll	V;SG;PST;FIN	V;INDF;IND;SG;1;PST;FIN;ACT
shift	műszak	shift	műszak	N;MASC+FEM;SG	N;NOM;SG
shift	váltás	shift	váltás	N;MASC+FEM;SG	N;NOM;SG
finale	finálé	finale	finálé	N;MASC+FEM;SG	N;NOM;SG
finale	záró	finale	záró	N;MASC+FEM;SG	N;NOM;SG
opgericht	alapították	oprichten	alapít	V;V.PTCP	V;DEF;IND;PL;3;PST;FIN;ACT
opgericht	alapított	oprichten	alapított	V;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
opgericht	alapította	oprichten	alapít	V;V.PTCP	V;DEF;IND;SG;3;PST;FIN;ACT
opgericht	megalapozott	oprichten	megalapozott	V;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
opgericht	letelepedett	oprichten	letelepedik	V;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
nationale	nemzeti	nationaal	nemzeti	ADJ	ADJ;NOM;SG
nationale	országos	nationaal	országos	ADJ	ADJ;NOM;SG
amerikaans	amerikai	amerikaans	amerikai	ADJ	ADJ;NOM;SG
europese	európai	Europees	európai	ADJ	ADJ;NOM;SG
boek	könyv	boek	könyv	N;NEUT;SG	N;NOM;SG
