رده	класс	رده	класс	N;SG	N;INAN;NOM;MASC;SG
باشگاه	спортзал	باشگاه	спортзал	N;SG	N;INAN;NOM;MASC;SG
باشگاه	зал	باشگاه	зал	N;SG	N;INAN;NOM;MASC;SG
شهرهای	муниципалитеты	شهر	муниципалитет	N;PL	N;INAN;NOM;MASC;PL
شهرهای	муниципалитетов	شهر	муниципалитет	N;PL	N;INAN;GEN;MASC;PL
دانشگاه	университет	دانشگاه	университет	N;SG	N;INAN;NOM;MASC;SG
دانشگاه	коллегия	دانشگاه	коллегия	N;SG	N;INAN;NOM;FEM;SG
دانشگاه	колледж	دانشگاه	колледж	N;SG	N;INAN;NOM;MASC;SG
مورد	случае	مورد	случай	N;SG	N;INAN;ESS;MASC;SG
مورد	случай	مورد	случай	N;SG	N;INAN;NOM;MASC;SG
مورد	дело	مورد	дело	N;SG	N;INAN;NOM;NEUT;SG
مورد	кейс	مورد	кейс	N;SG	N;INAN;NOM;MASC;SG
سده	век	سده	век	N;SG	N;INAN;NOM;MASC;SG
سده	столетие	سده	столетие	N;SG	N;INAN;NOM;NEUT;SG
ثبت	лесозаготовок	ثبت	лесозаготовка	N;SG	N;INAN;NOM;FEM;SG
ثبت	журнал	ثبت	журнал	N;SG	N;INAN;NOM;MASC;SG
وجود	существование	وجود	существование	N;SG	N;INAN;NOM;NEUT;SG
وجود	бытие	وجود	бытие	N;SG	N;INAN;NOM;NEUT;SG
زبان	язык	زبان	язык	N;SG	N;INAN;NOM;MASC;SG
زبان	язык	زبان	язык	N;SG	N;INAN;NOM;MASC;SG
شماره	число	شماره	число	N;SG	N;INAN;NOM;NEUT;SG
شماره	номер	شماره	номер	N;SG	N;INAN;NOM;MASC;SG
شماره	количество	شماره	количество	N;SG	N;INAN;NOM;NEUT;SG
کار	работа	کار	работа	N;SG	N;INAN;NOM;FEM;SG
کار	работа	کار	работа	N;SG	N;INAN;NOM;FEM;SG
کار	труд	کار	труд	N;SG	N;INAN;NOM;MASC;SG
کار	работа	کار	работа	N;SG	N;INAN;NOM;FEM;SG
اما	но	اما	но	CONJ	CONJ
بازیگران	съемки	بازیگر	съемка	N;PL	N;INAN;NOM;FEM;PL
بازیگران	съёмки	بازیگر	съемка	N;PL	N;INAN;NOM;FEM;PL
بازیگران	субъектов	بازیگر	субъект	N;PL	N;INAN;GEN;MASC;PL
بازیگران	актеры	بازیگر	актер	N;PL	N;ANIM;NOM;MASC;PL
فرودگاه	аэропорт	فرودگاه	аэропорт	N;SG	N;INAN;NOM;MASC;SG
صورت	лицом	صورت	лицо	N;SG	N;INAN;INS;NEUT;SG
صورت	лицо	صورت	лицо	N;SG	N;INAN;NOM;NEUT;SG
مرکز	центр	مرکز	центр	N;SG	N;INAN;NOM;MASC;SG
مرکز	центр	مرکز	центр	N;SG	N;INAN;NOM;MASC;SG
زمان	время	زمان	время	N;SG	N;INAN;NOM;NEUT;SG
زمان	времени	زمان	время	N;SG	N;INAN;GEN;NEUT;SG
زمان	тайм	زمان	тайма	N;SG	N;INAN;NOM;MASC;SG
شرکت	компания	شرکت	компания	N;SG	N;INAN;NOM;FEM;SG
شرکت	рота	شرکت	рот	N;SG	N;INAN;NOM;FEM;SG
مقاله	эссе	مقاله	эссе	N;SG	N;INAN;NOM;NEUT;SG
مقاله	сочинение	مقاله	сочинение	N;SG	N;INAN;NOM;NEUT;SG
مقاله	статья	مقاله	статья	N;SG	N;INAN;NOM;FEM;SG
تیم	тим	تیم	тима	N;SG	N;ANIM;NOM;MASC;SG
تیم	тима	تیم	тима	N;SG	N;ANIM;ACC;MASC;SG
تیم	команда	تیم	команда	N;SG	N;INAN;NOM;FEM;SG
مرد	мужик	مرد	мужик	N;SG	N;ANIM;NOM;MASC;SG
مرد	человек	مرد	человек	N;SG	N;ANIM;NOM;MASC;SG
مرد	мужчина	مرد	мужчина	N;SG	N;ANIM;NOM;MASC;SG
نظر	комментарий	نظر	комментарий	N;SG	N;INAN;NOM;MASC;SG
نظر	мнение	نظر	мнение	N;SG	N;INAN;NOM;NEUT;SG
جهانی	мир	جهانی	мир	N;SG	N;INAN;NOM;MASC;SG
زندگی	жизнь	زندگی	жизнь	N;SG	N;INAN;NOM;FEM;SG
زن	женщину	زن	женщина	N;SG	N;ANIM;ACC;FEM;SG
زن	женщина	زن	женщина	N;SG	N;ANIM;NOM;FEM;SG
زن	женщина	زن	женщина	N;SG	N;ANIM;NOM;FEM;SG
زن	жене	زن	жена	N;SG	N;ANIM;DAT;FEM;SG
زن	жена	زن	жена	N;SG	N;ANIM;NOM;FEM;SG
زیر	под	زیر	под	ADP	ADP
آنها	их	آن	они	PRO;PL	PRO;ACC;PL;3
آنها	они	آن	они	PRO;PL	PRO;NOM;PL;3
هستند	являются	هست	являться	V;PL;3;PRS	V;IPFV;IND;PL;3;PRS;FIN;MID
جوایز	награды	جایزه	награда	N;PL	N;INAN;NOM;FEM;PL
جوایز	призы	جایزه	приз	N;PL	N;INAN;NOM;MASC;PL
روستا	деревне	روستا	деревня	N;SG	N;INAN;DAT;FEM;SG
روستا	село	روستا	село	N;SG	N;INAN;NOM;NEUT;SG
روستا	деревня	روستا	деревня	N;SG	N;INAN;NOM;FEM;SG
تهران	тегеране	تهران	тегеран	N;SG	N;INAN;ESS;MASC;SG
بازی	игра	بازی	игра	N;SG	N;INAN;NOM;FEM;SG
تاریخی	исторические	تاریخی	исторический	ADJ	ADJ;NOM;PL
تاریخی	историческое	تاریخی	исторический	ADJ	ADJ;NOM;NEUT;SG
تاریخی	историческая	تاریخی	исторический	ADJ	ADJ;NOM;FEM;SG
تاریخی	исторический	تاریخی	исторический	ADJ	ADJ;NOM;MASC;SG
تاریخی	исторической	تاریخی	исторический	ADJ	ADJ;INS;FEM;SG
تاریخی	исторических	تاریخی	исторический	ADJ	ADJ;GEN;PL
تاریخی	историческое	تاریخی	исторический	ADJ	ADJ;NOM;NEUT;SG
تاریخی	исторический	تاریخی	исторический	ADJ	ADJ;NOM;MASC;SG
تاریخی	исторические	تاریخی	исторический	ADJ	ADJ;NOM;PL
تاریخی	историческая	تاریخی	исторический	ADJ	ADJ;NOM;FEM;SG
سرشماری	перепись	سرشماری	перепись	N;SG	N;INAN;NOM;FEM;SG
فرانسه	франс	فرانسه	франс	N;SG	N;INAN;NOM;MASC;SG
فرانسه	франция	فرانسه	франция	N;SG	N;INAN;NOM;FEM;SG
جنگ	война	جنگ	война	N;SG	N;INAN;NOM;FEM;SG
دست	рука	دست	рука	N;SG	N;INAN;NOM;FEM;SG
دست	руку	دست	рука	N;SG	N;INAN;ACC;FEM;SG
دست	рука	دست	рука	N;SG	N;INAN;NOM;FEM;SG
دست	руку	دست	рука	N;SG	N;INAN;ACC;FEM;SG
شورای	совет	شورا	совет	N;SG	N;INAN;NOM;MASC;SG
شورای	совета	شورا	совет	N;SG	N;INAN;GEN;MASC;SG
محل	место	محل	место	N;SG	N;INAN;NOM;NEUT;SG
محل	местоположение	محل	местоположение	N;SG	N;INAN;NOM;NEUT;SG
محل	расположение	محل	расположение	N;SG	N;INAN;NOM;NEUT;SG
محل	местонахождение	محل	местонахождение	N;SG	N;INAN;NOM;NEUT;SG
محل	место	محل	место	N;SG	N;INAN;NOM;NEUT;SG
کتاب	книга	کتاب	книга	N;SG	N;INAN;NOM;FEM;SG
کتاب	книгу	کتاب	книга	N;SG	N;INAN;ACC;FEM;SG
آلمان	немец	آلمان	немец	N;SG	N;ANIM;NOM;MASC;SG
آلمان	германии	آلمان	германия	N;SG	N;INAN;ESS;NEUT;SG
آلمان	германия	آلمان	германий	N;SG	N;INAN;NOM;NEUT;SG
آلمان	германию	آلمان	германия	N;SG	N;INAN;ACC;NEUT;SG
آلمان	германии	آلمان	германия	N;SG	N;INAN;ESS;NEUT;SG
سطح	уровень	سطح	уровень	N;SG	N;INAN;NOM;MASC;SG
سطح	поверхность	سطح	поверхность	N;SG	N;INAN;NOM;FEM;SG
سطح	уровень	سطح	уровень	N;SG	N;INAN;NOM;MASC;SG
سطح	уровня	سطح	уровень	N;SG	N;INAN;GEN;MASC;SG
اصلی	основная	اصلی	основной	ADJ	ADJ;NOM;FEM;SG
اصلی	основные	اصلی	основной	ADJ	ADJ;NOM;PL
اصلی	главная	اصلی	главный	ADJ	ADJ;NOM;FEM;SG
اصلی	основных	اصلی	основной	ADJ	ADJ;GEN;PL
اصلی	оригинальная	اصلی	оригинальный	ADJ	ADJ;NOM;FEM;SG
اصلی	оригинальные	اصلی	оригинальный	ADJ	ADJ;NOM;PL
اصلی	первоначального	اصلی	первоначальный	ADJ	ADJ;GEN;MASC;SG
اصلی	оригинальный	اصلی	оригинальный	ADJ	ADJ;NOM;MASC;SG
اصلی	начального	اصلی	начальный	ADJ	ADJ;GEN;MASC;SG
اصلی	первичные	اصلی	первичный	ADJ	ADJ;NOM;PL
اصلی	начальное	اصلی	начальный	ADJ	ADJ;NOM;NEUT;SG
ساخت	конструкция	ساخت	конструкция	N;SG	N;INAN;NOM;FEM;SG
ساخت	строительство	ساخت	строительство	N;SG	N;INAN;NOM;NEUT;SG
ساخت	производство	ساخت	производство	N;SG	N;INAN;NOM;NEUT;SG
ساخت	изготовление	ساخت	изготовление	N;SG	N;INAN;NOM;NEUT;SG
اول	первый	اول	первый	ADJ	ADJ;NOM;MASC;SG
اول	первое	اول	первый	ADJ	ADJ;NOM;NEUT;SG
اول	первая	اول	первый	ADJ	ADJ;NOM;FEM;SG
سازمان	организация	سازمان	организация	N;SG	N;INAN;NOM;FEM;SG
سازمان	организация	سازمان	организация	N;SG	N;INAN;NOM;FEM;SG
سازمان	учреждение	سازمان	учреждение	N;SG	N;INAN;NOM;NEUT;SG
سازمان	агенство	سازمان	агенство	N;SG	N;INAN;NOM;NEUT;SG
سازمان	агентство	سازمان	агентство	N;SG	N;INAN;NOM;NEUT;SG
سه	три	سه	три	NUM	NUM;NOM
سه	трое	سه	трое	NUM	NUM;NOM
دارای	известный	دارا	известный	ADJ	ADJ;NOM;MASC;SG
مرکزی	центральная	مرکزی	центральный	ADJ	ADJ;NOM;FEM;SG
مرکزی	центральное	مرکزی	центральный	ADJ	ADJ;NOM;NEUT;SG
مرکزی	центральной	مرکزی	центральный	ADJ	ADJ;INS;FEM;SG
مرکزی	центральный	مرکزی	центральный	ADJ	ADJ;NOM;MASC;SG
ایالت	штат	ایالت	штат	N;SG	N;INAN;NOM;MASC;SG
ایالت	состояние	ایالت	состояние	N;SG	N;INAN;NOM;NEUT;SG
ایالت	государство	ایالت	государство	N;SG	N;INAN;NOM;NEUT;SG
زنده	живой	زنده	живой	ADJ	ADJ;NOM;MASC;SG
زنده	живым	زنده	живой	ADJ	ADJ;INS;NEUT;SG
زنده	живая	زنده	живой	ADJ	ADJ;NOM;FEM;SG
زنده	живые	زنده	живой	ADJ	ADJ;NOM;PL
زنده	жив	زنده	живой	ADJ	ADJ;MASC;SG
فارسی	фарси	فارسی	фарс	N;SG	N;INAN;NOM;NEUT;SG
بین	между	بین	между	ADP	ADP
انگلستان	англии	انگلستان	англия	N;SG	N;INAN;NOM;FEM;SG
انگلستان	англия	انگلستان	англия	N;SG	N;INAN;NOM;FEM;SG
دوم	второй	دوم	второй	ADJ	ADJ;NOM;MASC;SG
دوم	вторая	دوم	второй	ADJ	ADJ;NOM;FEM;SG
دوم	второе	دوم	второй	ADJ	ADJ;NOM;NEUT;SG
موسیقی	музыка	موسیقی	музыка	N;SG	N;INAN;NOM;FEM;SG
موسیقی	музыку	موسیقی	музыка	N;SG	N;INAN;ACC;FEM;SG
گروه	группа	گروه	группа	N;SG	N;INAN;NOM;FEM;SG
جایزه	бонус	جایزه	бонус	N;SG	N;INAN;NOM;MASC;SG
جایزه	премия	جایزه	премия	N;SG	N;INAN;NOM;FEM;SG
جایزه	приз	جایزه	приз	N;SG	N;INAN;NOM;MASC;SG
جایزه	премия	جایزه	премия	N;SG	N;INAN;NOM;FEM;SG
جایزه	награду	جایزه	награда	N;SG	N;INAN;ACC;FEM;SG
جایزه	награда	جایزه	награда	N;SG	N;INAN;NOM;FEM;SG
جنوبی	юг	جنوبی	юг	N;SG	N;INAN;NOM;MASC;SG
روز	день	روز	день	N;SG	N;INAN;NOM;MASC;SG
روز	дэй	روز	дэй	N;SG	N;INAN;NOM;MASC;SG
جمهوری	республика	جمهوری	республика	N;SG	N;INAN;NOM;FEM;SG
مرگ	смерть	مرگ	смерть	N;SG	N;INAN;NOM;FEM;SG
ولی	но	ولی	но	CONJ	CONJ
آمریکایی	американский	آمریکایی	американский	ADJ	ADJ;NOM;MASC;SG
آمریکایی	американские	آمریکایی	американский	ADJ	ADJ;NOM;PL
آمریکایی	американская	آمریکایی	американский	ADJ	ADJ;NOM;FEM;SG
آمریکایی	американских	آمریکایی	американский	ADJ	ADJ;GEN;PL
نقش	роль	نقش	роль	N;SG	N;INAN;NOM;FEM;SG
منطقه	область	منطقه	область	N;SG	N;INAN;NOM;FEM;SG
منطقه	регион	منطقه	регион	N;SG	N;INAN;NOM;MASC;SG
منطقه	зона	منطقه	зона	N;SG	N;INAN;NOM;FEM;SG
منطقه	округ	منطقه	округ	N;SG	N;INAN;NOM;MASC;SG
منطقه	район	منطقه	район	N;SG	N;INAN;NOM;MASC;SG
منطقه	область	منطقه	область	N;SG	N;INAN;NOM;FEM;SG
منطقه	район	منطقه	район	N;SG	N;INAN;NOM;MASC;SG
منطقه	площадь	منطقه	площадь	N;SG	N;INAN;NOM;FEM;SG
بسیار	очень	بسیار	очень	ADV	ADV
بسیار	много	بسیار	много	ADV	ADV
بسیار	много	بسیار	много	ADV	ADV
اسلامی	исламские	اسلامی	исламский	ADJ	ADJ;NOM;PL
اسلامی	исламская	اسلامی	исламский	ADJ	ADJ;NOM;FEM;SG
اسلامی	исламский	اسلامی	исламский	ADJ	ADJ;NOM;MASC;SG
اسلامی	исламское	اسلامی	исламский	ADJ	ADJ;NOM;NEUT;SG
بزرگ	большой	بزرگ	большой	ADJ	ADJ;NOM;MASC;SG
بزرگ	крупных	بزرگ	крупный	ADJ	ADJ;GEN;PL
بزرگ	крупный	بزرگ	крупный	ADJ	ADJ;NOM;MASC;SG
بزرگ	большая	بزرگ	большой	ADJ	ADJ;NOM;FEM;SG
بزرگ	крупные	بزرگ	крупный	ADJ	ADJ;NOM;PL
بزرگ	большие	بزرگ	большой	ADJ	ADJ;NOM;PL
بزرگ	большая	بزرگ	большой	ADJ	ADJ;NOM;FEM;SG
بزرگ	большие	بزرگ	большой	ADJ	ADJ;NOM;PL
بزرگ	большой	بزرگ	большой	ADJ	ADJ;NOM;MASC;SG
اروپا	европу	اروپا	европа	N;SG	N;INAN;ACC;FEM;SG
اروپا	европа	اروپا	европа	N;SG	N;INAN;NOM;FEM;SG
اروپا	европы	اروپا	европа	N;SG	N;INAN;NOM;FEM;SG
اروپا	европа	اروپا	европа	N;SG	N;INAN;NOM;FEM;SG
آمار	статистика	آمار	статистика	N;SG	N;INAN;NOM;FEM;SG
فعالیت	активность	فعالیت	активность	N;SG	N;INAN;NOM;FEM;SG
فعالیت	деятельность	فعالیت	деятельность	N;SG	N;INAN;NOM;FEM;SG
اشاره	намёк	اشاره	намек	N;SG	N;INAN;NOM;MASC;SG
اشاره	подсказка	اشاره	подсказка	N;SG	N;INAN;NOM;FEM;SG
اشاره	намек	اشاره	намек	N;SG	N;INAN;NOM;MASC;SG
اشاره	подсказку	اشاره	подсказка	N;SG	N;INAN;ACC;FEM;SG
محمد	мухаммед	محمد	мухаммед	N;SG	N;ANIM;NOM;MASC;SG
محمد	мохаммад	محمد	мохаммад	N;SG	N;ANIM;NOM;MASC;SG
محمد	мохаммед	محمد	мохаммед	N;SG	N;ANIM;NOM;MASC;SG
محمد	мухаммед	محمد	мухаммед	N;SG	N;ANIM;NOM;MASC;SG
محمد	мухаммад	محمد	мухаммад	N;SG	N;ANIM;NOM;MASC;SG
محمد	мухаммед	محمد	мухаммед	N;SG	N;ANIM;NOM;MASC;SG
محمد	мохамед	محمد	мохамед	N;SG	N;ANIM;NOM;MASC;SG
محمد	мохаммед	محمد	мохаммед	N;SG	N;ANIM;NOM;MASC;SG
بریتانیا	британия	None	британие	N;SG	N;INAN;NOM;NEUT;SG
بریتانیا	великобритании	None	великобритание	N;SG	N;INAN;NOM;FEM;SG
بریتانیا	британия	None	британие	N;SG	N;INAN;NOM;NEUT;SG
چند	немногим	چند	немногие	ADJ	ADJ;INS;NEUT;SG
چند	немногие	چند	немногие	ADJ	ADJ;NOM;PL
چند	немногих	چند	немногие	ADJ	ADJ;GEN;PL
شمالی	север	شمالی	север	N;SG	N;INAN;NOM;MASC;SG
شمالی	норт	شمالی	норт	N;SG	N;INAN;NOM;MASC;SG
شمالی	каролина	شمالی	каролин	N;SG	N;INAN;NOM;FEM;SG
آب	вода	آب	вода	N;SG	N;INAN;NOM;FEM;SG
آب	воду	آب	вода	N;SG	N;INAN;ACC;FEM;SG
خورشیدگرفتگی	затмение	خورشیدگرفتگی	затмение	N;SG	N;INAN;NOM;NEUT;SG
ایرانی	ирана	ایرانی	иран	N;SG	N;INAN;GEN;MASC;SG
ایجاد	создание	ایجاد	создание	N;SG	N;INAN;NOM;NEUT;SG
ایجاد	создание	ایجاد	создание	N;SG	N;INAN;NOM;NEUT;SG
ایجاد	создания	ایجاد	создание	N;SG	N;INAN;GEN;NEUT;SG
ایجاد	сотворение	ایجاد	сотворение	N;SG	N;INAN;NOM;NEUT;SG
ایجاد	создание	ایجاد	создание	N;SG	N;INAN;NOM;NEUT;SG
مالک	хозяин	مالک	хозяин	N;SG	N;ANIM;NOM;MASC;SG
مالک	владельца	مالک	владелец	N;SG	N;ANIM;ACC;MASC;SG
مالک	владелец	مالک	владелец	N;SG	N;ANIM;NOM;MASC;SG
مالک	малик	مالک	малик	N;SG	N;ANIM;NOM;MASC;SG
امنیت	безопасность	امنیت	безопасность	N;SG	N;INAN;NOM;FEM;SG
امنیت	охрана	امنیت	охрана	N;SG	N;INAN;NOM;FEM;SG
امنیت	безопасность	امنیت	безопасность	N;SG	N;INAN;NOM;FEM;SG
نوع	тип	نوع	тип	N;SG	N;INAN;NOM;MASC;SG
مردم	народ	مردم	народ	N;SG	N;INAN;NOM;MASC;SG
دلیل	причина	دلیل	причина	N;SG	N;INAN;NOM;FEM;SG
دلیل	причиной	دلیل	причина	N;SG	N;INAN;INS;FEM;SG
