גם	egyben	גם	egyben	ADV	ADV
הערות	jegyzetek	הערה	jegyzet	N;FEM;PL	N;NOM;PL
הערות	megjegyzések	הערה	megjegyzés	N;FEM;PL	N;NOM;PL
הערות	hozzászólások	הערה	hozzászólás	N;FEM;PL	N;NOM;PL
הערות	észrevételek	הערה	észrevétel	N;FEM;PL	N;NOM;PL
חלק	rész	חלק	rész	N;MASC;SG	N;NOM;SG
חלק	része	חלק	rész	N;MASC;SG	N;NOM;SG
לפני	előtt	לפני	előtt	ADP	ADP
להיות	lenni	היה	lesz	V;POS;NFIN	V;NFIN;ACT
הרב	herb	הרב	herb		
ארצות	országokban	ארץ	ország	N;FEM;PL	N;IN+ESS;PL
ארצות	országok	ארץ	ország	N;FEM;PL	N;NOM;PL
ראש	fejet	ראש	féj	N;MASC;SG	N;ACC;SG
ראש	fej	ראש	fej	N;MASC;SG	N;NOM;SG
ראש	fejét	ראש	feje	N;MASC;SG	N;ACC;SG
ראש	rohanás	ראש	rohanás	N;MASC;SG	N;NOM;SG
לי	lee	ל	lee		
בבית	otthon	בבית	otthon		
בבית	itthon	בבית	itthon		
בבית	haza	בבית	haza		
ערך	érték	ערך	ők	N;MASC;SG	N;NOM;SG
ערך	értéke	ערך	érték	N;MASC;SG	N;NOM;SG
אלו	ezek	אלו	ez	PRO;PL;3	PRO;NOM;PL;3
אלו	ezeket	אלו	ez	PRO;PL;3	PRO;ACC;PL;3
זמן	ideje	זמן	idő	N;MASC;SG	N;NOM;SG
זמן	időpont	זמן	időpont	N;MASC;SG	N;NOM;SG
זמן	idő	זמן	idő	N;MASC;SG	N;NOM;SG
בעיקר	elsősorban	בעיקר	elsősorban	ADV	ADV
בעיקר	leginkább	בעיקר	inkább	ADV	ADV
אתר	weboldal	אתר	weboldal	N;MASC;SG	N;NOM;SG
אתר	honlap	אתר	honlap	N;MASC;SG	N;NOM;SG
אתר	webhely	אתר	webhely	N;MASC;SG	N;NOM;SG
אתר	helyszín	אתר	helyszín	N;MASC;SG	N;NOM;SG
אתר	helyén	אתר	hely	N;MASC;SG	N;ON+ESS;SG
אתר	webhely	אתר	webhely	N;MASC;SG	N;NOM;SG
אתר	éter	אתר	éter	N;MASC;SG	N;NOM;SG
ללא	nélkül	ללא	nélkül	ADP	ADP
אדם	ádám	אדם	ádám	N;MASC;SG	N;NOM;SG
אדם	ember	אדם	ember	N;MASC;SG	N;NOM;SG
אדם	férfi	אדם	férfi	N;MASC;SG	N;NOM;SG
אדם	ember	אדם	ember	N;MASC;SG	N;NOM;SG
דבר	dolog	דבר	dolog	N;MASC;SG	N;NOM;SG
דבר	beszélgetés	דבר	beszélgetés	N;MASC;SG	N;NOM;SG
ספר	könyv	ספר	könyv	N;MASC;SG	N;NOM;SG
ספר	könyvet	ספר	könyv	N;MASC;SG	N;ACC;SG
נגד	ellen	נגד	ellen	ADP	ADP
זכה	nyert	זכה	nyert	V;MASC;SG;3;PST;ACT	V;INDF;IND;SG;3;PST;FIN;ACT
אחרי	után	אחרי	után	ADP	ADP
אולם	mindazonáltal	אולם	mindazonáltal	CONJ	CONJ
אולם	azonban	אולם	azonban	CONJ	CONJ
הן	ők	הוא	ők	PRO;FEM;PL;3	PRO;NOM;PL;3
יום	nap	יום	nap	N;MASC;SG	N;NOM;SG
יום	napon	יום	nap	N;MASC;SG	N;ON+ESS;SG
יום	nappal	יום	nap	N;MASC;SG	N;INS;SG
יום	napot	יום	nap	N;MASC;SG	N;ACC;SG
אלה	ezek	אלה	ez	PRO;MASC;PL;3	PRO;NOM;PL;3
אלה	ezeket	אלה	ez	PRO;MASC;PL;3	PRO;ACC;PL;3
כבר	már	כבר	már	ADV	ADV
כיום	jelenleg	כיום	jelenleg	ADV	ADV
מקום	helyszín	מקום	helyszín	N;MASC;SG	N;NOM;SG
מקום	hely	מקום	hely	N;MASC;SG	N;NOM;SG
מאוד	nagyon	מאוד	nagyon	ADV	ADV
יהודים	zsidók	יהודי	zsidó	N;MASC;PL	N;NOM;PL
יהודים	zsidók	יהודי	zsidó	N;MASC;PL	N;NOM;PL
דרך	via	דרך	via		
שנת	évjárat	שנה	évjárat	N;PSSD;FEM;SG	N;NOM;SG
שנת	éve	שנה	év	N;PSSD;FEM;SG	N;NOM;SG
שנת	év	שנה	év	N;PSSD;FEM;SG	N;NOM;SG
בעל	férje	בעל	fér	N;MASC;SG	N;NOM;SG
בעל	férjem	בעל	férjem	N;MASC;SG	N;NOM;SG
בעל	férj	בעל	férj	N;MASC;SG	N;NOM;SG
תחת	alatt	תחת	alatt	ADP	ADP
תחת	alá	תחת	alá	ADP	ADP
תמונה	kép	תמונה	kép	N;FEM;SG	N;NOM;SG
תמונה	fénykép	תמונה	fénykép	N;FEM;SG	N;NOM;SG
תמונה	fotó	תמונה	fotó	N;FEM;SG	N;NOM;SG
תמונה	kép	תמונה	kép	N;FEM;SG	N;NOM;SG
תמונה	képet	תמונה	kép	N;FEM;SG	N;ACC;SG
תמונה	képet	תמונה	kép	N;FEM;SG	N;ACC;SG
תמונה	kép	תמונה	kép	N;FEM;SG	N;NOM;SG
תמונה	fénykép	תמונה	fénykép	N;FEM;SG	N;NOM;SG
כתב	újságíró	כתב	újságíró	N;MASC;SG	N;NOM;SG
כתב	riporter	כתב	riporter	N;MASC;SG	N;NOM;SG
היום	ma	היום	ma	ADV	ADV
למרות	ellenére	למרות	ellenére	ADP	ADP
אותם	őket	None	ők	PRO;ACC;MASC;PL;3	PRO;ACC;PL;3
החברה	társadalom	החברה	társadalom	N;FEM;SG	N;NOM;SG
החברה	társaság	החברה	társaság	N;FEM;SG	N;NOM;SG
החברה	vállalat	החברה	vállalat	N;FEM;SG	N;NOM;SG
החברה	cég	החברה	cég	N;FEM;SG	N;NOM;SG
החברה	század	החברה	század	N;FEM;SG	N;NOM;SG
מערכת	rendszer	מערכת	rendszer	N;FEM;SG	N;NOM;SG
בלבד	csak	בלבד	csak	ADV	ADV
עבר	múlt	עבר	múlt	N;MASC;SG	N;NOM;SG
מרכז	középre	מרכז	közép	N;MASC;SG	N;ON+ALL;SG
מרכז	központ	מרכז	központ	N;MASC;SG	N;NOM;SG
מרכז	középre	מרכז	közép	N;MASC;SG	N;ON+ALL;SG
מרכז	központ	מרכז	központ	N;MASC;SG	N;NOM;SG
מרכז	centrum	מרכז	centrum	N;MASC;SG	N;NOM;SG
שימוש	használat	שימוש	használat	N;MASC;SG	N;NOM;SG
שימוש	használatával	שימוש	használat	N;MASC;SG	N;INS;SG
שימוש	használata	שימוש	használat	N;MASC;SG	N;NOM;SG
שימוש	használat	שימוש	használat	N;MASC;SG	N;NOM;SG
שימוש	használata	שימוש	használat	N;MASC;SG	N;NOM;SG
שימוש	felhasználás	שימוש	felhasználás	N;MASC;SG	N;NOM;SG
גדול	nagyméretű	גדול	nagyméretű	ADJ;MASC;SG	ADJ;NOM;SG
גדול	nagy	גדול	nagy	ADJ;MASC;SG	ADJ;NOM;SG
גדול	nagy	גדול	nagy	ADJ;MASC;SG	ADJ;NOM;SG
ישראלים	izraeliek	ישראלי	izraeli	N;MASC;PL	N;NOM;PL
ישראלים	izraeliek	ישראלי	izraeli	N;MASC;PL	N;NOM;PL
מאז	azóta	מאז	azóta	ADV	ADV
מאז	mióta	מאז	mióta	ADV	ADV
סוג	típus	סוג	típus	N;MASC;SG	N;NOM;SG
סוג	típusa	סוג	típus	N;MASC;SG	N;NOM;SG
מידע	információ	מידע	információ	N;MASC;SG	N;NOM;SG
מידע	információ	מידע	információ	N;MASC;SG	N;NOM;SG
מידע	tájékoztatás	מידע	tájékoztatás	N;MASC;SG	N;NOM;SG
מידע	adat	מידע	adat	N;MASC;SG	N;NOM;SG
מידע	adatforgalom	מידע	adatforgalom	N;MASC;SG	N;NOM;SG
ערכים	értékek	ערך	érték	N;MASC;PL	N;NOM;PL
ערכים	bejegyzések	ערך	bejegyzés	N;MASC;PL	N;NOM;PL
אנשים	emberek	איש	ember	N;MASC;PL	N;NOM;PL
דקות	percek	דקה	perc	N;FEM;PL	N;NOM;PL
חבר	barát	חבר	bara	N;MASC;SG	N;NOM;SG
חבר	barátom	חבר	barát	N;MASC;SG	N;NOM;SG
חבר	barátja	חבר	barát	N;MASC;SG	N;NOM;SG
חבר	barát	חבר	bara	N;MASC;SG	N;NOM;SG
בת	lányom	בת	lány	N;FEM;SG	N;NOM;SG
בת	lánya	בת	lány	N;FEM;SG	N;NOM;SG
בתוך	belül	בתוך	belül	ADP	ADP
בתוך	belül	בתוך	belül	ADP	ADP
האדם	személy	האדם	személy		
האדם	személyre	האדם	személy		
כאן	itt	כאן	itt	ADV	ADV
הכנסת	zsinagóga	הכנסה	zsinagóga	N;PSSD;FEM;SG	N;NOM;SG
וגם	szintén	וגם	szintén		
וגם	úgyszintén	וגם	úgyszintén		
הים	tengeren	הים	tenger		
הים	tengeri	הים	tengeri		
חדש	új	חדש	új	ADJ;MASC;SG	ADJ;NOM;SG
מעל	felett	מעל	felett	ADP	ADP
מעל	fölött	מעל	fölött	ADP	ADP
ארץ	ország	ארץ	ország	N;FEM;SG	N;NOM;SG
ארץ	országban	ארץ	ország	N;FEM;SG	N;IN+ESS;SG
ארץ	föld	ארץ	föld	N;FEM;SG	N;NOM;SG
ארץ	földterület	ארץ	földterület	N;FEM;SG	N;NOM;SG
ארץ	szárazföld	ארץ	szárazföld	N;FEM;SG	N;NOM;SG
ארץ	telek	ארץ	tél	N;FEM;SG	N;NOM;SG
ארץ	föld	ארץ	föld	N;FEM;SG	N;NOM;SG
כלי	szerszám	כלי	szerszám	N;MASC;SG	N;NOM;SG
כלי	eszköz	כלי	eszköz	N;MASC;SG	N;NOM;SG
הרבה	sokan	הרבה	sokan	ADV	ADV
ילדים	gyerekek	ילד	gyerek	N;MASC;PL	N;NOM;PL
ילדים	kölykök	ילד	kölyk	N;MASC;PL	N;NOM;PL
ילדים	gyerekek	ילד	gyerek	N;MASC;PL	N;NOM;PL
ילדים	gyermekeknek	ילד	gyermek	N;MASC;PL	N;DAT;PL
ילדים	gyermekek	ילד	gyermek	N;MASC;PL	N;NOM;PL
שלושה	három	שלושה	három	NUM;MASC;SG	NUM;NOM;SG
הגיע	megérkezett	הגיע	meg+érkezik	V;MASC;SG;3;PST;ACT	V;INDF;IND;SG;3;PST;FIN;ACT
הגיע	jött	הגיע	jön	V;MASC;SG;3;PST;ACT	V;INDF;IND;SG;3;PST;FIN;ACT
המלך	kinga	המלך	kinga		
מיליון	millió	מיליון	millió	NUM;MASC;SG	NUM;NOM;SG
כוח	erőt	כוח	erő	N;MASC;SG	N;ACC;SG
כוח	erő	כוח	erő	N;MASC;SG	N;NOM;SG
כוח	erő	כוח	erő	N;MASC;SG	N;NOM;SG
כוח	energia	כוח	energia	N;MASC;SG	N;NOM;SG
כוח	erő	כוח	erő	N;MASC;SG	N;NOM;SG
כוח	hatalom	כוח	hatalom	N;MASC;SG	N;NOM;SG
מקור	eredet	מקור	eredet	N;MASC;SG	N;NOM;SG
מקור	eredete	מקור	eredet	N;MASC;SG	N;NOM;SG
מקור	származás	מקור	származás	N;MASC;SG	N;NOM;SG
מקור	forrás	מקור	forrás	N;MASC;SG	N;NOM;SG
מקור	csőre	מקור	csőre	N;MASC;SG	N;NOM;SG
תוכנית	program	תוכנית	program	N;FEM;SG	N;NOM;SG
תוכנית	terv	תוכנית	terv	N;FEM;SG	N;NOM;SG
תוכנית	program	תוכנית	program	N;FEM;SG	N;NOM;SG
וב	webb	וב	webb		
פעם	egyszer	פעם	egyszer	ADV	ADV
קיבל	kapott	קיבל	kap	V;MASC;SG;3;PST;ACT	V;INDF;IND;SG;3;PST;FIN;ACT
קיבל	fogadott	קיבל	fogad	V;MASC;SG;3;PST;ACT	V;INDF;IND;SG;3;PST;FIN;ACT
קיבל	beérkezett	קיבל	be+érkezik	V;MASC;SG;3;PST;ACT	V;INDF;IND;SG;3;PST;FIN;ACT
קיבל	elfogadott	קיבל	el+fogadott	V;MASC;SG;3;PST;ACT	V;INDF;IND;SG;3;PST;FIN;ACT
קיבל	elfogadta	קיבל	el+fogad	V;MASC;SG;3;PST;ACT	V;DEF;IND;SG;3;PST;FIN;ACT
נשים	nők	איש	nő	N;FEM;PL	N;NOM;PL
נשים	asszonyok	איש	asszony	N;FEM;PL	N;NOM;PL
מונה	mona	מנה	mona		
עדיין	még	עדיין	még	ADV	ADV
כוחות	hatáskörök	כוח	hatáskörök	N;MASC;PL	N;NOM;PL
כוחות	erők	כוח	erő	N;MASC;PL	N;NOM;PL
פעולה	művelet	פעולה	művelet	N;FEM;SG	N;NOM;SG
פעולה	fellépés	פעולה	fellépés	N;FEM;SG	N;NOM;SG
פעולה	cselekvési	פעולה	cselekvési	N;FEM;SG	N;NOM;SG
פעולה	cselekvés	פעולה	cselekvés	N;FEM;SG	N;NOM;SG
החלה	kezdődött	החל	kezdődik	V;FEM;SG;3;PST;ACT	V;INDF;IND;SG;3;PST;FIN;ACT
החלה	megkezdődött	החל	megkezdődik	V;FEM;SG;3;PST;ACT	V;INDF;IND;SG;3;PST;FIN;ACT
החלה	elkezdődött	החל	elkezdődik	V;FEM;SG;3;PST;ACT	V;INDF;IND;SG;3;PST;FIN;ACT
חוק	jog	חוק	jog	N;MASC;SG	N;NOM;SG
חוק	törvény	חוק	törvény	N;MASC;SG	N;NOM;SG
יחידה	egység	יחידה	egység	N;FEM;SG	N;NOM;SG
שוב	újra	שוב	újra	ADV	ADV
מדינות	államok	מדינה	állam	N;FEM;PL	N;NOM;PL
מדינות	államokat	מדינה	állam	N;FEM;PL	N;ACC;PL
מדינות	országokban	מדינה	ország	N;FEM;PL	N;IN+ESS;PL
מדינות	országok	מדינה	ország	N;FEM;PL	N;NOM;PL
מפקד	parancsnok	מפקד	parancsnok	N;MASC;SG	N;NOM;SG
שלוש	három	שלוש	három	NUM;FEM;SG	NUM;NOM;SG
אזור	régió	אזור	régió	N;MASC;SG	N;NOM;SG
אזור	övezet	אזור	övezet	N;MASC;SG	N;NOM;SG
אזור	zóna	אזור	zóna	N;MASC;SG	N;NOM;SG
אזור	terület	אזור	terület	N;MASC;SG	N;NOM;SG
אזור	környék	אזור	környék	N;MASC;SG	N;NOM;SG
פעמים	időpontok	פעם	időpont	N;FEM;PL	N;NOM;PL
קבוצות	csoportok	קבוצה	csoport	N;FEM;PL	N;NOM;PL
קבוצות	csoportoknak	קבוצה	csoport	N;FEM;PL	N;DAT;PL
קבוצות	csapatok	קבוצה	csapat	N;FEM;PL	N;NOM;PL
האי	hai	האי	hai		
סרט	filmet	סרט	film	N;MASC;SG	N;ACC;SG
סרט	mozi	סרט	mozi	N;MASC;SG	N;NOM;SG
סרט	film	סרט	film	N;MASC;SG	N;NOM;SG
סרט	fólia	סרט	fólia	N;MASC;SG	N;NOM;SG
סרט	film	סרט	film	N;MASC;SG	N;NOM;SG
קרב	harc	קרב	harc	N;MASC;SG	N;NOM;SG
קרב	csata	קרב	csata	N;MASC;SG	N;NOM;SG
קרב	küzdelem	קרב	küzdelem	N;MASC;SG	N;NOM;SG
קרב	harc	קרב	harc	N;MASC;SG	N;NOM;SG
קצר	alacsony	קצר	alacsony	ADJ;MASC;SG	ADJ;NOM;SG
ימים	napok	יום	nap	N;MASC;PL	N;NOM;PL
ימים	napokban	יום	nap	N;MASC;PL	N;IN+ESS;PL
ימים	napokat	יום	nap	N;MASC;PL	N;ACC;PL
ימים	napokon	יום	nap	N;MASC;PL	N;ON+ESS;PL
בהמשך	alul	בהמשך	alul		
בהמשך	alatta	בהמשך	alat		
בהמשך	lent	בהמשך	lesz		
בר	bar	בר	bar		
צבא	katonaság	צבא	katonaság	N;MASC;SG	N;NOM;SG
צבא	hadsereg	צבא	hadsereg	N;MASC;SG	N;NOM;SG
צבא	sereg	צבא	sereg	N;MASC;SG	N;NOM;SG
צבא	hadsereg	צבא	hadsereg	N;MASC;SG	N;NOM;SG
ים	tenger	ים	tenger	N;MASC;SG	N;NOM;SG
הפך	lett	הפך	lesz	V;MASC;SG;3;PST	V;INDF;IND;SG;3;PST;FIN;ACT
הפך	vált	הפך	válik	V;MASC;SG;3;PST	V;INDF;IND;SG;3;PST;FIN;ACT
משחק	játék	משחק	játék	N;MASC;SG	N;NOM;SG
משחק	meccs	משחק	meccs	N;MASC;SG	N;NOM;SG
למעשה	igazából	למעשה	igazából	ADV	ADV
לרוב	főleg	ררוב	főleg		
לרוב	főként	ררוב	főként		
לרוב	többnyire	ררוב	többnyir		
פעילות	tevékenység	פעילות	tevékenység	N;FEM;SG	N;NOM;SG
פעילות	aktivitás	פעילות	aktivitás	N;FEM;SG	N;NOM;SG
לכן	ezért	לכן	ezért	CONJ	CONJ
שטח	mező	שטח	mező	N;MASC;SG	N;NOM;SG
שטח	terep	שטח	terep	N;MASC;SG	N;NOM;SG
שטח	terület	שטח	terület	N;MASC;SG	N;NOM;SG
שטח	környék	שטח	környék	N;MASC;SG	N;NOM;SG
דף	def	דף	def		
קולנוע	filmet	קולנוע	film	N;MASC;SG	N;ACC;SG
קולנוע	mozi	קולנוע	mozi	N;MASC;SG	N;NOM;SG
קולנוע	film	קולנוע	film	N;MASC;SG	N;NOM;SG
קולנוע	mozi	קולנוע	mozi	N;MASC;SG	N;NOM;SG
קולנוע	operatőrnek	קולנוע	operatőr	N;MASC;SG	N;GEN;SG
קולנוע	mozi	קולנוע	mozi	N;MASC;SG	N;NOM;SG
קשר	kapcsolat	קשר	kapcsolat	N;MASC;SG	N;NOM;SG
קשר	kapcsolódás	קשר	kapcsolódás	N;MASC;SG	N;NOM;SG
קשר	csatlakozás	קשר	csatlakozás	N;MASC;SG	N;NOM;SG
קשר	kapcsolatfelvétel	קשר	kapcsolatfelvétel	N;MASC;SG	N;NOM;SG
קשר	kapcsolattartó	קשר	kapcsolattartó	N;MASC;SG	N;NOM;SG
קשר	érintkezés	קשר	érintkezés	N;MASC;SG	N;NOM;SG
קשר	kapcsolat	קשר	kapcsolat	N;MASC;SG	N;NOM;SG
קשר	kapcsolatba	קשר	kapcsolat	N;MASC;SG	N;IN+ALL;SG
קשר	csomót	קשר	csomó	N;MASC;SG	N;ACC;SG
אחרת	máskülönben	אחרת	máskülönben	ADV	ADV
אחרת	egyébként	אחרת	egyébként	ADV	ADV
קודם	először	קודם	először	ADV	ADV
עיר	városban	עיר	város	N;FEM;SG	N;IN+ESS;SG
עיר	város	עיר	város	N;FEM;SG	N;NOM;SG
עיר	város	עיר	város	N;FEM;SG	N;NOM;SG
בגיל	érlelt	בגיל	érlelt		
הופעות	megjelenések	הופעה	megjelenés	N;FEM;PL	N;NOM;PL
הופעות	koncertek	הופעה	koncer	N;FEM;PL	N;NOM;PL
תקופה	időszak	תקופה	időszak	N;FEM;SG	N;NOM;SG
תקופה	időtartam	תקופה	időtartam	N;FEM;SG	N;NOM;SG
תקופה	periódus	תקופה	periódus	N;FEM;SG	N;NOM;SG
ספרים	könyveket	ספר	könyv	N;MASC;PL	N;ACC;PL
ספרים	könyvek	ספר	könyv	N;MASC;PL	N;NOM;PL
קטן	kis	קטן	kis	ADJ;MASC;SG	ADJ;NOM;SG
קטן	kis	קטן	kis	ADJ;MASC;SG	ADJ;NOM;SG
למד	tanult	למד	tanult	V;MASC;SG;3;PST	V;INDF;IND;SG;3;PST;FIN;ACT
למד	megtanult	למד	meg+tanul	V;MASC;SG;3;PST	V;INDF;IND;SG;3;PST;FIN;ACT
למד	tanult	למד	tanult	V;MASC;SG;3;PST	V;INDF;IND;SG;3;PST;FIN;ACT
למד	tanulni	למד	tanul	V;MASC;SG;3;PST	V;NFIN;ACT
ברית	szövetség	ברית	szövetség	N;FEM;SG	N;NOM;SG
פחות	kevesebben	פחות	keveseb	ADV	ADV
פחות	kevésbé	פחות	kevésbé	ADV	ADV
משרד	hivatal	משרד	hivatal	N;MASC;SG	N;NOM;SG
משרד	iroda	משרד	iroda	N;MASC;SG	N;NOM;SG
מעבר	átmenet	מעבר	átmenet		
מעבר	átmeneti	מעבר	átmeneti		
מעבר	túl	מעבר	túl		
איך	hogyan	איך	hogyan	ADV	ADV
גרסאות	változatok	גרסה	változat	N;FEM;PL	N;NOM;PL
גרסאות	változatok	גרסה	változat	N;FEM;PL	N;NOM;PL
עולם	vilag	עולם	vilag	N;MASC;SG	N;NOM;SG
יד	kezét	יד	kéz	N;FEM;SG	N;ACC;SG
יד	kéz	יד	kéz	N;FEM;SG	N;NOM;SG
מדינה	ország	מדינה	ország	N;FEM;SG	N;NOM;SG
מדינה	országban	מדינה	ország	N;FEM;SG	N;IN+ESS;SG
מדינה	állapot	מדינה	állap	N;FEM;SG	N;NOM;SG
מדינה	állam	מדינה	állam	N;FEM;SG	N;NOM;SG
ארגון	szervezés	ארגון	szervezés	N;MASC;SG	N;NOM;SG
ארגון	szervezet	ארגון	szervezet	N;MASC;SG	N;NOM;SG
ארגון	szervezés	ארגון	szervezés	N;MASC;SG	N;NOM;SG
ארגון	szervezet	ארגון	szervezet	N;MASC;SG	N;NOM;SG
לכתוב	írni	כתב	ír	V;NFIN;ACT	V;NFIN;ACT
לכתוב	írjon	כתב	ír	V;NFIN;ACT	V;INDF;IMP;SG;3;PRS;FIN;ACT
שונה	különböző	שונה	különböző		
גדולה	nagyméretű	גדול	nagyméretű	ADJ;FEM;SG	ADJ;NOM;SG
גדולה	nagy	גדול	nagy	ADJ;FEM;SG	ADJ;NOM;SG
גדולה	nagy	גדול	nagy	ADJ;FEM;SG	ADJ;NOM;SG
אור	light	אור	light		
אוכלוסייה	populáció	אוכלוסייה	populáció	N;FEM;SG	N;NOM;SG
אוכלוסייה	népesség	אוכלוסייה	népesség	N;FEM;SG	N;NOM;SG
אוכלוסייה	lakosság	אוכלוסייה	lakosság	N;FEM;SG	N;NOM;SG
הקהילה	közösség	הקהיל	közösség	N;FEM;SG	N;NOM;SG
כנגד	ellen	כנגד	ellen	ADP	ADP
שלי	shelley	שלי	shelley		
מחוז	tartomány	מחוז	tartomány	N;MASC;SG	N;NOM;SG
מחוז	tartományban	מחוז	tartomány	N;MASC;SG	N;IN+ESS;SG
מחוז	körzet	מחוז	körzet	N;MASC;SG	N;NOM;SG
מחוז	járás	מחוז	járás	N;MASC;SG	N;NOM;SG
תואר	fokozat	תואר	fokozat	N;MASC;SG	N;NOM;SG
תואר	diploma	תואר	diploma	N;MASC;SG	N;NOM;SG
תואר	fok	תואר	fok	N;MASC;SG	N;NOM;SG
סדרת	sorozat	סדרה	sorozat	N;FEM;SG	N;NOM;SG
למצוא	találni	מצא	talál	V;NFIN;ACT	V;NFIN;ACT
למצוא	megtalálni	מצא	meg+talál	V;NFIN;ACT	V;NFIN;ACT
פשוט	szimpla	פשוט	szimpla		
עבודה	állás	עבודה	állás	N;FEM;SG	N;NOM;SG
עבודה	meló	עבודה	meló	N;FEM;SG	N;NOM;SG
עבודה	munka	עבודה	munka	N;FEM;SG	N;NOM;SG
עבודה	munkahelyi	עבודה	munkahelyi	N;FEM;SG	N;NOM;SG
עבודה	munka	עבודה	munka	N;FEM;SG	N;NOM;SG
חשוב	fontos	חשוב	fontos	ADJ;MASC;SG	ADJ;NOM;SG
תבנית	minta	תבנית	minta	N;FEM;SG	N;NOM;SG
תבנית	sablon	תבנית	sablon	N;FEM;SG	N;NOM;SG
תבנית	formátuma	תבנית	formátum	N;FEM;SG	N;NOM;SG
תבנית	formátum	תבנית	formátum	N;FEM;SG	N;NOM;SG
אמריקאים	amerikaiak	אמריקני	amerikai	N;MASC;PL	N;NOM;PL
זכויות	jogai	זכות	jogai	N;FEM;PL	N;NOM;PL
זכויות	jogokkal	זכות	jog	N;FEM;PL	N;INS;PL
זכויות	jogok	זכות	jog	N;FEM;PL	N;NOM;PL
אולי	talán	אולי	talán	ADV	ADV
אולי	talán	אולי	talán	ADV	ADV
לקבל	elfogadni	קיבל	el+fogad	V;NFIN;ACT	V;NFIN;ACT
מבנה	struktúra	מבנה	struktúra	N;MASC;SG	N;NOM;SG
מבנה	szerkezet	מבנה	szerkezet	N;MASC;SG	N;NOM;SG
מבנה	felépítés	מבנה	felépítés	N;MASC;SG	N;NOM;SG
מבנה	építmény	מבנה	építmény	N;MASC;SG	N;NOM;SG
להשתמש	használni	השתמש	használ	V;NFIN	V;NFIN;ACT
לקראת	felé	לקראת	felé	ADP	ADP
בסיס	bázis	בסיס	bázis	N;MASC;SG	N;NOM;SG
מין	min	מין	min		
כזה	ilyen	כזה	ilyen		
אינטרנט	web	אינטרנט	web		
נקודות	pontokat	נקודה	pont	N;FEM;PL	N;ACC;PL
נקודות	pontok	נקודה	pont	N;FEM;PL	N;NOM;PL
נקודות	pontok	נקודה	pont	N;FEM;PL	N;NOM;PL
נקודות	foltok	נקודה	folt	N;FEM;PL	N;NOM;PL
קבוצה	csoport	קבוצה	csoport	N;FEM;SG	N;NOM;SG
קבוצה	csoportban	קבוצה	csoport	N;FEM;SG	N;IN+ESS;SG
קבוצה	csapat	קבוצה	csapat	N;FEM;SG	N;NOM;SG
