年	ano	年	ano	N	N;MASC;SG
建	construir	建	construir	V	V;NFIN
建	construa	建	construo	V	V;SBJV;SG;3;PRS;FIN
建	constrói	建	construir	V	V;IND;SG;3;PRS;FIN
建	construída	建	construir	V	V;FEM;SG;V.PTCP
建	construídos	建	construir	V	V;MASC;PL;V.PTCP
建	construídas	建	construir	V	V;FEM;PL;V.PTCP
建	construído	建	construir	V	V;MASC;SG;V.PTCP
性	sexualidade	性	sexualidade	N	N;FEM;SG
性	sexuais	性	sexual	N	N;MASC;PL
性	sexual	性	sexual	N	N;MASC;SG
性	sex	性	sexta-feira	N	N;MASC;SG
性	sexo	性	sexo	N	N;MASC;SG
成	cantado	成	cantar	V	V;MASC;SG;V.PTCP
成	cantada	成	cantar	V	V;FEM;SG;V.PTCP
代表	representantes	代表	representante	N	N;PL
代表	representante	代表	representante	N	N;MASC;SG
代表	delegada	代表	delegada	N	N;FEM;SG
代表	delegado	代表	delegado	N	N;MASC;SG
公里	quilómetros	公里	quilómetro	N	N;MASC;PL
公里	quilômetros	公里	quilômetro	N	N;MASC;PL
公里	quilómetro	公里	quilómetro	N	N;MASC;SG
公里	kms	公里	kms	N	N;MASC;PL
公里	quilómetros	公里	quilómetro	N	N;MASC;PL
公里	quilômetros	公里	quilômetro	N	N;MASC;PL
海	mar	海	mar	N	N;MASC;SG
海	oceanos	海	oceano	N	N;MASC;PL
海	oceano	海	oceano	N	N;MASC;SG
這	esta	這	este	PRO	PRO;FEM;SG
這	isso	這	isso	PRO	PRO;MASC;SG
這	isto	這	isto	PRO	PRO;MASC;SG
這	essa	這	esse	PRO	PRO;FEM;SG
大學	universidades	大學	universidade	N	N;FEM;PL
大學	university	大學	university	N	N;MASC;SG
大學	universidade	大學	universidade	N	N;FEM;SG
大學	faculdade	大學	faculdade	N	N;FEM;SG
大學	colégio	大學	colégio	N	N;MASC;SG
大學	college	大學	college	N	N;MASC;SG
大學	universidade	大學	universidade	N	N;FEM;SG
版	edição	版	edição	N	N;FEM;SG
版	versão	版	versão	N	N;FEM;SG
從	de	從	de	ADP	ADP
工作	emprego	工作	emprego	N	N;MASC;SG
工作	job	工作	job	N	N;MASC;SG
工作	trabalho	工作	trabalho	N	N;MASC;SG
工作	jó	工作	jó	N	N;MASC;SG
工作	trabalhos	工作	trabalho	N	N;MASC;PL
工作	trabalho	工作	trabalho	N	N;MASC;SG
工作	emprego	工作	emprego	N	N;MASC;SG
工作	trabalhos	工作	trabalho	N	N;MASC;PL
工作	empregos	工作	emprego	N	N;MASC;PL
北	kita	北	kita	N	N;MASC;SG
北	norte	北	norte	N	N;MASC;SG
北	north	北	north	N	N;MASC;SG
政治	politica	政治	politica	N	N;FEM;SG
政治	política	政治	política	N	N;FEM;SG
政治	politico	政治	politico	N	N;MASC;SG
政治	político	政治	político	N	N;MASC;SG
星	estrela	星	estrela	N	N;FEM;SG
星	star	星	star	N	N;MASC;SG
星	estrelas	星	estrela	N	N;FEM;PL
星	estrelas	星	estrela	N	N;FEM;PL
星	stars	星	star	N	N;MASC;SG
她	ela	她	ela	PRO;3	PRO;NOM;FEM;SG;3
面	massa	面	massa	N	N;FEM;SG
面	noodles	面	noodle	N	N;MASC;PL
面	macarrão	面	macarrão	N	N;MASC;SG
面	massas	面	massa	N	N;FEM;PL
作品	obras	作品	obra	N	N;FEM;PL
作品	trabalhos	作品	trabalho	N	N;MASC;PL
作品	works	作品	work	N	N;MASC;SG
河	rio	河	rio	N	N;MASC;SG
文化	cultura	文化	cultura	N	N;FEM;SG
文化	culturas	文化	cultura	N	N;FEM;PL
條目	entradas	條目	entrada	N	N;FEM;PL
條目	inscrições	條目	inscrição	N	N;FEM;PL
條目	menções	條目	menção	N	N;FEM;PL
馬	cavalos	馬	cavalo	N	N;MASC;PL
馬	cavalos	馬	cavalo	N	N;MASC;PL
馬	cavalo	馬	cavalo	N	N;MASC;SG
氏	clã	氏	clã	N	N;MASC;SG
氏	thi	氏	thi	N	N;MASC;SG
更	mais	更	mais	ADV	ADV
電影	filme	電影	filme	N	N;MASC;SG
電影	cinemas	電影	cinema	N	N;MASC;SG
電影	cinema	電影	cinema	N	N;MASC;SG
電影	película	電影	película	N	N;FEM;SG
電影	filmes	電影	filme	N	N;MASC;PL
電影	películas	電影	película	N	N;FEM;PL
電影	filme	電影	filme	N	N;MASC;SG
電影	filmes	電影	filme	N	N;MASC;PL
電影	cinema	電影	cinema	N	N;MASC;SG
季	temporada	季	temporada	N	N;FEM;SG
季	época	季	época	N	N;FEM;SG
季	estações	季	estação	N	N;FEM;PL
季	temporadas	季	temporada	N	N;FEM;PL
季	seasons	季	seasom	N	N;MASC;SG
龍	dragões	龍	dragão	N	N;MASC;PL
龍	dragons	龍	dragom	N	N;MASC;SG
龍	lung	龍	lung	N	N;MASC;SG
龍	pulmão	龍	pulmão	N	N;MASC;SG
龍	pulmões	龍	pulmão	N	N;MASC;PL
龍	dragão	龍	dragão	N	N;MASC;SG
龍	dragões	龍	dragão	N	N;MASC;PL
龍	dragon	龍	dragon	N	N;MASC;SG
女	mulher	女	mulher	N	N;FEM;SG
女	mulher	女	mulher	N	N;FEM;SG
女	fêmea	女	fêmea	N	N;FEM;SG
正式	formalmente	正式	formalmente	ADV	ADV
正式	oficialmente	正式	oficialmente	ADV	ADV
字	word	字	word	N	N;MASC;SG
字	palavra	字	palavra	N	N;FEM;SG
字	palavras	字	palavra	N	N;FEM;PL
不同	diferente	不同	diferente	ADJ	ADJ;MASC;SG
不同	diferentes	不同	diferente	ADJ	ADJ;MASC;PL
足球	soccer	足球	soccer	N	N;MASC;SG
足球	futebol	足球	futebol	N	N;MASC;SG
足球	football	足球	football	N	N;MASC;SG
足球	futebol	足球	futebol	N	N;MASC;SG
目前	correntes	目前	corrente	N	N;MASC;PL
目前	corrente	目前	corrente	N	N;FEM;SG
所有	todas	所有	todo	DET	DET;FEM;PL
中央	centrais	中央	central	N	N;MASC;PL
中央	central	中央	central	N	N;FEM;SG
郡	condado	郡	condar	N	N;MASC;SG
國家	estados	國家	estado	N	N;MASC;PL
國家	pais	國家	pai	N	N;MASC;PL
國家	país	國家	país	N	N;MASC;SG
國家	estaduais	國家	estadual	N	N;MASC;PL
國家	state	國家	state	N	N;MASC;SG
國家	estado	國家	estado	N	N;MASC;SG
國家	national	國家	national	N	N;MASC;SG
國家	nacionais	國家	nacional	N	N;MASC;PL
國家	países	國家	país	N	N;MASC;PL
球	bola	球	bola	N	N;FEM;SG
球	ball	球	ball	N	N;MASC;SG
生	raw	生	raw	N	N;MASC;SG
生	crua	生	crua	N	N;FEM;SG
生	cru	生	cru	N	N;MASC;SG
街	rua	街	rua	N	N;FEM;SG
街	street	街	street	N	N;MASC;SG
提供	fornecidas	提供	fornecer	V	V;FEM;PL;V.PTCP
提供	fornecidos	提供	fornecer	V	V;MASC;PL;V.PTCP
提供	fornecida	提供	fornecer	V	V;FEM;SG;V.PTCP
提供	fornecido	提供	fornecer	V	V;MASC;SG;V.PTCP
提供	forneceu	提供	fornecer	V	V;IND;SG;3;PST;FIN
提供	fornecer	提供	fornecer	V	V;NFIN
提供	forneça	提供	fornecer	V	V;SBJV;SG;3;PRS;FIN
提供	providenciar	提供	providenciar	V	V;NFIN
提供	proporcionar	提供	proporcionar	V	V;NFIN
城市	cidade	城市	cidade	N	N;FEM;SG
城市	cidades	城市	cidade	N	N;FEM;PL
水	águas	水	água	N	N;FEM;PL
水	agua	水	agua	N	N;FEM;SG
水	água	水	água	N	N;FEM;SG
人物	carácter	人物	carácter	N	N;MASC;SG
人物	caractere	人物	caractere	N	N;MASC;SG
人物	personagem	人物	personagem	N	N;MASC;SG
人物	caracter	人物	caracter	N	N;MASC;SG
人物	caráter	人物	caráter	N	N;MASC;SG
軍	exército	軍	exército	N	N;MASC;SG
軍	tropa	軍	tropa	N	N;FEM;SG
軍	army	軍	army	N	N;MASC;SG
加入	participe	加入	participe	V	V;SBJV;SG;3;PRS;FIN
加入	aderir	加入	aderir	V	V;NFIN
加入	juntar	加入	juntar	V	V;NFIN
加入	participar	加入	participar	V	V;NFIN
加入	aderiram	加入	aderir	V	V;IND;PL;3;FIN
加入	entrou	加入	entrar	V	V;IND;SG;3;PST;FIN
加入	aderiu	加入	aderir	V	V;IND;SG;3;PST;FIN
加入	juntou	加入	juntar	V	V;IND;SG;3;PST;FIN
史	shi	史	shi	N	N;MASC;SG
屬	género	屬	género	N	N;MASC;SG
屬	gênero	屬	gênero	N	N;MASC;SG
魚	peixes	魚	peixe	N	N;MASC;PL
魚	peixe	魚	peixe	N	N;MASC;SG
波	onda	波	onda	N	N;FEM;SG
波	wave	波	wave	N	N;MASC;SG
方	fang	方	fang	N	N;MASC;SG
話	dialeto	話	dialeto	N	N;MASC;SG
話	dialecto	話	dialecto	N	N;MASC;SG
東	oriente	東	oriente	N	N;MASC;SG
東	leste	東	leste	N	N;MASC;SG
東	east	東	east	N	N;MASC;SG
東	dong	東	dong	N	N;MASC;SG
石	shi	石	shi	N	N;MASC;SG
石	stone	石	stone	N	N;MASC;SG
石	pedra	石	pedra	N	N;FEM;SG
石	pedras	石	pedra	N	N;FEM;PL
事件	incidente	事件	incidente	N	N;MASC;SG
事件	incidentes	事件	incidente	N	N;MASC;PL
事件	eventos	事件	evento	N	N;MASC;PL
事件	acontecimentos	事件	acontecimento	N	N;MASC;PL
事件	acontecimento	事件	acontecimento	N	N;MASC;SG
事件	evento	事件	evento	N	N;MASC;SG
建立	construir	建立	construir	V	V;NFIN
建立	construa	建立	construo	V	V;SBJV;SG;3;PRS;FIN
建立	constrói	建立	construir	V	V;IND;SG;3;PRS;FIN
生活	vivendo	生活	viver	V	V;V.MSDR
生活	viver	生活	viver	V	V;NFIN
教育	educacionais	教育	educacional	N	N;MASC;PL
教育	educação	教育	educação	N	N;FEM;SG
教育	educação	教育	educação	N	N;FEM;SG
教育	ensino	教育	ensino	N	N;MASC;SG
車站	estação	車站	estação	N	N;FEM;SG
之後	after	之後	after	N	N;MASC;SG
國際	international	國際	international	N	N;MASC;SG
獎	prémios	獎	prémio	N	N;MASC;PL
獎	premiação	獎	premiação	N	N;FEM;SG
獎	awards	獎	award	N	N;MASC;SG
獎	prêmios	獎	prêmio	N	N;MASC;PL
獎	prémio	獎	prémio	N	N;MASC;SG
獎	premio	獎	premio	N	N;MASC;SG
獎	prêmio	獎	prêmio	N	N;MASC;SG
獎	prémio	獎	prémio	N	N;MASC;SG
獎	prêmio	獎	prêmio	N	N;MASC;SG
完成	terminei	完成	terminar	V	V;IND;SG;1;PST;FIN
完成	terminou	完成	terminar	V	V;IND;SG;3;PST;FIN
完成	acabado	完成	acabar	V	V;MASC;SG;V.PTCP
完成	concluído	完成	concluir	V	V;MASC;SG;V.PTCP
完成	terminado	完成	terminar	V	V;MASC;SG;V.PTCP
完成	terminada	完成	terminar	V	V;FEM;SG;V.PTCP
完成	concluir	完成	concluir	V	V;NFIN
完成	finalizar	完成	finalizar	V	V;NFIN
完成	terminar	完成	terminar	V	V;NFIN
完成	termine	完成	terminar	V	V;SBJV;SG;3;PRS;FIN
完成	feito	完成	fazer	V	V;MASC;SG;V.PTCP
完成	complete	完成	completer	V	V;SBJV;SG;3;PRS;FIN
白	brancos	白	branco	N	N;MASC;PL
白	branco	白	branco	N	N;MASC;SG
白	white	白	white	N	N;MASC;SG
白	brancas	白	branco	N	N;FEM;PL
白	branca	白	branco	N	N;FEM;SG
白	bai	白	bair	N	N;MASC;SG
音樂	music	音樂	music	N	N;MASC;SG
音樂	música	音樂	música	N	N;FEM;SG
音樂	musica	音樂	musica	N	N;FEM;SG
音樂	músicas	音樂	música	N	N;FEM;PL
音樂	musicais	音樂	musical	N	N;MASC;PL
他們	eles	他	eles	PRO;PL;3	PRO;NOM;MASC;PL;3
他們	elas	他	ele	PRO;PL;3	PRO;NOM;FEM;PL;3
分布	distribuídas	分布	distribuir	V	V;FEM;PL;V.PTCP
分布	distribuída	分布	distribuir	V	V;FEM;SG;V.PTCP
分布	distribuiu	分布	distribuir	V	V;IND;SG;3;PST;FIN
分布	distribuído	分布	distribuir	V	V;MASC;SG;V.PTCP
分布	distribuídos	分布	distribuir	V	V;MASC;PL;V.PTCP
地區	áreas	地區	área	N	N;FEM;PL
地區	distrito	地區	distrito	N	N;MASC;SG
地區	area	地區	area	N	N;FEM;SG
地區	área	地區	área	N	N;FEM;SG
車	carro	車	carro	N	N;MASC;SG
車	automóvel	車	automóvel	N	N;MASC;SG
車	automóveis	車	automóvel	N	N;MASC;PL
車	carros	車	carro	N	N;MASC;PL
官	agente	官	agente	N	N;MASC;SG
官	policial	官	policial	N	N;MASC;SG
中文	chineses	中文	chinês	N	N;MASC;PL
中文	chinesa	中文	chinês	N	N;FEM;SG
中文	chinês	中文	chinês	N	N;MASC;SG
自由	liberdade	自由	liberdade	N	N;FEM;SG
自由	liberdades	自由	liberdade	N	N;FEM;PL
自由	freedom	自由	freedom	N	N;MASC;SG
自由	liberdade	自由	liberdade	N	N;FEM;SG
自由	liberty	自由	liberty	N	N;MASC;SG
自由	grátis	自由	grátis	N	N;MASC;SG
自由	free	自由	free	N	N;MASC;SG
獲得	apanha	獲得	apanhar	V	V;IND;SG;3;PRS;FIN
獲得	obtenha	獲得	obter	V	V;SBJV;SG;3;PRS;FIN
獲得	receba	獲得	receber	V	V;SBJV;SG;3;PRS;FIN
獲得	obter	獲得	obter	V	V;NFIN
光	light	光	light	N	N;MASC;SG
光	luz	光	luz	N	N;FEM;SG
光	hikari	光	hikari	N	N;MASC;SG
重要	importante	重要	importante	ADJ	ADJ;MASC;SG
重要	importantes	重要	importante	ADJ	ADJ;MASC;PL
工程	engenharia	工程	engenharia	N	N;FEM;SG
工程	obras	工程	obra	N	N;FEM;PL
工程	trabalhos	工程	trabalho	N	N;MASC;PL
工程	works	工程	work	N	N;MASC;SG
段	duan	段	duan	N	N;MASC;SG
最後	last	最後	last	N	N;MASC;SG
提交	submeter	提交	submeter	V	V;NFIN
提交	enviar	提交	enviar	V	V;NFIN
提交	submetido	提交	submeter	V	V;MASC;SG;V.PTCP
一般	geralmente	一般	geralmente	ADV	ADV
需要	precisa	需要	precisar	V	V;IND;SG;3;PRS;FIN
需要	precisei	需要	precisar	V	V;IND;SG;1;PST;FIN
需要	precisava	需要	precisar	V	V;IND;SG;3;IPFV;FIN
需要	precisa	需要	precisar	V	V;IND;SG;3;PRS;FIN
需要	necessita	需要	necessitar	V	V;IND;SG;3;PRS;FIN
這	este	這	este	DET	DET;MASC;SG
這	esse	這	esse	DET	DET;MASC;SG
地方	lugar	地方	lugar	N	N;MASC;SG
地方	place	地方	place	N	N;MASC;SG
地方	local	地方	local	N	N;MASC;SG
地方	sítio	地方	sítio	N	N;MASC;SG
地方	locais	地方	local	N	N;MASC;PL
地方	lugares	地方	lugar	N	N;MASC;PL
地方	sítios	地方	sítio	N	N;MASC;PL
系列	series	系列	ser	N	N;MASC;PL
系列	série	系列	série	N	N;FEM;SG
系列	séries	系列	série	N	N;FEM;PL
電視	televisão	電視	televisão	N	N;FEM;SG
黑	dark	黑	dark	N	N;MASC;SG
黑	preta	黑	preto	N	N;FEM;SG
黑	black	黑	black	N	N;MASC;SG
黑	preto	黑	preto	N	N;MASC;SG
黑	pretas	黑	preto	N	N;FEM;PL
花	hana	花	hanar	N	N;MASC;SG
花	flores	花	flor	N	N;FEM;PL
花	flor	花	flor	N	N;FEM;SG
花	flower	花	flower	N	N;MASC;SG
神	deus	神	deu	N	N;MASC;SG
遊戲	game	遊戲	game	N	N;MASC;SG
遊戲	jogo	遊戲	jogo	N	N;MASC;SG
遊戲	games	遊戲	game	N	N;MASC;PL
遊戲	jogos	遊戲	jogo	N	N;MASC;PL
要求	pedir	要求	pedir	V	V;NFIN
要求	solicitar	要求	solicitar	V	V;NFIN
要求	exigir	要求	exigir	V	V;NFIN
讓	deixe	讓	deixar	V;CAUS	V;SBJV;SG;3;PRS;FIN
讓	deixa	讓	deixar	V;CAUS	V;IND;SG;3;PRS;FIN
版本	versão	版本	versão	N	N;FEM;SG
版本	edições	版本	edição	N	N;FEM;PL
版本	versões	版本	versão	N	N;FEM;PL
發現	encontrada	發現	encontrar	V	V;FEM;SG;V.PTCP
發現	encontrados	發現	encontrar	V	V;MASC;PL;V.PTCP
發現	encontraram	發現	encontrar	V	V;IND;PL;3;FIN
發現	encontrado	發現	encontrar	V	V;MASC;SG;V.PTCP
發現	descubra	發現	descubrar	V	V;SBJV;SG;3;PRS;FIN
發現	descobre	發現	descobrir	V	V;IND;SG;3;PRS;FIN
發現	descobrir	發現	descobrir	V	V;NFIN
發現	descubram	發現	descubrar	V	V;SBJV;PL;3;PRS;FIN
發現	descobertas	發現	descobrir	V	V;FEM;PL;V.PTCP
語	língua	語	língua	N	N;FEM;SG
語	idioma	語	idioma	N	N;MASC;SG
語	linguagem	語	linguagem	N	N;FEM;SG
內容	conteúdos	內容	conteúdo	N	N;MASC;PL
內容	teor	內容	teor	N	N;MASC;SG
內容	conteúdo	內容	conteúdo	N	N;MASC;SG
出生	nascido	出生	nascer	V	V;MASC;SG;V.PTCP
出生	nascida	出生	nascer	V	V;FEM;SG;V.PTCP
出生	nasceu	出生	nascer	V	V;IND;SG;3;PST;FIN
航空	aviação	航空	aviação	N	N;FEM;SG
航空	aero	航空	aero	N	N;MASC;SG
航空	airlines	航空	airline	N	N;MASC;SG
航空	ar	航空	ar	N	N;MASC;SG
航空	air	航空	air	N	N;MASC;SG
數	conde	數	conde	N	N;MASC;SG
數	count	數	count	N	N;MASC;SG
數	contagem	數	contagem	N	N;FEM;SG
數	contagem	數	contagem	N	N;FEM;SG
數	número	數	número	N	N;MASC;SG
數	numero	數	numero	N	N;MASC;SG
出版	publicados	出版	publicar	V	V;MASC;PL;V.PTCP
出版	publicou	出版	publicar	V	V;IND;SG;3;PST;FIN
出版	publicadas	出版	publicar	V	V;FEM;PL;V.PTCP
出版	publicada	出版	publicar	V	V;FEM;SG;V.PTCP
出版	publicado	出版	publicar	V	V;MASC;SG;V.PTCP
出版	publicar	出版	publicar	V	V;NFIN
出版	publicando	出版	publicar	V	V;V.MSDR
成功	sucesso	成功	sucesso	N	N;MASC;SG
成功	sucessos	成功	sucesso	N	N;MASC;PL
成功	êxito	成功	êxito	N	N;MASC;SG
成功	sucesso	成功	sucesso	N	N;MASC;SG
面積	area	面積	area	N	N;FEM;SG
面積	área	面積	área	N	N;FEM;SG
堡	fortaleza	堡	fortaleza	N	N;FEM;SG
堡	fort	堡	fort	N	N;MASC;SG
系統	system	系統	syetir	N	N;MASC;SG
系統	sistema	系統	sistema	N	N;MASC;SG
系統	sistemas	系統	sistema	N	N;MASC;PL
冠軍	campeão	冠軍	campeão	N	N;MASC;SG
冠軍	champ	冠軍	champ	N	N;MASC;SG
冠軍	campeão	冠軍	campeão	N	N;MASC;SG
冠軍	campeã	冠軍	campeã	N	N;FEM;SG
冠軍	champion	冠軍	champion	N	N;MASC;SG
冠軍	campeões	冠軍	campeão	N	N;MASC;PL
冠軍	champions	冠軍	champions	N	N;MASC;SG
問題	problemas	問題	problema	N	N;MASC;PL
問題	problema	問題	problema	N	N;MASC;SG
問題	questão	問題	questão	N	N;FEM;SG
問題	pergunta	問題	pergunta	N	N;FEM;SG
問題	questões	問題	questão	N	N;FEM;PL
問題	perguntas	問題	pergunta	N	N;FEM;PL
海拔	altitude	海拔	altitude	N	N;FEM;SG
海拔	elevação	海拔	elevação	N	N;FEM;SG
方式	método	方式	método	N	N;MASC;SG
率	taxa	率	taxa	N	N;FEM;SG
名稱	nome	名稱	nome	N	N;MASC;SG
名稱	nomes	名稱	nome	N	N;MASC;PL
愛	amo	愛	amo	V	V;IND;SG;1;PRS;FIN
得到	apanha	得到	apanhar	V	V;IND;SG;3;PRS;FIN
得到	obtenha	得到	obter	V	V;SBJV;SG;3;PRS;FIN
得到	receba	得到	receber	V	V;SBJV;SG;3;PRS;FIN
得到	obter	得到	obter	V	V;NFIN
街道	rua	街道	rua	N	N;FEM;SG
街道	street	街道	street	N	N;MASC;SG
街道	ruas	街道	rua	N	N;FEM;PL
街道	subdistrito	街道	subdistrito	N	N;MASC;SG
刪除	excluído	刪除	excluir	V	V;MASC;SG;V.PTCP
刪除	excluída	刪除	excluir	V	V;FEM;SG;V.PTCP
刪除	suprimido	刪除	suprimir	V	V;MASC;SG;V.PTCP
刪除	eliminados	刪除	eliminar	V	V;MASC;PL;V.PTCP
刪除	eliminado	刪除	eliminar	V	V;MASC;SG;V.PTCP
刪除	excluídos	刪除	excluir	V	V;MASC;PL;V.PTCP
